Year,SeriesCode,Country,Age,Freq,Location,Sex,Value
2021,AG_PRD_FIESMS,Canada,15+,,All areas,Female,9.2
2021,AG_PRD_FIESMS,Canada,ALLAGE,,All areas,Both sexes,7.7
2015,AG_PRD_FIESMS,Chile,15+,,All areas,Female,12.5
2015,AG_PRD_FIESMS,Chile,15+,,All areas,Male,9.1
2015,AG_PRD_FIESMS,Chile,ALLAGE,,All areas,Both sexes,10.8
2016,AG_PRD_FIESMS,Chile,ALLAGE,,All areas,Both sexes,12.2
2016,AG_PRD_FIESMS,Chile,15+,,All areas,Female,13.5
2016,AG_PRD_FIESMS,Chile,15+,,All areas,Male,10.8
2017,AG_PRD_FIESMS,Chile,15+,,All areas,Female,14.9
2017,AG_PRD_FIESMS,Chile,ALLAGE,,All areas,Both sexes,13.7
2017,AG_PRD_FIESMS,Chile,15+,,All areas,Male,12.4
2018,AG_PRD_FIESMS,Malta,ALLAGE,,All areas,Both sexes,4.4
2018,AG_PRD_FIESMS,Malta,15+,,All areas,Male,2.8
2018,AG_PRD_FIESMS,Malta,15+,,All areas,Female,5.9
2019,AG_PRD_FIESMS,Malta,15+,,All areas,Female,5.7
2019,AG_PRD_FIESMS,Malta,15+,,All areas,Male,2.9
2019,AG_PRD_FIESMS,Malta,ALLAGE,,All areas,Both sexes,4.3
2020,AG_PRD_FIESMS,Malta,ALLAGE,,All areas,Both sexes,5.2
2020,AG_PRD_FIESMS,Malta,15+,,All areas,Male,4.0
2020,AG_PRD_FIESMS,Malta,15+,,All areas,Female,6.4
2018,AG_PRD_FIESMS,Chile,ALLAGE,,All areas,Both sexes,15.3
2018,AG_PRD_FIESMS,Chile,15+,,All areas,Male,13.5
2018,AG_PRD_FIESMS,Chile,15+,,All areas,Female,17.1
2019,AG_PRD_FIESMS,Chile,15+,,All areas,Male,16.1
2019,AG_PRD_FIESMS,Chile,15+,,All areas,Female,18.5
2019,AG_PRD_FIESMS,Chile,ALLAGE,,All areas,Both sexes,17.3
2020,AG_PRD_FIESMS,Chile,15+,,All areas,Male,16.0
2020,AG_PRD_FIESMS,Chile,15+,,All areas,Female,18.8
2021,AG_PRD_FIESMS,Malta,15+,,All areas,Male,5.9
2021,AG_PRD_FIESMS,Malta,ALLAGE,,All areas,Both sexes,7.2
2021,AG_PRD_FIESMS,Malta,15+,,All areas,Female,8.5
2015,AG_PRD_FIESMS,Mexico,15+,,All areas,Female,26.8
2015,AG_PRD_FIESMS,Mexico,15+,,All areas,Male,24.4
2015,AG_PRD_FIESMS,Mexico,ALLAGE,,All areas,Both sexes,25.6
2021,AG_PRD_FIESMS,Albania,15+,,All areas,Female,34.0
2021,AG_PRD_FIESMS,Albania,ALLAGE,,All areas,Both sexes,30.2
2021,AG_PRD_FIESMS,Albania,15+,,All areas,Male,26.3
2015,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,All areas,Both sexes,5.9
2015,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Female,6.2
2015,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Male,5.5
2016,AG_PRD_FIESMS,Mexico,ALLAGE,,All areas,Both sexes,24.3
2016,AG_PRD_FIESMS,Mexico,15+,,All areas,Male,22.6
2016,AG_PRD_FIESMS,Mexico,15+,,All areas,Female,25.9
2017,AG_PRD_FIESMS,Mexico,15+,,All areas,Male,21.0
2017,AG_PRD_FIESMS,Mexico,15+,,All areas,Female,25.0
2017,AG_PRD_FIESMS,Mexico,ALLAGE,,All areas,Both sexes,23.0
2018,AG_PRD_FIESMS,Mexico,ALLAGE,,All areas,Both sexes,23.0
2018,AG_PRD_FIESMS,Mexico,15+,,All areas,Female,25.7
2018,AG_PRD_FIESMS,Mexico,15+,,All areas,Male,20.3
2020,AG_PRD_FIESMS,Chile,ALLAGE,,All areas,Both sexes,17.4
2021,AG_PRD_FIESMS,Chile,15+,,All areas,Female,20.1
2021,AG_PRD_FIESMS,Chile,ALLAGE,,All areas,Both sexes,18.1
2021,AG_PRD_FIESMS,Chile,15+,,All areas,Male,16.2
2019,AG_PRD_FIESMS,Mexico,15+,,All areas,Female,28.6
2019,AG_PRD_FIESMS,Mexico,ALLAGE,,All areas,Both sexes,24.6
2019,AG_PRD_FIESMS,Mexico,15+,,All areas,Male,20.5
2020,AG_PRD_FIESMS,Mexico,ALLAGE,,All areas,Both sexes,26.1
2020,AG_PRD_FIESMS,Mexico,15+,,All areas,Female,31.4
2020,AG_PRD_FIESMS,Mexico,15+,,All areas,Male,20.8
2021,AG_PRD_FIESMS,Mexico,15+,,All areas,Male,22.1
2021,AG_PRD_FIESMS,Mexico,15+,,All areas,Female,33.2
2021,AG_PRD_FIESMS,Mexico,ALLAGE,,All areas,Both sexes,27.6
2016,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Male,7.5
2016,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Female,7.8
2016,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,All areas,Both sexes,7.7
2017,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,All areas,Both sexes,8.5
2017,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Female,8.6
2017,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Male,8.5
2018,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Male,9.7
2018,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Female,9.6
2018,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,All areas,Both sexes,9.6
2015,AG_PRD_FIESMS,Moldova,ALLAGE,,All areas,Both sexes,19.3
2015,AG_PRD_FIESMS,Moldova,15+,,All areas,Male,19.2
2015,AG_PRD_FIESMS,Moldova,15+,,All areas,Female,19.3
2016,AG_PRD_FIESMS,Moldova,15+,,All areas,Male,20.5
2016,AG_PRD_FIESMS,Moldova,ALLAGE,,All areas,Both sexes,20.9
2016,AG_PRD_FIESMS,Moldova,15+,,All areas,Female,21.3
2019,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,All areas,Both sexes,8.8
2019,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Female,8.9
2019,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Male,8.8
2020,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,All areas,Both sexes,9.5
2020,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Female,9.6
2020,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Male,9.4
2021,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,All areas,Both sexes,10.1
2021,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Female,10.5
2021,AG_PRD_FIESMS,Azerbaijan,15+,,All areas,Male,9.7
2017,AG_PRD_FIESMS,Moldova,ALLAGE,,All areas,Both sexes,24.6
2017,AG_PRD_FIESMS,Moldova,15+,,All areas,Male,23.7
2017,AG_PRD_FIESMS,Moldova,15+,,All areas,Female,25.4
2018,AG_PRD_FIESMS,Moldova,15+,,All areas,Female,30.6
2018,AG_PRD_FIESMS,Moldova,ALLAGE,,All areas,Both sexes,27.5
2018,AG_PRD_FIESMS,Moldova,15+,,All areas,Male,24.3
2019,AG_PRD_FIESMS,Moldova,15+,,All areas,Male,24.2
2019,AG_PRD_FIESMS,Moldova,ALLAGE,,All areas,Both sexes,27.2
2019,AG_PRD_FIESMS,Moldova,15+,,All areas,Female,30.1
2015,AG_PRD_FIESMS,Australia,15+,,All areas,Female,12.3
2015,AG_PRD_FIESMS,Australia,ALLAGE,,All areas,Both sexes,10.8
2015,AG_PRD_FIESMS,Australia,15+,,All areas,Male,9.2
2016,AG_PRD_FIESMS,Australia,15+,,All areas,Female,13.0
2016,AG_PRD_FIESMS,Australia,15+,,All areas,Male,10.6
2016,AG_PRD_FIESMS,Australia,ALLAGE,,All areas,Both sexes,11.8
2020,AG_PRD_FIESMS,Moldova,15+,,All areas,Male,21.2
2020,AG_PRD_FIESMS,Moldova,15+,,All areas,Female,28.7
2020,AG_PRD_FIESMS,Moldova,ALLAGE,,All areas,Both sexes,24.9
2021,AG_PRD_FIESMS,Moldova,ALLAGE,,All areas,Both sexes,23.5
2021,AG_PRD_FIESMS,Moldova,15+,,All areas,Male,20.4
2021,AG_PRD_FIESMS,Moldova,15+,,All areas,Female,26.6
2015,AG_PRD_FIESMS,Montenegro,15+,,All areas,Male,12.2
2015,AG_PRD_FIESMS,Montenegro,15+,,All areas,Female,13.1
2015,AG_PRD_FIESMS,Montenegro,ALLAGE,,All areas,Both sexes,12.6
2016,AG_PRD_FIESMS,Montenegro,ALLAGE,,All areas,Both sexes,11.3
2016,AG_PRD_FIESMS,Montenegro,15+,,All areas,Female,12.2
2016,AG_PRD_FIESMS,Montenegro,15+,,All areas,Male,10.3
2017,AG_PRD_FIESMS,Montenegro,15+,,All areas,Male,10.4
2017,AG_PRD_FIESMS,Montenegro,15+,,All areas,Female,13.6
2017,AG_PRD_FIESMS,Montenegro,ALLAGE,,All areas,Both sexes,12.0
2017,AG_PRD_FIESMS,Australia,ALLAGE,,All areas,Both sexes,12.7
2017,AG_PRD_FIESMS,Australia,15+,,All areas,Male,11.5
2017,AG_PRD_FIESMS,Australia,15+,,All areas,Female,13.9
2018,AG_PRD_FIESMS,Australia,15+,,All areas,Female,13.6
2018,AG_PRD_FIESMS,Australia,15+,,All areas,Male,13.0
2018,AG_PRD_FIESMS,Australia,ALLAGE,,All areas,Both sexes,13.3
2019,AG_PRD_FIESMS,Australia,15+,,All areas,Female,12.8
2019,AG_PRD_FIESMS,Australia,15+,,All areas,Male,11.8
2019,AG_PRD_FIESMS,Australia,ALLAGE,,All areas,Both sexes,12.3
2018,AG_PRD_FIESMS,Montenegro,ALLAGE,,All areas,Both sexes,12.9
2018,AG_PRD_FIESMS,Montenegro,15+,,All areas,Male,11.9
2018,AG_PRD_FIESMS,Montenegro,15+,,All areas,Female,13.8
2019,AG_PRD_FIESMS,Montenegro,15+,,All areas,Male,13.3
2019,AG_PRD_FIESMS,Montenegro,15+,,All areas,Female,13.6
2019,AG_PRD_FIESMS,Montenegro,ALLAGE,,All areas,Both sexes,13.5
2020,AG_PRD_FIESMS,Montenegro,ALLAGE,,All areas,Both sexes,14.0
2020,AG_PRD_FIESMS,Montenegro,15+,,All areas,Male,14.8
2020,AG_PRD_FIESMS,Montenegro,15+,,All areas,Female,13.3
2020,AG_PRD_FIESMS,Australia,15+,,All areas,Male,11.9
2020,AG_PRD_FIESMS,Australia,15+,,All areas,Female,12.0
2020,AG_PRD_FIESMS,Australia,ALLAGE,,All areas,Both sexes,11.9
2021,AG_PRD_FIESMS,Australia,ALLAGE,,All areas,Both sexes,11.4
2021,AG_PRD_FIESMS,Australia,15+,,All areas,Female,11.3
2021,AG_PRD_FIESMS,Australia,15+,,All areas,Male,11.6
2021,AG_PRD_FIESMS,Montenegro,15+,,All areas,Female,12.5
2021,AG_PRD_FIESMS,Montenegro,15+,,All areas,Male,13.2
2021,AG_PRD_FIESMS,Montenegro,ALLAGE,,All areas,Both sexes,12.9
2015,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Male,5.7
2015,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,All areas,Both sexes,5.7
2015,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Female,5.8
2015,AG_PRD_FIESMS,Austria,ALLAGE,,All areas,Both sexes,5.5
2015,AG_PRD_FIESMS,Austria,15+,,All areas,Male,4.5
2015,AG_PRD_FIESMS,Austria,15+,,All areas,Female,6.6
2016,AG_PRD_FIESMS,Austria,15+,,All areas,Female,5.9
2016,AG_PRD_FIESMS,Austria,15+,,All areas,Male,4.4
2016,AG_PRD_FIESMS,Austria,ALLAGE,,All areas,Both sexes,5.2
2017,AG_PRD_FIESMS,Austria,ALLAGE,,All areas,Both sexes,4.4
2017,AG_PRD_FIESMS,Austria,15+,,All areas,Female,5.1
2017,AG_PRD_FIESMS,Austria,15+,,All areas,Male,3.8
2015,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Male,11.5
2015,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Female,12.9
2015,AG_PRD_FIESMS,Costa Rica,ALLAGE,,All areas,Both sexes,12.2
2016,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Male,11.6
2016,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Female,6.2
2016,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Male,4.9
2016,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,All areas,Both sexes,5.5
2017,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Male,4.0
2017,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,All areas,Both sexes,5.1
2017,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Female,6.2
2018,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,All areas,Both sexes,5.1
2018,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Male,3.9
2018,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Female,6.2
2019,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Female,5.0
2019,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Male,4.3
2019,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,All areas,Both sexes,4.6
2020,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,All areas,Both sexes,4.4
2020,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Male,4.4
2020,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Female,4.4
2021,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,All areas,Both sexes,4.5
2018,AG_PRD_FIESMS,Austria,15+,,All areas,Male,3.0
2018,AG_PRD_FIESMS,Austria,15+,,All areas,Female,4.1
2018,AG_PRD_FIESMS,Austria,ALLAGE,,All areas,Both sexes,3.6
2019,AG_PRD_FIESMS,Austria,15+,,All areas,Female,3.5
2019,AG_PRD_FIESMS,Austria,ALLAGE,,All areas,Both sexes,3.0
2019,AG_PRD_FIESMS,Austria,15+,,All areas,Male,2.6
2020,AG_PRD_FIESMS,Austria,15+,,All areas,Female,3.6
2020,AG_PRD_FIESMS,Austria,15+,,All areas,Male,3.1
2020,AG_PRD_FIESMS,Austria,ALLAGE,,All areas,Both sexes,3.3
2016,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Female,14.3
2016,AG_PRD_FIESMS,Costa Rica,ALLAGE,,All areas,Both sexes,12.9
2017,AG_PRD_FIESMS,Costa Rica,ALLAGE,,All areas,Both sexes,13.7
2017,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Female,15.4
2017,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Male,12.0
2018,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Male,12.4
2018,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Female,16.6
2018,AG_PRD_FIESMS,Costa Rica,ALLAGE,,All areas,Both sexes,14.5
2021,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Male,4.1
2021,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,All areas,Female,4.9
2015,AG_PRD_FIESMS,New Zealand,15+,,All areas,Male,7.7
2015,AG_PRD_FIESMS,New Zealand,15+,,All areas,Female,12.3
2015,AG_PRD_FIESMS,New Zealand,ALLAGE,,All areas,Both sexes,10.0
2016,AG_PRD_FIESMS,New Zealand,ALLAGE,,All areas,Both sexes,11.3
2016,AG_PRD_FIESMS,New Zealand,15+,,All areas,Female,13.7
2016,AG_PRD_FIESMS,New Zealand,15+,,All areas,Male,8.9
2017,AG_PRD_FIESMS,New Zealand,15+,,All areas,Female,15.1
2017,AG_PRD_FIESMS,New Zealand,15+,,All areas,Male,11.6
2017,AG_PRD_FIESMS,New Zealand,ALLAGE,,All areas,Both sexes,13.3
2018,AG_PRD_FIESMS,New Zealand,ALLAGE,,All areas,Both sexes,13.9
2018,AG_PRD_FIESMS,New Zealand,15+,,All areas,Male,12.3
2018,AG_PRD_FIESMS,New Zealand,15+,,All areas,Female,15.5
2019,AG_PRD_FIESMS,New Zealand,15+,,All areas,Male,12.1
2019,AG_PRD_FIESMS,Costa Rica,ALLAGE,,All areas,Both sexes,15.3
2019,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Female,17.7
2019,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Male,13.0
2020,AG_PRD_FIESMS,Costa Rica,ALLAGE,,All areas,Both sexes,15.9
2020,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Female,18.4
2020,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Male,13.4
2021,AG_PRD_FIESMS,Costa Rica,ALLAGE,,All areas,Both sexes,16.2
2021,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Female,18.4
2019,AG_PRD_FIESMS,New Zealand,ALLAGE,,All areas,Both sexes,14.0
2019,AG_PRD_FIESMS,New Zealand,15+,,All areas,Female,15.8
2020,AG_PRD_FIESMS,New Zealand,ALLAGE,,All areas,Both sexes,14.5
2020,AG_PRD_FIESMS,New Zealand,15+,,All areas,Male,14.3
2020,AG_PRD_FIESMS,New Zealand,15+,,All areas,Female,14.8
2021,AG_PRD_FIESMS,New Zealand,15+,,All areas,Female,14.7
2021,AG_PRD_FIESMS,New Zealand,15+,,All areas,Male,15.6
2021,AG_PRD_FIESMS,New Zealand,ALLAGE,,All areas,Both sexes,15.1
2021,AG_PRD_FIESMS,Costa Rica,15+,,All areas,Male,14.0
2015,AG_PRD_FIESMS,Croatia,15+,,All areas,Female,6.7
2015,AG_PRD_FIESMS,Croatia,ALLAGE,,All areas,Both sexes,6.5
2015,AG_PRD_FIESMS,Croatia,15+,,All areas,Male,6.3
2016,AG_PRD_FIESMS,Croatia,15+,,All areas,Male,6.0
2016,AG_PRD_FIESMS,Croatia,ALLAGE,,All areas,Both sexes,6.9
2021,AG_PRD_FIESMS,Austria,ALLAGE,,All areas,Both sexes,4.3
2021,AG_PRD_FIESMS,Austria,15+,,All areas,Female,4.2
2021,AG_PRD_FIESMS,Austria,15+,,All areas,Male,4.5
2017,AG_PRD_FIESMS,Armenia,15+,,All areas,Female,18.6
2017,AG_PRD_FIESMS,Armenia,15+,,All areas,Male,15.6
2017,AG_PRD_FIESMS,Armenia,ALLAGE,,All areas,Both sexes,17.1
2018,AG_PRD_FIESMS,Armenia,ALLAGE,,All areas,Both sexes,14.8
2018,AG_PRD_FIESMS,Armenia,15+,,All areas,Male,13.3
2018,AG_PRD_FIESMS,Armenia,15+,,All areas,Female,16.3
2019,AG_PRD_FIESMS,Armenia,ALLAGE,,All areas,Both sexes,11.7
2016,AG_PRD_FIESMS,Croatia,15+,,All areas,Female,7.8
2017,AG_PRD_FIESMS,Croatia,15+,,All areas,Female,8.6
2017,AG_PRD_FIESMS,Croatia,ALLAGE,,All areas,Both sexes,7.8
2017,AG_PRD_FIESMS,Croatia,15+,,All areas,Male,6.9
2018,AG_PRD_FIESMS,Croatia,15+,,All areas,Female,10.9
2018,AG_PRD_FIESMS,Croatia,15+,,All areas,Male,9.1
2018,AG_PRD_FIESMS,Croatia,ALLAGE,,All areas,Both sexes,10.0
2019,AG_PRD_FIESMS,Croatia,ALLAGE,,All areas,Both sexes,11.0
2019,AG_PRD_FIESMS,Croatia,15+,,All areas,Female,12.9
2019,AG_PRD_FIESMS,Armenia,15+,,All areas,Male,10.3
2019,AG_PRD_FIESMS,Armenia,15+,,All areas,Female,13.2
2020,AG_PRD_FIESMS,Armenia,ALLAGE,,All areas,Both sexes,8.3
2020,AG_PRD_FIESMS,Armenia,15+,,All areas,Female,9.1
2020,AG_PRD_FIESMS,Armenia,15+,,All areas,Male,7.5
2021,AG_PRD_FIESMS,Armenia,15+,,All areas,Male,6.5
2021,AG_PRD_FIESMS,Armenia,ALLAGE,,All areas,Both sexes,7.1
2021,AG_PRD_FIESMS,Armenia,15+,,All areas,Female,7.8
2019,AG_PRD_FIESMS,Croatia,15+,,All areas,Male,9.2
2020,AG_PRD_FIESMS,Croatia,15+,,All areas,Female,13.9
2020,AG_PRD_FIESMS,Croatia,15+,,All areas,Male,8.9
2020,AG_PRD_FIESMS,Croatia,ALLAGE,,All areas,Both sexes,11.4
2021,AG_PRD_FIESMS,Croatia,ALLAGE,,All areas,Both sexes,9.7
2021,AG_PRD_FIESMS,Croatia,15+,,All areas,Female,11.8
2021,AG_PRD_FIESMS,Croatia,15+,,All areas,Male,7.6
2015,AG_PRD_FIESMS,Norway,15+,,All areas,Male,4.6
2015,AG_PRD_FIESMS,Norway,15+,,All areas,Female,4.9
2015,AG_PRD_FIESMS,Norway,ALLAGE,,All areas,Both sexes,4.8
2016,AG_PRD_FIESMS,Norway,15+,,All areas,Female,5.4
2016,AG_PRD_FIESMS,Norway,ALLAGE,,All areas,Both sexes,5.0
2016,AG_PRD_FIESMS,Norway,15+,,All areas,Male,4.5
2017,AG_PRD_FIESMS,Norway,15+,,All areas,Female,5.3
2017,AG_PRD_FIESMS,Norway,15+,,All areas,Male,4.4
2017,AG_PRD_FIESMS,Norway,ALLAGE,,All areas,Both sexes,4.8
2018,AG_PRD_FIESMS,Norway,ALLAGE,,All areas,Both sexes,4.8
2018,AG_PRD_FIESMS,Norway,15+,,All areas,Male,4.1
2018,AG_PRD_FIESMS,Norway,15+,,All areas,Female,5.5
2019,AG_PRD_FIESMS,Norway,15+,,All areas,Male,4.3
2019,AG_PRD_FIESMS,Norway,ALLAGE,,All areas,Both sexes,4.1
2019,AG_PRD_FIESMS,Norway,15+,,All areas,Female,3.9
2020,AG_PRD_FIESMS,Norway,ALLAGE,,All areas,Both sexes,4.3
2020,AG_PRD_FIESMS,Norway,15+,,All areas,Male,4.6
2020,AG_PRD_FIESMS,Norway,15+,,All areas,Female,4.1
2021,AG_PRD_FIESMS,Norway,15+,,All areas,Female,5.0
2021,AG_PRD_FIESMS,Norway,15+,,All areas,Male,5.4
2021,AG_PRD_FIESMS,Norway,ALLAGE,,All areas,Both sexes,5.2
2015,AG_PRD_FIESMS,Poland,ALLAGE,,All areas,Both sexes,8.9
2019,AG_PRD_FIESMS,Belgium,ALLAGE,,All areas,Both sexes,3.7
2019,AG_PRD_FIESMS,Belgium,15+,,All areas,Female,3.1
2019,AG_PRD_FIESMS,Belgium,15+,,All areas,Male,4.4
2020,AG_PRD_FIESMS,Belgium,15+,,All areas,Female,4.2
2020,AG_PRD_FIESMS,Belgium,15+,,All areas,Male,5.4
2020,AG_PRD_FIESMS,Belgium,ALLAGE,,All areas,Both sexes,4.8
2015,AG_PRD_FIESMS,Poland,15+,,All areas,Male,7.4
2015,AG_PRD_FIESMS,Poland,15+,,All areas,Female,10.3
2016,AG_PRD_FIESMS,Poland,15+,,All areas,Female,7.6
2016,AG_PRD_FIESMS,Poland,15+,,All areas,Male,4.9
2016,AG_PRD_FIESMS,Poland,ALLAGE,,All areas,Both sexes,6.3
2017,AG_PRD_FIESMS,Poland,ALLAGE,,All areas,Both sexes,5.3
2017,AG_PRD_FIESMS,Poland,15+,,All areas,Male,4.0
2017,AG_PRD_FIESMS,Poland,15+,,All areas,Female,6.5
2018,AG_PRD_FIESMS,Poland,15+,,All areas,Female,5.2
2018,AG_PRD_FIESMS,Poland,15+,,All areas,Male,3.3
2018,AG_PRD_FIESMS,Poland,ALLAGE,,All areas,Both sexes,4.3
2019,AG_PRD_FIESMS,Poland,ALLAGE,,All areas,Both sexes,5.8
2019,AG_PRD_FIESMS,Poland,15+,,All areas,Female,7.3
2019,AG_PRD_FIESMS,Poland,15+,,All areas,Male,4.3
2020,AG_PRD_FIESMS,Poland,15+,,All areas,Male,5.7
2020,AG_PRD_FIESMS,Poland,15+,,All areas,Female,9.1
2020,AG_PRD_FIESMS,Poland,ALLAGE,,All areas,Both sexes,7.4
2021,AG_PRD_FIESMS,Poland,15+,,All areas,Male,5.9
2021,AG_PRD_FIESMS,Belgium,ALLAGE,,All areas,Both sexes,5.8
2021,AG_PRD_FIESMS,Belgium,15+,,All areas,Male,5.9
2021,AG_PRD_FIESMS,Belgium,15+,,All areas,Female,5.7
2015,AG_PRD_FIESMS,Bosnia and Herzegovina,ALLAGE,,All areas,Both sexes,9.6
2015,AG_PRD_FIESMS,Bosnia and Herzegovina,15+,,All areas,Male,9.4
2015,AG_PRD_FIESMS,Bosnia and Herzegovina,15+,,All areas,Female,9.8
2015,AG_PRD_FIESMS,Czechia,15+,,All areas,Female,6.4
2015,AG_PRD_FIESMS,Czechia,15+,,All areas,Male,5.3
2015,AG_PRD_FIESMS,Czechia,ALLAGE,,All areas,Both sexes,5.8
