Year,SI_POV,GeoAreaName,Value
2000,SI_POV_UMIC,Kyrgyz Republic,95.2
2001,SI_POV_DDAY,Kyrgyz Republic,33.4
2001,SI_POV_LMIC,Kyrgyz Republic,71.5
2001,SI_POV_UMIC,Kyrgyz Republic,95.0
2002,SI_POV_DDAY,Kyrgyz Republic,31.1
2002,SI_POV_LMIC,Kyrgyz Republic,69.7
2002,SI_POV_UMIC,Kyrgyz Republic,94.6
2003,SI_POV_DDAY,Kyrgyz Republic,25.7
2003,SI_POV_LMIC,Kyrgyz Republic,67.5
2003,SI_POV_UMIC,Kyrgyz Republic,94.1
2004,SI_POV_DDAY,Kyrgyz Republic,11.6
2004,SI_POV_LMIC,Kyrgyz Republic,44.2
2004,SI_POV_UMIC,Kyrgyz Republic,80.0
2005,SI_POV_DDAY,Kyrgyz Republic,13.6
2005,SI_POV_LMIC,Kyrgyz Republic,49.7
2005,SI_POV_UMIC,Kyrgyz Republic,84.7
2006,SI_POV_DDAY,Kyrgyz Republic,8.4
2006,SI_POV_LMIC,Kyrgyz Republic,37.0
2006,SI_POV_UMIC,Kyrgyz Republic,72.9
2007,SI_POV_DDAY,Kyrgyz Republic,8.8
2007,SI_POV_LMIC,Kyrgyz Republic,33.6
2007,SI_POV_UMIC,Kyrgyz Republic,74.2
2008,SI_POV_DDAY,Kyrgyz Republic,3.3
2008,SI_POV_LMIC,Kyrgyz Republic,22.7
2008,SI_POV_UMIC,Kyrgyz Republic,67.6
2009,SI_POV_DDAY,Kyrgyz Republic,1.5
2009,SI_POV_LMIC,Kyrgyz Republic,18.7
2009,SI_POV_UMIC,Kyrgyz Republic,67.6
2010,SI_POV_DDAY,Kyrgyz Republic,3.5
2010,SI_POV_LMIC,Kyrgyz Republic,21.4
2010,SI_POV_UMIC,Kyrgyz Republic,70.5
2011,SI_POV_DDAY,Kyrgyz Republic,1.3
2011,SI_POV_LMIC,Kyrgyz Republic,19.3
2011,SI_POV_UMIC,Kyrgyz Republic,70.6
2012,SI_POV_DDAY,Kyrgyz Republic,2.6
2012,SI_POV_LMIC,Kyrgyz Republic,20.0
2012,SI_POV_UMIC,Kyrgyz Republic,73.3
2013,SI_POV_DDAY,Kyrgyz Republic,2.6
2013,SI_POV_LMIC,Kyrgyz Republic,24.1
2013,SI_POV_UMIC,Kyrgyz Republic,73.3
2014,SI_POV_DDAY,Kyrgyz Republic,1.0
2014,SI_POV_LMIC,Kyrgyz Republic,17.6
2014,SI_POV_UMIC,Kyrgyz Republic,70.8
2015,SI_POV_DDAY,Kyrgyz Republic,2.2
2015,SI_POV_LMIC,Kyrgyz Republic,21.1
2015,SI_POV_UMIC,Kyrgyz Republic,73.8
2016,SI_POV_DDAY,Kyrgyz Republic,1.1
2016,SI_POV_LMIC,Kyrgyz Republic,17.0
2016,SI_POV_UMIC,Kyrgyz Republic,71.3
2017,SI_POV_DDAY,Kyrgyz Republic,1.3
2017,SI_POV_LMIC,Kyrgyz Republic,17.3
2017,SI_POV_UMIC,Kyrgyz Republic,70.3
2018,SI_POV_DDAY,Kyrgyz Republic,0.7
2018,SI_POV_LMIC,Kyrgyz Republic,13.2
2018,SI_POV_UMIC,Kyrgyz Republic,66.1
2019,SI_POV_DDAY,Kyrgyz Republic,0.7
2019,SI_POV_LMIC,Kyrgyz Republic,11.7
2019,SI_POV_UMIC,Kyrgyz Republic,63.7
2020,SI_POV_DDAY,Kyrgyz Republic,1.3
2020,SI_POV_LMIC,Kyrgyz Republic,18.7
2020,SI_POV_UMIC,Kyrgyz Republic,67.6
1999,SI_POV_DDAY,Tajikistan,62.0
1999,SI_POV_LMIC,Tajikistan,90.4
1999,SI_POV_UMIC,Tajikistan,99.2
2003,SI_POV_DDAY,Tajikistan,36.7
2003,SI_POV_LMIC,Tajikistan,72.7
2003,SI_POV_UMIC,Tajikistan,94.8
2004,SI_POV_DDAY,Tajikistan,21.4
2004,SI_POV_LMIC,Tajikistan,55.0
2004,SI_POV_UMIC,Tajikistan,87.7
2007,SI_POV_DDAY,Tajikistan,12.8
2007,SI_POV_LMIC,Tajikistan,42.7
2007,SI_POV_UMIC,Tajikistan,85.0
2009,SI_POV_DDAY,Tajikistan,6.8
2009,SI_POV_LMIC,Tajikistan,32.0
2009,SI_POV_UMIC,Tajikistan,76.3
2015,SI_POV_DDAY,Tajikistan,6.1
2015,SI_POV_LMIC,Tajikistan,25.7
2015,SI_POV_UMIC,Tajikistan,66.4
1998,SI_POV_DDAY,Turkmenistan,43.1
1998,SI_POV_LMIC,Turkmenistan,71.1
1998,SI_POV_UMIC,Turkmenistan,91.3
1998,SI_POV_DDAY,Uzbekistan,58.8
1998,SI_POV_LMIC,Uzbekistan,82.3
1998,SI_POV_UMIC,Uzbekistan,95.5
2000,SI_POV_DDAY,Uzbekistan,81.3
2000,SI_POV_LMIC,Uzbekistan,94.7
2000,SI_POV_UMIC,Uzbekistan,99.0
2002,SI_POV_DDAY,Uzbekistan,80.5
2002,SI_POV_LMIC,Uzbekistan,94.2
2002,SI_POV_UMIC,Uzbekistan,99.1
2003,SI_POV_DDAY,Uzbekistan,81.5
2003,SI_POV_LMIC,Uzbekistan,94.6
2003,SI_POV_UMIC,Uzbekistan,99.1
2002,SI_POV_DDAY,Albania,1.1
2002,SI_POV_LMIC,Albania,11.4
2002,SI_POV_UMIC,Albania,52.1
2005,SI_POV_DDAY,Albania,0.6
2005,SI_POV_LMIC,Albania,7.3
2005,SI_POV_UMIC,Albania,40.4
2008,SI_POV_DDAY,Albania,0.2
2008,SI_POV_LMIC,Albania,3.9
2008,SI_POV_UMIC,Albania,33.4
2012,SI_POV_DDAY,Albania,0.6
2012,SI_POV_LMIC,Albania,4.8
2012,SI_POV_UMIC,Albania,36.7
2014,SI_POV_DDAY,Albania,1.0
2014,SI_POV_LMIC,Albania,9.7
2014,SI_POV_UMIC,Albania,38.7
2015,SI_POV_DDAY,Albania,0.1
2015,SI_POV_LMIC,Albania,3.7
2015,SI_POV_UMIC,Albania,26.2
2016,SI_POV_DDAY,Albania,0.1
2016,SI_POV_LMIC,Albania,4.7
2016,SI_POV_UMIC,Albania,25.4
2017,SI_POV_DDAY,Albania,0.4
2017,SI_POV_LMIC,Albania,3.6
2017,SI_POV_UMIC,Albania,25.5
2018,SI_POV_DDAY,Albania,0.0
2018,SI_POV_LMIC,Albania,2.7
2018,SI_POV_UMIC,Albania,18.2
2019,SI_POV_DDAY,Albania,0.0
2019,SI_POV_LMIC,Albania,1.2
2019,SI_POV_UMIC,Albania,14.9
2020,SI_POV_DDAY,Albania,0.0
2020,SI_POV_LMIC,Albania,1.5
2020,SI_POV_UMIC,Albania,13.7
1999,SI_POV_DDAY,Armenia,11.9
1999,SI_POV_LMIC,Armenia,44.8
1999,SI_POV_UMIC,Armenia,82.3
2001,SI_POV_DDAY,Armenia,14.0
2001,SI_POV_LMIC,Armenia,47.2
2001,SI_POV_UMIC,Armenia,83.8
2002,SI_POV_DDAY,Armenia,10.0
2002,SI_POV_LMIC,Armenia,43.7
2002,SI_POV_UMIC,Armenia,82.9
2003,SI_POV_DDAY,Armenia,7.5
2003,SI_POV_LMIC,Armenia,39.7
2003,SI_POV_UMIC,Armenia,82.6
2004,SI_POV_DDAY,Armenia,5.3
2004,SI_POV_LMIC,Armenia,28.9
2004,SI_POV_UMIC,Armenia,73.5
2005,SI_POV_DDAY,Armenia,2.6
2005,SI_POV_LMIC,Armenia,19.4
2005,SI_POV_UMIC,Armenia,67.5
2006,SI_POV_DDAY,Armenia,2.0
2006,SI_POV_LMIC,Armenia,15.5
2006,SI_POV_UMIC,Armenia,62.8
2007,SI_POV_DDAY,Armenia,1.5
2007,SI_POV_LMIC,Armenia,13.7
2007,SI_POV_UMIC,Armenia,56.0
2008,SI_POV_DDAY,Armenia,0.9
2008,SI_POV_LMIC,Armenia,9.2
2008,SI_POV_UMIC,Armenia,52.1
2009,SI_POV_DDAY,Armenia,1.2
2009,SI_POV_LMIC,Armenia,13.8
2009,SI_POV_UMIC,Armenia,60.7
2010,SI_POV_DDAY,Armenia,1.0
2010,SI_POV_LMIC,Armenia,14.0
2010,SI_POV_UMIC,Armenia,62.1
2011,SI_POV_DDAY,Armenia,1.2
2011,SI_POV_LMIC,Armenia,13.1
2011,SI_POV_UMIC,Armenia,59.3
2012,SI_POV_DDAY,Armenia,0.8
2012,SI_POV_LMIC,Armenia,11.2
2012,SI_POV_UMIC,Armenia,55.2
2013,SI_POV_DDAY,Armenia,1.7
2013,SI_POV_LMIC,Armenia,11.3
2013,SI_POV_UMIC,Armenia,53.1
2014,SI_POV_DDAY,Armenia,1.4
2014,SI_POV_LMIC,Armenia,11.4
2014,SI_POV_UMIC,Armenia,51.1
2015,SI_POV_DDAY,Armenia,1.1
2015,SI_POV_LMIC,Armenia,9.4
2015,SI_POV_UMIC,Armenia,46.7
2016,SI_POV_DDAY,Armenia,1.1
2016,SI_POV_LMIC,Armenia,9.5
2016,SI_POV_UMIC,Armenia,42.4
2017,SI_POV_DDAY,Armenia,0.8
2017,SI_POV_LMIC,Armenia,8.1
2017,SI_POV_UMIC,Armenia,48.7
2018,SI_POV_DDAY,Armenia,1.3
2018,SI_POV_LMIC,Armenia,9.4
2018,SI_POV_UMIC,Armenia,48.9
2019,SI_POV_DDAY,Armenia,1.0
2019,SI_POV_LMIC,Armenia,9.8
2019,SI_POV_UMIC,Armenia,52.1
2020,SI_POV_DDAY,Armenia,0.4
2020,SI_POV_LMIC,Armenia,6.7
2020,SI_POV_UMIC,Armenia,53.2
2021,SI_POV_DDAY,Armenia,0.5
2021,SI_POV_LMIC,Armenia,8.7
2021,SI_POV_UMIC,Armenia,51.7
2001,SI_POV_DDAY,Azerbaijan,6.2
2001,SI_POV_LMIC,Azerbaijan,28.3
2001,SI_POV_UMIC,Azerbaijan,71.0
2002,SI_POV_DDAY,Azerbaijan,0.1
2002,SI_POV_LMIC,Azerbaijan,2.6
2002,SI_POV_UMIC,Azerbaijan,48.5
2003,SI_POV_DDAY,Azerbaijan,0.1
2003,SI_POV_LMIC,Azerbaijan,3.3
2003,SI_POV_UMIC,Azerbaijan,44.6
2004,SI_POV_DDAY,Azerbaijan,0.0
2004,SI_POV_LMIC,Azerbaijan,1.0
2004,SI_POV_UMIC,Azerbaijan,42.3
2005,SI_POV_DDAY,Azerbaijan,0.0
2005,SI_POV_LMIC,Azerbaijan,0.3
2005,SI_POV_UMIC,Azerbaijan,31.3
1998,SI_POV_DDAY,Belarus,21.8
1998,SI_POV_LMIC,Belarus,56.7
1998,SI_POV_UMIC,Belarus,90.1
1999,SI_POV_DDAY,Belarus,19.2
1999,SI_POV_LMIC,Belarus,51.1
1999,SI_POV_UMIC,Belarus,88.0
2000,SI_POV_DDAY,Belarus,13.6
2000,SI_POV_LMIC,Belarus,43.3
2000,SI_POV_UMIC,Belarus,84.4
2001,SI_POV_DDAY,Belarus,6.6
2001,SI_POV_LMIC,Belarus,28.1
2001,SI_POV_UMIC,Belarus,73.7
2002,SI_POV_DDAY,Belarus,4.4
2002,SI_POV_LMIC,Belarus,22.3
2002,SI_POV_UMIC,Belarus,67.7
2003,SI_POV_DDAY,Belarus,3.5
2003,SI_POV_LMIC,Belarus,18.8
2003,SI_POV_UMIC,Belarus,64.8
2004,SI_POV_DDAY,Belarus,1.3
2004,SI_POV_LMIC,Belarus,10.6
2004,SI_POV_UMIC,Belarus,54.3
2005,SI_POV_DDAY,Belarus,0.9
2005,SI_POV_LMIC,Belarus,6.0
2005,SI_POV_UMIC,Belarus,36.0
2006,SI_POV_DDAY,Belarus,0.4
2006,SI_POV_LMIC,Belarus,3.5
2006,SI_POV_UMIC,Belarus,27.9
2007,SI_POV_DDAY,Belarus,0.2
2007,SI_POV_LMIC,Belarus,2.7
2007,SI_POV_UMIC,Belarus,20.7
2008,SI_POV_DDAY,Belarus,0.2
2008,SI_POV_LMIC,Belarus,1.7
2008,SI_POV_UMIC,Belarus,16.4
2009,SI_POV_DDAY,Belarus,0.1
2009,SI_POV_LMIC,Belarus,1.8
2009,SI_POV_UMIC,Belarus,15.6
2010,SI_POV_DDAY,Belarus,0.0
2010,SI_POV_LMIC,Belarus,0.9
2010,SI_POV_UMIC,Belarus,11.8
2011,SI_POV_DDAY,Belarus,0.0
2011,SI_POV_LMIC,Belarus,0.6
2011,SI_POV_UMIC,Belarus,10.0
2012,SI_POV_DDAY,Belarus,0.0
2012,SI_POV_LMIC,Belarus,0.1
2012,SI_POV_UMIC,Belarus,5.9
2013,SI_POV_DDAY,Belarus,0.0
2013,SI_POV_LMIC,Belarus,0.1
2013,SI_POV_UMIC,Belarus,3.4
2014,SI_POV_DDAY,Belarus,0.0
2014,SI_POV_LMIC,Belarus,0.1
2014,SI_POV_UMIC,Belarus,3.2
2015,SI_POV_DDAY,Belarus,0.0
2015,SI_POV_LMIC,Belarus,0.1
2015,SI_POV_UMIC,Belarus,4.1
2016,SI_POV_DDAY,Belarus,0.0
2016,SI_POV_LMIC,Belarus,0.1
2016,SI_POV_UMIC,Belarus,4.6
2017,SI_POV_DDAY,Belarus,0.0
2017,SI_POV_LMIC,Belarus,0.1
2017,SI_POV_UMIC,Belarus,3.3
2018,SI_POV_DDAY,Belarus,0.0
2018,SI_POV_LMIC,Belarus,0.1
2018,SI_POV_UMIC,Belarus,1.9
2019,SI_POV_DDAY,Belarus,0.0
2019,SI_POV_LMIC,Belarus,0.0
2019,SI_POV_UMIC,Belarus,2.4
2020,SI_POV_DDAY,Belarus,0.0
2020,SI_POV_LMIC,Belarus,0.1
2020,SI_POV_UMIC,Belarus,1.3
2001,SI_POV_DDAY,Bosnia and Herzegovina,0.3
2001,SI_POV_LMIC,Bosnia and Herzegovina,1.1
2001,SI_POV_UMIC,Bosnia and Herzegovina,13.8
2004,SI_POV_DDAY,Bosnia and Herzegovina,0.2
2004,SI_POV_LMIC,Bosnia and Herzegovina,0.7
2004,SI_POV_UMIC,Bosnia and Herzegovina,6.6
2007,SI_POV_DDAY,Bosnia and Herzegovina,0.1
2007,SI_POV_LMIC,Bosnia and Herzegovina,0.4
2007,SI_POV_UMIC,Bosnia and Herzegovina,4.8
2011,SI_POV_DDAY,Bosnia and Herzegovina,0.1
2011,SI_POV_LMIC,Bosnia and Herzegovina,0.8
2011,SI_POV_UMIC,Bosnia and Herzegovina,5.8
1998,SI_POV_DDAY,Georgia,17.0
1998,SI_POV_LMIC,Georgia,39.4
1998,SI_POV_UMIC,Georgia,74.1
1999,SI_POV_DDAY,Georgia,21.8
1999,SI_POV_LMIC,Georgia,47.1
1999,SI_POV_UMIC,Georgia,79.6
2000,SI_POV_DDAY,Georgia,22.9
2000,SI_POV_LMIC,Georgia,49.6
2000,SI_POV_UMIC,Georgia,81.6
2001,SI_POV_DDAY,Georgia,23.0
2001,SI_POV_LMIC,Georgia,52.4
2001,SI_POV_UMIC,Georgia,83.5
2002,SI_POV_DDAY,Georgia,12.7
2002,SI_POV_LMIC,Georgia,35.5
2002,SI_POV_UMIC,Georgia,72.7
2003,SI_POV_DDAY,Georgia,12.9
2003,SI_POV_LMIC,Georgia,35.9
2003,SI_POV_UMIC,Georgia,72.0
2004,SI_POV_DDAY,Georgia,12.4
2004,SI_POV_LMIC,Georgia,32.7
2004,SI_POV_UMIC,Georgia,70.0
2005,SI_POV_DDAY,Georgia,12.9
2005,SI_POV_LMIC,Georgia,35.2
2005,SI_POV_UMIC,Georgia,71.7
2006,SI_POV_DDAY,Georgia,12.6
2006,SI_POV_LMIC,Georgia,35.6
2006,SI_POV_UMIC,Georgia,72.7
2007,SI_POV_DDAY,Georgia,14.2
2007,SI_POV_LMIC,Georgia,37.8
2007,SI_POV_UMIC,Georgia,74.1
2008,SI_POV_DDAY,Georgia,12.4
2008,SI_POV_LMIC,Georgia,34.1
2008,SI_POV_UMIC,Georgia,70.2
2009,SI_POV_DDAY,Georgia,12.1
2009,SI_POV_LMIC,Georgia,34.3
2009,SI_POV_UMIC,Georgia,70.5
2010,SI_POV_DDAY,Georgia,14.4
2010,SI_POV_LMIC,Georgia,35.7
2010,SI_POV_UMIC,Georgia,70.6
2011,SI_POV_DDAY,Georgia,13.4
2011,SI_POV_LMIC,Georgia,33.3
2011,SI_POV_UMIC,Georgia,69.0
2012,SI_POV_DDAY,Georgia,10.7
2012,SI_POV_LMIC,Georgia,29.6
2012,SI_POV_UMIC,Georgia,65.5
2013,SI_POV_DDAY,Georgia,8.1
2013,SI_POV_LMIC,Georgia,25.3
2013,SI_POV_UMIC,Georgia,60.0
2014,SI_POV_DDAY,Georgia,6.1
2014,SI_POV_LMIC,Georgia,22.0
2014,SI_POV_UMIC,Georgia,57.0
2015,SI_POV_DDAY,Georgia,4.9
2015,SI_POV_LMIC,Georgia,20.0
2015,SI_POV_UMIC,Georgia,56.2
2016,SI_POV_DDAY,Georgia,4.9
2016,SI_POV_LMIC,Georgia,20.1
2016,SI_POV_UMIC,Georgia,56.3
2017,SI_POV_DDAY,Georgia,6.2
2017,SI_POV_LMIC,Georgia,20.1
2017,SI_POV_UMIC,Georgia,53.9
2018,SI_POV_DDAY,Georgia,5.6
2018,SI_POV_LMIC,Georgia,19.6
2018,SI_POV_UMIC,Georgia,53.9
2019,SI_POV_DDAY,Georgia,4.8
2019,SI_POV_LMIC,Georgia,18.5
2019,SI_POV_UMIC,Georgia,54.2
2020,SI_POV_DDAY,Georgia,5.8
2020,SI_POV_LMIC,Georgia,21.4
2020,SI_POV_UMIC,Georgia,58.3
2021,SI_POV_DDAY,Georgia,5.5
2021,SI_POV_LMIC,Georgia,19.1
2021,SI_POV_UMIC,Georgia,55.4
2012,SI_POV_DDAY,Montenegro,3.0
2012,SI_POV_LMIC,Montenegro,10.4
2012,SI_POV_UMIC,Montenegro,26.3
2013,SI_POV_DDAY,Montenegro,3.0
2013,SI_POV_LMIC,Montenegro,8.2
2013,SI_POV_UMIC,Montenegro,23.3
2014,SI_POV_DDAY,Montenegro,1.6
2014,SI_POV_LMIC,Montenegro,8.4
2014,SI_POV_UMIC,Montenegro,22.6
2015,SI_POV_DDAY,Montenegro,1.3
2015,SI_POV_LMIC,Montenegro,8.0
2015,SI_POV_UMIC,Montenegro,21.3
2016,SI_POV_DDAY,Montenegro,2.5
2016,SI_POV_LMIC,Montenegro,5.9
2016,SI_POV_UMIC,Montenegro,17.3
2017,SI_POV_DDAY,Montenegro,3.3
2017,SI_POV_LMIC,Montenegro,7.0
2017,SI_POV_UMIC,Montenegro,17.2
2018,SI_POV_DDAY,Montenegro,2.8
2018,SI_POV_LMIC,Montenegro,6.3
2018,SI_POV_UMIC,Montenegro,18.5
2009,SI_POV_DDAY,North Macedonia,9.8
2009,SI_POV_LMIC,North Macedonia,18.6
2009,SI_POV_UMIC,North Macedonia,40.8
2010,SI_POV_DDAY,North Macedonia,10.4
2010,SI_POV_LMIC,North Macedonia,17.9
2010,SI_POV_UMIC,North Macedonia,37.8
2011,SI_POV_DDAY,North Macedonia,9.1
2011,SI_POV_LMIC,North Macedonia,15.5
2011,SI_POV_UMIC,North Macedonia,37.2
2012,SI_POV_DDAY,North Macedonia,6.9
2012,SI_POV_LMIC,North Macedonia,14.1
2012,SI_POV_UMIC,North Macedonia,35.7
2013,SI_POV_DDAY,North Macedonia,5.2
2013,SI_POV_LMIC,North Macedonia,12.0
2013,SI_POV_UMIC,North Macedonia,34.1
2014,SI_POV_DDAY,North Macedonia,4.5
2014,SI_POV_LMIC,North Macedonia,10.5
2014,SI_POV_UMIC,North Macedonia,29.8
2015,SI_POV_DDAY,North Macedonia,5.5
2015,SI_POV_LMIC,North Macedonia,10.1
2015,SI_POV_UMIC,North Macedonia,28.8
2016,SI_POV_DDAY,North Macedonia,4.2
2016,SI_POV_LMIC,North Macedonia,9.7
2016,SI_POV_UMIC,North Macedonia,24.9
2017,SI_POV_DDAY,North Macedonia,4.5
2017,SI_POV_LMIC,North Macedonia,9.2
2017,SI_POV_UMIC,North Macedonia,23.1
2018,SI_POV_DDAY,North Macedonia,3.4
2018,SI_POV_LMIC,North Macedonia,7.1
2018,SI_POV_UMIC,North Macedonia,20.8
2019,SI_POV_DDAY,North Macedonia,2.7
2019,SI_POV_LMIC,North Macedonia,7.5
2019,SI_POV_UMIC,North Macedonia,19.0
1998,SI_POV_DDAY,Moldova,24.0
1998,SI_POV_LMIC,Moldova,53.1
1998,SI_POV_UMIC,Moldova,83.9
1999,SI_POV_DDAY,Moldova,33.5
1999,SI_POV_LMIC,Moldova,66.0
1999,SI_POV_UMIC,Moldova,88.4
2000,SI_POV_DDAY,Moldova,31.1
2000,SI_POV_LMIC,Moldova,64.7
2000,SI_POV_UMIC,Moldova,90.8
2001,SI_POV_DDAY,Moldova,23.3
2001,SI_POV_LMIC,Moldova,55.1
2001,SI_POV_UMIC,Moldova,85.8
2002,SI_POV_DDAY,Moldova,13.6
2002,SI_POV_LMIC,Moldova,40.5
2002,SI_POV_UMIC,Moldova,76.9
2003,SI_POV_DDAY,Moldova,5.6
2003,SI_POV_LMIC,Moldova,27.7
2003,SI_POV_UMIC,Moldova,69.6
2004,SI_POV_DDAY,Moldova,6.6
2004,SI_POV_LMIC,Moldova,28.7
2004,SI_POV_UMIC,Moldova,70.2
2005,SI_POV_DDAY,Moldova,10.9
2005,SI_POV_LMIC,Moldova,35.7
2005,SI_POV_UMIC,Moldova,75.3
2006,SI_POV_DDAY,Moldova,2.0
2006,SI_POV_LMIC,Moldova,10.6
2006,SI_POV_UMIC,Moldova,41.9
2007,SI_POV_DDAY,Moldova,1.0
2007,SI_POV_LMIC,Moldova,6.5
2007,SI_POV_UMIC,Moldova,32.5
2008,SI_POV_DDAY,Moldova,1.0
2008,SI_POV_LMIC,Moldova,7.2
2008,SI_POV_UMIC,Moldova,34.0
2009,SI_POV_DDAY,Moldova,0.7
2009,SI_POV_LMIC,Moldova,6.6
2009,SI_POV_UMIC,Moldova,33.0
2010,SI_POV_DDAY,Moldova,0.4
2010,SI_POV_LMIC,Moldova,4.5
2010,SI_POV_UMIC,Moldova,30.1
2011,SI_POV_DDAY,Moldova,0.2
2011,SI_POV_LMIC,Moldova,3.1
2011,SI_POV_UMIC,Moldova,27.0
2012,SI_POV_DDAY,Moldova,0.1
2012,SI_POV_LMIC,Moldova,2.3
2012,SI_POV_UMIC,Moldova,25.9
2013,SI_POV_DDAY,Moldova,0.0
2013,SI_POV_LMIC,Moldova,1.6
2013,SI_POV_UMIC,Moldova,21.1
2014,SI_POV_DDAY,Moldova,0.0
2014,SI_POV_LMIC,Moldova,0.8
2014,SI_POV_UMIC,Moldova,19.9
2015,SI_POV_DDAY,Moldova,0.0
2015,SI_POV_LMIC,Moldova,0.9
2015,SI_POV_UMIC,Moldova,17.7
2016,SI_POV_DDAY,Moldova,0.1
2016,SI_POV_LMIC,Moldova,1.1
2016,SI_POV_UMIC,Moldova,17.7
2017,SI_POV_DDAY,Moldova,0.0
2017,SI_POV_LMIC,Moldova,0.7
2017,SI_POV_UMIC,Moldova,17.5
2018,SI_POV_DDAY,Moldova,0.0
2018,SI_POV_LMIC,Moldova,0.6
2018,SI_POV_UMIC,Moldova,14.6
2019,SI_POV_DDAY,Moldova,0.0
2019,SI_POV_LMIC,Moldova,0.4
2019,SI_POV_UMIC,Moldova,14.7
2021,SI_POV_DDAY,Moldova,0.0
2021,SI_POV_LMIC,Moldova,0.3
2021,SI_POV_UMIC,Moldova,14.4
2012,SI_POV_DDAY,Serbia,5.3
2012,SI_POV_LMIC,Serbia,10.2
2012,SI_POV_UMIC,Serbia,25.0
2013,SI_POV_DDAY,Serbia,5.8
2013,SI_POV_LMIC,Serbia,11.6
2013,SI_POV_UMIC,Serbia,28.3
2014,SI_POV_DDAY,Serbia,6.9
2014,SI_POV_LMIC,Serbia,12.2
2014,SI_POV_UMIC,Serbia,28.2
2015,SI_POV_DDAY,Serbia,6.6
2015,SI_POV_LMIC,Serbia,11.6
2015,SI_POV_UMIC,Serbia,27.2
2016,SI_POV_DDAY,Serbia,6.4
2016,SI_POV_LMIC,Serbia,11.0
2016,SI_POV_UMIC,Serbia,24.6
2017,SI_POV_DDAY,Serbia,5.4
2017,SI_POV_LMIC,Serbia,9.0
2017,SI_POV_UMIC,Serbia,21.7
2018,SI_POV_DDAY,Serbia,2.9
2018,SI_POV_LMIC,Serbia,5.9
2018,SI_POV_UMIC,Serbia,17.2
2019,SI_POV_DDAY,Serbia,2.3
2019,SI_POV_LMIC,Serbia,4.0
2019,SI_POV_UMIC,Serbia,12.0
2020,SI_POV_DDAY,Serbia,1.6
2020,SI_POV_LMIC,Serbia,2.8
2020,SI_POV_UMIC,Serbia,10.1
2002,SI_POV_DDAY,Turkiye,2.1
2002,SI_POV_LMIC,Turkiye,12.3
2002,SI_POV_UMIC,Turkiye,38.8
2003,SI_POV_DDAY,Turkiye,3.9
