Year,SeriesCode,Country,Education level,Location,Quantile,Sex,Value
2005,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 2,Both sexes,32
2005,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,97
2005,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 4,Both sexes,99
2005,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 3,Both sexes,96
2005,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 1 (poorest),Both sexes,100
2005,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 2,Both sexes,99
2005,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 3,Both sexes,98
2005,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,48
2005,SE_TOT_CPLR,Albania,UPPSEC,Rural,Total or no breakdown,Both sexes,34
2005,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 5 (richest),Both sexes,77
2005,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 4,Both sexes,60
2005,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 3,Both sexes,53
2005,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,98
2005,SE_TOT_CPLR,Albania,LOWSEC,Urban,Total or no breakdown,Both sexes,96
2006,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,96
2006,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,50
2006,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,48
2006,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,96
2006,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,97
2006,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,97
2006,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,52
2006,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,95
2006,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,98
2007,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,50
2007,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,52
2007,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,96
2007,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,98
2007,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,95
2007,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,54
2007,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,98
2007,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,97
2007,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,96
2008,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,97
2008,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,98
2008,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,57
2008,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,95
2008,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,98
2008,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,96
2008,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,55
2008,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,52
2008,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,96
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 3,Female,37
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 3,Both sexes,32
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 3,Female,25
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Total or no breakdown,Male,30
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 3,Male,54
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 4,Male,64
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 2,Both sexes,26
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 5 (richest),Both sexes,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 5 (richest),Female,92
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 4,Female,65
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 5 (richest),Both sexes,0
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 4,Both sexes,77
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 4,Female,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 2,Female,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 4,Male,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Total or no breakdown,Male,59
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Total or no breakdown,Female,47
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 4,Female,84
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 5 (richest),Female,91
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 5 (richest),Male,93
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 4,Both sexes,81
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Total or no breakdown,Male,81
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Total or no breakdown,Female,85
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,98
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 1 (poorest),Male,0
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 3,Male,99
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 5 (richest),Male,0
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 2,Female,98
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 2,Female,48
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 3,Female,97
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 2,Both sexes,57
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 5 (richest),Male,99
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 1 (poorest),Female,36
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 3,Both sexes,74
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 3,Female,62
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 4,Male,99
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 3,Both sexes,99
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 1 (poorest),Male,97
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 2,Male,99
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 2,Both sexes,58
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 1 (poorest),Both sexes,97
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,51
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Total or no breakdown,Both sexes,27
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 5 (richest),Both sexes,89
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Total or no breakdown,Female,73
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 4,Female,68
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 5 (richest),Male,0
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 3,Both sexes,36
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 2,Male,0
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 2,Female,0
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 2,Male,27
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 4,Male,66
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 5 (richest),Female,0
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 5 (richest),Both sexes,0
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 3,Male,40
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Total or no breakdown,Both sexes,98
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Total or no breakdown,Female,99
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 2,Both sexes,24
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 1 (poorest),Female,0
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 5 (richest),Male,87
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Total or no breakdown,Male,99
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 4,Female,100
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 4,Both sexes,98
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 1 (poorest),Both sexes,0
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 1 (poorest),Male,0
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 5 (richest),Male,99
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 1 (poorest),Both sexes,97
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 5 (richest),Both sexes,99
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 4,Both sexes,98
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 2,Male,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 5 (richest),Male,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 1 (poorest),Female,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 1 (poorest),Both sexes,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 2,Both sexes,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 1 (poorest),Male,0
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 2,Female,25
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 1 (poorest),Both sexes,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 5 (richest),Male,93
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,65
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 4,Both sexes,62
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 5 (richest),Female,0
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 4,Female,97
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 1 (poorest),Female,0
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 3,Male,97
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 3,Both sexes,97
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 4,Both sexes,98
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Total or no breakdown,Both sexes,98
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Total or no breakdown,Both sexes,73
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 4,Both sexes,54
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 3,Female,29
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 1 (poorest),Both sexes,16
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 3,Male,45
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 5 (richest),Both sexes,90
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 1 (poorest),Male,97
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 3,Both sexes,45
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 2,Female,99
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 5 (richest),Female,0
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 2,Both sexes,99
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,98
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 3,Male,100
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 1 (poorest),Both sexes,16
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 4,Male,0
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 3,Female,100
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Total or no breakdown,Female,97
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 5 (richest),Female,91
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 3,Both sexes,100
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Total or no breakdown,Male,98
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 2,Female,0
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 2,Both sexes,89
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,61
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Total or no breakdown,Both sexes,83
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 2,Male,0
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Total or no breakdown,Both sexes,53
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 3,Male,66
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 3,Female,65
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 4,Male,77
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 4,Female,77
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 4,Male,0
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,98
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 1 (poorest),Female,97
2009,SE_TOT_CPLR,Albania,PRIMAR,Rural,Quantile 2,Male,99
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 5 (richest),Female,99
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 4,Female,0
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,46
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 4,Both sexes,67
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Total or no breakdown,Female,23
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 3,Female,99
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 1 (poorest),Male,44
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,68
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 1 (poorest),Male,43
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 1 (poorest),Female,97
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 5 (richest),Female,99
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,48
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 2,Female,25
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 1 (poorest),Female,14
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 2,Both sexes,26
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Total or no breakdown,Male,72
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 5 (richest),Female,90
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 4,Male,76
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 5 (richest),Both sexes,92
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 1 (poorest),Both sexes,40
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 5 (richest),Both sexes,93
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 1 (poorest),Female,37
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 3,Male,73
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 3,Male,63
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 4,Female,97
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 2,Male,67
2009,SE_TOT_CPLR,Albania,PRIMAR,Urban,Quantile 5 (richest),Both sexes,99
2009,SE_TOT_CPLR,Albania,LOWSEC,Urban,Quantile 3,Female,74
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 3,Both sexes,62
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 4,Male,99
2009,SE_TOT_CPLR,Albania,LOWSEC,Rural,Quantile 1 (poorest),Both sexes,40
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 2,Female,49
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 2,Male,66
2009,SE_TOT_CPLR,Albania,PRIMAR,All areas,Quantile 2,Both sexes,98
2009,SE_TOT_CPLR,Albania,LOWSEC,All areas,Quantile 3,Both sexes,66
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 1 (poorest),Male,19
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 4,Both sexes,64
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 2,Male,27
2009,SE_TOT_CPLR,Albania,UPPSEC,Urban,Quantile 5 (richest),Male,89
2009,SE_TOT_CPLR,Albania,UPPSEC,Rural,Quantile 1 (poorest),Male,20
2009,SE_TOT_CPLR,Albania,UPPSEC,All areas,Quantile 1 (poorest),Female,13
2010,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,58
2010,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,96
2010,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,97
2010,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,98
2010,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,62
2010,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,95
2010,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,98
2010,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,96
2010,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,60
2011,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Female,61
2011,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,63
2011,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,96
2011,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,98
2011,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,95
2011,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,64
2011,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Female,98
2011,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Male,97
2011,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Female,96
2012,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Male,67
2012,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Male,95
2012,SE_TOT_CPLR,Albania,PRIMAR,All areas,Total or no breakdown,Both sexes,98
2012,SE_TOT_CPLR,Albania,LOWSEC,All areas,Total or no breakdown,Both sexes,96
2012,SE_TOT_CPLR,Albania,UPPSEC,All areas,Total or no breakdown,Both sexes,67
