Year,Metric,GeoAreaName,Value
2010,Regulatory Quality,Austria,1.450515866
2009,Regulatory Quality,Austria,1.450018525
2008,Regulatory Quality,Austria,1.60645175
2007,Regulatory Quality,Austria,1.691163898
2006,Regulatory Quality,Austria,1.644411087
2005,Regulatory Quality,Austria,1.604957461
2004,Regulatory Quality,Austria,1.514102817
2003,Regulatory Quality,Austria,1.537136078
2002,Regulatory Quality,Austria,1.538056254
2000,Regulatory Quality,Austria,1.47547555
1998,Regulatory Quality,Austria,1.346461296
1996,Regulatory Quality,Austria,1.658712149
2021,Regulatory Quality,Azerbaijan,-0.059605457
2020,Regulatory Quality,Azerbaijan,-0.323556036
2019,Regulatory Quality,Azerbaijan,-0.214039907
2018,Regulatory Quality,Azerbaijan,-0.302665323
2017,Regulatory Quality,Azerbaijan,-0.357856959
2016,Regulatory Quality,Azerbaijan,-0.386264741
2015,Regulatory Quality,Azerbaijan,-0.353247523
2014,Regulatory Quality,Azerbaijan,-0.268493652
2013,Regulatory Quality,Azerbaijan,-0.425340503
2012,Regulatory Quality,Azerbaijan,-0.488716811
2011,Regulatory Quality,Azerbaijan,-0.386364639
2010,Regulatory Quality,Azerbaijan,-0.392555356
2009,Regulatory Quality,Azerbaijan,-0.316738784
2008,Regulatory Quality,Azerbaijan,-0.367752314
2007,Regulatory Quality,Azerbaijan,-0.466508985
2006,Regulatory Quality,Azerbaijan,-0.52337569
2005,Regulatory Quality,Azerbaijan,-0.580545425
2004,Regulatory Quality,Azerbaijan,-0.621019125
2003,Regulatory Quality,Azerbaijan,-0.601958394
2002,Regulatory Quality,Azerbaijan,-0.731832385
2000,Regulatory Quality,Azerbaijan,-0.859866619
1998,Regulatory Quality,Azerbaijan,-1.046715021
1996,Regulatory Quality,Azerbaijan,-1.196308613
2021,Regulatory Quality,Belgium,1.342472672
2020,Regulatory Quality,Belgium,1.354357123
2019,Regulatory Quality,Belgium,1.289381981
2018,Regulatory Quality,Belgium,1.266826153
2017,Regulatory Quality,Belgium,1.242281437
2016,Regulatory Quality,Belgium,1.337367177
2015,Regulatory Quality,Belgium,1.283219576
2014,Regulatory Quality,Belgium,1.152885199
2013,Regulatory Quality,Belgium,1.283747077
2012,Regulatory Quality,Belgium,1.222170353
2011,Regulatory Quality,Belgium,1.236216903
2010,Regulatory Quality,Belgium,1.282815099
2009,Regulatory Quality,Belgium,1.310220242
2008,Regulatory Quality,Belgium,1.405670285
2007,Regulatory Quality,Belgium,1.420544147
2006,Regulatory Quality,Belgium,1.329937816
2005,Regulatory Quality,Belgium,1.271361947
2004,Regulatory Quality,Belgium,1.346416473
2003,Regulatory Quality,Belgium,1.281626225
2002,Regulatory Quality,Belgium,1.254180551
2000,Regulatory Quality,Belgium,1.152969837
1998,Regulatory Quality,Belgium,1.005810738
1996,Regulatory Quality,Belgium,1.21423173
2021,Regulatory Quality,Bulgaria,0.448316187
2020,Regulatory Quality,Bulgaria,0.474105209
2019,Regulatory Quality,Bulgaria,0.543415308
2018,Regulatory Quality,Bulgaria,0.615697503
2017,Regulatory Quality,Bulgaria,0.668624163
2016,Regulatory Quality,Bulgaria,0.710182667
2015,Regulatory Quality,Bulgaria,0.591456354
2014,Regulatory Quality,Bulgaria,0.585273623
2013,Regulatory Quality,Bulgaria,0.549109817
2012,Regulatory Quality,Bulgaria,0.574710846
2011,Regulatory Quality,Bulgaria,0.552520037
2010,Regulatory Quality,Bulgaria,0.680432558
2009,Regulatory Quality,Bulgaria,0.694785178
2008,Regulatory Quality,Bulgaria,0.734121799
2007,Regulatory Quality,Bulgaria,0.643360615
2006,Regulatory Quality,Bulgaria,0.616540432
2005,Regulatory Quality,Bulgaria,0.657545507
2004,Regulatory Quality,Bulgaria,0.707843781
2003,Regulatory Quality,Bulgaria,0.668375254
2002,Regulatory Quality,Bulgaria,0.52767992
2000,Regulatory Quality,Bulgaria,0.19995749
1998,Regulatory Quality,Bulgaria,0.18892239
1996,Regulatory Quality,Bulgaria,-0.184434712
2021,Regulatory Quality,Bosnia and Herzegovina,-0.178626731
2020,Regulatory Quality,Bosnia and Herzegovina,-0.166626409
2019,Regulatory Quality,Bosnia and Herzegovina,-0.112791009
2018,Regulatory Quality,Bosnia and Herzegovina,-0.128680289
2017,Regulatory Quality,Bosnia and Herzegovina,-0.043219082
2016,Regulatory Quality,Bosnia and Herzegovina,-0.128769919
2015,Regulatory Quality,Bosnia and Herzegovina,-0.167333737
2014,Regulatory Quality,Bosnia and Herzegovina,-0.041672681
2013,Regulatory Quality,Bosnia and Herzegovina,-0.074898683
2012,Regulatory Quality,Bosnia and Herzegovina,-0.061737765
2011,Regulatory Quality,Bosnia and Herzegovina,-0.058966167
2010,Regulatory Quality,Bosnia and Herzegovina,-0.119476207
2009,Regulatory Quality,Bosnia and Herzegovina,-0.110355966
2008,Regulatory Quality,Bosnia and Herzegovina,-0.175438628
2007,Regulatory Quality,Bosnia and Herzegovina,-0.286616474
2006,Regulatory Quality,Bosnia and Herzegovina,-0.468090147
2005,Regulatory Quality,Bosnia and Herzegovina,-0.578913093
2004,Regulatory Quality,Bosnia and Herzegovina,-0.23462072
2003,Regulatory Quality,Bosnia and Herzegovina,-0.46620518
2002,Regulatory Quality,Bosnia and Herzegovina,-0.607061386
2000,Regulatory Quality,Bosnia and Herzegovina,-0.683763087
1998,Regulatory Quality,Bosnia and Herzegovina,-1.030670643
1996,Regulatory Quality,Bosnia and Herzegovina,-0.910771251
2021,Regulatory Quality,Belarus,-0.919227362
2020,Regulatory Quality,Belarus,-0.784566402
2019,Regulatory Quality,Belarus,-0.663383305
2018,Regulatory Quality,Belarus,-0.801075876
2017,Regulatory Quality,Belarus,-0.841620028
2016,Regulatory Quality,Belarus,-1.079789042
2015,Regulatory Quality,Belarus,-1.143447757
2014,Regulatory Quality,Belarus,-1.099450231
2013,Regulatory Quality,Belarus,-1.159445167
2012,Regulatory Quality,Belarus,-1.174061537
2011,Regulatory Quality,Belarus,-1.323641777
2010,Regulatory Quality,Belarus,-1.188309073
2009,Regulatory Quality,Belarus,-1.157031417
2008,Regulatory Quality,Belarus,-1.246820211
2007,Regulatory Quality,Belarus,-1.42256093
2006,Regulatory Quality,Belarus,-1.596236467
2005,Regulatory Quality,Belarus,-1.44191277
2004,Regulatory Quality,Belarus,-1.190362096
2003,Regulatory Quality,Belarus,-1.30027616
2002,Regulatory Quality,Belarus,-1.395955443
2000,Regulatory Quality,Belarus,-1.496406198
1998,Regulatory Quality,Belarus,-1.495453
1996,Regulatory Quality,Belarus,-1.093996763
2021,Regulatory Quality,Switzerland,1.732929707
2020,Regulatory Quality,Switzerland,1.594970226
2019,Regulatory Quality,Switzerland,1.663013697
2018,Regulatory Quality,Switzerland,1.79746151
2017,Regulatory Quality,Switzerland,1.881804347
2016,Regulatory Quality,Switzerland,1.908908963
2015,Regulatory Quality,Switzerland,1.736241698
2014,Regulatory Quality,Switzerland,1.800340295
2013,Regulatory Quality,Switzerland,1.619792342
2012,Regulatory Quality,Switzerland,1.651066184
2011,Regulatory Quality,Switzerland,1.61533618
2010,Regulatory Quality,Switzerland,1.620867133
2009,Regulatory Quality,Switzerland,1.549013495
2008,Regulatory Quality,Switzerland,1.562006712
2007,Regulatory Quality,Switzerland,1.645464301
2006,Regulatory Quality,Switzerland,1.495481372
2005,Regulatory Quality,Switzerland,1.550629139
2004,Regulatory Quality,Switzerland,1.636825681
2003,Regulatory Quality,Switzerland,1.683715343
2002,Regulatory Quality,Switzerland,1.733826637
2000,Regulatory Quality,Switzerland,1.792244911
1998,Regulatory Quality,Switzerland,1.641245961
1996,Regulatory Quality,Switzerland,1.55765903
2021,Regulatory Quality,Cyprus,0.859048605
2020,Regulatory Quality,Cyprus,1.004639149
2019,Regulatory Quality,Cyprus,1.010613084
2018,Regulatory Quality,Cyprus,0.871259332
2017,Regulatory Quality,Cyprus,1.028041244
2016,Regulatory Quality,Cyprus,1.049146056
2015,Regulatory Quality,Cyprus,1.057938099
2014,Regulatory Quality,Cyprus,1.094099283
2013,Regulatory Quality,Cyprus,0.910857201
2012,Regulatory Quality,Cyprus,1.124545097
2011,Regulatory Quality,Cyprus,1.231003046
2010,Regulatory Quality,Cyprus,1.42102325
2009,Regulatory Quality,Cyprus,1.360155106
2008,Regulatory Quality,Cyprus,1.367998362
2007,Regulatory Quality,Cyprus,1.33180058
2006,Regulatory Quality,Cyprus,1.276648402
2005,Regulatory Quality,Cyprus,1.220127702
2004,Regulatory Quality,Cyprus,1.219127893
2003,Regulatory Quality,Cyprus,1.181729555
2002,Regulatory Quality,Cyprus,1.193389654
2000,Regulatory Quality,Cyprus,1.087764502
1998,Regulatory Quality,Cyprus,1.155306935
1996,Regulatory Quality,Cyprus,1.261966825
2021,Regulatory Quality,Czechia,1.348507047
2020,Regulatory Quality,Czechia,1.244384527
2019,Regulatory Quality,Czechia,1.243492723
2018,Regulatory Quality,Czechia,1.27421844
2017,Regulatory Quality,Czechia,1.230645299
2016,Regulatory Quality,Czechia,0.982883334
2015,Regulatory Quality,Czechia,1.094446421
2014,Regulatory Quality,Czechia,1.001393437
2013,Regulatory Quality,Czechia,1.078564048
2012,Regulatory Quality,Czechia,1.053033829
2011,Regulatory Quality,Czechia,1.195796847
2010,Regulatory Quality,Czechia,1.297292113
2009,Regulatory Quality,Czechia,1.309280157
2008,Regulatory Quality,Czechia,1.222459078
2007,Regulatory Quality,Czechia,1.053171277
2006,Regulatory Quality,Czechia,1.108067632
2005,Regulatory Quality,Czechia,1.109028459
2004,Regulatory Quality,Czechia,0.999590993
2003,Regulatory Quality,Czechia,1.136814356
2002,Regulatory Quality,Czechia,1.11261797
2000,Regulatory Quality,Czechia,0.743665814
1998,Regulatory Quality,Czechia,0.916880608
1996,Regulatory Quality,Czechia,1.071839333
2021,Regulatory Quality,Germany,1.631536007
2020,Regulatory Quality,Germany,1.587336659
2019,Regulatory Quality,Germany,1.721608162
2018,Regulatory Quality,Germany,1.761803269
2017,Regulatory Quality,Germany,1.781149268
2016,Regulatory Quality,Germany,1.813969851
2015,Regulatory Quality,Germany,1.718244433
2014,Regulatory Quality,Germany,1.697039127
2013,Regulatory Quality,Germany,1.544340372
2012,Regulatory Quality,Germany,1.529082894
2011,Regulatory Quality,Germany,1.548867702
2010,Regulatory Quality,Germany,1.570686102
2009,Regulatory Quality,Germany,1.516452789
2008,Regulatory Quality,Germany,1.488884568
2007,Regulatory Quality,Germany,1.616165519
2006,Regulatory Quality,Germany,1.568908811
2005,Regulatory Quality,Germany,1.515106559
2004,Regulatory Quality,Germany,1.469573021
2003,Regulatory Quality,Germany,1.501877904
2002,Regulatory Quality,Germany,1.510943174
2000,Regulatory Quality,Germany,1.456143498
1998,Regulatory Quality,Germany,1.231304526
1996,Regulatory Quality,Germany,1.481484294
2021,Regulatory Quality,Denmark,1.808820605
2020,Regulatory Quality,Denmark,1.79638803
2019,Regulatory Quality,Denmark,1.563506484
2018,Regulatory Quality,Denmark,1.635126829
2017,Regulatory Quality,Denmark,1.61937356
2016,Regulatory Quality,Denmark,1.572224855
2015,Regulatory Quality,Denmark,1.729733348
2014,Regulatory Quality,Denmark,1.681104422
2013,Regulatory Quality,Denmark,1.800287366
2012,Regulatory Quality,Denmark,1.799161315
2011,Regulatory Quality,Denmark,1.898631096
2010,Regulatory Quality,Denmark,1.873854399
2009,Regulatory Quality,Denmark,1.878651261
2008,Regulatory Quality,Denmark,1.873647332
2007,Regulatory Quality,Denmark,1.92670846
2006,Regulatory Quality,Denmark,1.803427815
2005,Regulatory Quality,Denmark,1.649631262
2004,Regulatory Quality,Denmark,1.748650074
2003,Regulatory Quality,Denmark,1.73271966
2002,Regulatory Quality,Denmark,1.711368322
2000,Regulatory Quality,Denmark,1.710643649
1998,Regulatory Quality,Denmark,1.711708307
1996,Regulatory Quality,Denmark,1.783265352
2021,Regulatory Quality,Spain,0.811001599
2020,Regulatory Quality,Spain,0.768865943
2019,Regulatory Quality,Spain,1.048474908
2018,Regulatory Quality,Spain,0.947160602
2017,Regulatory Quality,Spain,0.940882087
2016,Regulatory Quality,Spain,1.005098581
2015,Regulatory Quality,Spain,0.803421438
2014,Regulatory Quality,Spain,0.74645406
2013,Regulatory Quality,Spain,0.932680726
2012,Regulatory Quality,Spain,0.947154939
2011,Regulatory Quality,Spain,1.060738206
2010,Regulatory Quality,Spain,1.15819037
2009,Regulatory Quality,Spain,1.187052488
2008,Regulatory Quality,Spain,1.254889965
2007,Regulatory Quality,Spain,1.215253234
2006,Regulatory Quality,Spain,1.176645756
2005,Regulatory Quality,Spain,1.30437541
2004,Regulatory Quality,Spain,1.306747794
2003,Regulatory Quality,Spain,1.304303527
2002,Regulatory Quality,Spain,1.329032183
2000,Regulatory Quality,Spain,1.238091946
1998,Regulatory Quality,Spain,1.196217299
1996,Regulatory Quality,Spain,1.184066415
2021,Regulatory Quality,Estonia,1.559108973
2020,Regulatory Quality,Estonia,1.539809346
2019,Regulatory Quality,Estonia,1.589628816
2018,Regulatory Quality,Estonia,1.550559521
2017,Regulatory Quality,Estonia,1.640106797
2016,Regulatory Quality,Estonia,1.695028782
2015,Regulatory Quality,Estonia,1.664242387
2014,Regulatory Quality,Estonia,1.670609236
2013,Regulatory Quality,Estonia,1.439240932
2012,Regulatory Quality,Estonia,1.410284042
2011,Regulatory Quality,Estonia,1.385317087
2010,Regulatory Quality,Estonia,1.388202071
2009,Regulatory Quality,Estonia,1.392692685
2008,Regulatory Quality,Estonia,1.388366342
2007,Regulatory Quality,Estonia,1.322783232
2006,Regulatory Quality,Estonia,1.29370141
2005,Regulatory Quality,Estonia,1.247087121
2004,Regulatory Quality,Estonia,1.225506902
2003,Regulatory Quality,Estonia,1.17419982
2002,Regulatory Quality,Estonia,1.263140082
2000,Regulatory Quality,Estonia,1.271518111
1998,Regulatory Quality,Estonia,1.195787311
1996,Regulatory Quality,Estonia,1.240009665
2021,Regulatory Quality,Finland,1.898075581
2020,Regulatory Quality,Finland,1.860526443
2019,Regulatory Quality,Finland,1.84962523
2018,Regulatory Quality,Finland,1.784577489
2017,Regulatory Quality,Finland,1.817978024
2016,Regulatory Quality,Finland,1.814362049
2015,Regulatory Quality,Finland,1.831471682
2014,Regulatory Quality,Finland,1.877657652
2013,Regulatory Quality,Finland,1.841672182
2012,Regulatory Quality,Finland,1.821589112
2011,Regulatory Quality,Finland,1.813329816
2010,Regulatory Quality,Finland,1.873101711
2009,Regulatory Quality,Finland,1.809459329
2008,Regulatory Quality,Finland,1.610931396
2007,Regulatory Quality,Finland,1.548881292
2006,Regulatory Quality,Finland,1.601819754
2005,Regulatory Quality,Finland,1.661587238
2004,Regulatory Quality,Finland,1.780430794
2003,Regulatory Quality,Finland,1.826323748
2002,Regulatory Quality,Finland,1.815653443
2000,Regulatory Quality,Finland,1.782545924
1998,Regulatory Quality,Finland,1.761387587
1996,Regulatory Quality,Finland,1.54816103
2021,Regulatory Quality,France,1.235557437
2020,Regulatory Quality,France,1.198949456
2019,Regulatory Quality,France,1.438735008
2018,Regulatory Quality,France,1.154914618
2017,Regulatory Quality,France,1.154984117
2016,Regulatory Quality,France,1.066853166
2015,Regulatory Quality,France,1.125261545
2014,Regulatory Quality,France,1.074068427
2013,Regulatory Quality,France,1.149894834
2012,Regulatory Quality,France,1.124174118
2011,Regulatory Quality,France,1.156042576
2010,Regulatory Quality,France,1.310160756
2009,Regulatory Quality,France,1.214702845
2008,Regulatory Quality,France,1.284252644
2007,Regulatory Quality,France,1.287566423
2006,Regulatory Quality,France,1.239821672
2005,Regulatory Quality,France,1.244961619
2004,Regulatory Quality,France,1.21646452
2003,Regulatory Quality,France,1.215464473
2002,Regulatory Quality,France,0.975888848
2000,Regulatory Quality,France,0.914936781
1998,Regulatory Quality,France,0.825750649
1996,Regulatory Quality,France,1.048776388
2021,Regulatory Quality,Georgia,1.060541391
2020,Regulatory Quality,Georgia,1.011490703
2019,Regulatory Quality,Georgia,1.033326149
2018,Regulatory Quality,Georgia,1.03835392
2017,Regulatory Quality,Georgia,0.957064092
2016,Regulatory Quality,Georgia,0.86886698
2015,Regulatory Quality,Georgia,0.765643656
2014,Regulatory Quality,Georgia,0.760027528
2013,Regulatory Quality,Georgia,0.725804985
2012,Regulatory Quality,Georgia,0.664130926
2011,Regulatory Quality,Georgia,0.651625037
2010,Regulatory Quality,Georgia,0.586639822
2009,Regulatory Quality,Georgia,0.508792341
2008,Regulatory Quality,Georgia,0.475642592
2007,Regulatory Quality,Georgia,0.29865846
2006,Regulatory Quality,Georgia,-0.128548279
2005,Regulatory Quality,Georgia,-0.604643524
2004,Regulatory Quality,Georgia,-0.437420189
2003,Regulatory Quality,Georgia,-0.617242515
2002,Regulatory Quality,Georgia,-0.736232042
2000,Regulatory Quality,Georgia,-0.51660037
1998,Regulatory Quality,Georgia,-0.701988518
1996,Regulatory Quality,Georgia,-1.014463782
2021,Regulatory Quality,Greece,0.44170779
2020,Regulatory Quality,Greece,0.550261974
2019,Regulatory Quality,Greece,0.527953088
2018,Regulatory Quality,Greece,0.412088543
2017,Regulatory Quality,Greece,0.23626326
2016,Regulatory Quality,Greece,0.144393101
2015,Regulatory Quality,Greece,0.405676454
2014,Regulatory Quality,Greece,0.326164484
2013,Regulatory Quality,Greece,0.628217578
2012,Regulatory Quality,Greece,0.521992683
2011,Regulatory Quality,Greece,0.492343783
2010,Regulatory Quality,Greece,0.642821491
2009,Regulatory Quality,Greece,0.834921479
2008,Regulatory Quality,Greece,0.881061792
2007,Regulatory Quality,Greece,0.894383371
2006,Regulatory Quality,Greece,0.85774231
2005,Regulatory Quality,Greece,0.958650231
2004,Regulatory Quality,Greece,0.836224496
2003,Regulatory Quality,Greece,0.987252712
2002,Regulatory Quality,Greece,0.946032047
2000,Regulatory Quality,Greece,0.736641586
1998,Regulatory Quality,Greece,0.577563286
1996,Regulatory Quality,Greece,0.537135065
2021,Regulatory Quality,Croatia,0.502004385
2020,Regulatory Quality,Croatia,0.373428524
2019,Regulatory Quality,Croatia,0.56277436
2018,Regulatory Quality,Croatia,0.499120563
2017,Regulatory Quality,Croatia,0.311782539
2016,Regulatory Quality,Croatia,0.248335615
2015,Regulatory Quality,Croatia,0.252695084
2014,Regulatory Quality,Croatia,0.276575357
2013,Regulatory Quality,Croatia,0.369632989
2012,Regulatory Quality,Croatia,0.353815705
2011,Regulatory Quality,Croatia,0.442892551
2010,Regulatory Quality,Croatia,0.489483297
2009,Regulatory Quality,Croatia,0.472275615
2008,Regulatory Quality,Croatia,0.413963556
2007,Regulatory Quality,Croatia,0.411397368
2006,Regulatory Quality,Croatia,0.365195125
2005,Regulatory Quality,Croatia,0.475249559
2004,Regulatory Quality,Croatia,0.531916022
2003,Regulatory Quality,Croatia,0.466213048
2002,Regulatory Quality,Croatia,0.294281095
2000,Regulatory Quality,Croatia,-0.118701681
1998,Regulatory Quality,Croatia,-0.14538075
1996,Regulatory Quality,Croatia,-0.17141071
2021,Regulatory Quality,Hungary,0.496175766
2020,Regulatory Quality,Hungary,0.481639713
2019,Regulatory Quality,Hungary,0.601590693
2018,Regulatory Quality,Hungary,0.573088288
2017,Regulatory Quality,Hungary,0.647817969
2016,Regulatory Quality,Hungary,0.599686682
2015,Regulatory Quality,Hungary,0.762045562
2014,Regulatory Quality,Hungary,0.747946262
2013,Regulatory Quality,Hungary,0.899946392
2012,Regulatory Quality,Hungary,0.982062161
2011,Regulatory Quality,Hungary,1.027545452
2010,Regulatory Quality,Hungary,1.014453888
2009,Regulatory Quality,Hungary,1.081859827
2008,Regulatory Quality,Hungary,1.17410326
2007,Regulatory Quality,Hungary,1.206072092
2006,Regulatory Quality,Hungary,1.20098865
2005,Regulatory Quality,Hungary,1.047473431
2004,Regulatory Quality,Hungary,1.168114185
2003,Regulatory Quality,Hungary,1.118963718
2002,Regulatory Quality,Hungary,1.259091735
2000,Regulatory Quality,Hungary,1.042225122
1998,Regulatory Quality,Hungary,0.960597098
1996,Regulatory Quality,Hungary,0.850572765
2021,Regulatory Quality,Ireland,1.562218428
2020,Regulatory Quality,Ireland,1.477955937
2019,Regulatory Quality,Ireland,1.600419521
2018,Regulatory Quality,Ireland,1.626639247
2017,Regulatory Quality,Ireland,1.583136082
2016,Regulatory Quality,Ireland,1.737876177
2015,Regulatory Quality,Ireland,1.813976288
2014,Regulatory Quality,Ireland,1.758731842
2013,Regulatory Quality,Ireland,1.574061632
2012,Regulatory Quality,Ireland,1.563885331
2011,Regulatory Quality,Ireland,1.594802141
2010,Regulatory Quality,Ireland,1.618432999
2009,Regulatory Quality,Ireland,1.695926785
2008,Regulatory Quality,Ireland,1.914259195
2007,Regulatory Quality,Ireland,1.850816965
2006,Regulatory Quality,Ireland,1.837045074
2005,Regulatory Quality,Ireland,1.487961888
2004,Regulatory Quality,Ireland,1.56711328
2003,Regulatory Quality,Ireland,1.58466208
2002,Regulatory Quality,Ireland,1.719497442
2000,Regulatory Quality,Ireland,1.781777143
1998,Regulatory Quality,Ireland,1.638005257
1996,Regulatory Quality,Ireland,1.512729764
2021,Regulatory Quality,Iceland,1.53473568
2020,Regulatory Quality,Iceland,1.452088833
2019,Regulatory Quality,Iceland,1.371400595
2018,Regulatory Quality,Iceland,1.414281607
2017,Regulatory Quality,Iceland,1.430084705
2016,Regulatory Quality,Iceland,1.273493886
2015,Regulatory Quality,Iceland,1.269204736
2014,Regulatory Quality,Iceland,1.21289432
2013,Regulatory Quality,Iceland,1.132940769
2012,Regulatory Quality,Iceland,1.113124132
2011,Regulatory Quality,Iceland,1.051945329
2010,Regulatory Quality,Iceland,0.920679152
2009,Regulatory Quality,Iceland,1.013762355
2008,Regulatory Quality,Iceland,1.310835004
2007,Regulatory Quality,Iceland,1.50993681
2006,Regulatory Quality,Iceland,1.526693583
2005,Regulatory Quality,Iceland,1.602320313
2004,Regulatory Quality,Iceland,1.612708211
2003,Regulatory Quality,Iceland,1.630003452
2002,Regulatory Quality,Iceland,1.505573153
2000,Regulatory Quality,Iceland,1.552639365
1998,Regulatory Quality,Iceland,1.300396681
1996,Regulatory Quality,Iceland,1.253651857
2021,Regulatory Quality,Italy,0.545158207
2020,Regulatory Quality,Italy,0.503073335
2019,Regulatory Quality,Italy,0.953209758
2018,Regulatory Quality,Italy,0.724453866
2017,Regulatory Quality,Italy,0.702070951
2016,Regulatory Quality,Italy,0.706917465
2015,Regulatory Quality,Italy,0.724648535
2014,Regulatory Quality,Italy,0.638065696
2013,Regulatory Quality,Italy,0.778938115
2012,Regulatory Quality,Italy,0.744578302
2011,Regulatory Quality,Italy,0.713232815
2010,Regulatory Quality,Italy,0.894350588
2009,Regulatory Quality,Italy,0.966553986
2008,Regulatory Quality,Italy,0.974892855
2007,Regulatory Quality,Italy,0.940306902
2006,Regulatory Quality,Italy,0.976830065
2005,Regulatory Quality,Italy,0.996279657
2004,Regulatory Quality,Italy,1.084582567
2003,Regulatory Quality,Italy,1.044891357
2002,Regulatory Quality,Italy,0.90430069
2000,Regulatory Quality,Italy,0.791893303
1998,Regulatory Quality,Italy,0.711156845
1996,Regulatory Quality,Italy,0.855295658
2021,Regulatory Quality,Kazakhstan,0.089868896
2020,Regulatory Quality,Kazakhstan,0.120286413
2019,Regulatory Quality,Kazakhstan,0.118897773
2018,Regulatory Quality,Kazakhstan,0.105743252
2017,Regulatory Quality,Kazakhstan,0.16787082
2016,Regulatory Quality,Kazakhstan,-0.151735261
2015,Regulatory Quality,Kazakhstan,-0.074353531
2014,Regulatory Quality,Kazakhstan,-0.239125565
2013,Regulatory Quality,Kazakhstan,-0.375282854
2012,Regulatory Quality,Kazakhstan,-0.390580028
2011,Regulatory Quality,Kazakhstan,-0.235385776
2010,Regulatory Quality,Kazakhstan,-0.283094168
2009,Regulatory Quality,Kazakhstan,-0.268264323
2008,Regulatory Quality,Kazakhstan,-0.294380695
2007,Regulatory Quality,Kazakhstan,-0.350907624
2006,Regulatory Quality,Kazakhstan,-0.34330833
2005,Regulatory Quality,Kazakhstan,-0.281207561
2004,Regulatory Quality,Kazakhstan,-0.472706974
2003,Regulatory Quality,Kazakhstan,-0.403342277
2002,Regulatory Quality,Kazakhstan,-0.693716347
2000,Regulatory Quality,Kazakhstan,-0.612051308
1998,Regulatory Quality,Kazakhstan,-0.410246044
1996,Regulatory Quality,Kazakhstan,-0.334077597
2021,Regulatory Quality,Kyrgyzstan,-0.577635109
2020,Regulatory Quality,Kyrgyzstan,-0.401575565
2019,Regulatory Quality,Kyrgyzstan,-0.34816134
2018,Regulatory Quality,Kyrgyzstan,-0.351335853
2017,Regulatory Quality,Kyrgyzstan,-0.359377325
2016,Regulatory Quality,Kyrgyzstan,-0.366465747
2015,Regulatory Quality,Kyrgyzstan,-0.5149616
2014,Regulatory Quality,Kyrgyzstan,-0.450190425
2013,Regulatory Quality,Kyrgyzstan,-0.325828105
2012,Regulatory Quality,Kyrgyzstan,-0.34460786
2011,Regulatory Quality,Kyrgyzstan,-0.223706394
2010,Regulatory Quality,Kyrgyzstan,-0.26139462
2009,Regulatory Quality,Kyrgyzstan,-0.333194166
2008,Regulatory Quality,Kyrgyzstan,-0.350435883
2007,Regulatory Quality,Kyrgyzstan,-0.416844815
