Year,GeoAreaName,Value
2014,Iceland,76.95
2015,Iceland,77.76
2016,Iceland,80.77
2017,Iceland,80.68
2018,Iceland,81.26
2019,Iceland,81.57
2020,Iceland,82.79
2000,India,46.88
2001,India,47.11
2002,India,45.75
2003,India,45.63
2004,India,44.92
2005,India,44.16
2006,India,43.16
2007,India,41.54
2008,India,39.38
2009,India,37.41
2010,India,36.16
2011,India,35.01
2012,India,34.75
2013,India,34.86
2014,India,33.85
2015,India,33.4
2016,India,33.01
2017,India,32.57
2018,India,32.73
2019,India,33.27
2020,India,35.82
2000,Ireland,2.04
2001,Ireland,1.97
2002,Ireland,2.25
2003,Ireland,2.01
2004,Ireland,2.31
2005,Ireland,2.89
2006,Ireland,3.23
2007,Ireland,3.55
2008,Ireland,4.19
2009,Ireland,5.3
2010,Ireland,5.29
2011,Ireland,6.96
2012,Ireland,6.9
2013,Ireland,7.71
2014,Ireland,8.78
2015,Ireland,9.52
2016,Ireland,8.61
2017,Ireland,10.11
2018,Ireland,10.83
2019,Ireland,12.33
2020,Ireland,13.69
2015,Belarus,6.82
2016,Belarus,6.72
2017,Belarus,7.28
2018,Belarus,7.21
2019,Belarus,7.81
2020,Belarus,8.39
2000,China,29.63
2001,China,28.36
2002,China,27.0
2003,China,23.86
2004,China,20.17
2005,China,17.44
2006,China,16.39
2007,China,14.88
2000,Italy,5.12
2001,Italy,5.38
2002,Italy,5.6
2003,Italy,6.24
2004,Italy,5.94
2005,Italy,6.7
2006,Italy,7.51
2007,Italy,8.73
2008,Italy,10.82
2009,Italy,12.54
2010,Italy,12.79
2011,Italy,11.9
2012,Italy,14.39
2013,Italy,16.32
2008,China,14.14
2009,China,13.43
2010,China,12.26
2011,China,11.34
2012,China,11.53
2013,China,11.47
2014,China,11.91
2015,China,12.18
2016,China,12.6
2017,China,13.14
2018,China,13.55
2019,China,14.33
2020,China,14.81
2000,Croatia,26.76
2001,Croatia,26.92
2002,Croatia,24.61
2003,Croatia,24.82
2004,Croatia,26.56
2005,Croatia,26.82
2006,Croatia,25.51
2007,Croatia,22.66
2008,Croatia,24.14
2009,Croatia,27.16
2010,Croatia,29.75
2011,Croatia,27.16
2012,Croatia,29.4
2013,Croatia,32.82
2014,Croatia,33.6
2015,Croatia,33.09
2016,Croatia,31.83
2017,Croatia,29.79
2018,Croatia,32.83
2019,Croatia,31.6
2020,Croatia,32.37
2000,Cyprus,3.08
2001,Cyprus,3.03
2002,Cyprus,3.16
2003,Cyprus,3.24
2004,Cyprus,3.29
2005,Cyprus,3.34
2006,Cyprus,3.5
2007,Cyprus,4.32
2014,Italy,17.13
2015,Italy,16.57
2016,Italy,16.09
2017,Italy,16.43
2018,Italy,17.08
2019,Italy,17.27
2020,Italy,18.69
2000,Kazakhstan,2.5
2001,Kazakhstan,2.41
2002,Kazakhstan,2.77
2003,Kazakhstan,2.28
2004,Kazakhstan,1.89
2005,Kazakhstan,2.09
2006,Kazakhstan,2.13
2008,Cyprus,5.45
2009,Cyprus,6.29
2010,Cyprus,6.5
2011,Cyprus,7.6
2012,Cyprus,8.6
2013,Cyprus,9.73
2014,Cyprus,9.49
2015,Cyprus,10.41
2016,Cyprus,10.27
2017,Cyprus,10.94
2018,Cyprus,12.02
2019,Cyprus,11.97
2020,Cyprus,15.02
2000,Czechia,5.94
2007,Kazakhstan,1.83
2008,Kazakhstan,1.15
2009,Kazakhstan,1.31
2010,Kazakhstan,1.38
2011,Kazakhstan,1.38
2012,Kazakhstan,1.33
2013,Kazakhstan,1.16
2014,Kazakhstan,1.34
2015,Kazakhstan,1.72
2016,Kazakhstan,2.07
2017,Kazakhstan,2.01
2018,Kazakhstan,1.88
2019,Kazakhstan,1.85
2001,Czechia,6.29
2002,Czechia,7.28
2003,Czechia,6.72
2004,Czechia,7.13
2005,Czechia,7.53
2006,Czechia,7.88
2007,Czechia,8.32
2008,Czechia,8.99
2009,Czechia,10.25
2010,Czechia,10.95
2011,Czechia,12.16
2012,Czechia,12.8
2013,Czechia,13.95
2014,Czechia,14.85
2015,Czechia,14.84
2016,Czechia,14.77
2017,Czechia,14.46
2018,Czechia,14.72
2019,Czechia,15.88
2020,Czechia,16.97
2000,Denmark,10.73
2001,Denmark,11.12
2002,Denmark,11.86
2003,Denmark,12.72
2004,Denmark,14.44
2005,Denmark,16.12
2006,Denmark,15.26
2007,Denmark,17.69
2020,Kazakhstan,1.78
2000,Kyrgyzstan,35.16
2001,Kyrgyzstan,36.0
2002,Kyrgyzstan,28.3
2003,Kyrgyzstan,30.51
2004,Kyrgyzstan,27.71
2005,Kyrgyzstan,28.03
2006,Kyrgyzstan,27.76
2007,Kyrgyzstan,24.49
2008,Kyrgyzstan,22.04
2009,Kyrgyzstan,24.73
2010,Kyrgyzstan,25.59
2011,Kyrgyzstan,25.95
2012,Kyrgyzstan,22.45
2013,Kyrgyzstan,24.81
2014,Kyrgyzstan,26.6
2015,Kyrgyzstan,23.51
2016,Kyrgyzstan,22.16
2017,Kyrgyzstan,24.73
2018,Kyrgyzstan,23.39
2019,Kyrgyzstan,28.31
2020,Kyrgyzstan,30.04
2000,Latvia,35.82
2001,Latvia,35.35
2002,Latvia,34.38
2003,Latvia,34.34
2004,Latvia,36.11
2005,Latvia,36.3
2006,Latvia,34.0
2007,Latvia,33.08
2008,Latvia,33.71
2009,Latvia,38.4
2010,Latvia,33.07
2011,Latvia,35.54
2012,Latvia,40.37
2013,Latvia,39.6
2014,Latvia,40.24
2015,Latvia,38.1
2016,Latvia,38.48
2017,Latvia,42.6
2018,Latvia,40.97
2019,Latvia,41.48
2020,Latvia,43.75
2000,Liechtenstein,53.95
2001,Liechtenstein,51.59
2002,Liechtenstein,51.26
2003,Liechtenstein,50.24
2004,Liechtenstein,50.31
2005,Liechtenstein,49.87
2006,Liechtenstein,50.84
2007,Liechtenstein,53.36
2008,Liechtenstein,52.96
2009,Liechtenstein,55.15
2010,Liechtenstein,52.31
2011,Liechtenstein,55.26
2012,Liechtenstein,55.5
2013,Liechtenstein,53.53
2014,Liechtenstein,54.97
2015,Liechtenstein,55.53
2016,Liechtenstein,55.82
2017,Liechtenstein,55.33
2018,Liechtenstein,56.81
2019,Liechtenstein,56.13
2020,Liechtenstein,55.21
2000,Lithuania,17.19
2001,Lithuania,17.59
2002,Lithuania,17.89
2003,Lithuania,18.07
2004,Lithuania,18.07
2005,Lithuania,17.51
2006,Lithuania,17.46
2007,Lithuania,17.06
2008,Lithuania,18.34
2009,Lithuania,20.09
2010,Lithuania,21.46
2011,Lithuania,22.74
2012,Lithuania,23.92
2013,Lithuania,26.34
2014,Lithuania,27.73
2015,Lithuania,28.96
2016,Lithuania,31.47
2017,Lithuania,33.78
2018,Lithuania,33.73
2019,Lithuania,33.54
2020,Lithuania,31.7
2000,Luxembourg,6.81
2001,Luxembourg,3.42
2002,Luxembourg,1.32
2003,Luxembourg,1.28
2004,Luxembourg,1.35
2005,Luxembourg,1.87
2006,Luxembourg,2.08
2007,Luxembourg,3.64
2008,Luxembourg,3.96
2009,Luxembourg,3.73
2010,Luxembourg,3.68
2011,Luxembourg,3.76
2012,Luxembourg,4.15
2013,Luxembourg,5.71
2014,Luxembourg,6.85
2015,Luxembourg,9.09
2016,Luxembourg,13.5
2017,Luxembourg,15.32
2018,Luxembourg,16.05
2019,Luxembourg,16.45
2020,Luxembourg,20.79
2000,Malta,0.0
2001,Malta,0.0
2002,Malta,0.09
2003,Malta,0.1
2004,Malta,0.12
2005,Malta,0.14
2006,Malta,0.17
2007,Malta,0.2
2008,Malta,0.22
2009,Malta,0.26
2010,Malta,1.22
2011,Malta,1.97
2012,Malta,2.67
2013,Malta,3.24
2014,Malta,4.48
2015,Malta,5.98
2016,Malta,9.24
2017,Malta,7.27
2018,Malta,7.56
2019,Malta,7.4
2020,Malta,9.18
2000,Republic of Moldova,5.72
2001,Republic of Moldova,5.6
2002,Republic of Moldova,5.83
2003,Republic of Moldova,5.92
2004,Republic of Moldova,4.85
2005,Republic of Moldova,4.27
2006,Republic of Moldova,4.98
2007,Republic of Moldova,4.44
2008,Republic of Moldova,4.93
2009,Republic of Moldova,4.84
2010,Republic of Moldova,20.01
2011,Republic of Moldova,20.37
2012,Republic of Moldova,22.14
2013,Republic of Moldova,23.82
2014,Republic of Moldova,24.31
2015,Republic of Moldova,24.73
2016,Republic of Moldova,25.3
2017,Republic of Moldova,26.07
2018,Republic of Moldova,25.75
2019,Republic of Moldova,22.04
2020,Republic of Moldova,23.66
2005,Montenegro,47.61
2006,Montenegro,44.83
2007,Montenegro,42.27
2008,Montenegro,38.76
2009,Montenegro,49.16
2010,Montenegro,49.09
2011,Montenegro,42.77
2012,Montenegro,45.86
2013,Montenegro,49.34
2014,Montenegro,45.95
2015,Montenegro,42.96
2016,Montenegro,43.89
2017,Montenegro,37.77
2018,Montenegro,40.6
2019,Montenegro,38.74
2020,Montenegro,39.56
2000,Netherlands (Kingdom of the),1.73
2001,Netherlands (Kingdom of the),1.76
2002,Netherlands (Kingdom of the),1.92
2003,Netherlands (Kingdom of the),1.91
2004,Netherlands (Kingdom of the),2.22
2005,Netherlands (Kingdom of the),2.74
2006,Netherlands (Kingdom of the),3.12
2007,Netherlands (Kingdom of the),3.68
2008,Netherlands (Kingdom of the),3.94
2009,Netherlands (Kingdom of the),4.38
2010,Netherlands (Kingdom of the),3.85
2011,Netherlands (Kingdom of the),4.69
2012,Netherlands (Kingdom of the),4.9
2013,Netherlands (Kingdom of the),4.94
2014,Netherlands (Kingdom of the),5.53
2015,Netherlands (Kingdom of the),5.75
2016,Netherlands (Kingdom of the),5.62
2017,Netherlands (Kingdom of the),6.39
2018,Netherlands (Kingdom of the),7.44
2019,Netherlands (Kingdom of the),8.61
2020,Netherlands (Kingdom of the),10.79
2000,Norway,60.18
2001,Norway,59.59
2002,Norway,59.47
2003,Norway,56.23
2004,Norway,56.85
2005,Norway,58.56
2006,Norway,57.02
2007,Norway,57.36
2008,Norway,58.45
2009,Norway,56.72
2010,Norway,56.71
2011,Norway,56.71
2012,Norway,57.68
2013,Norway,57.24
2014,Norway,56.32
2015,Norway,57.28
2016,Norway,58.37
2017,Norway,59.52
2018,Norway,59.74
2019,Norway,60.6
2020,Norway,61.29
2000,Poland,6.93
2001,Poland,7.29
2002,Poland,7.49
2003,Poland,7.29
2004,Poland,7.31
2005,Poland,7.22
2006,Poland,7.18
2007,Poland,7.28
2008,Poland,8.01
2009,Poland,8.84
2010,Poland,9.49
2011,Poland,10.44
2012,Poland,10.91
2013,Poland,11.41
2014,Poland,11.58
2015,Poland,11.87
2016,Poland,11.34
2017,Poland,11.13
2018,Poland,15.05
2019,Poland,15.62
2020,Poland,16.14
2000,Portugal,20.12
2001,Portugal,20.83
2002,Portugal,18.28
2003,Portugal,22.09
2004,Portugal,19.87
2005,Portugal,18.07
2006,Portugal,22.33
2007,Portugal,23.15
2008,Portugal,23.19
2009,Portugal,24.9
2010,Portugal,27.83
2011,Portugal,27.22
2012,Portugal,25.52
2013,Portugal,30.17
2014,Portugal,30.46
2015,Portugal,27.21
2016,Portugal,29.0
2017,Portugal,24.42
2018,Portugal,27.47
2019,Portugal,28.19
2020,Portugal,31.21
2000,Romania,16.37
2001,Romania,13.4
2002,Romania,14.4
2003,Romania,15.67
2004,Romania,17.28
2005,Romania,18.48
2006,Romania,17.39
2007,Romania,18.16
2008,Romania,20.4
2009,Romania,22.15
2010,Romania,24.08
2011,Romania,21.1
2012,Romania,21.53
2013,Romania,23.07
2014,Romania,24.31
2015,Romania,23.67
2016,Romania,24.4
2017,Romania,23.35
2018,Romania,23.03
2019,Romania,23.54
2020,Romania,24.06
2000,Serbia,22.09
2001,Serbia,19.55
2002,Serbia,18.01
2003,Serbia,15.67
2004,Serbia,14.64
2005,Serbia,16.1
2006,Serbia,15.33
2007,Serbia,14.03
2008,Serbia,15.5
2009,Serbia,20.68
2010,Serbia,20.47
2011,Serbia,17.44
2012,Serbia,19.47
2013,Serbia,20.03
2014,Serbia,23.25
2015,Serbia,21.24
2016,Serbia,20.91
2017,Serbia,20.0
2018,Serbia,21.05
2019,Serbia,21.53
2020,Serbia,26.01
2000,Slovakia,3.73
2001,Slovakia,6.0
2002,Slovakia,5.48
2003,Slovakia,5.35
2004,Slovakia,6.25
2005,Slovakia,6.31
2006,Slovakia,6.57
2007,Slovakia,8.23
2008,Slovakia,7.63
2009,Slovakia,10.0
2010,Slovakia,10.28
2011,Slovakia,10.36
2012,Slovakia,10.47
2013,Slovakia,10.68
2014,Slovakia,12.24
2015,Slovakia,13.41
2016,Slovakia,13.09
2017,Slovakia,12.43
2018,Slovakia,12.43
2019,Slovakia,17.64
2020,Slovakia,17.64
2000,Slovenia,17.96
2001,Slovenia,18.67
2002,Slovenia,16.31
2003,Slovenia,16.9
2004,Slovenia,17.77
2005,Slovenia,18.58
2006,Slovenia,17.36
2007,Slovenia,18.35
2008,Slovenia,17.63
2009,Slovenia,19.57
2010,Slovenia,20.07
2011,Slovenia,19.14
2012,Slovenia,20.22
2013,Slovenia,22.48
2014,Slovenia,22.91
2015,Slovenia,21.38
2016,Slovenia,20.96
2017,Slovenia,19.71
2018,Slovenia,20.63
2019,Slovenia,20.86
2020,Slovenia,22.4
2000,Spain,7.88
2001,Spain,8.93
2002,Spain,7.41
2003,Spain,8.91
2004,Spain,8.04
2005,Spain,7.3
2006,Spain,8.48
2007,Spain,9.01
2008,Spain,9.74
2009,Spain,12.21
2010,Spain,14.39
2011,Spain,14.72
2012,Spain,15.75
2013,Spain,16.92
2014,Spain,17.33
2015,Spain,16.3
2016,Spain,16.71
2017,Spain,15.18
2018,Spain,16.9
2019,Spain,16.68
2020,Spain,19.35
2000,Sweden,39.82
2001,Sweden,37.38
2002,Sweden,35.85
2003,Sweden,34.56
2004,Sweden,35.49
2005,Sweden,39.3
2006,Sweden,40.08
2007,Sweden,41.75
2008,Sweden,43.2
2009,Sweden,45.71
2010,Sweden,44.7
2011,Sweden,45.43
2012,Sweden,48.29
2013,Sweden,47.27
2014,Sweden,48.61
2015,Sweden,51.91
2016,Sweden,50.89
2017,Sweden,51.82
2018,Sweden,51.56
2019,Sweden,52.87
2020,Sweden,58.4
2000,Switzerland,18.19
2001,Switzerland,18.72
2002,Switzerland,18.19
2003,Switzerland,18.03
2004,Switzerland,18.1
2005,Switzerland,18.73
2006,Switzerland,18.07
2007,Switzerland,19.31
2008,Switzerland,19.55
2009,Switzerland,19.97
2010,Switzerland,20.56
2011,Switzerland,20.57
2012,Switzerland,21.88
2013,Switzerland,21.83
2014,Switzerland,22.2
2015,Switzerland,23.94
2016,Switzerland,24.1
2017,Switzerland,24.99
2018,Switzerland,24.2
2019,Switzerland,24.76
2020,Switzerland,26.37
2000,Tajikistan,62.41
2001,Tajikistan,64.07
2002,Tajikistan,64.15
2003,Tajikistan,64.58
2004,Tajikistan,61.41
2005,Tajikistan,63.73
2006,Tajikistan,61.57
2007,Tajikistan,53.79
2008,Tajikistan,54.61
2009,Tajikistan,60.58
2010,Tajikistan,61.83
2011,Tajikistan,59.98
2012,Tajikistan,55.8
2013,Tajikistan,55.12
2014,Tajikistan,45.89
2015,Tajikistan,48.11
2016,Tajikistan,43.67
2017,Tajikistan,44.23
2018,Tajikistan,41.58
2019,Tajikistan,40.07
2020,Tajikistan,38.75
2000,Türkiye,17.29
2001,Türkiye,18.12
2002,Türkiye,17.49
2003,Türkiye,16.29
2004,Türkiye,16.78
2005,Türkiye,15.34
2006,Türkiye,14.23
2007,Türkiye,12.48
2008,Türkiye,12.53
2009,Türkiye,13.12
2010,Türkiye,14.21
2011,Türkiye,12.68
2012,Türkiye,13.03
2013,Türkiye,13.8
2014,Türkiye,11.51
2015,Türkiye,13.34
2016,Türkiye,13.23
2017,Türkiye,11.4
2018,Türkiye,11.83
2019,Türkiye,14.12
2020,Türkiye,13.72
2000,Turkmenistan,0.1
2001,Turkmenistan,0.1
2002,Turkmenistan,0.09
2003,Turkmenistan,0.08
2004,Turkmenistan,0.08
2005,Turkmenistan,0.08
2006,Turkmenistan,0.09
2007,Turkmenistan,0.07
2008,Turkmenistan,0.08
2009,Turkmenistan,0.08
2010,Turkmenistan,0.07
2011,Turkmenistan,0.07
2012,Turkmenistan,0.05
2013,Turkmenistan,0.06
2014,Turkmenistan,0.06
2015,Turkmenistan,0.06
2016,Turkmenistan,0.06
2017,Turkmenistan,0.06
2018,Turkmenistan,0.06
2019,Turkmenistan,0.06
2020,Turkmenistan,0.06
2000,Ukraine,1.25
2001,Ukraine,1.23
2002,Ukraine,1.03
2003,Ukraine,0.99
2004,Ukraine,1.21
2005,Ukraine,1.27
2006,Ukraine,1.75
2007,Ukraine,2.39
2008,Ukraine,2.72
2009,Ukraine,2.96
2010,Ukraine,2.88
2011,Ukraine,2.74
2012,Ukraine,2.86
2013,Ukraine,3.49
2014,Ukraine,3.5
2015,Ukraine,4.15
2016,Ukraine,5.48
2017,Ukraine,6.48
2018,Ukraine,6.92
2019,Ukraine,7.44
2020,Ukraine,8.72
2000,North Macedonia,19.38
2001,North Macedonia,15.17
2002,North Macedonia,14.63
2003,North Macedonia,17.29
2004,North Macedonia,18.2
2005,North Macedonia,19.03
2006,North Macedonia,19.8
2007,North Macedonia,15.71
2008,North Macedonia,15.61
2009,North Macedonia,18.43
2010,North Macedonia,22.3
2011,North Macedonia,18.62
2012,North Macedonia,18.27
2013,North Macedonia,21.16
2014,North Macedonia,21.19
2015,North Macedonia,23.91
2016,North Macedonia,21.37
2017,North Macedonia,19.0
2018,North Macedonia,20.87
2019,North Macedonia,17.05
2020,North Macedonia,20.26
2000,United Kingdom of Great Britain and Northern Ireland,0.96
2001,United Kingdom of Great Britain and Northern Ireland,0.85
2002,United Kingdom of Great Britain and Northern Ireland,0.97
2003,United Kingdom of Great Britain and Northern Ireland,0.93
2004,United Kingdom of Great Britain and Northern Ireland,1.14
2005,United Kingdom of Great Britain and Northern Ireland,1.35
2006,United Kingdom of Great Britain and Northern Ireland,1.55
2007,United Kingdom of Great Britain and Northern Ireland,1.84
2008,United Kingdom of Great Britain and Northern Ireland,2.4
2009,United Kingdom of Great Britain and Northern Ireland,2.92
2010,United Kingdom of Great Britain and Northern Ireland,3.13
2011,United Kingdom of Great Britain and Northern Ireland,3.94
2012,United Kingdom of Great Britain and Northern Ireland,4.15
2013,United Kingdom of Great Britain and Northern Ireland,5.18
2014,United Kingdom of Great Britain and Northern Ireland,6.53
2015,United Kingdom of Great Britain and Northern Ireland,7.71
2016,United Kingdom of Great Britain and Northern Ireland,7.68
2017,United Kingdom of Great Britain and Northern Ireland,8.81
2013,Uzbekistan,1.19
2014,Uzbekistan,1.4
2015,Uzbekistan,1.71
2016,Uzbekistan,1.61
2017,Uzbekistan,1.75
2018,Uzbekistan,1.49
2019,Uzbekistan,1.56
2020,Uzbekistan,1.03
2008,Denmark,18.54
2009,Denmark,19.33
2010,Denmark,21.2
2011,Denmark,23.83
2012,Denmark,26.93
2013,Denmark,27.05
2014,Denmark,30.19
2015,Denmark,32.53
2016,Denmark,31.95
2017,Denmark,35.02
2018,Denmark,34.56
2019,Denmark,37.29
2020,Denmark,39.7
2018,United Kingdom of Great Britain and Northern Ireland,10.09
2019,United Kingdom of Great Britain and Northern Ireland,11.39
2020,United Kingdom of Great Britain and Northern Ireland,13.5
2020,United Kingdom of Great Britain and Northern Ireland,13.5
