Year,SeriesCode,GeoAreaName,Level/Status,Value
2017,ER_H2O_IWRMD_IP,France,_T,100
2020,ER_H2O_IWRMD_IP,France,_T,100
2017,ER_H2O_IWRMD_IP,Georgia,_T,48
2020,ER_H2O_IWRMD_IP,Georgia,_T,59
2017,ER_H2O_IWRMD_IP,Germany,_T,89
2020,ER_H2O_IWRMD_IP,Germany,_T,89
2017,ER_H2O_IWRMD_IP,Greece,_T,86
2020,ER_H2O_IWRMD_IP,Greece,_T,87
2017,ER_H2O_IWRMD_IP,Hungary,_T,81
2020,ER_H2O_IWRMD_IP,Hungary,_T,79
2017,ER_H2O_IWRMD_IP,Iceland,_T,70
2020,ER_H2O_IWRMD_IP,Iceland,_T,75
2020,ER_H2O_IWRMD_IP,India,_T,39
2017,ER_H2O_IWRMD_IP,Ireland,_T,84
2020,ER_H2O_IWRMD_IP,Ireland,_T,80
2017,ER_H2O_IWRMD_IP,Israel,_T,83
2020,ER_H2O_IWRMD_IP,Israel,_T,83
2017,ER_H2O_IWRMD_IP,Italy,_T,61
2020,ER_H2O_IWRMD_IP,Italy,_T,78
2017,ER_H2O_IWRMD_IP,Japan,_T,96
2020,ER_H2O_IWRMD_IP,Japan,_T,96
2017,ER_H2O_IWRMD_IP,Kazakhstan,_T,24
2020,ER_H2O_IWRMD_IP,Kazakhstan,_T,51
2017,ER_H2O_IWRMD_IP,Republic of Korea,_T,70
2020,ER_H2O_IWRMD_IP,Republic of Korea,_T,87
2020,ER_H2O_IWRMD_IP,Kyrgyzstan,_T,30
2017,ER_H2O_IWRMD_IP,Latvia,_T,72
2020,ER_H2O_IWRMD_IP,Latvia,_T,66
2017,ER_H2O_IWRMD_IP,Liechtenstein,_T,63
2020,ER_H2O_IWRMD_IP,Liechtenstein,_T,67
2017,ER_H2O_IWRMD_IP,Lithuania,_T,46
2020,ER_H2O_IWRMD_IP,Lithuania,_T,45
2017,ER_H2O_IWRMD_IP,Luxembourg,_T,96
2020,ER_H2O_IWRMD_IP,Luxembourg,_T,92
2017,ER_H2O_IWRMD_IP,Malta,_T,73
2020,ER_H2O_IWRMD_IP,Malta,_T,82
2017,ER_H2O_IWRMD_IP,Mexico,_T,51
2020,ER_H2O_IWRMD_IP,Mexico,_T,47
2017,ER_H2O_IWRMD_IP,Republic of Moldova,_T,33
2020,ER_H2O_IWRMD_IP,Republic of Moldova,_T,53
2017,ER_H2O_IWRMD_IP,Montenegro,_T,28
2020,ER_H2O_IWRMD_IP,Montenegro,_T,24
2017,ER_H2O_IWRMD_IP,Netherlands (Kingdom of the),_T,96
2020,ER_H2O_IWRMD_IP,Netherlands (Kingdom of the),_T,92
2017,ER_H2O_IWRMD_IP,New Zealand,_T,46
2020,ER_H2O_IWRMD_IP,New Zealand,_T,64
2017,ER_H2O_IWRMD_IP,Norway,_T,65
2020,ER_H2O_IWRMD_IP,Norway,_T,75
2017,ER_H2O_IWRMD_IP,Poland,_T,40
2020,ER_H2O_IWRMD_IP,Poland,_T,80
2017,ER_H2O_IWRMD_IP,Portugal,_T,83
2020,ER_H2O_IWRMD_IP,Portugal,_T,68
2017,ER_H2O_IWRMD_IP,Romania,_T,65
2020,ER_H2O_IWRMD_IP,Romania,_T,82
2017,ER_H2O_IWRMD_IP,Serbia,_T,25
2020,ER_H2O_IWRMD_IP,Serbia,_T,42
2017,ER_H2O_IWRMD_IP,Slovakia,_T,76
2020,ER_H2O_IWRMD_IP,Slovakia,_T,71
2017,ER_H2O_IWRMD_IP,Viet Nam,_T,35
2020,ER_H2O_IWRMD_IP,Viet Nam,_T,46
2017,ER_H2O_IWRMD_IP,Slovenia,_T,55
2020,ER_H2O_IWRMD_IP,Slovenia,_T,88
2017,ER_H2O_IWRMD_IP,Spain,_T,81
2020,ER_H2O_IWRMD_IP,Spain,_T,99
2017,ER_H2O_IWRMD_IP,Sweden,_T,91
2020,ER_H2O_IWRMD_IP,Sweden,_T,85
2017,ER_H2O_IWRMD_IP,Switzerland,_T,79
2020,ER_H2O_IWRMD_IP,Switzerland,_T,79
2020,ER_H2O_IWRMD_IP,Tajikistan,_T,43
2017,ER_H2O_IWRMD_IP,United Arab Emirates,_T,90
2020,ER_H2O_IWRMD_IP,United Arab Emirates,_T,82
2017,ER_H2O_IWRMD_IP,Türkiye,_T,75
2020,ER_H2O_IWRMD_IP,Türkiye,_T,75
2020,ER_H2O_IWRMD_IP,Turkmenistan,_T,48
2017,ER_H2O_IWRMD_IP,Ukraine,_T,49
2020,ER_H2O_IWRMD_IP,Ukraine,_T,49
2017,ER_H2O_IWRMD_IP,North Macedonia,_T,20
2020,ER_H2O_IWRMD_IP,North Macedonia,_T,26
2017,ER_H2O_IWRMD_IP,United Kingdom of Great Britain and Northern Ireland,_T,82
2020,ER_H2O_IWRMD_IP,United Kingdom of Great Britain and Northern Ireland,_T,85
2017,ER_H2O_IWRMD_IP,Uzbekistan,_T,53
2020,ER_H2O_IWRMD_IP,Uzbekistan,_T,53
2020,ER_H2O_IWRMD_IP,Uzbekistan,_T,53
