Year,SeriesCode,GeoAreaName,Location,Value
2008,EN_LND_SLUM,Bosnia and Herzegovina,URBAN,4.7
2010,EN_LND_SLUM,Bosnia and Herzegovina,URBAN,4.5
2012,EN_LND_SLUM,Bosnia and Herzegovina,URBAN,4.3
2014,EN_LND_SLUM,Bosnia and Herzegovina,URBAN,4.0
2016,EN_LND_SLUM,Bosnia and Herzegovina,URBAN,4.0
2018,EN_LND_SLUM,Bosnia and Herzegovina,URBAN,4.0
2000,EN_LND_SLUM,Belarus,URBAN,17.5584
2002,EN_LND_SLUM,Belarus,URBAN,16.03017
2004,EN_LND_SLUM,Belarus,URBAN,14.50194
2006,EN_LND_SLUM,Belarus,URBAN,12.97371
2008,EN_LND_SLUM,Belarus,URBAN,11.44548
2010,EN_LND_SLUM,Belarus,URBAN,9.91726
2012,EN_LND_SLUM,Belarus,URBAN,8.38903
2014,EN_LND_SLUM,Belarus,URBAN,6.8608
2016,EN_LND_SLUM,Belarus,URBAN,5.33257
2018,EN_LND_SLUM,Belarus,URBAN,3.80434
2020,EN_LND_SLUM,Belarus,URBAN,2.27611
2000,EN_LND_SLUM,Chile,URBAN,14.616
2002,EN_LND_SLUM,Chile,URBAN,10.97
2004,EN_LND_SLUM,Chile,URBAN,7.324
2006,EN_LND_SLUM,Chile,URBAN,7.3
2008,EN_LND_SLUM,Chile,URBAN,7.3
2000,EN_LND_SLUM,Colombia,URBAN,21.17683
2002,EN_LND_SLUM,Colombia,URBAN,19.83238
2004,EN_LND_SLUM,Colombia,URBAN,18.48794
2006,EN_LND_SLUM,Colombia,URBAN,17.14349
2008,EN_LND_SLUM,Colombia,URBAN,15.79905
2010,EN_LND_SLUM,Colombia,URBAN,14.4546
2012,EN_LND_SLUM,Colombia,URBAN,13.11016
2014,EN_LND_SLUM,Colombia,URBAN,11.76571
2016,EN_LND_SLUM,Colombia,URBAN,10.42127
2018,EN_LND_SLUM,Colombia,URBAN,9.7
2020,EN_LND_SLUM,Colombia,URBAN,9.7
2000,EN_LND_SLUM,Costa Rica,URBAN,12.69593
2002,EN_LND_SLUM,Costa Rica,URBAN,11.78091
2004,EN_LND_SLUM,Costa Rica,URBAN,10.86589
2006,EN_LND_SLUM,Costa Rica,URBAN,9.95087
2008,EN_LND_SLUM,Costa Rica,URBAN,9.03585
2010,EN_LND_SLUM,Costa Rica,URBAN,8.12083
2012,EN_LND_SLUM,Costa Rica,URBAN,7.20581
2014,EN_LND_SLUM,Costa Rica,URBAN,6.29079
2016,EN_LND_SLUM,Costa Rica,URBAN,5.37577
2018,EN_LND_SLUM,Costa Rica,URBAN,4.46075
2020,EN_LND_SLUM,Costa Rica,URBAN,3.54573
2000,EN_LND_SLUM,Georgia,URBAN,13.6
2002,EN_LND_SLUM,Georgia,URBAN,13.6
2004,EN_LND_SLUM,Georgia,URBAN,13.2148
2006,EN_LND_SLUM,Georgia,URBAN,12.44783
2008,EN_LND_SLUM,Georgia,URBAN,11.68087
2010,EN_LND_SLUM,Georgia,URBAN,10.9139
2012,EN_LND_SLUM,Georgia,URBAN,10.14694
2014,EN_LND_SLUM,Georgia,URBAN,9.37997
2016,EN_LND_SLUM,Georgia,URBAN,8.61301
2018,EN_LND_SLUM,Georgia,URBAN,7.84604
2020,EN_LND_SLUM,Georgia,URBAN,7.07908
2000,EN_LND_SLUM,Hungary,URBAN,15.4
2002,EN_LND_SLUM,Hungary,URBAN,14.2
2004,EN_LND_SLUM,Hungary,URBAN,12.9
2006,EN_LND_SLUM,Hungary,URBAN,11.6
2008,EN_LND_SLUM,Hungary,URBAN,10.4
2010,EN_LND_SLUM,Hungary,URBAN,9.1
2012,EN_LND_SLUM,Hungary,URBAN,7.9
2014,EN_LND_SLUM,Hungary,URBAN,7.2
2016,EN_LND_SLUM,Hungary,URBAN,7.2
2000,EN_LND_SLUM,India,URBAN,55.29477
2002,EN_LND_SLUM,India,URBAN,54.59656
2004,EN_LND_SLUM,India,URBAN,53.89834
2006,EN_LND_SLUM,India,URBAN,53.20013
2008,EN_LND_SLUM,India,URBAN,52.50192
2010,EN_LND_SLUM,India,URBAN,51.8037
2012,EN_LND_SLUM,India,URBAN,51.10549
2014,EN_LND_SLUM,India,URBAN,50.40728
2016,EN_LND_SLUM,India,URBAN,49.70906
2018,EN_LND_SLUM,India,URBAN,49.01085
2020,EN_LND_SLUM,India,URBAN,49.01085
2000,EN_LND_SLUM,Ireland,URBAN,6.2
2002,EN_LND_SLUM,Ireland,URBAN,6.4
2004,EN_LND_SLUM,Ireland,URBAN,6.7
2006,EN_LND_SLUM,Ireland,URBAN,6.9
2008,EN_LND_SLUM,Ireland,URBAN,7.2
2010,EN_LND_SLUM,Ireland,URBAN,7.5
2012,EN_LND_SLUM,Ireland,URBAN,7.7
2014,EN_LND_SLUM,Ireland,URBAN,8.0
2008,EN_LND_SLUM,Viet Nam,URBAN,25.54133
2010,EN_LND_SLUM,Viet Nam,URBAN,20.59749
2012,EN_LND_SLUM,Viet Nam,URBAN,15.65365
2014,EN_LND_SLUM,Viet Nam,URBAN,10.70982
2016,EN_LND_SLUM,Viet Nam,URBAN,5.76598
2018,EN_LND_SLUM,Viet Nam,URBAN,5.76598
2020,EN_LND_SLUM,Viet Nam,URBAN,5.76598
2000,EN_LND_SLUM,Tajikistan,URBAN,60.27623
2002,EN_LND_SLUM,Tajikistan,URBAN,55.72756
2004,EN_LND_SLUM,Tajikistan,URBAN,51.1789
2006,EN_LND_SLUM,Tajikistan,URBAN,46.63024
2008,EN_LND_SLUM,Tajikistan,URBAN,42.08157
2010,EN_LND_SLUM,Tajikistan,URBAN,37.53291
2012,EN_LND_SLUM,Tajikistan,URBAN,32.98425
2014,EN_LND_SLUM,Tajikistan,URBAN,28.43558
2016,EN_LND_SLUM,Tajikistan,URBAN,23.88692
2018,EN_LND_SLUM,Tajikistan,URBAN,19.33825
2020,EN_LND_SLUM,Tajikistan,URBAN,17.06392
2000,EN_LND_SLUM,Türkiye,URBAN,24.58136
2002,EN_LND_SLUM,Türkiye,URBAN,23.18733
2004,EN_LND_SLUM,Türkiye,URBAN,21.79329
2006,EN_LND_SLUM,Türkiye,URBAN,20.39926
2008,EN_LND_SLUM,Türkiye,URBAN,19.00523
2010,EN_LND_SLUM,Türkiye,URBAN,17.61119
2012,EN_LND_SLUM,Türkiye,URBAN,16.21716
2014,EN_LND_SLUM,Türkiye,URBAN,14.82313
2016,EN_LND_SLUM,Türkiye,URBAN,14.12611
2018,EN_LND_SLUM,Türkiye,URBAN,14.12611
2000,EN_LND_SLUM,Turkmenistan,URBAN,10.5
2002,EN_LND_SLUM,Turkmenistan,URBAN,10.5
2004,EN_LND_SLUM,Turkmenistan,URBAN,10.50752
2006,EN_LND_SLUM,Turkmenistan,URBAN,10.25739
2008,EN_LND_SLUM,Turkmenistan,URBAN,10.00727
2010,EN_LND_SLUM,Turkmenistan,URBAN,9.75714
2012,EN_LND_SLUM,Turkmenistan,URBAN,9.50701
2014,EN_LND_SLUM,Turkmenistan,URBAN,9.25688
2016,EN_LND_SLUM,Turkmenistan,URBAN,9.00675
2018,EN_LND_SLUM,Turkmenistan,URBAN,8.75663
2020,EN_LND_SLUM,Turkmenistan,URBAN,8.5065
2000,EN_LND_SLUM,Ukraine,URBAN,5.0
2002,EN_LND_SLUM,Ukraine,URBAN,5.0
2004,EN_LND_SLUM,Ukraine,URBAN,4.6
2006,EN_LND_SLUM,Ukraine,URBAN,3.9
2008,EN_LND_SLUM,Ukraine,URBAN,3.2
2010,EN_LND_SLUM,Ukraine,URBAN,2.5
2012,EN_LND_SLUM,Ukraine,URBAN,1.8
2014,EN_LND_SLUM,Ukraine,URBAN,1.1
2016,EN_LND_SLUM,Ukraine,URBAN,1.1
2016,EN_LND_SLUM,Ireland,URBAN,8.3
2018,EN_LND_SLUM,Ireland,URBAN,8.5
2020,EN_LND_SLUM,Ireland,URBAN,8.5
2000,EN_LND_SLUM,Kazakhstan,URBAN,24.45811
2002,EN_LND_SLUM,Kazakhstan,URBAN,21.67406
2004,EN_LND_SLUM,Kazakhstan,URBAN,18.89002
2006,EN_LND_SLUM,Kazakhstan,URBAN,16.10598
2008,EN_LND_SLUM,Kazakhstan,URBAN,13.32194
2010,EN_LND_SLUM,Kazakhstan,URBAN,10.5379
2012,EN_LND_SLUM,Kazakhstan,URBAN,7.75386
2014,EN_LND_SLUM,Kazakhstan,URBAN,4.96982
2016,EN_LND_SLUM,Kazakhstan,URBAN,2.18578
2018,EN_LND_SLUM,Kazakhstan,URBAN,0.79376
2020,EN_LND_SLUM,Kazakhstan,URBAN,0.79376
2000,EN_LND_SLUM,Kyrgyzstan,URBAN,47.15842
2002,EN_LND_SLUM,Kyrgyzstan,URBAN,42.68651
2004,EN_LND_SLUM,Kyrgyzstan,URBAN,38.2146
2006,EN_LND_SLUM,Kyrgyzstan,URBAN,33.74269
2008,EN_LND_SLUM,Kyrgyzstan,URBAN,29.27078
2010,EN_LND_SLUM,Kyrgyzstan,URBAN,24.79887
2012,EN_LND_SLUM,Kyrgyzstan,URBAN,20.32696
2014,EN_LND_SLUM,Kyrgyzstan,URBAN,15.85505
2016,EN_LND_SLUM,Kyrgyzstan,URBAN,11.38314
2018,EN_LND_SLUM,Kyrgyzstan,URBAN,6.91123
2020,EN_LND_SLUM,Kyrgyzstan,URBAN,2.43932
2018,EN_LND_SLUM,Ukraine,URBAN,1.1
2018,EN_LND_SLUM,Ukraine,URBAN,1.1
