Year,SeriesCode,Страна ,Age,Disability status,Location,Population Group,Quantile,Service Attribute,Sex,Value
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,FEMALE,92
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,_T,URBAN,TOTAL,,AFFORD,BOTHSEX,88
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,_T,URBAN,TOTAL,,QUALITY,BOTHSEX,90
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,_T,URBAN,TOTAL,,ATTITUDE,BOTHSEX,91
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,_T,URBAN,TOTAL,,EQUALITY,BOTHSEX,90
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,FEMALE,98
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,AFFORD,FEMALE,86
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,FEMALE,92
2022,SP_PSR_SATIS_PRM,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,EQUALITY,FEMALE,91
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,MALE,71
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,MALE,76
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,FEMALE,80
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,FEMALE,66
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,FEMALE,75
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,POP_A,,ACCESS,BOTHSEX,75
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,POP_A,,QUALITY,BOTHSEX,66
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,POP_A,,ATTITUDE,BOTHSEX,67
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,MALE,81
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,75
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,ACCESS,BOTHSEX,80
2022,SP_PSR_SATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,68
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,MALE,73
2022,SP_PSR_SATIS_PRM,Mexico,25-34,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,79
2022,SP_PSR_SATIS_PRM,Mexico,45-54,_T,ALLAREA,TOTAL,,AVERAGE,BOTHSEX,65
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,FEMALE,63
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,AFFORD,BOTHSEX,45
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,70
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,78
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,BOTHSEX,64
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,AFFORD,MALE,48
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,MALE,79
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,AVERAGE,MALE,66
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,AFFORD,FEMALE,43
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,QUALITY,FEMALE,68
2022,SP_PSR_SATIS_PRM,Mexico,65+,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,73
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,ATTITUDE,FEMALE,77
2022,SP_PSR_SATIS_PRM,Mexico,65+,_T,ALLAREA,TOTAL,,AVERAGE,BOTHSEX,65
2022,SP_PSR_SATIS_PRM,Mexico,25-34,_T,ALLAREA,TOTAL,,AVERAGE,BOTHSEX,65
2022,SP_PSR_SATIS_PRM,Mexico,35-44,_T,ALLAREA,TOTAL,,AFFORD,BOTHSEX,44
2022,SP_PSR_SATIS_PRM,Mexico,35-44,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,67
2022,SP_PSR_SATIS_PRM,Mexico,35-44,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,76
2022,SP_PSR_SATIS_PRM,Mexico,35-44,_T,ALLAREA,TOTAL,,AVERAGE,BOTHSEX,62
2022,SP_PSR_SATIS_PRM,Mexico,55-64,_T,ALLAREA,TOTAL,,AVERAGE,BOTHSEX,67
2022,SP_PSR_SATIS_PRM,Mexico,45-54,_T,ALLAREA,TOTAL,,AFFORD,BOTHSEX,44
2022,SP_PSR_SATIS_PRM,Mexico,45-54,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,73
2022,SP_PSR_SATIS_PRM,Mexico,55-64,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,82
2022,SP_PSR_SATIS_PRM,Mexico,25-34,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,69
2022,SP_PSR_SATIS_PRM,Mexico,45-54,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,78
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,URBAN,TOTAL,,AFFORD,BOTHSEX,45
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,URBAN,TOTAL,,QUALITY,BOTHSEX,70
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,URBAN,TOTAL,,ATTITUDE,BOTHSEX,78
2022,SP_PSR_SATIS_PRM,Mexico,ALLAGE,_T,URBAN,TOTAL,,AVERAGE,BOTHSEX,64
2022,SP_PSR_SATIS_PRM,Mexico,55-64,_T,ALLAREA,TOTAL,,AFFORD,BOTHSEX,46
2022,SP_PSR_SATIS_PRM,Mexico,<25Y,_T,ALLAREA,TOTAL,,AFFORD,BOTHSEX,46
2022,SP_PSR_SATIS_PRM,Mexico,55-64,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,74
2022,SP_PSR_SATIS_PRM,Mexico,<25Y,_T,ALLAREA,TOTAL,,QUALITY,BOTHSEX,76
2022,SP_PSR_SATIS_PRM,Mexico,<25Y,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,81
2022,SP_PSR_SATIS_PRM,Mexico,65+,_T,ALLAREA,TOTAL,,ATTITUDE,BOTHSEX,75
2022,SP_PSR_SATIS_PRM,Mexico,<25Y,_T,ALLAREA,TOTAL,,AVERAGE,BOTHSEX,67
2022,SP_PSR_SATIS_PRM,Mexico,25-34,_T,ALLAREA,TOTAL,,AFFORD,BOTHSEX,46
2022,SP_PSR_SATIS_PRM,Mexico,65+,_T,ALLAREA,TOTAL,,AFFORD,BOTHSEX,46
2022,SP_PSR_SATIS_PRM,Mexico,65+,_T,ALLAREA,TOTAL,,AFFORD,BOTHSEX,46
