Year,SeriesCode,GeoAreaName,Disability status,Grounds of discrimination,Location,Sex,Value
2021,VC_VOV_GDSD,Colombia,_T,OTHER,ALLAREA,BOTHSEX,1.8
2021,VC_VOV_GDSD,Colombia,_T,OTHER,ALLAREA,MALE,1.7
2021,VC_VOV_GDSD,Colombia,_T,ALL,URBAN,BOTHSEX,10.8
2021,VC_VOV_GDSD,Colombia,_T,POLVIEW,URBAN,BOTHSEX,1.8
2020,VC_VOV_GDSD,Bulgaria,_T,AGE,ALLAREA,BOTHSEX,1.9
2020,VC_VOV_GDSD,Bulgaria,_T,DISHEA,ALLAREA,BOTHSEX,0.36
2020,VC_VOV_GDSD,Bulgaria,_T,ETHCOLLAN,ALLAREA,MALE,2.25
2020,VC_VOV_GDSD,Bulgaria,_T,ETHCOLLAN,ALLAREA,FEMALE,1.93
2020,VC_VOV_GDSD,Bulgaria,PD,ETHCOLLAN,ALLAREA,BOTHSEX,1.45
2020,VC_VOV_GDSD,Bulgaria,PWD,SEXOGENID,ALLAREA,BOTHSEX,0.13
2019,VC_VOV_GDSD,Ireland,_T,SEX,ALLAREA,FEMALE,29.1
2019,VC_VOV_GDSD,Ireland,_T,OTHER,ALLAREA,BOTHSEX,32.2
2019,VC_VOV_GDSD,Ireland,_T,ETHCOLLANNAL,ALLAREA,MALE,28.4
2019,VC_VOV_GDSD,Ireland,_T,SEX,ALLAREA,BOTHSEX,18.6
2019,VC_VOV_GDSD,Ireland,_T,FAM,ALLAREA,FEMALE,14.1
2020,VC_VOV_GDSD,Bulgaria,PWD,ETHCOLLAN,ALLAREA,BOTHSEX,2.25
2020,VC_VOV_GDSD,Bulgaria,_T,ETHCOLLAN,ALLAREA,BOTHSEX,2.08
2020,VC_VOV_GDSD,Bulgaria,_T,RELIGION,URBAN,BOTHSEX,0.22
2020,VC_VOV_GDSD,Bulgaria,_T,RELIGION,RURAL,BOTHSEX,0.58
2020,VC_VOV_GDSD,Bulgaria,_T,RELIGION,ALLAREA,BOTHSEX,0.32
2020,VC_VOV_GDSD,Bulgaria,_T,ETHCOLLAN,URBAN,BOTHSEX,1.85
2021,VC_VOV_GDSD,Colombia,_T,POLVIEW,RURAL,BOTHSEX,0.9
2021,VC_VOV_GDSD,Colombia,_T,SEXOGENID,ALLAREA,BOTHSEX,0.5
2021,VC_VOV_GDSD,Colombia,_T,ALL,ALLAREA,BOTHSEX,10.2
2021,VC_VOV_GDSD,Colombia,_T,ALL,ALLAREA,MALE,9.4
2021,VC_VOV_GDSD,Colombia,_T,ALL,ALLAREA,FEMALE,10.9
2020,VC_VOV_GDSD,Bulgaria,_T,SEXOGENID,RURAL,BOTHSEX,0.12
2020,VC_VOV_GDSD,Bulgaria,_T,DISHEA,ALLAREA,MALE,0.34
2020,VC_VOV_GDSD,Bulgaria,_T,DISHEA,ALLAREA,FEMALE,0.39
2020,VC_VOV_GDSD,Bulgaria,_T,OTHER,URBAN,BOTHSEX,2.14
2020,VC_VOV_GDSD,Bulgaria,_T,OTHER,RURAL,BOTHSEX,1.41
2020,VC_VOV_GDSD,Bulgaria,_T,OTHER,ALLAREA,BOTHSEX,1.95
2019,VC_VOV_GDSD,Ireland,_T,OTHER,ALLAREA,FEMALE,31.7
2019,VC_VOV_GDSD,Ireland,PWD,ALL,ALLAREA,BOTHSEX,16.7
2019,VC_VOV_GDSD,Ireland,_T,MAR,ALLAREA,MALE,5.6
2019,VC_VOV_GDSD,Ireland,_T,FAM,ALLAREA,MALE,9.0
2019,VC_VOV_GDSD,Ireland,_T,MAR,ALLAREA,FEMALE,4.4
2021,VC_VOV_GDSD,Colombia,_T,AGE,RURAL,BOTHSEX,1.8
2021,VC_VOV_GDSD,Colombia,_T,SEX,ALLAREA,BOTHSEX,1.4
2021,VC_VOV_GDSD,Colombia,_T,AGE,ALLAREA,FEMALE,4.4
2021,VC_VOV_GDSD,Colombia,_T,ALL,RURAL,BOTHSEX,7.7
2021,VC_VOV_GDSD,Colombia,_T,DISHEA,ALLAREA,BOTHSEX,2.7
2020,VC_VOV_GDSD,Bulgaria,_T,SEXOGENID,URBAN,BOTHSEX,0.09
2020,VC_VOV_GDSD,Bulgaria,_T,SEXOGENID,ALLAREA,FEMALE,0.17
2019,VC_VOV_GDSD,Belarus,_T,AGE,ALLAREA,BOTHSEX,1.7
2019,VC_VOV_GDSD,Belarus,_T,AGE,ALLAREA,FEMALE,1.8
2019,VC_VOV_GDSD,Belarus,_T,AGE,ALLAREA,MALE,1.6
2017,VC_VOV_GDSD,Israel,_T,RELIGION,ALLAREA,BOTHSEX,9.9
2017,VC_VOV_GDSD,Israel,_T,DISHEA,ALLAREA,BOTHSEX,2.8
2017,VC_VOV_GDSD,Israel,_T,DISHEA,ALLAREA,MALE,3.2
2017,VC_VOV_GDSD,Israel,PD,DISHEA,ALLAREA,BOTHSEX,11.0
2017,VC_VOV_GDSD,Israel,_T,SEX,URBAN,BOTHSEX,5.9
2017,VC_VOV_GDSD,Israel,_T,SEX,ALLAREA,BOTHSEX,5.9
2021,VC_VOV_GDSD,Colombia,_T,SEX,URBAN,BOTHSEX,1.6
2021,VC_VOV_GDSD,Colombia,_T,SEX,RURAL,BOTHSEX,0.8
2021,VC_VOV_GDSD,Colombia,_T,AGE,ALLAREA,BOTHSEX,3.4
2021,VC_VOV_GDSD,Colombia,_T,AGE,ALLAREA,MALE,3.1
2021,VC_VOV_GDSD,Colombia,_T,DISHEA,ALLAREA,FEMALE,2.8
2017,VC_VOV_GDSD,Israel,PWD,AGE,ALLAREA,BOTHSEX,6.1
2017,VC_VOV_GDSD,Israel,PD,ALL,ALLAREA,BOTHSEX,32.3
2017,VC_VOV_GDSD,Israel,_T,COLR,ALLAREA,BOTHSEX,2.1
2017,VC_VOV_GDSD,Israel,_T,ALL,ALLAREA,BOTHSEX,26.3
2017,VC_VOV_GDSD,Israel,PD,SEX,ALLAREA,BOTHSEX,6.0
2017,VC_VOV_GDSD,Israel,_T,ETH,ALLAREA,BOTHSEX,11.0
2017,VC_VOV_GDSD,Israel,_T,ETH,ALLAREA,MALE,12.0
2017,VC_VOV_GDSD,Israel,PWD,SEX,ALLAREA,BOTHSEX,5.8
2017,VC_VOV_GDSD,Israel,PWD,ETH,ALLAREA,BOTHSEX,10.5
2017,VC_VOV_GDSD,Israel,_T,ETH,URBAN,BOTHSEX,11.6
2017,VC_VOV_GDSD,Israel,_T,SEX,RURAL,BOTHSEX,6.1
2017,VC_VOV_GDSD,Israel,_T,MIG,URBAN,BOTHSEX,9.8
2019,VC_VOV_GDSD,Belarus,_T,MIG,URBAN,BOTHSEX,0.25
2019,VC_VOV_GDSD,Belarus,_T,ALL,ALLAREA,FEMALE,4.8
2019,VC_VOV_GDSD,Belarus,PWD,DIS,ALLAREA,FEMALE,0.5
2019,VC_VOV_GDSD,Belarus,_T,SEXO,RURAL,MALE,0.0
2019,VC_VOV_GDSD,Belarus,PWD,AGE,ALLAREA,FEMALE,1.7
2021,VC_VOV_GDSD,Colombia,_T,RES,ALLAREA,FEMALE,1.9
2021,VC_VOV_GDSD,Colombia,_T,AGE,URBAN,BOTHSEX,3.8
2021,VC_VOV_GDSD,Colombia,_T,RELIGION,ALLAREA,MALE,0.8
2021,VC_VOV_GDSD,Colombia,_T,RES,URBAN,BOTHSEX,1.8
2018,VC_VOV_GDSD,Costa Rica,_T,ETH,URBAN,FEMALE,2.7
2017,VC_VOV_GDSD,Israel,PD,COLR,ALLAREA,BOTHSEX,2.0
2017,VC_VOV_GDSD,Israel,PWD,RELIGION,ALLAREA,BOTHSEX,9.7
2017,VC_VOV_GDSD,Israel,_T,RELIGION,URBAN,BOTHSEX,10.3
2017,VC_VOV_GDSD,Israel,_T,RELIGION,RURAL,BOTHSEX,5.0
2017,VC_VOV_GDSD,Israel,_T,RELIGION,ALLAREA,FEMALE,9.5
2017,VC_VOV_GDSD,Israel,_T,MIG,ALLAREA,FEMALE,7.6
2019,VC_VOV_GDSD,Belarus,PWD,RELIGION,ALLAREA,FEMALE,0.6
2019,VC_VOV_GDSD,Belarus,_T,ALL,ALLAREA,BOTHSEX,4.4
2019,VC_VOV_GDSD,Belarus,_T,DIS,URBAN,FEMALE,0.7
2019,VC_VOV_GDSD,Belarus,_T,DIS,ALLAREA,BOTHSEX,0.95
2019,VC_VOV_GDSD,Belarus,_T,DIS,URBAN,BOTHSEX,0.95
2018,VC_VOV_GDSD,Costa Rica,PD,RELIGION,ALLAREA,FEMALE,15.4
2018,VC_VOV_GDSD,Costa Rica,_T,AGE,URBAN,FEMALE,7.7
2018,VC_VOV_GDSD,Costa Rica,_T,ALL,URBAN,FEMALE,30.0
2018,VC_VOV_GDSD,Costa Rica,_T,DIS,URBAN,FEMALE,2.2
2018,VC_VOV_GDSD,Costa Rica,_T,OTHER,ALLAREA,FEMALE,6.2
2018,VC_VOV_GDSD,Costa Rica,_T,SEXO,URBAN,FEMALE,1.9
2017,VC_VOV_GDSD,Israel,PD,MIG,ALLAREA,BOTHSEX,23.6
2017,VC_VOV_GDSD,Israel,_T,RELIGION,ALLAREA,MALE,10.4
2017,VC_VOV_GDSD,Israel,_T,ETH,RURAL,BOTHSEX,4.4
2017,VC_VOV_GDSD,Israel,_T,COLR,ALLAREA,MALE,2.3
2017,VC_VOV_GDSD,Israel,_T,AGE,ALLAREA,BOTHSEX,7.2
2017,VC_VOV_GDSD,Israel,_T,AGE,ALLAREA,MALE,7.3
2017,VC_VOV_GDSD,Israel,_T,AGE,ALLAREA,FEMALE,7.1
2017,VC_VOV_GDSD,Israel,_T,DISHEA,ALLAREA,FEMALE,2.3
2017,VC_VOV_GDSD,Israel,PD,AGE,ALLAREA,BOTHSEX,12.9
2017,VC_VOV_GDSD,Israel,_T,AGE,URBAN,BOTHSEX,7.3
2017,VC_VOV_GDSD,Israel,_T,AGE,RURAL,BOTHSEX,5.9
2017,VC_VOV_GDSD,Israel,_T,SEX,ALLAREA,MALE,1.5
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,RURAL,MALE,0.7
2019,VC_VOV_GDSD,Belarus,_T,SEX,ALLAREA,BOTHSEX,0.9
2019,VC_VOV_GDSD,Belarus,_T,SEX,ALLAREA,FEMALE,1.2
2019,VC_VOV_GDSD,Belarus,_T,SEXO,ALLAREA,BOTHSEX,0.1
2019,VC_VOV_GDSD,Belarus,_T,MIG,RURAL,FEMALE,0.1
2017,VC_VOV_GDSD,Israel,_T,ALL,URBAN,BOTHSEX,26.9
2017,VC_VOV_GDSD,Israel,_T,ALL,ALLAREA,MALE,25.8
2017,VC_VOV_GDSD,Israel,PWD,ALL,ALLAREA,BOTHSEX,25.3
2017,VC_VOV_GDSD,Israel,_T,ALL,ALLAREA,FEMALE,26.7
2017,VC_VOV_GDSD,Israel,_T,ETH,ALLAREA,FEMALE,10.1
2017,VC_VOV_GDSD,Israel,_T,ALL,RURAL,BOTHSEX,19.5
2018,VC_VOV_GDSD,Costa Rica,PD,AGE,ALLAREA,FEMALE,12.2
2018,VC_VOV_GDSD,Costa Rica,PD,ALL,ALLAREA,FEMALE,37.7
2018,VC_VOV_GDSD,Costa Rica,PD,DIS,ALLAREA,FEMALE,7.5
2018,VC_VOV_GDSD,Costa Rica,_T,SEX,URBAN,FEMALE,11.6
2018,VC_VOV_GDSD,Costa Rica,_T,SEXO,ALLAREA,FEMALE,1.7
2018,VC_VOV_GDSD,Costa Rica,_T,RELIGION,ALLAREA,FEMALE,11.0
2019,VC_VOV_GDSD,Belarus,_T,AGE,URBAN,FEMALE,2.1
2019,VC_VOV_GDSD,Belarus,_T,DIS,RURAL,MALE,1.8
2019,VC_VOV_GDSD,Belarus,_T,MIG,RURAL,BOTHSEX,0.15
2019,VC_VOV_GDSD,Belarus,_T,DIS,RURAL,FEMALE,0.5
2019,VC_VOV_GDSD,Belarus,_T,SEXO,RURAL,BOTHSEX,0.0
2017,VC_VOV_GDSD,Israel,PWD,DISHEA,ALLAREA,BOTHSEX,1.3
2017,VC_VOV_GDSD,Israel,_T,DISHEA,URBAN,BOTHSEX,2.8
2017,VC_VOV_GDSD,Israel,_T,SEX,ALLAREA,FEMALE,10.0
2017,VC_VOV_GDSD,Israel,_T,DISHEA,RURAL,BOTHSEX,2.4
2017,VC_VOV_GDSD,Israel,PD,ETH,ALLAREA,BOTHSEX,13.7
2017,VC_VOV_GDSD,Israel,_T,COLR,URBAN,BOTHSEX,2.2
2018,VC_VOV_GDSD,Costa Rica,_T,AGE,ALLAREA,FEMALE,6.6
2018,VC_VOV_GDSD,Costa Rica,_T,ALL,ALLAREA,FEMALE,27.8
2018,VC_VOV_GDSD,Costa Rica,PWD,SEX,ALLAREA,FEMALE,10.8
2018,VC_VOV_GDSD,Costa Rica,_T,RELIGION,RURAL,FEMALE,8.4
2018,VC_VOV_GDSD,Costa Rica,_T,SEX,RURAL,FEMALE,7.1
2018,VC_VOV_GDSD,Costa Rica,_T,AGE,RURAL,FEMALE,3.5
2019,VC_VOV_GDSD,Belarus,_T,MIG,ALLAREA,MALE,0.1
2019,VC_VOV_GDSD,Belarus,_T,ALL,URBAN,FEMALE,5.4
2019,VC_VOV_GDSD,Belarus,PWD,OTHER,ALLAREA,FEMALE,1.2
2019,VC_VOV_GDSD,Belarus,_T,SEXO,RURAL,FEMALE,0.0
2019,VC_VOV_GDSD,Belarus,_T,SEX,URBAN,BOTHSEX,1.0
2017,VC_VOV_GDSD,Israel,_T,COLR,RURAL,BOTHSEX,1.5
2017,VC_VOV_GDSD,Israel,_T,MIG,ALLAREA,BOTHSEX,9.3
2017,VC_VOV_GDSD,Israel,PWD,COLR,ALLAREA,BOTHSEX,2.1
2017,VC_VOV_GDSD,Israel,_T,COLR,ALLAREA,FEMALE,1.9
2017,VC_VOV_GDSD,Israel,_T,MIG,ALLAREA,MALE,11.1
2017,VC_VOV_GDSD,Israel,PD,RELIGION,ALLAREA,BOTHSEX,11.2
2018,VC_VOV_GDSD,Costa Rica,_T,ETH,RURAL,FEMALE,1.7
2018,VC_VOV_GDSD,Costa Rica,PWD,SEXO,ALLAREA,FEMALE,1.8
2018,VC_VOV_GDSD,Costa Rica,PWD,RELIGION,ALLAREA,FEMALE,10.4
2018,VC_VOV_GDSD,Costa Rica,PD,SEXO,ALLAREA,FEMALE,1.0
2018,VC_VOV_GDSD,Costa Rica,PD,ETH,ALLAREA,FEMALE,3.5
2018,VC_VOV_GDSD,Costa Rica,_T,NATION,URBAN,FEMALE,3.8
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,URBAN,MALE,0.4
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,URBAN,BOTHSEX,0.55
2019,VC_VOV_GDSD,Belarus,_T,RELIGION,URBAN,FEMALE,0.7
