Year,SeriesCode,Страна ,Migratory status,Value
2016,SL_LBR_NTLCPL,Belgium,,0.0
2017,SL_LBR_NTLCPL,Belgium,,0.0
2018,SL_LBR_NTLCPL,Belgium,,0.0
2019,SL_LBR_NTLCPL,Belgium,,0.51
2020,SL_LBR_NTLCPL,Belgium,,0.51
2017,SL_LBR_NTLCPL,Israel,,0.0
2018,SL_LBR_NTLCPL,Israel,,0.0
2019,SL_LBR_NTLCPL,Israel,,0.0
2020,SL_LBR_NTLCPL,Israel,,0.0
2021,SL_LBR_NTLCPL,Israel,,0.0
2015,SL_LBR_NTLCPL,Italy,,0.54
2016,SL_LBR_NTLCPL,Italy,,0.54
2017,SL_LBR_NTLCPL,Italy,,0.0
2018,SL_LBR_NTLCPL,Italy,,0.0
2019,SL_LBR_NTLCPL,Italy,,0.0
2020,SL_LBR_NTLCPL,Italy,,0.0
2021,SL_LBR_NTLCPL,Italy,,0.0
2021,SL_LBR_NTLCPL,Belgium,,0.51
2015,SL_LBR_NTLCPL,Bosnia and Herzegovina,,0.0
2016,SL_LBR_NTLCPL,Bosnia and Herzegovina,,1.05
2020,SL_LBR_NTLCPL,Switzerland,,0.18
2021,SL_LBR_NTLCPL,Switzerland,,0.18
2015,SL_LBR_NTLCPL,Таджикистан,,0.54
2017,SL_LBR_NTLCPL,Bosnia and Herzegovina,,1.05
2018,SL_LBR_NTLCPL,Bosnia and Herzegovina,,1.05
2019,SL_LBR_NTLCPL,Bosnia and Herzegovina,,0.89
2015,SL_LBR_NTLCPL,Japan,,1.09
2016,SL_LBR_NTLCPL,Japan,,1.28
2017,SL_LBR_NTLCPL,Japan,,1.28
2018,SL_LBR_NTLCPL,Japan,,1.11
2019,SL_LBR_NTLCPL,Japan,,1.11
2020,SL_LBR_NTLCPL,Japan,,1.11
2021,SL_LBR_NTLCPL,Japan,,1.11
2015,SL_LBR_NTLCPL,Казахстан,,1.87
2016,SL_LBR_NTLCPL,Казахстан,,2.84
2016,SL_LBR_NTLCPL,Таджикистан,,0.35
2017,SL_LBR_NTLCPL,Таджикистан,,0.35
2018,SL_LBR_NTLCPL,Таджикистан,,0.35
2020,SL_LBR_NTLCPL,Bosnia and Herzegovina,,0.89
2021,SL_LBR_NTLCPL,Bosnia and Herzegovina,,0.89
2015,SL_LBR_NTLCPL,Bulgaria,,1.08
2017,SL_LBR_NTLCPL,Казахстан,,2.69
2018,SL_LBR_NTLCPL,Казахстан,,3.08
2019,SL_LBR_NTLCPL,Казахстан,,1.63
2020,SL_LBR_NTLCPL,Казахстан,,2.27
2021,SL_LBR_NTLCPL,Казахстан,,3.89
2015,SL_LBR_NTLCPL,Republic of Korea,,5.7
2016,SL_LBR_NTLCPL,Bulgaria,,1.08
2017,SL_LBR_NTLCPL,Bulgaria,,1.08
2018,SL_LBR_NTLCPL,Bulgaria,,1.08
2019,SL_LBR_NTLCPL,Bulgaria,,0.89
2020,SL_LBR_NTLCPL,Bulgaria,,0.89
2021,SL_LBR_NTLCPL,Bulgaria,,0.89
2019,SL_LBR_NTLCPL,Таджикистан,,0.35
2020,SL_LBR_NTLCPL,Таджикистан,,0.35
2021,SL_LBR_NTLCPL,Таджикистан,,0.35
2015,SL_LBR_NTLCPL,United Arab Emirates,,10.0
2016,SL_LBR_NTLCPL,United Arab Emirates,,10.0
2017,SL_LBR_NTLCPL,United Arab Emirates,,10.0
2018,SL_LBR_NTLCPL,United Arab Emirates,,10.0
2019,SL_LBR_NTLCPL,United Arab Emirates,,10.0
2020,SL_LBR_NTLCPL,United Arab Emirates,,10.0
2016,SL_LBR_NTLCPL,Republic of Korea,,5.11
2017,SL_LBR_NTLCPL,Republic of Korea,,6.83
2018,SL_LBR_NTLCPL,Republic of Korea,,6.99
2021,SL_LBR_NTLCPL,United Arab Emirates,,10.0
2015,SL_LBR_NTLCPL,Türkiye,,3.53
2016,SL_LBR_NTLCPL,Türkiye,,2.47
2015,SL_LBR_NTLCPL,Belarus,,7.52
2016,SL_LBR_NTLCPL,Belarus,,6.44
2017,SL_LBR_NTLCPL,Belarus,,6.63
2018,SL_LBR_NTLCPL,Belarus,,6.63
2019,SL_LBR_NTLCPL,Belarus,,6.61
2020,SL_LBR_NTLCPL,Belarus,,7.76
2017,SL_LBR_NTLCPL,Türkiye,,3.21
2018,SL_LBR_NTLCPL,Türkiye,,5.1
2019,SL_LBR_NTLCPL,Türkiye,,3.66
2020,SL_LBR_NTLCPL,Türkiye,,3.66
2021,SL_LBR_NTLCPL,Türkiye,,3.66
2015,SL_LBR_NTLCPL,Туркменистан,,1.43
2021,SL_LBR_NTLCPL,Belarus,,7.76
2015,SL_LBR_NTLCPL,Canada,,1.41
2016,SL_LBR_NTLCPL,Canada,,1.05
2016,SL_LBR_NTLCPL,Туркменистан,,1.43
2017,SL_LBR_NTLCPL,Туркменистан,,1.43
2018,SL_LBR_NTLCPL,Туркменистан,,1.43
2017,SL_LBR_NTLCPL,Canada,,1.55
2018,SL_LBR_NTLCPL,Canada,,1.21
2019,SL_LBR_NTLCPL,Canada,,1.07
2019,SL_LBR_NTLCPL,Туркменистан,,1.43
2020,SL_LBR_NTLCPL,Туркменистан,,1.43
2021,SL_LBR_NTLCPL,Туркменистан,,1.43
2019,SL_LBR_NTLCPL,Republic of Korea,,4.73
2020,SL_LBR_NTLCPL,Republic of Korea,,4.73
2021,SL_LBR_NTLCPL,Republic of Korea,,4.55
2015,SL_LBR_NTLCPL,Ukraine,,0.74
2016,SL_LBR_NTLCPL,Ukraine,,0.57
2017,SL_LBR_NTLCPL,Ukraine,,0.57
2020,SL_LBR_NTLCPL,Canada,,1.07
2021,SL_LBR_NTLCPL,Canada,,1.07
2015,SL_LBR_NTLCPL,Chile,,1.82
2018,SL_LBR_NTLCPL,Ukraine,,0.57
2019,SL_LBR_NTLCPL,Ukraine,,0.57
2020,SL_LBR_NTLCPL,Ukraine,,0.94
2015,SL_LBR_NTLCPL,Кыргызстан,,0.35
2016,SL_LBR_NTLCPL,Кыргызстан,,0.35
2017,SL_LBR_NTLCPL,Кыргызстан,,0.35
2021,SL_LBR_NTLCPL,Ukraine,,0.94
2015,SL_LBR_NTLCPL,North Macedonia,,0.2
2016,SL_LBR_NTLCPL,North Macedonia,,0.52
2016,SL_LBR_NTLCPL,Chile,,2.0
2017,SL_LBR_NTLCPL,Chile,,1.82
2018,SL_LBR_NTLCPL,Chile,,1.82
2017,SL_LBR_NTLCPL,North Macedonia,,0.52
2018,SL_LBR_NTLCPL,North Macedonia,,0.52
2019,SL_LBR_NTLCPL,North Macedonia,,0.52
2018,SL_LBR_NTLCPL,Кыргызстан,,0.35
2019,SL_LBR_NTLCPL,Кыргызстан,,0.35
2020,SL_LBR_NTLCPL,Кыргызстан,,0.35
2020,SL_LBR_NTLCPL,North Macedonia,,0.52
2021,SL_LBR_NTLCPL,North Macedonia,,0.52
2015,SL_LBR_NTLCPL,United Kingdom of Great Britain and Northern Ireland,,0.57
2016,SL_LBR_NTLCPL,United Kingdom of Great Britain and Northern Ireland,,1.08
2017,SL_LBR_NTLCPL,United Kingdom of Great Britain and Northern Ireland,,1.08
2018,SL_LBR_NTLCPL,United Kingdom of Great Britain and Northern Ireland,,1.06
2021,SL_LBR_NTLCPL,Кыргызстан,,0.51
2015,SL_LBR_NTLCPL,Latvia,,0.35
2016,SL_LBR_NTLCPL,Latvia,,0.0
2019,SL_LBR_NTLCPL,Chile,,2.68
2020,SL_LBR_NTLCPL,Chile,,2.68
2021,SL_LBR_NTLCPL,Chile,,2.68
2019,SL_LBR_NTLCPL,United Kingdom of Great Britain and Northern Ireland,,1.06
2020,SL_LBR_NTLCPL,United Kingdom of Great Britain and Northern Ireland,,1.06
2021,SL_LBR_NTLCPL,United Kingdom of Great Britain and Northern Ireland,,1.06
2015,SL_LBR_NTLCPL,China,,8.11
2016,SL_LBR_NTLCPL,China,,8.11
2017,SL_LBR_NTLCPL,China,,8.5
2018,SL_LBR_NTLCPL,China,,8.71
2019,SL_LBR_NTLCPL,China,,9.12
2020,SL_LBR_NTLCPL,China,,9.31
2017,SL_LBR_NTLCPL,Latvia,,0.0
2018,SL_LBR_NTLCPL,Latvia,,0.0
2019,SL_LBR_NTLCPL,Latvia,,0.0
2015,SL_LBR_NTLCPL,Узбекистан,,0.9
2016,SL_LBR_NTLCPL,Узбекистан,,0.9
2017,SL_LBR_NTLCPL,Узбекистан,,0.9
2020,SL_LBR_NTLCPL,Latvia,,0.0
2021,SL_LBR_NTLCPL,Latvia,,0.0
2015,SL_LBR_NTLCPL,Lithuania,,0.18
2018,SL_LBR_NTLCPL,Узбекистан,,0.9
2019,SL_LBR_NTLCPL,Узбекистан,,0.9
2020,SL_LBR_NTLCPL,Узбекистан,,1.09
2016,SL_LBR_NTLCPL,Lithuania,,0.18
2017,SL_LBR_NTLCPL,Lithuania,,0.18
2018,SL_LBR_NTLCPL,Lithuania,,0.18
2019,SL_LBR_NTLCPL,Lithuania,,0.18
2020,SL_LBR_NTLCPL,Lithuania,,0.18
2021,SL_LBR_NTLCPL,Lithuania,,0.0
2021,SL_LBR_NTLCPL,China,,9.11
2015,SL_LBR_NTLCPL,Colombia,,4.14
2016,SL_LBR_NTLCPL,Colombia,,4.48
2017,SL_LBR_NTLCPL,Colombia,,5.04
2018,SL_LBR_NTLCPL,Colombia,,4.66
2019,SL_LBR_NTLCPL,Colombia,,5.02
2015,SL_LBR_NTLCPL,Luxembourg,,0.0
2016,SL_LBR_NTLCPL,Luxembourg,,0.19
2017,SL_LBR_NTLCPL,Luxembourg,,0.19
2018,SL_LBR_NTLCPL,Luxembourg,,0.19
2019,SL_LBR_NTLCPL,Luxembourg,,0.19
2020,SL_LBR_NTLCPL,Luxembourg,,0.19
2021,SL_LBR_NTLCPL,Luxembourg,,0.19
2015,SL_LBR_NTLCPL,Malta,,1.26
2016,SL_LBR_NTLCPL,Malta,,1.26
2017,SL_LBR_NTLCPL,Malta,,1.83
2018,SL_LBR_NTLCPL,Malta,,1.83
2019,SL_LBR_NTLCPL,Malta,,1.83
2020,SL_LBR_NTLCPL,Malta,,1.83
2021,SL_LBR_NTLCPL,Malta,,1.48
2015,SL_LBR_NTLCPL,Mexico,,3.61
2016,SL_LBR_NTLCPL,Mexico,,3.61
2017,SL_LBR_NTLCPL,Mexico,,2.85
2018,SL_LBR_NTLCPL,Mexico,,2.49
2019,SL_LBR_NTLCPL,Mexico,,2.49
2020,SL_LBR_NTLCPL,Mexico,,2.49
2021,SL_LBR_NTLCPL,Mexico,,2.66
2015,SL_LBR_NTLCPL,Republic of Moldova,,1.06
2016,SL_LBR_NTLCPL,Republic of Moldova,,1.06
2017,SL_LBR_NTLCPL,Republic of Moldova,,0.89
2018,SL_LBR_NTLCPL,Republic of Moldova,,0.89
2019,SL_LBR_NTLCPL,Republic of Moldova,,0.89
2020,SL_LBR_NTLCPL,Republic of Moldova,,0.89
2021,SL_LBR_NTLCPL,Republic of Moldova,,0.89
2015,SL_LBR_NTLCPL,Montenegro,,1.05
2016,SL_LBR_NTLCPL,Montenegro,,1.24
2017,SL_LBR_NTLCPL,Montenegro,,1.4
2018,SL_LBR_NTLCPL,Montenegro,,1.4
2019,SL_LBR_NTLCPL,Montenegro,,1.4
2020,SL_LBR_NTLCPL,Montenegro,,1.21
2021,SL_LBR_NTLCPL,Montenegro,,1.23
2015,SL_LBR_NTLCPL,Netherlands (Kingdom of the),,0.18
2016,SL_LBR_NTLCPL,Netherlands (Kingdom of the),,0.18
2017,SL_LBR_NTLCPL,Netherlands (Kingdom of the),,0.38
2018,SL_LBR_NTLCPL,Netherlands (Kingdom of the),,0.38
2019,SL_LBR_NTLCPL,Netherlands (Kingdom of the),,0.38
2020,SL_LBR_NTLCPL,Netherlands (Kingdom of the),,0.38
2021,SL_LBR_NTLCPL,Netherlands (Kingdom of the),,0.38
2015,SL_LBR_NTLCPL,New Zealand,,1.28
2016,SL_LBR_NTLCPL,New Zealand,,1.46
2017,SL_LBR_NTLCPL,New Zealand,,1.79
2018,SL_LBR_NTLCPL,New Zealand,,1.79
2019,SL_LBR_NTLCPL,New Zealand,,1.43
2020,SL_LBR_NTLCPL,New Zealand,,1.43
2021,SL_LBR_NTLCPL,New Zealand,,1.1
2015,SL_LBR_NTLCPL,Norway,,0.0
2016,SL_LBR_NTLCPL,Norway,,0.0
2017,SL_LBR_NTLCPL,Norway,,0.0
2018,SL_LBR_NTLCPL,Norway,,0.0
2019,SL_LBR_NTLCPL,Norway,,0.0
2020,SL_LBR_NTLCPL,Colombia,,5.02
2021,SL_LBR_NTLCPL,Colombia,,5.2
2015,SL_LBR_NTLCPL,Costa Rica,,1.95
2016,SL_LBR_NTLCPL,Costa Rica,,1.57
2017,SL_LBR_NTLCPL,Costa Rica,,1.4
2018,SL_LBR_NTLCPL,Costa Rica,,1.4
2020,SL_LBR_NTLCPL,Norway,,0.0
2021,SL_LBR_NTLCPL,Norway,,0.0
2015,SL_LBR_NTLCPL,Poland,,0.95
2016,SL_LBR_NTLCPL,Poland,,1.43
2017,SL_LBR_NTLCPL,Poland,,0.95
2018,SL_LBR_NTLCPL,Poland,,1.1
2019,SL_LBR_NTLCPL,Poland,,1.1
2020,SL_LBR_NTLCPL,Poland,,1.1
2021,SL_LBR_NTLCPL,Poland,,1.1
2019,SL_LBR_NTLCPL,Costa Rica,,1.4
2020,SL_LBR_NTLCPL,Costa Rica,,1.91
2021,SL_LBR_NTLCPL,Costa Rica,,1.91
2015,SL_LBR_NTLCPL,Portugal,,0.98
2016,SL_LBR_NTLCPL,Portugal,,1.16
2017,SL_LBR_NTLCPL,Portugal,,1.16
2018,SL_LBR_NTLCPL,Portugal,,0.51
2019,SL_LBR_NTLCPL,Portugal,,0.51
2020,SL_LBR_NTLCPL,Portugal,,0.51
2015,SL_LBR_NTLCPL,Croatia,,0.57
2016,SL_LBR_NTLCPL,Croatia,,0.57
2017,SL_LBR_NTLCPL,Croatia,,1.12
2018,SL_LBR_NTLCPL,Croatia,,1.12
2019,SL_LBR_NTLCPL,Croatia,,1.12
2020,SL_LBR_NTLCPL,Croatia,,1.12
2021,SL_LBR_NTLCPL,Portugal,,0.51
2015,SL_LBR_NTLCPL,Romania,,1.76
2016,SL_LBR_NTLCPL,Romania,,2.34
2021,SL_LBR_NTLCPL,Croatia,,1.12
2015,SL_LBR_NTLCPL,Cyprus,,0.0
2016,SL_LBR_NTLCPL,Cyprus,,0.0
2017,SL_LBR_NTLCPL,Romania,,2.14
2018,SL_LBR_NTLCPL,Romania,,2.14
2019,SL_LBR_NTLCPL,Romania,,1.95
2020,SL_LBR_NTLCPL,Romania,,1.95
2021,SL_LBR_NTLCPL,Romania,,2.29
2015,SL_LBR_NTLCPL,Serbia,,1.6
2016,SL_LBR_NTLCPL,Serbia,,1.6
2017,SL_LBR_NTLCPL,Serbia,,1.6
2018,SL_LBR_NTLCPL,Serbia,,1.41
2019,SL_LBR_NTLCPL,Serbia,,1.41
2020,SL_LBR_NTLCPL,Serbia,,1.41
2021,SL_LBR_NTLCPL,Serbia,,1.41
2015,SL_LBR_NTLCPL,Slovakia,,0.0
2016,SL_LBR_NTLCPL,Slovakia,,0.0
2017,SL_LBR_NTLCPL,Slovakia,,0.0
2018,SL_LBR_NTLCPL,Slovakia,,0.0
2019,SL_LBR_NTLCPL,Slovakia,,0.0
2020,SL_LBR_NTLCPL,Slovakia,,0.0
2017,SL_LBR_NTLCPL,Cyprus,,0.0
2018,SL_LBR_NTLCPL,Cyprus,,0.0
2019,SL_LBR_NTLCPL,Cyprus,,0.0
2021,SL_LBR_NTLCPL,Slovakia,,0.0
2015,SL_LBR_NTLCPL,Viet Nam,,8.28
2016,SL_LBR_NTLCPL,Viet Nam,,8.28
2017,SL_LBR_NTLCPL,Viet Nam,,8.28
2018,SL_LBR_NTLCPL,Viet Nam,,8.28
2019,SL_LBR_NTLCPL,Viet Nam,,8.28
2020,SL_LBR_NTLCPL,Viet Nam,,7.87
2021,SL_LBR_NTLCPL,Viet Nam,,8.23
2015,SL_LBR_NTLCPL,Slovenia,,0.36
2020,SL_LBR_NTLCPL,Cyprus,,0.0
2021,SL_LBR_NTLCPL,Cyprus,,0.0
2015,SL_LBR_NTLCPL,Czechia,,0.18
2016,SL_LBR_NTLCPL,Slovenia,,0.36
2017,SL_LBR_NTLCPL,Slovenia,,0.36
2018,SL_LBR_NTLCPL,Slovenia,,0.36
2016,SL_LBR_NTLCPL,Czechia,,0.18
2017,SL_LBR_NTLCPL,Czechia,,0.18
2018,SL_LBR_NTLCPL,Czechia,,0.18
2019,SL_LBR_NTLCPL,Slovenia,,0.36
2020,SL_LBR_NTLCPL,Slovenia,,0.36
2021,SL_LBR_NTLCPL,Slovenia,,0.36
2019,SL_LBR_NTLCPL,Czechia,,0.18
2020,SL_LBR_NTLCPL,Czechia,,0.18
2021,SL_LBR_NTLCPL,Czechia,,0.18
2015,SL_LBR_NTLCPL,Denmark,,0.73
2016,SL_LBR_NTLCPL,Denmark,,0.53
2017,SL_LBR_NTLCPL,Denmark,,0.53
2018,SL_LBR_NTLCPL,Denmark,,0.53
2019,SL_LBR_NTLCPL,Denmark,,0.19
2020,SL_LBR_NTLCPL,Denmark,,0.19
2015,SL_LBR_NTLCPL,Spain,,1.0
2016,SL_LBR_NTLCPL,Spain,,0.54
2017,SL_LBR_NTLCPL,Spain,,0.54
2018,SL_LBR_NTLCPL,Spain,,0.71
2019,SL_LBR_NTLCPL,Spain,,0.71
2020,SL_LBR_NTLCPL,Spain,,0.71
2021,SL_LBR_NTLCPL,Denmark,,0.19
2015,SL_LBR_NTLCPL,Estonia,,0.0
2016,SL_LBR_NTLCPL,Estonia,,0.0
2017,SL_LBR_NTLCPL,Estonia,,0.0
2018,SL_LBR_NTLCPL,Estonia,,0.0
2019,SL_LBR_NTLCPL,Estonia,,0.15
2020,SL_LBR_NTLCPL,Estonia,,0.15
2021,SL_LBR_NTLCPL,Estonia,,0.15
2015,SL_LBR_NTLCPL,Finland,,0.0
2016,SL_LBR_NTLCPL,Finland,,0.0
2017,SL_LBR_NTLCPL,Finland,,0.0
2018,SL_LBR_NTLCPL,Finland,,0.0
2019,SL_LBR_NTLCPL,Finland,,0.0
2020,SL_LBR_NTLCPL,Finland,,0.0
2021,SL_LBR_NTLCPL,Finland,,0.0
2015,SL_LBR_NTLCPL,France,,0.36
2016,SL_LBR_NTLCPL,France,,0.36
2017,SL_LBR_NTLCPL,France,,0.36
2018,SL_LBR_NTLCPL,France,,0.36
2019,SL_LBR_NTLCPL,France,,0.0
2020,SL_LBR_NTLCPL,France,,0.68
2021,SL_LBR_NTLCPL,France,,0.5
2015,SL_LBR_NTLCPL,Georgia,,1.22
2016,SL_LBR_NTLCPL,Georgia,,0.53
2017,SL_LBR_NTLCPL,Georgia,,0.86
2018,SL_LBR_NTLCPL,Georgia,,0.86
2019,SL_LBR_NTLCPL,Georgia,,0.86
2020,SL_LBR_NTLCPL,Georgia,,0.86
2021,SL_LBR_NTLCPL,Georgia,,0.15
2015,SL_LBR_NTLCPL,Germany,,0.38
2016,SL_LBR_NTLCPL,Germany,,0.38
2017,SL_LBR_NTLCPL,Germany,,0.38
2018,SL_LBR_NTLCPL,Germany,,0.38
2019,SL_LBR_NTLCPL,Germany,,0.38
2020,SL_LBR_NTLCPL,Germany,,0.38
2021,SL_LBR_NTLCPL,Germany,,0.38
2015,SL_LBR_NTLCPL,Greece,,1.02
2016,SL_LBR_NTLCPL,Greece,,1.02
2017,SL_LBR_NTLCPL,Greece,,1.0
2018,SL_LBR_NTLCPL,Greece,,0.85
2019,SL_LBR_NTLCPL,Greece,,0.85
2020,SL_LBR_NTLCPL,Greece,,0.85
2021,SL_LBR_NTLCPL,Greece,,0.85
2015,SL_LBR_NTLCPL,Hungary,,0.89
2016,SL_LBR_NTLCPL,Hungary,,0.53
2017,SL_LBR_NTLCPL,Hungary,,0.72
2018,SL_LBR_NTLCPL,Hungary,,0.72
2019,SL_LBR_NTLCPL,Hungary,,0.72
2020,SL_LBR_NTLCPL,Hungary,,0.72
2021,SL_LBR_NTLCPL,Hungary,,1.41
2015,SL_LBR_NTLCPL,Iceland,,0.18
2016,SL_LBR_NTLCPL,Iceland,,0.18
2017,SL_LBR_NTLCPL,Iceland,,0.0
2018,SL_LBR_NTLCPL,Iceland,,0.0
2019,SL_LBR_NTLCPL,Iceland,,0.0
2020,SL_LBR_NTLCPL,Iceland,,0.0
2021,SL_LBR_NTLCPL,Iceland,,0.0
2015,SL_LBR_NTLCPL,India,,4.77
2016,SL_LBR_NTLCPL,India,,5.14
2017,SL_LBR_NTLCPL,India,,4.95
2018,SL_LBR_NTLCPL,India,,4.59
2019,SL_LBR_NTLCPL,India,,3.69
2020,SL_LBR_NTLCPL,India,,3.32
2021,SL_LBR_NTLCPL,Spain,,0.71
2020,SL_LBR_NTLCPL,Azerbaijan,,0.54
2021,SL_LBR_NTLCPL,Azerbaijan,,0.54
2021,SL_LBR_NTLCPL,India,,3.32
2021,SL_LBR_NTLCPL,Узбекистан,,1.09
2021,SL_LBR_NTLCPL,Узбекистан,,1.09
