Year,SeriesCode,GeoAreaName,Age,Disability status,Location,Population Group,Quantile,Service Attribute,Sex,Value
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","ATTITUDE","FEMALE",91
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","AVERAGE","FEMALE",90
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","ACCESS","BOTHSEX",89
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","URBAN","TOTAL","","ACCESS","BOTHSEX",88
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","URBAN","TOTAL","","QUALITY","BOTHSEX",93
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","ATTITUDE","BOTHSEX",91
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","URBAN","TOTAL","","ATTITUDE","BOTHSEX",90
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","AVERAGE","BOTHSEX",91
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","ALLAREA","TOTAL","","ACCESS","FEMALE",88
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","RURAL","TOTAL","","AVERAGE","BOTHSEX",94
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","RURAL","TOTAL","","ACCESS","BOTHSEX",91
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","RURAL","TOTAL","","QUALITY","BOTHSEX",97
2022,"SP_PSR_SATIS_HLTH","Belarus","ALLAGE","_T","URBAN","TOTAL","","EQUALITY","BOTHSEX",87
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","POP_A","","ACCESS","BOTHSEX",87
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","POP_A","","ATTITUDE","BOTHSEX",93
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","TOTAL","","ATTITUDE","FEMALE",94
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","TOTAL","","ACCESS","FEMALE",88
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","TOTAL","","ATTITUDE","MALE",94
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","TOTAL","","QUALITY","FEMALE",91
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","TOTAL","","QUALITY","MALE",91
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","TOTAL","","ACCESS","MALE",91
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","POP_A","","QUALITY","BOTHSEX",92
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","TOTAL","","ATTITUDE","BOTHSEX",94
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","TOTAL","","QUALITY","BOTHSEX",91
2022,"SP_PSR_SATIS_HLTH","Israel","ALLAGE","_T","ALLAREA","TOTAL","","ACCESS","BOTHSEX",90
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","AFFORD","FEMALE",58
2022,"SP_PSR_SATIS_HLTH","Mexico","65+","_T","ALLAREA","TOTAL","","AFFORD","BOTHSEX",66
2022,"SP_PSR_SATIS_HLTH","Mexico","25-34","_T","ALLAREA","TOTAL","","AVERAGE","BOTHSEX",70
2022,"SP_PSR_SATIS_HLTH","Mexico","55-64","_T","ALLAREA","TOTAL","","AVERAGE","BOTHSEX",75
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","QUALITY","MALE",75
2022,"SP_PSR_SATIS_HLTH","Mexico","65+","_T","ALLAREA","TOTAL","","ACCESS","BOTHSEX",69
2022,"SP_PSR_SATIS_HLTH","Mexico","65+","_T","ALLAREA","TOTAL","","QUALITY","BOTHSEX",83
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","AFFORD","BOTHSEX",58
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","AVERAGE","FEMALE",73
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","ATTITUDE","BOTHSEX",84
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","URBAN","TOTAL","","QUALITY","BOTHSEX",78
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","QUALITY","FEMALE",79
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","AVERAGE","BOTHSEX",72
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","ATTITUDE","FEMALE",85
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","URBAN","TOTAL","","ACCESS","BOTHSEX",68
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","ACCESS","FEMALE",70
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","AFFORD","MALE",60
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","AVERAGE","MALE",71
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","ATTITUDE","MALE",82
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","ACCESS","MALE",65
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","QUALITY","BOTHSEX",78
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","ALLAREA","TOTAL","","ACCESS","BOTHSEX",68
2022,"SP_PSR_SATIS_HLTH","Mexico","55-64","_T","ALLAREA","TOTAL","","ATTITUDE","BOTHSEX",87
2022,"SP_PSR_SATIS_HLTH","Mexico","35-44","_T","ALLAREA","TOTAL","","AVERAGE","BOTHSEX",71
2022,"SP_PSR_SATIS_HLTH","Mexico","45-54","_T","ALLAREA","TOTAL","","ACCESS","BOTHSEX",72
2022,"SP_PSR_SATIS_HLTH","Mexico","25-34","_T","ALLAREA","TOTAL","","AFFORD","BOTHSEX",57
2022,"SP_PSR_SATIS_HLTH","Mexico","25-34","_T","ALLAREA","TOTAL","","QUALITY","BOTHSEX",77
2022,"SP_PSR_SATIS_HLTH","Mexico","55-64","_T","ALLAREA","TOTAL","","AFFORD","BOTHSEX",60
2022,"SP_PSR_SATIS_HLTH","Mexico","35-44","_T","ALLAREA","TOTAL","","QUALITY","BOTHSEX",75
2022,"SP_PSR_SATIS_HLTH","Mexico","65+","_T","ALLAREA","TOTAL","","AVERAGE","BOTHSEX",77
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","URBAN","TOTAL","","ATTITUDE","BOTHSEX",84
2022,"SP_PSR_SATIS_HLTH","Mexico","35-44","_T","ALLAREA","TOTAL","","ACCESS","BOTHSEX",71
2022,"SP_PSR_SATIS_HLTH","Mexico","35-44","_T","ALLAREA","TOTAL","","AFFORD","BOTHSEX",56
2022,"SP_PSR_SATIS_HLTH","Mexico","45-54","_T","ALLAREA","TOTAL","","QUALITY","BOTHSEX",77
2022,"SP_PSR_SATIS_HLTH","Mexico","25-34","_T","ALLAREA","TOTAL","","ATTITUDE","BOTHSEX",81
2022,"SP_PSR_SATIS_HLTH","Mexico","ALLAGE","_T","URBAN","TOTAL","","AVERAGE","BOTHSEX",72
2022,"SP_PSR_SATIS_HLTH","Mexico","<25Y","_T","ALLAREA","TOTAL","","ACCESS","BOTHSEX",58
2022,"SP_PSR_SATIS_HLTH","Mexico","65+","_T","ALLAREA","TOTAL","","ATTITUDE","BOTHSEX",88
2022,"SP_PSR_SATIS_HLTH","Mexico","55-64","_T","ALLAREA","TOTAL","","QUALITY","BOTHSEX",79
2022,"SP_PSR_SATIS_HLTH","Mexico","45-54","_T","ALLAREA","TOTAL","","AFFORD","BOTHSEX",57
2022,"SP_PSR_SATIS_HLTH","Mexico","55-64","_T","ALLAREA","TOTAL","","ACCESS","BOTHSEX",75
2022,"SP_PSR_SATIS_HLTH","Mexico","25-34","_T","ALLAREA","TOTAL","","ACCESS","BOTHSEX",64
2022,"SP_PSR_SATIS_HLTH","Mexico","25-34","_T","ALLAREA","TOTAL","","ACCESS","BOTHSEX",64
