Year,SeriesCode,GeoAreaName,Name of international institution,Value
2022,"SG_INT_MBRDEV","Australia","IFC",0.53763
2022,"SG_INT_MBRDEV","Australia","IBRD",0.5291
2000,"SG_INT_MBRDEV","Austria","UNGA",0.5291
2000,"SG_INT_MBRDEV","Austria","IMF",0.5618
2000,"SG_INT_MBRDEV","Austria","ECOSOC",1.85185
2000,"SG_INT_MBRDEV","Austria","IFC",0.57471
2000,"SG_INT_MBRDEV","Austria","IADB",2.17391
2000,"SG_INT_MBRDEV","Albania","UNGA",0.5291
2000,"SG_INT_MBRDEV","Albania","IMF",0.5618
2000,"SG_INT_MBRDEV","Albania","IFC",0.57471
2000,"SG_INT_MBRDEV","Albania","WTO",0.71429
2000,"SG_INT_MBRDEV","Albania","IBRD",0.54945
2005,"SG_INT_MBRDEV","Albania","UNGA",0.52356
2005,"SG_INT_MBRDEV","Albania","IBRD",0.54348
2005,"SG_INT_MBRDEV","Albania","WTO",0.67114
2005,"SG_INT_MBRDEV","Albania","IFC",0.5618
2005,"SG_INT_MBRDEV","Albania","ECOSOC",1.85185
2005,"SG_INT_MBRDEV","Albania","IMF",0.55249
2017,"SG_INT_MBRDEV","Croatia","IMF",0.5291
2017,"SG_INT_MBRDEV","Croatia","IFC",0.54348
2018,"SG_INT_MBRDEV","Croatia","WTO",0.60976
2018,"SG_INT_MBRDEV","Croatia","UNGA",0.51813
2018,"SG_INT_MBRDEV","Croatia","IFC",0.54348
2018,"SG_INT_MBRDEV","Croatia","IMF",0.5291
2018,"SG_INT_MBRDEV","Croatia","IBRD",0.5291
2018,"SG_INT_MBRDEV","Croatia","IADB",2.08333
2019,"SG_INT_MBRDEV","Croatia","WTO",0.60976
2019,"SG_INT_MBRDEV","Croatia","UNGA",0.51813
2019,"SG_INT_MBRDEV","Croatia","IADB",2.08333
2019,"SG_INT_MBRDEV","Croatia","IBRD",0.5291
2019,"SG_INT_MBRDEV","Croatia","IMF",0.5291
2019,"SG_INT_MBRDEV","Croatia","IFC",0.5435
2020,"SG_INT_MBRDEV","Croatia","IFC",0.54054
2020,"SG_INT_MBRDEV","Croatia","IBRD",0.5291
2020,"SG_INT_MBRDEV","Croatia","IMF",0.5291
2020,"SG_INT_MBRDEV","Croatia","IADB",2.08333
2020,"SG_INT_MBRDEV","Croatia","WTO",0.60976
2020,"SG_INT_MBRDEV","Croatia","UNGA",0.51813
2021,"SG_INT_MBRDEV","Croatia","UNGA",0.51813
2021,"SG_INT_MBRDEV","Croatia","IADB",2.08333
2010,"SG_INT_MBRDEV","Albania","IMF",0.54945
2010,"SG_INT_MBRDEV","Albania","IFC",0.54945
2010,"SG_INT_MBRDEV","Albania","UNGA",0.52083
2010,"SG_INT_MBRDEV","Albania","WTO",0.65359
2010,"SG_INT_MBRDEV","Albania","IBRD",0.53476
2015,"SG_INT_MBRDEV","Albania","UNGA",0.51813
2015,"SG_INT_MBRDEV","Albania","IMF",0.53191
2015,"SG_INT_MBRDEV","Albania","ECOSOC",1.85185
2015,"SG_INT_MBRDEV","Albania","IFC",0.54348
2015,"SG_INT_MBRDEV","Albania","IBRD",0.53191
2015,"SG_INT_MBRDEV","Albania","WTO",0.625
2016,"SG_INT_MBRDEV","Albania","IFC",0.54348
2016,"SG_INT_MBRDEV","Albania","IMF",0.53191
2016,"SG_INT_MBRDEV","Albania","WTO",0.61728
2016,"SG_INT_MBRDEV","Albania","UNGA",0.51813
2016,"SG_INT_MBRDEV","Albania","IBRD",0.53191
2017,"SG_INT_MBRDEV","Albania","IBRD",0.5291
2017,"SG_INT_MBRDEV","Albania","UNGA",0.51813
2017,"SG_INT_MBRDEV","Albania","WTO",0.60976
2017,"SG_INT_MBRDEV","Albania","IMF",0.5291
2017,"SG_INT_MBRDEV","Albania","IFC",0.54348
2018,"SG_INT_MBRDEV","Albania","IFC",0.54348
2021,"SG_INT_MBRDEV","Croatia","IMF",0.52632
2021,"SG_INT_MBRDEV","Croatia","IFC",0.54054
2021,"SG_INT_MBRDEV","Croatia","IBRD",0.5291
2021,"SG_INT_MBRDEV","Croatia","WTO",0.60976
2022,"SG_INT_MBRDEV","Croatia","UNGA",0.51813
2022,"SG_INT_MBRDEV","Croatia","IBRD",0.5291
2022,"SG_INT_MBRDEV","Croatia","IFC",0.53763
2022,"SG_INT_MBRDEV","Croatia","ECOSOC",1.85185
2022,"SG_INT_MBRDEV","Croatia","IMF",0.52632
2022,"SG_INT_MBRDEV","Croatia","WTO",0.60976
2000,"SG_INT_MBRDEV","Cyprus","IMF",0.5618
2018,"SG_INT_MBRDEV","Albania","UNGA",0.51813
2018,"SG_INT_MBRDEV","Albania","IMF",0.5291
2018,"SG_INT_MBRDEV","Albania","WTO",0.60976
2018,"SG_INT_MBRDEV","Albania","IBRD",0.5291
2019,"SG_INT_MBRDEV","Albania","IBRD",0.5291
2019,"SG_INT_MBRDEV","Albania","WTO",0.60976
2019,"SG_INT_MBRDEV","Albania","IMF",0.5291
2019,"SG_INT_MBRDEV","Albania","UNGA",0.51813
2019,"SG_INT_MBRDEV","Albania","IFC",0.5435
2020,"SG_INT_MBRDEV","Albania","IFC",0.54054
2020,"SG_INT_MBRDEV","Albania","IBRD",0.5291
2000,"SG_INT_MBRDEV","Cyprus","IFC",0.57471
2000,"SG_INT_MBRDEV","Cyprus","IBRD",0.54945
2000,"SG_INT_MBRDEV","Cyprus","UNGA",0.5291
2000,"SG_INT_MBRDEV","Cyprus","WTO",0.71429
2005,"SG_INT_MBRDEV","Cyprus","IBRD",0.54348
2005,"SG_INT_MBRDEV","Cyprus","WTO",0.67114
2005,"SG_INT_MBRDEV","Cyprus","IFC",0.5618
2005,"SG_INT_MBRDEV","Cyprus","IMF",0.55249
2005,"SG_INT_MBRDEV","Cyprus","UNGA",0.52356
2010,"SG_INT_MBRDEV","Cyprus","IMF",0.54945
2010,"SG_INT_MBRDEV","Cyprus","IFC",0.54945
2000,"SG_INT_MBRDEV","Ireland","UNGA",0.5291
2000,"SG_INT_MBRDEV","Ireland","IMF",0.5618
2000,"SG_INT_MBRDEV","Ireland","IFC",0.57471
2000,"SG_INT_MBRDEV","Ireland","WTO",0.71429
2000,"SG_INT_MBRDEV","Ireland","IBRD",0.54945
2005,"SG_INT_MBRDEV","Ireland","IBRD",0.54348
2005,"SG_INT_MBRDEV","Ireland","WTO",0.67114
2005,"SG_INT_MBRDEV","Ireland","UNGA",0.52356
2005,"SG_INT_MBRDEV","Ireland","IMF",0.55249
2005,"SG_INT_MBRDEV","Ireland","ECOSOC",1.85185
2005,"SG_INT_MBRDEV","Ireland","IFC",0.5618
2010,"SG_INT_MBRDEV","Cyprus","WTO",0.65359
2010,"SG_INT_MBRDEV","Cyprus","UNGA",0.52083
2010,"SG_INT_MBRDEV","Cyprus","IBRD",0.53476
2015,"SG_INT_MBRDEV","Cyprus","IBRD",0.53191
2015,"SG_INT_MBRDEV","Cyprus","UNGA",0.51813
2015,"SG_INT_MBRDEV","Cyprus","IMF",0.53191
2015,"SG_INT_MBRDEV","Cyprus","WTO",0.625
2015,"SG_INT_MBRDEV","Cyprus","IFC",0.54348
2016,"SG_INT_MBRDEV","Cyprus","IFC",0.54348
2016,"SG_INT_MBRDEV","Cyprus","WTO",0.61728
2016,"SG_INT_MBRDEV","Cyprus","IMF",0.53191
2016,"SG_INT_MBRDEV","Cyprus","UNGA",0.51813
2016,"SG_INT_MBRDEV","Cyprus","IBRD",0.53191
2017,"SG_INT_MBRDEV","Cyprus","IBRD",0.5291
2017,"SG_INT_MBRDEV","Cyprus","WTO",0.60976
2017,"SG_INT_MBRDEV","Cyprus","UNGA",0.51813
2017,"SG_INT_MBRDEV","Cyprus","IMF",0.5291
2017,"SG_INT_MBRDEV","Cyprus","IFC",0.54348
2018,"SG_INT_MBRDEV","Cyprus","IFC",0.54348
2018,"SG_INT_MBRDEV","Cyprus","IMF",0.5291
2018,"SG_INT_MBRDEV","Cyprus","WTO",0.60976
2018,"SG_INT_MBRDEV","Cyprus","UNGA",0.51813
2018,"SG_INT_MBRDEV","Cyprus","IBRD",0.5291
2019,"SG_INT_MBRDEV","Cyprus","IBRD",0.5291
2019,"SG_INT_MBRDEV","Cyprus","WTO",0.60976
2019,"SG_INT_MBRDEV","Cyprus","UNGA",0.51813
2019,"SG_INT_MBRDEV","Cyprus","IMF",0.5291
2019,"SG_INT_MBRDEV","Cyprus","IFC",0.5435
2020,"SG_INT_MBRDEV","Cyprus","IFC",0.54054
2020,"SG_INT_MBRDEV","Cyprus","IMF",0.5291
2020,"SG_INT_MBRDEV","Cyprus","IBRD",0.5291
2020,"SG_INT_MBRDEV","Cyprus","WTO",0.60976
2020,"SG_INT_MBRDEV","Cyprus","UNGA",0.51813
2021,"SG_INT_MBRDEV","Cyprus","UNGA",0.51813
2021,"SG_INT_MBRDEV","Cyprus","IMF",0.52632
2021,"SG_INT_MBRDEV","Cyprus","IFC",0.54054
2021,"SG_INT_MBRDEV","Cyprus","IBRD",0.5291
2021,"SG_INT_MBRDEV","Cyprus","WTO",0.60976
2022,"SG_INT_MBRDEV","Cyprus","UNGA",0.51813
2022,"SG_INT_MBRDEV","Cyprus","IBRD",0.5291
2022,"SG_INT_MBRDEV","Cyprus","IFC",0.53763
2022,"SG_INT_MBRDEV","Cyprus","IMF",0.52632
2022,"SG_INT_MBRDEV","Cyprus","WTO",0.60976
2000,"SG_INT_MBRDEV","Czechia","IBRD",0.54945
2020,"SG_INT_MBRDEV","Albania","IMF",0.5291
2020,"SG_INT_MBRDEV","Albania","WTO",0.60976
2020,"SG_INT_MBRDEV","Albania","UNGA",0.51813
2021,"SG_INT_MBRDEV","Albania","UNGA",0.51813
2021,"SG_INT_MBRDEV","Albania","IMF",0.52632
2021,"SG_INT_MBRDEV","Albania","IFC",0.54054
2021,"SG_INT_MBRDEV","Albania","WTO",0.60976
2021,"SG_INT_MBRDEV","Albania","IBRD",0.5291
2022,"SG_INT_MBRDEV","Albania","IBRD",0.5291
2022,"SG_INT_MBRDEV","Albania","UNGA",0.51813
2022,"SG_INT_MBRDEV","Albania","IFC",0.53763
2000,"SG_INT_MBRDEV","Czechia","ECOSOC",1.85185
2000,"SG_INT_MBRDEV","Czechia","IMF",0.5618
2000,"SG_INT_MBRDEV","Czechia","IFC",0.57471
2000,"SG_INT_MBRDEV","Czechia","WTO",0.71429
2000,"SG_INT_MBRDEV","Czechia","UNGA",0.5291
2005,"SG_INT_MBRDEV","Czechia","IFC",0.5618
2005,"SG_INT_MBRDEV","Czechia","IMF",0.55249
2005,"SG_INT_MBRDEV","Czechia","WTO",0.67114
2005,"SG_INT_MBRDEV","Czechia","IBRD",0.54348
2005,"SG_INT_MBRDEV","Czechia","UNGA",0.52356
2010,"SG_INT_MBRDEV","Czechia","UNGA",0.52083
2010,"SG_INT_MBRDEV","Czechia","WTO",0.65359
2010,"SG_INT_MBRDEV","Czechia","IBRD",0.53476
2010,"SG_INT_MBRDEV","Czechia","IMF",0.54945
2010,"SG_INT_MBRDEV","Czechia","IFC",0.54945
2015,"SG_INT_MBRDEV","Czechia","IMF",0.53191
2015,"SG_INT_MBRDEV","Czechia","IFC",0.54348
2015,"SG_INT_MBRDEV","Czechia","IBRD",0.53191
2015,"SG_INT_MBRDEV","Czechia","UNGA",0.51813
2015,"SG_INT_MBRDEV","Czechia","WTO",0.625
2016,"SG_INT_MBRDEV","Czechia","UNGA",0.51813
2016,"SG_INT_MBRDEV","Czechia","IBRD",0.53191
2016,"SG_INT_MBRDEV","Czechia","ECOSOC",1.85185
2016,"SG_INT_MBRDEV","Czechia","IFC",0.54348
2016,"SG_INT_MBRDEV","Czechia","IMF",0.53191
2016,"SG_INT_MBRDEV","Czechia","WTO",0.61728
2017,"SG_INT_MBRDEV","Czechia","ECOSOC",1.85185
2017,"SG_INT_MBRDEV","Czechia","IMF",0.5291
2017,"SG_INT_MBRDEV","Czechia","IFC",0.54348
2017,"SG_INT_MBRDEV","Czechia","IBRD",0.5291
2017,"SG_INT_MBRDEV","Czechia","WTO",0.60976
2017,"SG_INT_MBRDEV","Czechia","UNGA",0.51813
2018,"SG_INT_MBRDEV","Czechia","WTO",0.60976
2018,"SG_INT_MBRDEV","Czechia","UNGA",0.51813
2018,"SG_INT_MBRDEV","Czechia","IBRD",0.5291
2018,"SG_INT_MBRDEV","Czechia","IMF",0.5291
2018,"SG_INT_MBRDEV","Czechia","IFC",0.54348
2018,"SG_INT_MBRDEV","Czechia","ECOSOC",1.85185
2019,"SG_INT_MBRDEV","Czechia","IMF",0.5291
2019,"SG_INT_MBRDEV","Czechia","IFC",0.5435
2019,"SG_INT_MBRDEV","Czechia","IBRD",0.5291
2019,"SG_INT_MBRDEV","Czechia","WTO",0.60976
2019,"SG_INT_MBRDEV","Czechia","UNGA",0.51813
2020,"SG_INT_MBRDEV","Czechia","WTO",0.60976
2000,"SG_INT_MBRDEV","Austria","ADB",1.6949
2000,"SG_INT_MBRDEV","Austria","AFDB",1.2987
2000,"SG_INT_MBRDEV","Austria","WTO",0.71429
2000,"SG_INT_MBRDEV","Austria","IBRD",0.54945
2005,"SG_INT_MBRDEV","Austria","WTO",0.67114
2005,"SG_INT_MBRDEV","Austria","AFDB",1.2987
2005,"SG_INT_MBRDEV","Austria","ADB",1.5625
2005,"SG_INT_MBRDEV","Austria","IADB",2.12766
2005,"SG_INT_MBRDEV","Austria","IBRD",0.54348
2005,"SG_INT_MBRDEV","Austria","IMF",0.55249
2005,"SG_INT_MBRDEV","Austria","UNGA",0.52356
2005,"SG_INT_MBRDEV","Austria","IFC",0.5618
2010,"SG_INT_MBRDEV","Austria","IFC",0.54945
2010,"SG_INT_MBRDEV","Austria","IMF",0.54945
2010,"SG_INT_MBRDEV","Austria","IADB",2.08333
2010,"SG_INT_MBRDEV","Austria","IBRD",0.53476
2010,"SG_INT_MBRDEV","Austria","AFDB",1.2987
2010,"SG_INT_MBRDEV","Austria","ADB",1.4925
2010,"SG_INT_MBRDEV","Austria","UNGA",0.52083
2010,"SG_INT_MBRDEV","Austria","WTO",0.65359
2010,"SG_INT_MBRDEV","Austria","UNSC",6.66667
2014,"SG_INT_MBRDEV","Austria","AFDB",1.26582
2015,"SG_INT_MBRDEV","Austria","AFDB",1.25
2015,"SG_INT_MBRDEV","Austria","ADB",1.4925
2015,"SG_INT_MBRDEV","Austria","ECOSOC",1.85185
2015,"SG_INT_MBRDEV","Austria","IBRD",0.53191
2015,"SG_INT_MBRDEV","Austria","IADB",2.08333
2015,"SG_INT_MBRDEV","Austria","IMF",0.53191
2015,"SG_INT_MBRDEV","Austria","UNGA",0.51813
2015,"SG_INT_MBRDEV","Austria","WTO",0.625
2015,"SG_INT_MBRDEV","Austria","IFC",0.54348
2016,"SG_INT_MBRDEV","Austria","AFDB",1.25
2016,"SG_INT_MBRDEV","Austria","IFC",0.54348
2016,"SG_INT_MBRDEV","Austria","UNGA",0.51813
2016,"SG_INT_MBRDEV","Austria","WTO",0.61728
2016,"SG_INT_MBRDEV","Austria","IMF",0.53191
2016,"SG_INT_MBRDEV","Austria","IBRD",0.53191
2016,"SG_INT_MBRDEV","Austria","IADB",2.08333
2016,"SG_INT_MBRDEV","Austria","ADB",1.4925
2017,"SG_INT_MBRDEV","Austria","IFC",0.54348
2017,"SG_INT_MBRDEV","Austria","ADB",1.4925
2017,"SG_INT_MBRDEV","Austria","IADB",2.08333
2017,"SG_INT_MBRDEV","Austria","IBRD",0.5291
2017,"SG_INT_MBRDEV","Austria","IMF",0.5291
2017,"SG_INT_MBRDEV","Austria","AFDB",1.25
2017,"SG_INT_MBRDEV","Austria","UNGA",0.51813
2017,"SG_INT_MBRDEV","Austria","WTO",0.60976
2018,"SG_INT_MBRDEV","Austria","ADB",1.4925
2018,"SG_INT_MBRDEV","Austria","AFDB",1.25
2018,"SG_INT_MBRDEV","Austria","IFC",0.54348
2018,"SG_INT_MBRDEV","Austria","UNGA",0.51813
2018,"SG_INT_MBRDEV","Austria","WTO",0.60976
2018,"SG_INT_MBRDEV","Austria","IADB",2.08333
2018,"SG_INT_MBRDEV","Austria","IMF",0.5291
2018,"SG_INT_MBRDEV","Austria","IBRD",0.5291
2020,"SG_INT_MBRDEV","Czechia","UNGA",0.51813
2020,"SG_INT_MBRDEV","Czechia","IFC",0.54054
2020,"SG_INT_MBRDEV","Czechia","IBRD",0.5291
2020,"SG_INT_MBRDEV","Czechia","IMF",0.5291
2021,"SG_INT_MBRDEV","Czechia","IMF",0.52632
2021,"SG_INT_MBRDEV","Czechia","IFC",0.54054
2021,"SG_INT_MBRDEV","Czechia","IBRD",0.5291
2021,"SG_INT_MBRDEV","Czechia","UNGA",0.51813
2021,"SG_INT_MBRDEV","Czechia","WTO",0.60976
2022,"SG_INT_MBRDEV","Czechia","UNGA",0.51813
2022,"SG_INT_MBRDEV","Czechia","IMF",0.52632
2022,"SG_INT_MBRDEV","Czechia","WTO",0.60976
2022,"SG_INT_MBRDEV","Czechia","IBRD",0.5291
2022,"SG_INT_MBRDEV","Czechia","IFC",0.53763
2022,"SG_INT_MBRDEV","Czechia","ECOSOC",1.85185
2000,"SG_INT_MBRDEV","Denmark","UNGA",0.5291
2000,"SG_INT_MBRDEV","Denmark","IADB",2.17391
2000,"SG_INT_MBRDEV","Denmark","AFDB",1.2987
2000,"SG_INT_MBRDEV","Denmark","IBRD",0.54945
2000,"SG_INT_MBRDEV","Denmark","IMF",0.5618
2000,"SG_INT_MBRDEV","Denmark","IFC",0.57471
2000,"SG_INT_MBRDEV","Denmark","ECOSOC",1.85185
2000,"SG_INT_MBRDEV","Denmark","ADB",1.6949
2000,"SG_INT_MBRDEV","Denmark","WTO",0.71429
2005,"SG_INT_MBRDEV","Denmark","ADB",1.5625
2005,"SG_INT_MBRDEV","Denmark","ECOSOC",1.85185
2005,"SG_INT_MBRDEV","Denmark","IMF",0.55249
2005,"SG_INT_MBRDEV","Denmark","IFC",0.5618
2005,"SG_INT_MBRDEV","Denmark","IBRD",0.54348
2005,"SG_INT_MBRDEV","Denmark","AFDB",1.2987
2005,"SG_INT_MBRDEV","Denmark","IADB",2.12766
2005,"SG_INT_MBRDEV","Denmark","UNSC",6.66667
2005,"SG_INT_MBRDEV","Denmark","WTO",0.67114
2005,"SG_INT_MBRDEV","Denmark","UNGA",0.52356
2010,"SG_INT_MBRDEV","Denmark","UNGA",0.52083
2010,"SG_INT_MBRDEV","Denmark","IFC",0.54945
2010,"SG_INT_MBRDEV","Denmark","IMF",0.54945
2010,"SG_INT_MBRDEV","Denmark","AFDB",1.2987
2010,"SG_INT_MBRDEV","Denmark","ADB",1.4925
2010,"SG_INT_MBRDEV","Denmark","WTO",0.65359
2010,"SG_INT_MBRDEV","Denmark","IADB",2.08333
2010,"SG_INT_MBRDEV","Denmark","IBRD",0.53476
2014,"SG_INT_MBRDEV","Denmark","AFDB",1.26582
2015,"SG_INT_MBRDEV","Denmark","ADB",1.4925
2015,"SG_INT_MBRDEV","Denmark","AFDB",1.25
2015,"SG_INT_MBRDEV","Denmark","IMF",0.53191
2015,"SG_INT_MBRDEV","Denmark","IADB",2.08333
2015,"SG_INT_MBRDEV","Denmark","IBRD",0.53191
2015,"SG_INT_MBRDEV","Denmark","UNGA",0.51813
2015,"SG_INT_MBRDEV","Denmark","WTO",0.625
2015,"SG_INT_MBRDEV","Denmark","IFC",0.54348
2016,"SG_INT_MBRDEV","Denmark","WTO",0.61728
2016,"SG_INT_MBRDEV","Denmark","UNGA",0.51813
2016,"SG_INT_MBRDEV","Denmark","IBRD",0.53191
2016,"SG_INT_MBRDEV","Denmark","IADB",2.08333
2016,"SG_INT_MBRDEV","Denmark","AFDB",1.25
2016,"SG_INT_MBRDEV","Denmark","ADB",1.4925
2016,"SG_INT_MBRDEV","Denmark","IFC",0.54348
2016,"SG_INT_MBRDEV","Denmark","IMF",0.53191
2017,"SG_INT_MBRDEV","Denmark","UNGA",0.51813
2017,"SG_INT_MBRDEV","Denmark","IFC",0.54348
2017,"SG_INT_MBRDEV","Denmark","IMF",0.5291
2017,"SG_INT_MBRDEV","Denmark","ADB",1.4925
2017,"SG_INT_MBRDEV","Denmark","ECOSOC",1.85185
2017,"SG_INT_MBRDEV","Denmark","AFDB",1.25
2017,"SG_INT_MBRDEV","Denmark","IBRD",0.5291
2017,"SG_INT_MBRDEV","Denmark","IADB",2.08333
2017,"SG_INT_MBRDEV","Denmark","WTO",0.60976
2018,"SG_INT_MBRDEV","Denmark","IFC",0.54348
2018,"SG_INT_MBRDEV","Denmark","WTO",0.60976
2018,"SG_INT_MBRDEV","Denmark","UNGA",0.51813
2018,"SG_INT_MBRDEV","Denmark","IADB",2.08333
2018,"SG_INT_MBRDEV","Denmark","IBRD",0.5291
2018,"SG_INT_MBRDEV","Denmark","ECOSOC",1.85185
2018,"SG_INT_MBRDEV","Denmark","AFDB",1.25
2018,"SG_INT_MBRDEV","Denmark","ADB",1.4925
2018,"SG_INT_MBRDEV","Denmark","IMF",0.5291
2019,"SG_INT_MBRDEV","Denmark","IMF",0.5291
2019,"SG_INT_MBRDEV","Denmark","ADB",1.47059
2019,"SG_INT_MBRDEV","Denmark","ECOSOC",1.85185
2019,"SG_INT_MBRDEV","Denmark","AFDB",1.25
2019,"SG_INT_MBRDEV","Denmark","IBRD",0.5291
2019,"SG_INT_MBRDEV","Denmark","IADB",2.08333
2019,"SG_INT_MBRDEV","Denmark","WTO",0.60976
2019,"SG_INT_MBRDEV","Denmark","UNGA",0.51813
2019,"SG_INT_MBRDEV","Denmark","IFC",0.5435
2020,"SG_INT_MBRDEV","Denmark","IFC",0.54054
2020,"SG_INT_MBRDEV","Denmark","WTO",0.60976
2020,"SG_INT_MBRDEV","Denmark","UNGA",0.51813
2020,"SG_INT_MBRDEV","Denmark","IADB",2.08333
2020,"SG_INT_MBRDEV","Denmark","ADB",1.47059
2020,"SG_INT_MBRDEV","Denmark","AFDB",1.23457
2020,"SG_INT_MBRDEV","Denmark","IMF",0.5291
2020,"SG_INT_MBRDEV","Denmark","IBRD",0.5291
2021,"SG_INT_MBRDEV","Denmark","AFDB",1.23457
2021,"SG_INT_MBRDEV","Denmark","IFC",0.54054
2021,"SG_INT_MBRDEV","Denmark","ADB",1.47059
2021,"SG_INT_MBRDEV","Denmark","IADB",2.08333
2021,"SG_INT_MBRDEV","Denmark","IMF",0.52632
2021,"SG_INT_MBRDEV","Denmark","UNGA",0.51813
2021,"SG_INT_MBRDEV","Denmark","IBRD",0.5291
2021,"SG_INT_MBRDEV","Denmark","WTO",0.60976
2022,"SG_INT_MBRDEV","Denmark","UNGA",0.51813
2022,"SG_INT_MBRDEV","Denmark","IBRD",0.5291
2022,"SG_INT_MBRDEV","Denmark","IMF",0.52632
2022,"SG_INT_MBRDEV","Denmark","WTO",0.60976
2022,"SG_INT_MBRDEV","Denmark","ECOSOC",1.85185
2022,"SG_INT_MBRDEV","Denmark","IFC",0.53763
2000,"SG_INT_MBRDEV","Estonia","IMF",0.5618
2000,"SG_INT_MBRDEV","Estonia","IFC",0.57471
2000,"SG_INT_MBRDEV","Estonia","IBRD",0.54945
2000,"SG_INT_MBRDEV","Estonia","UNGA",0.5291
2000,"SG_INT_MBRDEV","Estonia","WTO",0.71429
2005,"SG_INT_MBRDEV","Estonia","IBRD",0.54348
2005,"SG_INT_MBRDEV","Estonia","WTO",0.67114
2005,"SG_INT_MBRDEV","Estonia","IFC",0.5618
2005,"SG_INT_MBRDEV","Estonia","IMF",0.55249
2005,"SG_INT_MBRDEV","Estonia","UNGA",0.52356
2010,"SG_INT_MBRDEV","Estonia","IFC",0.54945
2010,"SG_INT_MBRDEV","Estonia","IBRD",0.53476
2010,"SG_INT_MBRDEV","Estonia","UNGA",0.52083
2010,"SG_INT_MBRDEV","Estonia","WTO",0.65359
2010,"SG_INT_MBRDEV","Estonia","IMF",0.54945
2010,"SG_INT_MBRDEV","Estonia","ECOSOC",1.85185
2015,"SG_INT_MBRDEV","Estonia","UNGA",0.51813
2015,"SG_INT_MBRDEV","Estonia","IBRD",0.53191
2015,"SG_INT_MBRDEV","Estonia","ECOSOC",1.85185
