Year,Metric,GeoAreaName,Value
2018,Control of Corruption,Cyprus,0.635751843
2017,Control of Corruption,Cyprus,0.778250337
2016,Control of Corruption,Cyprus,0.820996881
2015,Control of Corruption,Cyprus,1.004094839
2014,Control of Corruption,Cyprus,1.071142793
2013,Control of Corruption,Cyprus,1.238514423
2012,Control of Corruption,Cyprus,1.243302345
2011,Control of Corruption,Cyprus,0.859248042
2010,Control of Corruption,Cyprus,0.969285846
2009,Control of Corruption,Cyprus,0.9054178
2008,Control of Corruption,Cyprus,1.193127513
2007,Control of Corruption,Cyprus,1.073370457
2006,Control of Corruption,Cyprus,1.085562587
2005,Control of Corruption,Cyprus,0.899039984
2004,Control of Corruption,Cyprus,0.873254597
2003,Control of Corruption,Cyprus,1.192308187
2002,Control of Corruption,Cyprus,1.126284242
2000,Control of Corruption,Cyprus,1.081236482
1998,Control of Corruption,Cyprus,1.061723828
1996,Control of Corruption,Cyprus,1.331288218
2021,Control of Corruption,Czechia,0.641104996
2020,Control of Corruption,Czechia,0.581434548
2019,Control of Corruption,Czechia,0.561192811
2018,Control of Corruption,Czechia,0.537798822
2017,Control of Corruption,Czechia,0.599621296
2016,Control of Corruption,Czechia,0.587125123
2015,Control of Corruption,Czechia,0.498597264
2014,Control of Corruption,Czechia,0.430063665
2013,Control of Corruption,Czechia,0.299337626
2012,Control of Corruption,Czechia,0.310179651
2011,Control of Corruption,Czechia,0.383604437
2010,Control of Corruption,Czechia,0.384590119
2009,Control of Corruption,Czechia,0.380892634
2008,Control of Corruption,Czechia,0.343739986
2007,Control of Corruption,Czechia,0.321369082
2006,Control of Corruption,Czechia,0.350346774
2005,Control of Corruption,Czechia,0.48022601
2004,Control of Corruption,Czechia,0.38449049
2003,Control of Corruption,Czechia,0.489982098
2002,Control of Corruption,Czechia,0.358057916
2000,Control of Corruption,Czechia,0.146037668
1998,Control of Corruption,Czechia,0.522349358
1996,Control of Corruption,Czechia,0.683219373
2021,Control of Corruption,Germany,1.813231826
2020,Control of Corruption,Germany,1.855754375
2019,Control of Corruption,Germany,1.900066733
2018,Control of Corruption,Germany,1.93290782
2017,Control of Corruption,Germany,1.83601439
2016,Control of Corruption,Germany,1.820955515
2015,Control of Corruption,Germany,1.814328671
2014,Control of Corruption,Germany,1.812496543
2013,Control of Corruption,Germany,1.797943592
2012,Control of Corruption,Germany,1.817630172
2011,Control of Corruption,Germany,1.741949916
2010,Control of Corruption,Germany,1.766428828
2009,Control of Corruption,Germany,1.746210337
2008,Control of Corruption,Germany,1.745895863
2007,Control of Corruption,Germany,1.726519346
2006,Control of Corruption,Germany,1.793642521
2005,Control of Corruption,Germany,1.875442266
2004,Control of Corruption,Germany,1.840065479
2003,Control of Corruption,Germany,1.87576139
2002,Control of Corruption,Germany,1.888743639
2000,Control of Corruption,Germany,1.801545382
1998,Control of Corruption,Germany,1.997946858
1996,Control of Corruption,Germany,1.905216813
2021,Control of Corruption,Denmark,2.366175175
2020,Control of Corruption,Denmark,2.268326998
2019,Control of Corruption,Denmark,2.158068657
2018,Control of Corruption,Denmark,2.192685127
2017,Control of Corruption,Denmark,2.232307196
2016,Control of Corruption,Denmark,2.24552083
2015,Control of Corruption,Denmark,2.226803303
2014,Control of Corruption,Denmark,2.252340317
2013,Control of Corruption,Denmark,2.399264097
2012,Control of Corruption,Denmark,2.382462263
2011,Control of Corruption,Denmark,2.392884016
2010,Control of Corruption,Denmark,2.352359056
2009,Control of Corruption,Denmark,2.435494423
2008,Control of Corruption,Denmark,2.376408815
2007,Control of Corruption,Denmark,2.434834003
2006,Control of Corruption,Denmark,2.459118366
2005,Control of Corruption,Denmark,2.278205633
2004,Control of Corruption,Denmark,2.406824589
2003,Control of Corruption,Denmark,2.358764887
2002,Control of Corruption,Denmark,2.310651064
2000,Control of Corruption,Denmark,2.321177483
1998,Control of Corruption,Denmark,2.196660995
1996,Control of Corruption,Denmark,2.231307983
2021,Control of Corruption,Spain,0.741642237
2020,Control of Corruption,Spain,0.737676799
2019,Control of Corruption,Spain,0.694954097
2018,Control of Corruption,Spain,0.641388834
2017,Control of Corruption,Spain,0.540556669
2016,Control of Corruption,Spain,0.601362467
2015,Control of Corruption,Spain,0.662847698
2014,Control of Corruption,Spain,0.689561665
2013,Control of Corruption,Spain,0.926997602
2012,Control of Corruption,Spain,1.170406342
2011,Control of Corruption,Spain,1.163212419
2010,Control of Corruption,Spain,1.160037041
2009,Control of Corruption,Spain,1.054948092
2008,Control of Corruption,Spain,1.178771973
2007,Control of Corruption,Spain,1.079032421
2006,Control of Corruption,Spain,1.177665472
2005,Control of Corruption,Spain,1.327615857
2004,Control of Corruption,Spain,1.337189078
2003,Control of Corruption,Spain,1.348911166
2002,Control of Corruption,Spain,1.316825151
2000,Control of Corruption,Spain,1.328282833
1998,Control of Corruption,Spain,1.355995536
1996,Control of Corruption,Spain,1.129211187
2021,Control of Corruption,Estonia,1.535825491
2020,Control of Corruption,Estonia,1.610068202
2019,Control of Corruption,Estonia,1.55827558
2018,Control of Corruption,Estonia,1.50129199
2017,Control of Corruption,Estonia,1.238063574
2016,Control of Corruption,Estonia,1.266897917
2015,Control of Corruption,Estonia,1.29068923
2014,Control of Corruption,Estonia,1.299008369
2013,Control of Corruption,Estonia,1.181539178
2012,Control of Corruption,Estonia,1.088298321
2011,Control of Corruption,Estonia,1.045448303
2010,Control of Corruption,Estonia,0.989536285
2009,Control of Corruption,Estonia,1.000682592
2008,Control of Corruption,Estonia,0.952435076
2007,Control of Corruption,Estonia,0.96780771
2006,Control of Corruption,Estonia,1.012343884
2005,Control of Corruption,Estonia,0.994831264
2004,Control of Corruption,Estonia,0.982846856
2003,Control of Corruption,Estonia,0.922725499
2002,Control of Corruption,Estonia,0.739191175
2000,Control of Corruption,Estonia,0.840922892
1998,Control of Corruption,Estonia,0.655492127
1996,Control of Corruption,Estonia,0.449222982
2021,Control of Corruption,Finland,2.270076752
2020,Control of Corruption,Finland,2.201974869
2019,Control of Corruption,Finland,2.150144815
2018,Control of Corruption,Finland,2.207324982
2017,Control of Corruption,Finland,2.203368664
2016,Control of Corruption,Finland,2.228350401
2015,Control of Corruption,Finland,2.256495953
2014,Control of Corruption,Finland,2.159475803
2013,Control of Corruption,Finland,2.200171232
2012,Control of Corruption,Finland,2.226846695
2011,Control of Corruption,Finland,2.191915035
2010,Control of Corruption,Finland,2.151669741
2009,Control of Corruption,Finland,2.240718603
2008,Control of Corruption,Finland,2.320845842
2007,Control of Corruption,Finland,2.389477491
2006,Control of Corruption,Finland,2.454110861
2005,Control of Corruption,Finland,2.314718962
2004,Control of Corruption,Finland,2.410111427
2003,Control of Corruption,Finland,2.374123812
2002,Control of Corruption,Finland,2.369009733
2000,Control of Corruption,Finland,2.368235588
1998,Control of Corruption,Finland,2.199661732
1996,Control of Corruption,Finland,2.206872463
2021,Control of Corruption,France,1.310407043
2020,Control of Corruption,France,1.149994373
2019,Control of Corruption,France,1.279630184
2018,Control of Corruption,France,1.313190341
2017,Control of Corruption,France,1.259721994
2016,Control of Corruption,France,1.364643693
2015,Control of Corruption,France,1.283082008
2014,Control of Corruption,France,1.288246036
2013,Control of Corruption,France,1.304377317
2012,Control of Corruption,France,1.471969485
2011,Control of Corruption,France,1.537773252
2010,Control of Corruption,France,1.487756133
2009,Control of Corruption,France,1.429969311
2008,Control of Corruption,France,1.39503479
2007,Control of Corruption,France,1.456001759
2006,Control of Corruption,France,1.45506084
2005,Control of Corruption,France,1.357538223
2004,Control of Corruption,France,1.311163783
2003,Control of Corruption,France,1.305756092
2002,Control of Corruption,France,1.191585183
2000,Control of Corruption,France,1.32172358
1998,Control of Corruption,France,1.350772858
1996,Control of Corruption,France,1.247409225
2021,Control of Corruption,Georgia,0.688035369
2020,Control of Corruption,Georgia,0.628455698
2019,Control of Corruption,Georgia,0.74641484
2018,Control of Corruption,Georgia,0.755375624
2017,Control of Corruption,Georgia,0.793022335
2016,Control of Corruption,Georgia,0.746462643
2015,Control of Corruption,Georgia,0.732019842
2014,Control of Corruption,Georgia,0.828557551
2013,Control of Corruption,Georgia,0.463925153
2012,Control of Corruption,Georgia,0.397421122
2011,Control of Corruption,Georgia,0.117519699
2010,Control of Corruption,Georgia,0.012301577
2009,Control of Corruption,Georgia,-0.122036166
2008,Control of Corruption,Georgia,-0.102076381
2007,Control of Corruption,Georgia,-0.128835425
2006,Control of Corruption,Georgia,0.050152458
2005,Control of Corruption,Georgia,-0.212853789
2004,Control of Corruption,Georgia,-0.459568113
2003,Control of Corruption,Georgia,-0.650767446
2002,Control of Corruption,Georgia,-1.264141917
2000,Control of Corruption,Georgia,-1.040172696
1998,Control of Corruption,Georgia,-0.982505977
1996,Control of Corruption,Georgia,-1.527264118
2021,Control of Corruption,Greece,0.207244009
2020,Control of Corruption,Greece,0.055794135
2019,Control of Corruption,Greece,0.038689494
2018,Control of Corruption,Greece,-0.030618867
2017,Control of Corruption,Greece,-0.085719168
2016,Control of Corruption,Greece,-0.107778907
2015,Control of Corruption,Greece,-0.092285991
2014,Control of Corruption,Greece,-0.135704443
2013,Control of Corruption,Greece,-0.075100534
2012,Control of Corruption,Greece,-0.19037801
2011,Control of Corruption,Greece,-0.101170935
2010,Control of Corruption,Greece,-0.062511668
2009,Control of Corruption,Greece,0.062898904
2008,Control of Corruption,Greece,0.126674965
2007,Control of Corruption,Greece,0.261930704
2006,Control of Corruption,Greece,0.357532442
2005,Control of Corruption,Greece,0.351383656
2004,Control of Corruption,Greece,0.450190425
2003,Control of Corruption,Greece,0.363324076
2002,Control of Corruption,Greece,0.403180629
2000,Control of Corruption,Greece,0.631434977
1998,Control of Corruption,Greece,0.755532086
1996,Control of Corruption,Greece,0.33865419
2021,Control of Corruption,Croatia,0.061275687
2020,Control of Corruption,Croatia,0.201265827
2019,Control of Corruption,Croatia,0.077398509
2018,Control of Corruption,Croatia,0.072260708
2017,Control of Corruption,Croatia,0.087150946
2016,Control of Corruption,Croatia,0.183709353
2015,Control of Corruption,Croatia,0.228570417
2014,Control of Corruption,Croatia,0.201164097
2013,Control of Corruption,Croatia,0.107682623
2012,Control of Corruption,Croatia,-0.025457293
2011,Control of Corruption,Croatia,0.027720679
2010,Control of Corruption,Croatia,0.023101466
2009,Control of Corruption,Croatia,-0.086094983
2008,Control of Corruption,Croatia,-0.05050467
2007,Control of Corruption,Croatia,0.059037972
2006,Control of Corruption,Croatia,0.044990115
2005,Control of Corruption,Croatia,0.139555231
2004,Control of Corruption,Croatia,0.239370078
2003,Control of Corruption,Croatia,0.258523047
2002,Control of Corruption,Croatia,0.225011632
2000,Control of Corruption,Croatia,-0.035381917
1998,Control of Corruption,Croatia,-0.586468279
1996,Control of Corruption,Croatia,-0.578690052
2021,Control of Corruption,Hungary,0.035607804
2020,Control of Corruption,Hungary,0.093386322
2019,Control of Corruption,Hungary,0.055678848
2018,Control of Corruption,Hungary,0.081193209
2017,Control of Corruption,Hungary,0.118520312
2016,Control of Corruption,Hungary,0.099874198
2015,Control of Corruption,Hungary,0.147093385
2014,Control of Corruption,Hungary,0.156834021
2013,Control of Corruption,Hungary,0.294103175
2012,Control of Corruption,Hungary,0.298703164
2011,Control of Corruption,Hungary,0.332649559
2010,Control of Corruption,Hungary,0.303954065
2009,Control of Corruption,Hungary,0.395329833
2008,Control of Corruption,Hungary,0.434097022
2007,Control of Corruption,Hungary,0.595291078
2006,Control of Corruption,Hungary,0.633171618
2005,Control of Corruption,Hungary,0.625532269
2004,Control of Corruption,Hungary,0.665135562
2003,Control of Corruption,Hungary,0.635689139
2002,Control of Corruption,Hungary,0.574014664
2000,Control of Corruption,Hungary,0.720579922
1998,Control of Corruption,Hungary,0.732710958
1996,Control of Corruption,Hungary,0.666908205
2021,Control of Corruption,Ireland,1.649120331
2020,Control of Corruption,Ireland,1.564145803
2019,Control of Corruption,Ireland,1.491115212
2018,Control of Corruption,Ireland,1.567317247
2017,Control of Corruption,Ireland,1.566325903
2016,Control of Corruption,Ireland,1.687402844
2015,Control of Corruption,Ireland,1.71087122
2014,Control of Corruption,Ireland,1.692481041
2013,Control of Corruption,Ireland,1.646097541
2012,Control of Corruption,Ireland,1.455700159
2011,Control of Corruption,Ireland,1.556076646
2010,Control of Corruption,Ireland,1.681157708
2009,Control of Corruption,Ireland,1.750300288
2008,Control of Corruption,Ireland,1.735993505
2007,Control of Corruption,Ireland,1.739237309
2006,Control of Corruption,Ireland,1.70114398
2005,Control of Corruption,Ireland,1.584446549
2004,Control of Corruption,Ireland,1.270406127
2003,Control of Corruption,Ireland,1.41381526
2002,Control of Corruption,Ireland,1.368625998
2000,Control of Corruption,Ireland,1.38453424
1998,Control of Corruption,Ireland,1.545052171
1996,Control of Corruption,Ireland,1.708908081
2021,Control of Corruption,Iceland,1.790595531
2020,Control of Corruption,Iceland,1.697188616
2019,Control of Corruption,Iceland,1.704831481
2018,Control of Corruption,Iceland,1.83969748
2017,Control of Corruption,Iceland,1.83393991
2016,Control of Corruption,Iceland,1.944353461
2015,Control of Corruption,Iceland,1.9370296
2014,Control of Corruption,Iceland,1.82383287
2013,Control of Corruption,Iceland,1.904773474
2012,Control of Corruption,Iceland,1.878031492
2011,Control of Corruption,Iceland,1.932823181
2010,Control of Corruption,Iceland,1.934969664
2009,Control of Corruption,Iceland,2.031520128
2008,Control of Corruption,Iceland,2.327251434
2007,Control of Corruption,Iceland,2.197670221
2006,Control of Corruption,Iceland,2.172911167
2005,Control of Corruption,Iceland,2.301355362
2004,Control of Corruption,Iceland,2.167231798
2003,Control of Corruption,Iceland,2.22752285
2002,Control of Corruption,Iceland,2.194614172
2000,Control of Corruption,Iceland,2.19704318
1998,Control of Corruption,Iceland,1.914237857
1996,Control of Corruption,Iceland,1.73311007
2021,Control of Corruption,Italy,0.542555928
2020,Control of Corruption,Italy,0.535262406
2019,Control of Corruption,Italy,0.260285705
2018,Control of Corruption,Italy,0.242468223
2017,Control of Corruption,Italy,0.20415175
2016,Control of Corruption,Italy,0.109893784
2015,Control of Corruption,Italy,0.05497352
2014,Control of Corruption,Italy,0.005989762
2013,Control of Corruption,Italy,0.071097754
2012,Control of Corruption,Italy,0.172010645
2011,Control of Corruption,Italy,0.299565822
2010,Control of Corruption,Italy,0.283443719
2009,Control of Corruption,Italy,0.194480166
2008,Control of Corruption,Italy,0.262665063
2007,Control of Corruption,Italy,0.331189245
2006,Control of Corruption,Italy,0.477287948
2005,Control of Corruption,Italy,0.403579652
2004,Control of Corruption,Italy,0.361397028
2003,Control of Corruption,Italy,0.484606415
2002,Control of Corruption,Italy,0.523466825
2000,Control of Corruption,Italy,0.699464858
1998,Control of Corruption,Italy,0.490962476
1996,Control of Corruption,Italy,0.407847583
2021,Control of Corruption,Kazakhstan,-0.236961946
2020,Control of Corruption,Kazakhstan,-0.355603904
2019,Control of Corruption,Kazakhstan,-0.26295799
2018,Control of Corruption,Kazakhstan,-0.469651818
2017,Control of Corruption,Kazakhstan,-0.818275809
2016,Control of Corruption,Kazakhstan,-0.811159253
2015,Control of Corruption,Kazakhstan,-0.849363565
2014,Control of Corruption,Kazakhstan,-0.82542944
2013,Control of Corruption,Kazakhstan,-0.930915296
2012,Control of Corruption,Kazakhstan,-0.921265781
2011,Control of Corruption,Kazakhstan,-0.996684909
2010,Control of Corruption,Kazakhstan,-1.001060009
2009,Control of Corruption,Kazakhstan,-0.931518555
2008,Control of Corruption,Kazakhstan,-0.980641484
2007,Control of Corruption,Kazakhstan,-0.99224472
2006,Control of Corruption,Kazakhstan,-0.995142639
2005,Control of Corruption,Kazakhstan,-1.014963388
2004,Control of Corruption,Kazakhstan,-1.105953693
2003,Control of Corruption,Kazakhstan,-1.026523709
2002,Control of Corruption,Kazakhstan,-1.113584757
2000,Control of Corruption,Kazakhstan,-1.149889469
1998,Control of Corruption,Kazakhstan,-1.07885468
1996,Control of Corruption,Kazakhstan,-1.132820368
2021,Control of Corruption,Kyrgyzstan,-1.124733806
2020,Control of Corruption,Kyrgyzstan,-1.099553704
2019,Control of Corruption,Kyrgyzstan,-0.936249793
2018,Control of Corruption,Kyrgyzstan,-0.934162438
2017,Control of Corruption,Kyrgyzstan,-1.048686981
2016,Control of Corruption,Kyrgyzstan,-1.071955442
2015,Control of Corruption,Kyrgyzstan,-1.136499643
2014,Control of Corruption,Kyrgyzstan,-1.129372239
2013,Control of Corruption,Kyrgyzstan,-1.161999106
2012,Control of Corruption,Kyrgyzstan,-1.150862575
2011,Control of Corruption,Kyrgyzstan,-1.231965423
2010,Control of Corruption,Kyrgyzstan,-1.175097346
2009,Control of Corruption,Kyrgyzstan,-1.312827229
2008,Control of Corruption,Kyrgyzstan,-1.232239485
2007,Control of Corruption,Kyrgyzstan,-1.329097867
2006,Control of Corruption,Kyrgyzstan,-1.325560451
2005,Control of Corruption,Kyrgyzstan,-1.267269254
2004,Control of Corruption,Kyrgyzstan,-1.097712159
2003,Control of Corruption,Kyrgyzstan,-1.03281939
2002,Control of Corruption,Kyrgyzstan,-1.06477046
2000,Control of Corruption,Kyrgyzstan,-1.007478714
1998,Control of Corruption,Kyrgyzstan,-1.058797121
1996,Control of Corruption,Kyrgyzstan,-0.993923426
2021,Control of Corruption,Lithuania,0.851239979
2020,Control of Corruption,Lithuania,0.804807484
2019,Control of Corruption,Lithuania,0.694379687
2018,Control of Corruption,Lithuania,0.493576527
2017,Control of Corruption,Lithuania,0.549186707
2016,Control of Corruption,Lithuania,0.708135486
2015,Control of Corruption,Lithuania,0.613774955
2014,Control of Corruption,Lithuania,0.553784788
2013,Control of Corruption,Lithuania,0.419104278
2012,Control of Corruption,Lithuania,0.386670023
2011,Control of Corruption,Lithuania,0.319815338
2010,Control of Corruption,Lithuania,0.372421801
2009,Control of Corruption,Lithuania,0.226648018
