Year,SeriesCode,GeoAreaName,Age,Name of non-communicable disease,Sex,Value
2010,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","BOTHSEX",12.6
2010,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","FEMALE",10.4
2010,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","MALE",14.7
2015,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","BOTHSEX",11.2
2000,"SH_DTH_NCOM","Australia","30-70","","BOTHSEX",12.9
2005,"SH_DTH_NCOM","Australia","30-70","","BOTHSEX",11.4
2005,"SH_DTH_NCOM","Australia","30-70","","MALE",13.9
2005,"SH_DTH_NCOM","Australia","30-70","","FEMALE",8.7
2010,"SH_DTH_NCOM","Australia","30-70","","BOTHSEX",9.9
2010,"SH_DTH_NCOM","Australia","30-70","","MALE",12.1
2010,"SH_DTH_NCOM","Australia","30-70","","FEMALE",7.6
2015,"SH_DTH_NCOM","Australia","30-70","","BOTHSEX",9.3
2015,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","MALE",12.7
2015,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","FEMALE",9.7
2019,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","BOTHSEX",10.3
2019,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","FEMALE",9.1
2019,"SH_DTH_NCOM","Netherlands (Kingdom of the)","30-70","","MALE",11.6
2000,"SH_DTH_NCOM","New Zealand","30-70","","FEMALE",13
2000,"SH_DTH_NCOM","New Zealand","30-70","","MALE",18.8
2000,"SH_DTH_NCOM","New Zealand","30-70","","BOTHSEX",15.9
2015,"SH_DTH_NCOM","Australia","30-70","","FEMALE",7.3
2015,"SH_DTH_NCOM","Australia","30-70","","MALE",11.3
2019,"SH_DTH_NCOM","Australia","30-70","","MALE",10.4
2019,"SH_DTH_NCOM","Australia","30-70","","FEMALE",6.8
2019,"SH_DTH_NCOM","Australia","30-70","","BOTHSEX",8.6
2000,"SH_DTH_NCOM","Austria","30-70","","MALE",20.2
2000,"SH_DTH_NCOM","Austria","30-70","","FEMALE",10.7
2000,"SH_DTH_NCOM","Austria","30-70","","BOTHSEX",15.3
2005,"SH_DTH_NCOM","Austria","30-70","","FEMALE",9.1
2005,"SH_DTH_NCOM","Austria","30-70","","BOTHSEX",12.8
2005,"SH_DTH_NCOM","Austria","30-70","","MALE",16.6
2010,"SH_DTH_NCOM","Austria","30-70","","MALE",16.2
2010,"SH_DTH_NCOM","Austria","30-70","","FEMALE",8.8
2010,"SH_DTH_NCOM","Austria","30-70","","BOTHSEX",12.4
2015,"SH_DTH_NCOM","Austria","30-70","","MALE",14.7
2015,"SH_DTH_NCOM","Austria","30-70","","FEMALE",8.6
2005,"SH_DTH_NCOM","New Zealand","30-70","","BOTHSEX",13.3
2005,"SH_DTH_NCOM","New Zealand","30-70","","FEMALE",11.1
2005,"SH_DTH_NCOM","New Zealand","30-70","","MALE",15.5
2010,"SH_DTH_NCOM","New Zealand","30-70","","BOTHSEX",11.8
2010,"SH_DTH_NCOM","New Zealand","30-70","","MALE",13.7
2010,"SH_DTH_NCOM","New Zealand","30-70","","FEMALE",9.9
2015,"SH_DTH_NCOM","New Zealand","30-70","","BOTHSEX",10.9
2015,"SH_DTH_NCOM","New Zealand","30-70","","FEMALE",9.3
2015,"SH_DTH_NCOM","Austria","30-70","","BOTHSEX",11.6
2019,"SH_DTH_NCOM","Austria","30-70","","BOTHSEX",10.4
2019,"SH_DTH_NCOM","Austria","30-70","","MALE",12.9
2019,"SH_DTH_NCOM","Austria","30-70","","FEMALE",7.9
2000,"SH_DTH_NCOM","Armenia","30-70","","FEMALE",20.2
2000,"SH_DTH_NCOM","Armenia","30-70","","BOTHSEX",26.7
2000,"SH_DTH_NCOM","Armenia","30-70","","MALE",34.1
2005,"SH_DTH_NCOM","Armenia","30-70","","MALE",33.9
2015,"SH_DTH_NCOM","New Zealand","30-70","","MALE",12.6
2019,"SH_DTH_NCOM","New Zealand","30-70","","BOTHSEX",10.3
2019,"SH_DTH_NCOM","New Zealand","30-70","","FEMALE",8.5
2019,"SH_DTH_NCOM","New Zealand","30-70","","MALE",12.1
2000,"SH_DTH_NCOM","Norway","30-70","","BOTHSEX",14.3
2000,"SH_DTH_NCOM","Norway","30-70","","FEMALE",11
2000,"SH_DTH_NCOM","Norway","30-70","","MALE",17.7
2005,"SH_DTH_NCOM","Norway","30-70","","MALE",14.8
2005,"SH_DTH_NCOM","Armenia","30-70","","FEMALE",18.5
2005,"SH_DTH_NCOM","Armenia","30-70","","BOTHSEX",25.7
2010,"SH_DTH_NCOM","Armenia","30-70","","MALE",33.9
2010,"SH_DTH_NCOM","Armenia","30-70","","FEMALE",17.4
2010,"SH_DTH_NCOM","Armenia","30-70","","BOTHSEX",25
2015,"SH_DTH_NCOM","Armenia","30-70","","FEMALE",15.3
2015,"SH_DTH_NCOM","Armenia","30-70","","BOTHSEX",22.3
2015,"SH_DTH_NCOM","Armenia","30-70","","MALE",30.6
2005,"SH_DTH_NCOM","Norway","30-70","","BOTHSEX",12.3
2005,"SH_DTH_NCOM","Norway","30-70","","FEMALE",9.9
2010,"SH_DTH_NCOM","Norway","30-70","","BOTHSEX",11.3
2010,"SH_DTH_NCOM","Norway","30-70","","FEMALE",9.1
2010,"SH_DTH_NCOM","Norway","30-70","","MALE",13.4
2015,"SH_DTH_NCOM","Norway","30-70","","BOTHSEX",9.5
2015,"SH_DTH_NCOM","Norway","30-70","","FEMALE",7.7
2015,"SH_DTH_NCOM","Norway","30-70","","MALE",11.2
2019,"SH_DTH_NCOM","Armenia","30-70","","MALE",28
2019,"SH_DTH_NCOM","Armenia","30-70","","FEMALE",13.4
2019,"SH_DTH_NCOM","Armenia","30-70","","BOTHSEX",19.9
2000,"SH_DTH_NCOM","Belgium","30-70","","FEMALE",10.7
2000,"SH_DTH_NCOM","Belgium","30-70","","BOTHSEX",15.4
2000,"SH_DTH_NCOM","Belgium","30-70","","MALE",20.3
2005,"SH_DTH_NCOM","Belgium","30-70","","BOTHSEX",13.7
2005,"SH_DTH_NCOM","Belgium","30-70","","MALE",17.7
2005,"SH_DTH_NCOM","Belgium","30-70","","FEMALE",9.9
2010,"SH_DTH_NCOM","Belgium","30-70","","BOTHSEX",12.9
2010,"SH_DTH_NCOM","Belgium","30-70","","FEMALE",9.7
2010,"SH_DTH_NCOM","Belgium","30-70","","MALE",16.3
2015,"SH_DTH_NCOM","Belgium","30-70","","MALE",14.2
2015,"SH_DTH_NCOM","Belgium","30-70","","FEMALE",8.8
2015,"SH_DTH_NCOM","Belgium","30-70","","BOTHSEX",11.5
2019,"SH_DTH_NCOM","Belgium","30-70","","BOTHSEX",10.6
2019,"SH_DTH_NCOM","Norway","30-70","","BOTHSEX",8.7
2019,"SH_DTH_NCOM","Norway","30-70","","FEMALE",7.4
2019,"SH_DTH_NCOM","Norway","30-70","","MALE",10
2000,"SH_DTH_NCOM","Poland","30-70","","MALE",34.4
2000,"SH_DTH_NCOM","Poland","30-70","","FEMALE",16.4
2000,"SH_DTH_NCOM","Poland","30-70","","BOTHSEX",25
2005,"SH_DTH_NCOM","Poland","30-70","","BOTHSEX",22.5
2005,"SH_DTH_NCOM","Poland","30-70","","FEMALE",14.4
2019,"SH_DTH_NCOM","Belgium","30-70","","MALE",13
2019,"SH_DTH_NCOM","Belgium","30-70","","FEMALE",8.2
2000,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","BOTHSEX",22
2000,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","FEMALE",17
2000,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","MALE",27.4
2005,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","BOTHSEX",21.7
2005,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","FEMALE",16.2
2005,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","MALE",27.5
2005,"SH_DTH_NCOM","Poland","30-70","","MALE",31.3
2010,"SH_DTH_NCOM","Poland","30-70","","BOTHSEX",20.6
2010,"SH_DTH_NCOM","Poland","30-70","","FEMALE",13.4
2010,"SH_DTH_NCOM","Poland","30-70","","MALE",28.4
2015,"SH_DTH_NCOM","Poland","30-70","","FEMALE",12.8
2015,"SH_DTH_NCOM","Poland","30-70","","MALE",26.5
2015,"SH_DTH_NCOM","Poland","30-70","","BOTHSEX",19.4
2019,"SH_DTH_NCOM","Poland","30-70","","BOTHSEX",17
2010,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","BOTHSEX",20.1
2010,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","FEMALE",15.2
2010,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","MALE",25.3
2015,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","BOTHSEX",19.2
2015,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","FEMALE",14.1
2015,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","MALE",24.6
2019,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","BOTHSEX",18.7
2019,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","FEMALE",13.6
2019,"SH_DTH_NCOM","Poland","30-70","","FEMALE",11.5
2019,"SH_DTH_NCOM","Poland","30-70","","MALE",22.8
2000,"SH_DTH_NCOM","Portugal","30-70","","BOTHSEX",15.8
2000,"SH_DTH_NCOM","Portugal","30-70","","FEMALE",10.9
2000,"SH_DTH_NCOM","Portugal","30-70","","MALE",21.2
2005,"SH_DTH_NCOM","Portugal","30-70","","BOTHSEX",14.2
2005,"SH_DTH_NCOM","Portugal","30-70","","FEMALE",9.6
2005,"SH_DTH_NCOM","Portugal","30-70","","MALE",19.1
2010,"SH_DTH_NCOM","Portugal","30-70","","FEMALE",7.9
2010,"SH_DTH_NCOM","Portugal","30-70","","MALE",17.2
2010,"SH_DTH_NCOM","Portugal","30-70","","BOTHSEX",12.4
2015,"SH_DTH_NCOM","Portugal","30-70","","BOTHSEX",11.5
2015,"SH_DTH_NCOM","Portugal","30-70","","FEMALE",7.3
2015,"SH_DTH_NCOM","Portugal","30-70","","MALE",16
2019,"SH_DTH_NCOM","Portugal","30-70","","BOTHSEX",11
2019,"SH_DTH_NCOM","Portugal","30-70","","MALE",15.4
2019,"SH_DTH_NCOM","Bosnia and Herzegovina","30-70","","MALE",24
2000,"SH_DTH_NCOM","Bulgaria","30-70","","BOTHSEX",28.5
2000,"SH_DTH_NCOM","Bulgaria","30-70","","MALE",36.9
2000,"SH_DTH_NCOM","Bulgaria","30-70","","FEMALE",20.2
2005,"SH_DTH_NCOM","Bulgaria","30-70","","BOTHSEX",27.6
2005,"SH_DTH_NCOM","Bulgaria","30-70","","FEMALE",18.6
2005,"SH_DTH_NCOM","Bulgaria","30-70","","MALE",36.8
2010,"SH_DTH_NCOM","Bulgaria","30-70","","FEMALE",17
2010,"SH_DTH_NCOM","Bulgaria","30-70","","MALE",34.5
2010,"SH_DTH_NCOM","Bulgaria","30-70","","BOTHSEX",25.6
2015,"SH_DTH_NCOM","Bulgaria","30-70","","MALE",32.8
2015,"SH_DTH_NCOM","Bulgaria","30-70","","FEMALE",16.1
2015,"SH_DTH_NCOM","Bulgaria","30-70","","BOTHSEX",24.3
2019,"SH_DTH_NCOM","Bulgaria","30-70","","BOTHSEX",24.2
2019,"SH_DTH_NCOM","Bulgaria","30-70","","FEMALE",16.4
2019,"SH_DTH_NCOM","Bulgaria","30-70","","MALE",32.1
2019,"SH_DTH_NCOM","Portugal","30-70","","FEMALE",7
2000,"SH_DTH_NCOM","Romania","30-70","","BOTHSEX",26.5
2000,"SH_DTH_NCOM","Romania","30-70","","FEMALE",19.2
2000,"SH_DTH_NCOM","Romania","30-70","","MALE",34.2
2005,"SH_DTH_NCOM","Romania","30-70","","BOTHSEX",25.5
2005,"SH_DTH_NCOM","Romania","30-70","","FEMALE",17.9
2005,"SH_DTH_NCOM","Romania","30-70","","MALE",33.7
2010,"SH_DTH_NCOM","Romania","30-70","","FEMALE",15.4
2000,"SH_DTH_NCOM","Belarus","30-70","","BOTHSEX",33.2
2000,"SH_DTH_NCOM","Belarus","30-70","","FEMALE",21.7
2000,"SH_DTH_NCOM","Belarus","30-70","","MALE",46.1
2005,"SH_DTH_NCOM","Belarus","30-70","","MALE",48.4
2005,"SH_DTH_NCOM","Belarus","30-70","","BOTHSEX",34.1
2005,"SH_DTH_NCOM","Belarus","30-70","","FEMALE",21.3
2010,"SH_DTH_NCOM","Belarus","30-70","","MALE",44.8
2010,"SH_DTH_NCOM","Belarus","30-70","","FEMALE",18.4
2010,"SH_DTH_NCOM","Romania","30-70","","BOTHSEX",23.1
2010,"SH_DTH_NCOM","Romania","30-70","","MALE",31.3
2015,"SH_DTH_NCOM","Romania","30-70","","FEMALE",14.3
2015,"SH_DTH_NCOM","Romania","30-70","","MALE",29.5
2015,"SH_DTH_NCOM","Romania","30-70","","BOTHSEX",21.7
2019,"SH_DTH_NCOM","Romania","30-70","","BOTHSEX",21
2019,"SH_DTH_NCOM","Romania","30-70","","FEMALE",13.6
2019,"SH_DTH_NCOM","Romania","30-70","","MALE",28.6
2010,"SH_DTH_NCOM","Belarus","30-70","","BOTHSEX",30.8
2015,"SH_DTH_NCOM","Belarus","30-70","","FEMALE",14.4
2015,"SH_DTH_NCOM","Belarus","30-70","","BOTHSEX",24.7
2015,"SH_DTH_NCOM","Belarus","30-70","","MALE",36.6
2019,"SH_DTH_NCOM","Belarus","30-70","","MALE",35.7
2019,"SH_DTH_NCOM","Belarus","30-70","","FEMALE",13.6
2019,"SH_DTH_NCOM","Belarus","30-70","","BOTHSEX",23.8
2000,"SH_DTH_NCOM","Canada","30-70","","FEMALE",11.3
2000,"SH_DTH_NCOM","Canada","30-70","","MALE",17.6
2000,"SH_DTH_NCOM","Canada","30-70","","BOTHSEX",14.4
2005,"SH_DTH_NCOM","Canada","30-70","","MALE",15.2
2005,"SH_DTH_NCOM","Canada","30-70","","FEMALE",10.1
2005,"SH_DTH_NCOM","Canada","30-70","","BOTHSEX",12.7
2010,"SH_DTH_NCOM","Canada","30-70","","MALE",13.2
2010,"SH_DTH_NCOM","Canada","30-70","","FEMALE",9
2010,"SH_DTH_NCOM","Canada","30-70","","BOTHSEX",11.1
2000,"SH_DTH_NCOM","Serbia","30-70","","MALE",36.5
2000,"SH_DTH_NCOM","Serbia","30-70","","FEMALE",22.7
2000,"SH_DTH_NCOM","Serbia","30-70","","BOTHSEX",29.5
2005,"SH_DTH_NCOM","Serbia","30-70","","FEMALE",20.6
2005,"SH_DTH_NCOM","Serbia","30-70","","BOTHSEX",27.2
2005,"SH_DTH_NCOM","Serbia","30-70","","MALE",33.9
2010,"SH_DTH_NCOM","Serbia","30-70","","FEMALE",18.2
2010,"SH_DTH_NCOM","Serbia","30-70","","BOTHSEX",24.6
2015,"SH_DTH_NCOM","Canada","30-70","","BOTHSEX",10.3
2015,"SH_DTH_NCOM","Canada","30-70","","MALE",12
2015,"SH_DTH_NCOM","Canada","30-70","","FEMALE",8.6
2019,"SH_DTH_NCOM","Canada","30-70","","BOTHSEX",9.6
2019,"SH_DTH_NCOM","Canada","30-70","","FEMALE",8
2019,"SH_DTH_NCOM","Canada","30-70","","MALE",11.2
2000,"SH_DTH_NCOM","Chile","30-70","","MALE",17.4
2000,"SH_DTH_NCOM","Chile","30-70","","FEMALE",11.7
2010,"SH_DTH_NCOM","Serbia","30-70","","MALE",31.1
2015,"SH_DTH_NCOM","Serbia","30-70","","FEMALE",16
2015,"SH_DTH_NCOM","Serbia","30-70","","BOTHSEX",22.2
2015,"SH_DTH_NCOM","Serbia","30-70","","MALE",28.5
2019,"SH_DTH_NCOM","Serbia","30-70","","FEMALE",15.9
2019,"SH_DTH_NCOM","Serbia","30-70","","BOTHSEX",22
2019,"SH_DTH_NCOM","Serbia","30-70","","MALE",28.3
2000,"SH_DTH_NCOM","Slovakia","30-70","","MALE",35.2
2000,"SH_DTH_NCOM","Chile","30-70","","BOTHSEX",14.3
2005,"SH_DTH_NCOM","Chile","30-70","","BOTHSEX",13.7
2005,"SH_DTH_NCOM","Chile","30-70","","MALE",16.7
2005,"SH_DTH_NCOM","Chile","30-70","","FEMALE",11.1
2010,"SH_DTH_NCOM","Chile","30-70","","MALE",15.7
2010,"SH_DTH_NCOM","Chile","30-70","","FEMALE",10.5
2010,"SH_DTH_NCOM","Chile","30-70","","BOTHSEX",12.9
2015,"SH_DTH_NCOM","Chile","30-70","","FEMALE",9.4
2000,"SH_DTH_NCOM","Slovakia","30-70","","FEMALE",16.5
2000,"SH_DTH_NCOM","Slovakia","30-70","","BOTHSEX",25.4
2005,"SH_DTH_NCOM","Slovakia","30-70","","FEMALE",14.8
2005,"SH_DTH_NCOM","Slovakia","30-70","","BOTHSEX",23
2005,"SH_DTH_NCOM","Slovakia","30-70","","MALE",32.2
2010,"SH_DTH_NCOM","Slovakia","30-70","","FEMALE",13.2
2010,"SH_DTH_NCOM","Slovakia","30-70","","MALE",28.6
2010,"SH_DTH_NCOM","Slovakia","30-70","","BOTHSEX",20.5
2015,"SH_DTH_NCOM","Slovakia","30-70","","BOTHSEX",17.5
2015,"SH_DTH_NCOM","Slovakia","30-70","","FEMALE",11.5
2015,"SH_DTH_NCOM","Slovakia","30-70","","MALE",24.1
2019,"SH_DTH_NCOM","Slovakia","30-70","","MALE",21
2019,"SH_DTH_NCOM","Slovakia","30-70","","FEMALE",10.4
2019,"SH_DTH_NCOM","Slovakia","30-70","","BOTHSEX",15.5
2000,"SH_DTH_NCOM","Viet Nam","30-70","","FEMALE",14.8
2000,"SH_DTH_NCOM","Viet Nam","30-70","","BOTHSEX",21.6
2015,"SH_DTH_NCOM","Chile","30-70","","BOTHSEX",11.6
2015,"SH_DTH_NCOM","Chile","30-70","","MALE",14.1
2019,"SH_DTH_NCOM","Chile","30-70","","MALE",12
2019,"SH_DTH_NCOM","Chile","30-70","","FEMALE",8.3
2019,"SH_DTH_NCOM","Chile","30-70","","BOTHSEX",10
2000,"SH_DTH_NCOM","China","30-70","","BOTHSEX",23
2000,"SH_DTH_NCOM","China","30-70","","MALE",27.7
2000,"SH_DTH_NCOM","China","30-70","","FEMALE",17.8
2000,"SH_DTH_NCOM","Viet Nam","30-70","","MALE",29.2
2005,"SH_DTH_NCOM","Viet Nam","30-70","","MALE",30
2005,"SH_DTH_NCOM","Viet Nam","30-70","","FEMALE",14.5
2005,"SH_DTH_NCOM","Viet Nam","30-70","","BOTHSEX",21.8
2010,"SH_DTH_NCOM","Viet Nam","30-70","","BOTHSEX",22.4
2010,"SH_DTH_NCOM","Viet Nam","30-70","","MALE",30.9
2010,"SH_DTH_NCOM","Viet Nam","30-70","","FEMALE",14.6
2015,"SH_DTH_NCOM","Viet Nam","30-70","","FEMALE",14.2
2005,"SH_DTH_NCOM","China","30-70","","FEMALE",16.9
2005,"SH_DTH_NCOM","China","30-70","","MALE",26.1
2005,"SH_DTH_NCOM","China","30-70","","BOTHSEX",21.8
2010,"SH_DTH_NCOM","China","30-70","","MALE",23.8
2010,"SH_DTH_NCOM","China","30-70","","FEMALE",13.8
2010,"SH_DTH_NCOM","China","30-70","","BOTHSEX",19
2015,"SH_DTH_NCOM","China","30-70","","BOTHSEX",16.8
2015,"SH_DTH_NCOM","China","30-70","","MALE",21.7
2015,"SH_DTH_NCOM","China","30-70","","FEMALE",11.7
2019,"SH_DTH_NCOM","China","30-70","","FEMALE",11.2
2019,"SH_DTH_NCOM","China","30-70","","MALE",20.2
2019,"SH_DTH_NCOM","China","30-70","","BOTHSEX",15.9
2000,"SH_DTH_NCOM","Colombia","30-70","","MALE",15.9
2000,"SH_DTH_NCOM","Colombia","30-70","","FEMALE",14.5
2000,"SH_DTH_NCOM","Colombia","30-70","","BOTHSEX",15.1
2005,"SH_DTH_NCOM","Colombia","30-70","","MALE",14.7
2005,"SH_DTH_NCOM","Colombia","30-70","","FEMALE",12.4
2005,"SH_DTH_NCOM","Colombia","30-70","","BOTHSEX",13.5
2010,"SH_DTH_NCOM","Colombia","30-70","","BOTHSEX",11.1
2010,"SH_DTH_NCOM","Colombia","30-70","","FEMALE",10.5
2010,"SH_DTH_NCOM","Colombia","30-70","","MALE",11.9
2015,"SH_DTH_NCOM","Colombia","30-70","","MALE",11.2
2015,"SH_DTH_NCOM","Colombia","30-70","","FEMALE",9.6
2015,"SH_DTH_NCOM","Colombia","30-70","","BOTHSEX",10.3
2015,"SH_DTH_NCOM","Viet Nam","30-70","","MALE",30.3
2015,"SH_DTH_NCOM","Viet Nam","30-70","","BOTHSEX",21.9
2019,"SH_DTH_NCOM","Viet Nam","30-70","","MALE",29.1
2019,"SH_DTH_NCOM","Viet Nam","30-70","","FEMALE",13.7
2019,"SH_DTH_NCOM","Viet Nam","30-70","","BOTHSEX",21.2
2000,"SH_DTH_NCOM","Slovenia","30-70","","MALE",25.4
2000,"SH_DTH_NCOM","Slovenia","30-70","","BOTHSEX",18.5
2000,"SH_DTH_NCOM","Slovenia","30-70","","FEMALE",12
2005,"SH_DTH_NCOM","Slovenia","30-70","","MALE",21.7
2005,"SH_DTH_NCOM","Slovenia","30-70","","BOTHSEX",16.1
2005,"SH_DTH_NCOM","Slovenia","30-70","","FEMALE",10.7
2010,"SH_DTH_NCOM","Slovenia","30-70","","FEMALE",8.9
2010,"SH_DTH_NCOM","Slovenia","30-70","","BOTHSEX",13.5
2010,"SH_DTH_NCOM","Slovenia","30-70","","MALE",18
2015,"SH_DTH_NCOM","Slovenia","30-70","","FEMALE",9
2015,"SH_DTH_NCOM","Slovenia","30-70","","BOTHSEX",12.8
2019,"SH_DTH_NCOM","Colombia","30-70","","MALE",10.8
2019,"SH_DTH_NCOM","Colombia","30-70","","FEMALE",8.9
2019,"SH_DTH_NCOM","Colombia","30-70","","BOTHSEX",9.7
2000,"SH_DTH_NCOM","Costa Rica","30-70","","MALE",14.9
2000,"SH_DTH_NCOM","Costa Rica","30-70","","FEMALE",10.9
2000,"SH_DTH_NCOM","Costa Rica","30-70","","BOTHSEX",12.9
2005,"SH_DTH_NCOM","Costa Rica","30-70","","MALE",12.6
2005,"SH_DTH_NCOM","Costa Rica","30-70","","FEMALE",9.5
2015,"SH_DTH_NCOM","Slovenia","30-70","","MALE",16.5
2019,"SH_DTH_NCOM","Slovenia","30-70","","MALE",14.8
2019,"SH_DTH_NCOM","Slovenia","30-70","","FEMALE",8
