Year,SeriesCode,GeoAreaName,Location,Value
2002,"EG_ACS_ELEC","Albania","RURAL",100.0
2002,"EG_ACS_ELEC","Albania","ALLAREA",99.4
2002,"EG_ACS_ELEC","Albania","URBAN",96.6
2003,"EG_ACS_ELEC","Albania","RURAL",100.0
2003,"EG_ACS_ELEC","Albania","URBAN",96.8
2003,"EG_ACS_ELEC","Albania","ALLAREA",99.4
2004,"EG_ACS_ELEC","Albania","RURAL",100.0
2017,"EG_ACS_ELEC","Costa Rica","RURAL",98.9
2017,"EG_ACS_ELEC","Costa Rica","ALLAREA",99.6
2017,"EG_ACS_ELEC","Costa Rica","URBAN",99.8
2018,"EG_ACS_ELEC","Costa Rica","URBAN",99.9
2018,"EG_ACS_ELEC","Costa Rica","ALLAREA",99.7
2018,"EG_ACS_ELEC","Costa Rica","RURAL",98.9
2019,"EG_ACS_ELEC","Costa Rica","ALLAREA",99.7
2019,"EG_ACS_ELEC","Costa Rica","URBAN",99.9
2019,"EG_ACS_ELEC","Costa Rica","RURAL",98.9
2020,"EG_ACS_ELEC","Costa Rica","URBAN",99.9
2020,"EG_ACS_ELEC","Costa Rica","ALLAREA",99.9
2020,"EG_ACS_ELEC","Costa Rica","RURAL",99.7
2021,"EG_ACS_ELEC","Costa Rica","RURAL",100.0
2004,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2004,"EG_ACS_ELEC","Australia","RURAL",100.0
2004,"EG_ACS_ELEC","Australia","URBAN",100.0
2005,"EG_ACS_ELEC","Australia","URBAN",100.0
2005,"EG_ACS_ELEC","Australia","RURAL",100.0
2005,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2006,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2006,"EG_ACS_ELEC","Australia","RURAL",100.0
2006,"EG_ACS_ELEC","Australia","URBAN",100.0
2007,"EG_ACS_ELEC","Australia","URBAN",100.0
2007,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2007,"EG_ACS_ELEC","Australia","RURAL",100.0
2008,"EG_ACS_ELEC","Australia","URBAN",100.0
2021,"EG_ACS_ELEC","Costa Rica","URBAN",99.8
2021,"EG_ACS_ELEC","Costa Rica","ALLAREA",100.0
2000,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2000,"EG_ACS_ELEC","Croatia","URBAN",99.9
2000,"EG_ACS_ELEC","Croatia","RURAL",100.0
2001,"EG_ACS_ELEC","Croatia","RURAL",100.0
2001,"EG_ACS_ELEC","Croatia","URBAN",99.9
2001,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2002,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2002,"EG_ACS_ELEC","Croatia","URBAN",99.8
2002,"EG_ACS_ELEC","Croatia","RURAL",100.0
2003,"EG_ACS_ELEC","Croatia","RURAL",100.0
2003,"EG_ACS_ELEC","Croatia","URBAN",99.7
2008,"EG_ACS_ELEC","Australia","RURAL",100.0
2008,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2009,"EG_ACS_ELEC","Australia","RURAL",100.0
2009,"EG_ACS_ELEC","Australia","URBAN",100.0
2009,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2010,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2010,"EG_ACS_ELEC","Australia","URBAN",100.0
2010,"EG_ACS_ELEC","Australia","RURAL",100.0
2011,"EG_ACS_ELEC","Australia","RURAL",100.0
2011,"EG_ACS_ELEC","Australia","URBAN",100.0
2011,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2012,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2012,"EG_ACS_ELEC","Australia","URBAN",100.0
2011,"EG_ACS_ELEC","Japan","URBAN",100.0
2011,"EG_ACS_ELEC","Japan","RURAL",100.0
2011,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2012,"EG_ACS_ELEC","Japan","RURAL",100.0
2012,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2012,"EG_ACS_ELEC","Japan","URBAN",100.0
2013,"EG_ACS_ELEC","Japan","RURAL",100.0
2013,"EG_ACS_ELEC","Japan","URBAN",100.0
2013,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2014,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2014,"EG_ACS_ELEC","Japan","URBAN",100.0
2014,"EG_ACS_ELEC","Japan","RURAL",100.0
2015,"EG_ACS_ELEC","Japan","RURAL",100.0
2003,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2004,"EG_ACS_ELEC","Croatia","ALLAREA",99.9
2004,"EG_ACS_ELEC","Croatia","URBAN",99.7
2004,"EG_ACS_ELEC","Croatia","RURAL",100.0
2005,"EG_ACS_ELEC","Croatia","RURAL",100.0
2005,"EG_ACS_ELEC","Croatia","URBAN",99.7
2005,"EG_ACS_ELEC","Croatia","ALLAREA",99.9
2006,"EG_ACS_ELEC","Croatia","ALLAREA",99.8
2006,"EG_ACS_ELEC","Croatia","URBAN",99.7
2006,"EG_ACS_ELEC","Croatia","RURAL",100.0
2007,"EG_ACS_ELEC","Croatia","RURAL",100.0
2007,"EG_ACS_ELEC","Croatia","URBAN",99.7
2007,"EG_ACS_ELEC","Croatia","ALLAREA",99.8
2015,"EG_ACS_ELEC","Japan","URBAN",100.0
2015,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2016,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2016,"EG_ACS_ELEC","Japan","URBAN",100.0
2016,"EG_ACS_ELEC","Japan","RURAL",100.0
2017,"EG_ACS_ELEC","Japan","RURAL",100.0
2017,"EG_ACS_ELEC","Japan","URBAN",100.0
2017,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2018,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2018,"EG_ACS_ELEC","Japan","URBAN",100.0
2018,"EG_ACS_ELEC","Japan","RURAL",100.0
2019,"EG_ACS_ELEC","Japan","RURAL",100.0
2019,"EG_ACS_ELEC","Japan","URBAN",100.0
2012,"EG_ACS_ELEC","Australia","RURAL",100.0
2013,"EG_ACS_ELEC","Australia","RURAL",100.0
2013,"EG_ACS_ELEC","Australia","URBAN",100.0
2013,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2014,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2014,"EG_ACS_ELEC","Australia","URBAN",100.0
2014,"EG_ACS_ELEC","Australia","RURAL",100.0
2015,"EG_ACS_ELEC","Australia","RURAL",100.0
2015,"EG_ACS_ELEC","Australia","URBAN",100.0
2015,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2016,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2016,"EG_ACS_ELEC","Australia","URBAN",100.0
2016,"EG_ACS_ELEC","Australia","RURAL",100.0
2008,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2008,"EG_ACS_ELEC","Croatia","URBAN",100.0
2008,"EG_ACS_ELEC","Croatia","RURAL",100.0
2009,"EG_ACS_ELEC","Croatia","RURAL",100.0
2009,"EG_ACS_ELEC","Croatia","URBAN",100.0
2009,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2010,"EG_ACS_ELEC","Croatia","URBAN",100.0
2010,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2010,"EG_ACS_ELEC","Croatia","RURAL",100.0
2011,"EG_ACS_ELEC","Croatia","RURAL",100.0
2011,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2011,"EG_ACS_ELEC","Croatia","URBAN",100.0
2012,"EG_ACS_ELEC","Croatia","URBAN",100.0
2019,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2020,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2020,"EG_ACS_ELEC","Japan","RURAL",100.0
2020,"EG_ACS_ELEC","Japan","URBAN",100.0
2021,"EG_ACS_ELEC","Japan","URBAN",100.0
2021,"EG_ACS_ELEC","Japan","RURAL",100.0
2021,"EG_ACS_ELEC","Japan","ALLAREA",100.0
2000,"EG_ACS_ELEC","Kazakhstan","URBAN",99.9
2000,"EG_ACS_ELEC","Kazakhstan","ALLAREA",99.6
2000,"EG_ACS_ELEC","Kazakhstan","RURAL",99.1
2001,"EG_ACS_ELEC","Kazakhstan","RURAL",99.5
2001,"EG_ACS_ELEC","Kazakhstan","ALLAREA",99.7
2001,"EG_ACS_ELEC","Kazakhstan","URBAN",99.8
2002,"EG_ACS_ELEC","Kazakhstan","RURAL",99.7
2002,"EG_ACS_ELEC","Kazakhstan","URBAN",99.9
2002,"EG_ACS_ELEC","Kazakhstan","ALLAREA",99.8
2003,"EG_ACS_ELEC","Kazakhstan","RURAL",99.8
2003,"EG_ACS_ELEC","Kazakhstan","ALLAREA",99.9
2003,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2004,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2004,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2004,"EG_ACS_ELEC","Kazakhstan","RURAL",99.9
2005,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2005,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2005,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2006,"EG_ACS_ELEC","Kazakhstan","URBAN",99.8
2017,"EG_ACS_ELEC","Australia","RURAL",100.0
2017,"EG_ACS_ELEC","Australia","URBAN",100.0
2017,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2018,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2018,"EG_ACS_ELEC","Australia","URBAN",100.0
2018,"EG_ACS_ELEC","Australia","RURAL",100.0
2019,"EG_ACS_ELEC","Australia","RURAL",100.0
2019,"EG_ACS_ELEC","Australia","URBAN",100.0
2019,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2020,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2020,"EG_ACS_ELEC","Australia","URBAN",100.0
2020,"EG_ACS_ELEC","Australia","RURAL",100.0
2021,"EG_ACS_ELEC","Australia","ALLAREA",100.0
2012,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2012,"EG_ACS_ELEC","Croatia","RURAL",100.0
2013,"EG_ACS_ELEC","Croatia","RURAL",100.0
2013,"EG_ACS_ELEC","Croatia","URBAN",100.0
2013,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2014,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2014,"EG_ACS_ELEC","Croatia","URBAN",100.0
2014,"EG_ACS_ELEC","Croatia","RURAL",100.0
2015,"EG_ACS_ELEC","Croatia","URBAN",100.0
2015,"EG_ACS_ELEC","Croatia","RURAL",100.0
2015,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2016,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2016,"EG_ACS_ELEC","Croatia","RURAL",100.0
2006,"EG_ACS_ELEC","Kazakhstan","ALLAREA",99.8
2006,"EG_ACS_ELEC","Kazakhstan","RURAL",99.7
2007,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2007,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2007,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2008,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2008,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2008,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2009,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2009,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2009,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2010,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2010,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2021,"EG_ACS_ELEC","Australia","RURAL",100.0
2021,"EG_ACS_ELEC","Australia","URBAN",100.0
2000,"EG_ACS_ELEC","Austria","URBAN",100.0
2000,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2000,"EG_ACS_ELEC","Austria","RURAL",100.0
2001,"EG_ACS_ELEC","Austria","RURAL",100.0
2001,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2001,"EG_ACS_ELEC","Austria","URBAN",100.0
2002,"EG_ACS_ELEC","Austria","URBAN",100.0
2002,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2002,"EG_ACS_ELEC","Austria","RURAL",100.0
2003,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2003,"EG_ACS_ELEC","Austria","URBAN",100.0
2016,"EG_ACS_ELEC","Croatia","URBAN",100.0
2017,"EG_ACS_ELEC","Croatia","URBAN",100.0
2017,"EG_ACS_ELEC","Croatia","RURAL",100.0
2017,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2018,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2018,"EG_ACS_ELEC","Croatia","RURAL",100.0
2018,"EG_ACS_ELEC","Croatia","URBAN",100.0
2019,"EG_ACS_ELEC","Croatia","URBAN",100.0
2019,"EG_ACS_ELEC","Croatia","RURAL",100.0
2019,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2020,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2020,"EG_ACS_ELEC","Croatia","RURAL",100.0
2020,"EG_ACS_ELEC","Croatia","URBAN",100.0
2003,"EG_ACS_ELEC","Austria","RURAL",100.0
2004,"EG_ACS_ELEC","Austria","URBAN",100.0
2004,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2004,"EG_ACS_ELEC","Austria","RURAL",100.0
2005,"EG_ACS_ELEC","Austria","RURAL",100.0
2005,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2005,"EG_ACS_ELEC","Austria","URBAN",100.0
2006,"EG_ACS_ELEC","Austria","URBAN",100.0
2006,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2006,"EG_ACS_ELEC","Austria","RURAL",100.0
2007,"EG_ACS_ELEC","Austria","RURAL",100.0
2007,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2007,"EG_ACS_ELEC","Austria","URBAN",100.0
2010,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2011,"EG_ACS_ELEC","Kazakhstan","RURAL",99.6
2011,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2011,"EG_ACS_ELEC","Kazakhstan","ALLAREA",99.8
2012,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2012,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2012,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2013,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2013,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2013,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2014,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2014,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2014,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2008,"EG_ACS_ELEC","Austria","URBAN",100.0
2008,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2008,"EG_ACS_ELEC","Austria","RURAL",100.0
2009,"EG_ACS_ELEC","Austria","RURAL",100.0
2009,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2009,"EG_ACS_ELEC","Austria","URBAN",100.0
2010,"EG_ACS_ELEC","Austria","URBAN",100.0
2010,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2010,"EG_ACS_ELEC","Austria","RURAL",100.0
2011,"EG_ACS_ELEC","Austria","RURAL",100.0
2011,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2011,"EG_ACS_ELEC","Austria","URBAN",100.0
2012,"EG_ACS_ELEC","Austria","URBAN",100.0
2021,"EG_ACS_ELEC","Croatia","URBAN",100.0
2021,"EG_ACS_ELEC","Croatia","RURAL",100.0
2021,"EG_ACS_ELEC","Croatia","ALLAREA",100.0
2000,"EG_ACS_ELEC","Cyprus","URBAN",100.0
2000,"EG_ACS_ELEC","Cyprus","ALLAREA",100.0
2000,"EG_ACS_ELEC","Cyprus","RURAL",100.0
2001,"EG_ACS_ELEC","Cyprus","RURAL",100.0
2001,"EG_ACS_ELEC","Cyprus","ALLAREA",100.0
2001,"EG_ACS_ELEC","Cyprus","URBAN",100.0
2002,"EG_ACS_ELEC","Cyprus","URBAN",100.0
2002,"EG_ACS_ELEC","Cyprus","ALLAREA",100.0
2002,"EG_ACS_ELEC","Cyprus","RURAL",100.0
2003,"EG_ACS_ELEC","Cyprus","RURAL",100.0
2015,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2015,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2015,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2016,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2016,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2016,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2017,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2017,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2017,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2018,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2018,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2018,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2019,"EG_ACS_ELEC","Kazakhstan","URBAN",100.0
2012,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2012,"EG_ACS_ELEC","Austria","RURAL",100.0
2013,"EG_ACS_ELEC","Austria","RURAL",100.0
2013,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2013,"EG_ACS_ELEC","Austria","URBAN",100.0
2014,"EG_ACS_ELEC","Austria","URBAN",100.0
2014,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2014,"EG_ACS_ELEC","Austria","RURAL",100.0
2015,"EG_ACS_ELEC","Austria","RURAL",100.0
2015,"EG_ACS_ELEC","Austria","URBAN",100.0
2015,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2016,"EG_ACS_ELEC","Austria","RURAL",100.0
2016,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2016,"EG_ACS_ELEC","Austria","URBAN",100.0
2017,"EG_ACS_ELEC","Austria","RURAL",100.0
2017,"EG_ACS_ELEC","Austria","URBAN",100.0
2017,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2018,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2018,"EG_ACS_ELEC","Austria","URBAN",100.0
2018,"EG_ACS_ELEC","Austria","RURAL",100.0
2019,"EG_ACS_ELEC","Austria","RURAL",100.0
2019,"EG_ACS_ELEC","Austria","URBAN",100.0
2019,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2020,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2020,"EG_ACS_ELEC","Austria","URBAN",100.0
2020,"EG_ACS_ELEC","Austria","RURAL",100.0
2003,"EG_ACS_ELEC","Cyprus","ALLAREA",100.0
2003,"EG_ACS_ELEC","Cyprus","URBAN",100.0
2004,"EG_ACS_ELEC","Cyprus","URBAN",100.0
2004,"EG_ACS_ELEC","Cyprus","ALLAREA",100.0
2004,"EG_ACS_ELEC","Cyprus","RURAL",100.0
2005,"EG_ACS_ELEC","Cyprus","ALLAREA",100.0
2005,"EG_ACS_ELEC","Cyprus","URBAN",100.0
2005,"EG_ACS_ELEC","Cyprus","RURAL",100.0
2006,"EG_ACS_ELEC","Cyprus","URBAN",100.0
2006,"EG_ACS_ELEC","Cyprus","ALLAREA",100.0
2006,"EG_ACS_ELEC","Cyprus","RURAL",100.0
2007,"EG_ACS_ELEC","Cyprus","RURAL",100.0
2007,"EG_ACS_ELEC","Cyprus","ALLAREA",100.0
2021,"EG_ACS_ELEC","Austria","RURAL",100.0
2021,"EG_ACS_ELEC","Austria","URBAN",100.0
2021,"EG_ACS_ELEC","Austria","ALLAREA",100.0
2000,"EG_ACS_ELEC","Armenia","RURAL",98.5
2000,"EG_ACS_ELEC","Armenia","ALLAREA",98.9
2000,"EG_ACS_ELEC","Armenia","URBAN",99.1
2001,"EG_ACS_ELEC","Armenia","URBAN",99.3
2001,"EG_ACS_ELEC","Armenia","ALLAREA",100.0
2001,"EG_ACS_ELEC","Armenia","RURAL",100.0
2002,"EG_ACS_ELEC","Armenia","RURAL",95.8
2002,"EG_ACS_ELEC","Armenia","URBAN",99.2
2002,"EG_ACS_ELEC","Armenia","ALLAREA",98.0
2003,"EG_ACS_ELEC","Armenia","RURAL",98.9
2019,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
2019,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2020,"EG_ACS_ELEC","Kazakhstan","ALLAREA",100.0
2020,"EG_ACS_ELEC","Kazakhstan","RURAL",100.0
