Year,SeriesCode,GeoAreaName,Education level,Type of skill,Value
2009,"SE_TOT_RUPI","Colombia","LOWSEC","SKILL_READ",0.7109
2012,"SE_TOT_RUPI","Colombia","LOWSEC","SKILL_READ",0.60554
2012,"SE_TOT_RUPI","Colombia","LOWSEC","SKILL_MATH",0.52396
2018,"SE_TOT_RUPI","Colombia","LOWSEC","SKILL_MATH",0.46948
2018,"SE_TOT_RUPI","Colombia","LOWSEC","SKILL_READ",0.50878
2019,"SE_TOT_RUPI","Colombia","GRAD23","SKILL_READ",0.62729
2019,"SE_TOT_RUPI","Colombia","PRIMAR","SKILL_READ",0.5611
2019,"SE_TOT_RUPI","Colombia","PRIMAR","SKILL_MATH",0.3797
2019,"SE_TOT_RUPI","Colombia","GRAD23","SKILL_MATH",0.57448
2006,"SE_TOT_RUPI","Costa Rica","PRIMAR","SKILL_READ",0.81264
2006,"SE_TOT_RUPI","Costa Rica","GRAD23","SKILL_MATH",0.78406
2006,"SE_TOT_RUPI","Costa Rica","GRAD23","SKILL_READ",0.90074
2006,"SE_TOT_RUPI","Costa Rica","PRIMAR","SKILL_MATH",0.84856
2009,"SE_TOT_RUPI","Costa Rica","LOWSEC","SKILL_READ",0.86865
2009,"SE_TOT_RUPI","Costa Rica","LOWSEC","SKILL_MATH",0.81453
2012,"SE_TOT_RUPI","Costa Rica","LOWSEC","SKILL_MATH",0.66722
2012,"SE_TOT_RUPI","Costa Rica","LOWSEC","SKILL_READ",0.83959
2018,"SE_TOT_RUPI","Costa Rica","LOWSEC","SKILL_READ",0.55083
2018,"SE_TOT_RUPI","Costa Rica","LOWSEC","SKILL_MATH",0.44952
2019,"SE_TOT_RUPI","Costa Rica","GRAD23","SKILL_MATH",0.71311
2019,"SE_TOT_RUPI","Costa Rica","PRIMAR","SKILL_READ",0.64759
2019,"SE_TOT_RUPI","Costa Rica","PRIMAR","SKILL_MATH",0.34832
2019,"SE_TOT_RUPI","Costa Rica","GRAD23","SKILL_READ",0.72524
2006,"SE_TOT_RUPI","Croatia","LOWSEC","SKILL_READ",0.92857
2006,"SE_TOT_RUPI","Croatia","LOWSEC","SKILL_MATH",0.95947
2009,"SE_TOT_RUPI","Croatia","LOWSEC","SKILL_MATH",0.90498
2009,"SE_TOT_RUPI","Croatia","LOWSEC","SKILL_READ",0.98547
2011,"SE_TOT_RUPI","Croatia","PRIMAR","SKILL_READ",1.00567
2011,"SE_TOT_RUPI","Croatia","PRIMAR","SKILL_MATH",0.91856
2012,"SE_TOT_RUPI","Croatia","LOWSEC","SKILL_MATH",0.84889
2012,"SE_TOT_RUPI","Croatia","LOWSEC","SKILL_READ",0.88219
2015,"SE_TOT_RUPI","Croatia","PRIMAR","SKILL_MATH",0.7989
2019,"SE_TOT_RUPI","Croatia","PRIMAR","SKILL_MATH",0.73907
2015,"SE_TOT_RUPI","Cyprus","PRIMAR","SKILL_MATH",0.95361
2018,"SE_TOT_RUPI","Cyprus","LOWSEC","SKILL_READ",0.87597
2019,"SE_TOT_RUPI","Cyprus","PRIMAR","SKILL_MATH",1.03598
2000,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_READ",0.88612
2000,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_MATH",0.93888
2001,"SE_TOT_RUPI","Czechia","PRIMAR","SKILL_READ",0.98977
2003,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_READ",0.92838
2003,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_MATH",0.95691
2006,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_MATH",0.96239
2006,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_READ",0.96982
2007,"SE_TOT_RUPI","Czechia","PRIMAR","SKILL_MATH",0.74039
2009,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_READ",0.90297
2009,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_MATH",0.88901
2011,"SE_TOT_RUPI","Czechia","PRIMAR","SKILL_MATH",0.82759
2011,"SE_TOT_RUPI","Czechia","PRIMAR","SKILL_READ",1.02438
2012,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_READ",0.95982
2012,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_MATH",0.97732
2015,"SE_TOT_RUPI","Czechia","PRIMAR","SKILL_MATH",0.96648
2018,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_MATH",0.78971
2018,"SE_TOT_RUPI","Czechia","LOWSEC","SKILL_READ",0.76414
2019,"SE_TOT_RUPI","Czechia","PRIMAR","SKILL_MATH",1.0068
2000,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_READ",0.98701
2000,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_MATH",1.0135
2003,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_MATH",0.9711
2003,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_READ",0.97388
2006,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_READ",0.97105
2006,"SE_TOT_RUPI","Denmark","GRAD23","SKILL_READ",0.9951
2006,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_MATH",0.99046
2007,"SE_TOT_RUPI","Denmark","GRAD23","SKILL_MATH",0.94379
2009,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_MATH",1.00935
2009,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_READ",0.98293
2011,"SE_TOT_RUPI","Denmark","GRAD23","SKILL_READ",0.99057
2011,"SE_TOT_RUPI","Denmark","GRAD23","SKILL_MATH",1.11626
2012,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_MATH",1.01969
2012,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_READ",0.98984
2015,"SE_TOT_RUPI","Denmark","GRAD23","SKILL_MATH",0.89291
2016,"SE_TOT_RUPI","Denmark","GRAD23","SKILL_READ",0.99027
2018,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_READ",1.02919
2018,"SE_TOT_RUPI","Denmark","LOWSEC","SKILL_MATH",1.03961
2019,"SE_TOT_RUPI","Denmark","GRAD23","SKILL_MATH",0.96893
2018,"SE_TOT_RUPI","Estonia","LOWSEC","SKILL_MATH",0.95751
2018,"SE_TOT_RUPI","Estonia","LOWSEC","SKILL_READ",0.95633
2000,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_MATH",1.01474
2000,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_READ",0.9971
2003,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_READ",1.00402
2003,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_MATH",1.00417
2006,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_MATH",1.00994
2006,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_READ",0.99968
2009,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_READ",0.97659
2009,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_MATH",0.98887
2011,"SE_TOT_RUPI","Finland","PRIMAR","SKILL_MATH",1.08463
2011,"SE_TOT_RUPI","Finland","PRIMAR","SKILL_READ",1.00516
2012,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_READ",0.97983
2012,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_MATH",0.99261
2015,"SE_TOT_RUPI","Finland","PRIMAR","SKILL_MATH",1.04322
2016,"SE_TOT_RUPI","Finland","PRIMAR","SKILL_READ",0.99828
2018,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_MATH",0.9826
2018,"SE_TOT_RUPI","Finland","LOWSEC","SKILL_READ",1.00683
2019,"SE_TOT_RUPI","Finland","PRIMAR","SKILL_MATH",1.04002
2001,"SE_TOT_RUPI","France","PRIMAR","SKILL_READ",0.99082
2006,"SE_TOT_RUPI","France","PRIMAR","SKILL_READ",1.01047
2011,"SE_TOT_RUPI","France","PRIMAR","SKILL_READ",0.97472
2015,"SE_TOT_RUPI","France","PRIMAR","SKILL_MATH",0.84213
2016,"SE_TOT_RUPI","France","PRIMAR","SKILL_READ",1.05639
2018,"SE_TOT_RUPI","France","LOWSEC","SKILL_READ",0.71617
2018,"SE_TOT_RUPI","France","LOWSEC","SKILL_MATH",0.78506
2019,"SE_TOT_RUPI","France","PRIMAR","SKILL_MATH",1.00862
2006,"SE_TOT_RUPI","Georgia","PRIMAR","SKILL_READ",0.86753
2007,"SE_TOT_RUPI","Georgia","PRIMAR","SKILL_MATH",1.03881
2009,"SE_TOT_RUPI","Georgia","LOWSEC","SKILL_READ",0.63746
2009,"SE_TOT_RUPI","Georgia","LOWSEC","SKILL_MATH",0.60493
2011,"SE_TOT_RUPI","Georgia","PRIMAR","SKILL_MATH",0.6635
2011,"SE_TOT_RUPI","Georgia","PRIMAR","SKILL_READ",0.81217
2015,"SE_TOT_RUPI","Georgia","PRIMAR","SKILL_MATH",0.91138
2016,"SE_TOT_RUPI","Georgia","PRIMAR","SKILL_READ",0.89414
2018,"SE_TOT_RUPI","Georgia","LOWSEC","SKILL_MATH",0.49646
2018,"SE_TOT_RUPI","Georgia","LOWSEC","SKILL_READ",0.47282
2019,"SE_TOT_RUPI","Georgia","PRIMAR","SKILL_MATH",0.6824
2000,"SE_TOT_RUPI","Germany","LOWSEC","SKILL_READ",0.98718
2000,"SE_TOT_RUPI","Germany","LOWSEC","SKILL_MATH",0.99542
2001,"SE_TOT_RUPI","Germany","PRIMAR","SKILL_READ",1.05005
2003,"SE_TOT_RUPI","Germany","LOWSEC","SKILL_READ",1.04658
2003,"SE_TOT_RUPI","Germany","LOWSEC","SKILL_MATH",1.08418
2006,"SE_TOT_RUPI","Germany","PRIMAR","SKILL_READ",1.04183
2006,"SE_TOT_RUPI","Germany","LOWSEC","SKILL_MATH",0.99901
2006,"SE_TOT_RUPI","Germany","LOWSEC","SKILL_READ",0.97601
2007,"SE_TOT_RUPI","Germany","PRIMAR","SKILL_MATH",1.16792
2009,"SE_TOT_RUPI","Germany","LOWSEC","SKILL_READ",0.97573
2009,"SE_TOT_RUPI","Germany","LOWSEC","SKILL_MATH",0.96263
2011,"SE_TOT_RUPI","Germany","PRIMAR","SKILL_MATH",1.19668
2011,"SE_TOT_RUPI","Germany","PRIMAR","SKILL_READ",1.02508
2012,"SE_TOT_RUPI","Germany","LOWSEC","SKILL_READ",0.92762
2012,"SE_TOT_RUPI","Germany","LOWSEC","SKILL_MATH",0.92093
2015,"SE_TOT_RUPI","Germany","PRIMAR","SKILL_MATH",1.29325
2016,"SE_TOT_RUPI","Germany","PRIMAR","SKILL_READ",1.09872
2019,"SE_TOT_RUPI","Germany","PRIMAR","SKILL_MATH",1.18446
2000,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_MATH",0.95995
2000,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_READ",0.98607
2001,"SE_TOT_RUPI","Greece","PRIMAR","SKILL_READ",0.95998
2003,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_READ",0.87836
2003,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_MATH",0.83955
2006,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_MATH",0.94526
2006,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_READ",0.93767
2009,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_MATH",1.01562
2009,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_READ",1.00997
2012,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_READ",0.93331
2012,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_MATH",0.86677
2018,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_MATH",0.70741
2018,"SE_TOT_RUPI","Greece","LOWSEC","SKILL_READ",0.70071
2000,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_READ",0.78398
2001,"SE_TOT_RUPI","Hungary","PRIMAR","SKILL_READ",0.97379
2003,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_READ",0.74747
2003,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_MATH",0.78906
2003,"SE_TOT_RUPI","Hungary","PRIMAR","SKILL_MATH",0.7434
2006,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_READ",0.77663
2006,"SE_TOT_RUPI","Hungary","PRIMAR","SKILL_READ",0.97452
2007,"SE_TOT_RUPI","Hungary","PRIMAR","SKILL_MATH",0.53549
2007,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_MATH",0.61607
2009,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_READ",0.72208
2011,"SE_TOT_RUPI","Hungary","PRIMAR","SKILL_MATH",0.37612
2011,"SE_TOT_RUPI","Hungary","PRIMAR","SKILL_READ",0.8242
2011,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_MATH",0.45761
2012,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_READ",0.71846
2015,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_MATH",0.59419
2015,"SE_TOT_RUPI","Hungary","PRIMAR","SKILL_MATH",0.81121
2018,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_READ",0.37129
2019,"SE_TOT_RUPI","Hungary","LOWSEC","SKILL_MATH",0.25987
2019,"SE_TOT_RUPI","Hungary","PRIMAR","SKILL_MATH",0.49706
2003,"SE_TOT_RUPI","Iceland","LOWSEC","SKILL_MATH",0.95865
2003,"SE_TOT_RUPI","Iceland","LOWSEC","SKILL_READ",0.96792
2006,"SE_TOT_RUPI","Iceland","LOWSEC","SKILL_READ",0.98784
2006,"SE_TOT_RUPI","Iceland","GRAD23","SKILL_READ",0.98537
2006,"SE_TOT_RUPI","Iceland","LOWSEC","SKILL_MATH",1.0042
2009,"SE_TOT_RUPI","Iceland","LOWSEC","SKILL_MATH",0.97955
2009,"SE_TOT_RUPI","Iceland","LOWSEC","SKILL_READ",1.00409
2012,"SE_TOT_RUPI","Iceland","LOWSEC","SKILL_MATH",0.93133
2012,"SE_TOT_RUPI","Iceland","LOWSEC","SKILL_READ",0.95835
2018,"SE_TOT_RUPI","Iceland","LOWSEC","SKILL_MATH",0.90265
2018,"SE_TOT_RUPI","Iceland","LOWSEC","SKILL_READ",0.92293
2000,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_MATH",1.02197
2000,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_READ",1.01031
2003,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_READ",0.99428
2003,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_MATH",1.00539
2006,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_READ",1.005
2006,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_MATH",1.01107
2009,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_READ",0.95668
2009,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_MATH",0.96715
2011,"SE_TOT_RUPI","Ireland","GRAD23","SKILL_READ",1.05476
2011,"SE_TOT_RUPI","Ireland","GRAD23","SKILL_MATH",1.21897
2012,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_READ",1.03903
2012,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_MATH",1.05827
2015,"SE_TOT_RUPI","Ireland","GRAD23","SKILL_MATH",1.08864
2016,"SE_TOT_RUPI","Ireland","GRAD23","SKILL_READ",1.01904
2018,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_MATH",1.01389
2018,"SE_TOT_RUPI","Ireland","LOWSEC","SKILL_READ",0.99105
2019,"SE_TOT_RUPI","Ireland","GRAD23","SKILL_MATH",1.09191
2000,"SE_TOT_RUPI","Israel","LOWSEC","SKILL_READ",0.75846
2000,"SE_TOT_RUPI","Israel","LOWSEC","SKILL_MATH",0.79625
2001,"SE_TOT_RUPI","Israel","PRIMAR","SKILL_READ",0.77346
2006,"SE_TOT_RUPI","Israel","PRIMAR","SKILL_READ",0.80162
2006,"SE_TOT_RUPI","Israel","LOWSEC","SKILL_MATH",1.04407
2006,"SE_TOT_RUPI","Israel","LOWSEC","SKILL_READ",0.95673
2009,"SE_TOT_RUPI","Israel","LOWSEC","SKILL_MATH",0.84157
2009,"SE_TOT_RUPI","Israel","LOWSEC","SKILL_READ",0.8921
2011,"SE_TOT_RUPI","Israel","PRIMAR","SKILL_READ",0.77365
2012,"SE_TOT_RUPI","Israel","LOWSEC","SKILL_READ",0.84682
2012,"SE_TOT_RUPI","Israel","LOWSEC","SKILL_MATH",0.81319
2016,"SE_TOT_RUPI","Israel","PRIMAR","SKILL_READ",0.91402
2018,"SE_TOT_RUPI","Israel","LOWSEC","SKILL_MATH",0.82446
2018,"SE_TOT_RUPI","Israel","LOWSEC","SKILL_READ",0.78623
2000,"SE_TOT_RUPI","Italy","LOWSEC","SKILL_READ",0.93312
2001,"SE_TOT_RUPI","Italy","PRIMAR","SKILL_READ",0.97631
2003,"SE_TOT_RUPI","Italy","LOWSEC","SKILL_MATH",1.24082
2003,"SE_TOT_RUPI","Italy","PRIMAR","SKILL_MATH",1.23083
