Year,SeriesCode,GeoAreaName,Sex,Type of occupation,Value
2011,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",30.50
2011,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",69.50
2011,"SH_MED_HWRKDIS","Armenia","MALE","NURS",2.40
2011,"SH_MED_HWRKDIS","Armenia","FEMALE","NURS",97.60
2012,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",69.20
2012,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",30.80
2013,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",69.20
2013,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",30.80
2014,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",30.40
2014,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",69.60
2015,"SH_MED_HWRKDIS","Armenia","MALE","PHYS",30.50
2015,"SH_MED_HWRKDIS","Armenia","FEMALE","PHYS",69.50
2016,"SH_MED_HWRKDIS","Belgium","MALE","NURS",13.70
2016,"SH_MED_HWRKDIS","Belgium","FEMALE","NURS",86.30
2003,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",90.50
2003,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",9.50
2004,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",8.50
2004,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",91.50
2005,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",91.50
2005,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",8.50
2006,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",9.60
2006,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",90.40
2007,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",10.80
2007,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",89.20
2008,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",89.50
2008,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",10.50
2009,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",11.70
2009,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",88.30
2010,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",88.80
2010,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",11.20
2011,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",11.80
2011,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",88.20
2012,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",12.10
2012,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",87.90
2013,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",12.30
2013,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",87.70
2013,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","NURS",20.50
2013,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","NURS",79.50
2014,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","NURS",78.20
2014,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","NURS",21.80
2015,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","NURS",21.40
2015,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","NURS",78.60
2015,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","PHYS",12.30
2015,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","PHYS",87.70
2016,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","NURS",78.20
2016,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","NURS",21.80
2017,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","NURS",22.30
2017,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","NURS",77.70
2018,"SH_MED_HWRKDIS","Bosnia and Herzegovina","MALE","NURS",22.50
2018,"SH_MED_HWRKDIS","Bosnia and Herzegovina","FEMALE","NURS",77.50
2014,"SH_MED_HWRKDIS","Bulgaria","MALE","PHYS",44.40
2014,"SH_MED_HWRKDIS","Bulgaria","FEMALE","PHYS",55.60
2015,"SH_MED_HWRKDIS","Bulgaria","FEMALE","PHYS",55.10
2015,"SH_MED_HWRKDIS","Bulgaria","MALE","PHYS",44.90
2015,"SH_MED_HWRKDIS","Bulgaria","MALE","NURS",0.40
2015,"SH_MED_HWRKDIS","Bulgaria","FEMALE","NURS",99.60
2016,"SH_MED_HWRKDIS","Bulgaria","FEMALE","NURS",99.60
2016,"SH_MED_HWRKDIS","Bulgaria","MALE","NURS",0.40
2017,"SH_MED_HWRKDIS","Bulgaria","MALE","NURS",0.60
2017,"SH_MED_HWRKDIS","Bulgaria","FEMALE","NURS",99.40
2018,"SH_MED_HWRKDIS","Bulgaria","FEMALE","NURS",99.40
2018,"SH_MED_HWRKDIS","Bulgaria","MALE","NURS",0.60
2009,"SH_MED_HWRKDIS","Belarus","MALE","NURS",0.60
2009,"SH_MED_HWRKDIS","Belarus","FEMALE","NURS",99.40
2011,"SH_MED_HWRKDIS","Belarus","FEMALE","PHYS",70.20
2011,"SH_MED_HWRKDIS","Belarus","MALE","PHYS",29.80
2012,"SH_MED_HWRKDIS","Belarus","MALE","PHYS",29.30
2012,"SH_MED_HWRKDIS","Belarus","FEMALE","PHYS",70.70
2013,"SH_MED_HWRKDIS","Belarus","MALE","PHYS",28.90
2013,"SH_MED_HWRKDIS","Belarus","FEMALE","PHYS",71.10
2014,"SH_MED_HWRKDIS","Belarus","FEMALE","PHYS",71.60
2014,"SH_MED_HWRKDIS","Belarus","MALE","PHYS",28.40
2015,"SH_MED_HWRKDIS","Belarus","MALE","PHYS",27.50
2015,"SH_MED_HWRKDIS","Belarus","FEMALE","PHYS",72.50
2013,"SH_MED_HWRKDIS","Canada","FEMALE","NURS",92.40
2013,"SH_MED_HWRKDIS","Canada","MALE","NURS",7.60
2014,"SH_MED_HWRKDIS","Canada","FEMALE","NURS",92.10
2014,"SH_MED_HWRKDIS","Canada","MALE","NURS",7.90
2015,"SH_MED_HWRKDIS","Canada","FEMALE","NURS",91.90
2015,"SH_MED_HWRKDIS","Canada","MALE","NURS",8.10
2016,"SH_MED_HWRKDIS","Canada","MALE","NURS",8.30
2016,"SH_MED_HWRKDIS","Canada","FEMALE","NURS",91.70
2017,"SH_MED_HWRKDIS","Canada","MALE","NURS",8.50
2017,"SH_MED_HWRKDIS","Canada","FEMALE","NURS",91.50
2018,"SH_MED_HWRKDIS","Canada","FEMALE","NURS",91.30
2018,"SH_MED_HWRKDIS","Canada","MALE","NURS",8.70
2019,"SH_MED_HWRKDIS","Canada","FEMALE","PHYS",42.80
2019,"SH_MED_HWRKDIS","Canada","MALE","PHYS",57.20
2020,"SH_MED_HWRKDIS","Canada","FEMALE","PHYS",43.70
2020,"SH_MED_HWRKDIS","Canada","FEMALE","NURS",90.80
2020,"SH_MED_HWRKDIS","Canada","MALE","NURS",9.20
2020,"SH_MED_HWRKDIS","Canada","MALE","PHYS",56.30
2021,"SH_MED_HWRKDIS","Canada","FEMALE","NURS",90.60
2021,"SH_MED_HWRKDIS","Canada","MALE","NURS",9.40
2013,"SH_MED_HWRKDIS","Finland","MALE","NURS",6.90
2014,"SH_MED_HWRKDIS","Finland","MALE","NURS",7.20
2014,"SH_MED_HWRKDIS","Finland","FEMALE","NURS",92.80
2014,"SH_MED_HWRKDIS","Finland","FEMALE","PHYS",64.70
2014,"SH_MED_HWRKDIS","Finland","MALE","PHYS",35.30
2015,"SH_MED_HWRKDIS","Finland","MALE","NURS",7.40
2015,"SH_MED_HWRKDIS","Finland","FEMALE","NURS",92.60
2016,"SH_MED_HWRKDIS","Finland","FEMALE","NURS",92.40
2016,"SH_MED_HWRKDIS","Finland","MALE","NURS",7.60
2016,"SH_MED_HWRKDIS","Finland","MALE","PHYS",43.40
2016,"SH_MED_HWRKDIS","Finland","FEMALE","PHYS",56.60
2017,"SH_MED_HWRKDIS","Finland","MALE","NURS",7.70
2017,"SH_MED_HWRKDIS","Finland","FEMALE","NURS",92.30
2006,"SH_MED_HWRKDIS","France","FEMALE","PHYS",48.30
2006,"SH_MED_HWRKDIS","France","FEMALE","NURS",86.10
2006,"SH_MED_HWRKDIS","France","MALE","PHYS",51.70
2006,"SH_MED_HWRKDIS","France","MALE","NURS",13.90
2011,"SH_MED_HWRKDIS","France","MALE","NURS",12.90
2011,"SH_MED_HWRKDIS","France","FEMALE","PHYS",40.70
2011,"SH_MED_HWRKDIS","France","MALE","PHYS",59.30
2011,"SH_MED_HWRKDIS","France","FEMALE","NURS",87.10
2014,"SH_MED_HWRKDIS","France","MALE","PHYS",53.00
2014,"SH_MED_HWRKDIS","France","FEMALE","NURS",86.60
2014,"SH_MED_HWRKDIS","France","MALE","NURS",13.40
2014,"SH_MED_HWRKDIS","France","FEMALE","PHYS",47.00
2016,"SH_MED_HWRKDIS","France","MALE","NURS",12.40
2016,"SH_MED_HWRKDIS","France","FEMALE","NURS",87.60
2021,"SH_MED_HWRKDIS","Georgia","FEMALE","PHYS",73.90
2021,"SH_MED_HWRKDIS","Georgia","MALE","PHYS",26.10
2021,"SH_MED_HWRKDIS","Georgia","MALE","NURS",0.00
2021,"SH_MED_HWRKDIS","Georgia","FEMALE","NURS",100.00
2014,"SH_MED_HWRKDIS","Germany","MALE","NURS",14.20
2014,"SH_MED_HWRKDIS","Germany","FEMALE","NURS",85.80
2015,"SH_MED_HWRKDIS","Germany","FEMALE","NURS",85.50
2015,"SH_MED_HWRKDIS","Germany","MALE","NURS",14.50
2016,"SH_MED_HWRKDIS","Germany","FEMALE","NURS",85.50
2016,"SH_MED_HWRKDIS","Germany","MALE","NURS",14.50
2017,"SH_MED_HWRKDIS","Germany","FEMALE","NURS",85.00
2017,"SH_MED_HWRKDIS","Germany","MALE","NURS",15.00
2018,"SH_MED_HWRKDIS","Germany","FEMALE","NURS",84.50
2018,"SH_MED_HWRKDIS","Germany","MALE","NURS",15.50
2019,"SH_MED_HWRKDIS","Germany","FEMALE","NURS",84.10
2019,"SH_MED_HWRKDIS","Germany","MALE","NURS",15.90
2020,"SH_MED_HWRKDIS","Germany","FEMALE","NURS",34.20
2020,"SH_MED_HWRKDIS","Germany","MALE","NURS",65.80
2020,"SH_MED_HWRKDIS","Germany","FEMALE","PHYS",48.10
2020,"SH_MED_HWRKDIS","Germany","MALE","PHYS",51.90
2011,"SH_MED_HWRKDIS","Greece","FEMALE","PHYS",38.80
2011,"SH_MED_HWRKDIS","Greece","MALE","PHYS",61.20
2011,"SH_MED_HWRKDIS","Greece","MALE","NURS",13.50
2011,"SH_MED_HWRKDIS","Greece","FEMALE","NURS",86.50
2016,"SH_MED_HWRKDIS","Greece","MALE","NURS",17.70
2016,"SH_MED_HWRKDIS","Greece","FEMALE","NURS",82.30
2016,"SH_MED_HWRKDIS","Hungary","FEMALE","NURS",97.60
2016,"SH_MED_HWRKDIS","Hungary","MALE","NURS",2.40
2019,"SH_MED_HWRKDIS","Hungary","FEMALE","NURS",91.00
2019,"SH_MED_HWRKDIS","Hungary","MALE","NURS",9.00
2016,"SH_MED_HWRKDIS","Iceland","MALE","NURS",1.80
2016,"SH_MED_HWRKDIS","Iceland","FEMALE","NURS",98.20
2018,"SH_MED_HWRKDIS","Iceland","FEMALE","NURS",97.50
2018,"SH_MED_HWRKDIS","Iceland","MALE","NURS",2.50
2019,"SH_MED_HWRKDIS","Iceland","MALE","NURS",2.90
2019,"SH_MED_HWRKDIS","Iceland","FEMALE","NURS",97.10
2004,"SH_MED_HWRKDIS","India","FEMALE","PHYS",14.20
2004,"SH_MED_HWRKDIS","India","MALE","PHYS",85.80
2004,"SH_MED_HWRKDIS","India","MALE","NURS",5.60
2004,"SH_MED_HWRKDIS","India","FEMALE","NURS",94.40
2009,"SH_MED_HWRKDIS","India","MALE","NURS",20.10
2009,"SH_MED_HWRKDIS","India","FEMALE","NURS",79.90
2018,"SH_MED_HWRKDIS","India","FEMALE","NURS",88.10
2018,"SH_MED_HWRKDIS","India","MALE","NURS",11.90
2006,"SH_MED_HWRKDIS","Ireland","MALE","NURS",11.50
2006,"SH_MED_HWRKDIS","Ireland","FEMALE","NURS",88.50
2011,"SH_MED_HWRKDIS","Ireland","MALE","NURS",7.60
2011,"SH_MED_HWRKDIS","Ireland","FEMALE","NURS",92.40
2016,"SH_MED_HWRKDIS","Ireland","MALE","NURS",9.00
2016,"SH_MED_HWRKDIS","Ireland","FEMALE","NURS",91.00
2018,"SH_MED_HWRKDIS","Ireland","FEMALE","NURS",90.60
2018,"SH_MED_HWRKDIS","Ireland","MALE","NURS",9.40
2016,"SH_MED_HWRKDIS","Israel","MALE","PHYS",58.40
2016,"SH_MED_HWRKDIS","Israel","FEMALE","PHYS",41.60
2021,"SH_MED_HWRKDIS","Canada","MALE","PHYS",55.60
2021,"SH_MED_HWRKDIS","Canada","FEMALE","PHYS",44.40
2013,"SH_MED_HWRKDIS","Chile","MALE","NURS",15.00
2013,"SH_MED_HWRKDIS","Chile","FEMALE","NURS",85.00
2014,"SH_MED_HWRKDIS","Chile","FEMALE","NURS",84.60
2014,"SH_MED_HWRKDIS","Chile","MALE","NURS",15.40
2015,"SH_MED_HWRKDIS","Chile","FEMALE","NURS",84.70
2015,"SH_MED_HWRKDIS","Chile","MALE","NURS",15.30
2016,"SH_MED_HWRKDIS","Chile","MALE","NURS",15.10
2016,"SH_MED_HWRKDIS","Chile","FEMALE","NURS",84.90
2017,"SH_MED_HWRKDIS","Chile","MALE","NURS",15.00
2017,"SH_MED_HWRKDIS","Chile","FEMALE","NURS",85.00
2018,"SH_MED_HWRKDIS","Chile","MALE","NURS",14.90
2018,"SH_MED_HWRKDIS","Chile","FEMALE","NURS",85.10
2013,"SH_MED_HWRKDIS","China","FEMALE","NURS",98.00
2013,"SH_MED_HWRKDIS","China","MALE","NURS",2.00
2014,"SH_MED_HWRKDIS","China","MALE","NURS",2.00
2014,"SH_MED_HWRKDIS","China","FEMALE","NURS",98.00
2015,"SH_MED_HWRKDIS","China","MALE","NURS",2.00
2015,"SH_MED_HWRKDIS","China","FEMALE","NURS",98.00
2016,"SH_MED_HWRKDIS","China","FEMALE","NURS",98.00
2016,"SH_MED_HWRKDIS","China","MALE","NURS",2.00
2017,"SH_MED_HWRKDIS","China","FEMALE","NURS",98.00
2017,"SH_MED_HWRKDIS","China","MALE","NURS",2.00
2018,"SH_MED_HWRKDIS","Colombia","MALE","NURS",11.20
2018,"SH_MED_HWRKDIS","Colombia","FEMALE","NURS",88.80
2019,"SH_MED_HWRKDIS","Colombia","FEMALE","NURS",88.30
2019,"SH_MED_HWRKDIS","Colombia","MALE","NURS",11.70
2021,"SH_MED_HWRKDIS","Colombia","FEMALE","NURS",87.80
2021,"SH_MED_HWRKDIS","Colombia","MALE","NURS",12.20
2021,"SH_MED_HWRKDIS","Colombia","MALE","PHYS",37.10
2021,"SH_MED_HWRKDIS","Colombia","FEMALE","PHYS",62.90
2015,"SH_MED_HWRKDIS","Costa Rica","MALE","PHYS",52.50
2015,"SH_MED_HWRKDIS","Costa Rica","MALE","NURS",17.60
2015,"SH_MED_HWRKDIS","Costa Rica","FEMALE","NURS",82.40
2015,"SH_MED_HWRKDIS","Costa Rica","FEMALE","PHYS",47.50
2016,"SH_MED_HWRKDIS","Costa Rica","FEMALE","NURS",82.50
2016,"SH_MED_HWRKDIS","Costa Rica","MALE","NURS",17.50
2016,"SH_MED_HWRKDIS","Costa Rica","MALE","PHYS",51.90
2016,"SH_MED_HWRKDIS","Costa Rica","FEMALE","PHYS",48.10
2017,"SH_MED_HWRKDIS","Costa Rica","FEMALE","NURS",82.50
2017,"SH_MED_HWRKDIS","Costa Rica","MALE","NURS",17.50
2018,"SH_MED_HWRKDIS","Costa Rica","FEMALE","NURS",82.50
2018,"SH_MED_HWRKDIS","Costa Rica","MALE","NURS",17.50
2019,"SH_MED_HWRKDIS","Costa Rica","FEMALE","PHYS",55.30
2019,"SH_MED_HWRKDIS","Costa Rica","MALE","PHYS",44.70
2020,"SH_MED_HWRKDIS","Costa Rica","MALE","PHYS",52.40
2020,"SH_MED_HWRKDIS","Costa Rica","MALE","NURS",16.40
2020,"SH_MED_HWRKDIS","Costa Rica","FEMALE","PHYS",47.60
2020,"SH_MED_HWRKDIS","Costa Rica","FEMALE","NURS",83.60
2021,"SH_MED_HWRKDIS","Costa Rica","FEMALE","NURS",83.80
2021,"SH_MED_HWRKDIS","Costa Rica","MALE","NURS",16.20
2021,"SH_MED_HWRKDIS","Costa Rica","FEMALE","PHYS",48.20
2021,"SH_MED_HWRKDIS","Costa Rica","MALE","PHYS",51.80
2000,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",55.50
2000,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",44.50
2001,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",44.00
2001,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",56.00
2002,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",56.40
2002,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",43.60
2003,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",43.10
2003,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",56.90
2004,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",42.50
2004,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",57.50
2005,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",42.40
2005,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",57.60
2006,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",58.20
2006,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",41.80
2007,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",41.30
2007,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",58.70
2008,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",40.90
2008,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",59.10
2009,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",40.40
2009,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",59.60
2010,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",39.80
2010,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",60.20
2011,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",39.20
2011,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",60.80
2012,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",38.90
2012,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",61.10
2013,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",61.60
2013,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",38.40
2014,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",62.00
2014,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",38.00
2015,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",37.60
2015,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",62.40
2016,"SH_MED_HWRKDIS","Croatia","MALE","PHYS",32.50
2016,"SH_MED_HWRKDIS","Croatia","FEMALE","PHYS",67.50
2016,"SH_MED_HWRKDIS","Croatia","FEMALE","NURS",92.80
2016,"SH_MED_HWRKDIS","Croatia","MALE","NURS",7.20
2016,"SH_MED_HWRKDIS","Israel","MALE","NURS",12.10
2016,"SH_MED_HWRKDIS","Israel","FEMALE","NURS",87.90
2017,"SH_MED_HWRKDIS","Israel","FEMALE","PHYS",42.10
2017,"SH_MED_HWRKDIS","Israel","MALE","PHYS",57.90
2017,"SH_MED_HWRKDIS","Israel","FEMALE","NURS",86.80
2017,"SH_MED_HWRKDIS","Israel","MALE","NURS",13.20
2018,"SH_MED_HWRKDIS","Israel","MALE","PHYS",57.90
2018,"SH_MED_HWRKDIS","Israel","FEMALE","PHYS",42.10
2018,"SH_MED_HWRKDIS","Israel","MALE","NURS",13.60
2000,"SH_MED_HWRKDIS","Cyprus","MALE","PHYS",67.20
2000,"SH_MED_HWRKDIS","Cyprus","FEMALE","PHYS",32.80
2014,"SH_MED_HWRKDIS","Cyprus","MALE","PHYS",62.80
2014,"SH_MED_HWRKDIS","Cyprus","FEMALE","PHYS",37.20
2015,"SH_MED_HWRKDIS","Cyprus","MALE","PHYS",62.40
2015,"SH_MED_HWRKDIS","Cyprus","FEMALE","PHYS",37.60
2016,"SH_MED_HWRKDIS","Cyprus","FEMALE","PHYS",44.70
2016,"SH_MED_HWRKDIS","Cyprus","MALE","NURS",19.70
2016,"SH_MED_HWRKDIS","Cyprus","FEMALE","NURS",80.30
2018,"SH_MED_HWRKDIS","Israel","FEMALE","NURS",86.40
2019,"SH_MED_HWRKDIS","Israel","MALE","NURS",14.10
2019,"SH_MED_HWRKDIS","Israel","FEMALE","NURS",85.90
2019,"SH_MED_HWRKDIS","Israel","MALE","PHYS",57.90
2019,"SH_MED_HWRKDIS","Israel","FEMALE","PHYS",42.10
2020,"SH_MED_HWRKDIS","Israel","MALE","NURS",14.70
2020,"SH_MED_HWRKDIS","Israel","FEMALE","NURS",85.30
2020,"SH_MED_HWRKDIS","Israel","FEMALE","PHYS",42.00
2020,"SH_MED_HWRKDIS","Israel","MALE","PHYS",58.00
2016,"SH_MED_HWRKDIS","Cyprus","MALE","PHYS",55.30
2016,"SH_MED_HWRKDIS","Czechia","MALE","NURS",1.50
2016,"SH_MED_HWRKDIS","Czechia","MALE","PHYS",46.40
2016,"SH_MED_HWRKDIS","Czechia","FEMALE","PHYS",53.60
2016,"SH_MED_HWRKDIS","Czechia","FEMALE","NURS",98.50
2017,"SH_MED_HWRKDIS","Czechia","FEMALE","NURS",98.00
2017,"SH_MED_HWRKDIS","Czechia","MALE","NURS",2.00
2019,"SH_MED_HWRKDIS","Czechia","FEMALE","PHYS",56.30
2019,"SH_MED_HWRKDIS","Czechia","FEMALE","NURS",97.90
2019,"SH_MED_HWRKDIS","Czechia","MALE","PHYS",43.70
2019,"SH_MED_HWRKDIS","Czechia","MALE","NURS",2.10
2020,"SH_MED_HWRKDIS","Czechia","MALE","PHYS",43.00
