Year,SeriesCode,Страна ,Age,Freq,Location,Sex,Value
2018,AG_PRD_FIESMS,Albania,15+,,ALLAREA,MALE,33.6
2019,AG_PRD_FIESMS,Albania,ALLAGE,,ALLAREA,BOTHSEX,33.8
2019,AG_PRD_FIESMS,Albania,15+,,ALLAREA,MALE,30.2
2019,AG_PRD_FIESMS,Albania,15+,,ALLAREA,FEMALE,37.3
2020,AG_PRD_FIESMS,Albania,15+,,ALLAREA,MALE,27.5
2020,AG_PRD_FIESMS,Albania,15+,,ALLAREA,FEMALE,34.3
2020,AG_PRD_FIESMS,Albania,ALLAGE,,ALLAREA,BOTHSEX,30.9
2020,AG_PRD_FIESMS,Canada,15+,,ALLAREA,MALE,5.7
2020,AG_PRD_FIESMS,Canada,15+,,ALLAREA,FEMALE,7.3
2021,AG_PRD_FIESMS,Canada,15+,,ALLAREA,MALE,6.2
2021,AG_PRD_FIESMS,Canada,15+,,ALLAREA,FEMALE,9.2
2021,AG_PRD_FIESMS,Canada,ALLAGE,,ALLAREA,BOTHSEX,7.7
2015,AG_PRD_FIESMS,Chile,15+,,ALLAREA,FEMALE,12.5
2015,AG_PRD_FIESMS,Chile,15+,,ALLAREA,MALE,9.1
2015,AG_PRD_FIESMS,Chile,ALLAGE,,ALLAREA,BOTHSEX,10.8
2016,AG_PRD_FIESMS,Chile,ALLAGE,,ALLAREA,BOTHSEX,12.2
2016,AG_PRD_FIESMS,Chile,15+,,ALLAREA,FEMALE,13.5
2016,AG_PRD_FIESMS,Chile,15+,,ALLAREA,MALE,10.8
2017,AG_PRD_FIESMS,Chile,15+,,ALLAREA,FEMALE,14.9
2017,AG_PRD_FIESMS,Chile,ALLAGE,,ALLAREA,BOTHSEX,13.7
2017,AG_PRD_FIESMS,Chile,15+,,ALLAREA,MALE,12.4
2018,AG_PRD_FIESMS,Malta,ALLAGE,,ALLAREA,BOTHSEX,4.4
2018,AG_PRD_FIESMS,Malta,15+,,ALLAREA,MALE,2.8
2018,AG_PRD_FIESMS,Malta,15+,,ALLAREA,FEMALE,5.9
2019,AG_PRD_FIESMS,Malta,15+,,ALLAREA,FEMALE,5.7
2019,AG_PRD_FIESMS,Malta,15+,,ALLAREA,MALE,2.9
2019,AG_PRD_FIESMS,Malta,ALLAGE,,ALLAREA,BOTHSEX,4.3
2020,AG_PRD_FIESMS,Malta,ALLAGE,,ALLAREA,BOTHSEX,5.2
2020,AG_PRD_FIESMS,Malta,15+,,ALLAREA,MALE,4.0
2020,AG_PRD_FIESMS,Malta,15+,,ALLAREA,FEMALE,6.4
2018,AG_PRD_FIESMS,Chile,ALLAGE,,ALLAREA,BOTHSEX,15.3
2018,AG_PRD_FIESMS,Chile,15+,,ALLAREA,MALE,13.5
2018,AG_PRD_FIESMS,Chile,15+,,ALLAREA,FEMALE,17.1
2019,AG_PRD_FIESMS,Chile,15+,,ALLAREA,MALE,16.1
2019,AG_PRD_FIESMS,Chile,15+,,ALLAREA,FEMALE,18.5
2019,AG_PRD_FIESMS,Chile,ALLAGE,,ALLAREA,BOTHSEX,17.3
2020,AG_PRD_FIESMS,Chile,15+,,ALLAREA,MALE,16.0
2020,AG_PRD_FIESMS,Chile,15+,,ALLAREA,FEMALE,18.8
2021,AG_PRD_FIESMS,Malta,15+,,ALLAREA,MALE,5.9
2021,AG_PRD_FIESMS,Malta,ALLAGE,,ALLAREA,BOTHSEX,7.2
2021,AG_PRD_FIESMS,Malta,15+,,ALLAREA,FEMALE,8.5
2015,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,FEMALE,26.8
2015,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,MALE,24.4
2015,AG_PRD_FIESMS,Mexico,ALLAGE,,ALLAREA,BOTHSEX,25.6
2021,AG_PRD_FIESMS,Albania,15+,,ALLAREA,FEMALE,34.0
2021,AG_PRD_FIESMS,Albania,ALLAGE,,ALLAREA,BOTHSEX,30.2
2021,AG_PRD_FIESMS,Albania,15+,,ALLAREA,MALE,26.3
2015,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,ALLAREA,BOTHSEX,5.9
2015,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,FEMALE,6.2
2015,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,MALE,5.5
2016,AG_PRD_FIESMS,Mexico,ALLAGE,,ALLAREA,BOTHSEX,24.3
2016,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,MALE,22.6
2016,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,FEMALE,25.9
2017,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,MALE,21.0
2017,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,FEMALE,25.0
2017,AG_PRD_FIESMS,Mexico,ALLAGE,,ALLAREA,BOTHSEX,23.0
2018,AG_PRD_FIESMS,Mexico,ALLAGE,,ALLAREA,BOTHSEX,23.0
2018,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,FEMALE,25.7
2018,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,MALE,20.3
2020,AG_PRD_FIESMS,Chile,ALLAGE,,ALLAREA,BOTHSEX,17.4
2021,AG_PRD_FIESMS,Chile,15+,,ALLAREA,FEMALE,20.1
2021,AG_PRD_FIESMS,Chile,ALLAGE,,ALLAREA,BOTHSEX,18.1
2021,AG_PRD_FIESMS,Chile,15+,,ALLAREA,MALE,16.2
2019,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,FEMALE,28.6
2019,AG_PRD_FIESMS,Mexico,ALLAGE,,ALLAREA,BOTHSEX,24.6
2019,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,MALE,20.5
2020,AG_PRD_FIESMS,Mexico,ALLAGE,,ALLAREA,BOTHSEX,26.1
2020,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,FEMALE,31.4
2020,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,MALE,20.8
2021,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,MALE,22.1
2021,AG_PRD_FIESMS,Mexico,15+,,ALLAREA,FEMALE,33.2
2021,AG_PRD_FIESMS,Mexico,ALLAGE,,ALLAREA,BOTHSEX,27.6
2016,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,MALE,7.5
2016,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,FEMALE,7.8
2016,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,ALLAREA,BOTHSEX,7.7
2017,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,ALLAREA,BOTHSEX,8.5
2017,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,FEMALE,8.6
2017,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,MALE,8.5
2018,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,MALE,9.7
2018,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,FEMALE,9.6
2018,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,ALLAREA,BOTHSEX,9.6
2015,AG_PRD_FIESMS,Republic of Moldova,ALLAGE,,ALLAREA,BOTHSEX,19.3
2015,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,MALE,19.2
2015,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,FEMALE,19.3
2016,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,MALE,20.5
2016,AG_PRD_FIESMS,Republic of Moldova,ALLAGE,,ALLAREA,BOTHSEX,20.9
2016,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,FEMALE,21.3
2019,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,ALLAREA,BOTHSEX,8.8
2019,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,FEMALE,8.9
2019,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,MALE,8.8
2020,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,ALLAREA,BOTHSEX,9.5
2020,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,FEMALE,9.6
2020,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,MALE,9.4
2021,AG_PRD_FIESMS,Azerbaijan,ALLAGE,,ALLAREA,BOTHSEX,10.1
2021,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,FEMALE,10.5
2021,AG_PRD_FIESMS,Azerbaijan,15+,,ALLAREA,MALE,9.7
2017,AG_PRD_FIESMS,Republic of Moldova,ALLAGE,,ALLAREA,BOTHSEX,24.6
2017,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,MALE,23.7
2017,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,FEMALE,25.4
2018,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,FEMALE,30.6
2018,AG_PRD_FIESMS,Republic of Moldova,ALLAGE,,ALLAREA,BOTHSEX,27.5
2018,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,MALE,24.3
2019,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,MALE,24.2
2019,AG_PRD_FIESMS,Republic of Moldova,ALLAGE,,ALLAREA,BOTHSEX,27.2
2019,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,FEMALE,30.1
2015,AG_PRD_FIESMS,Australia,15+,,ALLAREA,FEMALE,12.3
2015,AG_PRD_FIESMS,Australia,ALLAGE,,ALLAREA,BOTHSEX,10.8
2015,AG_PRD_FIESMS,Australia,15+,,ALLAREA,MALE,9.2
2016,AG_PRD_FIESMS,Australia,15+,,ALLAREA,FEMALE,13.0
2016,AG_PRD_FIESMS,Australia,15+,,ALLAREA,MALE,10.6
2016,AG_PRD_FIESMS,Australia,ALLAGE,,ALLAREA,BOTHSEX,11.8
2020,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,MALE,21.2
2020,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,FEMALE,28.7
2020,AG_PRD_FIESMS,Republic of Moldova,ALLAGE,,ALLAREA,BOTHSEX,24.9
2021,AG_PRD_FIESMS,Republic of Moldova,ALLAGE,,ALLAREA,BOTHSEX,23.5
2021,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,MALE,20.4
2021,AG_PRD_FIESMS,Republic of Moldova,15+,,ALLAREA,FEMALE,26.6
2015,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,MALE,12.2
2015,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,FEMALE,13.1
2015,AG_PRD_FIESMS,Montenegro,ALLAGE,,ALLAREA,BOTHSEX,12.6
2016,AG_PRD_FIESMS,Montenegro,ALLAGE,,ALLAREA,BOTHSEX,11.3
2016,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,FEMALE,12.2
2016,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,MALE,10.3
2017,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,MALE,10.4
2017,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,FEMALE,13.6
2017,AG_PRD_FIESMS,Montenegro,ALLAGE,,ALLAREA,BOTHSEX,12.0
2017,AG_PRD_FIESMS,Australia,ALLAGE,,ALLAREA,BOTHSEX,12.7
2017,AG_PRD_FIESMS,Australia,15+,,ALLAREA,MALE,11.5
2017,AG_PRD_FIESMS,Australia,15+,,ALLAREA,FEMALE,13.9
2018,AG_PRD_FIESMS,Australia,15+,,ALLAREA,FEMALE,13.6
2018,AG_PRD_FIESMS,Australia,15+,,ALLAREA,MALE,13.0
2018,AG_PRD_FIESMS,Australia,ALLAGE,,ALLAREA,BOTHSEX,13.3
2019,AG_PRD_FIESMS,Australia,15+,,ALLAREA,FEMALE,12.8
2019,AG_PRD_FIESMS,Australia,15+,,ALLAREA,MALE,11.8
2019,AG_PRD_FIESMS,Australia,ALLAGE,,ALLAREA,BOTHSEX,12.3
2018,AG_PRD_FIESMS,Montenegro,ALLAGE,,ALLAREA,BOTHSEX,12.9
2018,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,MALE,11.9
2018,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,FEMALE,13.8
2019,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,MALE,13.3
2019,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,FEMALE,13.6
2019,AG_PRD_FIESMS,Montenegro,ALLAGE,,ALLAREA,BOTHSEX,13.5
2020,AG_PRD_FIESMS,Montenegro,ALLAGE,,ALLAREA,BOTHSEX,14.0
2020,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,MALE,14.8
2020,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,FEMALE,13.3
2020,AG_PRD_FIESMS,Australia,15+,,ALLAREA,MALE,11.9
2020,AG_PRD_FIESMS,Australia,15+,,ALLAREA,FEMALE,12.0
2020,AG_PRD_FIESMS,Australia,ALLAGE,,ALLAREA,BOTHSEX,11.9
2021,AG_PRD_FIESMS,Australia,ALLAGE,,ALLAREA,BOTHSEX,11.4
2021,AG_PRD_FIESMS,Australia,15+,,ALLAREA,FEMALE,11.3
2021,AG_PRD_FIESMS,Australia,15+,,ALLAREA,MALE,11.6
2021,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,FEMALE,12.5
2021,AG_PRD_FIESMS,Montenegro,15+,,ALLAREA,MALE,13.2
2021,AG_PRD_FIESMS,Montenegro,ALLAGE,,ALLAREA,BOTHSEX,12.9
2015,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,MALE,5.7
2015,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,ALLAREA,BOTHSEX,5.7
2015,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,FEMALE,5.8
2015,AG_PRD_FIESMS,Austria,ALLAGE,,ALLAREA,BOTHSEX,5.5
2015,AG_PRD_FIESMS,Austria,15+,,ALLAREA,MALE,4.5
2015,AG_PRD_FIESMS,Austria,15+,,ALLAREA,FEMALE,6.6
2016,AG_PRD_FIESMS,Austria,15+,,ALLAREA,FEMALE,5.9
2016,AG_PRD_FIESMS,Austria,15+,,ALLAREA,MALE,4.4
2016,AG_PRD_FIESMS,Austria,ALLAGE,,ALLAREA,BOTHSEX,5.2
2017,AG_PRD_FIESMS,Austria,ALLAGE,,ALLAREA,BOTHSEX,4.4
2017,AG_PRD_FIESMS,Austria,15+,,ALLAREA,FEMALE,5.1
2017,AG_PRD_FIESMS,Austria,15+,,ALLAREA,MALE,3.8
2015,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,MALE,11.5
2015,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,FEMALE,12.9
2015,AG_PRD_FIESMS,Costa Rica,ALLAGE,,ALLAREA,BOTHSEX,12.2
2016,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,MALE,11.6
2016,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,FEMALE,6.2
2016,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,MALE,4.9
2016,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,ALLAREA,BOTHSEX,5.5
2017,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,MALE,4.0
2017,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,ALLAREA,BOTHSEX,5.1
2017,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,FEMALE,6.2
2018,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,ALLAREA,BOTHSEX,5.1
2018,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,MALE,3.9
2018,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,FEMALE,6.2
2019,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,FEMALE,5.0
2019,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,MALE,4.3
2019,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,ALLAREA,BOTHSEX,4.6
2020,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,ALLAREA,BOTHSEX,4.4
2020,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,MALE,4.4
2020,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,FEMALE,4.4
2021,AG_PRD_FIESMS,Netherlands (Kingdom of the),ALLAGE,,ALLAREA,BOTHSEX,4.5
2018,AG_PRD_FIESMS,Austria,15+,,ALLAREA,MALE,3.0
2018,AG_PRD_FIESMS,Austria,15+,,ALLAREA,FEMALE,4.1
2018,AG_PRD_FIESMS,Austria,ALLAGE,,ALLAREA,BOTHSEX,3.6
2019,AG_PRD_FIESMS,Austria,15+,,ALLAREA,FEMALE,3.5
2019,AG_PRD_FIESMS,Austria,ALLAGE,,ALLAREA,BOTHSEX,3.0
2019,AG_PRD_FIESMS,Austria,15+,,ALLAREA,MALE,2.6
2020,AG_PRD_FIESMS,Austria,15+,,ALLAREA,FEMALE,3.6
2020,AG_PRD_FIESMS,Austria,15+,,ALLAREA,MALE,3.1
2020,AG_PRD_FIESMS,Austria,ALLAGE,,ALLAREA,BOTHSEX,3.3
2016,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,FEMALE,14.3
2016,AG_PRD_FIESMS,Costa Rica,ALLAGE,,ALLAREA,BOTHSEX,12.9
2017,AG_PRD_FIESMS,Costa Rica,ALLAGE,,ALLAREA,BOTHSEX,13.7
2017,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,FEMALE,15.4
2017,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,MALE,12.0
2018,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,MALE,12.4
2018,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,FEMALE,16.6
2018,AG_PRD_FIESMS,Costa Rica,ALLAGE,,ALLAREA,BOTHSEX,14.5
2021,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,MALE,4.1
2021,AG_PRD_FIESMS,Netherlands (Kingdom of the),15+,,ALLAREA,FEMALE,4.9
2015,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,MALE,7.7
2015,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,FEMALE,12.3
2015,AG_PRD_FIESMS,New Zealand,ALLAGE,,ALLAREA,BOTHSEX,10.0
2016,AG_PRD_FIESMS,New Zealand,ALLAGE,,ALLAREA,BOTHSEX,11.3
2016,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,FEMALE,13.7
2016,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,MALE,8.9
2017,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,FEMALE,15.1
2017,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,MALE,11.6
2017,AG_PRD_FIESMS,New Zealand,ALLAGE,,ALLAREA,BOTHSEX,13.3
2018,AG_PRD_FIESMS,New Zealand,ALLAGE,,ALLAREA,BOTHSEX,13.9
2018,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,MALE,12.3
2018,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,FEMALE,15.5
2019,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,MALE,12.1
2019,AG_PRD_FIESMS,Costa Rica,ALLAGE,,ALLAREA,BOTHSEX,15.3
2019,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,FEMALE,17.7
2019,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,MALE,13.0
2020,AG_PRD_FIESMS,Costa Rica,ALLAGE,,ALLAREA,BOTHSEX,15.9
2020,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,FEMALE,18.4
2020,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,MALE,13.4
2021,AG_PRD_FIESMS,Costa Rica,ALLAGE,,ALLAREA,BOTHSEX,16.2
2021,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,FEMALE,18.4
2019,AG_PRD_FIESMS,New Zealand,ALLAGE,,ALLAREA,BOTHSEX,14.0
2019,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,FEMALE,15.8
2020,AG_PRD_FIESMS,New Zealand,ALLAGE,,ALLAREA,BOTHSEX,14.5
2020,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,MALE,14.3
2020,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,FEMALE,14.8
2021,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,FEMALE,14.7
2021,AG_PRD_FIESMS,New Zealand,15+,,ALLAREA,MALE,15.6
2021,AG_PRD_FIESMS,New Zealand,ALLAGE,,ALLAREA,BOTHSEX,15.1
2021,AG_PRD_FIESMS,Costa Rica,15+,,ALLAREA,MALE,14.0
2015,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,FEMALE,6.7
2015,AG_PRD_FIESMS,Croatia,ALLAGE,,ALLAREA,BOTHSEX,6.5
2015,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,MALE,6.3
2016,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,MALE,6.0
2016,AG_PRD_FIESMS,Croatia,ALLAGE,,ALLAREA,BOTHSEX,6.9
2021,AG_PRD_FIESMS,Austria,ALLAGE,,ALLAREA,BOTHSEX,4.3
2021,AG_PRD_FIESMS,Austria,15+,,ALLAREA,FEMALE,4.2
2021,AG_PRD_FIESMS,Austria,15+,,ALLAREA,MALE,4.5
2017,AG_PRD_FIESMS,Armenia,15+,,ALLAREA,FEMALE,18.6
2017,AG_PRD_FIESMS,Armenia,15+,,ALLAREA,MALE,15.6
2017,AG_PRD_FIESMS,Armenia,ALLAGE,,ALLAREA,BOTHSEX,17.1
2018,AG_PRD_FIESMS,Armenia,ALLAGE,,ALLAREA,BOTHSEX,14.8
2018,AG_PRD_FIESMS,Armenia,15+,,ALLAREA,MALE,13.3
2018,AG_PRD_FIESMS,Armenia,15+,,ALLAREA,FEMALE,16.3
2019,AG_PRD_FIESMS,Armenia,ALLAGE,,ALLAREA,BOTHSEX,11.7
2016,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,FEMALE,7.8
2017,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,FEMALE,8.6
2017,AG_PRD_FIESMS,Croatia,ALLAGE,,ALLAREA,BOTHSEX,7.8
2017,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,MALE,6.9
2018,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,FEMALE,10.9
2018,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,MALE,9.1
2018,AG_PRD_FIESMS,Croatia,ALLAGE,,ALLAREA,BOTHSEX,10.0
2019,AG_PRD_FIESMS,Croatia,ALLAGE,,ALLAREA,BOTHSEX,11.0
2019,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,FEMALE,12.9
2019,AG_PRD_FIESMS,Armenia,15+,,ALLAREA,MALE,10.3
2019,AG_PRD_FIESMS,Armenia,15+,,ALLAREA,FEMALE,13.2
2020,AG_PRD_FIESMS,Armenia,ALLAGE,,ALLAREA,BOTHSEX,8.3
2020,AG_PRD_FIESMS,Armenia,15+,,ALLAREA,FEMALE,9.1
2020,AG_PRD_FIESMS,Armenia,15+,,ALLAREA,MALE,7.5
2021,AG_PRD_FIESMS,Armenia,15+,,ALLAREA,MALE,6.5
2021,AG_PRD_FIESMS,Armenia,ALLAGE,,ALLAREA,BOTHSEX,7.1
2021,AG_PRD_FIESMS,Armenia,15+,,ALLAREA,FEMALE,7.8
2019,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,MALE,9.2
2020,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,FEMALE,13.9
2020,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,MALE,8.9
2020,AG_PRD_FIESMS,Croatia,ALLAGE,,ALLAREA,BOTHSEX,11.4
2021,AG_PRD_FIESMS,Croatia,ALLAGE,,ALLAREA,BOTHSEX,9.7
2021,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,FEMALE,11.8
2021,AG_PRD_FIESMS,Croatia,15+,,ALLAREA,MALE,7.6
2015,AG_PRD_FIESMS,Norway,15+,,ALLAREA,MALE,4.6
2015,AG_PRD_FIESMS,Norway,15+,,ALLAREA,FEMALE,4.9
2015,AG_PRD_FIESMS,Norway,ALLAGE,,ALLAREA,BOTHSEX,4.8
2016,AG_PRD_FIESMS,Norway,15+,,ALLAREA,FEMALE,5.4
2016,AG_PRD_FIESMS,Norway,ALLAGE,,ALLAREA,BOTHSEX,5.0
2016,AG_PRD_FIESMS,Norway,15+,,ALLAREA,MALE,4.5
2017,AG_PRD_FIESMS,Norway,15+,,ALLAREA,FEMALE,5.3
2017,AG_PRD_FIESMS,Norway,15+,,ALLAREA,MALE,4.4
2017,AG_PRD_FIESMS,Norway,ALLAGE,,ALLAREA,BOTHSEX,4.8
2018,AG_PRD_FIESMS,Norway,ALLAGE,,ALLAREA,BOTHSEX,4.8
2018,AG_PRD_FIESMS,Norway,15+,,ALLAREA,MALE,4.1
