Year,SeriesCode,Country,Quantile,Value
2020,SI_HEI_TOTL,Netherlands (Kingdom of the),Bottom 40%,3.07
2020,SI_HEI_TOTL,Netherlands (Kingdom of the),Total or no breakdown,2.1
2019,SI_HEI_TOTL,Norway,Bottom 40%,-0.24
2019,SI_HEI_TOTL,Norway,Total or no breakdown,0.36
2019,SI_HEI_TOTL,Poland,Bottom 40%,8.82
2019,SI_HEI_TOTL,Poland,Total or no breakdown,6.34
2020,SI_HEI_TOTL,Portugal,Total or no breakdown,3.86
2020,SI_HEI_TOTL,Portugal,Bottom 40%,4.5
2020,SI_HEI_TOTL,Romania,Bottom 40%,15.29
2020,SI_HEI_TOTL,Romania,Total or no breakdown,14.23
2020,SI_HEI_TOTL,Serbia,Bottom 40%,13.4
2020,SI_HEI_TOTL,Serbia,Total or no breakdown,7.63
2019,SI_HEI_TOTL,Slovakia,Bottom 40%,4.47
2019,SI_HEI_TOTL,Slovakia,Total or no breakdown,2.9
2020,SI_HEI_TOTL,Viet Nam,Bottom 40%,4.69
2020,SI_HEI_TOTL,Viet Nam,Total or no breakdown,5.61
2020,SI_HEI_TOTL,Slovenia,Bottom 40%,4.54
2020,SI_HEI_TOTL,Slovenia,Total or no breakdown,3.73
2020,SI_HEI_TOTL,Spain,Total or no breakdown,1.99
2020,SI_HEI_TOTL,Spain,Bottom 40%,2.68
2020,SI_HEI_TOTL,Sweden,Bottom 40%,1.29
2020,SI_HEI_TOTL,Sweden,Total or no breakdown,1.3
2018,SI_HEI_TOTL,Switzerland,Total or no breakdown,0.08
2018,SI_HEI_TOTL,Switzerland,Bottom 40%,-0.34
2015,SI_HEI_TOTL,Tajikistan,Bottom 40%,1.32
2015,SI_HEI_TOTL,Tajikistan,Total or no breakdown,2.67
2018,SI_HEI_TOTL,United Arab Emirates,Total or no breakdown,1.84
2018,SI_HEI_TOTL,United Arab Emirates,Bottom 40%,7.08
2019,SI_HEI_TOTL,Türkiye,Bottom 40%,0.85
2019,SI_HEI_TOTL,Türkiye,Total or no breakdown,1.47
2020,SI_HEI_TOTL,Ukraine,Total or no breakdown,4.12
2020,SI_HEI_TOTL,Ukraine,Bottom 40%,4.13
2019,SI_HEI_TOTL,North Macedonia,Bottom 40%,6.09
2019,SI_HEI_TOTL,North Macedonia,Total or no breakdown,5.34
2020,SI_HEI_TOTL,United Kingdom of Great Britain and Northern Ireland,Bottom 40%,0.84
2020,SI_HEI_TOTL,United Kingdom of Great Britain and Northern Ireland,Total or no breakdown,0.57
2020,SI_HEI_TOTL,United Kingdom of Great Britain and Northern Ireland,Total or no breakdown,0.57
