Year,SeriesCode,Country,Age,Name of non-communicable disease,Sex,Value
2000,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Male,27.4
2005,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Both sexes,21.7
2005,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Female,16.2
2005,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Male,27.5
2005,SH_DTH_NCOM,Poland,30-70,,Male,31.3
2010,SH_DTH_NCOM,Poland,30-70,,Both sexes,20.6
2010,SH_DTH_NCOM,Poland,30-70,,Female,13.4
2010,SH_DTH_NCOM,Poland,30-70,,Male,28.4
2015,SH_DTH_NCOM,Poland,30-70,,Female,12.8
2015,SH_DTH_NCOM,Poland,30-70,,Male,26.5
2015,SH_DTH_NCOM,Poland,30-70,,Both sexes,19.4
2019,SH_DTH_NCOM,Poland,30-70,,Both sexes,17.0
2010,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Both sexes,20.1
2010,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Female,15.2
2010,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Male,25.3
2015,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Both sexes,19.2
2015,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Female,14.1
2015,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Male,24.6
2019,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Both sexes,18.7
2019,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Female,13.6
2019,SH_DTH_NCOM,Poland,30-70,,Female,11.5
2019,SH_DTH_NCOM,Poland,30-70,,Male,22.8
2000,SH_DTH_NCOM,Portugal,30-70,,Both sexes,15.8
2000,SH_DTH_NCOM,Portugal,30-70,,Female,10.9
2000,SH_DTH_NCOM,Portugal,30-70,,Male,21.2
2005,SH_DTH_NCOM,Portugal,30-70,,Both sexes,14.2
2005,SH_DTH_NCOM,Portugal,30-70,,Female,9.6
2005,SH_DTH_NCOM,Portugal,30-70,,Male,19.1
2010,SH_DTH_NCOM,Portugal,30-70,,Female,7.9
2010,SH_DTH_NCOM,Portugal,30-70,,Male,17.2
2010,SH_DTH_NCOM,Portugal,30-70,,Both sexes,12.4
2015,SH_DTH_NCOM,Portugal,30-70,,Both sexes,11.5
2015,SH_DTH_NCOM,Portugal,30-70,,Female,7.3
2015,SH_DTH_NCOM,Portugal,30-70,,Male,16.0
2019,SH_DTH_NCOM,Portugal,30-70,,Both sexes,11.0
2019,SH_DTH_NCOM,Portugal,30-70,,Male,15.4
2019,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Male,24.0
2000,SH_DTH_NCOM,Bulgaria,30-70,,Both sexes,28.5
2000,SH_DTH_NCOM,Bulgaria,30-70,,Male,36.9
2000,SH_DTH_NCOM,Bulgaria,30-70,,Female,20.2
2005,SH_DTH_NCOM,Bulgaria,30-70,,Both sexes,27.6
2005,SH_DTH_NCOM,Bulgaria,30-70,,Female,18.6
2005,SH_DTH_NCOM,Bulgaria,30-70,,Male,36.8
2010,SH_DTH_NCOM,Bulgaria,30-70,,Female,17.0
2010,SH_DTH_NCOM,Bulgaria,30-70,,Male,34.5
2010,SH_DTH_NCOM,Bulgaria,30-70,,Both sexes,25.6
2015,SH_DTH_NCOM,Bulgaria,30-70,,Male,32.8
2015,SH_DTH_NCOM,Bulgaria,30-70,,Female,16.1
2015,SH_DTH_NCOM,Bulgaria,30-70,,Both sexes,24.3
2019,SH_DTH_NCOM,Bulgaria,30-70,,Both sexes,24.2
2019,SH_DTH_NCOM,Bulgaria,30-70,,Female,16.4
2019,SH_DTH_NCOM,Bulgaria,30-70,,Male,32.1
2019,SH_DTH_NCOM,Portugal,30-70,,Female,7.0
2000,SH_DTH_NCOM,Romania,30-70,,Both sexes,26.5
2000,SH_DTH_NCOM,Romania,30-70,,Female,19.2
2000,SH_DTH_NCOM,Romania,30-70,,Male,34.2
2005,SH_DTH_NCOM,Romania,30-70,,Both sexes,25.5
2005,SH_DTH_NCOM,Romania,30-70,,Female,17.9
2005,SH_DTH_NCOM,Romania,30-70,,Male,33.7
2010,SH_DTH_NCOM,Romania,30-70,,Female,15.4
2000,SH_DTH_NCOM,Belarus,30-70,,Both sexes,33.2
2000,SH_DTH_NCOM,Belarus,30-70,,Female,21.7
2000,SH_DTH_NCOM,Belarus,30-70,,Male,46.1
2005,SH_DTH_NCOM,Belarus,30-70,,Male,48.4
2005,SH_DTH_NCOM,Belarus,30-70,,Both sexes,34.1
2005,SH_DTH_NCOM,Belarus,30-70,,Female,21.3
2010,SH_DTH_NCOM,Belarus,30-70,,Male,44.8
2010,SH_DTH_NCOM,Belarus,30-70,,Female,18.4
2010,SH_DTH_NCOM,Romania,30-70,,Both sexes,23.1
2010,SH_DTH_NCOM,Romania,30-70,,Male,31.3
2015,SH_DTH_NCOM,Romania,30-70,,Female,14.3
2015,SH_DTH_NCOM,Romania,30-70,,Male,29.5
2015,SH_DTH_NCOM,Romania,30-70,,Both sexes,21.7
2019,SH_DTH_NCOM,Romania,30-70,,Both sexes,21.0
2019,SH_DTH_NCOM,Romania,30-70,,Female,13.6
2019,SH_DTH_NCOM,Romania,30-70,,Male,28.6
2010,SH_DTH_NCOM,Belarus,30-70,,Both sexes,30.8
2015,SH_DTH_NCOM,Belarus,30-70,,Female,14.4
2015,SH_DTH_NCOM,Belarus,30-70,,Both sexes,24.7
2015,SH_DTH_NCOM,Belarus,30-70,,Male,36.6
2019,SH_DTH_NCOM,Belarus,30-70,,Male,35.7
2019,SH_DTH_NCOM,Belarus,30-70,,Female,13.6
2019,SH_DTH_NCOM,Belarus,30-70,,Both sexes,23.8
2000,SH_DTH_NCOM,Canada,30-70,,Female,11.3
2000,SH_DTH_NCOM,Canada,30-70,,Male,17.6
2000,SH_DTH_NCOM,Canada,30-70,,Both sexes,14.4
2005,SH_DTH_NCOM,Canada,30-70,,Male,15.2
2005,SH_DTH_NCOM,Canada,30-70,,Female,10.1
2005,SH_DTH_NCOM,Canada,30-70,,Both sexes,12.7
2010,SH_DTH_NCOM,Canada,30-70,,Male,13.2
2010,SH_DTH_NCOM,Canada,30-70,,Female,9.0
2010,SH_DTH_NCOM,Canada,30-70,,Both sexes,11.1
2000,SH_DTH_NCOM,Serbia,30-70,,Male,36.5
2000,SH_DTH_NCOM,Serbia,30-70,,Female,22.7
2000,SH_DTH_NCOM,Serbia,30-70,,Both sexes,29.5
2005,SH_DTH_NCOM,Serbia,30-70,,Female,20.6
2005,SH_DTH_NCOM,Serbia,30-70,,Both sexes,27.2
2005,SH_DTH_NCOM,Serbia,30-70,,Male,33.9
2010,SH_DTH_NCOM,Serbia,30-70,,Female,18.2
2010,SH_DTH_NCOM,Serbia,30-70,,Both sexes,24.6
2015,SH_DTH_NCOM,Canada,30-70,,Both sexes,10.3
2015,SH_DTH_NCOM,Canada,30-70,,Male,12.0
2015,SH_DTH_NCOM,Canada,30-70,,Female,8.6
2019,SH_DTH_NCOM,Canada,30-70,,Both sexes,9.6
2019,SH_DTH_NCOM,Canada,30-70,,Female,8.0
2019,SH_DTH_NCOM,Canada,30-70,,Male,11.2
2000,SH_DTH_NCOM,Chile,30-70,,Male,17.4
2000,SH_DTH_NCOM,Chile,30-70,,Female,11.7
2010,SH_DTH_NCOM,Serbia,30-70,,Male,31.1
2015,SH_DTH_NCOM,Serbia,30-70,,Female,16.0
2015,SH_DTH_NCOM,Serbia,30-70,,Both sexes,22.2
2015,SH_DTH_NCOM,Serbia,30-70,,Male,28.5
2019,SH_DTH_NCOM,Serbia,30-70,,Female,15.9
2019,SH_DTH_NCOM,Serbia,30-70,,Both sexes,22.0
2019,SH_DTH_NCOM,Serbia,30-70,,Male,28.3
2000,SH_DTH_NCOM,Slovakia,30-70,,Male,35.2
2000,SH_DTH_NCOM,Chile,30-70,,Both sexes,14.3
2005,SH_DTH_NCOM,Chile,30-70,,Both sexes,13.7
2005,SH_DTH_NCOM,Chile,30-70,,Male,16.7
2005,SH_DTH_NCOM,Chile,30-70,,Female,11.1
2010,SH_DTH_NCOM,Chile,30-70,,Male,15.7
2010,SH_DTH_NCOM,Chile,30-70,,Female,10.5
2010,SH_DTH_NCOM,Chile,30-70,,Both sexes,12.9
2015,SH_DTH_NCOM,Chile,30-70,,Female,9.4
2000,SH_DTH_NCOM,Slovakia,30-70,,Female,16.5
2000,SH_DTH_NCOM,Slovakia,30-70,,Both sexes,25.4
2005,SH_DTH_NCOM,Slovakia,30-70,,Female,14.8
2005,SH_DTH_NCOM,Slovakia,30-70,,Both sexes,23.0
2005,SH_DTH_NCOM,Slovakia,30-70,,Male,32.2
2010,SH_DTH_NCOM,Slovakia,30-70,,Female,13.2
2010,SH_DTH_NCOM,Slovakia,30-70,,Male,28.6
2010,SH_DTH_NCOM,Slovakia,30-70,,Both sexes,20.5
2015,SH_DTH_NCOM,Slovakia,30-70,,Both sexes,17.5
2015,SH_DTH_NCOM,Slovakia,30-70,,Female,11.5
2015,SH_DTH_NCOM,Slovakia,30-70,,Male,24.1
2019,SH_DTH_NCOM,Slovakia,30-70,,Male,21.0
2019,SH_DTH_NCOM,Slovakia,30-70,,Female,10.4
2019,SH_DTH_NCOM,Slovakia,30-70,,Both sexes,15.5
2000,SH_DTH_NCOM,Viet Nam,30-70,,Female,14.8
2000,SH_DTH_NCOM,Viet Nam,30-70,,Both sexes,21.6
2015,SH_DTH_NCOM,Chile,30-70,,Both sexes,11.6
2015,SH_DTH_NCOM,Chile,30-70,,Male,14.1
2019,SH_DTH_NCOM,Chile,30-70,,Male,12.0
2019,SH_DTH_NCOM,Chile,30-70,,Female,8.3
2019,SH_DTH_NCOM,Chile,30-70,,Both sexes,10.0
2000,SH_DTH_NCOM,China,30-70,,Both sexes,23.0
2000,SH_DTH_NCOM,China,30-70,,Male,27.7
2000,SH_DTH_NCOM,China,30-70,,Female,17.8
2000,SH_DTH_NCOM,Viet Nam,30-70,,Male,29.2
2005,SH_DTH_NCOM,Viet Nam,30-70,,Male,30.0
2005,SH_DTH_NCOM,Viet Nam,30-70,,Female,14.5
2005,SH_DTH_NCOM,Viet Nam,30-70,,Both sexes,21.8
2010,SH_DTH_NCOM,Viet Nam,30-70,,Both sexes,22.4
2010,SH_DTH_NCOM,Viet Nam,30-70,,Male,30.9
2010,SH_DTH_NCOM,Viet Nam,30-70,,Female,14.6
2015,SH_DTH_NCOM,Viet Nam,30-70,,Female,14.2
2005,SH_DTH_NCOM,China,30-70,,Female,16.9
2005,SH_DTH_NCOM,China,30-70,,Male,26.1
2005,SH_DTH_NCOM,China,30-70,,Both sexes,21.8
2010,SH_DTH_NCOM,China,30-70,,Male,23.8
2010,SH_DTH_NCOM,China,30-70,,Female,13.8
2010,SH_DTH_NCOM,China,30-70,,Both sexes,19.0
2015,SH_DTH_NCOM,China,30-70,,Both sexes,16.8
2015,SH_DTH_NCOM,China,30-70,,Male,21.7
2015,SH_DTH_NCOM,China,30-70,,Female,11.7
2019,SH_DTH_NCOM,China,30-70,,Female,11.2
2019,SH_DTH_NCOM,China,30-70,,Male,20.2
2019,SH_DTH_NCOM,China,30-70,,Both sexes,15.9
2000,SH_DTH_NCOM,Colombia,30-70,,Male,15.9
2000,SH_DTH_NCOM,Colombia,30-70,,Female,14.5
2000,SH_DTH_NCOM,Colombia,30-70,,Both sexes,15.1
2005,SH_DTH_NCOM,Colombia,30-70,,Male,14.7
2005,SH_DTH_NCOM,Colombia,30-70,,Female,12.4
2005,SH_DTH_NCOM,Colombia,30-70,,Both sexes,13.5
2010,SH_DTH_NCOM,Colombia,30-70,,Both sexes,11.1
2010,SH_DTH_NCOM,Colombia,30-70,,Female,10.5
2010,SH_DTH_NCOM,Colombia,30-70,,Male,11.9
2015,SH_DTH_NCOM,Colombia,30-70,,Male,11.2
2015,SH_DTH_NCOM,Colombia,30-70,,Female,9.6
2015,SH_DTH_NCOM,Colombia,30-70,,Both sexes,10.3
2015,SH_DTH_NCOM,Viet Nam,30-70,,Male,30.3
2015,SH_DTH_NCOM,Viet Nam,30-70,,Both sexes,21.9
2019,SH_DTH_NCOM,Viet Nam,30-70,,Male,29.1
2019,SH_DTH_NCOM,Viet Nam,30-70,,Female,13.7
2019,SH_DTH_NCOM,Viet Nam,30-70,,Both sexes,21.2
2000,SH_DTH_NCOM,Slovenia,30-70,,Male,25.4
2000,SH_DTH_NCOM,Slovenia,30-70,,Both sexes,18.5
2000,SH_DTH_NCOM,Slovenia,30-70,,Female,12.0
2005,SH_DTH_NCOM,Slovenia,30-70,,Male,21.7
2005,SH_DTH_NCOM,Slovenia,30-70,,Both sexes,16.1
2005,SH_DTH_NCOM,Slovenia,30-70,,Female,10.7
2010,SH_DTH_NCOM,Slovenia,30-70,,Female,8.9
2010,SH_DTH_NCOM,Slovenia,30-70,,Both sexes,13.5
2010,SH_DTH_NCOM,Slovenia,30-70,,Male,18.0
2015,SH_DTH_NCOM,Slovenia,30-70,,Female,9.0
2015,SH_DTH_NCOM,Slovenia,30-70,,Both sexes,12.8
2019,SH_DTH_NCOM,Colombia,30-70,,Male,10.8
2019,SH_DTH_NCOM,Colombia,30-70,,Female,8.9
2019,SH_DTH_NCOM,Colombia,30-70,,Both sexes,9.7
2000,SH_DTH_NCOM,Costa Rica,30-70,,Male,14.9
2000,SH_DTH_NCOM,Costa Rica,30-70,,Female,10.9
2000,SH_DTH_NCOM,Costa Rica,30-70,,Both sexes,12.9
2005,SH_DTH_NCOM,Costa Rica,30-70,,Male,12.6
2005,SH_DTH_NCOM,Costa Rica,30-70,,Female,9.5
2015,SH_DTH_NCOM,Slovenia,30-70,,Male,16.5
2019,SH_DTH_NCOM,Slovenia,30-70,,Male,14.8
2019,SH_DTH_NCOM,Slovenia,30-70,,Female,8.0
2019,SH_DTH_NCOM,Slovenia,30-70,,Both sexes,11.4
2000,SH_DTH_NCOM,Spain,30-70,,Male,19.3
2000,SH_DTH_NCOM,Spain,30-70,,Female,8.2
2000,SH_DTH_NCOM,Spain,30-70,,Both sexes,13.7
2005,SH_DTH_NCOM,Spain,30-70,,Both sexes,12.4
2005,SH_DTH_NCOM,Costa Rica,30-70,,Both sexes,11.0
2010,SH_DTH_NCOM,Costa Rica,30-70,,Both sexes,11.1
2010,SH_DTH_NCOM,Costa Rica,30-70,,Female,9.2
2010,SH_DTH_NCOM,Costa Rica,30-70,,Male,13.0
2015,SH_DTH_NCOM,Costa Rica,30-70,,Male,11.8
2015,SH_DTH_NCOM,Costa Rica,30-70,,Female,7.7
2015,SH_DTH_NCOM,Costa Rica,30-70,,Both sexes,9.8
2019,SH_DTH_NCOM,Costa Rica,30-70,,Male,11.0
2005,SH_DTH_NCOM,Spain,30-70,,Female,7.4
2005,SH_DTH_NCOM,Spain,30-70,,Male,17.5
2010,SH_DTH_NCOM,Spain,30-70,,Both sexes,11.0
2010,SH_DTH_NCOM,Spain,30-70,,Female,6.7
2010,SH_DTH_NCOM,Spain,30-70,,Male,15.4
2015,SH_DTH_NCOM,Spain,30-70,,Both sexes,10.3
2015,SH_DTH_NCOM,Spain,30-70,,Female,6.6
2015,SH_DTH_NCOM,Spain,30-70,,Male,14.0
2019,SH_DTH_NCOM,Costa Rica,30-70,,Female,8.1
2019,SH_DTH_NCOM,Costa Rica,30-70,,Both sexes,9.5
2000,SH_DTH_NCOM,Croatia,30-70,,Both sexes,22.9
2000,SH_DTH_NCOM,Croatia,30-70,,Female,15.4
2000,SH_DTH_NCOM,Croatia,30-70,,Male,30.8
2005,SH_DTH_NCOM,Croatia,30-70,,Male,28.6
2005,SH_DTH_NCOM,Croatia,30-70,,Female,13.2
2005,SH_DTH_NCOM,Croatia,30-70,,Both sexes,20.7
2010,SH_DTH_NCOM,Croatia,30-70,,Male,25.6
2010,SH_DTH_NCOM,Croatia,30-70,,Female,12.4
2010,SH_DTH_NCOM,Croatia,30-70,,Both sexes,18.8
2015,SH_DTH_NCOM,Croatia,30-70,,Female,11.4
2015,SH_DTH_NCOM,Croatia,30-70,,Both sexes,17.6
