Year,SeriesCode,Country,Age,Education level,Location,Quantile,Sex,Value
2017,FB_BNK_ACCSS,Estonia,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,99.17908
2017,FB_BNK_ACCSS,Estonia,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,98.87598
2017,FB_BNK_ACCSS,Estonia,15+,Total or no breakdown,All areas,Total or no breakdown,Female,98.37524
2017,FB_BNK_ACCSS,Estonia,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,97.99397
2021,FB_BNK_ACCSS,Estonia,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,99.60211
2011,FB_BNK_ACCSS,Mexico,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,13.40024
2011,FB_BNK_ACCSS,Mexico,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,28.57091
2011,FB_BNK_ACCSS,Mexico,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,37.94761
2011,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,27.42938
2011,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Total or no breakdown,Female,21.96588
2011,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,36.77986
2011,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Total or no breakdown,Male,33.19209
2011,FB_BNK_ACCSS,Albania,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,28.72926
2011,FB_BNK_ACCSS,Albania,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,15.06175
2011,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,17.51858
2011,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,35.41115
2011,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Female,22.67261
2011,FB_BNK_ACCSS,Albania,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,26.40366
2011,FB_BNK_ACCSS,Albania,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,36.24445
2021,FB_BNK_ACCSS,Estonia,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,99.32228
2021,FB_BNK_ACCSS,Estonia,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,100.0
2021,FB_BNK_ACCSS,Estonia,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,99.45826
2021,FB_BNK_ACCSS,Estonia,15+,Total or no breakdown,All areas,Total or no breakdown,Male,99.12108
2021,FB_BNK_ACCSS,Estonia,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.29225
2021,FB_BNK_ACCSS,Estonia,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.37656
2021,FB_BNK_ACCSS,Estonia,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,98.38579
2021,FB_BNK_ACCSS,Estonia,15+,Total or no breakdown,All areas,Total or no breakdown,Female,99.59705
2011,FB_BNK_ACCSS,Finland,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,99.18926
2011,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.65125
2011,FB_BNK_ACCSS,Finland,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.60315
2011,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Male,99.45905
2011,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,99.92288
2011,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,99.47057
2014,FB_BNK_ACCSS,Australia,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,98.79622
2014,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Female,99.03623
2014,FB_BNK_ACCSS,Australia,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,94.77867
2017,FB_BNK_ACCSS,Australia,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,99.50149
2017,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Male,99.85454
2017,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.51937
2017,FB_BNK_ACCSS,Australia,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,100.0
2011,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,13.36583
2011,FB_BNK_ACCSS,Mexico,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,27.02016
2014,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,29.36303
2014,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Total or no breakdown,Male,39.40008
2014,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,45.6526
2014,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Total or no breakdown,Female,38.89819
2014,FB_BNK_ACCSS,Mexico,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,41.68408
2017,FB_BNK_ACCSS,Australia,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,100.0
2017,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Female,99.19509
2017,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,99.28784
2017,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,99.67348
2017,FB_BNK_ACCSS,Australia,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.44662
2021,FB_BNK_ACCSS,Australia,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,86.47829
2021,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.32315
2014,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,39.14085
2014,FB_BNK_ACCSS,Mexico,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,45.84689
2014,FB_BNK_ACCSS,Mexico,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,32.06006
2014,FB_BNK_ACCSS,Mexico,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,30.03339
2017,FB_BNK_ACCSS,Mexico,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,43.6501
2017,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,36.93192
2017,FB_BNK_ACCSS,Mexico,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,38.37296
2021,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Male,98.59337
2021,FB_BNK_ACCSS,Australia,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,99.79468
2021,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Female,100.0
2021,FB_BNK_ACCSS,Australia,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.2149
2021,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,100.0
2021,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,98.30455
2021,FB_BNK_ACCSS,Australia,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,100.0
2011,FB_BNK_ACCSS,Austria,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,92.54129
2011,FB_BNK_ACCSS,Austria,15+,Total or no breakdown,All areas,Total or no breakdown,Female,96.56331
2011,FB_BNK_ACCSS,Austria,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,97.74355
2011,FB_BNK_ACCSS,Austria,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,97.44667
2011,FB_BNK_ACCSS,Austria,15+,Total or no breakdown,All areas,Total or no breakdown,Male,97.73666
2011,FB_BNK_ACCSS,Austria,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,97.08174
2011,FB_BNK_ACCSS,Austria,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,88.93701
2011,FB_BNK_ACCSS,Austria,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,94.72293
2011,FB_BNK_ACCSS,Austria,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,98.64353
2014,FB_BNK_ACCSS,Austria,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,98.14218
2014,FB_BNK_ACCSS,Austria,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,97.10156
2014,FB_BNK_ACCSS,Austria,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,96.27384
2014,FB_BNK_ACCSS,Austria,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,96.3621
2014,FB_BNK_ACCSS,Austria,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,96.73406
2011,FB_BNK_ACCSS,Finland,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,100.0
2011,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Female,99.8177
2011,FB_BNK_ACCSS,Finland,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,99.85849
2014,FB_BNK_ACCSS,Finland,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,100.0
2014,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Female,100.0
2014,FB_BNK_ACCSS,Finland,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,100.0
2014,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,100.0
2017,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Total or no breakdown,Female,33.28748
2017,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,44.01587
2017,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Total or no breakdown,Male,41.09883
2017,FB_BNK_ACCSS,Mexico,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,25.84821
2017,FB_BNK_ACCSS,Mexico,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,24.47501
2017,FB_BNK_ACCSS,Mexico,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,32.77696
2011,FB_BNK_ACCSS,Moldova,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,22.23805
2014,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,100.0
2014,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Male,100.0
2014,FB_BNK_ACCSS,Finland,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,100.0
2014,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,100.0
2014,FB_BNK_ACCSS,Finland,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,100.0
2017,FB_BNK_ACCSS,Finland,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.75842
2017,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Male,100.0
2017,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,99.46335
2017,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,100.0
2017,FB_BNK_ACCSS,Finland,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,100.0
2017,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Female,99.58627
2017,FB_BNK_ACCSS,Finland,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,100.0
2017,FB_BNK_ACCSS,Finland,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,99.20621
2017,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.78542
2021,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,98.8241
2021,FB_BNK_ACCSS,Finland,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,96.46943
2021,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,100.0
2021,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Male,100.0
2021,FB_BNK_ACCSS,Finland,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,100.0
2021,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.53019
2021,FB_BNK_ACCSS,Finland,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,98.3139
2011,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,28.26813
2011,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Male,33.66468
2014,FB_BNK_ACCSS,Albania,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,56.21789
2014,FB_BNK_ACCSS,Albania,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,29.96477
2014,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Female,33.59423
2014,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,47.37881
2014,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,23.8901
2021,FB_BNK_ACCSS,Finland,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,100.0
2021,FB_BNK_ACCSS,Finland,15+,Total or no breakdown,All areas,Total or no breakdown,Female,99.07851
2011,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,97.85122
2011,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Male,97.48922
2011,FB_BNK_ACCSS,France,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,98.89018
2011,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,95.67548
2011,FB_BNK_ACCSS,France,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,97.6552
2011,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,96.98389
2011,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Female,96.57256
2011,FB_BNK_ACCSS,France,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,96.90095
2011,FB_BNK_ACCSS,France,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,85.67159
2014,FB_BNK_ACCSS,France,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.11544
2014,FB_BNK_ACCSS,France,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,78.87185
2014,FB_BNK_ACCSS,France,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,97.3946
2014,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Female,95.46658
2014,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,96.58276
2014,FB_BNK_ACCSS,France,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,83.36391
2014,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,94.48116
2014,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Male,97.78792
2014,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,97.95702
2017,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,94.35994
2017,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Male,96.97883
2017,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,93.46918
2017,FB_BNK_ACCSS,France,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,79.81686
2017,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,94.00404
2017,FB_BNK_ACCSS,France,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,97.1897
2017,FB_BNK_ACCSS,France,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,70.33167
2017,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Female,91.28713
2017,FB_BNK_ACCSS,France,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,97.91196
2021,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Female,100.0
2021,FB_BNK_ACCSS,France,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.24103
2021,FB_BNK_ACCSS,France,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,99.75761
2021,FB_BNK_ACCSS,France,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.24429
2021,FB_BNK_ACCSS,France,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.24476
2021,FB_BNK_ACCSS,France,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,95.86647
2014,FB_BNK_ACCSS,Albania,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,24.00507
2014,FB_BNK_ACCSS,Albania,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,40.4027
2014,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Male,42.51969
2014,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,37.98635
2017,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Female,38.10296
2017,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,22.75103
2017,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,51.50628
2017,FB_BNK_ACCSS,Albania,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,31.50068
2017,FB_BNK_ACCSS,Albania,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,55.82902
2017,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,40.01517
2017,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Male,42.0435
2017,FB_BNK_ACCSS,Albania,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,42.51325
2017,FB_BNK_ACCSS,Albania,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,27.49701
2021,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,55.40872
2021,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,27.2656
2021,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,Rural,Total or no breakdown,Both sexes,33.07041
2021,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,Urban,Total or no breakdown,Both sexes,50.23685
2021,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Female,45.68611
2021,FB_BNK_ACCSS,Albania,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,34.35557
2021,FB_BNK_ACCSS,Albania,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,44.25974
2021,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Male,42.58516
2021,FB_BNK_ACCSS,Albania,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,44.17418
2021,FB_BNK_ACCSS,Albania,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,56.50374
2021,FB_BNK_ACCSS,Albania,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,43.8671
2011,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,42.60884
2011,FB_BNK_ACCSS,United Arab Emirates,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,73.27468
2011,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,52.89773
2011,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,59.73237
2014,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Total or no breakdown,Male,89.98199
2014,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,84.4114
2014,FB_BNK_ACCSS,United Arab Emirates,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,66.73925
2014,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,83.74332
2014,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,77.69296
2014,FB_BNK_ACCSS,United Arab Emirates,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,88.40415
2014,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,64.42022
2014,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,88.01686
2014,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Total or no breakdown,Female,67.68062
2017,FB_BNK_ACCSS,United Arab Emirates,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,60.20962
2017,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Total or no breakdown,Female,76.41672
2017,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,91.67953
2017,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,70.87875
2017,FB_BNK_ACCSS,United Arab Emirates,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,90.73534
2017,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,82.99037
2017,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,88.21039
2017,FB_BNK_ACCSS,United Arab Emirates,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,88.80617
2017,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Total or no breakdown,Male,92.67216
2021,FB_BNK_ACCSS,United Arab Emirates,15+,Total or no breakdown,All areas,Total or no breakdown,Male,85.39455
