Year,SeriesCode,Country,Level/Status,Value
2017,ER_H2O_IWRMD,Estonia,Total or no breakdown,80.01515
2020,ER_H2O_IWRMD,Estonia,Total or no breakdown,85.0
2017,ER_H2O_IWRMD,Finland,Total or no breakdown,74.63889
2020,ER_H2O_IWRMD,Finland,Total or no breakdown,80.0
2017,ER_H2O_IWRMD,France,Total or no breakdown,100.0
2020,ER_H2O_IWRMD,France,Total or no breakdown,100.0
2017,ER_H2O_IWRMD,Georgia,Total or no breakdown,35.10101
2020,ER_H2O_IWRMD,Georgia,Total or no breakdown,44.0
2017,ER_H2O_IWRMD,Germany,Total or no breakdown,87.98413
2020,ER_H2O_IWRMD,Germany,Total or no breakdown,89.0
2017,ER_H2O_IWRMD,Greece,Total or no breakdown,83.23232
2020,ER_H2O_IWRMD,Greece,Total or no breakdown,86.0
2017,ER_H2O_IWRMD,Hungary,Total or no breakdown,73.28283
2020,ER_H2O_IWRMD,Hungary,Total or no breakdown,75.0
2017,ER_H2O_IWRMD,Iceland,Total or no breakdown,51.875
2020,ER_H2O_IWRMD,Iceland,Total or no breakdown,69.0
2020,ER_H2O_IWRMD,India,Total or no breakdown,45.0
2017,ER_H2O_IWRMD,Ireland,Total or no breakdown,80.5
2020,ER_H2O_IWRMD,Ireland,Total or no breakdown,81.0
2017,ER_H2O_IWRMD,Israel,Total or no breakdown,85.0
2020,ER_H2O_IWRMD,Israel,Total or no breakdown,85.0
2017,ER_H2O_IWRMD,Italy,Total or no breakdown,54.52778
2020,ER_H2O_IWRMD,Italy,Total or no breakdown,77.0
2017,ER_H2O_IWRMD,Japan,Total or no breakdown,93.88889
2020,ER_H2O_IWRMD,Japan,Total or no breakdown,95.0
2017,ER_H2O_IWRMD,Kazakhstan,Total or no breakdown,30.18452
2020,ER_H2O_IWRMD,Kazakhstan,Total or no breakdown,46.0
2017,ER_H2O_IWRMD,Republic of Korea,Total or no breakdown,67.875
2020,ER_H2O_IWRMD,Republic of Korea,Total or no breakdown,76.0
2020,ER_H2O_IWRMD,Kyrgyzstan,Total or no breakdown,31.0
2017,ER_H2O_IWRMD,Latvia,Total or no breakdown,64.25
2020,ER_H2O_IWRMD,Latvia,Total or no breakdown,62.0
2017,ER_H2O_IWRMD,Liechtenstein,Total or no breakdown,70.0
2020,ER_H2O_IWRMD,Liechtenstein,Total or no breakdown,72.0
2017,ER_H2O_IWRMD,Lithuania,Total or no breakdown,56.61806
2020,ER_H2O_IWRMD,Lithuania,Total or no breakdown,61.0
2017,ER_H2O_IWRMD,Luxembourg,Total or no breakdown,90.23413
2020,ER_H2O_IWRMD,Luxembourg,Total or no breakdown,89.0
2017,ER_H2O_IWRMD,Malta,Total or no breakdown,75.25
2020,ER_H2O_IWRMD,Malta,Total or no breakdown,86.0
2017,ER_H2O_IWRMD,Mexico,Total or no breakdown,49.47024
2020,ER_H2O_IWRMD,Mexico,Total or no breakdown,42.0
2017,ER_H2O_IWRMD,Moldova,Total or no breakdown,31.5846
2020,ER_H2O_IWRMD,Moldova,Total or no breakdown,46.0
2017,ER_H2O_IWRMD,Montenegro,Total or no breakdown,34.375
2020,ER_H2O_IWRMD,Montenegro,Total or no breakdown,35.0
2020,ER_H2O_IWRMD,North Macedonia,Total or no breakdown,33.0
2017,ER_H2O_IWRMD,United Kingdom of Great Britain and Northern Ireland,Total or no breakdown,76.65873
2020,ER_H2O_IWRMD,United Kingdom of Great Britain and Northern Ireland,Total or no breakdown,79.0
2017,ER_H2O_IWRMD,Uzbekistan,Total or no breakdown,45.15404
2020,ER_H2O_IWRMD,Uzbekistan,Total or no breakdown,48.0
2020,ER_H2O_IWRMD,Uzbekistan,Total or no breakdown,48.0
