Year,SeriesCode,Country,Education level,Type of skill,Value
2001,SE_TOT_GPI,Moldova,PRIMAR,SKILL_READ,1.08993
2003,SE_TOT_GPI,Moldova,PRIMAR,SKILL_MATH,1.06291
2006,SE_TOT_GPI,Moldova,PRIMAR,SKILL_READ,1.03764
2009,SE_TOT_GPI,Moldova,LOWSEC,SKILL_READ,1.3671
2009,SE_TOT_GPI,Moldova,LOWSEC,SKILL_MATH,0.93907
2015,SE_TOT_GPI,Moldova,LOWSEC,SKILL_MATH,1.02398
2015,SE_TOT_GPI,Moldova,LOWSEC,SKILL_READ,1.33249
2018,SE_TOT_GPI,Moldova,LOWSEC,SKILL_READ,1.2617
2018,SE_TOT_GPI,Moldova,LOWSEC,SKILL_MATH,1.01527
2015,SE_TOT_GPI,Montenegro,LOWSEC,SKILL_READ,1.22279
2015,SE_TOT_GPI,Montenegro,LOWSEC,SKILL_MATH,0.99078
2018,SE_TOT_GPI,Montenegro,LOWSEC,SKILL_READ,1.23899
2018,SE_TOT_GPI,Montenegro,LOWSEC,SKILL_MATH,0.94092
2019,SE_TOT_GPI,Montenegro,PRIMAR,SKILL_MATH,1.06261
2000,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_READ,1.07784
2018,SE_TOT_GPI,Albania,LOWSEC,SKILL_MATH,1.05929
2019,SE_TOT_GPI,Albania,PRIMAR,SKILL_MATH,1.03719
2006,SE_TOT_GPI,Azerbaijan,LOWSEC,SKILL_MATH,1.00735
2006,SE_TOT_GPI,Azerbaijan,LOWSEC,SKILL_READ,1.33119
2009,SE_TOT_GPI,Azerbaijan,LOWSEC,SKILL_READ,1.30068
2009,SE_TOT_GPI,Azerbaijan,LOWSEC,SKILL_MATH,0.88756
2011,SE_TOT_GPI,Azerbaijan,PRIMAR,SKILL_READ,1.05018
2016,SE_TOT_GPI,Azerbaijan,PRIMAR,SKILL_READ,1.06033
2000,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_MATH,0.99659
2001,SE_TOT_GPI,Netherlands (Kingdom of the),PRIMAR,SKILL_READ,1.00675
2003,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_READ,1.06234
2003,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_MATH,0.9833
2003,SE_TOT_GPI,Netherlands (Kingdom of the),PRIMAR,SKILL_MATH,0.97445
2006,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_MATH,0.96555
2006,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_READ,1.07643
2019,SE_TOT_GPI,Azerbaijan,PRIMAR,SKILL_MATH,0.9779
2000,SE_TOT_GPI,Australia,LOWSEC,SKILL_MATH,0.97971
2000,SE_TOT_GPI,Australia,LOWSEC,SKILL_READ,1.08315
2003,SE_TOT_GPI,Australia,PRIMAR,SKILL_MATH,0.92012
2003,SE_TOT_GPI,Australia,LOWSEC,SKILL_MATH,1.01333
2003,SE_TOT_GPI,Australia,GRAD23,SKILL_MATH,0.97984
2003,SE_TOT_GPI,Australia,LOWSEC,SKILL_READ,1.10125
2006,SE_TOT_GPI,Australia,LOWSEC,SKILL_MATH,0.98562
2006,SE_TOT_GPI,Netherlands (Kingdom of the),PRIMAR,SKILL_READ,1.00316
2007,SE_TOT_GPI,Netherlands (Kingdom of the),PRIMAR,SKILL_MATH,0.95226
2009,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_READ,1.08012
2009,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_MATH,0.95111
2011,SE_TOT_GPI,Netherlands (Kingdom of the),PRIMAR,SKILL_READ,1.00219
2011,SE_TOT_GPI,Netherlands (Kingdom of the),PRIMAR,SKILL_MATH,0.97088
2012,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_MATH,0.9776
2012,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_READ,1.07395
2015,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_MATH,1.01169
2015,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_READ,1.0838
2015,SE_TOT_GPI,Netherlands (Kingdom of the),PRIMAR,SKILL_MATH,0.96688
2016,SE_TOT_GPI,Netherlands (Kingdom of the),PRIMAR,SKILL_READ,1.01409
2018,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_READ,1.13037
2018,SE_TOT_GPI,Netherlands (Kingdom of the),LOWSEC,SKILL_MATH,1.0154
2019,SE_TOT_GPI,Netherlands (Kingdom of the),PRIMAR,SKILL_MATH,1.02581
2000,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_READ,1.1106
2000,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_MATH,1.03151
2001,SE_TOT_GPI,New Zealand,PRIMAR,SKILL_READ,1.06116
2003,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_MATH,0.98701
2003,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_READ,1.07639
2003,SE_TOT_GPI,New Zealand,PRIMAR,SKILL_MATH,0.99815
2006,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_MATH,0.99814
2006,SE_TOT_GPI,New Zealand,PRIMAR,SKILL_READ,1.0603
2006,SE_TOT_GPI,Australia,LOWSEC,SKILL_READ,1.11088
2007,SE_TOT_GPI,Australia,PRIMAR,SKILL_MATH,0.88821
2007,SE_TOT_GPI,Australia,GRAD23,SKILL_MATH,0.97237
2009,SE_TOT_GPI,Australia,LOWSEC,SKILL_MATH,0.98936
2009,SE_TOT_GPI,Australia,LOWSEC,SKILL_READ,1.11646
2011,SE_TOT_GPI,Australia,PRIMAR,SKILL_MATH,0.95853
2011,SE_TOT_GPI,Australia,GRAD23,SKILL_MATH,0.97075
2011,SE_TOT_GPI,Australia,GRAD23,SKILL_READ,1.04016
2006,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_READ,1.1079
2007,SE_TOT_GPI,New Zealand,PRIMAR,SKILL_MATH,1.00216
2009,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_MATH,1.00742
2009,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_READ,1.13875
2011,SE_TOT_GPI,New Zealand,PRIMAR,SKILL_READ,1.03831
2011,SE_TOT_GPI,New Zealand,PRIMAR,SKILL_MATH,1.012
2012,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_READ,1.10906
2012,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_MATH,0.97712
2015,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_MATH,1.00142
2015,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_READ,1.11198
2015,SE_TOT_GPI,New Zealand,PRIMAR,SKILL_MATH,0.99079
2016,SE_TOT_GPI,New Zealand,PRIMAR,SKILL_READ,1.05097
2018,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_READ,1.10601
2018,SE_TOT_GPI,New Zealand,LOWSEC,SKILL_MATH,0.99036
2019,SE_TOT_GPI,New Zealand,PRIMAR,SKILL_MATH,1.03811
2000,SE_TOT_GPI,Norway,LOWSEC,SKILL_MATH,0.99045
2012,SE_TOT_GPI,Australia,LOWSEC,SKILL_READ,1.10942
2012,SE_TOT_GPI,Australia,LOWSEC,SKILL_MATH,0.96476
2015,SE_TOT_GPI,Australia,LOWSEC,SKILL_READ,1.10928
2015,SE_TOT_GPI,Australia,PRIMAR,SKILL_MATH,0.97337
2015,SE_TOT_GPI,Australia,LOWSEC,SKILL_MATH,1.00248
2015,SE_TOT_GPI,Australia,GRAD23,SKILL_MATH,0.97431
2016,SE_TOT_GPI,Australia,GRAD23,SKILL_READ,1.03427
2018,SE_TOT_GPI,Australia,LOWSEC,SKILL_MATH,0.99432
2018,SE_TOT_GPI,Australia,LOWSEC,SKILL_READ,1.11276
2019,SE_TOT_GPI,Australia,PRIMAR,SKILL_MATH,1.01318
2019,SE_TOT_GPI,Australia,GRAD23,SKILL_MATH,1.01607
2000,SE_TOT_GPI,Austria,LOWSEC,SKILL_MATH,0.94769
2000,SE_TOT_GPI,Austria,LOWSEC,SKILL_READ,1.07524
2003,SE_TOT_GPI,Austria,LOWSEC,SKILL_READ,1.17384
2003,SE_TOT_GPI,Austria,LOWSEC,SKILL_MATH,1.0098
2006,SE_TOT_GPI,Austria,LOWSEC,SKILL_MATH,0.93513
2000,SE_TOT_GPI,Norway,LOWSEC,SKILL_READ,1.14203
2001,SE_TOT_GPI,Norway,GRAD23,SKILL_READ,1.0609
2003,SE_TOT_GPI,Norway,GRAD23,SKILL_MATH,0.9098
2003,SE_TOT_GPI,Norway,PRIMAR,SKILL_MATH,1.03013
2003,SE_TOT_GPI,Norway,LOWSEC,SKILL_READ,1.15244
2003,SE_TOT_GPI,Norway,LOWSEC,SKILL_MATH,0.99408
2006,SE_TOT_GPI,Norway,LOWSEC,SKILL_MATH,0.99692
2006,SE_TOT_GPI,Norway,LOWSEC,SKILL_READ,1.17066
2006,SE_TOT_GPI,Austria,LOWSEC,SKILL_READ,1.1425
2006,SE_TOT_GPI,Austria,PRIMAR,SKILL_READ,1.01561
2009,SE_TOT_GPI,Austria,LOWSEC,SKILL_READ,1.18711
2009,SE_TOT_GPI,Austria,LOWSEC,SKILL_MATH,0.95283
2011,SE_TOT_GPI,Austria,PRIMAR,SKILL_READ,1.01248
2012,SE_TOT_GPI,Austria,LOWSEC,SKILL_MATH,0.93944
2012,SE_TOT_GPI,Austria,LOWSEC,SKILL_READ,1.15411
2015,SE_TOT_GPI,Austria,LOWSEC,SKILL_READ,1.08066
2015,SE_TOT_GPI,Austria,LOWSEC,SKILL_MATH,0.92642
2016,SE_TOT_GPI,Austria,PRIMAR,SKILL_READ,1.01
2018,SE_TOT_GPI,Austria,LOWSEC,SKILL_MATH,0.98551
2018,SE_TOT_GPI,Austria,LOWSEC,SKILL_READ,1.12816
2019,SE_TOT_GPI,Austria,PRIMAR,SKILL_MATH,1.00884
2003,SE_TOT_GPI,Armenia,PRIMAR,SKILL_MATH,1.10228
2003,SE_TOT_GPI,Armenia,LOWSEC,SKILL_MATH,1.08718
2007,SE_TOT_GPI,Armenia,LOWSEC,SKILL_MATH,1.01353
2006,SE_TOT_GPI,Norway,GRAD23,SKILL_READ,1.04662
2007,SE_TOT_GPI,Norway,GRAD23,SKILL_MATH,0.93219
2007,SE_TOT_GPI,Norway,PRIMAR,SKILL_MATH,1.0486
2009,SE_TOT_GPI,Norway,LOWSEC,SKILL_READ,1.14236
2009,SE_TOT_GPI,Norway,LOWSEC,SKILL_MATH,0.99512
2011,SE_TOT_GPI,Norway,PRIMAR,SKILL_MATH,1.03865
2011,SE_TOT_GPI,Norway,GRAD23,SKILL_MATH,0.94723
2011,SE_TOT_GPI,Norway,GRAD23,SKILL_READ,1.03396
2007,SE_TOT_GPI,Armenia,PRIMAR,SKILL_MATH,1.06291
2011,SE_TOT_GPI,Armenia,LOWSEC,SKILL_MATH,1.09126
2011,SE_TOT_GPI,Armenia,PRIMAR,SKILL_MATH,1.00541
2015,SE_TOT_GPI,Armenia,LOWSEC,SKILL_MATH,1.06809
2015,SE_TOT_GPI,Armenia,PRIMAR,SKILL_MATH,1.04447
2019,SE_TOT_GPI,Armenia,PRIMAR,SKILL_MATH,0.95868
2000,SE_TOT_GPI,Belgium,LOWSEC,SKILL_READ,1.10072
2000,SE_TOT_GPI,Belgium,LOWSEC,SKILL_MATH,1.03309
2012,SE_TOT_GPI,Norway,LOWSEC,SKILL_MATH,1.00731
2012,SE_TOT_GPI,Norway,LOWSEC,SKILL_READ,1.14302
2015,SE_TOT_GPI,Norway,LOWSEC,SKILL_MATH,1.04106
2015,SE_TOT_GPI,Norway,PRIMAR,SKILL_MATH,0.99402
2015,SE_TOT_GPI,Norway,LOWSEC,SKILL_READ,1.12493
2018,SE_TOT_GPI,Norway,LOWSEC,SKILL_MATH,1.05357
2018,SE_TOT_GPI,Norway,LOWSEC,SKILL_READ,1.16083
2019,SE_TOT_GPI,Norway,PRIMAR,SKILL_MATH,0.97838
2019,SE_TOT_GPI,Norway,GRAD23,SKILL_MATH,0.99827
2000,SE_TOT_GPI,Poland,LOWSEC,SKILL_READ,1.17202
2000,SE_TOT_GPI,Poland,LOWSEC,SKILL_MATH,1.04254
2003,SE_TOT_GPI,Poland,LOWSEC,SKILL_READ,1.14663
2003,SE_TOT_GPI,Poland,LOWSEC,SKILL_MATH,1.01629
2006,SE_TOT_GPI,Poland,LOWSEC,SKILL_MATH,0.98244
2006,SE_TOT_GPI,Poland,LOWSEC,SKILL_READ,1.13573
2006,SE_TOT_GPI,Poland,PRIMAR,SKILL_READ,1.03448
2009,SE_TOT_GPI,Poland,LOWSEC,SKILL_READ,1.1642
2009,SE_TOT_GPI,Poland,LOWSEC,SKILL_MATH,1.01622
2011,SE_TOT_GPI,Poland,PRIMAR,SKILL_MATH,0.90102
2011,SE_TOT_GPI,Poland,PRIMAR,SKILL_READ,1.02767
2012,SE_TOT_GPI,Poland,LOWSEC,SKILL_READ,1.11644
2012,SE_TOT_GPI,Poland,LOWSEC,SKILL_MATH,1.01369
2015,SE_TOT_GPI,Poland,LOWSEC,SKILL_MATH,0.9706
2015,SE_TOT_GPI,Poland,PRIMAR,SKILL_MATH,1.01871
2003,SE_TOT_GPI,Belgium,LOWSEC,SKILL_MATH,1.01744
2003,SE_TOT_GPI,Belgium,LOWSEC,SKILL_READ,1.10823
2006,SE_TOT_GPI,Belgium,LOWSEC,SKILL_READ,1.13265
2006,SE_TOT_GPI,Belgium,LOWSEC,SKILL_MATH,1.00819
2009,SE_TOT_GPI,Belgium,LOWSEC,SKILL_MATH,0.94541
2009,SE_TOT_GPI,Belgium,LOWSEC,SKILL_READ,1.08912
2012,SE_TOT_GPI,Belgium,LOWSEC,SKILL_READ,1.09746
2012,SE_TOT_GPI,Belgium,LOWSEC,SKILL_MATH,0.99103
2015,SE_TOT_GPI,Poland,LOWSEC,SKILL_READ,1.10709
2016,SE_TOT_GPI,Poland,PRIMAR,SKILL_READ,1.00816
2018,SE_TOT_GPI,Poland,LOWSEC,SKILL_READ,1.1118
2018,SE_TOT_GPI,Poland,LOWSEC,SKILL_MATH,1.01527
2019,SE_TOT_GPI,Poland,PRIMAR,SKILL_MATH,1.01734
2000,SE_TOT_GPI,Portugal,LOWSEC,SKILL_MATH,0.90845
2000,SE_TOT_GPI,Portugal,LOWSEC,SKILL_READ,1.12832
2003,SE_TOT_GPI,Portugal,LOWSEC,SKILL_READ,1.16928
2003,SE_TOT_GPI,Portugal,LOWSEC,SKILL_MATH,0.96395
2006,SE_TOT_GPI,Portugal,LOWSEC,SKILL_MATH,0.9419
2006,SE_TOT_GPI,Portugal,LOWSEC,SKILL_READ,1.13845
2009,SE_TOT_GPI,Portugal,LOWSEC,SKILL_READ,1.15598
2009,SE_TOT_GPI,Portugal,LOWSEC,SKILL_MATH,0.97272
2011,SE_TOT_GPI,Portugal,PRIMAR,SKILL_MATH,0.98994
2011,SE_TOT_GPI,Portugal,PRIMAR,SKILL_READ,1.02117
2012,SE_TOT_GPI,Portugal,LOWSEC,SKILL_READ,1.14253
2012,SE_TOT_GPI,Portugal,LOWSEC,SKILL_MATH,0.97462
2015,SE_TOT_GPI,Portugal,LOWSEC,SKILL_MATH,0.98978
2015,SE_TOT_GPI,Portugal,LOWSEC,SKILL_READ,1.07318
2015,SE_TOT_GPI,Portugal,PRIMAR,SKILL_MATH,0.96724
2016,SE_TOT_GPI,Portugal,PRIMAR,SKILL_READ,1.00507
2018,SE_TOT_GPI,Portugal,LOWSEC,SKILL_READ,1.10167
2018,SE_TOT_GPI,Portugal,LOWSEC,SKILL_MATH,1.00156
2019,SE_TOT_GPI,Portugal,PRIMAR,SKILL_MATH,1.08196
2000,SE_TOT_GPI,Romania,LOWSEC,SKILL_MATH,1.06986
2000,SE_TOT_GPI,Romania,LOWSEC,SKILL_READ,1.09168
2001,SE_TOT_GPI,Romania,PRIMAR,SKILL_READ,1.04826
2006,SE_TOT_GPI,Romania,PRIMAR,SKILL_READ,1.04419
2006,SE_TOT_GPI,Romania,LOWSEC,SKILL_READ,1.35499
2006,SE_TOT_GPI,Romania,LOWSEC,SKILL_MATH,0.92997
2009,SE_TOT_GPI,Romania,LOWSEC,SKILL_MATH,0.99267
2009,SE_TOT_GPI,Romania,LOWSEC,SKILL_READ,1.29183
2011,SE_TOT_GPI,Romania,PRIMAR,SKILL_READ,1.04518
2011,SE_TOT_GPI,Romania,PRIMAR,SKILL_MATH,1.0167
2012,SE_TOT_GPI,Romania,LOWSEC,SKILL_MATH,0.98724
2012,SE_TOT_GPI,Romania,LOWSEC,SKILL_READ,1.26036
2015,SE_TOT_GPI,Romania,LOWSEC,SKILL_READ,1.09553
2015,SE_TOT_GPI,Romania,LOWSEC,SKILL_MATH,0.99687
2018,SE_TOT_GPI,Romania,LOWSEC,SKILL_MATH,0.98044
2018,SE_TOT_GPI,Romania,LOWSEC,SKILL_READ,1.21598
2015,SE_TOT_GPI,Belgium,LOWSEC,SKILL_READ,1.06081
2015,SE_TOT_GPI,Belgium,LOWSEC,SKILL_MATH,0.97194
2018,SE_TOT_GPI,Belgium,LOWSEC,SKILL_READ,1.08403
2018,SE_TOT_GPI,Belgium,LOWSEC,SKILL_MATH,0.96677
2019,SE_TOT_GPI,Belgium,PRIMAR,SKILL_MATH,1.05249
2018,SE_TOT_GPI,Bosnia and Herzegovina,LOWSEC,SKILL_READ,1.30087
2019,SE_TOT_GPI,Bosnia and Herzegovina,PRIMAR,SKILL_MATH,1.14329
2000,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_READ,1.29208
2003,SE_TOT_GPI,Serbia,LOWSEC,SKILL_MATH,1.04094
2003,SE_TOT_GPI,Serbia,LOWSEC,SKILL_READ,1.3532
2006,SE_TOT_GPI,Serbia,LOWSEC,SKILL_READ,1.33459
2006,SE_TOT_GPI,Serbia,LOWSEC,SKILL_MATH,1.00573
2009,SE_TOT_GPI,Serbia,LOWSEC,SKILL_MATH,0.95524
2009,SE_TOT_GPI,Serbia,LOWSEC,SKILL_READ,1.25503
2011,SE_TOT_GPI,Serbia,PRIMAR,SKILL_MATH,0.97745
2012,SE_TOT_GPI,Serbia,LOWSEC,SKILL_MATH,0.95098
2000,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_MATH,1.04369
2001,SE_TOT_GPI,Bulgaria,PRIMAR,SKILL_READ,1.03467
2006,SE_TOT_GPI,Bulgaria,PRIMAR,SKILL_READ,1.03246
2006,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_MATH,1.06934
2006,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_READ,1.34497
2009,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_READ,1.32209
2009,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_MATH,1.04109
2011,SE_TOT_GPI,Bulgaria,PRIMAR,SKILL_READ,1.02644
2012,SE_TOT_GPI,Serbia,LOWSEC,SKILL_READ,1.25294
2015,SE_TOT_GPI,Serbia,PRIMAR,SKILL_MATH,1.01344
2018,SE_TOT_GPI,Serbia,LOWSEC,SKILL_MATH,1.01448
2018,SE_TOT_GPI,Serbia,LOWSEC,SKILL_READ,1.21748
2019,SE_TOT_GPI,Serbia,PRIMAR,SKILL_MATH,0.97051
2001,SE_TOT_GPI,Slovakia,PRIMAR,SKILL_READ,1.02802
2003,SE_TOT_GPI,Slovakia,LOWSEC,SKILL_MATH,0.95206
2003,SE_TOT_GPI,Slovakia,LOWSEC,SKILL_READ,1.15191
2012,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_MATH,1.04971
2012,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_READ,1.32772
2015,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_READ,1.25551
2015,SE_TOT_GPI,Bulgaria,PRIMAR,SKILL_MATH,1.02935
2015,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_MATH,1.04663
2016,SE_TOT_GPI,Bulgaria,PRIMAR,SKILL_READ,1.01655
2018,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_MATH,1.0281
2018,SE_TOT_GPI,Bulgaria,LOWSEC,SKILL_READ,1.27451
2006,SE_TOT_GPI,Slovakia,LOWSEC,SKILL_READ,1.18604
2006,SE_TOT_GPI,Slovakia,LOWSEC,SKILL_MATH,0.95175
2006,SE_TOT_GPI,Slovakia,PRIMAR,SKILL_READ,1.01415
2009,SE_TOT_GPI,Slovakia,LOWSEC,SKILL_MATH,1.00983
2009,SE_TOT_GPI,Slovakia,LOWSEC,SKILL_READ,1.22293
