Year,SeriesCode,Country,Quantile,Value
2013,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),44.48992
2013,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),34.41062
2013,SI_COV_SOCAST,Armenia,Total or no breakdown,24.6327
2014,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),40.12106
2014,SI_COV_SOCAST,Armenia,Total or no breakdown,28.39567
2015,SI_COV_SOCAST,Armenia,Total or no breakdown,29.52676
2015,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),43.67296
2016,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),47.29493
2016,SI_COV_SOCAST,Armenia,Total or no breakdown,33.3801
2014,SI_COV_SOCAST,Türkiye,Total or no breakdown,17.67576
2014,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),46.25669
2015,SI_COV_SOCAST,Türkiye,Total or no breakdown,17.10041
2015,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),47.76452
2016,SI_COV_SOCAST,Türkiye,Total or no breakdown,17.96038
2016,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),51.28705
2018,SI_COV_SOCAST,Türkiye,Total or no breakdown,15.52557
2018,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),40.27853
2017,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),47.6955
2017,SI_COV_SOCAST,Armenia,Total or no breakdown,35.07955
2018,SI_COV_SOCAST,Armenia,Quantile 1 (poorest),42.4913
2018,SI_COV_SOCAST,Armenia,Total or no breakdown,29.45044
2007,SI_COV_SOCAST,Bosnia and Herzegovina,Total or no breakdown,20.50947
2007,SI_COV_SOCAST,Bosnia and Herzegovina,Quantile 1 (poorest),21.83457
2015,SI_COV_SOCAST,Bosnia and Herzegovina,Quantile 1 (poorest),23.19303
2015,SI_COV_SOCAST,Bosnia and Herzegovina,Total or no breakdown,17.4175
2019,SI_COV_SOCAST,Türkiye,Total or no breakdown,14.45786
2019,SI_COV_SOCAST,Türkiye,Quantile 1 (poorest),39.61016
2006,SI_COV_SOCAST,Ukraine,Total or no breakdown,47.44563
2006,SI_COV_SOCAST,Ukraine,Quantile 1 (poorest),53.49715
2011,SI_COV_SOCAST,Ukraine,Total or no breakdown,48.98668
2011,SI_COV_SOCAST,Ukraine,Quantile 1 (poorest),58.00682
2012,SI_COV_SOCAST,Ukraine,Total or no breakdown,49.51679
2012,SI_COV_SOCAST,Ukraine,Quantile 1 (poorest),58.58967
2013,SI_COV_SOCAST,Ukraine,Total or no breakdown,48.07396
2013,SI_COV_SOCAST,Ukraine,Quantile 1 (poorest),58.09023
2015,SI_COV_SOCAST,Ukraine,Total or no breakdown,36.62819
2015,SI_COV_SOCAST,Ukraine,Quantile 1 (poorest),46.96692
2016,SI_COV_SOCAST,Ukraine,Total or no breakdown,34.74451
2016,SI_COV_SOCAST,Ukraine,Quantile 1 (poorest),39.73668
2018,SI_COV_SOCAST,Ukraine,Total or no breakdown,30.1669
2018,SI_COV_SOCAST,Ukraine,Quantile 1 (poorest),41.55535
2007,SI_COV_SOCAST,Bulgaria,Total or no breakdown,39.53489
2007,SI_COV_SOCAST,Bulgaria,Quantile 1 (poorest),57.58197
2008,SI_COV_SOCAST,Belarus,Total or no breakdown,59.94743
2008,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),69.87466
2009,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),71.10539
2009,SI_COV_SOCAST,Belarus,Total or no breakdown,58.55187
2010,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),68.86802
2010,SI_COV_SOCAST,Belarus,Total or no breakdown,58.2791
2012,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),66.19946
2012,SI_COV_SOCAST,Belarus,Total or no breakdown,57.30478
2013,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),62.91737
2013,SI_COV_SOCAST,Belarus,Total or no breakdown,54.09911
2014,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),66.39224
2014,SI_COV_SOCAST,Belarus,Total or no breakdown,55.23861
2015,SI_COV_SOCAST,Belarus,Total or no breakdown,52.7002
2015,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),60.86168
2016,SI_COV_SOCAST,Belarus,Total or no breakdown,54.08126
2016,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),64.8575
2017,SI_COV_SOCAST,Belarus,Total or no breakdown,53.52727
2017,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),61.79156
2018,SI_COV_SOCAST,Belarus,Total or no breakdown,49.06598
2018,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),55.08405
2019,SI_COV_SOCAST,Belarus,Total or no breakdown,47.07458
2019,SI_COV_SOCAST,Belarus,Quantile 1 (poorest),61.23793
2006,SI_COV_SOCAST,Chile,Quantile 1 (poorest),94.3654
2006,SI_COV_SOCAST,Chile,Total or no breakdown,76.94376
2009,SI_COV_SOCAST,Chile,Quantile 1 (poorest),93.3232
2009,SI_COV_SOCAST,Chile,Total or no breakdown,77.89655
2011,SI_COV_SOCAST,Chile,Quantile 1 (poorest),94.08615
2011,SI_COV_SOCAST,Chile,Total or no breakdown,77.42603
2013,SI_COV_SOCAST,Chile,Total or no breakdown,74.69486
2013,SI_COV_SOCAST,Chile,Quantile 1 (poorest),92.95161
2015,SI_COV_SOCAST,Chile,Quantile 1 (poorest),89.33721
2015,SI_COV_SOCAST,Chile,Total or no breakdown,71.56242
2017,SI_COV_SOCAST,Chile,Quantile 1 (poorest),95.87274
2017,SI_COV_SOCAST,Chile,Total or no breakdown,82.60617
2013,SI_COV_SOCAST,China,Total or no breakdown,43.81318
2013,SI_COV_SOCAST,China,Quantile 1 (poorest),65.03974
2010,SI_COV_SOCAST,Colombia,Quantile 1 (poorest),65.83488
2010,SI_COV_SOCAST,Colombia,Total or no breakdown,44.79681
2011,SI_COV_SOCAST,Colombia,Quantile 1 (poorest),63.33681
2011,SI_COV_SOCAST,Colombia,Total or no breakdown,43.98663
2012,SI_COV_SOCAST,Colombia,Total or no breakdown,41.7057
2012,SI_COV_SOCAST,Colombia,Quantile 1 (poorest),61.08944
2014,SI_COV_SOCAST,Colombia,Quantile 1 (poorest),81.35497
2014,SI_COV_SOCAST,Colombia,Total or no breakdown,59.25074
2015,SI_COV_SOCAST,Colombia,Quantile 1 (poorest),52.58138
2015,SI_COV_SOCAST,Colombia,Total or no breakdown,26.35351
2016,SI_COV_SOCAST,Colombia,Quantile 1 (poorest),49.47548
2016,SI_COV_SOCAST,Colombia,Total or no breakdown,24.37731
2017,SI_COV_SOCAST,Colombia,Total or no breakdown,23.58645
2017,SI_COV_SOCAST,Colombia,Quantile 1 (poorest),48.09179
2018,SI_COV_SOCAST,Colombia,Quantile 1 (poorest),45.72828
2018,SI_COV_SOCAST,Colombia,Total or no breakdown,22.16488
2019,SI_COV_SOCAST,Colombia,Total or no breakdown,21.23723
2019,SI_COV_SOCAST,Colombia,Quantile 1 (poorest),43.01952
2008,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),79.0496
2008,SI_COV_SOCAST,Costa Rica,Total or no breakdown,54.25786
2009,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),74.90464
2009,SI_COV_SOCAST,Costa Rica,Total or no breakdown,52.60413
2010,SI_COV_SOCAST,Costa Rica,Total or no breakdown,48.80938
2010,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),77.10853
2011,SI_COV_SOCAST,Costa Rica,Total or no breakdown,48.77952
2011,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),78.07735
2012,SI_COV_SOCAST,Costa Rica,Total or no breakdown,47.46083
2012,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),75.03419
2014,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),77.71158
2014,SI_COV_SOCAST,Costa Rica,Total or no breakdown,45.85029
2015,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),81.25194
2015,SI_COV_SOCAST,Costa Rica,Total or no breakdown,52.70248
2016,SI_COV_SOCAST,Costa Rica,Total or no breakdown,54.18097
2016,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),82.3031
2017,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),83.59783
2017,SI_COV_SOCAST,Costa Rica,Total or no breakdown,54.69645
2018,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),85.76971
2018,SI_COV_SOCAST,Costa Rica,Total or no breakdown,54.85427
2019,SI_COV_SOCAST,Costa Rica,Quantile 1 (poorest),84.82443
2019,SI_COV_SOCAST,Costa Rica,Total or no breakdown,54.17979
2008,SI_COV_SOCAST,Croatia,Quantile 1 (poorest),46.32311
2008,SI_COV_SOCAST,Croatia,Total or no breakdown,23.31134
2010,SI_COV_SOCAST,Croatia,Quantile 1 (poorest),47.88995
2010,SI_COV_SOCAST,Croatia,Total or no breakdown,24.56946
2011,SI_COV_SOCAST,Croatia,Quantile 1 (poorest),44.72124
2011,SI_COV_SOCAST,Croatia,Total or no breakdown,20.54094
2014,SI_COV_SOCAST,Croatia,Quantile 1 (poorest),58.88799
2014,SI_COV_SOCAST,Croatia,Total or no breakdown,27.49872
2011,SI_COV_SOCAST,Georgia,Total or no breakdown,64.63778
2011,SI_COV_SOCAST,Georgia,Quantile 1 (poorest),77.7593
2016,SI_COV_SOCAST,Georgia,Total or no breakdown,64.26904
2016,SI_COV_SOCAST,Georgia,Quantile 1 (poorest),70.59166
2018,SI_COV_SOCAST,Georgia,Quantile 1 (poorest),75.75434
2018,SI_COV_SOCAST,Georgia,Total or no breakdown,63.5544
2007,SI_COV_SOCAST,Hungary,Quantile 1 (poorest),81.3064
2007,SI_COV_SOCAST,Hungary,Total or no breakdown,59.53975
2004,SI_COV_SOCAST,India,Total or no breakdown,24.0323
2004,SI_COV_SOCAST,India,Quantile 1 (poorest),29.06916
2009,SI_COV_SOCAST,India,Quantile 1 (poorest),20.7544
2009,SI_COV_SOCAST,India,Total or no breakdown,17.24392
2011,SI_COV_SOCAST,India,Total or no breakdown,93.24983
2011,SI_COV_SOCAST,India,Quantile 1 (poorest),95.63239
2007,SI_COV_SOCAST,Kazakhstan,Total or no breakdown,29.09089
2007,SI_COV_SOCAST,Kazakhstan,Quantile 1 (poorest),42.15873
2010,SI_COV_SOCAST,Kazakhstan,Total or no breakdown,33.5863
2010,SI_COV_SOCAST,Kazakhstan,Quantile 1 (poorest),45.00007
2014,SI_COV_SOCAST,Kazakhstan,Total or no breakdown,66.09539
2014,SI_COV_SOCAST,Kazakhstan,Quantile 1 (poorest),74.33816
2015,SI_COV_SOCAST,Kazakhstan,Total or no breakdown,30.62083
2015,SI_COV_SOCAST,Kazakhstan,Quantile 1 (poorest),44.57739
2017,SI_COV_SOCAST,Kazakhstan,Total or no breakdown,24.71827
2017,SI_COV_SOCAST,Kazakhstan,Quantile 1 (poorest),36.18724
2006,SI_COV_SOCAST,Kyrgyzstan,Total or no breakdown,8.11491
2006,SI_COV_SOCAST,Kyrgyzstan,Quantile 1 (poorest),15.73379
2011,SI_COV_SOCAST,Kyrgyzstan,Total or no breakdown,8.47452
2011,SI_COV_SOCAST,Kyrgyzstan,Quantile 1 (poorest),15.64788
2012,SI_COV_SOCAST,Kyrgyzstan,Total or no breakdown,7.29997
2012,SI_COV_SOCAST,Kyrgyzstan,Quantile 1 (poorest),11.41397
2013,SI_COV_SOCAST,Kyrgyzstan,Total or no breakdown,7.17786
2013,SI_COV_SOCAST,Kyrgyzstan,Quantile 1 (poorest),13.29337
2008,SI_COV_SOCAST,Latvia,Quantile 1 (poorest),39.73672
2008,SI_COV_SOCAST,Latvia,Total or no breakdown,38.96896
2009,SI_COV_SOCAST,Latvia,Total or no breakdown,50.81146
2009,SI_COV_SOCAST,Latvia,Quantile 1 (poorest),67.16637
2018,SI_COV_SOCAST,Uzbekistan,Quantile 1 (poorest),10.34976
2018,SI_COV_SOCAST,Uzbekistan,Total or no breakdown,6.69206
2018,SI_COV_SOCAST,Uzbekistan,Total or no breakdown,6.69206
