Year,SeriesCode,Country,Migratory status,Sex,Value
2013,SL_EMP_INJUR,Finland,Total or no breakdown,Male,2586.97
2013,SL_EMP_INJUR,Finland,NONMIG,Male,2643.76
2013,SL_EMP_INJUR,Finland,Total or no breakdown,Female,1238.22
2010,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1166.47
2010,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,912.5
2011,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,907.49
2011,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1148.93
2011,SL_EMP_INJUR,Australia,Total or no breakdown,Female,641.6
2012,SL_EMP_INJUR,Australia,Total or no breakdown,Female,757.42
2013,SL_EMP_INJUR,Finland,NONMIG,Female,1262.68
2014,SL_EMP_INJUR,Finland,Total or no breakdown,Both sexes,1824.89
2014,SL_EMP_INJUR,Finland,NONMIG,Both sexes,1867.54
2014,SL_EMP_INJUR,Finland,Total or no breakdown,Male,2438.76
2014,SL_EMP_INJUR,Finland,NONMIG,Male,2509.02
2014,SL_EMP_INJUR,Finland,Total or no breakdown,Female,1175.7
2002,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,4016.0
2002,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1884.0
2003,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,5516.0
2003,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,3931.0
2003,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1807.0
2004,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,3947.0
2004,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,5448.0
2004,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1896.0
2014,SL_EMP_INJUR,Finland,NONMIG,Female,1197.96
2015,SL_EMP_INJUR,Finland,NONMIG,Male,2317.91
2015,SL_EMP_INJUR,Finland,Total or no breakdown,Female,1161.86
2015,SL_EMP_INJUR,Finland,NONMIG,Female,1187.02
2015,SL_EMP_INJUR,Finland,Total or no breakdown,Both sexes,1726.44
2015,SL_EMP_INJUR,Finland,NONMIG,Both sexes,1764.09
2015,SL_EMP_INJUR,Finland,Total or no breakdown,Male,2263.59
2016,SL_EMP_INJUR,Finland,Total or no breakdown,Both sexes,1676.29
2017,SL_EMP_INJUR,Finland,Total or no breakdown,Both sexes,1699.0
2018,SL_EMP_INJUR,Finland,NONMIG,Female,1125.73
2018,SL_EMP_INJUR,Finland,Total or no breakdown,Both sexes,1636.94
2018,SL_EMP_INJUR,Finland,MIGPER,Both sexes,1340.59
2018,SL_EMP_INJUR,Finland,NONMIG,Both sexes,1649.38
2018,SL_EMP_INJUR,Finland,Total or no breakdown,Male,2125.85
2018,SL_EMP_INJUR,Finland,MIGPER,Male,1827.12
2018,SL_EMP_INJUR,Finland,NONMIG,Male,2141.77
2018,SL_EMP_INJUR,Finland,Total or no breakdown,Female,1110.36
2018,SL_EMP_INJUR,Finland,MIGPER,Female,657.14
2019,SL_EMP_INJUR,Finland,NONMIG,Both sexes,1810.17
2019,SL_EMP_INJUR,Finland,Total or no breakdown,Male,2262.83
2019,SL_EMP_INJUR,Finland,MIGPER,Male,1774.63
2019,SL_EMP_INJUR,Finland,NONMIG,Male,2287.25
2019,SL_EMP_INJUR,Finland,Total or no breakdown,Female,1279.08
2019,SL_EMP_INJUR,Finland,MIGPER,Female,669.57
2005,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1885.0
2005,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,5354.0
2005,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,3867.0
2006,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1896.0
2006,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,3996.0
2006,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,5448.0
2007,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,3965.0
2007,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,5366.0
2012,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1252.18
2012,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1016.4
2013,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1011.47
2013,SL_EMP_INJUR,Australia,Total or no breakdown,Female,756.43
2013,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1243.23
2014,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1121.49
2019,SL_EMP_INJUR,Finland,NONMIG,Female,1302.98
2019,SL_EMP_INJUR,Finland,MIGPER,Both sexes,1336.61
2019,SL_EMP_INJUR,Finland,Total or no breakdown,Both sexes,1788.51
2020,SL_EMP_INJUR,Finland,Total or no breakdown,Male,1684.99
2020,SL_EMP_INJUR,Finland,MIGPER,Male,1001.39
2020,SL_EMP_INJUR,Finland,NONMIG,Male,1725.1
2020,SL_EMP_INJUR,Finland,Total or no breakdown,Female,939.0
2020,SL_EMP_INJUR,Finland,MIGPER,Female,347.92
2020,SL_EMP_INJUR,Finland,NONMIG,Female,963.73
2020,SL_EMP_INJUR,Finland,Total or no breakdown,Both sexes,1327.01
2020,SL_EMP_INJUR,Finland,MIGPER,Both sexes,740.0
2020,SL_EMP_INJUR,Finland,NONMIG,Both sexes,1357.25
2021,SL_EMP_INJUR,Finland,Total or no breakdown,Both sexes,1636.56
2021,SL_EMP_INJUR,Finland,MIGPER,Both sexes,786.05
2021,SL_EMP_INJUR,Finland,NONMIG,Both sexes,1683.17
2021,SL_EMP_INJUR,Finland,Total or no breakdown,Male,2055.51
2021,SL_EMP_INJUR,Finland,MIGPER,Male,961.25
2021,SL_EMP_INJUR,Finland,NONMIG,Male,2127.47
2014,SL_EMP_INJUR,Australia,Total or no breakdown,Female,682.34
2014,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,912.78
2015,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1328.8
2015,SL_EMP_INJUR,Australia,Total or no breakdown,Female,768.7
2015,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,1054.5
2016,SL_EMP_INJUR,Australia,Total or no breakdown,Female,694.7
2007,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,2117.0
2009,SL_EMP_INJUR,Portugal,NONMIG,Male,3788.27
2009,SL_EMP_INJUR,Portugal,NONMIG,Both sexes,2541.29
2009,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,2673.13
2009,SL_EMP_INJUR,Portugal,NONMIG,Female,1120.73
2016,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1152.5
2016,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,933.1
2017,SL_EMP_INJUR,Australia,Total or no breakdown,Both sexes,898.72
2017,SL_EMP_INJUR,Australia,Total or no breakdown,Male,1068.4
2017,SL_EMP_INJUR,Australia,Total or no breakdown,Female,708.13
2004,SL_EMP_INJUR,Austria,Total or no breakdown,Female,1829.0
2009,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,3993.58
2009,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1173.66
2010,SL_EMP_INJUR,Portugal,NONMIG,Female,1156.02
2010,SL_EMP_INJUR,Portugal,NONMIG,Male,3838.0
2010,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,2616.84
2004,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,3890.0
2004,SL_EMP_INJUR,Austria,Total or no breakdown,Male,5560.0
2005,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,3847.0
2005,SL_EMP_INJUR,Austria,Total or no breakdown,Male,5486.0
2005,SL_EMP_INJUR,Austria,Total or no breakdown,Female,1831.0
2006,SL_EMP_INJUR,Austria,Total or no breakdown,Male,5611.0
2010,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1178.16
2010,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,3886.56
2010,SL_EMP_INJUR,Portugal,NONMIG,Both sexes,2584.57
2011,SL_EMP_INJUR,Portugal,NONMIG,Female,1744.74
2011,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1787.38
2006,SL_EMP_INJUR,Austria,Total or no breakdown,Female,1855.0
2006,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,3925.0
2007,SL_EMP_INJUR,Austria,Total or no breakdown,Male,5069.0
2007,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,3584.0
2007,SL_EMP_INJUR,Austria,Total or no breakdown,Female,1761.0
2008,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,4098.0
2011,SL_EMP_INJUR,Portugal,NONMIG,Male,4331.89
2011,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,4406.08
2011,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,3322.14
2011,SL_EMP_INJUR,Portugal,NONMIG,Both sexes,3265.86
2012,SL_EMP_INJUR,Portugal,NONMIG,Female,1886.65
2008,SL_EMP_INJUR,Austria,Total or no breakdown,Male,5803.0
2008,SL_EMP_INJUR,Austria,Total or no breakdown,Female,2017.0
2009,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1933.98
2010,SL_EMP_INJUR,Austria,Total or no breakdown,Male,2777.32
2010,SL_EMP_INJUR,Austria,NONMIG,Both sexes,1861.58
2010,SL_EMP_INJUR,Austria,NONMIG,Female,886.19
2012,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,3215.64
2012,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1906.75
2012,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,4176.53
2012,SL_EMP_INJUR,Portugal,NONMIG,Both sexes,3174.07
2012,SL_EMP_INJUR,Portugal,NONMIG,Male,4109.13
2021,SL_EMP_INJUR,Finland,Total or no breakdown,Female,1185.5
2021,SL_EMP_INJUR,Finland,MIGPER,Female,500.0
2021,SL_EMP_INJUR,Finland,NONMIG,Female,1213.99
2000,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,4407.13
2001,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,4279.3
2002,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,4300.0
2003,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,4090.2
2004,SL_EMP_INJUR,France,Total or no breakdown,Male,7358.0
2004,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,3948.9
2004,SL_EMP_INJUR,France,Total or no breakdown,Female,3120.0
2005,SL_EMP_INJUR,France,Total or no breakdown,Male,7127.0
2005,SL_EMP_INJUR,France,Total or no breakdown,Female,2868.0
2005,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,3910.0
2006,SL_EMP_INJUR,France,Total or no breakdown,Female,2979.0
2006,SL_EMP_INJUR,France,Total or no breakdown,Male,6891.0
2013,SL_EMP_INJUR,Portugal,NONMIG,Female,1682.87
2013,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,2780.05
2013,SL_EMP_INJUR,Portugal,NONMIG,Both sexes,2742.17
2013,SL_EMP_INJUR,Portugal,NONMIG,Male,3730.15
2013,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1708.71
2013,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,3782.37
2014,SL_EMP_INJUR,Portugal,NONMIG,Female,1699.81
2014,SL_EMP_INJUR,Portugal,NONMIG,Male,3964.21
2014,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,2892.64
2014,SL_EMP_INJUR,Portugal,NONMIG,Both sexes,2870.29
2014,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1704.2
2014,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,4009.61
2006,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,3939.8
2007,SL_EMP_INJUR,France,Total or no breakdown,Female,3009.0
2007,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,3943.1
2007,SL_EMP_INJUR,France,Total or no breakdown,Male,6498.0
2008,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,3803.52
2009,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,2303.37
2009,SL_EMP_INJUR,France,NONMIG,Male,2735.89
2010,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1914.22
2010,SL_EMP_INJUR,Austria,Total or no breakdown,Female,915.53
2010,SL_EMP_INJUR,Austria,NONMIG,Male,2708.51
2011,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1810.06
2011,SL_EMP_INJUR,Austria,NONMIG,Both sexes,1721.13
2015,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,2954.23
2015,SL_EMP_INJUR,Portugal,NONMIG,Both sexes,2914.81
2015,SL_EMP_INJUR,Portugal,NONMIG,Female,1774.55
2015,SL_EMP_INJUR,Portugal,Total or no breakdown,Male,4049.84
2015,SL_EMP_INJUR,Portugal,NONMIG,Male,3991.96
2015,SL_EMP_INJUR,Portugal,Total or no breakdown,Female,1799.26
2011,SL_EMP_INJUR,Austria,NONMIG,Female,815.67
2011,SL_EMP_INJUR,Austria,Total or no breakdown,Male,2570.27
2011,SL_EMP_INJUR,Austria,Total or no breakdown,Female,856.34
2011,SL_EMP_INJUR,Austria,NONMIG,Male,2448.31
2012,SL_EMP_INJUR,Austria,Total or no breakdown,Female,720.19
2016,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,2932.15
2017,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,2848.41
2018,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,2680.15
2019,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,2680.94
2020,SL_EMP_INJUR,Portugal,Total or no breakdown,Both sexes,2259.94
2000,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,94.0
2001,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,98.81
2012,SL_EMP_INJUR,Austria,NONMIG,Male,2224.28
2012,SL_EMP_INJUR,Austria,NONMIG,Both sexes,1502.72
2012,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1602.05
2012,SL_EMP_INJUR,Austria,NONMIG,Female,675.72
2012,SL_EMP_INJUR,Austria,Total or no breakdown,Male,2367.01
2002,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,94.0
2003,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,91.0
2004,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,89.0
2005,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,76.17
2006,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,77.9
2007,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,76.39
2008,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,80.0
2009,SL_EMP_INJUR,Romania,NONMIG,Male,54.2
2013,SL_EMP_INJUR,Austria,NONMIG,Both sexes,1398.07
2013,SL_EMP_INJUR,Austria,Total or no breakdown,Female,685.25
2013,SL_EMP_INJUR,Austria,NONMIG,Female,628.63
2013,SL_EMP_INJUR,Austria,Total or no breakdown,Male,2305.7
2013,SL_EMP_INJUR,Austria,NONMIG,Male,2075.52
2013,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1548.37
2014,SL_EMP_INJUR,Austria,Total or no breakdown,Female,726.0
2014,SL_EMP_INJUR,Austria,NONMIG,Both sexes,1441.84
2014,SL_EMP_INJUR,Austria,NONMIG,Female,668.77
2014,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1590.64
2009,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,38.48
2009,SL_EMP_INJUR,Romania,NONMIG,Both sexes,38.34
2009,SL_EMP_INJUR,Romania,Total or no breakdown,Male,54.43
2009,SL_EMP_INJUR,Romania,NONMIG,Female,18.82
2009,SL_EMP_INJUR,Romania,Total or no breakdown,Female,18.85
2010,SL_EMP_INJUR,Romania,NONMIG,Both sexes,47.85
2014,SL_EMP_INJUR,Austria,NONMIG,Male,2129.51
2014,SL_EMP_INJUR,Austria,Total or no breakdown,Male,2360.79
2015,SL_EMP_INJUR,Austria,Total or no breakdown,Female,683.26
2015,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1475.99
2015,SL_EMP_INJUR,Austria,NONMIG,Female,625.15
2009,SL_EMP_INJUR,France,Total or no breakdown,Female,1487.45
2009,SL_EMP_INJUR,France,NONMIG,Female,1355.03
2009,SL_EMP_INJUR,France,Total or no breakdown,Male,3041.7
2009,SL_EMP_INJUR,France,NONMIG,Both sexes,2076.26
2010,SL_EMP_INJUR,France,NONMIG,Male,3194.85
2010,SL_EMP_INJUR,France,Total or no breakdown,Male,3523.97
2015,SL_EMP_INJUR,Austria,NONMIG,Both sexes,1330.47
2015,SL_EMP_INJUR,Austria,Total or no breakdown,Male,2182.02
2015,SL_EMP_INJUR,Austria,NONMIG,Male,1963.63
2016,SL_EMP_INJUR,Austria,Total or no breakdown,Female,918.0
2016,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1952.0
2016,SL_EMP_INJUR,Austria,Total or no breakdown,Male,2796.0
2010,SL_EMP_INJUR,France,NONMIG,Both sexes,2358.61
2010,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,2602.17
2010,SL_EMP_INJUR,France,NONMIG,Female,1517.81
2010,SL_EMP_INJUR,France,Total or no breakdown,Female,1663.37
2011,SL_EMP_INJUR,France,NONMIG,Both sexes,3074.14
2011,SL_EMP_INJUR,France,NONMIG,Female,2152.95
2017,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1630.08
2018,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1463.97
2019,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1433.65
2020,SL_EMP_INJUR,Austria,Total or no breakdown,Both sexes,1416.53
2013,SL_EMP_INJUR,Armenia,Total or no breakdown,Both sexes,45.79
2013,SL_EMP_INJUR,Armenia,Total or no breakdown,Female,6.95
2011,SL_EMP_INJUR,France,NONMIG,Male,3874.39
2011,SL_EMP_INJUR,France,Total or no breakdown,Female,2346.39
2011,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,3378.38
2011,SL_EMP_INJUR,France,Total or no breakdown,Male,4261.99
2012,SL_EMP_INJUR,France,NONMIG,Female,1569.97
2012,SL_EMP_INJUR,France,Total or no breakdown,Female,1709.61
2013,SL_EMP_INJUR,Armenia,Total or no breakdown,Male,72.08
2018,SL_EMP_INJUR,Armenia,Total or no breakdown,Male,69.75
2018,SL_EMP_INJUR,Armenia,Total or no breakdown,Both sexes,50.0
2018,SL_EMP_INJUR,Armenia,Total or no breakdown,Female,13.05
2019,SL_EMP_INJUR,Armenia,Total or no breakdown,Both sexes,35.06
2012,SL_EMP_INJUR,France,NONMIG,Male,3142.62
2012,SL_EMP_INJUR,France,NONMIG,Both sexes,2356.89
2012,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,2573.71
2012,SL_EMP_INJUR,France,Total or no breakdown,Male,3424.12
2013,SL_EMP_INJUR,France,Total or no breakdown,Female,1683.27
2013,SL_EMP_INJUR,France,NONMIG,Male,2572.16
2019,SL_EMP_INJUR,Armenia,Total or no breakdown,Male,53.28
2020,SL_EMP_INJUR,Armenia,Total or no breakdown,Both sexes,29.4
2020,SL_EMP_INJUR,Armenia,Total or no breakdown,Female,0.0
2020,SL_EMP_INJUR,Armenia,Total or no breakdown,Male,45.68
2000,SL_EMP_INJUR,Belgium,Total or no breakdown,Both sexes,5071.83
2010,SL_EMP_INJUR,Romania,Total or no breakdown,Both sexes,47.98
2010,SL_EMP_INJUR,Romania,Total or no breakdown,Male,69.74
2010,SL_EMP_INJUR,Romania,Total or no breakdown,Female,24.74
2010,SL_EMP_INJUR,Romania,NONMIG,Female,24.69
2010,SL_EMP_INJUR,Romania,NONMIG,Male,69.55
2011,SL_EMP_INJUR,Romania,Total or no breakdown,Male,117.65
2013,SL_EMP_INJUR,France,Total or no breakdown,Male,3280.0
2013,SL_EMP_INJUR,France,NONMIG,Female,1308.46
2013,SL_EMP_INJUR,France,NONMIG,Both sexes,1937.01
2013,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,2482.55
2014,SL_EMP_INJUR,France,NONMIG,Both sexes,2230.03
2014,SL_EMP_INJUR,France,Total or no breakdown,Female,2753.84
2001,SL_EMP_INJUR,Belgium,Total or no breakdown,Both sexes,4319.32
2009,SL_EMP_INJUR,Belgium,Total or no breakdown,Female,1233.54
2009,SL_EMP_INJUR,Belgium,NONMIG,Male,2503.55
2009,SL_EMP_INJUR,Belgium,NONMIG,Both sexes,1955.7
2009,SL_EMP_INJUR,Belgium,Total or no breakdown,Male,2614.2
2014,SL_EMP_INJUR,France,NONMIG,Female,1680.44
2014,SL_EMP_INJUR,France,NONMIG,Male,2682.76
2014,SL_EMP_INJUR,France,Total or no breakdown,Male,3795.1
2014,SL_EMP_INJUR,France,Total or no breakdown,Both sexes,3326.98
2015,SL_EMP_INJUR,France,NONMIG,Female,72.32
2015,SL_EMP_INJUR,France,Total or no breakdown,Female,2376.72
