Year,SeriesCode,Country,Level/Status,Value
2017,ER_H2O_IWRMD_IP,Finland,Total or no breakdown,79
2020,ER_H2O_IWRMD_IP,Finland,Total or no breakdown,80
2017,ER_H2O_IWRMD_IP,France,Total or no breakdown,100
2020,ER_H2O_IWRMD_IP,France,Total or no breakdown,100
2017,ER_H2O_IWRMD_IP,Georgia,Total or no breakdown,48
2020,ER_H2O_IWRMD_IP,Georgia,Total or no breakdown,59
2017,ER_H2O_IWRMD_IP,Germany,Total or no breakdown,89
2020,ER_H2O_IWRMD_IP,Germany,Total or no breakdown,89
2017,ER_H2O_IWRMD_IP,Greece,Total or no breakdown,86
2020,ER_H2O_IWRMD_IP,Greece,Total or no breakdown,87
2017,ER_H2O_IWRMD_IP,Hungary,Total or no breakdown,81
2020,ER_H2O_IWRMD_IP,Hungary,Total or no breakdown,79
2017,ER_H2O_IWRMD_IP,Iceland,Total or no breakdown,70
2020,ER_H2O_IWRMD_IP,Iceland,Total or no breakdown,75
2020,ER_H2O_IWRMD_IP,India,Total or no breakdown,39
2017,ER_H2O_IWRMD_IP,Ireland,Total or no breakdown,84
2020,ER_H2O_IWRMD_IP,Ireland,Total or no breakdown,80
2017,ER_H2O_IWRMD_IP,Israel,Total or no breakdown,83
2020,ER_H2O_IWRMD_IP,Israel,Total or no breakdown,83
2017,ER_H2O_IWRMD_IP,Italy,Total or no breakdown,61
2020,ER_H2O_IWRMD_IP,Italy,Total or no breakdown,78
2017,ER_H2O_IWRMD_IP,Japan,Total or no breakdown,96
2020,ER_H2O_IWRMD_IP,Japan,Total or no breakdown,96
2017,ER_H2O_IWRMD_IP,Kazakhstan,Total or no breakdown,24
2020,ER_H2O_IWRMD_IP,Kazakhstan,Total or no breakdown,51
2017,ER_H2O_IWRMD_IP,Republic of Korea,Total or no breakdown,70
2020,ER_H2O_IWRMD_IP,Republic of Korea,Total or no breakdown,87
2020,ER_H2O_IWRMD_IP,Kyrgyzstan,Total or no breakdown,30
2017,ER_H2O_IWRMD_IP,Latvia,Total or no breakdown,72
2020,ER_H2O_IWRMD_IP,Latvia,Total or no breakdown,66
2017,ER_H2O_IWRMD_IP,Liechtenstein,Total or no breakdown,63
2020,ER_H2O_IWRMD_IP,Liechtenstein,Total or no breakdown,67
2017,ER_H2O_IWRMD_IP,Lithuania,Total or no breakdown,46
2020,ER_H2O_IWRMD_IP,Lithuania,Total or no breakdown,45
2017,ER_H2O_IWRMD_IP,Luxembourg,Total or no breakdown,96
2020,ER_H2O_IWRMD_IP,Luxembourg,Total or no breakdown,92
2017,ER_H2O_IWRMD_IP,Malta,Total or no breakdown,73
2020,ER_H2O_IWRMD_IP,Malta,Total or no breakdown,82
2017,ER_H2O_IWRMD_IP,Mexico,Total or no breakdown,51
2020,ER_H2O_IWRMD_IP,Mexico,Total or no breakdown,47
2017,ER_H2O_IWRMD_IP,Moldova,Total or no breakdown,33
2020,ER_H2O_IWRMD_IP,Moldova,Total or no breakdown,53
2017,ER_H2O_IWRMD_IP,Montenegro,Total or no breakdown,28
2020,ER_H2O_IWRMD_IP,Montenegro,Total or no breakdown,24
2017,ER_H2O_IWRMD_IP,Netherlands (Kingdom of the),Total or no breakdown,96
2020,ER_H2O_IWRMD_IP,Netherlands (Kingdom of the),Total or no breakdown,92
2017,ER_H2O_IWRMD_IP,New Zealand,Total or no breakdown,46
2020,ER_H2O_IWRMD_IP,New Zealand,Total or no breakdown,64
2017,ER_H2O_IWRMD_IP,Norway,Total or no breakdown,65
2020,ER_H2O_IWRMD_IP,Norway,Total or no breakdown,75
2017,ER_H2O_IWRMD_IP,Poland,Total or no breakdown,40
2020,ER_H2O_IWRMD_IP,Poland,Total or no breakdown,80
2017,ER_H2O_IWRMD_IP,Portugal,Total or no breakdown,83
2020,ER_H2O_IWRMD_IP,Portugal,Total or no breakdown,68
2017,ER_H2O_IWRMD_IP,Romania,Total or no breakdown,65
2020,ER_H2O_IWRMD_IP,Romania,Total or no breakdown,82
2017,ER_H2O_IWRMD_IP,Serbia,Total or no breakdown,25
2020,ER_H2O_IWRMD_IP,Serbia,Total or no breakdown,42
2017,ER_H2O_IWRMD_IP,Slovakia,Total or no breakdown,76
2020,ER_H2O_IWRMD_IP,Slovakia,Total or no breakdown,71
2017,ER_H2O_IWRMD_IP,Viet Nam,Total or no breakdown,35
2020,ER_H2O_IWRMD_IP,Viet Nam,Total or no breakdown,46
2017,ER_H2O_IWRMD_IP,Slovenia,Total or no breakdown,55
2020,ER_H2O_IWRMD_IP,Slovenia,Total or no breakdown,88
2017,ER_H2O_IWRMD_IP,Spain,Total or no breakdown,81
2020,ER_H2O_IWRMD_IP,Spain,Total or no breakdown,99
2017,ER_H2O_IWRMD_IP,Sweden,Total or no breakdown,91
2020,ER_H2O_IWRMD_IP,Sweden,Total or no breakdown,85
2017,ER_H2O_IWRMD_IP,Switzerland,Total or no breakdown,79
2020,ER_H2O_IWRMD_IP,Switzerland,Total or no breakdown,79
2020,ER_H2O_IWRMD_IP,Tajikistan,Total or no breakdown,43
2017,ER_H2O_IWRMD_IP,United Arab Emirates,Total or no breakdown,90
2020,ER_H2O_IWRMD_IP,United Arab Emirates,Total or no breakdown,82
2017,ER_H2O_IWRMD_IP,Türkiye,Total or no breakdown,75
2020,ER_H2O_IWRMD_IP,Türkiye,Total or no breakdown,75
2020,ER_H2O_IWRMD_IP,Turkmenistan,Total or no breakdown,48
2017,ER_H2O_IWRMD_IP,Ukraine,Total or no breakdown,49
2020,ER_H2O_IWRMD_IP,Ukraine,Total or no breakdown,49
2017,ER_H2O_IWRMD_IP,North Macedonia,Total or no breakdown,20
2020,ER_H2O_IWRMD_IP,North Macedonia,Total or no breakdown,26
2017,ER_H2O_IWRMD_IP,United Kingdom of Great Britain and Northern Ireland,Total or no breakdown,82
2020,ER_H2O_IWRMD_IP,United Kingdom of Great Britain and Northern Ireland,Total or no breakdown,85
2017,ER_H2O_IWRMD_IP,Uzbekistan,Total or no breakdown,53
2020,ER_H2O_IWRMD_IP,Uzbekistan,Total or no breakdown,53
2020,ER_H2O_IWRMD_IP,Uzbekistan,Total or no breakdown,53
