Year,SeriesCode,Country,Frequency of Chlorophyll-a concentration,Value
2019,EN_MAR_CHLANM,France,Moderate,6.48408
2019,EN_MAR_CHLANM,France,High,8.94218
2020,EN_MAR_CHLANM,France,High,3.21692
2020,EN_MAR_CHLANM,France,Moderate,3.71015
2020,EN_MAR_CHLANM,France,Extreme,0.0
2021,EN_MAR_CHLANM,France,Extreme,1.44493
2021,EN_MAR_CHLANM,France,High,6.3252
2021,EN_MAR_CHLANM,France,Moderate,4.0652
2022,EN_MAR_CHLANM,France,High,4.63404
2022,EN_MAR_CHLANM,France,Moderate,5.92535
2022,EN_MAR_CHLANM,France,Extreme,0.92153
2018,EN_MAR_CHLANM,Georgia,Extreme,0.27761
2018,EN_MAR_CHLANM,Georgia,High,2.68556
2018,EN_MAR_CHLANM,Georgia,Moderate,5.24545
2019,EN_MAR_CHLANM,Georgia,Moderate,5.33925
2019,EN_MAR_CHLANM,Georgia,High,4.25811
2019,EN_MAR_CHLANM,Georgia,Extreme,0.56191
2020,EN_MAR_CHLANM,Georgia,High,3.59548
2020,EN_MAR_CHLANM,Georgia,Extreme,0.09982
2020,EN_MAR_CHLANM,Georgia,Moderate,6.74078
2021,EN_MAR_CHLANM,Georgia,Moderate,5.17084
2021,EN_MAR_CHLANM,Georgia,High,2.52414
2021,EN_MAR_CHLANM,Georgia,Extreme,0.33049
2022,EN_MAR_CHLANM,Georgia,Extreme,0.15409
2022,EN_MAR_CHLANM,Georgia,High,3.14479
2022,EN_MAR_CHLANM,Georgia,Moderate,5.05384
2018,EN_MAR_CHLANM,Germany,Moderate,7.0647
2018,EN_MAR_CHLANM,Germany,High,7.15726
2018,EN_MAR_CHLANM,Germany,Extreme,1.81561
2019,EN_MAR_CHLANM,Germany,High,5.73943
2019,EN_MAR_CHLANM,Germany,Moderate,6.0918
2018,EN_MAR_CHLANM,Albania,High,3.34498
2018,EN_MAR_CHLANM,Albania,Extreme,0.48617
2018,EN_MAR_CHLANM,Albania,Moderate,4.97492
2019,EN_MAR_CHLANM,Albania,Moderate,4.97701
2019,EN_MAR_CHLANM,Albania,High,3.87968
2019,EN_MAR_CHLANM,Albania,Extreme,0.67904
2020,EN_MAR_CHLANM,Albania,Extreme,0.30194
2020,EN_MAR_CHLANM,Albania,High,3.54833
2020,EN_MAR_CHLANM,Albania,Moderate,4.07618
2021,EN_MAR_CHLANM,Albania,Moderate,5.67499
2021,EN_MAR_CHLANM,Albania,High,6.04622
2021,EN_MAR_CHLANM,Albania,Extreme,0.96543
2022,EN_MAR_CHLANM,Albania,High,3.31277
2019,EN_MAR_CHLANM,Germany,Extreme,1.4095
2020,EN_MAR_CHLANM,Germany,Moderate,4.65744
2020,EN_MAR_CHLANM,Germany,High,5.12419
2020,EN_MAR_CHLANM,Germany,Extreme,1.85413
2021,EN_MAR_CHLANM,Germany,Extreme,1.12432
2021,EN_MAR_CHLANM,Germany,High,4.26262
2021,EN_MAR_CHLANM,Germany,Moderate,5.41035
2022,EN_MAR_CHLANM,Germany,High,3.73659
2022,EN_MAR_CHLANM,Germany,Moderate,4.64106
2022,EN_MAR_CHLANM,Germany,Extreme,0.56388
2018,EN_MAR_CHLANM,Greece,Extreme,0.15239
2018,EN_MAR_CHLANM,Greece,High,0.83339
2018,EN_MAR_CHLANM,Greece,Moderate,2.54734
2019,EN_MAR_CHLANM,Greece,Extreme,0.2441
2019,EN_MAR_CHLANM,Greece,High,1.08827
2019,EN_MAR_CHLANM,Greece,Moderate,2.57551
2020,EN_MAR_CHLANM,Greece,Extreme,0.11645
2020,EN_MAR_CHLANM,Greece,High,1.06861
2020,EN_MAR_CHLANM,Greece,Moderate,2.23013
2021,EN_MAR_CHLANM,Greece,Moderate,3.24463
2021,EN_MAR_CHLANM,Greece,High,2.26059
2021,EN_MAR_CHLANM,Greece,Extreme,0.88685
2022,EN_MAR_CHLANM,Greece,Extreme,0.16049
2022,EN_MAR_CHLANM,Greece,Moderate,2.32319
2022,EN_MAR_CHLANM,Greece,High,1.02928
2018,EN_MAR_CHLANM,Iceland,Extreme,2.10798
2018,EN_MAR_CHLANM,Iceland,High,8.99441
2018,EN_MAR_CHLANM,Iceland,Moderate,4.23251
2019,EN_MAR_CHLANM,Iceland,High,10.91583
2019,EN_MAR_CHLANM,Iceland,Moderate,13.27296
2019,EN_MAR_CHLANM,Iceland,Extreme,1.49536
2020,EN_MAR_CHLANM,Iceland,Extreme,2.48184
2020,EN_MAR_CHLANM,Iceland,Moderate,6.42171
2020,EN_MAR_CHLANM,Iceland,High,9.6728
2021,EN_MAR_CHLANM,Iceland,High,4.23773
2021,EN_MAR_CHLANM,Iceland,Extreme,0.19964
2021,EN_MAR_CHLANM,Iceland,Moderate,6.80729
2022,EN_MAR_CHLANM,Iceland,Moderate,9.91657
2022,EN_MAR_CHLANM,Iceland,Extreme,2.33474
2022,EN_MAR_CHLANM,Iceland,High,10.5124
2018,EN_MAR_CHLANM,India,High,6.07967
2018,EN_MAR_CHLANM,India,Extreme,2.79263
2018,EN_MAR_CHLANM,India,Moderate,5.17261
2019,EN_MAR_CHLANM,India,High,5.57504
2019,EN_MAR_CHLANM,India,Moderate,5.96835
2019,EN_MAR_CHLANM,India,Extreme,2.23686
2020,EN_MAR_CHLANM,India,Extreme,1.86766
2020,EN_MAR_CHLANM,India,High,5.84081
2020,EN_MAR_CHLANM,India,Moderate,5.89724
2021,EN_MAR_CHLANM,India,Moderate,4.94043
2021,EN_MAR_CHLANM,India,Extreme,1.95176
2021,EN_MAR_CHLANM,India,High,5.77964
2022,EN_MAR_CHLANM,India,High,6.53003
2022,EN_MAR_CHLANM,India,Extreme,2.2826
2022,EN_MAR_CHLANM,India,Moderate,5.78297
2018,EN_MAR_CHLANM,Ireland,Extreme,1.1294
2018,EN_MAR_CHLANM,Ireland,Moderate,6.58704
2018,EN_MAR_CHLANM,Ireland,High,6.90833
2019,EN_MAR_CHLANM,Ireland,High,6.54218
2019,EN_MAR_CHLANM,Ireland,Moderate,7.42729
2019,EN_MAR_CHLANM,Ireland,Extreme,1.05415
2020,EN_MAR_CHLANM,Ireland,Moderate,5.86139
2020,EN_MAR_CHLANM,Ireland,High,7.41496
2020,EN_MAR_CHLANM,Ireland,Extreme,3.06013
2021,EN_MAR_CHLANM,Ireland,High,5.02936
2021,EN_MAR_CHLANM,Ireland,Moderate,6.57373
2021,EN_MAR_CHLANM,Ireland,Extreme,1.02929
2022,EN_MAR_CHLANM,Ireland,High,8.01589
2022,EN_MAR_CHLANM,Ireland,Extreme,1.6264
2022,EN_MAR_CHLANM,Ireland,Moderate,8.52105
2018,EN_MAR_CHLANM,Israel,Extreme,0.25739
2018,EN_MAR_CHLANM,Israel,Moderate,6.38161
2018,EN_MAR_CHLANM,Israel,High,2.64006
2019,EN_MAR_CHLANM,Israel,High,3.1399
2019,EN_MAR_CHLANM,Israel,Moderate,7.37034
2019,EN_MAR_CHLANM,Israel,Extreme,0.40502
2020,EN_MAR_CHLANM,Israel,Moderate,7.21574
2020,EN_MAR_CHLANM,Israel,High,4.09814
2022,EN_MAR_CHLANM,Albania,Extreme,0.6257
2022,EN_MAR_CHLANM,Albania,Moderate,3.54341
2018,EN_MAR_CHLANM,Azerbaijan,Extreme,1.21395
2018,EN_MAR_CHLANM,Azerbaijan,Moderate,5.61599
2018,EN_MAR_CHLANM,Azerbaijan,High,6.79933
2019,EN_MAR_CHLANM,Azerbaijan,High,3.72966
2019,EN_MAR_CHLANM,Azerbaijan,Extreme,0.55254
2019,EN_MAR_CHLANM,Azerbaijan,Moderate,6.01042
2020,EN_MAR_CHLANM,Azerbaijan,Moderate,3.45126
2020,EN_MAR_CHLANM,Azerbaijan,High,1.95356
2020,EN_MAR_CHLANM,Azerbaijan,Extreme,0.18116
2021,EN_MAR_CHLANM,Azerbaijan,Extreme,0.19721
2021,EN_MAR_CHLANM,Azerbaijan,Moderate,6.02817
2020,EN_MAR_CHLANM,Israel,Extreme,0.63964
2021,EN_MAR_CHLANM,Israel,Extreme,0.98117
2021,EN_MAR_CHLANM,Israel,High,3.99179
2021,EN_MAR_CHLANM,Israel,Moderate,5.85524
2022,EN_MAR_CHLANM,Israel,Moderate,6.52615
2022,EN_MAR_CHLANM,Israel,High,3.27364
2022,EN_MAR_CHLANM,Israel,Extreme,0.40341
2018,EN_MAR_CHLANM,Italy,Extreme,0.44421
2018,EN_MAR_CHLANM,Italy,High,2.95002
2018,EN_MAR_CHLANM,Italy,Moderate,5.20881
2019,EN_MAR_CHLANM,Italy,High,2.92456
2019,EN_MAR_CHLANM,Italy,Extreme,0.58006
2019,EN_MAR_CHLANM,Italy,Moderate,5.15404
2020,EN_MAR_CHLANM,Italy,Moderate,3.67455
2020,EN_MAR_CHLANM,Italy,Extreme,0.32231
2020,EN_MAR_CHLANM,Italy,High,1.96348
2021,EN_MAR_CHLANM,Italy,Extreme,0.52112
2021,EN_MAR_CHLANM,Italy,Moderate,5.09195
2021,EN_MAR_CHLANM,Italy,High,3.32783
2022,EN_MAR_CHLANM,Italy,Extreme,0.26787
2022,EN_MAR_CHLANM,Italy,Moderate,3.90297
2022,EN_MAR_CHLANM,Italy,High,1.96482
2018,EN_MAR_CHLANM,Japan,Moderate,5.10254
2018,EN_MAR_CHLANM,Japan,High,3.3261
2018,EN_MAR_CHLANM,Japan,Extreme,0.54961
2019,EN_MAR_CHLANM,Japan,High,3.54951
2021,EN_MAR_CHLANM,Azerbaijan,High,2.8151
2022,EN_MAR_CHLANM,Azerbaijan,High,1.08009
2022,EN_MAR_CHLANM,Azerbaijan,Moderate,4.0552
2022,EN_MAR_CHLANM,Azerbaijan,Extreme,0.03223
2018,EN_MAR_CHLANM,Australia,Extreme,0.39602
2018,EN_MAR_CHLANM,Australia,Moderate,5.34322
2018,EN_MAR_CHLANM,Australia,High,3.48344
2019,EN_MAR_CHLANM,Australia,Moderate,5.43367
2019,EN_MAR_CHLANM,Australia,High,3.07145
2019,EN_MAR_CHLANM,Australia,Extreme,0.30717
2020,EN_MAR_CHLANM,Australia,High,3.16474
2020,EN_MAR_CHLANM,Australia,Moderate,5.09077
2020,EN_MAR_CHLANM,Australia,Extreme,0.42966
2019,EN_MAR_CHLANM,Japan,Moderate,5.81658
2019,EN_MAR_CHLANM,Japan,Extreme,0.6374
2020,EN_MAR_CHLANM,Japan,Extreme,0.57403
2020,EN_MAR_CHLANM,Japan,High,3.22879
2020,EN_MAR_CHLANM,Japan,Moderate,5.17346
2021,EN_MAR_CHLANM,Japan,Moderate,6.23081
2021,EN_MAR_CHLANM,Japan,Extreme,0.89467
2021,EN_MAR_CHLANM,Japan,High,4.29674
2022,EN_MAR_CHLANM,Japan,Extreme,0.8862
2022,EN_MAR_CHLANM,Japan,High,3.82286
2022,EN_MAR_CHLANM,Japan,Moderate,6.15652
2018,EN_MAR_CHLANM,Kazakhstan,Moderate,7.44578
2018,EN_MAR_CHLANM,Kazakhstan,High,6.65817
2018,EN_MAR_CHLANM,Kazakhstan,Extreme,0.54393
2019,EN_MAR_CHLANM,Kazakhstan,Extreme,0.98533
2019,EN_MAR_CHLANM,Kazakhstan,High,5.97132
2019,EN_MAR_CHLANM,Kazakhstan,Moderate,6.72797
2020,EN_MAR_CHLANM,Kazakhstan,Moderate,6.02158
2020,EN_MAR_CHLANM,Kazakhstan,High,5.46935
2020,EN_MAR_CHLANM,Kazakhstan,Extreme,1.49061
2021,EN_MAR_CHLANM,Kazakhstan,Extreme,0.50959
2021,EN_MAR_CHLANM,Kazakhstan,High,4.52949
2021,EN_MAR_CHLANM,Kazakhstan,Moderate,5.95935
2022,EN_MAR_CHLANM,Kazakhstan,Moderate,5.54478
2022,EN_MAR_CHLANM,Kazakhstan,Extreme,0.33117
2022,EN_MAR_CHLANM,Kazakhstan,High,2.66099
2021,EN_MAR_CHLANM,Australia,Moderate,4.68085
2021,EN_MAR_CHLANM,Australia,High,2.45134
2021,EN_MAR_CHLANM,Australia,Extreme,0.31869
2022,EN_MAR_CHLANM,Australia,High,2.99872
2022,EN_MAR_CHLANM,Australia,Moderate,4.89332
2022,EN_MAR_CHLANM,Australia,Extreme,0.36321
2018,EN_MAR_CHLANM,Belgium,High,6.22509
2018,EN_MAR_CHLANM,Belgium,Extreme,0.49942
2018,EN_MAR_CHLANM,Belgium,Moderate,7.48846
2019,EN_MAR_CHLANM,Belgium,Moderate,5.87594
2019,EN_MAR_CHLANM,Belgium,High,6.67827
2019,EN_MAR_CHLANM,Belgium,Extreme,0.83136
2020,EN_MAR_CHLANM,Belgium,High,5.69607
2018,EN_MAR_CHLANM,Republic of Korea,High,3.81858
2018,EN_MAR_CHLANM,Republic of Korea,Extreme,0.21941
2018,EN_MAR_CHLANM,Republic of Korea,Moderate,7.39639
2019,EN_MAR_CHLANM,Republic of Korea,Moderate,7.25943
2019,EN_MAR_CHLANM,Republic of Korea,Extreme,0.34902
2019,EN_MAR_CHLANM,Republic of Korea,High,4.12956
2020,EN_MAR_CHLANM,Republic of Korea,Moderate,5.82524
2020,EN_MAR_CHLANM,Republic of Korea,High,4.94786
2020,EN_MAR_CHLANM,Republic of Korea,Extreme,0.82425
2021,EN_MAR_CHLANM,Republic of Korea,Moderate,6.73394
2021,EN_MAR_CHLANM,Republic of Korea,High,5.22719
2021,EN_MAR_CHLANM,Republic of Korea,Extreme,0.62655
2022,EN_MAR_CHLANM,Republic of Korea,Extreme,1.40883
2022,EN_MAR_CHLANM,Republic of Korea,High,7.04451
2022,EN_MAR_CHLANM,Republic of Korea,Moderate,6.87649
2018,EN_MAR_CHLANM,Latvia,High,11.01573
2018,EN_MAR_CHLANM,Latvia,Extreme,7.8312
2018,EN_MAR_CHLANM,Latvia,Moderate,6.81062
2019,EN_MAR_CHLANM,Latvia,Moderate,8.22425
2019,EN_MAR_CHLANM,Latvia,High,10.64393
2019,EN_MAR_CHLANM,Latvia,Extreme,1.97327
2020,EN_MAR_CHLANM,Latvia,Extreme,1.5689
2020,EN_MAR_CHLANM,Latvia,Moderate,6.25967
2020,EN_MAR_CHLANM,Latvia,High,7.94
2021,EN_MAR_CHLANM,Latvia,Moderate,8.62578
2021,EN_MAR_CHLANM,Latvia,Extreme,2.96617
2021,EN_MAR_CHLANM,Latvia,High,8.99734
2022,EN_MAR_CHLANM,Latvia,Extreme,0.88864
2022,EN_MAR_CHLANM,Latvia,Moderate,6.04779
2022,EN_MAR_CHLANM,Latvia,High,5.60191
2018,EN_MAR_CHLANM,Lithuania,High,10.4738
2018,EN_MAR_CHLANM,Lithuania,Extreme,10.15593
2018,EN_MAR_CHLANM,Lithuania,Moderate,6.9854
2019,EN_MAR_CHLANM,Lithuania,Moderate,9.78321
2019,EN_MAR_CHLANM,Lithuania,High,10.81025
2019,EN_MAR_CHLANM,Lithuania,Extreme,2.01001
2020,EN_MAR_CHLANM,Lithuania,High,5.49008
2020,EN_MAR_CHLANM,Lithuania,Extreme,1.41386
2020,EN_MAR_CHLANM,Lithuania,Moderate,6.65593
2021,EN_MAR_CHLANM,Lithuania,Moderate,8.85603
2021,EN_MAR_CHLANM,Lithuania,Extreme,3.02413
2021,EN_MAR_CHLANM,Lithuania,High,10.0882
2022,EN_MAR_CHLANM,Lithuania,Extreme,0.70072
2022,EN_MAR_CHLANM,Lithuania,High,5.229
2022,EN_MAR_CHLANM,Lithuania,Moderate,5.099
2018,EN_MAR_CHLANM,Malta,Extreme,0.02231
2018,EN_MAR_CHLANM,Malta,High,0.597
2018,EN_MAR_CHLANM,Malta,Moderate,3.43227
2019,EN_MAR_CHLANM,Malta,Moderate,4.91146
2019,EN_MAR_CHLANM,Malta,Extreme,0.23448
2019,EN_MAR_CHLANM,Malta,High,1.60461
2020,EN_MAR_CHLANM,Belgium,Extreme,0.50994
2020,EN_MAR_CHLANM,Belgium,Moderate,5.17142
2021,EN_MAR_CHLANM,Belgium,Moderate,11.37177
2021,EN_MAR_CHLANM,Belgium,High,10.84895
2021,EN_MAR_CHLANM,Belgium,Extreme,1.24598
2022,EN_MAR_CHLANM,Belgium,Moderate,5.7354
2022,EN_MAR_CHLANM,Belgium,High,4.925
2022,EN_MAR_CHLANM,Belgium,Extreme,1.04177
2022,EN_MAR_CHLANM,Bosnia and Herzegovina,Moderate,3.10902
2022,EN_MAR_CHLANM,Bosnia and Herzegovina,High,0.0
2022,EN_MAR_CHLANM,Bosnia and Herzegovina,Extreme,0.0
2018,EN_MAR_CHLANM,Bulgaria,Extreme,0.47301
2018,EN_MAR_CHLANM,Bulgaria,Moderate,6.24353
2018,EN_MAR_CHLANM,Bulgaria,High,4.52404
2019,EN_MAR_CHLANM,Bulgaria,Moderate,4.30863
2019,EN_MAR_CHLANM,Bulgaria,Extreme,0.5706
2019,EN_MAR_CHLANM,Bulgaria,High,4.05743
2020,EN_MAR_CHLANM,Bulgaria,Extreme,0.35153
2020,EN_MAR_CHLANM,Bulgaria,Moderate,4.93738
2020,EN_MAR_CHLANM,Bulgaria,High,4.45551
2021,EN_MAR_CHLANM,Bulgaria,Moderate,3.81995
2021,EN_MAR_CHLANM,Bulgaria,High,2.05318
2021,EN_MAR_CHLANM,Bulgaria,Extreme,0.22325
2022,EN_MAR_CHLANM,Bulgaria,High,2.58723
2022,EN_MAR_CHLANM,Bulgaria,Extreme,0.18473
2022,EN_MAR_CHLANM,Bulgaria,Moderate,5.83529
2018,EN_MAR_CHLANM,Canada,Extreme,3.90291
2018,EN_MAR_CHLANM,Canada,Moderate,7.43851
2018,EN_MAR_CHLANM,Canada,High,10.78918
2019,EN_MAR_CHLANM,Canada,Moderate,5.90859
2019,EN_MAR_CHLANM,Canada,Extreme,1.41246
2019,EN_MAR_CHLANM,Canada,High,6.26816
2020,EN_MAR_CHLANM,Canada,Extreme,3.37674
2020,EN_MAR_CHLANM,Canada,Moderate,6.86883
2020,EN_MAR_CHLANM,Canada,High,10.09436
2021,EN_MAR_CHLANM,Canada,Extreme,4.21431
2021,EN_MAR_CHLANM,Canada,High,11.40364
2021,EN_MAR_CHLANM,Canada,Moderate,8.67072
2022,EN_MAR_CHLANM,Canada,Moderate,7.87635
2020,EN_MAR_CHLANM,Malta,Extreme,0.19988
2020,EN_MAR_CHLANM,Malta,Moderate,3.74545
2020,EN_MAR_CHLANM,Malta,High,1.17662
2021,EN_MAR_CHLANM,Malta,High,3.53364
2021,EN_MAR_CHLANM,Malta,Extreme,0.25647
2021,EN_MAR_CHLANM,Malta,Moderate,8.75677
2022,EN_MAR_CHLANM,Malta,High,2.14609
2022,EN_MAR_CHLANM,Malta,Extreme,0.06717
2022,EN_MAR_CHLANM,Malta,Moderate,6.04405
2018,EN_MAR_CHLANM,Mexico,Extreme,1.11197
2018,EN_MAR_CHLANM,Mexico,High,4.36748
2018,EN_MAR_CHLANM,Mexico,Moderate,4.66505
2019,EN_MAR_CHLANM,Mexico,Moderate,4.16251
2019,EN_MAR_CHLANM,Mexico,High,3.55575
2019,EN_MAR_CHLANM,Mexico,Extreme,0.88654
2020,EN_MAR_CHLANM,Mexico,Extreme,1.30566
2020,EN_MAR_CHLANM,Mexico,High,4.42336
2020,EN_MAR_CHLANM,Mexico,Moderate,4.65145
2021,EN_MAR_CHLANM,Mexico,Moderate,4.13713
2021,EN_MAR_CHLANM,Mexico,High,3.71891
2021,EN_MAR_CHLANM,Mexico,Extreme,1.08377
2022,EN_MAR_CHLANM,Mexico,Extreme,1.45013
2022,EN_MAR_CHLANM,Mexico,High,4.90436
2022,EN_MAR_CHLANM,Mexico,Moderate,5.09473
2018,EN_MAR_CHLANM,Montenegro,Moderate,4.7332
2018,EN_MAR_CHLANM,Montenegro,High,3.12616
2022,EN_MAR_CHLANM,Canada,Extreme,1.60251
2022,EN_MAR_CHLANM,Canada,High,7.34946
2018,EN_MAR_CHLANM,Chile,Moderate,5.93093
2018,EN_MAR_CHLANM,Chile,Extreme,1.91369
2018,EN_MAR_CHLANM,Chile,High,5.69732
2019,EN_MAR_CHLANM,Chile,Extreme,1.45833
2019,EN_MAR_CHLANM,Chile,Moderate,5.36316
2019,EN_MAR_CHLANM,Chile,High,4.61767
2020,EN_MAR_CHLANM,Chile,Moderate,5.77671
2020,EN_MAR_CHLANM,Chile,High,5.50406
2020,EN_MAR_CHLANM,Chile,Extreme,1.52649
2021,EN_MAR_CHLANM,Chile,High,5.61672
2021,EN_MAR_CHLANM,Chile,Extreme,1.45484
2018,EN_MAR_CHLANM,Montenegro,Extreme,0.15554
2019,EN_MAR_CHLANM,Montenegro,Moderate,4.24908
2019,EN_MAR_CHLANM,Montenegro,Extreme,0.42847
2019,EN_MAR_CHLANM,Montenegro,High,3.43747
2020,EN_MAR_CHLANM,Montenegro,High,1.7827
2020,EN_MAR_CHLANM,Montenegro,Extreme,0.17576
2020,EN_MAR_CHLANM,Montenegro,Moderate,3.68424
2021,EN_MAR_CHLANM,Montenegro,Moderate,5.47595
2021,EN_MAR_CHLANM,Montenegro,Extreme,0.65477
2021,EN_MAR_CHLANM,Montenegro,High,5.29118
2022,EN_MAR_CHLANM,Montenegro,High,3.43485
2022,EN_MAR_CHLANM,Montenegro,Extreme,0.46676
2022,EN_MAR_CHLANM,Montenegro,Moderate,4.02863
2021,EN_MAR_CHLANM,Chile,Moderate,6.03157
2022,EN_MAR_CHLANM,Chile,High,5.26327
2022,EN_MAR_CHLANM,Chile,Extreme,1.08009
2022,EN_MAR_CHLANM,Chile,Moderate,5.97118
2018,EN_MAR_CHLANM,China,Moderate,3.00475
2018,EN_MAR_CHLANM,China,High,2.35683
2018,EN_MAR_CHLANM,China,Extreme,0.31602
2019,EN_MAR_CHLANM,China,Extreme,0.30437
2019,EN_MAR_CHLANM,China,Moderate,6.10261
2019,EN_MAR_CHLANM,China,High,3.50385
2020,EN_MAR_CHLANM,China,High,2.52947
2020,EN_MAR_CHLANM,China,Moderate,5.03596
2020,EN_MAR_CHLANM,China,Extreme,0.0804
2018,EN_MAR_CHLANM,Netherlands (Kingdom of the),Extreme,3.44762
2018,EN_MAR_CHLANM,Netherlands (Kingdom of the),High,8.26603
2018,EN_MAR_CHLANM,Netherlands (Kingdom of the),Moderate,9.16083
2019,EN_MAR_CHLANM,Netherlands (Kingdom of the),Extreme,0.61306
2019,EN_MAR_CHLANM,Netherlands (Kingdom of the),High,5.59859
2019,EN_MAR_CHLANM,Netherlands (Kingdom of the),Moderate,7.50354
2020,EN_MAR_CHLANM,Netherlands (Kingdom of the),Moderate,7.44929
2020,EN_MAR_CHLANM,Netherlands (Kingdom of the),High,7.79144
2020,EN_MAR_CHLANM,Netherlands (Kingdom of the),Extreme,2.36706
2021,EN_MAR_CHLANM,Netherlands (Kingdom of the),Extreme,0.69541
2021,EN_MAR_CHLANM,Netherlands (Kingdom of the),High,6.02035
2021,EN_MAR_CHLANM,Netherlands (Kingdom of the),Moderate,6.56349
2021,EN_MAR_CHLANM,China,Extreme,0.04549
2021,EN_MAR_CHLANM,China,High,2.4277
2021,EN_MAR_CHLANM,China,Moderate,4.89938
2022,EN_MAR_CHLANM,China,High,3.79704
2022,EN_MAR_CHLANM,China,Extreme,0.8049
2022,EN_MAR_CHLANM,China,Moderate,4.89122
2018,EN_MAR_CHLANM,Colombia,High,7.02647
2018,EN_MAR_CHLANM,Colombia,Moderate,5.57677
2018,EN_MAR_CHLANM,Colombia,Extreme,0.88856
2019,EN_MAR_CHLANM,Colombia,Moderate,6.90098
2019,EN_MAR_CHLANM,Colombia,Extreme,0.0
2019,EN_MAR_CHLANM,Colombia,High,2.39146
2020,EN_MAR_CHLANM,Colombia,Moderate,3.44402
2022,EN_MAR_CHLANM,Netherlands (Kingdom of the),Moderate,5.29475
2022,EN_MAR_CHLANM,Netherlands (Kingdom of the),High,4.11199
2022,EN_MAR_CHLANM,Netherlands (Kingdom of the),Extreme,0.80976
2018,EN_MAR_CHLANM,New Zealand,High,4.79873
2018,EN_MAR_CHLANM,New Zealand,Moderate,7.10191
2018,EN_MAR_CHLANM,New Zealand,Extreme,0.79157
2019,EN_MAR_CHLANM,New Zealand,Moderate,7.8383
2019,EN_MAR_CHLANM,New Zealand,Extreme,1.0678
2019,EN_MAR_CHLANM,New Zealand,High,5.33455
2020,EN_MAR_CHLANM,New Zealand,High,3.7729
2020,EN_MAR_CHLANM,New Zealand,Extreme,0.60225
2020,EN_MAR_CHLANM,New Zealand,Moderate,6.24087
2020,EN_MAR_CHLANM,Colombia,High,3.18408
2020,EN_MAR_CHLANM,Colombia,Extreme,0.05381
2021,EN_MAR_CHLANM,Colombia,Extreme,2.10544
2021,EN_MAR_CHLANM,Colombia,Moderate,6.13294
2021,EN_MAR_CHLANM,Colombia,High,8.58657
2022,EN_MAR_CHLANM,Colombia,High,3.68565
2022,EN_MAR_CHLANM,Colombia,Moderate,4.61282
2022,EN_MAR_CHLANM,Colombia,Extreme,0.90742
2018,EN_MAR_CHLANM,Costa Rica,Extreme,0.0
2018,EN_MAR_CHLANM,Costa Rica,High,0.35545
2018,EN_MAR_CHLANM,Costa Rica,Moderate,1.80399
2019,EN_MAR_CHLANM,Costa Rica,Moderate,3.7476
2019,EN_MAR_CHLANM,Costa Rica,High,3.4749
2019,EN_MAR_CHLANM,Costa Rica,Extreme,0.3071
2020,EN_MAR_CHLANM,Costa Rica,Extreme,0.00098
2020,EN_MAR_CHLANM,Costa Rica,High,0.64327
2020,EN_MAR_CHLANM,Costa Rica,Moderate,2.65435
2021,EN_MAR_CHLANM,Costa Rica,Moderate,6.52852
2021,EN_MAR_CHLANM,Costa Rica,High,3.34519
2021,EN_MAR_CHLANM,Costa Rica,Extreme,0.00656
2022,EN_MAR_CHLANM,Costa Rica,Extreme,0.84834
2022,EN_MAR_CHLANM,Costa Rica,High,2.87415
