Year,SeriesCode,Country,Age,Disability status,Population Group,Sex,Type of occupation,Value
2019,SG_DMK_JDC_LWR,Denmark,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.3
2019,SG_DMK_JDC_LWR,Denmark,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.87
2020,SG_DMK_JDC_LWR,Denmark,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.04
2020,SG_DMK_JDC_LWR,Denmark,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.54
2020,SG_DMK_JDC_LWR,Denmark,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.71
2020,SG_DMK_JDC_LWR,Denmark,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.27
2020,SG_DMK_JDC_LWR,Estonia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.78
2020,SG_DMK_JDC_LWR,Estonia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.43
2021,SG_DMK_JDC_LWR,Estonia,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.62
2021,SG_DMK_JDC_LWR,Estonia,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.2
2021,SG_DMK_JDC_LWR,Estonia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.79
2021,SG_DMK_JDC_LWR,Estonia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.46
2020,SG_DMK_JDC_LWR,Finland,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.23
2020,SG_DMK_JDC_LWR,Finland,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.81
2019,SG_DMK_JDC_LWR,Germany,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.97
2020,SG_DMK_JDC_LWR,Greece,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.49
2021,SG_DMK_JDC_LWR,Israel,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.09
2021,SG_DMK_JDC_LWR,Israel,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.29
2022,SG_DMK_JDC_LWR,Israel,ALLAGE,Total or no breakdown,POP_A,Both sexes,JUDGES,0.35
2022,SG_DMK_JDC_LWR,Israel,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.25
2022,SG_DMK_JDC_LWR,Israel,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.11
2022,SG_DMK_JDC_LWR,Israel,ALLAGE,Total or no breakdown,POP_A,Both sexes,REGISTRARS,0.48
2022,SG_DMK_JDC_LWR,Israel,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.36
2022,SG_DMK_JDC_LWR,Israel,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.39
2021,SG_DMK_JDC_LWR,Kazakhstan,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.03
2021,SG_DMK_JDC_LWR,Kazakhstan,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.42
2022,SG_DMK_JDC_LWR,Kazakhstan,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.44
2022,SG_DMK_JDC_LWR,Kazakhstan,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.09
2022,SG_DMK_JDC_LWR,Kazakhstan,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.41
2022,SG_DMK_JDC_LWR,Kazakhstan,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.89
2020,SG_DMK_JDC_LWR,Latvia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.67
2020,SG_DMK_JDC_LWR,Latvia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.91
2021,SG_DMK_JDC_LWR,Latvia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.96
2021,SG_DMK_JDC_LWR,Latvia,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.33
2021,SG_DMK_JDC_LWR,Latvia,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.51
2021,SG_DMK_JDC_LWR,Latvia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.66
2020,SG_DMK_JDC_LWR,Lithuania,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.33
2020,SG_DMK_JDC_LWR,Lithuania,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.34
2021,SG_DMK_JDC_LWR,Lithuania,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.5
2021,SG_DMK_JDC_LWR,Lithuania,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.39
2021,SG_DMK_JDC_LWR,Lithuania,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.13
2021,SG_DMK_JDC_LWR,Lithuania,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.75
2020,SG_DMK_JDC_LWR,Malta,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.38
2021,SG_DMK_JDC_LWR,Malta,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.57
2021,SG_DMK_JDC_LWR,Malta,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.42
2019,SG_DMK_JDC_LWR,Mexico,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.51
2020,SG_DMK_JDC_LWR,Mexico,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.29
2020,SG_DMK_JDC_LWR,Mexico,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.82
2020,SG_DMK_JDC_LWR,Mexico,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.5
2019,SG_DMK_JDC_LWR,Moldova,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.02
2019,SG_DMK_JDC_LWR,Moldova,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.68
2021,SG_DMK_JDC_LWR,Moldova,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,0.98
2021,SG_DMK_JDC_LWR,Moldova,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,2.0
2021,SG_DMK_JDC_LWR,Moldova,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,1.25
2021,SG_DMK_JDC_LWR,Moldova,ALLAGE,Persons with disability,TOTAL,Both sexes,REGISTRARS,0.03
2021,SG_DMK_JDC_LWR,Moldova,ALLAGE,Persons with disability,TOTAL,Both sexes,JUDGES,0.06
2021,SG_DMK_JDC_LWR,Moldova,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.71
2018,SG_DMK_JDC_LWR,Poland,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.26
2018,SG_DMK_JDC_LWR,Poland,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.69
2020,SG_DMK_JDC_LWR,Poland,ALLAGE,Persons with disability,TOTAL,Both sexes,REGISTRARS,0.41
2020,SG_DMK_JDC_LWR,Poland,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,1.46
2020,SG_DMK_JDC_LWR,Poland,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.83
2020,SG_DMK_JDC_LWR,Poland,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.69
2020,SG_DMK_JDC_LWR,Poland,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.26
2020,SG_DMK_JDC_LWR,Poland,ALLAGE,Persons with disability,TOTAL,Both sexes,JUDGES,0.1
2020,SG_DMK_JDC_LWR,Slovakia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.36
2020,SG_DMK_JDC_LWR,Slovakia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.96
2021,SG_DMK_JDC_LWR,Slovakia,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.37
2021,SG_DMK_JDC_LWR,Slovakia,<45Y,Total or no breakdown,TOTAL,Both sexes,JUDGES,0.58
2021,SG_DMK_JDC_LWR,Slovakia,<45Y,Total or no breakdown,TOTAL,Both sexes,REGISTRARS,0.87
2021,SG_DMK_JDC_LWR,Slovakia,ALLAGE,Total or no breakdown,TOTAL,Female,REGISTRARS,1.96
2022,SG_DMK_JDC_LWR,Spain,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.34
2022,SG_DMK_JDC_LWR,Spain,ALLAGE,Total or no breakdown,TOTAL,Female,JUDGES,1.34
