Year,SeriesCode,Country,Age,Value
2022,SG_DMK_PARLYP_LC,Czechia,<=45Y,33.0
2023,SG_DMK_PARLYP_LC,Czechia,<=45Y,33.0
2021,SG_DMK_PARLYP_LC,Denmark,<=45Y,49.72
2022,SG_DMK_PARLYP_LC,Denmark,<=45Y,49.72
2023,SG_DMK_PARLYP_LC,Denmark,<=45Y,47.49
2021,SG_DMK_PARLYP_LC,Estonia,<=45Y,35.64
2022,SG_DMK_PARLYP_LC,Estonia,<=45Y,35.64
2023,SG_DMK_PARLYP_LC,Estonia,<=45Y,35.64
2021,SG_DMK_PARLYP_LC,Finland,<=45Y,45.0
2022,SG_DMK_PARLYP_LC,Finland,<=45Y,45.0
2023,SG_DMK_PARLYP_LC,Finland,<=45Y,45.0
2021,SG_DMK_PARLYP_LC,France,<=45Y,36.92
2022,SG_DMK_PARLYP_LC,France,<=45Y,36.92
2023,SG_DMK_PARLYP_LC,France,<=45Y,37.95
2021,SG_DMK_PARLYP_LC,Georgia,<=45Y,52.0
2022,SG_DMK_PARLYP_LC,Georgia,<=45Y,49.33
2023,SG_DMK_PARLYP_LC,Georgia,<=45Y,49.33
2021,SG_DMK_PARLYP_LC,Germany,<=45Y,23.27
2022,SG_DMK_PARLYP_LC,Germany,<=45Y,41.98
2023,SG_DMK_PARLYP_LC,Germany,<=45Y,41.98
2021,SG_DMK_PARLYP_LC,Greece,<=45Y,24.67
2022,SG_DMK_PARLYP_LC,Greece,<=45Y,24.67
2023,SG_DMK_PARLYP_LC,Greece,<=45Y,24.67
2021,SG_DMK_PARLYP_LC,Hungary,<=45Y,32.66
2022,SG_DMK_PARLYP_LC,Hungary,<=45Y,32.66
2023,SG_DMK_PARLYP_LC,Hungary,<=45Y,30.15
2021,SG_DMK_PARLYP_LC,Iceland,<=45Y,36.51
2022,SG_DMK_PARLYP_LC,Iceland,<=45Y,41.27
2023,SG_DMK_PARLYP_LC,Iceland,<=45Y,41.27
2021,SG_DMK_PARLYP_LC,India,<=45Y,20.24
2022,SG_DMK_PARLYP_LC,India,<=45Y,20.24
2023,SG_DMK_PARLYP_LC,India,<=45Y,20.24
2021,SG_DMK_PARLYP_LC,Ireland,<=45Y,41.25
2022,SG_DMK_PARLYP_LC,Ireland,<=45Y,41.25
2023,SG_DMK_PARLYP_LC,Ireland,<=45Y,41.25
2021,SG_DMK_PARLYP_LC,Israel,<=45Y,31.67
2022,SG_DMK_PARLYP_LC,Israel,<=45Y,30.83
2023,SG_DMK_PARLYP_LC,Israel,<=45Y,29.17
2021,SG_DMK_PARLYP_LC,Italy,<=45Y,59.52
2022,SG_DMK_PARLYP_LC,Italy,<=45Y,59.52
2023,SG_DMK_PARLYP_LC,Italy,<=45Y,35.0
2021,SG_DMK_PARLYP_LC,Japan,<=45Y,22.15
2022,SG_DMK_PARLYP_LC,Japan,<=45Y,17.2
2023,SG_DMK_PARLYP_LC,Japan,<=45Y,17.2
2021,SG_DMK_PARLYP_LC,Kazakhstan,<=45Y,11.32
2022,SG_DMK_PARLYP_LC,Kazakhstan,<=45Y,29.25
2023,SG_DMK_PARLYP_LC,Kazakhstan,<=45Y,29.25
2021,SG_DMK_PARLYP_LC,Republic of Korea,<=45Y,7.41
2022,SG_DMK_PARLYP_LC,Republic of Korea,<=45Y,7.41
2023,SG_DMK_PARLYP_LC,Republic of Korea,<=45Y,7.41
2021,SG_DMK_PARLYP_LC,Kyrgyzstan,<=45Y,54.17
2022,SG_DMK_PARLYP_LC,Kyrgyzstan,<=45Y,42.74
2023,SG_DMK_PARLYP_LC,Kyrgyzstan,<=45Y,48.89
2021,SG_DMK_PARLYP_LC,Latvia,<=45Y,51.0
2022,SG_DMK_PARLYP_LC,Latvia,<=45Y,51.0
2023,SG_DMK_PARLYP_LC,Latvia,<=45Y,43.0
2021,SG_DMK_PARLYP_LC,Liechtenstein,<=45Y,16.0
2022,SG_DMK_PARLYP_LC,Liechtenstein,<=45Y,24.0
2023,SG_DMK_PARLYP_LC,Liechtenstein,<=45Y,24.0
2021,SG_DMK_PARLYP_LC,Lithuania,<=45Y,45.39
2022,SG_DMK_PARLYP_LC,Lithuania,<=45Y,45.39
2023,SG_DMK_PARLYP_LC,Lithuania,<=45Y,45.39
2021,SG_DMK_PARLYP_LC,Luxembourg,<=45Y,28.33
2022,SG_DMK_PARLYP_LC,Luxembourg,<=45Y,28.33
2023,SG_DMK_PARLYP_LC,Luxembourg,<=45Y,28.33
2021,SG_DMK_PARLYP_LC,Malta,<=45Y,46.27
2022,SG_DMK_PARLYP_LC,Malta,<=45Y,46.27
2023,SG_DMK_PARLYP_LC,Malta,<=45Y,51.43
2021,SG_DMK_PARLYP_LC,Mexico,<=45Y,44.8
2022,SG_DMK_PARLYP_LC,Mexico,<=45Y,44.8
2023,SG_DMK_PARLYP_LC,Mexico,<=45Y,44.8
2021,SG_DMK_PARLYP_LC,Moldova,<=45Y,48.0
2022,SG_DMK_PARLYP_LC,Moldova,<=45Y,47.52
2023,SG_DMK_PARLYP_LC,Moldova,<=45Y,47.52
2021,SG_DMK_PARLYP_LC,Montenegro,<=45Y,53.09
2022,SG_DMK_PARLYP_LC,Montenegro,<=45Y,53.09
2023,SG_DMK_PARLYP_LC,Montenegro,<=45Y,53.09
2021,SG_DMK_PARLYP_LC,Netherlands (Kingdom of the),<=45Y,55.33
2022,SG_DMK_PARLYP_LC,Netherlands (Kingdom of the),<=45Y,62.0
2023,SG_DMK_PARLYP_LC,Netherlands (Kingdom of the),<=45Y,62.0
2021,SG_DMK_PARLYP_LC,New Zealand,<=45Y,40.83
2022,SG_DMK_PARLYP_LC,New Zealand,<=45Y,40.83
2023,SG_DMK_PARLYP_LC,New Zealand,<=45Y,40.83
2021,SG_DMK_PARLYP_LC,Norway,<=45Y,44.97
2022,SG_DMK_PARLYP_LC,Norway,<=45Y,44.97
2023,SG_DMK_PARLYP_LC,Norway,<=45Y,44.97
2021,SG_DMK_PARLYP_LC,Poland,<=45Y,36.96
2022,SG_DMK_PARLYP_LC,Poland,<=45Y,36.96
2023,SG_DMK_PARLYP_LC,Poland,<=45Y,36.96
2021,SG_DMK_PARLYP_LC,Portugal,<=45Y,39.13
2022,SG_DMK_PARLYP_LC,Portugal,<=45Y,39.13
2023,SG_DMK_PARLYP_LC,Portugal,<=45Y,37.39
2021,SG_DMK_PARLYP_LC,Romania,<=45Y,51.67
2022,SG_DMK_PARLYP_LC,Romania,<=45Y,59.57
2023,SG_DMK_PARLYP_LC,Romania,<=45Y,59.57
2021,SG_DMK_PARLYP_LC,Serbia,<=45Y,56.4
2022,SG_DMK_PARLYP_LC,Serbia,<=45Y,56.4
2023,SG_DMK_PARLYP_LC,Serbia,<=45Y,56.4
2021,SG_DMK_PARLYP_LC,Slovakia,<=45Y,52.03
2022,SG_DMK_PARLYP_LC,Slovakia,<=45Y,52.03
2023,SG_DMK_PARLYP_LC,Slovakia,<=45Y,52.03
2021,SG_DMK_PARLYP_LC,Viet Nam,<=45Y,22.18
2022,SG_DMK_PARLYP_LC,Viet Nam,<=45Y,29.26
2023,SG_DMK_PARLYP_LC,Viet Nam,<=45Y,29.26
2021,SG_DMK_PARLYP_LC,Slovenia,<=45Y,32.22
2022,SG_DMK_PARLYP_LC,Slovenia,<=45Y,32.22
2023,SG_DMK_PARLYP_LC,Slovenia,<=45Y,35.56
2021,SG_DMK_PARLYP_LC,Spain,<=45Y,40.86
2022,SG_DMK_PARLYP_LC,Spain,<=45Y,40.86
2023,SG_DMK_PARLYP_LC,Spain,<=45Y,40.86
2021,SG_DMK_PARLYP_LC,Sweden,<=45Y,46.07
2022,SG_DMK_PARLYP_LC,Sweden,<=45Y,46.07
2023,SG_DMK_PARLYP_LC,Sweden,<=45Y,43.84
2021,SG_DMK_PARLYP_LC,Switzerland,<=45Y,39.5
2022,SG_DMK_PARLYP_LC,Switzerland,<=45Y,39.5
2023,SG_DMK_PARLYP_LC,Switzerland,<=45Y,39.5
2022,SG_DMK_PARLYP_LC,Tajikistan,<=45Y,15.87
2023,SG_DMK_PARLYP_LC,Tajikistan,<=45Y,15.87
2021,SG_DMK_PARLYP_LC,United Arab Emirates,<=45Y,40.0
2022,SG_DMK_PARLYP_LC,United Arab Emirates,<=45Y,40.0
2023,SG_DMK_PARLYP_LC,United Arab Emirates,<=45Y,40.0
2021,SG_DMK_PARLYP_LC,Türkiye,<=45Y,28.67
2022,SG_DMK_PARLYP_LC,Türkiye,<=45Y,28.67
2023,SG_DMK_PARLYP_LC,Türkiye,<=45Y,28.67
2021,SG_DMK_PARLYP_LC,Turkmenistan,<=45Y,63.2
2022,SG_DMK_PARLYP_LC,Turkmenistan,<=45Y,63.2
2023,SG_DMK_PARLYP_LC,Turkmenistan,<=45Y,63.2
2021,SG_DMK_PARLYP_LC,Ukraine,<=45Y,63.36
2022,SG_DMK_PARLYP_LC,Ukraine,<=45Y,63.36
2023,SG_DMK_PARLYP_LC,Ukraine,<=45Y,63.36
2021,SG_DMK_PARLYP_LC,North Macedonia,<=45Y,48.33
2022,SG_DMK_PARLYP_LC,North Macedonia,<=45Y,53.33
2023,SG_DMK_PARLYP_LC,North Macedonia,<=45Y,53.33
2021,SG_DMK_PARLYP_LC,United Kingdom of Great Britain and Northern Ireland,<=45Y,34.0
2022,SG_DMK_PARLYP_LC,United Kingdom of Great Britain and Northern Ireland,<=45Y,34.0
2023,SG_DMK_PARLYP_LC,United Kingdom of Great Britain and Northern Ireland,<=45Y,34.0
2022,SG_DMK_PARLYP_LC,Uzbekistan,<=45Y,47.92
2023,SG_DMK_PARLYP_LC,Uzbekistan,<=45Y,47.92
2023,SG_DMK_PARLYP_LC,Uzbekistan,<=45Y,47.92
