Year,Poverty line,Country,Value
2012,$6.85 a day (2017 PPP) UMIC,Albania,36.7
2014,$2.15 a day (2017 PPP) dollar-a-day,Albania,1.0
2014,$3.65 a day (2017 PPP) LMIC,Albania,9.7
2014,$6.85 a day (2017 PPP) UMIC,Albania,38.7
2015,$2.15 a day (2017 PPP) dollar-a-day,Albania,0.1
2015,$3.65 a day (2017 PPP) LMIC,Albania,3.7
2015,$6.85 a day (2017 PPP) UMIC,Albania,26.2
2016,$2.15 a day (2017 PPP) dollar-a-day,Albania,0.1
2016,$3.65 a day (2017 PPP) LMIC,Albania,4.7
2016,$6.85 a day (2017 PPP) UMIC,Albania,25.4
2017,$2.15 a day (2017 PPP) dollar-a-day,Albania,0.4
2017,$3.65 a day (2017 PPP) LMIC,Albania,3.6
2017,$6.85 a day (2017 PPP) UMIC,Albania,25.5
2018,$2.15 a day (2017 PPP) dollar-a-day,Albania,0.0
2018,$3.65 a day (2017 PPP) LMIC,Albania,2.7
2018,$6.85 a day (2017 PPP) UMIC,Albania,18.2
2019,$2.15 a day (2017 PPP) dollar-a-day,Albania,0.0
2019,$3.65 a day (2017 PPP) LMIC,Albania,1.2
2019,$6.85 a day (2017 PPP) UMIC,Albania,14.9
2020,$2.15 a day (2017 PPP) dollar-a-day,Albania,0.0
2020,$3.65 a day (2017 PPP) LMIC,Albania,1.5
2020,$6.85 a day (2017 PPP) UMIC,Albania,13.7
1999,$2.15 a day (2017 PPP) dollar-a-day,Armenia,11.9
1999,$3.65 a day (2017 PPP) LMIC,Armenia,44.8
1999,$6.85 a day (2017 PPP) UMIC,Armenia,82.3
2001,$2.15 a day (2017 PPP) dollar-a-day,Armenia,14.0
2001,$3.65 a day (2017 PPP) LMIC,Armenia,47.2
2001,$6.85 a day (2017 PPP) UMIC,Armenia,83.8
2002,$2.15 a day (2017 PPP) dollar-a-day,Armenia,10.0
2002,$3.65 a day (2017 PPP) LMIC,Armenia,43.7
2002,$6.85 a day (2017 PPP) UMIC,Armenia,82.9
2003,$2.15 a day (2017 PPP) dollar-a-day,Armenia,7.5
2003,$3.65 a day (2017 PPP) LMIC,Armenia,39.7
2003,$6.85 a day (2017 PPP) UMIC,Armenia,82.6
2004,$2.15 a day (2017 PPP) dollar-a-day,Armenia,5.3
2004,$3.65 a day (2017 PPP) LMIC,Armenia,28.9
2004,$6.85 a day (2017 PPP) UMIC,Armenia,73.5
2005,$2.15 a day (2017 PPP) dollar-a-day,Armenia,2.6
2005,$3.65 a day (2017 PPP) LMIC,Armenia,19.4
2005,$6.85 a day (2017 PPP) UMIC,Armenia,67.5
2006,$2.15 a day (2017 PPP) dollar-a-day,Armenia,2.0
2006,$3.65 a day (2017 PPP) LMIC,Armenia,15.5
2006,$6.85 a day (2017 PPP) UMIC,Armenia,62.8
2007,$2.15 a day (2017 PPP) dollar-a-day,Armenia,1.5
2007,$3.65 a day (2017 PPP) LMIC,Armenia,13.7
2007,$6.85 a day (2017 PPP) UMIC,Armenia,56.0
2008,$2.15 a day (2017 PPP) dollar-a-day,Armenia,0.9
2008,$3.65 a day (2017 PPP) LMIC,Armenia,9.2
2008,$6.85 a day (2017 PPP) UMIC,Armenia,52.1
2009,$2.15 a day (2017 PPP) dollar-a-day,Armenia,1.2
2009,$3.65 a day (2017 PPP) LMIC,Armenia,13.8
2009,$6.85 a day (2017 PPP) UMIC,Armenia,60.7
2010,$2.15 a day (2017 PPP) dollar-a-day,Armenia,1.0
2010,$3.65 a day (2017 PPP) LMIC,Armenia,14.0
2010,$6.85 a day (2017 PPP) UMIC,Armenia,62.1
2011,$2.15 a day (2017 PPP) dollar-a-day,Armenia,1.2
2011,$3.65 a day (2017 PPP) LMIC,Armenia,13.1
2011,$6.85 a day (2017 PPP) UMIC,Armenia,59.3
2012,$2.15 a day (2017 PPP) dollar-a-day,Armenia,0.8
2012,$3.65 a day (2017 PPP) LMIC,Armenia,11.2
2012,$6.85 a day (2017 PPP) UMIC,Armenia,55.2
2013,$2.15 a day (2017 PPP) dollar-a-day,Armenia,1.7
2013,$3.65 a day (2017 PPP) LMIC,Armenia,11.3
2013,$6.85 a day (2017 PPP) UMIC,Armenia,53.1
2014,$2.15 a day (2017 PPP) dollar-a-day,Armenia,1.4
2014,$3.65 a day (2017 PPP) LMIC,Armenia,11.4
2014,$6.85 a day (2017 PPP) UMIC,Armenia,51.1
2015,$2.15 a day (2017 PPP) dollar-a-day,Armenia,1.1
2015,$3.65 a day (2017 PPP) LMIC,Armenia,9.4
2015,$6.85 a day (2017 PPP) UMIC,Armenia,46.7
2016,$2.15 a day (2017 PPP) dollar-a-day,Armenia,1.1
2016,$3.65 a day (2017 PPP) LMIC,Armenia,9.5
2016,$6.85 a day (2017 PPP) UMIC,Armenia,42.4
2017,$2.15 a day (2017 PPP) dollar-a-day,Armenia,0.8
2017,$3.65 a day (2017 PPP) LMIC,Armenia,8.1
2017,$6.85 a day (2017 PPP) UMIC,Armenia,48.7
2018,$2.15 a day (2017 PPP) dollar-a-day,Armenia,1.3
2018,$3.65 a day (2017 PPP) LMIC,Armenia,9.4
2018,$6.85 a day (2017 PPP) UMIC,Armenia,48.9
2019,$2.15 a day (2017 PPP) dollar-a-day,Armenia,1.0
2019,$3.65 a day (2017 PPP) LMIC,Armenia,9.8
2019,$6.85 a day (2017 PPP) UMIC,Armenia,52.1
2020,$2.15 a day (2017 PPP) dollar-a-day,Armenia,0.4
2020,$3.65 a day (2017 PPP) LMIC,Armenia,6.7
2020,$6.85 a day (2017 PPP) UMIC,Armenia,53.2
2021,$2.15 a day (2017 PPP) dollar-a-day,Armenia,0.5
2021,$3.65 a day (2017 PPP) LMIC,Armenia,8.7
2021,$6.85 a day (2017 PPP) UMIC,Armenia,51.7
2001,$2.15 a day (2017 PPP) dollar-a-day,Azerbaijan,6.2
2001,$3.65 a day (2017 PPP) LMIC,Azerbaijan,28.3
2001,$6.85 a day (2017 PPP) UMIC,Azerbaijan,71.0
2002,$2.15 a day (2017 PPP) dollar-a-day,Azerbaijan,0.1
2002,$3.65 a day (2017 PPP) LMIC,Azerbaijan,2.6
2002,$6.85 a day (2017 PPP) UMIC,Azerbaijan,48.5
2003,$2.15 a day (2017 PPP) dollar-a-day,Azerbaijan,0.1
2003,$3.65 a day (2017 PPP) LMIC,Azerbaijan,3.3
2003,$6.85 a day (2017 PPP) UMIC,Azerbaijan,44.6
2004,$2.15 a day (2017 PPP) dollar-a-day,Azerbaijan,0.0
2004,$3.65 a day (2017 PPP) LMIC,Azerbaijan,1.0
2004,$6.85 a day (2017 PPP) UMIC,Azerbaijan,42.3
2005,$2.15 a day (2017 PPP) dollar-a-day,Azerbaijan,0.0
2005,$3.65 a day (2017 PPP) LMIC,Azerbaijan,0.3
2005,$6.85 a day (2017 PPP) UMIC,Azerbaijan,31.3
1998,$2.15 a day (2017 PPP) dollar-a-day,Belarus,21.8
1998,$3.65 a day (2017 PPP) LMIC,Belarus,56.7
1998,$6.85 a day (2017 PPP) UMIC,Belarus,90.1
1999,$2.15 a day (2017 PPP) dollar-a-day,Belarus,19.2
1999,$3.65 a day (2017 PPP) LMIC,Belarus,51.1
1999,$6.85 a day (2017 PPP) UMIC,Belarus,88.0
2000,$2.15 a day (2017 PPP) dollar-a-day,Belarus,13.6
2000,$3.65 a day (2017 PPP) LMIC,Belarus,43.3
2000,$6.85 a day (2017 PPP) UMIC,Belarus,84.4
2001,$2.15 a day (2017 PPP) dollar-a-day,Belarus,6.6
2001,$3.65 a day (2017 PPP) LMIC,Belarus,28.1
2001,$6.85 a day (2017 PPP) UMIC,Belarus,73.7
2002,$2.15 a day (2017 PPP) dollar-a-day,Belarus,4.4
2002,$3.65 a day (2017 PPP) LMIC,Belarus,22.3
2002,$6.85 a day (2017 PPP) UMIC,Belarus,67.7
2003,$2.15 a day (2017 PPP) dollar-a-day,Belarus,3.5
2003,$3.65 a day (2017 PPP) LMIC,Belarus,18.8
2003,$6.85 a day (2017 PPP) UMIC,Belarus,64.8
2004,$2.15 a day (2017 PPP) dollar-a-day,Belarus,1.3
2004,$3.65 a day (2017 PPP) LMIC,Belarus,10.6
2004,$6.85 a day (2017 PPP) UMIC,Belarus,54.3
2005,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.9
2005,$3.65 a day (2017 PPP) LMIC,Belarus,6.0
2005,$6.85 a day (2017 PPP) UMIC,Belarus,36.0
2006,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.4
2006,$3.65 a day (2017 PPP) LMIC,Belarus,3.5
2006,$6.85 a day (2017 PPP) UMIC,Belarus,27.9
2007,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.2
2007,$3.65 a day (2017 PPP) LMIC,Belarus,2.7
2007,$6.85 a day (2017 PPP) UMIC,Belarus,20.7
2008,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.2
2008,$3.65 a day (2017 PPP) LMIC,Belarus,1.7
2008,$6.85 a day (2017 PPP) UMIC,Belarus,16.4
2009,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.1
2009,$3.65 a day (2017 PPP) LMIC,Belarus,1.8
2009,$6.85 a day (2017 PPP) UMIC,Belarus,15.6
2010,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2010,$3.65 a day (2017 PPP) LMIC,Belarus,0.9
2010,$6.85 a day (2017 PPP) UMIC,Belarus,11.8
2011,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2011,$3.65 a day (2017 PPP) LMIC,Belarus,0.6
2011,$6.85 a day (2017 PPP) UMIC,Belarus,10.0
2012,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2012,$3.65 a day (2017 PPP) LMIC,Belarus,0.1
2012,$6.85 a day (2017 PPP) UMIC,Belarus,5.9
2013,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2013,$3.65 a day (2017 PPP) LMIC,Belarus,0.1
2013,$6.85 a day (2017 PPP) UMIC,Belarus,3.4
2014,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2014,$3.65 a day (2017 PPP) LMIC,Belarus,0.1
2014,$6.85 a day (2017 PPP) UMIC,Belarus,3.2
2015,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2015,$3.65 a day (2017 PPP) LMIC,Belarus,0.1
2015,$6.85 a day (2017 PPP) UMIC,Belarus,4.1
2016,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2016,$3.65 a day (2017 PPP) LMIC,Belarus,0.1
2016,$6.85 a day (2017 PPP) UMIC,Belarus,4.6
2017,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2017,$3.65 a day (2017 PPP) LMIC,Belarus,0.1
2017,$6.85 a day (2017 PPP) UMIC,Belarus,3.3
2018,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2018,$3.65 a day (2017 PPP) LMIC,Belarus,0.1
2018,$6.85 a day (2017 PPP) UMIC,Belarus,1.9
2019,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2019,$3.65 a day (2017 PPP) LMIC,Belarus,0.0
2019,$6.85 a day (2017 PPP) UMIC,Belarus,2.4
2020,$2.15 a day (2017 PPP) dollar-a-day,Belarus,0.0
2020,$3.65 a day (2017 PPP) LMIC,Belarus,0.1
2020,$6.85 a day (2017 PPP) UMIC,Belarus,1.3
2001,$2.15 a day (2017 PPP) dollar-a-day,Bosnia and Herzegovina,0.3
2001,$3.65 a day (2017 PPP) LMIC,Bosnia and Herzegovina,1.1
2001,$6.85 a day (2017 PPP) UMIC,Bosnia and Herzegovina,13.8
2004,$2.15 a day (2017 PPP) dollar-a-day,Bosnia and Herzegovina,0.2
2004,$3.65 a day (2017 PPP) LMIC,Bosnia and Herzegovina,0.7
2004,$6.85 a day (2017 PPP) UMIC,Bosnia and Herzegovina,6.6
2007,$2.15 a day (2017 PPP) dollar-a-day,Bosnia and Herzegovina,0.1
2007,$3.65 a day (2017 PPP) LMIC,Bosnia and Herzegovina,0.4
2007,$6.85 a day (2017 PPP) UMIC,Bosnia and Herzegovina,4.8
2011,$2.15 a day (2017 PPP) dollar-a-day,Bosnia and Herzegovina,0.1
2011,$3.65 a day (2017 PPP) LMIC,Bosnia and Herzegovina,0.8
2011,$6.85 a day (2017 PPP) UMIC,Bosnia and Herzegovina,5.8
1998,$2.15 a day (2017 PPP) dollar-a-day,Georgia,17.0
1998,$3.65 a day (2017 PPP) LMIC,Georgia,39.4
1998,$6.85 a day (2017 PPP) UMIC,Georgia,74.1
1999,$2.15 a day (2017 PPP) dollar-a-day,Georgia,21.8
1999,$3.65 a day (2017 PPP) LMIC,Georgia,47.1
1999,$6.85 a day (2017 PPP) UMIC,Georgia,79.6
2000,$2.15 a day (2017 PPP) dollar-a-day,Georgia,22.9
2000,$3.65 a day (2017 PPP) LMIC,Georgia,49.6
2000,$6.85 a day (2017 PPP) UMIC,Georgia,81.6
2001,$2.15 a day (2017 PPP) dollar-a-day,Georgia,23.0
2001,$3.65 a day (2017 PPP) LMIC,Georgia,52.4
2001,$6.85 a day (2017 PPP) UMIC,Georgia,83.5
2002,$2.15 a day (2017 PPP) dollar-a-day,Georgia,12.7
2002,$3.65 a day (2017 PPP) LMIC,Georgia,35.5
2002,$6.85 a day (2017 PPP) UMIC,Georgia,72.7
2003,$2.15 a day (2017 PPP) dollar-a-day,Georgia,12.9
2003,$3.65 a day (2017 PPP) LMIC,Georgia,35.9
2003,$6.85 a day (2017 PPP) UMIC,Georgia,72.0
2004,$2.15 a day (2017 PPP) dollar-a-day,Georgia,12.4
2004,$3.65 a day (2017 PPP) LMIC,Georgia,32.7
2004,$6.85 a day (2017 PPP) UMIC,Georgia,70.0
2005,$2.15 a day (2017 PPP) dollar-a-day,Georgia,12.9
2005,$3.65 a day (2017 PPP) LMIC,Georgia,35.2
2005,$6.85 a day (2017 PPP) UMIC,Georgia,71.7
2006,$2.15 a day (2017 PPP) dollar-a-day,Georgia,12.6
2006,$3.65 a day (2017 PPP) LMIC,Georgia,35.6
2006,$6.85 a day (2017 PPP) UMIC,Georgia,72.7
2007,$2.15 a day (2017 PPP) dollar-a-day,Georgia,14.2
2007,$3.65 a day (2017 PPP) LMIC,Georgia,37.8
2007,$6.85 a day (2017 PPP) UMIC,Georgia,74.1
2008,$2.15 a day (2017 PPP) dollar-a-day,Georgia,12.4
2008,$3.65 a day (2017 PPP) LMIC,Georgia,34.1
2008,$6.85 a day (2017 PPP) UMIC,Georgia,70.2
2009,$2.15 a day (2017 PPP) dollar-a-day,Georgia,12.1
2009,$3.65 a day (2017 PPP) LMIC,Georgia,34.3
2009,$6.85 a day (2017 PPP) UMIC,Georgia,70.5
2010,$2.15 a day (2017 PPP) dollar-a-day,Georgia,14.4
2010,$3.65 a day (2017 PPP) LMIC,Georgia,35.7
2010,$6.85 a day (2017 PPP) UMIC,Georgia,70.6
2011,$2.15 a day (2017 PPP) dollar-a-day,Georgia,13.4
2011,$3.65 a day (2017 PPP) LMIC,Georgia,33.3
2011,$6.85 a day (2017 PPP) UMIC,Georgia,69.0
2012,$2.15 a day (2017 PPP) dollar-a-day,Georgia,10.7
2012,$3.65 a day (2017 PPP) LMIC,Georgia,29.6
2012,$6.85 a day (2017 PPP) UMIC,Georgia,65.5
2013,$2.15 a day (2017 PPP) dollar-a-day,Georgia,8.1
2013,$3.65 a day (2017 PPP) LMIC,Georgia,25.3
2013,$6.85 a day (2017 PPP) UMIC,Georgia,60.0
2014,$2.15 a day (2017 PPP) dollar-a-day,Georgia,6.1
2014,$3.65 a day (2017 PPP) LMIC,Georgia,22.0
2014,$6.85 a day (2017 PPP) UMIC,Georgia,57.0
2015,$2.15 a day (2017 PPP) dollar-a-day,Georgia,4.9
2015,$3.65 a day (2017 PPP) LMIC,Georgia,20.0
2015,$6.85 a day (2017 PPP) UMIC,Georgia,56.2
2016,$2.15 a day (2017 PPP) dollar-a-day,Georgia,4.9
2016,$3.65 a day (2017 PPP) LMIC,Georgia,20.1
2016,$6.85 a day (2017 PPP) UMIC,Georgia,56.3
2017,$2.15 a day (2017 PPP) dollar-a-day,Georgia,6.2
