Year,SeriesCode,Country,Education level,Value
2010,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99979
2010,SE_GPI_TCAQ,Costa Rica,PREPRI,1.2369
2010,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.99304
2010,SE_GPI_TCAQ,Costa Rica,SECOND,0.99349
2010,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.99384
2011,SE_GPI_TCAQ,Costa Rica,SECOND,0.99428
2011,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.99316
2011,SE_GPI_TCAQ,Costa Rica,PREPRI,1.19856
2011,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99868
2011,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.99489
2013,SE_GPI_TCAQ,Costa Rica,PRIMAR,1.00044
2013,SE_GPI_TCAQ,Costa Rica,PREPRI,1.00089
2013,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.9959
2013,SE_GPI_TCAQ,Costa Rica,SECOND,0.99587
2013,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.99588
2014,SE_GPI_TCAQ,Costa Rica,PREPRI,0.99632
2014,SE_GPI_TCAQ,Costa Rica,PRIMAR,1.00018
2014,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.99544
2014,SE_GPI_TCAQ,Costa Rica,SECOND,0.9952
2014,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.9948
2015,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99977
2015,SE_GPI_TCAQ,Costa Rica,PREPRI,0.99331
2015,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.99931
2015,SE_GPI_TCAQ,Costa Rica,SECOND,0.9992
2015,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.99907
2016,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.99888
2016,SE_GPI_TCAQ,Costa Rica,SECOND,0.99902
2016,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.99926
2021,SE_GPI_TCAQ,Albania,PREPRI,2.0
2000,SE_GPI_TCAQ,Azerbaijan,PREPRI,1.36833
2000,SE_GPI_TCAQ,Azerbaijan,PRIMAR,0.99938
2001,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00004
2001,SE_GPI_TCAQ,Azerbaijan,PREPRI,2.0
2002,SE_GPI_TCAQ,Azerbaijan,PREPRI,2.0
2002,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.0
2003,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00293
2003,SE_GPI_TCAQ,Azerbaijan,PREPRI,0.82725
2004,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00337
2004,SE_GPI_TCAQ,Azerbaijan,PREPRI,2.0
2005,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00086
2005,SE_GPI_TCAQ,Azerbaijan,PREPRI,0.93009
2006,SE_GPI_TCAQ,Azerbaijan,PREPRI,0.8986
2006,SE_GPI_TCAQ,Azerbaijan,PRIMAR,0.99979
2007,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00017
2007,SE_GPI_TCAQ,Azerbaijan,PREPRI,0.90494
2008,SE_GPI_TCAQ,Azerbaijan,PREPRI,1.13248
2008,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00094
2010,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00066
2011,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00033
2011,SE_GPI_TCAQ,Azerbaijan,PREPRI,1.07245
2012,SE_GPI_TCAQ,Azerbaijan,PREPRI,0.94802
2012,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00019
2013,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00018
2015,SE_GPI_TCAQ,Azerbaijan,PREPRI,0.91142
2016,SE_GPI_TCAQ,Azerbaijan,PREPRI,0.87951
2016,SE_GPI_TCAQ,Azerbaijan,LOWSEC,1.00087
2017,SE_GPI_TCAQ,Azerbaijan,LOWSEC,1.00463
2017,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00189
2018,SE_GPI_TCAQ,Azerbaijan,PREPRI,0.91013
2018,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.03229
2018,SE_GPI_TCAQ,Azerbaijan,UPPSEC,1.00538
2018,SE_GPI_TCAQ,Azerbaijan,SECOND,1.00394
2018,SE_GPI_TCAQ,Azerbaijan,LOWSEC,1.00165
2019,SE_GPI_TCAQ,Azerbaijan,PREPRI,2.0
2019,SE_GPI_TCAQ,Azerbaijan,LOWSEC,1.01035
2019,SE_GPI_TCAQ,Azerbaijan,SECOND,1.01691
2019,SE_GPI_TCAQ,Azerbaijan,UPPSEC,1.02794
2019,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00859
2020,SE_GPI_TCAQ,Azerbaijan,PRIMAR,1.00053
2020,SE_GPI_TCAQ,Azerbaijan,UPPSEC,1.03263
2020,SE_GPI_TCAQ,Azerbaijan,SECOND,1.01057
2020,SE_GPI_TCAQ,Azerbaijan,LOWSEC,1.00076
2020,SE_GPI_TCAQ,Azerbaijan,PREPRI,2.0
2021,SE_GPI_TCAQ,Azerbaijan,LOWSEC,1.00029
2021,SE_GPI_TCAQ,Azerbaijan,SECOND,1.00402
2021,SE_GPI_TCAQ,Azerbaijan,UPPSEC,1.01239
2021,SE_GPI_TCAQ,Azerbaijan,PRIMAR,0.99897
2021,SE_GPI_TCAQ,Azerbaijan,PREPRI,1.28283
2013,SE_GPI_TCAQ,Mexico,PRIMAR,1.07011
2013,SE_GPI_TCAQ,Mexico,PREPRI,1.52252
2014,SE_GPI_TCAQ,Mexico,PREPRI,1.53214
2014,SE_GPI_TCAQ,Mexico,SECOND,1.01661
2014,SE_GPI_TCAQ,Mexico,PRIMAR,1.06748
2015,SE_GPI_TCAQ,Mexico,PRIMAR,1.06964
2015,SE_GPI_TCAQ,Mexico,SECOND,1.03275
2015,SE_GPI_TCAQ,Mexico,PREPRI,1.59657
2016,SE_GPI_TCAQ,Mexico,PREPRI,1.4342
2016,SE_GPI_TCAQ,Mexico,SECOND,0.98782
2016,SE_GPI_TCAQ,Mexico,PRIMAR,1.06467
2017,SE_GPI_TCAQ,Mexico,PRIMAR,1.06068
2017,SE_GPI_TCAQ,Mexico,SECOND,0.96918
2017,SE_GPI_TCAQ,Mexico,PREPRI,1.41072
2018,SE_GPI_TCAQ,Mexico,SECOND,1.02185
2018,SE_GPI_TCAQ,Mexico,PRIMAR,1.05055
2018,SE_GPI_TCAQ,Mexico,PREPRI,1.4198
2019,SE_GPI_TCAQ,Mexico,PRIMAR,1.0509
2019,SE_GPI_TCAQ,Mexico,PREPRI,1.54122
2020,SE_GPI_TCAQ,Mexico,PREPRI,1.36221
2016,SE_GPI_TCAQ,Costa Rica,PREPRI,0.99595
2016,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99974
2017,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99983
2017,SE_GPI_TCAQ,Costa Rica,UPPSEC,1.00013
2017,SE_GPI_TCAQ,Costa Rica,SECOND,0.99991
2017,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.99978
2018,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.99844
2018,SE_GPI_TCAQ,Costa Rica,SECOND,0.99861
2018,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.99844
2018,SE_GPI_TCAQ,Costa Rica,PRIMAR,1.00967
2018,SE_GPI_TCAQ,Costa Rica,PREPRI,0.99719
2019,SE_GPI_TCAQ,Costa Rica,SECOND,0.9997
2019,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.99987
2019,SE_GPI_TCAQ,Costa Rica,PREPRI,0.99676
2019,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99971
2019,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.99973
2020,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.99937
2020,SE_GPI_TCAQ,Costa Rica,SECOND,0.99934
2020,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.99929
2020,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99966
2020,SE_GPI_TCAQ,Costa Rica,PREPRI,0.99755
2000,SE_GPI_TCAQ,Croatia,PRIMAR,1.0
2000,SE_GPI_TCAQ,Croatia,SECOND,1.0
2000,SE_GPI_TCAQ,Croatia,LOWSEC,1.0
2000,SE_GPI_TCAQ,Croatia,UPPSEC,1.0
2000,SE_GPI_TCAQ,Croatia,PREPRI,0.88472
2001,SE_GPI_TCAQ,Croatia,SECOND,1.0
2001,SE_GPI_TCAQ,Croatia,PRIMAR,1.0
2001,SE_GPI_TCAQ,Croatia,PREPRI,0.85625
2001,SE_GPI_TCAQ,Croatia,UPPSEC,1.0
2001,SE_GPI_TCAQ,Croatia,LOWSEC,1.0
2002,SE_GPI_TCAQ,Croatia,LOWSEC,1.0
2002,SE_GPI_TCAQ,Croatia,UPPSEC,1.0
2002,SE_GPI_TCAQ,Croatia,PREPRI,0.85377
2002,SE_GPI_TCAQ,Croatia,PRIMAR,1.0
2002,SE_GPI_TCAQ,Croatia,SECOND,1.0
2003,SE_GPI_TCAQ,Croatia,PRIMAR,1.0
2003,SE_GPI_TCAQ,Croatia,PREPRI,0.83794
2003,SE_GPI_TCAQ,Croatia,UPPSEC,1.0
2003,SE_GPI_TCAQ,Croatia,LOWSEC,1.0
2020,SE_GPI_TCAQ,Mexico,SECOND,1.01151
2020,SE_GPI_TCAQ,Mexico,PRIMAR,1.04325
2019,SE_GPI_TCAQ,Moldova,UPPSEC,1.0
2019,SE_GPI_TCAQ,Moldova,SECOND,1.0
2019,SE_GPI_TCAQ,Moldova,PREPRI,1.0
2019,SE_GPI_TCAQ,Moldova,LOWSEC,1.0
2019,SE_GPI_TCAQ,Moldova,PRIMAR,1.0
2020,SE_GPI_TCAQ,Moldova,UPPSEC,1.0
2020,SE_GPI_TCAQ,Moldova,PRIMAR,1.0
2020,SE_GPI_TCAQ,Moldova,LOWSEC,1.0
2020,SE_GPI_TCAQ,Moldova,PREPRI,1.0
2020,SE_GPI_TCAQ,Moldova,SECOND,1.0
2021,SE_GPI_TCAQ,Moldova,UPPSEC,1.0
2021,SE_GPI_TCAQ,Moldova,SECOND,1.0
2021,SE_GPI_TCAQ,Moldova,PREPRI,1.0
2021,SE_GPI_TCAQ,Moldova,LOWSEC,1.0
2021,SE_GPI_TCAQ,Moldova,PRIMAR,1.0
2018,SE_GPI_TCAQ,Poland,SECOND,1.0
2018,SE_GPI_TCAQ,Poland,UPPSEC,1.0
2018,SE_GPI_TCAQ,Poland,PRIMAR,1.0
2003,SE_GPI_TCAQ,Croatia,SECOND,1.0
2000,SE_GPI_TCAQ,Georgia,UPPSEC,0.98161
2000,SE_GPI_TCAQ,Georgia,SECOND,1.47065
2000,SE_GPI_TCAQ,Georgia,LOWSEC,1.7105
2000,SE_GPI_TCAQ,Georgia,PRIMAR,0.99759
2000,SE_GPI_TCAQ,Georgia,PREPRI,2.0
2002,SE_GPI_TCAQ,Georgia,PREPRI,2.0
2003,SE_GPI_TCAQ,Georgia,PREPRI,2.0
2008,SE_GPI_TCAQ,Georgia,PRIMAR,1.00139
2009,SE_GPI_TCAQ,Georgia,PRIMAR,1.03272
2018,SE_GPI_TCAQ,Poland,LOWSEC,1.0
2018,SE_GPI_TCAQ,Poland,PREPRI,1.0
2019,SE_GPI_TCAQ,Poland,PRIMAR,1.0
2019,SE_GPI_TCAQ,Poland,UPPSEC,1.0
2019,SE_GPI_TCAQ,Poland,SECOND,1.0
2019,SE_GPI_TCAQ,Poland,PREPRI,1.0
2019,SE_GPI_TCAQ,Poland,LOWSEC,1.0
2000,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2000,SE_GPI_TCAQ,Portugal,SECOND,1.0
2001,SE_GPI_TCAQ,Portugal,SECOND,1.0
2001,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2003,SE_GPI_TCAQ,Portugal,SECOND,1.0
2004,SE_GPI_TCAQ,Portugal,SECOND,1.0
2004,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2004,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2005,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2005,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2005,SE_GPI_TCAQ,Portugal,SECOND,1.0
2006,SE_GPI_TCAQ,Portugal,SECOND,1.0
2006,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2006,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2007,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2007,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2007,SE_GPI_TCAQ,Portugal,SECOND,1.0
2008,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2008,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2008,SE_GPI_TCAQ,Portugal,SECOND,1.0
2009,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2009,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2009,SE_GPI_TCAQ,Portugal,SECOND,1.0
2010,SE_GPI_TCAQ,Portugal,SECOND,1.0
2010,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2010,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2011,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2011,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2011,SE_GPI_TCAQ,Portugal,SECOND,1.0
2012,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2012,SE_GPI_TCAQ,Portugal,SECOND,1.0
2012,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2013,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2013,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2013,SE_GPI_TCAQ,Portugal,SECOND,1.0
2014,SE_GPI_TCAQ,Portugal,SECOND,1.0
2014,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2014,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2015,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2015,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2015,SE_GPI_TCAQ,Portugal,SECOND,1.0
2016,SE_GPI_TCAQ,Portugal,SECOND,1.0
2016,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2016,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2017,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2017,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2017,SE_GPI_TCAQ,Portugal,SECOND,1.0
2018,SE_GPI_TCAQ,Portugal,SECOND,1.0
2018,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2018,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2019,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2019,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2019,SE_GPI_TCAQ,Portugal,SECOND,1.0
2020,SE_GPI_TCAQ,Portugal,SECOND,1.0
2020,SE_GPI_TCAQ,Portugal,PREPRI,1.0
2020,SE_GPI_TCAQ,Portugal,PRIMAR,1.0
2007,SE_GPI_TCAQ,Serbia,PRIMAR,1.0
2007,SE_GPI_TCAQ,Serbia,LOWSEC,1.0
2007,SE_GPI_TCAQ,Serbia,SECOND,1.0
2007,SE_GPI_TCAQ,Serbia,PREPRI,1.0
2007,SE_GPI_TCAQ,Serbia,UPPSEC,1.0
2011,SE_GPI_TCAQ,Serbia,SECOND,1.32514
2011,SE_GPI_TCAQ,Serbia,PREPRI,1.00556
2009,SE_GPI_TCAQ,Georgia,LOWSEC,1.03252
2009,SE_GPI_TCAQ,Georgia,SECOND,1.02912
2009,SE_GPI_TCAQ,Georgia,UPPSEC,1.02619
2016,SE_GPI_TCAQ,India,LOWSEC,1.038
2017,SE_GPI_TCAQ,India,LOWSEC,1.04191
2017,SE_GPI_TCAQ,India,PRIMAR,1.01986
2017,SE_GPI_TCAQ,India,UPPSEC,1.0513
2017,SE_GPI_TCAQ,India,SECOND,1.04625
2019,SE_GPI_TCAQ,India,SECOND,1.0238
2019,SE_GPI_TCAQ,India,UPPSEC,1.02742
2019,SE_GPI_TCAQ,India,PRIMAR,0.98584
2019,SE_GPI_TCAQ,India,LOWSEC,1.02231
2020,SE_GPI_TCAQ,India,LOWSEC,1.01398
2020,SE_GPI_TCAQ,India,PREPRI,2.0
2020,SE_GPI_TCAQ,India,PRIMAR,0.98137
2020,SE_GPI_TCAQ,India,UPPSEC,1.03228
2020,SE_GPI_TCAQ,India,SECOND,1.02074
2021,SE_GPI_TCAQ,India,LOWSEC,1.00338
2021,SE_GPI_TCAQ,India,SECOND,1.01176
2021,SE_GPI_TCAQ,India,UPPSEC,1.02471
2011,SE_GPI_TCAQ,Serbia,LOWSEC,1.32314
2011,SE_GPI_TCAQ,Serbia,PRIMAR,1.39251
2012,SE_GPI_TCAQ,Serbia,PRIMAR,1.41353
2000,SE_GPI_TCAQ,Viet Nam,PREPRI,2.0
2000,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.08786
2000,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.06056
2001,SE_GPI_TCAQ,Viet Nam,LOWSEC,0.98428
2001,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.0679
2001,SE_GPI_TCAQ,Viet Nam,PREPRI,2.0
2002,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.00001
2002,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.02175
2006,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.00163
2006,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.03149
2007,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.04457
2007,SE_GPI_TCAQ,Viet Nam,LOWSEC,0.99374
2008,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.01897
2008,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.05592
2009,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.00559
2009,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.02667
2010,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.00568
2011,SE_GPI_TCAQ,Viet Nam,PRIMAR,0.99889
2012,SE_GPI_TCAQ,Viet Nam,PRIMAR,0.99816
2012,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.00376
2014,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.0
2014,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.0
2014,SE_GPI_TCAQ,Viet Nam,PREPRI,1.12894
2015,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.00356
2015,SE_GPI_TCAQ,Viet Nam,PREPRI,1.0212
2015,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.00607
2016,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.0029
2016,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.0045
2017,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.02206
2018,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.02393
2018,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.00149
2018,SE_GPI_TCAQ,Viet Nam,PREPRI,1.02456
2019,SE_GPI_TCAQ,Viet Nam,PREPRI,0.99976
2019,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.00596
2019,SE_GPI_TCAQ,Viet Nam,LOWSEC,0.99984
2020,SE_GPI_TCAQ,Viet Nam,LOWSEC,0.99999
2020,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.0
2021,SE_GPI_TCAQ,India,PRIMAR,0.98619
2021,SE_GPI_TCAQ,India,PREPRI,2.0
2022,SE_GPI_TCAQ,India,LOWSEC,1.00707
2022,SE_GPI_TCAQ,India,PREPRI,1.20201
2022,SE_GPI_TCAQ,India,PRIMAR,0.99068
2022,SE_GPI_TCAQ,India,UPPSEC,1.01883
2022,SE_GPI_TCAQ,India,SECOND,1.01081
2014,SE_GPI_TCAQ,Kazakhstan,PREPRI,1.0
2014,SE_GPI_TCAQ,Kazakhstan,PRIMAR,1.0
2015,SE_GPI_TCAQ,Kazakhstan,PRIMAR,1.0
2020,SE_GPI_TCAQ,Viet Nam,PREPRI,1.00476
2021,SE_GPI_TCAQ,Viet Nam,PREPRI,1.28072
2021,SE_GPI_TCAQ,Viet Nam,PRIMAR,1.05512
2021,SE_GPI_TCAQ,Viet Nam,LOWSEC,1.01653
2001,SE_GPI_TCAQ,Spain,SECOND,1.0
2001,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2002,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2002,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2002,SE_GPI_TCAQ,Spain,SECOND,1.0
2002,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2003,SE_GPI_TCAQ,Spain,SECOND,1.0
2003,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2003,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2003,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2004,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2004,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2004,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2004,SE_GPI_TCAQ,Spain,SECOND,1.0
2005,SE_GPI_TCAQ,Spain,SECOND,1.0
2005,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2015,SE_GPI_TCAQ,Kazakhstan,SECOND,1.0
2016,SE_GPI_TCAQ,Kazakhstan,SECOND,1.0
2016,SE_GPI_TCAQ,Kazakhstan,PRIMAR,1.0
2017,SE_GPI_TCAQ,Kazakhstan,PRIMAR,1.0
2017,SE_GPI_TCAQ,Kazakhstan,SECOND,1.0
2018,SE_GPI_TCAQ,Kazakhstan,SECOND,1.0
2018,SE_GPI_TCAQ,Kazakhstan,PRIMAR,1.0
2019,SE_GPI_TCAQ,Kazakhstan,SECOND,1.0
2019,SE_GPI_TCAQ,Kazakhstan,PRIMAR,1.0
2020,SE_GPI_TCAQ,Kazakhstan,SECOND,1.0
2005,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2005,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2006,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2006,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2006,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2006,SE_GPI_TCAQ,Spain,SECOND,1.0
2007,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2007,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2007,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2007,SE_GPI_TCAQ,Spain,SECOND,1.0
2008,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2008,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2008,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2008,SE_GPI_TCAQ,Spain,SECOND,1.0
2009,SE_GPI_TCAQ,Spain,SECOND,1.0
2009,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2009,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2009,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2010,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2010,SE_GPI_TCAQ,Spain,SECOND,1.0
2020,SE_GPI_TCAQ,Kazakhstan,PRIMAR,1.0
2000,SE_GPI_TCAQ,Republic of Korea,PRIMAR,1.0
2000,SE_GPI_TCAQ,Republic of Korea,LOWSEC,1.0
2000,SE_GPI_TCAQ,Republic of Korea,SECOND,1.0
2000,SE_GPI_TCAQ,Republic of Korea,UPPSEC,1.0
2001,SE_GPI_TCAQ,Republic of Korea,LOWSEC,1.0
2001,SE_GPI_TCAQ,Republic of Korea,PRIMAR,1.0
2001,SE_GPI_TCAQ,Republic of Korea,UPPSEC,1.0
2001,SE_GPI_TCAQ,Republic of Korea,SECOND,1.0
2002,SE_GPI_TCAQ,Republic of Korea,PRIMAR,1.0
2010,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2010,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2011,SE_GPI_TCAQ,Spain,SECOND,1.0
2011,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2011,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2011,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2012,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2012,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2012,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2012,SE_GPI_TCAQ,Spain,SECOND,1.0
2002,SE_GPI_TCAQ,Republic of Korea,LOWSEC,1.0
2002,SE_GPI_TCAQ,Republic of Korea,SECOND,1.0
2002,SE_GPI_TCAQ,Republic of Korea,UPPSEC,1.0
2003,SE_GPI_TCAQ,Republic of Korea,UPPSEC,1.0
2003,SE_GPI_TCAQ,Republic of Korea,SECOND,1.0
2003,SE_GPI_TCAQ,Republic of Korea,LOWSEC,1.0
2003,SE_GPI_TCAQ,Republic of Korea,PRIMAR,1.0
2004,SE_GPI_TCAQ,Republic of Korea,SECOND,1.0
2004,SE_GPI_TCAQ,Republic of Korea,UPPSEC,1.0
2004,SE_GPI_TCAQ,Republic of Korea,PRIMAR,1.0
2013,SE_GPI_TCAQ,Spain,LOWSEC,1.0
2013,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2013,SE_GPI_TCAQ,Spain,SECOND,1.0
2013,SE_GPI_TCAQ,Spain,PREPRI,1.0
2013,SE_GPI_TCAQ,Spain,UPPSEC,1.0
2014,SE_GPI_TCAQ,Spain,PRIMAR,1.0
2014,SE_GPI_TCAQ,Spain,LOWSEC,1.0
