Year,SeriesCode,Country,Sex,Type of occupation,Value
2020,SH_MED_HWRKDIS,Estonia,Male,NURS,3.8
2020,SH_MED_HWRKDIS,Estonia,Female,NURS,96.2
2020,SH_MED_HWRKDIS,Estonia,Female,PHYS,72.5
2013,SH_MED_HWRKDIS,Finland,Female,NURS,93.1
2006,SH_MED_HWRKDIS,Armenia,Male,PHYS,29.5
2006,SH_MED_HWRKDIS,Armenia,Female,PHYS,70.5
2007,SH_MED_HWRKDIS,Armenia,Female,PHYS,70.7
2007,SH_MED_HWRKDIS,Armenia,Male,PHYS,29.3
2008,SH_MED_HWRKDIS,Armenia,Male,PHYS,29.6
2008,SH_MED_HWRKDIS,Armenia,Female,PHYS,70.4
2009,SH_MED_HWRKDIS,Armenia,Male,PHYS,30.0
2009,SH_MED_HWRKDIS,Armenia,Female,PHYS,70.0
2010,SH_MED_HWRKDIS,Armenia,Female,PHYS,69.5
2010,SH_MED_HWRKDIS,Armenia,Male,PHYS,30.5
2011,SH_MED_HWRKDIS,Armenia,Male,PHYS,30.5
2011,SH_MED_HWRKDIS,Armenia,Female,PHYS,69.5
2011,SH_MED_HWRKDIS,Armenia,Male,NURS,2.4
2011,SH_MED_HWRKDIS,Armenia,Female,NURS,97.6
2012,SH_MED_HWRKDIS,Armenia,Female,PHYS,69.2
2012,SH_MED_HWRKDIS,Armenia,Male,PHYS,30.8
2013,SH_MED_HWRKDIS,Armenia,Female,PHYS,69.2
2013,SH_MED_HWRKDIS,Armenia,Male,PHYS,30.8
2014,SH_MED_HWRKDIS,Armenia,Male,PHYS,30.4
2014,SH_MED_HWRKDIS,Armenia,Female,PHYS,69.6
2015,SH_MED_HWRKDIS,Armenia,Male,PHYS,30.5
2015,SH_MED_HWRKDIS,Armenia,Female,PHYS,69.5
2016,SH_MED_HWRKDIS,Belgium,Male,NURS,13.7
2016,SH_MED_HWRKDIS,Belgium,Female,NURS,86.3
2003,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,90.5
2003,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,9.5
2004,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,8.5
2004,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,91.5
2005,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,91.5
2005,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,8.5
2006,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,9.6
2006,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,90.4
2007,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,10.8
2007,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,89.2
2008,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,89.5
2008,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,10.5
2009,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,11.7
2009,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,88.3
2010,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,88.8
2010,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,11.2
2011,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,11.8
2011,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,88.2
2012,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,12.1
2012,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,87.9
2013,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,12.3
2013,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,87.7
2013,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,NURS,20.5
2013,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,NURS,79.5
2014,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,NURS,78.2
2014,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,NURS,21.8
2015,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,NURS,21.4
2015,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,NURS,78.6
2015,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,PHYS,12.3
2015,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,PHYS,87.7
2016,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,NURS,78.2
2016,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,NURS,21.8
2017,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,NURS,22.3
2017,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,NURS,77.7
2018,SH_MED_HWRKDIS,Bosnia and Herzegovina,Male,NURS,22.5
2018,SH_MED_HWRKDIS,Bosnia and Herzegovina,Female,NURS,77.5
2014,SH_MED_HWRKDIS,Bulgaria,Male,PHYS,44.4
2014,SH_MED_HWRKDIS,Bulgaria,Female,PHYS,55.6
2015,SH_MED_HWRKDIS,Bulgaria,Female,PHYS,55.1
2015,SH_MED_HWRKDIS,Bulgaria,Male,PHYS,44.9
2015,SH_MED_HWRKDIS,Bulgaria,Male,NURS,0.4
2015,SH_MED_HWRKDIS,Bulgaria,Female,NURS,99.6
2016,SH_MED_HWRKDIS,Bulgaria,Female,NURS,99.6
2016,SH_MED_HWRKDIS,Bulgaria,Male,NURS,0.4
2017,SH_MED_HWRKDIS,Bulgaria,Male,NURS,0.6
2017,SH_MED_HWRKDIS,Bulgaria,Female,NURS,99.4
2018,SH_MED_HWRKDIS,Bulgaria,Female,NURS,99.4
2018,SH_MED_HWRKDIS,Bulgaria,Male,NURS,0.6
2009,SH_MED_HWRKDIS,Belarus,Male,NURS,0.6
2009,SH_MED_HWRKDIS,Belarus,Female,NURS,99.4
2011,SH_MED_HWRKDIS,Belarus,Female,PHYS,70.2
2011,SH_MED_HWRKDIS,Belarus,Male,PHYS,29.8
2012,SH_MED_HWRKDIS,Belarus,Male,PHYS,29.3
2012,SH_MED_HWRKDIS,Belarus,Female,PHYS,70.7
2013,SH_MED_HWRKDIS,Belarus,Male,PHYS,28.9
2013,SH_MED_HWRKDIS,Belarus,Female,PHYS,71.1
2014,SH_MED_HWRKDIS,Belarus,Female,PHYS,71.6
2014,SH_MED_HWRKDIS,Belarus,Male,PHYS,28.4
2015,SH_MED_HWRKDIS,Belarus,Male,PHYS,27.5
2015,SH_MED_HWRKDIS,Belarus,Female,PHYS,72.5
2013,SH_MED_HWRKDIS,Canada,Female,NURS,92.4
2013,SH_MED_HWRKDIS,Canada,Male,NURS,7.6
2014,SH_MED_HWRKDIS,Canada,Female,NURS,92.1
2014,SH_MED_HWRKDIS,Canada,Male,NURS,7.9
2015,SH_MED_HWRKDIS,Canada,Female,NURS,91.9
2015,SH_MED_HWRKDIS,Canada,Male,NURS,8.1
2016,SH_MED_HWRKDIS,Canada,Male,NURS,8.3
2016,SH_MED_HWRKDIS,Canada,Female,NURS,91.7
2017,SH_MED_HWRKDIS,Canada,Male,NURS,8.5
2017,SH_MED_HWRKDIS,Canada,Female,NURS,91.5
2018,SH_MED_HWRKDIS,Canada,Female,NURS,91.3
2018,SH_MED_HWRKDIS,Canada,Male,NURS,8.7
2019,SH_MED_HWRKDIS,Canada,Female,PHYS,42.8
2019,SH_MED_HWRKDIS,Canada,Male,PHYS,57.2
2020,SH_MED_HWRKDIS,Canada,Female,PHYS,43.7
2020,SH_MED_HWRKDIS,Canada,Female,NURS,90.8
2020,SH_MED_HWRKDIS,Canada,Male,NURS,9.2
2020,SH_MED_HWRKDIS,Canada,Male,PHYS,56.3
2021,SH_MED_HWRKDIS,Canada,Female,NURS,90.6
2021,SH_MED_HWRKDIS,Canada,Male,NURS,9.4
2013,SH_MED_HWRKDIS,Finland,Male,NURS,6.9
2014,SH_MED_HWRKDIS,Finland,Male,NURS,7.2
2014,SH_MED_HWRKDIS,Finland,Female,NURS,92.8
2014,SH_MED_HWRKDIS,Finland,Female,PHYS,64.7
2014,SH_MED_HWRKDIS,Finland,Male,PHYS,35.3
2015,SH_MED_HWRKDIS,Finland,Male,NURS,7.4
2015,SH_MED_HWRKDIS,Finland,Female,NURS,92.6
2016,SH_MED_HWRKDIS,Finland,Female,NURS,92.4
2016,SH_MED_HWRKDIS,Finland,Male,NURS,7.6
2016,SH_MED_HWRKDIS,Finland,Male,PHYS,43.4
2016,SH_MED_HWRKDIS,Finland,Female,PHYS,56.6
2017,SH_MED_HWRKDIS,Finland,Male,NURS,7.7
2017,SH_MED_HWRKDIS,Finland,Female,NURS,92.3
2006,SH_MED_HWRKDIS,France,Female,PHYS,48.3
2006,SH_MED_HWRKDIS,France,Female,NURS,86.1
2006,SH_MED_HWRKDIS,France,Male,PHYS,51.7
2006,SH_MED_HWRKDIS,France,Male,NURS,13.9
2011,SH_MED_HWRKDIS,France,Male,NURS,12.9
2011,SH_MED_HWRKDIS,France,Female,PHYS,40.7
2011,SH_MED_HWRKDIS,France,Male,PHYS,59.3
2011,SH_MED_HWRKDIS,France,Female,NURS,87.1
2014,SH_MED_HWRKDIS,France,Male,PHYS,53.0
2014,SH_MED_HWRKDIS,France,Female,NURS,86.6
2014,SH_MED_HWRKDIS,France,Male,NURS,13.4
2014,SH_MED_HWRKDIS,France,Female,PHYS,47.0
2016,SH_MED_HWRKDIS,France,Male,NURS,12.4
2016,SH_MED_HWRKDIS,France,Female,NURS,87.6
2021,SH_MED_HWRKDIS,Georgia,Female,PHYS,73.9
2021,SH_MED_HWRKDIS,Georgia,Male,PHYS,26.1
2021,SH_MED_HWRKDIS,Georgia,Male,NURS,0.0
2021,SH_MED_HWRKDIS,Georgia,Female,NURS,100.0
2014,SH_MED_HWRKDIS,Germany,Male,NURS,14.2
2014,SH_MED_HWRKDIS,Germany,Female,NURS,85.8
2015,SH_MED_HWRKDIS,Germany,Female,NURS,85.5
2015,SH_MED_HWRKDIS,Germany,Male,NURS,14.5
2016,SH_MED_HWRKDIS,Germany,Female,NURS,85.5
2016,SH_MED_HWRKDIS,Germany,Male,NURS,14.5
2017,SH_MED_HWRKDIS,Germany,Female,NURS,85.0
2017,SH_MED_HWRKDIS,Germany,Male,NURS,15.0
2018,SH_MED_HWRKDIS,Germany,Female,NURS,84.5
2018,SH_MED_HWRKDIS,Germany,Male,NURS,15.5
2019,SH_MED_HWRKDIS,Germany,Female,NURS,84.1
2019,SH_MED_HWRKDIS,Germany,Male,NURS,15.9
2020,SH_MED_HWRKDIS,Germany,Female,NURS,34.2
2020,SH_MED_HWRKDIS,Germany,Male,NURS,65.8
2020,SH_MED_HWRKDIS,Germany,Female,PHYS,48.1
2020,SH_MED_HWRKDIS,Germany,Male,PHYS,51.9
2011,SH_MED_HWRKDIS,Greece,Female,PHYS,38.8
2011,SH_MED_HWRKDIS,Greece,Male,PHYS,61.2
2011,SH_MED_HWRKDIS,Greece,Male,NURS,13.5
2011,SH_MED_HWRKDIS,Greece,Female,NURS,86.5
2016,SH_MED_HWRKDIS,Greece,Male,NURS,17.7
2016,SH_MED_HWRKDIS,Greece,Female,NURS,82.3
2016,SH_MED_HWRKDIS,Hungary,Female,NURS,97.6
2016,SH_MED_HWRKDIS,Hungary,Male,NURS,2.4
2019,SH_MED_HWRKDIS,Hungary,Female,NURS,91.0
2019,SH_MED_HWRKDIS,Hungary,Male,NURS,9.0
2016,SH_MED_HWRKDIS,Iceland,Male,NURS,1.8
2016,SH_MED_HWRKDIS,Iceland,Female,NURS,98.2
2018,SH_MED_HWRKDIS,Iceland,Female,NURS,97.5
2018,SH_MED_HWRKDIS,Iceland,Male,NURS,2.5
2019,SH_MED_HWRKDIS,Iceland,Male,NURS,2.9
2019,SH_MED_HWRKDIS,Iceland,Female,NURS,97.1
2004,SH_MED_HWRKDIS,India,Female,PHYS,14.2
2004,SH_MED_HWRKDIS,India,Male,PHYS,85.8
2004,SH_MED_HWRKDIS,India,Male,NURS,5.6
2004,SH_MED_HWRKDIS,India,Female,NURS,94.4
2009,SH_MED_HWRKDIS,India,Male,NURS,20.1
2009,SH_MED_HWRKDIS,India,Female,NURS,79.9
2018,SH_MED_HWRKDIS,India,Female,NURS,88.1
2018,SH_MED_HWRKDIS,India,Male,NURS,11.9
2006,SH_MED_HWRKDIS,Ireland,Male,NURS,11.5
2006,SH_MED_HWRKDIS,Ireland,Female,NURS,88.5
2011,SH_MED_HWRKDIS,Ireland,Male,NURS,7.6
2011,SH_MED_HWRKDIS,Ireland,Female,NURS,92.4
2016,SH_MED_HWRKDIS,Ireland,Male,NURS,9.0
2016,SH_MED_HWRKDIS,Ireland,Female,NURS,91.0
2018,SH_MED_HWRKDIS,Ireland,Female,NURS,90.6
2018,SH_MED_HWRKDIS,Ireland,Male,NURS,9.4
2016,SH_MED_HWRKDIS,Israel,Male,PHYS,58.4
2016,SH_MED_HWRKDIS,Israel,Female,PHYS,41.6
2021,SH_MED_HWRKDIS,Canada,Male,PHYS,55.6
2021,SH_MED_HWRKDIS,Canada,Female,PHYS,44.4
2013,SH_MED_HWRKDIS,Chile,Male,NURS,15.0
2013,SH_MED_HWRKDIS,Chile,Female,NURS,85.0
2014,SH_MED_HWRKDIS,Chile,Female,NURS,84.6
2014,SH_MED_HWRKDIS,Chile,Male,NURS,15.4
2015,SH_MED_HWRKDIS,Chile,Female,NURS,84.7
2015,SH_MED_HWRKDIS,Chile,Male,NURS,15.3
2016,SH_MED_HWRKDIS,Chile,Male,NURS,15.1
2016,SH_MED_HWRKDIS,Chile,Female,NURS,84.9
2017,SH_MED_HWRKDIS,Chile,Male,NURS,15.0
2017,SH_MED_HWRKDIS,Chile,Female,NURS,85.0
2018,SH_MED_HWRKDIS,Chile,Male,NURS,14.9
2018,SH_MED_HWRKDIS,Chile,Female,NURS,85.1
2013,SH_MED_HWRKDIS,China,Female,NURS,98.0
2013,SH_MED_HWRKDIS,China,Male,NURS,2.0
2014,SH_MED_HWRKDIS,China,Male,NURS,2.0
2014,SH_MED_HWRKDIS,China,Female,NURS,98.0
2015,SH_MED_HWRKDIS,China,Male,NURS,2.0
2015,SH_MED_HWRKDIS,China,Female,NURS,98.0
2016,SH_MED_HWRKDIS,China,Female,NURS,98.0
2016,SH_MED_HWRKDIS,China,Male,NURS,2.0
2017,SH_MED_HWRKDIS,China,Female,NURS,98.0
2017,SH_MED_HWRKDIS,China,Male,NURS,2.0
2018,SH_MED_HWRKDIS,Colombia,Male,NURS,11.2
2018,SH_MED_HWRKDIS,Colombia,Female,NURS,88.8
2019,SH_MED_HWRKDIS,Colombia,Female,NURS,88.3
2019,SH_MED_HWRKDIS,Colombia,Male,NURS,11.7
2021,SH_MED_HWRKDIS,Colombia,Female,NURS,87.8
2021,SH_MED_HWRKDIS,Colombia,Male,NURS,12.2
2021,SH_MED_HWRKDIS,Colombia,Male,PHYS,37.1
2021,SH_MED_HWRKDIS,Colombia,Female,PHYS,62.9
2015,SH_MED_HWRKDIS,Costa Rica,Male,PHYS,52.5
2015,SH_MED_HWRKDIS,Costa Rica,Male,NURS,17.6
2015,SH_MED_HWRKDIS,Costa Rica,Female,NURS,82.4
2015,SH_MED_HWRKDIS,Costa Rica,Female,PHYS,47.5
2016,SH_MED_HWRKDIS,Costa Rica,Female,NURS,82.5
2016,SH_MED_HWRKDIS,Costa Rica,Male,NURS,17.5
2016,SH_MED_HWRKDIS,Costa Rica,Male,PHYS,51.9
2016,SH_MED_HWRKDIS,Costa Rica,Female,PHYS,48.1
2017,SH_MED_HWRKDIS,Costa Rica,Female,NURS,82.5
2017,SH_MED_HWRKDIS,Costa Rica,Male,NURS,17.5
2018,SH_MED_HWRKDIS,Costa Rica,Female,NURS,82.5
2018,SH_MED_HWRKDIS,Costa Rica,Male,NURS,17.5
2019,SH_MED_HWRKDIS,Costa Rica,Female,PHYS,55.3
2019,SH_MED_HWRKDIS,Costa Rica,Male,PHYS,44.7
2020,SH_MED_HWRKDIS,Costa Rica,Male,PHYS,52.4
2020,SH_MED_HWRKDIS,Costa Rica,Male,NURS,16.4
2020,SH_MED_HWRKDIS,Costa Rica,Female,PHYS,47.6
2020,SH_MED_HWRKDIS,Costa Rica,Female,NURS,83.6
2021,SH_MED_HWRKDIS,Costa Rica,Female,NURS,83.8
2021,SH_MED_HWRKDIS,Costa Rica,Male,NURS,16.2
2021,SH_MED_HWRKDIS,Costa Rica,Female,PHYS,48.2
2021,SH_MED_HWRKDIS,Costa Rica,Male,PHYS,51.8
2000,SH_MED_HWRKDIS,Croatia,Female,PHYS,55.5
2000,SH_MED_HWRKDIS,Croatia,Male,PHYS,44.5
2001,SH_MED_HWRKDIS,Croatia,Male,PHYS,44.0
2001,SH_MED_HWRKDIS,Croatia,Female,PHYS,56.0
2002,SH_MED_HWRKDIS,Croatia,Female,PHYS,56.4
2002,SH_MED_HWRKDIS,Croatia,Male,PHYS,43.6
2003,SH_MED_HWRKDIS,Croatia,Male,PHYS,43.1
2003,SH_MED_HWRKDIS,Croatia,Female,PHYS,56.9
2004,SH_MED_HWRKDIS,Croatia,Male,PHYS,42.5
2004,SH_MED_HWRKDIS,Croatia,Female,PHYS,57.5
2005,SH_MED_HWRKDIS,Croatia,Male,PHYS,42.4
2005,SH_MED_HWRKDIS,Croatia,Female,PHYS,57.6
2006,SH_MED_HWRKDIS,Croatia,Female,PHYS,58.2
2006,SH_MED_HWRKDIS,Croatia,Male,PHYS,41.8
2007,SH_MED_HWRKDIS,Croatia,Male,PHYS,41.3
2007,SH_MED_HWRKDIS,Croatia,Female,PHYS,58.7
2008,SH_MED_HWRKDIS,Croatia,Male,PHYS,40.9
2008,SH_MED_HWRKDIS,Croatia,Female,PHYS,59.1
2009,SH_MED_HWRKDIS,Croatia,Male,PHYS,40.4
2009,SH_MED_HWRKDIS,Croatia,Female,PHYS,59.6
2010,SH_MED_HWRKDIS,Croatia,Male,PHYS,39.8
2010,SH_MED_HWRKDIS,Croatia,Female,PHYS,60.2
2011,SH_MED_HWRKDIS,Croatia,Male,PHYS,39.2
2011,SH_MED_HWRKDIS,Croatia,Female,PHYS,60.8
2012,SH_MED_HWRKDIS,Croatia,Male,PHYS,38.9
2012,SH_MED_HWRKDIS,Croatia,Female,PHYS,61.1
2013,SH_MED_HWRKDIS,Croatia,Female,PHYS,61.6
2013,SH_MED_HWRKDIS,Croatia,Male,PHYS,38.4
2014,SH_MED_HWRKDIS,Croatia,Female,PHYS,62.0
2014,SH_MED_HWRKDIS,Croatia,Male,PHYS,38.0
2015,SH_MED_HWRKDIS,Croatia,Male,PHYS,37.6
2015,SH_MED_HWRKDIS,Croatia,Female,PHYS,62.4
2016,SH_MED_HWRKDIS,Croatia,Male,PHYS,32.5
2016,SH_MED_HWRKDIS,Croatia,Female,PHYS,67.5
2016,SH_MED_HWRKDIS,Croatia,Female,NURS,92.8
2016,SH_MED_HWRKDIS,Croatia,Male,NURS,7.2
2016,SH_MED_HWRKDIS,Israel,Male,NURS,12.1
2016,SH_MED_HWRKDIS,Israel,Female,NURS,87.9
2017,SH_MED_HWRKDIS,Israel,Female,PHYS,42.1
2017,SH_MED_HWRKDIS,Israel,Male,PHYS,57.9
2017,SH_MED_HWRKDIS,Israel,Female,NURS,86.8
2017,SH_MED_HWRKDIS,Israel,Male,NURS,13.2
2018,SH_MED_HWRKDIS,Israel,Male,PHYS,57.9
2018,SH_MED_HWRKDIS,Israel,Female,PHYS,42.1
2018,SH_MED_HWRKDIS,Israel,Male,NURS,13.6
2000,SH_MED_HWRKDIS,Cyprus,Male,PHYS,67.2
2000,SH_MED_HWRKDIS,Cyprus,Female,PHYS,32.8
2014,SH_MED_HWRKDIS,Cyprus,Male,PHYS,62.8
2014,SH_MED_HWRKDIS,Cyprus,Female,PHYS,37.2
2015,SH_MED_HWRKDIS,Cyprus,Male,PHYS,62.4
2015,SH_MED_HWRKDIS,Cyprus,Female,PHYS,37.6
2016,SH_MED_HWRKDIS,Cyprus,Female,PHYS,44.7
2016,SH_MED_HWRKDIS,Cyprus,Male,NURS,19.7
2016,SH_MED_HWRKDIS,Cyprus,Female,NURS,80.3
2018,SH_MED_HWRKDIS,Israel,Female,NURS,86.4
2019,SH_MED_HWRKDIS,Israel,Male,NURS,14.1
2019,SH_MED_HWRKDIS,Israel,Female,NURS,85.9
2019,SH_MED_HWRKDIS,Israel,Male,PHYS,57.9
2019,SH_MED_HWRKDIS,Israel,Female,PHYS,42.1
2020,SH_MED_HWRKDIS,Israel,Male,NURS,14.7
2020,SH_MED_HWRKDIS,Israel,Female,NURS,85.3
2020,SH_MED_HWRKDIS,Israel,Female,PHYS,42.0
2020,SH_MED_HWRKDIS,Israel,Male,PHYS,58.0
2016,SH_MED_HWRKDIS,Cyprus,Male,PHYS,55.3
2016,SH_MED_HWRKDIS,Czechia,Male,NURS,1.5
2016,SH_MED_HWRKDIS,Czechia,Male,PHYS,46.4
2016,SH_MED_HWRKDIS,Czechia,Female,PHYS,53.6
2016,SH_MED_HWRKDIS,Czechia,Female,NURS,98.5
2017,SH_MED_HWRKDIS,Czechia,Female,NURS,98.0
2017,SH_MED_HWRKDIS,Czechia,Male,NURS,2.0
2019,SH_MED_HWRKDIS,Czechia,Female,PHYS,56.3
2019,SH_MED_HWRKDIS,Czechia,Female,NURS,97.9
2019,SH_MED_HWRKDIS,Czechia,Male,PHYS,43.7
2019,SH_MED_HWRKDIS,Czechia,Male,NURS,2.1
2020,SH_MED_HWRKDIS,Czechia,Male,PHYS,43.0
2020,SH_MED_HWRKDIS,Czechia,Female,PHYS,57.0
2020,SH_MED_HWRKDIS,Czechia,Female,NURS,98.0
2020,SH_MED_HWRKDIS,Czechia,Male,NURS,2.0
2016,SH_MED_HWRKDIS,Denmark,Male,NURS,5.3
2016,SH_MED_HWRKDIS,Denmark,Female,NURS,94.7
2017,SH_MED_HWRKDIS,Denmark,Female,NURS,95.7
2021,SH_MED_HWRKDIS,Israel,Male,PHYS,58.0
2021,SH_MED_HWRKDIS,Israel,Male,NURS,15.0
2021,SH_MED_HWRKDIS,Israel,Female,PHYS,42.0
2021,SH_MED_HWRKDIS,Israel,Female,NURS,85.0
2014,SH_MED_HWRKDIS,Japan,Male,NURS,5.3
2014,SH_MED_HWRKDIS,Japan,Female,NURS,94.7
2016,SH_MED_HWRKDIS,Japan,Male,NURS,7.1
2016,SH_MED_HWRKDIS,Japan,Female,NURS,92.9
2018,SH_MED_HWRKDIS,Japan,Female,NURS,92.5
2018,SH_MED_HWRKDIS,Japan,Male,NURS,7.5
2000,SH_MED_HWRKDIS,Kyrgyzstan,Male,PHYS,37.2
2000,SH_MED_HWRKDIS,Kyrgyzstan,Female,PHYS,62.8
2001,SH_MED_HWRKDIS,Kyrgyzstan,Male,PHYS,36.7
2001,SH_MED_HWRKDIS,Kyrgyzstan,Female,PHYS,63.3
2002,SH_MED_HWRKDIS,Kyrgyzstan,Female,PHYS,63.9
2002,SH_MED_HWRKDIS,Kyrgyzstan,Male,PHYS,36.1
2003,SH_MED_HWRKDIS,Kyrgyzstan,Male,PHYS,35.6
2003,SH_MED_HWRKDIS,Kyrgyzstan,Female,PHYS,64.4
2004,SH_MED_HWRKDIS,Kyrgyzstan,Female,PHYS,64.0
2004,SH_MED_HWRKDIS,Kyrgyzstan,Male,PHYS,36.0
2005,SH_MED_HWRKDIS,Kyrgyzstan,Male,PHYS,35.7
2005,SH_MED_HWRKDIS,Kyrgyzstan,Female,PHYS,64.3
2006,SH_MED_HWRKDIS,Kyrgyzstan,Female,PHYS,64.3
2006,SH_MED_HWRKDIS,Kyrgyzstan,Male,PHYS,35.7
2007,SH_MED_HWRKDIS,Kyrgyzstan,Male,PHYS,35.9
2007,SH_MED_HWRKDIS,Kyrgyzstan,Female,PHYS,64.1
