Year,SeriesCode,Country,Age,Sex,Type of occupation,Value
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-3,2424.59
2009,SL_EMP_EARN,Chile,,Male,isco88-9,1315.63
2009,SL_EMP_EARN,Chile,,Male,isco88-X,1687.87
2009,SL_EMP_EARN,Chile,,Both sexes,isco88-2,4848.22
2002,SL_EMP_EARN,Bulgaria,,Male,isco88-1,1.69
2002,SL_EMP_EARN,Bulgaria,,Male,isco88-2,1.26
2002,SL_EMP_EARN,Bulgaria,,Female,isco88-7,0.5
2002,SL_EMP_EARN,Bulgaria,,Female,isco88-5,0.45
2002,SL_EMP_EARN,Bulgaria,,Female,isco88-8,0.64
2002,SL_EMP_EARN,Bulgaria,,Female,isco88-4,0.69
2002,SL_EMP_EARN,Bulgaria,,Female,isco88-1,1.41
2002,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-9,0.49
2006,SL_EMP_EARN,Austria,,Both sexes,isco88-1,32.27
2006,SL_EMP_EARN,Austria,,Female,isco88-9,8.28
2006,SL_EMP_EARN,Austria,,Male,Total or no breakdown,14.74
2006,SL_EMP_EARN,Austria,,Both sexes,isco88-2,21.69
2006,SL_EMP_EARN,Austria,,Female,isco88-7,8.8
2006,SL_EMP_EARN,Austria,,Both sexes,isco88-4,13.93
2006,SL_EMP_EARN,Austria,,Both sexes,isco88-8,12.16
2006,SL_EMP_EARN,Austria,,Female,Total or no breakdown,10.99
2006,SL_EMP_EARN,Austria,,Both sexes,isco88-9,9.28
2006,SL_EMP_EARN,Austria,,Female,isco88-2,18.95
2006,SL_EMP_EARN,Austria,,Both sexes,isco88-5,9.57
2006,SL_EMP_EARN,Austria,,Female,isco88-4,12.48
2006,SL_EMP_EARN,Austria,,Female,isco88-5,8.67
2006,SL_EMP_EARN,Austria,,Both sexes,isco88-7,11.76
2006,SL_EMP_EARN,Austria,,Both sexes,Total or no breakdown,13.26
2006,SL_EMP_EARN,Austria,,Male,isco88-4,16.26
2006,SL_EMP_EARN,Austria,,Male,isco88-5,11.45
2006,SL_EMP_EARN,Austria,,Female,isco88-1,23.22
2002,SL_EMP_EARN,Albania,,Male,isco88-8,141.12
2002,SL_EMP_EARN,Albania,,Male,isco88-9,100.93
2002,SL_EMP_EARN,Albania,,Male,isco88-6,217.69
2002,SL_EMP_EARN,Albania,,Male,isco88-1,288.17
2002,SL_EMP_EARN,Albania,,Male,isco88-0,146.74
2002,SL_EMP_EARN,Albania,,Both sexes,isco88-3,110.64
2002,SL_EMP_EARN,Albania,,Both sexes,isco88-4,94.44
2002,SL_EMP_EARN,Albania,,Both sexes,isco88-5,86.07
2002,SL_EMP_EARN,Albania,,Both sexes,isco88-6,181.69
2002,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-8,0.77
2002,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-X,0.53
2002,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-3,0.93
2002,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-2,1.07
2002,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-5,0.47
2002,SL_EMP_EARN,Bulgaria,,Female,isco88-9,0.48
2002,SL_EMP_EARN,Bulgaria,,Male,isco88-9,0.5
2002,SL_EMP_EARN,Bulgaria,,Male,isco88-8,0.83
2002,SL_EMP_EARN,Bulgaria,,Female,isco88-X,0.52
2002,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-4,0.68
2002,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-1,1.58
2002,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-7,0.75
2002,SL_EMP_EARN,Bulgaria,,Female,isco88-2,0.98
2002,SL_EMP_EARN,Bulgaria,,Female,Total or no breakdown,0.72
2002,SL_EMP_EARN,Bulgaria,,Female,isco88-3,0.85
2002,SL_EMP_EARN,Bulgaria,,Both sexes,Total or no breakdown,0.8
2002,SL_EMP_EARN,Bulgaria,,Male,Total or no breakdown,0.88
2002,SL_EMP_EARN,Bulgaria,,Male,isco88-5,0.51
2002,SL_EMP_EARN,Bulgaria,,Male,isco88-7,0.86
2002,SL_EMP_EARN,Bulgaria,,Male,isco88-X,0.54
2002,SL_EMP_EARN,Bulgaria,,Male,isco88-4,0.65
2002,SL_EMP_EARN,Bulgaria,,Male,isco88-3,1.09
2006,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-7,1.02
2006,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-4,0.97
2006,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-3,1.43
2006,SL_EMP_EARN,Bulgaria,,Female,isco88-8,0.86
2006,SL_EMP_EARN,Bulgaria,,Male,isco88-8,1.08
2006,SL_EMP_EARN,Bulgaria,,Male,isco88-4,0.98
2006,SL_EMP_EARN,Bulgaria,,Both sexes,Total or no breakdown,1.11
2006,SL_EMP_EARN,Bulgaria,,Female,isco88-2,1.56
2006,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-1,2.61
2006,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-6,0.7
2006,SL_EMP_EARN,Bulgaria,,Female,isco88-1,2.46
2006,SL_EMP_EARN,Bulgaria,,Female,Total or no breakdown,1.04
2006,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-2,1.72
2006,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-5,0.69
2006,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-9,0.66
2006,SL_EMP_EARN,Bulgaria,,Both sexes,isco88-8,1.01
2006,SL_EMP_EARN,Bulgaria,,Male,isco88-3,1.6
2006,SL_EMP_EARN,Bulgaria,,Male,isco88-2,2.05
2006,SL_EMP_EARN,Bulgaria,,Male,isco88-7,1.14
2006,SL_EMP_EARN,Bulgaria,,Male,isco88-5,0.73
2006,SL_EMP_EARN,Bulgaria,,Male,isco88-6,0.68
2006,SL_EMP_EARN,Bulgaria,,Male,isco88-9,0.66
2006,SL_EMP_EARN,Bulgaria,,Male,Total or no breakdown,1.19
2006,SL_EMP_EARN,Bulgaria,,Female,isco88-6,0.72
2006,SL_EMP_EARN,Bulgaria,,Female,isco88-7,0.76
2006,SL_EMP_EARN,Bulgaria,,Male,isco88-1,2.69
2006,SL_EMP_EARN,Bulgaria,,Female,isco88-9,0.66
2006,SL_EMP_EARN,Bulgaria,,Female,isco88-4,0.96
2006,SL_EMP_EARN,Bulgaria,,Female,isco88-3,1.32
2006,SL_EMP_EARN,Bulgaria,,Female,isco88-5,0.67
2010,SL_EMP_EARN,Bulgaria,,Female,isco08-2,2.61
2010,SL_EMP_EARN,Bulgaria,,Female,isco08-9,1.14
2010,SL_EMP_EARN,Bulgaria,,Female,isco08-4,1.79
2010,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-2,2.95
2010,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-3,2.74
2010,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-1,4.81
2010,SL_EMP_EARN,Bulgaria,,Male,isco08-4,1.89
2010,SL_EMP_EARN,Bulgaria,,Male,isco08-6,1.14
2010,SL_EMP_EARN,Bulgaria,,Male,isco08-5,1.24
2010,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-6,1.15
2010,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-7,1.77
2010,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-5,1.25
2010,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-9,1.19
2010,SL_EMP_EARN,Bulgaria,,Female,isco08-6,1.16
2010,SL_EMP_EARN,Bulgaria,,Female,isco08-8,1.38
2010,SL_EMP_EARN,Bulgaria,,Male,Total or no breakdown,2.18
2010,SL_EMP_EARN,Bulgaria,,Male,isco08-7,1.96
2010,SL_EMP_EARN,Bulgaria,,Male,isco08-8,1.81
2010,SL_EMP_EARN,Bulgaria,,Male,isco08-9,1.24
2010,SL_EMP_EARN,Bulgaria,,Female,isco08-5,1.25
2010,SL_EMP_EARN,Bulgaria,,Female,Total or no breakdown,1.89
2010,SL_EMP_EARN,Bulgaria,,Female,isco08-1,4.41
2010,SL_EMP_EARN,Bulgaria,,Female,isco08-3,2.51
2010,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-8,1.68
2010,SL_EMP_EARN,Bulgaria,,Female,isco08-7,1.35
2010,SL_EMP_EARN,Bulgaria,,Both sexes,Total or no breakdown,2.04
2010,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-4,1.82
2010,SL_EMP_EARN,Bulgaria,,Male,isco08-2,3.73
2010,SL_EMP_EARN,Bulgaria,,Male,isco08-3,2.93
2010,SL_EMP_EARN,Bulgaria,,Male,isco08-1,5.1
2014,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-5,2.82
2014,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-7,4.01
2014,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-6,8.38
2014,SL_EMP_EARN,Bulgaria,,Male,Total or no breakdown,4.93
2014,SL_EMP_EARN,Bulgaria,,Male,isco08-6,8.23
2014,SL_EMP_EARN,Bulgaria,,Male,isco08-2,8.7
2014,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-2,6.71
2014,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-3,5.92
2014,SL_EMP_EARN,Bulgaria,,Both sexes,Total or no breakdown,4.58
2014,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-1,11.06
2014,SL_EMP_EARN,Bulgaria,,Female,isco08-7,2.99
2014,SL_EMP_EARN,Bulgaria,,Female,isco08-2,5.78
2014,SL_EMP_EARN,Bulgaria,,Female,Total or no breakdown,4.23
2014,SL_EMP_EARN,Bulgaria,,Female,isco08-9,2.53
2014,SL_EMP_EARN,Bulgaria,,Female,isco08-5,2.86
2014,SL_EMP_EARN,Bulgaria,,Male,isco08-8,3.78
2014,SL_EMP_EARN,Bulgaria,,Male,isco08-7,4.46
2014,SL_EMP_EARN,Bulgaria,,Male,isco08-1,11.83
2014,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-8,3.57
2014,SL_EMP_EARN,Bulgaria,,Female,isco08-6,8.68
2014,SL_EMP_EARN,Bulgaria,,Female,isco08-8,3.07
2014,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-9,2.64
2014,SL_EMP_EARN,Bulgaria,,Female,isco08-3,5.44
2014,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-4,3.92
2014,SL_EMP_EARN,Bulgaria,,Female,isco08-4,3.79
2014,SL_EMP_EARN,Bulgaria,,Female,isco08-1,10.05
2014,SL_EMP_EARN,Bulgaria,,Male,isco08-9,2.73
2014,SL_EMP_EARN,Bulgaria,,Male,isco08-3,6.32
2014,SL_EMP_EARN,Bulgaria,,Male,isco08-5,2.77
2014,SL_EMP_EARN,Bulgaria,,Male,isco08-4,4.22
2018,SL_EMP_EARN,Bulgaria,,Male,Total or no breakdown,7.0
2018,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-6,4.0
2018,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-5,4.0
2018,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-4,5.0
2018,SL_EMP_EARN,Bulgaria,,Male,isco08-7,6.0
2018,SL_EMP_EARN,Bulgaria,,Male,isco08-8,5.0
2018,SL_EMP_EARN,Bulgaria,,Male,isco08-9,4.0
2018,SL_EMP_EARN,Bulgaria,,Female,isco08-8,5.0
2018,SL_EMP_EARN,Bulgaria,,Female,isco08-9,4.0
2018,SL_EMP_EARN,Bulgaria,,Female,isco08-1,13.0
2018,SL_EMP_EARN,Bulgaria,,Female,isco08-7,4.0
2018,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-3,8.0
2018,SL_EMP_EARN,Bulgaria,,Both sexes,Total or no breakdown,6.0
2018,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-9,4.0
2018,SL_EMP_EARN,Bulgaria,,Female,isco08-6,4.0
2018,SL_EMP_EARN,Bulgaria,,Female,isco08-5,4.0
2018,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-8,5.0
2018,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-7,5.0
2018,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-2,10.0
2018,SL_EMP_EARN,Bulgaria,,Both sexes,isco08-1,15.0
2018,SL_EMP_EARN,Bulgaria,,Male,isco08-2,12.0
2018,SL_EMP_EARN,Bulgaria,,Male,isco08-1,16.0
2018,SL_EMP_EARN,Bulgaria,,Male,isco08-4,6.0
2018,SL_EMP_EARN,Bulgaria,,Male,isco08-3,9.0
2018,SL_EMP_EARN,Bulgaria,,Male,isco08-5,4.0
2018,SL_EMP_EARN,Bulgaria,,Male,isco08-6,4.0
2018,SL_EMP_EARN,Bulgaria,,Female,Total or no breakdown,6.0
2018,SL_EMP_EARN,Bulgaria,,Female,isco08-4,5.0
2018,SL_EMP_EARN,Bulgaria,,Female,isco08-2,8.0
2018,SL_EMP_EARN,Bulgaria,,Female,isco08-3,7.0
2016,SL_EMP_EARN,Belarus,,Both sexes,isco88-9,2.29
2016,SL_EMP_EARN,Belarus,,Both sexes,isco88-7,4.24
2016,SL_EMP_EARN,Belarus,,Both sexes,isco88-8,3.64
2016,SL_EMP_EARN,Belarus,,Both sexes,isco88-2,5.58
2016,SL_EMP_EARN,Belarus,,Both sexes,isco88-3,3.7
2016,SL_EMP_EARN,Belarus,,Both sexes,isco88-4,3.31
2016,SL_EMP_EARN,Belarus,,Female,isco88-4,3.13
2016,SL_EMP_EARN,Belarus,,Male,isco88-5,2.34
2016,SL_EMP_EARN,Belarus,,Male,isco88-6,2.36
2016,SL_EMP_EARN,Belarus,,Male,isco88-7,4.37
2016,SL_EMP_EARN,Belarus,,Male,isco88-8,3.71
2016,SL_EMP_EARN,Belarus,,Male,isco88-1,6.94
2016,SL_EMP_EARN,Belarus,,Male,isco88-9,3.01
2016,SL_EMP_EARN,Belarus,,Both sexes,Total or no breakdown,3.86
2016,SL_EMP_EARN,Belarus,,Female,isco88-2,4.74
2016,SL_EMP_EARN,Belarus,,Female,isco88-1,5.12
2016,SL_EMP_EARN,Belarus,,Female,Total or no breakdown,3.37
2016,SL_EMP_EARN,Belarus,,Both sexes,isco88-5,2.23
2016,SL_EMP_EARN,Belarus,,Both sexes,isco88-1,5.99
2016,SL_EMP_EARN,Belarus,,Both sexes,isco88-6,2.4
2016,SL_EMP_EARN,Belarus,,Female,isco88-5,2.2
2016,SL_EMP_EARN,Belarus,,Female,isco88-6,2.43
2016,SL_EMP_EARN,Belarus,,Female,isco88-7,3.61
2016,SL_EMP_EARN,Belarus,,Female,isco88-8,3.28
2016,SL_EMP_EARN,Belarus,,Female,isco88-9,2.0
2016,SL_EMP_EARN,Belarus,,Male,Total or no breakdown,4.47
2016,SL_EMP_EARN,Belarus,,Female,isco88-3,3.29
2016,SL_EMP_EARN,Belarus,,Male,isco88-2,7.63
2016,SL_EMP_EARN,Belarus,,Male,isco88-3,5.62
2016,SL_EMP_EARN,Belarus,,Male,isco88-4,4.48
2019,SL_EMP_EARN,Belarus,,Male,isco08-5,3.45
2019,SL_EMP_EARN,Belarus,,Male,Total or no breakdown,6.5
2019,SL_EMP_EARN,Belarus,,Female,isco08-3,4.56
2019,SL_EMP_EARN,Belarus,,Male,isco08-1,9.98
2019,SL_EMP_EARN,Belarus,,Both sexes,isco08-7,6.06
2019,SL_EMP_EARN,Belarus,,Both sexes,isco08-9,3.15
2019,SL_EMP_EARN,Belarus,,Both sexes,isco08-8,5.24
2019,SL_EMP_EARN,Belarus,,Female,Total or no breakdown,4.9
2019,SL_EMP_EARN,Belarus,,Both sexes,isco08-3,5.14
2019,SL_EMP_EARN,Belarus,,Both sexes,isco08-2,8.09
2019,SL_EMP_EARN,Belarus,,Male,isco08-6,3.45
2019,SL_EMP_EARN,Belarus,,Male,isco08-7,6.27
2019,SL_EMP_EARN,Belarus,,Male,isco08-8,5.37
2019,SL_EMP_EARN,Belarus,,Male,isco08-9,4.19
2019,SL_EMP_EARN,Belarus,,Male,isco08-2,11.16
2019,SL_EMP_EARN,Belarus,,Male,isco08-3,7.58
2019,SL_EMP_EARN,Belarus,,Both sexes,isco08-6,3.61
2019,SL_EMP_EARN,Belarus,,Male,isco08-4,5.69
2019,SL_EMP_EARN,Belarus,,Female,isco08-4,4.05
2019,SL_EMP_EARN,Belarus,,Female,isco08-5,3.35
2019,SL_EMP_EARN,Belarus,,Female,isco08-1,7.24
2019,SL_EMP_EARN,Belarus,,Female,isco08-2,6.83
2019,SL_EMP_EARN,Belarus,,Female,isco08-9,2.71
2019,SL_EMP_EARN,Belarus,,Female,isco08-6,3.76
2019,SL_EMP_EARN,Belarus,,Female,isco08-7,5.08
2019,SL_EMP_EARN,Belarus,,Female,isco08-8,4.52
2019,SL_EMP_EARN,Belarus,,Both sexes,Total or no breakdown,5.62
2019,SL_EMP_EARN,Belarus,,Both sexes,isco08-1,8.46
2019,SL_EMP_EARN,Belarus,,Both sexes,isco08-5,3.37
2019,SL_EMP_EARN,Belarus,,Both sexes,isco08-4,4.46
2000,SL_EMP_EARN,Chile,,Female,isco88-3,1574.29
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-8,804.64
2000,SL_EMP_EARN,Chile,,Female,isco88-6,441.69
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-X,1854.78
2000,SL_EMP_EARN,Chile,,Female,Total or no breakdown,1025.61
2000,SL_EMP_EARN,Chile,,Male,isco88-1,3390.1
2000,SL_EMP_EARN,Chile,,Male,isco88-0,1241.24
2000,SL_EMP_EARN,Chile,,Male,isco88-7,834.34
2000,SL_EMP_EARN,Chile,,Female,isco88-9,550.03
2000,SL_EMP_EARN,Chile,,Female,isco88-8,604.93
2000,SL_EMP_EARN,Chile,,Female,isco88-7,570.12
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-0,1233.27
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-3,1700.47
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-4,1019.81
2000,SL_EMP_EARN,Chile,,Female,isco88-0,871.01
2000,SL_EMP_EARN,Chile,,Female,isco88-4,937.64
2000,SL_EMP_EARN,Chile,,Female,isco88-5,698.69
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-9,558.01
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-5,762.59
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-6,534.49
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-7,811.65
2000,SL_EMP_EARN,Chile,,Female,isco88-1,2173.25
2000,SL_EMP_EARN,Chile,,Female,isco88-2,2209.53
2000,SL_EMP_EARN,Chile,,Male,isco88-2,3000.6
2018,SL_EMP_EARN,Czechia,,Male,isco08-3,234.9
2018,SL_EMP_EARN,Czechia,,Male,isco08-1,434.7
2018,SL_EMP_EARN,Czechia,,Male,isco08-7,168.6
2018,SL_EMP_EARN,Czechia,,Male,isco08-9,127.2
2018,SL_EMP_EARN,Czechia,,Female,isco08-4,152.4
2018,SL_EMP_EARN,Czechia,,Female,isco08-3,191.9
2018,SL_EMP_EARN,Czechia,,Female,isco08-2,233.2
2018,SL_EMP_EARN,Czechia,,Female,Total or no breakdown,171.2
2018,SL_EMP_EARN,Czechia,,Female,isco08-0,233.5
2018,SL_EMP_EARN,Czechia,,Male,isco08-6,137.3
2018,SL_EMP_EARN,Czechia,,Male,isco08-4,186.9
2018,SL_EMP_EARN,Czechia,,Male,isco08-2,315.0
2018,SL_EMP_EARN,Czechia,,Male,Total or no breakdown,212.0
2018,SL_EMP_EARN,Czechia,,Male,isco08-0,222.5
2018,SL_EMP_EARN,Czechia,,Female,isco08-9,103.6
2019,SL_EMP_EARN,Czechia,,Female,isco08-5,138.8
2019,SL_EMP_EARN,Czechia,,Female,isco08-8,155.9
2019,SL_EMP_EARN,Czechia,,Male,isco08-1,504.0
2019,SL_EMP_EARN,Czechia,,Male,isco08-3,251.3
2019,SL_EMP_EARN,Czechia,,Both sexes,isco08-6,143.8
2019,SL_EMP_EARN,Czechia,,Both sexes,isco08-7,178.8
2019,SL_EMP_EARN,Czechia,,Both sexes,isco08-3,229.8
2019,SL_EMP_EARN,Czechia,,Both sexes,isco08-8,170.8
2019,SL_EMP_EARN,Czechia,,Both sexes,isco08-9,120.3
2019,SL_EMP_EARN,Czechia,,Both sexes,isco08-0,234.0
2019,SL_EMP_EARN,Czechia,,Both sexes,isco08-1,456.7
2019,SL_EMP_EARN,Czechia,,Both sexes,Total or no breakdown,209.6
2019,SL_EMP_EARN,Czechia,,Both sexes,isco08-2,298.6
2019,SL_EMP_EARN,Czechia,,Female,isco08-7,147.7
2019,SL_EMP_EARN,Czechia,,Female,isco08-6,134.9
2019,SL_EMP_EARN,Czechia,,Male,isco08-5,159.0
2019,SL_EMP_EARN,Czechia,,Male,isco08-0,233.0
2019,SL_EMP_EARN,Czechia,,Both sexes,isco08-4,172.9
2019,SL_EMP_EARN,Czechia,,Both sexes,isco08-5,146.1
2019,SL_EMP_EARN,Czechia,,Female,isco08-1,360.9
2019,SL_EMP_EARN,Czechia,,Female,Total or no breakdown,186.9
2019,SL_EMP_EARN,Czechia,,Female,isco08-0,243.0
2019,SL_EMP_EARN,Czechia,,Female,isco08-9,111.2
2019,SL_EMP_EARN,Czechia,,Male,Total or no breakdown,228.0
2019,SL_EMP_EARN,Czechia,,Male,isco08-2,342.7
