Year,SeriesCode,Страна ,Age,Location,Value
2019,SH_STA_STNT,Казахстан,<5Y,,6.3
2020,SH_STA_STNT,Казахстан,<5Y,,5.8
2021,SH_STA_STNT,Казахстан,<5Y,,5.4
2022,SH_STA_STNT,Казахстан,<5Y,,4.9
2000,SH_STA_STNT,Republic of Korea,<5Y,,2.6
2001,SH_STA_STNT,Republic of Korea,<5Y,,2.6
2002,SH_STA_STNT,Republic of Korea,<5Y,,2.5
2003,SH_STA_STNT,Republic of Korea,<5Y,,2.5
2004,SH_STA_STNT,Republic of Korea,<5Y,,2.4
2005,SH_STA_STNT,Republic of Korea,<5Y,,2.3
2006,SH_STA_STNT,Republic of Korea,<5Y,,2.3
2007,SH_STA_STNT,Republic of Korea,<5Y,,2.2
2008,SH_STA_STNT,Republic of Korea,<5Y,,2.1
2009,SH_STA_STNT,Republic of Korea,<5Y,,2.0
2010,SH_STA_STNT,Republic of Korea,<5Y,,2.0
2011,SH_STA_STNT,Republic of Korea,<5Y,,1.9
2012,SH_STA_STNT,Republic of Korea,<5Y,,1.9
2013,SH_STA_STNT,Republic of Korea,<5Y,,1.8
2014,SH_STA_STNT,Republic of Korea,<5Y,,1.8
2015,SH_STA_STNT,Republic of Korea,<5Y,,1.8
2016,SH_STA_STNT,Republic of Korea,<5Y,,1.8
2017,SH_STA_STNT,Republic of Korea,<5Y,,1.8
2018,SH_STA_STNT,Republic of Korea,<5Y,,1.8
2019,SH_STA_STNT,Republic of Korea,<5Y,,1.8
2020,SH_STA_STNT,Republic of Korea,<5Y,,1.8
2021,SH_STA_STNT,Republic of Korea,<5Y,,1.7
2022,SH_STA_STNT,Republic of Korea,<5Y,,1.7
2000,SH_STA_STNT,Кыргызстан,<5Y,,28.0
2001,SH_STA_STNT,Кыргызстан,<5Y,,26.8
2002,SH_STA_STNT,Кыргызстан,<5Y,,25.8
2003,SH_STA_STNT,Кыргызстан,<5Y,,24.8
2004,SH_STA_STNT,Кыргызстан,<5Y,,23.8
2005,SH_STA_STNT,Кыргызстан,<5Y,,22.8
2006,SH_STA_STNT,Кыргызстан,<5Y,,21.9
2018,SH_STA_STNT,Albania,<5Y,,11.1
2019,SH_STA_STNT,Albania,<5Y,,10.3
2020,SH_STA_STNT,Albania,<5Y,,9.5
2021,SH_STA_STNT,Albania,<5Y,,8.8
2022,SH_STA_STNT,Albania,<5Y,,8.3
2000,SH_STA_STNT,Azerbaijan,<5Y,,24.3
2001,SH_STA_STNT,Azerbaijan,<5Y,,24.4
2002,SH_STA_STNT,Azerbaijan,<5Y,,24.5
2003,SH_STA_STNT,Azerbaijan,<5Y,,24.4
2004,SH_STA_STNT,Azerbaijan,<5Y,,24.3
2005,SH_STA_STNT,Azerbaijan,<5Y,,23.9
2006,SH_STA_STNT,Azerbaijan,<5Y,,23.3
2007,SH_STA_STNT,Azerbaijan,<5Y,,22.4
2008,SH_STA_STNT,Azerbaijan,<5Y,,21.4
2009,SH_STA_STNT,Azerbaijan,<5Y,,20.3
2010,SH_STA_STNT,Azerbaijan,<5Y,,19.3
2011,SH_STA_STNT,Azerbaijan,<5Y,,18.3
2012,SH_STA_STNT,Azerbaijan,<5Y,,17.4
2013,SH_STA_STNT,Azerbaijan,<5Y,,16.7
2014,SH_STA_STNT,Azerbaijan,<5Y,,16.1
2015,SH_STA_STNT,Azerbaijan,<5Y,,15.7
2016,SH_STA_STNT,Azerbaijan,<5Y,,15.3
2017,SH_STA_STNT,Azerbaijan,<5Y,,14.9
2018,SH_STA_STNT,Azerbaijan,<5Y,,14.6
2019,SH_STA_STNT,Azerbaijan,<5Y,,14.2
2020,SH_STA_STNT,Azerbaijan,<5Y,,13.9
2021,SH_STA_STNT,Azerbaijan,<5Y,,13.5
2007,SH_STA_STNT,Кыргызстан,<5Y,,20.9
2008,SH_STA_STNT,Кыргызстан,<5Y,,19.9
2009,SH_STA_STNT,Кыргызстан,<5Y,,18.8
2010,SH_STA_STNT,Кыргызстан,<5Y,,17.8
2011,SH_STA_STNT,Кыргызстан,<5Y,,16.9
2012,SH_STA_STNT,Кыргызстан,<5Y,,16.0
2013,SH_STA_STNT,Кыргызстан,<5Y,,15.1
2014,SH_STA_STNT,Кыргызстан,<5Y,,14.4
2015,SH_STA_STNT,Кыргызстан,<5Y,,13.6
2022,SH_STA_STNT,Azerbaijan,<5Y,,13.3
2000,SH_STA_STNT,Australia,<5Y,,0.9
2001,SH_STA_STNT,Australia,<5Y,,1.0
2002,SH_STA_STNT,Australia,<5Y,,1.2
2003,SH_STA_STNT,Australia,<5Y,,1.4
2004,SH_STA_STNT,Australia,<5Y,,1.7
2005,SH_STA_STNT,Australia,<5Y,,2.0
2006,SH_STA_STNT,Australia,<5Y,,2.2
2007,SH_STA_STNT,Australia,<5Y,,2.5
2016,SH_STA_STNT,Кыргызстан,<5Y,,13.0
2017,SH_STA_STNT,Кыргызстан,<5Y,,12.4
2018,SH_STA_STNT,Кыргызстан,<5Y,,11.9
2019,SH_STA_STNT,Кыргызстан,<5Y,,11.5
2020,SH_STA_STNT,Кыргызстан,<5Y,,11.1
2021,SH_STA_STNT,Кыргызстан,<5Y,,10.7
2022,SH_STA_STNT,Кыргызстан,<5Y,,10.3
2000,SH_STA_STNT,Latvia,<5Y,,3.9
2001,SH_STA_STNT,Latvia,<5Y,,3.8
2008,SH_STA_STNT,Australia,<5Y,,2.8
2009,SH_STA_STNT,Australia,<5Y,,2.9
2010,SH_STA_STNT,Australia,<5Y,,3.1
2011,SH_STA_STNT,Australia,<5Y,,3.2
2012,SH_STA_STNT,Australia,<5Y,,3.2
2013,SH_STA_STNT,Australia,<5Y,,3.3
2014,SH_STA_STNT,Australia,<5Y,,3.3
2015,SH_STA_STNT,Australia,<5Y,,3.3
2016,SH_STA_STNT,Australia,<5Y,,3.3
2017,SH_STA_STNT,Australia,<5Y,,3.3
2018,SH_STA_STNT,Australia,<5Y,,3.3
2019,SH_STA_STNT,Australia,<5Y,,3.3
2020,SH_STA_STNT,Australia,<5Y,,3.3
2021,SH_STA_STNT,Australia,<5Y,,3.3
2022,SH_STA_STNT,Australia,<5Y,,3.4
2000,SH_STA_STNT,Armenia,<5Y,,17.2
2001,SH_STA_STNT,Armenia,<5Y,,18.3
2002,SH_STA_STNT,Armenia,<5Y,,19.2
2003,SH_STA_STNT,Armenia,<5Y,,19.9
2004,SH_STA_STNT,Armenia,<5Y,,20.4
2005,SH_STA_STNT,Armenia,<5Y,,20.6
2006,SH_STA_STNT,Armenia,<5Y,,20.4
2007,SH_STA_STNT,Armenia,<5Y,,19.8
2008,SH_STA_STNT,Armenia,<5Y,,18.8
2009,SH_STA_STNT,Armenia,<5Y,,17.7
2010,SH_STA_STNT,Armenia,<5Y,,16.4
2011,SH_STA_STNT,Armenia,<5Y,,15.1
2012,SH_STA_STNT,Armenia,<5Y,,13.9
2013,SH_STA_STNT,Armenia,<5Y,,12.9
2014,SH_STA_STNT,Armenia,<5Y,,12.0
2015,SH_STA_STNT,Armenia,<5Y,,11.2
2016,SH_STA_STNT,Armenia,<5Y,,10.4
2017,SH_STA_STNT,Armenia,<5Y,,9.7
2018,SH_STA_STNT,Armenia,<5Y,,9.1
2019,SH_STA_STNT,Armenia,<5Y,,8.5
2020,SH_STA_STNT,Armenia,<5Y,,8.0
2021,SH_STA_STNT,Armenia,<5Y,,7.5
2022,SH_STA_STNT,Armenia,<5Y,,7.2
2000,SH_STA_STNT,Belgium,<5Y,,4.0
2001,SH_STA_STNT,Belgium,<5Y,,4.0
2002,SH_STA_STNT,Belgium,<5Y,,4.0
2003,SH_STA_STNT,Belgium,<5Y,,3.9
2004,SH_STA_STNT,Belgium,<5Y,,3.8
2005,SH_STA_STNT,Belgium,<5Y,,3.7
2006,SH_STA_STNT,Belgium,<5Y,,3.6
2007,SH_STA_STNT,Belgium,<5Y,,3.5
2008,SH_STA_STNT,Belgium,<5Y,,3.4
2009,SH_STA_STNT,Belgium,<5Y,,3.2
2010,SH_STA_STNT,Belgium,<5Y,,3.1
2011,SH_STA_STNT,Belgium,<5Y,,2.9
2012,SH_STA_STNT,Belgium,<5Y,,2.8
2013,SH_STA_STNT,Belgium,<5Y,,2.7
2014,SH_STA_STNT,Belgium,<5Y,,2.7
2015,SH_STA_STNT,Belgium,<5Y,,2.6
2016,SH_STA_STNT,Belgium,<5Y,,2.6
2017,SH_STA_STNT,Belgium,<5Y,,2.6
2018,SH_STA_STNT,Belgium,<5Y,,2.5
2019,SH_STA_STNT,Belgium,<5Y,,2.5
2020,SH_STA_STNT,Belgium,<5Y,,2.5
2021,SH_STA_STNT,Belgium,<5Y,,2.4
2022,SH_STA_STNT,Belgium,<5Y,,2.4
2000,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,12.4
2001,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,11.8
2002,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,11.6
2003,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,11.4
2004,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,11.3
2005,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,11.2
2006,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,11.1
2007,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,11.0
2008,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,10.8
2009,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,10.4
2010,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,10.0
2011,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,9.6
2012,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,9.2
2013,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,8.9
2014,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,8.7
2015,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,8.6
2016,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,8.5
2017,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,8.4
2018,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,8.4
2019,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,8.3
2020,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,8.2
2021,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,8.1
2022,SH_STA_STNT,Bosnia and Herzegovina,<5Y,,8.0
2000,SH_STA_STNT,Bulgaria,<5Y,,8.1
2001,SH_STA_STNT,Bulgaria,<5Y,,8.3
2002,SH_STA_STNT,Bulgaria,<5Y,,8.4
2003,SH_STA_STNT,Bulgaria,<5Y,,8.5
2004,SH_STA_STNT,Bulgaria,<5Y,,8.6
2005,SH_STA_STNT,Bulgaria,<5Y,,8.6
2006,SH_STA_STNT,Bulgaria,<5Y,,8.6
2007,SH_STA_STNT,Bulgaria,<5Y,,8.4
2008,SH_STA_STNT,Bulgaria,<5Y,,8.2
2009,SH_STA_STNT,Bulgaria,<5Y,,8.0
2010,SH_STA_STNT,Bulgaria,<5Y,,7.7
2011,SH_STA_STNT,Bulgaria,<5Y,,7.4
2012,SH_STA_STNT,Bulgaria,<5Y,,7.1
2013,SH_STA_STNT,Bulgaria,<5Y,,6.9
2014,SH_STA_STNT,Bulgaria,<5Y,,6.8
2015,SH_STA_STNT,Bulgaria,<5Y,,6.6
2016,SH_STA_STNT,Bulgaria,<5Y,,6.5
2017,SH_STA_STNT,Bulgaria,<5Y,,6.4
2018,SH_STA_STNT,Bulgaria,<5Y,,6.2
2019,SH_STA_STNT,Bulgaria,<5Y,,6.1
2020,SH_STA_STNT,Bulgaria,<5Y,,5.9
2021,SH_STA_STNT,Bulgaria,<5Y,,5.7
2022,SH_STA_STNT,Bulgaria,<5Y,,5.6
2000,SH_STA_STNT,Belarus,<5Y,,4.7
2001,SH_STA_STNT,Belarus,<5Y,,4.5
2002,SH_STA_STNT,Belarus,<5Y,,4.5
2003,SH_STA_STNT,Belarus,<5Y,,4.4
2004,SH_STA_STNT,Belarus,<5Y,,4.5
2005,SH_STA_STNT,Belarus,<5Y,,4.5
2006,SH_STA_STNT,Belarus,<5Y,,4.4
2007,SH_STA_STNT,Belarus,<5Y,,4.4
2008,SH_STA_STNT,Belarus,<5Y,,4.4
2009,SH_STA_STNT,Belarus,<5Y,,4.1
2010,SH_STA_STNT,Belarus,<5Y,,4.0
2011,SH_STA_STNT,Belarus,<5Y,,3.9
2012,SH_STA_STNT,Belarus,<5Y,,3.9
2013,SH_STA_STNT,Belarus,<5Y,,3.8
2014,SH_STA_STNT,Belarus,<5Y,,3.8
2015,SH_STA_STNT,Belarus,<5Y,,3.8
2016,SH_STA_STNT,Belarus,<5Y,,3.7
2017,SH_STA_STNT,Belarus,<5Y,,3.7
2018,SH_STA_STNT,Belarus,<5Y,,3.7
2019,SH_STA_STNT,Belarus,<5Y,,3.7
2020,SH_STA_STNT,Belarus,<5Y,,3.6
2021,SH_STA_STNT,Belarus,<5Y,,3.6
2022,SH_STA_STNT,Belarus,<5Y,,3.6
2000,SH_STA_STNT,Chile,<5Y,,2.9
2001,SH_STA_STNT,Chile,<5Y,,2.7
2002,SH_STA_STNT,Chile,<5Y,,2.5
2003,SH_STA_STNT,Chile,<5Y,,2.4
2004,SH_STA_STNT,Chile,<5Y,,2.3
2005,SH_STA_STNT,Chile,<5Y,,2.3
2006,SH_STA_STNT,Chile,<5Y,,2.2
2007,SH_STA_STNT,Chile,<5Y,,2.2
2008,SH_STA_STNT,Chile,<5Y,,2.1
2009,SH_STA_STNT,Chile,<5Y,,2.1
2010,SH_STA_STNT,Chile,<5Y,,2.0
2011,SH_STA_STNT,Chile,<5Y,,1.9
2012,SH_STA_STNT,Chile,<5Y,,1.9
2013,SH_STA_STNT,Chile,<5Y,,1.9
2014,SH_STA_STNT,Chile,<5Y,,1.8
2015,SH_STA_STNT,Chile,<5Y,,1.8
2016,SH_STA_STNT,Chile,<5Y,,1.8
2017,SH_STA_STNT,Chile,<5Y,,1.7
2018,SH_STA_STNT,Chile,<5Y,,1.7
2019,SH_STA_STNT,Chile,<5Y,,1.7
2020,SH_STA_STNT,Chile,<5Y,,1.6
2021,SH_STA_STNT,Chile,<5Y,,1.6
2022,SH_STA_STNT,Chile,<5Y,,1.6
2000,SH_STA_STNT,China,<5Y,,19.9
2001,SH_STA_STNT,China,<5Y,,18.4
2002,SH_STA_STNT,China,<5Y,,17.0
2003,SH_STA_STNT,China,<5Y,,15.6
2004,SH_STA_STNT,China,<5Y,,14.3
2005,SH_STA_STNT,China,<5Y,,13.2
2006,SH_STA_STNT,China,<5Y,,12.2
2007,SH_STA_STNT,China,<5Y,,11.3
2008,SH_STA_STNT,China,<5Y,,10.5
2009,SH_STA_STNT,China,<5Y,,9.7
2010,SH_STA_STNT,China,<5Y,,8.9
2011,SH_STA_STNT,China,<5Y,,8.1
2012,SH_STA_STNT,China,<5Y,,7.6
2013,SH_STA_STNT,China,<5Y,,7.1
2014,SH_STA_STNT,China,<5Y,,6.7
2015,SH_STA_STNT,China,<5Y,,6.5
2016,SH_STA_STNT,China,<5Y,,6.2
2017,SH_STA_STNT,China,<5Y,,5.9
2018,SH_STA_STNT,China,<5Y,,5.7
2019,SH_STA_STNT,China,<5Y,,5.4
2020,SH_STA_STNT,China,<5Y,,5.1
2021,SH_STA_STNT,China,<5Y,,4.9
2022,SH_STA_STNT,China,<5Y,,4.6
2000,SH_STA_STNT,Colombia,<5Y,,17.4
2001,SH_STA_STNT,Colombia,<5Y,,17.1
2002,SH_STA_STNT,Colombia,<5Y,,16.8
2003,SH_STA_STNT,Colombia,<5Y,,16.5
2004,SH_STA_STNT,Colombia,<5Y,,16.1
2005,SH_STA_STNT,Colombia,<5Y,,15.7
2006,SH_STA_STNT,Colombia,<5Y,,15.3
2007,SH_STA_STNT,Colombia,<5Y,,14.7
2008,SH_STA_STNT,Colombia,<5Y,,14.2
2009,SH_STA_STNT,Colombia,<5Y,,13.7
2010,SH_STA_STNT,Colombia,<5Y,,13.3
2011,SH_STA_STNT,Colombia,<5Y,,12.9
2012,SH_STA_STNT,Colombia,<5Y,,12.7
2013,SH_STA_STNT,Colombia,<5Y,,12.5
2014,SH_STA_STNT,Colombia,<5Y,,12.4
2015,SH_STA_STNT,Colombia,<5Y,,12.3
2016,SH_STA_STNT,Colombia,<5Y,,12.1
2017,SH_STA_STNT,Colombia,<5Y,,12.0
2018,SH_STA_STNT,Colombia,<5Y,,11.8
2019,SH_STA_STNT,Colombia,<5Y,,11.6
2020,SH_STA_STNT,Colombia,<5Y,,11.5
2021,SH_STA_STNT,Colombia,<5Y,,11.3
2022,SH_STA_STNT,Colombia,<5Y,,11.2
2000,SH_STA_STNT,Costa Rica,<5Y,,6.8
2001,SH_STA_STNT,Costa Rica,<5Y,,6.6
2002,SH_STA_STNT,Costa Rica,<5Y,,6.4
2003,SH_STA_STNT,Costa Rica,<5Y,,6.2
2004,SH_STA_STNT,Costa Rica,<5Y,,6.0
2005,SH_STA_STNT,Costa Rica,<5Y,,5.9
2006,SH_STA_STNT,Costa Rica,<5Y,,5.9
2007,SH_STA_STNT,Costa Rica,<5Y,,5.9
2008,SH_STA_STNT,Costa Rica,<5Y,,6.0
2009,SH_STA_STNT,Costa Rica,<5Y,,6.0
2010,SH_STA_STNT,Costa Rica,<5Y,,6.1
2011,SH_STA_STNT,Costa Rica,<5Y,,6.2
2012,SH_STA_STNT,Costa Rica,<5Y,,6.4
2013,SH_STA_STNT,Costa Rica,<5Y,,6.7
2014,SH_STA_STNT,Costa Rica,<5Y,,7.0
2015,SH_STA_STNT,Costa Rica,<5Y,,7.3
2016,SH_STA_STNT,Costa Rica,<5Y,,7.7
2017,SH_STA_STNT,Costa Rica,<5Y,,8.0
2018,SH_STA_STNT,Costa Rica,<5Y,,8.3
2019,SH_STA_STNT,Costa Rica,<5Y,,8.6
2020,SH_STA_STNT,Costa Rica,<5Y,,8.9
2021,SH_STA_STNT,Costa Rica,<5Y,,9.2
2022,SH_STA_STNT,Costa Rica,<5Y,,9.5
2000,SH_STA_STNT,Czechia,<5Y,,2.6
2001,SH_STA_STNT,Czechia,<5Y,,2.6
2002,SH_STA_STNT,Czechia,<5Y,,2.7
2003,SH_STA_STNT,Czechia,<5Y,,2.7
2004,SH_STA_STNT,Czechia,<5Y,,2.7
2005,SH_STA_STNT,Czechia,<5Y,,2.7
2006,SH_STA_STNT,Czechia,<5Y,,2.7
2007,SH_STA_STNT,Czechia,<5Y,,2.7
2008,SH_STA_STNT,Czechia,<5Y,,2.6
2009,SH_STA_STNT,Czechia,<5Y,,2.6
2010,SH_STA_STNT,Czechia,<5Y,,2.5
2011,SH_STA_STNT,Czechia,<5Y,,2.5
2012,SH_STA_STNT,Czechia,<5Y,,2.5
2013,SH_STA_STNT,Czechia,<5Y,,2.5
2014,SH_STA_STNT,Czechia,<5Y,,2.5
2015,SH_STA_STNT,Czechia,<5Y,,2.5
2016,SH_STA_STNT,Czechia,<5Y,,2.5
2017,SH_STA_STNT,Czechia,<5Y,,2.5
2018,SH_STA_STNT,Czechia,<5Y,,2.5
2019,SH_STA_STNT,Czechia,<5Y,,2.5
2020,SH_STA_STNT,Czechia,<5Y,,2.5
2021,SH_STA_STNT,Czechia,<5Y,,2.5
2022,SH_STA_STNT,Czechia,<5Y,,2.5
2000,SH_STA_STNT,Estonia,<5Y,,2.0
2001,SH_STA_STNT,Estonia,<5Y,,1.9
2002,SH_STA_STNT,Estonia,<5Y,,1.8
2003,SH_STA_STNT,Estonia,<5Y,,1.7
2004,SH_STA_STNT,Estonia,<5Y,,1.7
2005,SH_STA_STNT,Estonia,<5Y,,1.6
2006,SH_STA_STNT,Estonia,<5Y,,1.6
2007,SH_STA_STNT,Estonia,<5Y,,1.5
2008,SH_STA_STNT,Estonia,<5Y,,1.5
2009,SH_STA_STNT,Estonia,<5Y,,1.4
2010,SH_STA_STNT,Estonia,<5Y,,1.4
2011,SH_STA_STNT,Estonia,<5Y,,1.3
2012,SH_STA_STNT,Estonia,<5Y,,1.3
2013,SH_STA_STNT,Estonia,<5Y,,1.3
2014,SH_STA_STNT,Estonia,<5Y,,1.3
2015,SH_STA_STNT,Estonia,<5Y,,1.3
2016,SH_STA_STNT,Estonia,<5Y,,1.3
2017,SH_STA_STNT,Estonia,<5Y,,1.3
2018,SH_STA_STNT,Estonia,<5Y,,1.3
2019,SH_STA_STNT,Estonia,<5Y,,1.3
2020,SH_STA_STNT,Estonia,<5Y,,1.2
2021,SH_STA_STNT,Estonia,<5Y,,1.2
2022,SH_STA_STNT,Estonia,<5Y,,1.2
2000,SH_STA_STNT,Georgia,<5Y,,16.1
2001,SH_STA_STNT,Georgia,<5Y,,15.8
2002,SH_STA_STNT,Georgia,<5Y,,15.5
2003,SH_STA_STNT,Georgia,<5Y,,15.2
2004,SH_STA_STNT,Georgia,<5Y,,14.8
2005,SH_STA_STNT,Georgia,<5Y,,14.5
2006,SH_STA_STNT,Georgia,<5Y,,14.0
2007,SH_STA_STNT,Georgia,<5Y,,13.2
2008,SH_STA_STNT,Georgia,<5Y,,12.2
2009,SH_STA_STNT,Georgia,<5Y,,11.3
2010,SH_STA_STNT,Georgia,<5Y,,10.4
2011,SH_STA_STNT,Georgia,<5Y,,9.5
2012,SH_STA_STNT,Georgia,<5Y,,8.8
2013,SH_STA_STNT,Georgia,<5Y,,8.3
2014,SH_STA_STNT,Georgia,<5Y,,7.8
2015,SH_STA_STNT,Georgia,<5Y,,7.3
2016,SH_STA_STNT,Georgia,<5Y,,6.8
2017,SH_STA_STNT,Georgia,<5Y,,6.4
2018,SH_STA_STNT,Georgia,<5Y,,6.0
2019,SH_STA_STNT,Georgia,<5Y,,5.6
2002,SH_STA_STNT,Latvia,<5Y,,3.6
2003,SH_STA_STNT,Latvia,<5Y,,3.5
2004,SH_STA_STNT,Latvia,<5Y,,3.4
2005,SH_STA_STNT,Latvia,<5Y,,3.2
2006,SH_STA_STNT,Latvia,<5Y,,3.1
2007,SH_STA_STNT,Latvia,<5Y,,3.0
2008,SH_STA_STNT,Latvia,<5Y,,2.9
2009,SH_STA_STNT,Latvia,<5Y,,2.7
2010,SH_STA_STNT,Latvia,<5Y,,2.6
2020,SH_STA_STNT,Georgia,<5Y,,5.3
2021,SH_STA_STNT,Georgia,<5Y,,5.0
2022,SH_STA_STNT,Georgia,<5Y,,4.8
2000,SH_STA_STNT,Germany,<5Y,,1.2
2001,SH_STA_STNT,Germany,<5Y,,1.2
2002,SH_STA_STNT,Germany,<5Y,,1.2
2003,SH_STA_STNT,Germany,<5Y,,1.2
2004,SH_STA_STNT,Germany,<5Y,,1.2
2005,SH_STA_STNT,Germany,<5Y,,1.2
2006,SH_STA_STNT,Germany,<5Y,,1.3
2007,SH_STA_STNT,Germany,<5Y,,1.3
2008,SH_STA_STNT,Germany,<5Y,,1.4
2009,SH_STA_STNT,Germany,<5Y,,1.4
2010,SH_STA_STNT,Germany,<5Y,,1.4
2011,SH_STA_STNT,Germany,<5Y,,1.5
2012,SH_STA_STNT,Germany,<5Y,,1.5
2013,SH_STA_STNT,Germany,<5Y,,1.6
2014,SH_STA_STNT,Germany,<5Y,,1.6
2015,SH_STA_STNT,Germany,<5Y,,1.7
2016,SH_STA_STNT,Germany,<5Y,,1.8
2017,SH_STA_STNT,Germany,<5Y,,1.8
2018,SH_STA_STNT,Germany,<5Y,,1.9
2019,SH_STA_STNT,Germany,<5Y,,2.0
2020,SH_STA_STNT,Germany,<5Y,,2.0
2021,SH_STA_STNT,Germany,<5Y,,2.1
2022,SH_STA_STNT,Germany,<5Y,,2.1
2000,SH_STA_STNT,Greece,<5Y,,2.5
2001,SH_STA_STNT,Greece,<5Y,,2.4
2002,SH_STA_STNT,Greece,<5Y,,2.4
2003,SH_STA_STNT,Greece,<5Y,,2.3
2004,SH_STA_STNT,Greece,<5Y,,2.3
2005,SH_STA_STNT,Greece,<5Y,,2.2
2006,SH_STA_STNT,Greece,<5Y,,2.2
2007,SH_STA_STNT,Greece,<5Y,,2.1
2008,SH_STA_STNT,Greece,<5Y,,2.1
2009,SH_STA_STNT,Greece,<5Y,,2.1
2010,SH_STA_STNT,Greece,<5Y,,2.0
