Year,SeriesCode,GeoAreaName,Deviation Level,Value
2018,EN_LKW_QLTRB,Armenia,LOW,65.44946
2018,EN_LKW_QLTRB,Armenia,MEDIUM,7.93252
2018,EN_LKW_QLTRB,Armenia,HIGH,14.42098
2019,EN_LKW_QLTRB,Armenia,LOW,34.42654
2019,EN_LKW_QLTRB,Armenia,EXTREME,14.5647
2019,EN_LKW_QLTRB,Armenia,MEDIUM,13.93784
2019,EN_LKW_QLTRB,Armenia,HIGH,37.07092
2020,EN_LKW_QLTRB,Armenia,MEDIUM,13.18354
2020,EN_LKW_QLTRB,Armenia,LOW,75.42541
2020,EN_LKW_QLTRB,Armenia,EXTREME,4.80025
2020,EN_LKW_QLTRB,Armenia,HIGH,6.5908
2021,EN_LKW_QLTRB,Armenia,LOW,82.46119
2021,EN_LKW_QLTRB,Armenia,EXTREME,2.30335
2021,EN_LKW_QLTRB,Armenia,HIGH,4.39053
2021,EN_LKW_QLTRB,Armenia,MEDIUM,10.84494
2017,EN_LKW_QLTRB,Bosnia and Herzegovina,MEDIUM,5.85879
2017,EN_LKW_QLTRB,Bosnia and Herzegovina,HIGH,11.47935
2017,EN_LKW_QLTRB,Bosnia and Herzegovina,EXTREME,36.68266
2017,EN_LKW_QLTRB,Bosnia and Herzegovina,LOW,45.9792
2018,EN_LKW_QLTRB,Bosnia and Herzegovina,HIGH,9.67477
2018,EN_LKW_QLTRB,Bosnia and Herzegovina,EXTREME,13.28173
2018,EN_LKW_QLTRB,Bosnia and Herzegovina,MEDIUM,17.76887
2018,EN_LKW_QLTRB,Bosnia and Herzegovina,LOW,59.27463
2019,EN_LKW_QLTRB,Bosnia and Herzegovina,MEDIUM,18.92506
2019,EN_LKW_QLTRB,Bosnia and Herzegovina,HIGH,22.72978
2019,EN_LKW_QLTRB,Bosnia and Herzegovina,LOW,35.41317
2019,EN_LKW_QLTRB,Bosnia and Herzegovina,EXTREME,22.93199
2020,EN_LKW_QLTRB,Bosnia and Herzegovina,MEDIUM,5.96714
2020,EN_LKW_QLTRB,Bosnia and Herzegovina,EXTREME,47.09999
2020,EN_LKW_QLTRB,Bosnia and Herzegovina,HIGH,12.83487
2020,EN_LKW_QLTRB,Bosnia and Herzegovina,LOW,34.098
2021,EN_LKW_QLTRB,Bosnia and Herzegovina,HIGH,9.97428
2021,EN_LKW_QLTRB,Bosnia and Herzegovina,MEDIUM,6.181
2021,EN_LKW_QLTRB,Bosnia and Herzegovina,EXTREME,37.7657
2021,EN_LKW_QLTRB,Bosnia and Herzegovina,LOW,46.07902
2017,EN_LKW_QLTRB,Bulgaria,HIGH,9.29401
2017,EN_LKW_QLTRB,Bulgaria,EXTREME,10.67799
2017,EN_LKW_QLTRB,Bulgaria,LOW,68.66783
2017,EN_LKW_QLTRB,Bulgaria,MEDIUM,11.36016
2018,EN_LKW_QLTRB,Bulgaria,MEDIUM,6.80552
2018,EN_LKW_QLTRB,Bulgaria,HIGH,8.22379
2018,EN_LKW_QLTRB,Bulgaria,LOW,72.95951
2018,EN_LKW_QLTRB,Bulgaria,EXTREME,12.01118
2019,EN_LKW_QLTRB,Bulgaria,LOW,72.27403
2019,EN_LKW_QLTRB,Bulgaria,HIGH,10.52884
2019,EN_LKW_QLTRB,Bulgaria,EXTREME,6.80812
2019,EN_LKW_QLTRB,Bulgaria,MEDIUM,10.389
2020,EN_LKW_QLTRB,Bulgaria,HIGH,15.81754
2020,EN_LKW_QLTRB,Bulgaria,LOW,58.69417
2020,EN_LKW_QLTRB,Bulgaria,MEDIUM,12.17841
2020,EN_LKW_QLTRB,Bulgaria,EXTREME,13.30987
2021,EN_LKW_QLTRB,Bulgaria,HIGH,12.22809
2021,EN_LKW_QLTRB,Bulgaria,EXTREME,8.0197
2021,EN_LKW_QLTRB,Bulgaria,LOW,67.43449
2021,EN_LKW_QLTRB,Bulgaria,MEDIUM,12.31772
2017,EN_LKW_QLTRB,Canada,EXTREME,19.06367
2017,EN_LKW_QLTRB,Canada,HIGH,14.11706
2017,EN_LKW_QLTRB,Canada,MEDIUM,12.91853
2017,EN_LKW_QLTRB,Canada,LOW,53.90075
2018,EN_LKW_QLTRB,Canada,HIGH,16.24134
2018,EN_LKW_QLTRB,Canada,EXTREME,21.54376
2018,EN_LKW_QLTRB,Canada,MEDIUM,13.27818
2018,EN_LKW_QLTRB,Canada,LOW,48.93672
2019,EN_LKW_QLTRB,Canada,LOW,50.69732
2019,EN_LKW_QLTRB,Canada,MEDIUM,12.96618
2019,EN_LKW_QLTRB,Canada,EXTREME,21.10739
2019,EN_LKW_QLTRB,Canada,HIGH,15.22912
2020,EN_LKW_QLTRB,Canada,LOW,57.81244
2020,EN_LKW_QLTRB,Canada,MEDIUM,13.22555
2020,EN_LKW_QLTRB,Canada,HIGH,12.89487
2020,EN_LKW_QLTRB,Canada,EXTREME,16.06714
2021,EN_LKW_QLTRB,Canada,MEDIUM,13.36641
2021,EN_LKW_QLTRB,Canada,LOW,55.80213
2021,EN_LKW_QLTRB,Canada,EXTREME,16.26338
2021,EN_LKW_QLTRB,Canada,HIGH,14.56808
2017,EN_LKW_QLTRB,Chile,EXTREME,22.97285
2017,EN_LKW_QLTRB,Chile,HIGH,13.15017
2017,EN_LKW_QLTRB,Chile,MEDIUM,11.40424
2017,EN_LKW_QLTRB,Chile,LOW,44.13941
2018,EN_LKW_QLTRB,Chile,MEDIUM,10.64351
2018,EN_LKW_QLTRB,Chile,LOW,45.35406
2018,EN_LKW_QLTRB,Chile,EXTREME,22.95801
2018,EN_LKW_QLTRB,Chile,HIGH,12.71109
2019,EN_LKW_QLTRB,Chile,EXTREME,22.52444
2019,EN_LKW_QLTRB,Chile,HIGH,12.17688
2019,EN_LKW_QLTRB,Chile,MEDIUM,10.66825
2019,EN_LKW_QLTRB,Chile,LOW,46.29709
2020,EN_LKW_QLTRB,Chile,HIGH,14.89192
2020,EN_LKW_QLTRB,Chile,EXTREME,31.23785
2020,EN_LKW_QLTRB,Chile,MEDIUM,9.62876
2020,EN_LKW_QLTRB,Chile,LOW,35.90813
2021,EN_LKW_QLTRB,Chile,EXTREME,23.00715
2021,EN_LKW_QLTRB,Chile,LOW,46.88223
2021,EN_LKW_QLTRB,Chile,MEDIUM,10.01396
2021,EN_LKW_QLTRB,Chile,HIGH,11.76332
2017,EN_LKW_QLTRB,China,MEDIUM,11.68209
2017,EN_LKW_QLTRB,China,LOW,59.36794
2017,EN_LKW_QLTRB,China,HIGH,12.16558
2017,EN_LKW_QLTRB,China,EXTREME,16.78439
2018,EN_LKW_QLTRB,China,HIGH,12.59033
2018,EN_LKW_QLTRB,China,EXTREME,18.46644
2018,EN_LKW_QLTRB,China,MEDIUM,11.38421
2018,EN_LKW_QLTRB,China,LOW,57.55902
2019,EN_LKW_QLTRB,China,EXTREME,15.13008
2019,EN_LKW_QLTRB,China,MEDIUM,10.80519
2019,EN_LKW_QLTRB,China,LOW,63.39736
2019,EN_LKW_QLTRB,China,HIGH,10.66737
2020,EN_LKW_QLTRB,China,MEDIUM,9.37481
2020,EN_LKW_QLTRB,China,LOW,63.80943
2020,EN_LKW_QLTRB,China,HIGH,10.0311
2020,EN_LKW_QLTRB,China,EXTREME,16.78465
2021,EN_LKW_QLTRB,China,MEDIUM,10.01551
2021,EN_LKW_QLTRB,China,LOW,60.9001
2021,EN_LKW_QLTRB,China,EXTREME,17.53186
2021,EN_LKW_QLTRB,China,HIGH,11.55253
2017,EN_LKW_QLTRB,Colombia,MEDIUM,7.49839
2017,EN_LKW_QLTRB,Colombia,HIGH,9.07013
2017,EN_LKW_QLTRB,Colombia,EXTREME,25.91105
2017,EN_LKW_QLTRB,Colombia,LOW,57.52043
2018,EN_LKW_QLTRB,Colombia,HIGH,10.89994
2018,EN_LKW_QLTRB,Colombia,MEDIUM,8.58804
2018,EN_LKW_QLTRB,Colombia,EXTREME,25.5984
2018,EN_LKW_QLTRB,Colombia,LOW,54.91363
2019,EN_LKW_QLTRB,Colombia,EXTREME,21.40551
2019,EN_LKW_QLTRB,Colombia,LOW,61.64986
2019,EN_LKW_QLTRB,Colombia,HIGH,9.1753
2019,EN_LKW_QLTRB,Colombia,MEDIUM,7.76934
2020,EN_LKW_QLTRB,Colombia,EXTREME,28.92674
2020,EN_LKW_QLTRB,Colombia,HIGH,9.59284
2020,EN_LKW_QLTRB,Colombia,MEDIUM,7.114
2020,EN_LKW_QLTRB,Japan,EXTREME,13.85973
2020,EN_LKW_QLTRB,Japan,LOW,47.66507
2020,EN_LKW_QLTRB,Japan,HIGH,18.05245
2020,EN_LKW_QLTRB,Japan,MEDIUM,20.42275
2021,EN_LKW_QLTRB,Japan,LOW,48.36415
2021,EN_LKW_QLTRB,Japan,MEDIUM,20.12589
2021,EN_LKW_QLTRB,Japan,EXTREME,14.99362
2021,EN_LKW_QLTRB,Japan,HIGH,16.51634
2017,EN_LKW_QLTRB,Kazakhstan,MEDIUM,10.82399
2017,EN_LKW_QLTRB,Kazakhstan,EXTREME,13.53424
2017,EN_LKW_QLTRB,Kazakhstan,HIGH,9.27682
2017,EN_LKW_QLTRB,Kazakhstan,LOW,66.36495
2020,EN_LKW_QLTRB,Colombia,LOW,54.36642
2021,EN_LKW_QLTRB,Colombia,HIGH,10.17298
2021,EN_LKW_QLTRB,Colombia,EXTREME,22.28299
2021,EN_LKW_QLTRB,Colombia,LOW,59.18821
2021,EN_LKW_QLTRB,Colombia,MEDIUM,8.35582
2017,EN_LKW_QLTRB,Costa Rica,MEDIUM,11.84469
2017,EN_LKW_QLTRB,Costa Rica,LOW,45.31653
2017,EN_LKW_QLTRB,Costa Rica,HIGH,12.04012
2017,EN_LKW_QLTRB,Costa Rica,EXTREME,14.132
2018,EN_LKW_QLTRB,Costa Rica,MEDIUM,10.79608
2018,EN_LKW_QLTRB,Costa Rica,LOW,46.03972
2018,EN_LKW_QLTRB,Costa Rica,HIGH,12.09847
2018,EN_LKW_QLTRB,Kazakhstan,LOW,53.93473
2018,EN_LKW_QLTRB,Kazakhstan,MEDIUM,14.73026
2018,EN_LKW_QLTRB,Kazakhstan,HIGH,13.18173
2018,EN_LKW_QLTRB,Kazakhstan,EXTREME,18.15328
2019,EN_LKW_QLTRB,Kazakhstan,EXTREME,10.24719
2019,EN_LKW_QLTRB,Kazakhstan,HIGH,7.93769
2019,EN_LKW_QLTRB,Kazakhstan,MEDIUM,10.72258
2019,EN_LKW_QLTRB,Kazakhstan,LOW,71.09254
2020,EN_LKW_QLTRB,Kazakhstan,LOW,68.12238
2020,EN_LKW_QLTRB,Kazakhstan,HIGH,9.40379
2020,EN_LKW_QLTRB,Kazakhstan,EXTREME,9.38595
2020,EN_LKW_QLTRB,Kazakhstan,MEDIUM,13.08788
2018,EN_LKW_QLTRB,Costa Rica,EXTREME,6.06573
2019,EN_LKW_QLTRB,Costa Rica,LOW,40.30904
2019,EN_LKW_QLTRB,Costa Rica,HIGH,10.15155
2019,EN_LKW_QLTRB,Costa Rica,MEDIUM,9.97627
2019,EN_LKW_QLTRB,Costa Rica,EXTREME,14.56315
2020,EN_LKW_QLTRB,Costa Rica,EXTREME,23.66986
2020,EN_LKW_QLTRB,Costa Rica,MEDIUM,13.19214
2020,EN_LKW_QLTRB,Costa Rica,LOW,31.39252
2020,EN_LKW_QLTRB,Costa Rica,HIGH,15.07881
2021,EN_LKW_QLTRB,Costa Rica,EXTREME,12.68791
2021,EN_LKW_QLTRB,Costa Rica,LOW,48.18522
2021,EN_LKW_QLTRB,Costa Rica,MEDIUM,12.39625
2021,EN_LKW_QLTRB,Kazakhstan,MEDIUM,11.12175
2021,EN_LKW_QLTRB,Kazakhstan,LOW,69.64932
2021,EN_LKW_QLTRB,Kazakhstan,HIGH,8.60781
2021,EN_LKW_QLTRB,Kazakhstan,EXTREME,10.62111
2017,EN_LKW_QLTRB,Kyrgyzstan,HIGH,20.69385
2017,EN_LKW_QLTRB,Kyrgyzstan,MEDIUM,22.14742
2017,EN_LKW_QLTRB,Kyrgyzstan,EXTREME,5.99113
2017,EN_LKW_QLTRB,Kyrgyzstan,LOW,51.16761
2018,EN_LKW_QLTRB,Kyrgyzstan,HIGH,18.03942
2018,EN_LKW_QLTRB,Kyrgyzstan,LOW,55.14373
2018,EN_LKW_QLTRB,Kyrgyzstan,MEDIUM,18.8201
2018,EN_LKW_QLTRB,Kyrgyzstan,EXTREME,7.99675
2021,EN_LKW_QLTRB,Costa Rica,HIGH,10.06396
2017,EN_LKW_QLTRB,Croatia,LOW,57.03485
2017,EN_LKW_QLTRB,Croatia,HIGH,12.01887
2017,EN_LKW_QLTRB,Croatia,MEDIUM,7.92474
2017,EN_LKW_QLTRB,Croatia,EXTREME,23.02154
2018,EN_LKW_QLTRB,Croatia,LOW,35.11465
2018,EN_LKW_QLTRB,Croatia,MEDIUM,6.64121
2018,EN_LKW_QLTRB,Croatia,HIGH,12.56457
2018,EN_LKW_QLTRB,Croatia,EXTREME,45.67958
2019,EN_LKW_QLTRB,Croatia,MEDIUM,11.09926
2019,EN_LKW_QLTRB,Croatia,LOW,52.17829
2019,EN_LKW_QLTRB,Croatia,HIGH,9.31309
2019,EN_LKW_QLTRB,Kyrgyzstan,HIGH,11.20345
2019,EN_LKW_QLTRB,Kyrgyzstan,LOW,63.14926
2019,EN_LKW_QLTRB,Kyrgyzstan,MEDIUM,23.3334
2019,EN_LKW_QLTRB,Kyrgyzstan,EXTREME,2.31388
2020,EN_LKW_QLTRB,Kyrgyzstan,EXTREME,4.57147
2020,EN_LKW_QLTRB,Kyrgyzstan,HIGH,17.56821
2020,EN_LKW_QLTRB,Kyrgyzstan,MEDIUM,19.52245
2020,EN_LKW_QLTRB,Kyrgyzstan,LOW,58.33788
2021,EN_LKW_QLTRB,Kyrgyzstan,LOW,68.4595
2021,EN_LKW_QLTRB,Kyrgyzstan,HIGH,8.96573
2021,EN_LKW_QLTRB,Kyrgyzstan,EXTREME,2.76315
2021,EN_LKW_QLTRB,Kyrgyzstan,MEDIUM,19.81161
2019,EN_LKW_QLTRB,Croatia,EXTREME,27.40936
2020,EN_LKW_QLTRB,Croatia,HIGH,11.65949
2020,EN_LKW_QLTRB,Croatia,MEDIUM,10.99689
2020,EN_LKW_QLTRB,Croatia,EXTREME,28.42331
2020,EN_LKW_QLTRB,Croatia,LOW,48.9203
2021,EN_LKW_QLTRB,Croatia,HIGH,17.57835
2021,EN_LKW_QLTRB,Croatia,EXTREME,18.61244
2021,EN_LKW_QLTRB,Croatia,MEDIUM,15.65034
2021,EN_LKW_QLTRB,Croatia,LOW,48.15887
2017,EN_LKW_QLTRB,Czechia,EXTREME,24.00202
2017,EN_LKW_QLTRB,Czechia,HIGH,10.60739
2017,EN_LKW_QLTRB,Czechia,MEDIUM,9.08996
2017,EN_LKW_QLTRB,Czechia,LOW,56.30063
2018,EN_LKW_QLTRB,Czechia,HIGH,11.50614
2018,EN_LKW_QLTRB,Czechia,LOW,53.66953
2018,EN_LKW_QLTRB,Czechia,EXTREME,25.47875
2018,EN_LKW_QLTRB,Czechia,MEDIUM,9.34558
2019,EN_LKW_QLTRB,Czechia,HIGH,12.17028
2019,EN_LKW_QLTRB,Czechia,LOW,56.5929
2019,EN_LKW_QLTRB,Czechia,MEDIUM,8.39403
2019,EN_LKW_QLTRB,Czechia,EXTREME,22.84279
2020,EN_LKW_QLTRB,Czechia,MEDIUM,10.18727
2020,EN_LKW_QLTRB,Czechia,HIGH,15.30868
2020,EN_LKW_QLTRB,Czechia,LOW,47.89411
2017,EN_LKW_QLTRB,Latvia,HIGH,11.17246
2017,EN_LKW_QLTRB,Latvia,EXTREME,18.11182
2017,EN_LKW_QLTRB,Latvia,LOW,55.6696
2017,EN_LKW_QLTRB,Latvia,MEDIUM,6.71279
2018,EN_LKW_QLTRB,Latvia,HIGH,9.54313
2018,EN_LKW_QLTRB,Latvia,LOW,49.48739
2018,EN_LKW_QLTRB,Latvia,MEDIUM,7.6791
2018,EN_LKW_QLTRB,Latvia,EXTREME,24.95704
2019,EN_LKW_QLTRB,Latvia,HIGH,14.38268
2019,EN_LKW_QLTRB,Latvia,LOW,50.63889
2019,EN_LKW_QLTRB,Latvia,EXTREME,19.65362
2019,EN_LKW_QLTRB,Latvia,MEDIUM,15.32481
2020,EN_LKW_QLTRB,Czechia,EXTREME,26.60994
2021,EN_LKW_QLTRB,Czechia,LOW,44.16217
2021,EN_LKW_QLTRB,Czechia,EXTREME,29.58986
2021,EN_LKW_QLTRB,Czechia,MEDIUM,10.35432
2021,EN_LKW_QLTRB,Czechia,HIGH,15.89365
2017,EN_LKW_QLTRB,Denmark,MEDIUM,8.44909
2017,EN_LKW_QLTRB,Denmark,LOW,63.4991
2017,EN_LKW_QLTRB,Denmark,EXTREME,18.9306
2017,EN_LKW_QLTRB,Denmark,HIGH,9.12121
2018,EN_LKW_QLTRB,Denmark,MEDIUM,9.12666
2018,EN_LKW_QLTRB,Denmark,LOW,60.34612
2018,EN_LKW_QLTRB,Denmark,HIGH,11.47245
2018,EN_LKW_QLTRB,Denmark,EXTREME,19.05476
2019,EN_LKW_QLTRB,Denmark,LOW,42.89543
2019,EN_LKW_QLTRB,Denmark,EXTREME,26.31421
2019,EN_LKW_QLTRB,Denmark,MEDIUM,13.99877
2019,EN_LKW_QLTRB,Denmark,HIGH,16.79159
2020,EN_LKW_QLTRB,Denmark,EXTREME,23.63793
2020,EN_LKW_QLTRB,Denmark,MEDIUM,12.51852
2020,EN_LKW_QLTRB,Denmark,LOW,49.6787
2020,EN_LKW_QLTRB,Denmark,HIGH,14.16486
2021,EN_LKW_QLTRB,Denmark,LOW,44.73708
2021,EN_LKW_QLTRB,Denmark,HIGH,18.73068
2021,EN_LKW_QLTRB,Denmark,MEDIUM,13.19655
2020,EN_LKW_QLTRB,Latvia,HIGH,13.07175
2020,EN_LKW_QLTRB,Latvia,MEDIUM,10.69204
2020,EN_LKW_QLTRB,Latvia,LOW,52.55182
2020,EN_LKW_QLTRB,Latvia,EXTREME,23.68439
