Year,Country,Location,Value
2004,Kyrgyzstan,URBAN,99.4
2004,Kyrgyzstan,ALLAREA,99.3
2004,Kyrgyzstan,RURAL,99.3
2005,Kyrgyzstan,RURAL,99.3
2005,Kyrgyzstan,ALLAREA,99.4
2005,Kyrgyzstan,URBAN,99.8
2006,Kyrgyzstan,URBAN,98.5
2006,Kyrgyzstan,ALLAREA,98.9
2006,Kyrgyzstan,RURAL,99.1
2007,Kyrgyzstan,RURAL,99.5
2007,Kyrgyzstan,URBAN,99.6
2007,Kyrgyzstan,ALLAREA,99.5
2008,Kyrgyzstan,ALLAREA,99.5
2008,Kyrgyzstan,URBAN,99.4
2008,Kyrgyzstan,RURAL,99.6
2009,Kyrgyzstan,RURAL,99.5
2009,Kyrgyzstan,URBAN,99.5
2009,Kyrgyzstan,ALLAREA,99.5
2010,Kyrgyzstan,RURAL,98.9
2010,Kyrgyzstan,URBAN,99.1
2010,Kyrgyzstan,ALLAREA,99.0
2011,Kyrgyzstan,URBAN,99.3
2011,Kyrgyzstan,RURAL,97.8
2011,Kyrgyzstan,ALLAREA,98.3
2012,Kyrgyzstan,ALLAREA,99.8
2012,Kyrgyzstan,URBAN,99.8
2012,Kyrgyzstan,RURAL,99.8
2013,Kyrgyzstan,URBAN,99.0
2013,Kyrgyzstan,RURAL,98.9
2013,Kyrgyzstan,ALLAREA,98.9
2014,Kyrgyzstan,ALLAREA,99.8
2014,Kyrgyzstan,RURAL,99.7
2014,Kyrgyzstan,URBAN,99.9
2015,Kyrgyzstan,URBAN,98.7
2015,Kyrgyzstan,RURAL,98.7
2015,Kyrgyzstan,ALLAREA,98.7
2016,Kyrgyzstan,RURAL,99.8
2016,Kyrgyzstan,URBAN,99.5
2016,Kyrgyzstan,ALLAREA,99.7
2017,Kyrgyzstan,ALLAREA,100.0
2017,Kyrgyzstan,URBAN,100.0
2017,Kyrgyzstan,RURAL,100.0
2018,Kyrgyzstan,RURAL,100.0
2018,Kyrgyzstan,URBAN,100.0
2018,Kyrgyzstan,ALLAREA,100.0
2019,Kyrgyzstan,URBAN,99.8
2019,Kyrgyzstan,RURAL,99.9
2019,Kyrgyzstan,ALLAREA,99.9
2020,Kyrgyzstan,RURAL,99.9
2020,Kyrgyzstan,URBAN,99.8
2020,Kyrgyzstan,ALLAREA,99.9
2021,Kyrgyzstan,ALLAREA,99.7
2021,Kyrgyzstan,URBAN,99.8
2000,Albania,ALLAREA,99.4
2000,Albania,URBAN,96.1
2000,Albania,RURAL,100.0
2001,Albania,RURAL,100.0
2001,Albania,URBAN,96.3
2001,Albania,ALLAREA,99.4
2002,Albania,ALLAREA,99.4
2002,Albania,URBAN,96.6
2002,Albania,RURAL,100.0
2003,Albania,ALLAREA,99.4
2003,Albania,RURAL,100.0
2003,Albania,URBAN,96.8
2004,Albania,ALLAREA,99.4
2021,Austria,ALLAREA,100.0
2000,Armenia,URBAN,99.1
2000,Armenia,ALLAREA,98.9
2000,Armenia,RURAL,98.5
2001,Armenia,RURAL,100.0
2001,Armenia,ALLAREA,100.0
2001,Armenia,URBAN,99.3
2002,Armenia,URBAN,99.2
2002,Armenia,ALLAREA,98.0
2002,Armenia,RURAL,95.8
2003,Armenia,ALLAREA,99.1
2003,Armenia,RURAL,98.9
2003,Armenia,URBAN,99.2
2021,Kyrgyzstan,RURAL,99.6
2000,Latvia,ALLAREA,99.9
2000,Latvia,URBAN,99.6
2000,Latvia,RURAL,100.0
2001,Latvia,ALLAREA,99.9
2001,Latvia,RURAL,100.0
2001,Latvia,URBAN,99.5
2002,Latvia,ALLAREA,99.8
2002,Latvia,URBAN,99.5
2002,Latvia,RURAL,100.0
2003,Latvia,RURAL,100.0
2003,Latvia,URBAN,99.5
2003,Latvia,ALLAREA,99.8
2004,Albania,URBAN,97.1
2004,Albania,RURAL,100.0
2005,Albania,RURAL,100.0
2005,Albania,URBAN,97.4
2005,Albania,ALLAREA,99.4
2006,Albania,ALLAREA,99.4
2006,Albania,URBAN,97.7
2006,Albania,RURAL,100.0
2007,Albania,RURAL,100.0
2007,Albania,URBAN,98.0
2007,Albania,ALLAREA,99.4
2008,Albania,URBAN,98.3
2008,Albania,ALLAREA,100.0
2008,Albania,RURAL,100.0
2009,Albania,RURAL,100.0
2009,Albania,ALLAREA,99.6
2009,Albania,URBAN,98.7
2010,Albania,URBAN,99.1
2010,Albania,ALLAREA,99.6
2010,Albania,RURAL,100.0
2011,Albania,RURAL,100.0
2011,Albania,URBAN,99.5
2011,Albania,ALLAREA,99.7
2012,Albania,ALLAREA,99.9
2012,Albania,URBAN,99.9
2012,Albania,RURAL,99.9
2004,Armenia,ALLAREA,99.1
2004,Armenia,URBAN,99.2
2004,Armenia,RURAL,98.9
2005,Armenia,URBAN,99.9
2005,Armenia,RURAL,99.6
2005,Armenia,ALLAREA,99.8
2006,Armenia,ALLAREA,99.1
2006,Armenia,RURAL,98.9
2006,Armenia,URBAN,99.2
2007,Armenia,URBAN,99.3
2007,Armenia,RURAL,98.9
2007,Armenia,ALLAREA,99.2
2008,Armenia,ALLAREA,99.2
2013,Albania,RURAL,99.8
2013,Albania,URBAN,99.9
2013,Albania,ALLAREA,99.9
2014,Albania,ALLAREA,100.0
2014,Albania,URBAN,100.0
2014,Albania,RURAL,99.9
2015,Albania,RURAL,100.0
2015,Albania,URBAN,100.0
2015,Albania,ALLAREA,100.0
2016,Albania,ALLAREA,99.9
2016,Albania,URBAN,100.0
2016,Albania,RURAL,99.7
2017,Albania,ALLAREA,99.9
2008,Czechia,ALLAREA,100.0
2009,Czechia,ALLAREA,100.0
2009,Czechia,URBAN,100.0
2009,Czechia,RURAL,100.0
2010,Czechia,RURAL,100.0
2010,Czechia,URBAN,100.0
2010,Czechia,ALLAREA,100.0
2011,Czechia,ALLAREA,100.0
2011,Czechia,URBAN,100.0
2011,Czechia,RURAL,100.0
2012,Czechia,RURAL,100.0
2012,Czechia,URBAN,100.0
2012,Czechia,ALLAREA,100.0
2017,Albania,RURAL,99.7
2017,Albania,URBAN,100.0
2018,Albania,ALLAREA,100.0
2018,Albania,URBAN,100.0
2018,Albania,RURAL,100.0
2019,Albania,RURAL,100.0
2019,Albania,URBAN,100.0
2019,Albania,ALLAREA,100.0
2020,Albania,ALLAREA,100.0
2020,Albania,URBAN,100.0
2020,Albania,RURAL,100.0
2021,Albania,RURAL,100.0
2021,Albania,URBAN,100.0
2013,Czechia,ALLAREA,100.0
2013,Czechia,URBAN,100.0
2013,Czechia,RURAL,100.0
2014,Czechia,RURAL,100.0
2014,Czechia,URBAN,100.0
2014,Czechia,ALLAREA,100.0
2015,Czechia,ALLAREA,100.0
2015,Czechia,URBAN,100.0
2015,Czechia,RURAL,100.0
2016,Czechia,RURAL,100.0
2016,Czechia,URBAN,100.0
2016,Czechia,ALLAREA,100.0
2017,Czechia,RURAL,100.0
2004,Latvia,ALLAREA,99.7
2004,Latvia,URBAN,99.4
2004,Latvia,RURAL,100.0
2005,Latvia,RURAL,100.0
2005,Latvia,URBAN,99.4
2005,Latvia,ALLAREA,99.7
2006,Latvia,ALLAREA,99.6
2006,Latvia,URBAN,99.5
2006,Latvia,RURAL,100.0
2007,Latvia,URBAN,99.5
2007,Latvia,RURAL,100.0
2007,Latvia,ALLAREA,99.7
2008,Latvia,ALLAREA,99.7
2017,Czechia,ALLAREA,100.0
2017,Czechia,URBAN,100.0
2018,Czechia,RURAL,100.0
2018,Czechia,URBAN,100.0
2018,Czechia,ALLAREA,100.0
2019,Czechia,URBAN,100.0
2019,Czechia,ALLAREA,100.0
2019,Czechia,RURAL,100.0
2020,Czechia,RURAL,100.0
2020,Czechia,ALLAREA,100.0
2020,Czechia,URBAN,100.0
2021,Czechia,URBAN,100.0
2021,Czechia,ALLAREA,100.0
2008,Latvia,RURAL,99.9
2008,Latvia,URBAN,99.6
2009,Latvia,ALLAREA,100.0
2009,Latvia,URBAN,100.0
2009,Latvia,RURAL,100.0
2010,Latvia,RURAL,99.8
2010,Latvia,URBAN,99.7
2010,Latvia,ALLAREA,99.8
2011,Latvia,URBAN,99.8
2011,Latvia,RURAL,99.8
2011,Latvia,ALLAREA,99.8
2012,Latvia,RURAL,100.0
2012,Latvia,ALLAREA,100.0
2008,Armenia,URBAN,99.4
2008,Armenia,RURAL,98.9
2009,Armenia,RURAL,99.0
2009,Armenia,URBAN,99.4
2009,Armenia,ALLAREA,99.3
2010,Armenia,RURAL,100.0
2010,Armenia,ALLAREA,99.8
2010,Armenia,URBAN,99.7
2011,Armenia,RURAL,99.3
2011,Armenia,URBAN,99.6
2011,Armenia,ALLAREA,99.5
2012,Armenia,ALLAREA,99.5
2012,Armenia,URBAN,99.7
2012,Latvia,URBAN,100.0
2013,Latvia,ALLAREA,100.0
2013,Latvia,RURAL,100.0
2013,Latvia,URBAN,100.0
2014,Latvia,URBAN,100.0
2014,Latvia,RURAL,100.0
2014,Latvia,ALLAREA,100.0
2015,Latvia,URBAN,100.0
2015,Latvia,ALLAREA,100.0
2015,Latvia,RURAL,100.0
2016,Latvia,URBAN,100.0
2016,Latvia,RURAL,100.0
2016,Latvia,ALLAREA,100.0
2017,Latvia,ALLAREA,100.0
2017,Latvia,RURAL,100.0
2017,Latvia,URBAN,100.0
2018,Latvia,URBAN,100.0
2018,Latvia,RURAL,100.0
2018,Latvia,ALLAREA,100.0
2019,Latvia,ALLAREA,100.0
2019,Latvia,URBAN,100.0
2019,Latvia,RURAL,100.0
2020,Latvia,RURAL,100.0
2020,Latvia,URBAN,100.0
2020,Latvia,ALLAREA,100.0
2021,Latvia,ALLAREA,100.0
2021,Albania,ALLAREA,100.0
2000,Azerbaijan,RURAL,98.1
2000,Azerbaijan,ALLAREA,98.9
2000,Azerbaijan,URBAN,99.7
2001,Azerbaijan,ALLAREA,98.6
2001,Azerbaijan,RURAL,97.6
2001,Azerbaijan,URBAN,99.5
2002,Azerbaijan,RURAL,100.0
2002,Azerbaijan,ALLAREA,100.0
2002,Azerbaijan,URBAN,99.5
2003,Azerbaijan,URBAN,99.5
2003,Azerbaijan,ALLAREA,98.8
2003,Azerbaijan,RURAL,98.1
2021,Czechia,RURAL,100.0
2000,Denmark,ALLAREA,100.0
2000,Denmark,URBAN,100.0
2000,Denmark,RURAL,100.0
2001,Denmark,RURAL,100.0
2001,Denmark,URBAN,100.0
2001,Denmark,ALLAREA,100.0
2002,Denmark,ALLAREA,100.0
2002,Denmark,URBAN,100.0
2002,Denmark,RURAL,100.0
2003,Denmark,RURAL,100.0
2003,Denmark,URBAN,100.0
2003,Denmark,ALLAREA,100.0
2012,Armenia,RURAL,99.2
2013,Armenia,RURAL,99.4
2013,Armenia,URBAN,99.4
2013,Armenia,ALLAREA,99.4
2014,Armenia,ALLAREA,99.7
2014,Armenia,URBAN,99.7
2014,Armenia,RURAL,99.8
2015,Armenia,RURAL,100.0
2015,Armenia,URBAN,100.0
2015,Armenia,ALLAREA,100.0
2016,Armenia,ALLAREA,99.8
2016,Armenia,URBAN,99.8
2016,Armenia,RURAL,99.8
2021,Latvia,URBAN,100.0
2021,Latvia,RURAL,100.0
2000,Liechtenstein,ALLAREA,100.0
2000,Liechtenstein,RURAL,100.0
2000,Liechtenstein,URBAN,100.0
2001,Liechtenstein,URBAN,100.0
2001,Liechtenstein,RURAL,100.0
2001,Liechtenstein,ALLAREA,100.0
2002,Liechtenstein,ALLAREA,100.0
2002,Liechtenstein,RURAL,100.0
2002,Liechtenstein,URBAN,100.0
2003,Liechtenstein,URBAN,100.0
2003,Liechtenstein,ALLAREA,100.0
2004,Denmark,ALLAREA,100.0
2004,Denmark,URBAN,100.0
2004,Denmark,RURAL,100.0
2005,Denmark,URBAN,100.0
2005,Denmark,RURAL,100.0
2005,Denmark,ALLAREA,100.0
2006,Denmark,RURAL,100.0
2006,Denmark,ALLAREA,100.0
2006,Denmark,URBAN,100.0
2007,Denmark,RURAL,100.0
2007,Denmark,URBAN,100.0
2007,Denmark,ALLAREA,100.0
2008,Denmark,ALLAREA,100.0
2004,Azerbaijan,RURAL,98.4
2004,Azerbaijan,ALLAREA,99.0
2004,Azerbaijan,URBAN,99.5
2005,Azerbaijan,URBAN,99.6
2005,Azerbaijan,ALLAREA,99.1
2005,Azerbaijan,RURAL,98.6
2006,Azerbaijan,RURAL,99.2
2006,Azerbaijan,URBAN,99.8
2006,Azerbaijan,ALLAREA,99.5
2007,Azerbaijan,ALLAREA,99.5
2007,Azerbaijan,URBAN,99.7
2007,Azerbaijan,RURAL,99.2
2008,Azerbaijan,RURAL,99.5
2008,Denmark,URBAN,100.0
2008,Denmark,RURAL,100.0
2009,Denmark,RURAL,100.0
2009,Denmark,URBAN,100.0
2009,Denmark,ALLAREA,100.0
2010,Denmark,ALLAREA,100.0
2010,Denmark,URBAN,100.0
2010,Denmark,RURAL,100.0
2011,Denmark,RURAL,100.0
2011,Denmark,URBAN,100.0
2011,Denmark,ALLAREA,100.0
2012,Denmark,ALLAREA,100.0
2012,Denmark,URBAN,100.0
2008,Azerbaijan,URBAN,99.8
2008,Azerbaijan,ALLAREA,99.7
2009,Azerbaijan,ALLAREA,99.9
2009,Azerbaijan,URBAN,99.9
2009,Azerbaijan,RURAL,99.9
2010,Azerbaijan,RURAL,99.9
2010,Azerbaijan,URBAN,100.0
2010,Azerbaijan,ALLAREA,99.9
2011,Azerbaijan,ALLAREA,99.9
2011,Azerbaijan,RURAL,99.9
2011,Azerbaijan,URBAN,99.9
2012,Azerbaijan,RURAL,100.0
2012,Azerbaijan,URBAN,100.0
2003,Liechtenstein,RURAL,100.0
2004,Liechtenstein,RURAL,100.0
2004,Liechtenstein,ALLAREA,100.0
2004,Liechtenstein,URBAN,100.0
2005,Liechtenstein,RURAL,100.0
2005,Liechtenstein,URBAN,100.0
2005,Liechtenstein,ALLAREA,100.0
2006,Liechtenstein,URBAN,100.0
2006,Liechtenstein,ALLAREA,100.0
2006,Liechtenstein,RURAL,100.0
2007,Liechtenstein,RURAL,100.0
2007,Liechtenstein,ALLAREA,100.0
2007,Liechtenstein,URBAN,100.0
2017,Armenia,ALLAREA,99.7
2017,Armenia,RURAL,99.5
2017,Armenia,URBAN,99.8
2018,Armenia,ALLAREA,99.9
2018,Armenia,URBAN,99.9
2018,Armenia,RURAL,99.9
2019,Armenia,RURAL,100.0
2019,Armenia,URBAN,100.0
2019,Armenia,ALLAREA,100.0
2020,Armenia,ALLAREA,100.0
2020,Armenia,URBAN,100.0
2020,Armenia,RURAL,100.0
2021,Armenia,RURAL,100.0
2008,Liechtenstein,URBAN,100.0
2008,Liechtenstein,ALLAREA,100.0
2008,Liechtenstein,RURAL,100.0
2009,Liechtenstein,ALLAREA,100.0
2009,Liechtenstein,URBAN,100.0
2009,Liechtenstein,RURAL,100.0
2010,Liechtenstein,RURAL,100.0
2010,Liechtenstein,URBAN,100.0
2010,Liechtenstein,ALLAREA,100.0
2011,Liechtenstein,ALLAREA,100.0
2011,Liechtenstein,URBAN,100.0
2011,Liechtenstein,RURAL,100.0
2012,Liechtenstein,RURAL,100.0
2012,Azerbaijan,ALLAREA,100.0
2013,Azerbaijan,ALLAREA,100.0
2013,Azerbaijan,URBAN,100.0
2013,Azerbaijan,RURAL,100.0
2014,Azerbaijan,ALLAREA,100.0
2014,Azerbaijan,RURAL,100.0
2014,Azerbaijan,URBAN,100.0
2015,Azerbaijan,ALLAREA,100.0
2015,Azerbaijan,URBAN,100.0
2015,Azerbaijan,RURAL,100.0
2016,Azerbaijan,RURAL,100.0
2016,Azerbaijan,URBAN,100.0
2016,Azerbaijan,ALLAREA,100.0
2012,Denmark,RURAL,100.0
2013,Denmark,URBAN,100.0
2013,Denmark,ALLAREA,100.0
2013,Denmark,RURAL,100.0
2014,Denmark,ALLAREA,100.0
2014,Denmark,URBAN,100.0
2014,Denmark,RURAL,100.0
2015,Denmark,RURAL,100.0
2015,Denmark,URBAN,100.0
2015,Denmark,ALLAREA,100.0
2016,Denmark,ALLAREA,100.0
2016,Denmark,RURAL,100.0
2016,Denmark,URBAN,100.0
2017,Azerbaijan,ALLAREA,100.0
2017,Azerbaijan,URBAN,100.0
2017,Azerbaijan,RURAL,100.0
2018,Azerbaijan,URBAN,100.0
2018,Azerbaijan,RURAL,100.0
2018,Azerbaijan,ALLAREA,100.0
2019,Azerbaijan,ALLAREA,100.0
2019,Azerbaijan,URBAN,100.0
2019,Azerbaijan,RURAL,100.0
2020,Azerbaijan,RURAL,100.0
2020,Azerbaijan,URBAN,100.0
2020,Azerbaijan,ALLAREA,100.0
2021,Azerbaijan,URBAN,100.0
2012,Liechtenstein,URBAN,100.0
2012,Liechtenstein,ALLAREA,100.0
2013,Liechtenstein,ALLAREA,100.0
2013,Liechtenstein,URBAN,100.0
2013,Liechtenstein,RURAL,100.0
2014,Liechtenstein,RURAL,100.0
2014,Liechtenstein,URBAN,100.0
2014,Liechtenstein,ALLAREA,100.0
2015,Liechtenstein,ALLAREA,100.0
2015,Liechtenstein,URBAN,100.0
2015,Liechtenstein,RURAL,100.0
2016,Liechtenstein,URBAN,100.0
2016,Liechtenstein,RURAL,100.0
2017,Denmark,URBAN,100.0
2017,Denmark,RURAL,100.0
2017,Denmark,ALLAREA,100.0
2018,Denmark,ALLAREA,100.0
2018,Denmark,RURAL,100.0
2018,Denmark,URBAN,100.0
2019,Denmark,ALLAREA,100.0
2019,Denmark,URBAN,100.0
2019,Denmark,RURAL,100.0
2020,Denmark,RURAL,100.0
2020,Denmark,URBAN,100.0
2020,Denmark,ALLAREA,100.0
2021,Denmark,ALLAREA,100.0
2016,Liechtenstein,ALLAREA,100.0
2017,Liechtenstein,ALLAREA,100.0
2017,Liechtenstein,RURAL,100.0
2017,Liechtenstein,URBAN,100.0
2018,Liechtenstein,RURAL,100.0
2018,Liechtenstein,URBAN,100.0
2018,Liechtenstein,ALLAREA,100.0
2019,Liechtenstein,RURAL,100.0
2019,Liechtenstein,ALLAREA,100.0
2019,Liechtenstein,URBAN,100.0
2020,Liechtenstein,URBAN,100.0
2020,Liechtenstein,ALLAREA,100.0
2020,Liechtenstein,RURAL,100.0
2021,Azerbaijan,RURAL,100.0
2021,Azerbaijan,ALLAREA,100.0
2000,Poland,ALLAREA,100.0
2000,Poland,RURAL,100.0
2000,Poland,URBAN,99.8
2001,Poland,URBAN,99.7
2001,Poland,RURAL,100.0
2001,Poland,ALLAREA,100.0
2002,Poland,ALLAREA,100.0
2002,Poland,URBAN,99.7
2002,Poland,RURAL,100.0
2003,Poland,RURAL,100.0
2003,Poland,URBAN,99.6
2021,Liechtenstein,RURAL,100.0
2021,Liechtenstein,ALLAREA,100.0
2021,Liechtenstein,URBAN,100.0
2000,Lithuania,URBAN,99.1
2000,Lithuania,RURAL,100.0
2000,Lithuania,ALLAREA,99.5
2001,Lithuania,ALLAREA,99.5
2001,Lithuania,RURAL,100.0
2001,Lithuania,URBAN,99.1
2002,Lithuania,URBAN,99.1
2002,Lithuania,RURAL,100.0
2002,Lithuania,ALLAREA,99.4
2003,Lithuania,RURAL,100.0
2003,Poland,ALLAREA,99.9
2004,Poland,URBAN,99.6
2004,Poland,RURAL,100.0
2004,Poland,ALLAREA,99.9
2005,Poland,URBAN,99.6
2005,Poland,ALLAREA,99.8
2005,Poland,RURAL,100.0
2006,Poland,RURAL,100.0
2006,Poland,ALLAREA,99.8
2006,Poland,URBAN,99.6
2007,Poland,URBAN,99.6
2007,Poland,RURAL,100.0
2007,Poland,ALLAREA,99.8
2021,Denmark,URBAN,100.0
2021,Denmark,RURAL,100.0
2000,Estonia,ALLAREA,100.0
2000,Estonia,RURAL,100.0
2000,Estonia,URBAN,100.0
2001,Estonia,URBAN,100.0
2001,Estonia,ALLAREA,100.0
2001,Estonia,RURAL,100.0
2002,Estonia,ALLAREA,100.0
2002,Estonia,URBAN,100.0
2002,Estonia,RURAL,100.0
2003,Estonia,RURAL,100.0
2003,Estonia,URBAN,99.9
2003,Lithuania,URBAN,99.1
2003,Lithuania,ALLAREA,99.4
2004,Lithuania,URBAN,99.1
2004,Lithuania,RURAL,100.0
2004,Lithuania,ALLAREA,99.4
2005,Lithuania,ALLAREA,99.4
2005,Lithuania,RURAL,99.9
2005,Lithuania,URBAN,99.1
2006,Lithuania,URBAN,99.1
2006,Lithuania,RURAL,99.8
2006,Lithuania,ALLAREA,99.4
2007,Lithuania,ALLAREA,99.4
2007,Lithuania,RURAL,99.8
2008,Poland,ALLAREA,99.8
2008,Poland,RURAL,99.9
2008,Poland,URBAN,99.7
2009,Poland,URBAN,100.0
2009,Poland,ALLAREA,100.0
2009,Poland,RURAL,100.0
2010,Poland,RURAL,100.0
2010,Poland,URBAN,100.0
2010,Poland,ALLAREA,100.0
2011,Poland,URBAN,100.0
2011,Poland,RURAL,100.0
2011,Poland,ALLAREA,100.0
2012,Poland,URBAN,100.0
2003,Estonia,ALLAREA,100.0
2004,Estonia,ALLAREA,100.0
2004,Estonia,URBAN,99.9
2004,Estonia,RURAL,100.0
2005,Estonia,RURAL,100.0
2005,Estonia,URBAN,99.8
2005,Estonia,ALLAREA,100.0
2006,Estonia,ALLAREA,100.0
2006,Estonia,URBAN,100.0
2006,Estonia,RURAL,100.0
2007,Estonia,RURAL,100.0
2007,Estonia,URBAN,100.0
2007,Estonia,ALLAREA,100.0
2007,Lithuania,URBAN,99.2
2008,Lithuania,URBAN,99.3
2008,Lithuania,RURAL,99.7
2008,Lithuania,ALLAREA,99.4
2009,Lithuania,ALLAREA,99.5
2009,Lithuania,RURAL,99.7
2009,Lithuania,URBAN,99.4
2010,Lithuania,URBAN,99.5
2010,Lithuania,ALLAREA,99.7
2010,Lithuania,RURAL,100.0
2011,Lithuania,RURAL,99.7
2011,Lithuania,URBAN,99.7
2011,Lithuania,ALLAREA,99.7
2012,Poland,RURAL,100.0
2012,Poland,ALLAREA,100.0
2013,Poland,ALLAREA,100.0
2013,Poland,URBAN,100.0
2013,Poland,RURAL,100.0
2014,Poland,RURAL,100.0
2014,Poland,URBAN,100.0
2014,Poland,ALLAREA,100.0
2015,Poland,ALLAREA,100.0
2015,Poland,URBAN,100.0
2015,Poland,RURAL,100.0
2016,Poland,RURAL,100.0
2016,Poland,URBAN,100.0
2008,Estonia,ALLAREA,100.0
2008,Estonia,URBAN,100.0
2008,Estonia,RURAL,100.0
2009,Estonia,RURAL,100.0
2009,Estonia,URBAN,100.0
2009,Estonia,ALLAREA,100.0
2010,Estonia,ALLAREA,100.0
2010,Estonia,URBAN,100.0
2010,Estonia,RURAL,100.0
2011,Estonia,RURAL,100.0
2011,Estonia,URBAN,100.0
2011,Estonia,ALLAREA,100.0
2012,Estonia,ALLAREA,100.0
2012,Lithuania,ALLAREA,100.0
2012,Lithuania,URBAN,100.0
2012,Lithuania,RURAL,100.0
2013,Lithuania,RURAL,100.0
2013,Lithuania,ALLAREA,100.0
2013,Lithuania,URBAN,100.0
2014,Lithuania,RURAL,100.0
2014,Lithuania,ALLAREA,100.0
2014,Lithuania,URBAN,100.0
2015,Lithuania,URBAN,100.0
2015,Lithuania,ALLAREA,100.0
2015,Lithuania,RURAL,100.0
2016,Lithuania,URBAN,100.0
2016,Poland,ALLAREA,100.0
2017,Poland,ALLAREA,100.0
2017,Poland,URBAN,100.0
2017,Poland,RURAL,100.0
2018,Poland,RURAL,100.0
2018,Poland,ALLAREA,100.0
2018,Poland,URBAN,100.0
2019,Poland,ALLAREA,100.0
2019,Poland,URBAN,100.0
2019,Poland,RURAL,100.0
2020,Poland,RURAL,100.0
2020,Poland,URBAN,100.0
2020,Poland,ALLAREA,100.0
2012,Estonia,URBAN,100.0
2012,Estonia,RURAL,100.0
2013,Estonia,RURAL,100.0
2013,Estonia,URBAN,100.0
2013,Estonia,ALLAREA,100.0
2014,Estonia,RURAL,100.0
2014,Estonia,ALLAREA,100.0
2014,Estonia,URBAN,100.0
2015,Estonia,RURAL,100.0
2015,Estonia,URBAN,100.0
2015,Estonia,ALLAREA,100.0
2016,Estonia,URBAN,100.0
2016,Estonia,RURAL,100.0
2016,Lithuania,RURAL,100.0
2016,Lithuania,ALLAREA,100.0
2017,Lithuania,URBAN,100.0
2017,Lithuania,ALLAREA,100.0
