Year,SeriesCode,GeoAreaName,Age,Value
2005,SE_GPI_PART,Netherlands (Kingdom of the),15-64,1.0
2006,SE_GPI_PART,Netherlands (Kingdom of the),55-64,1.2
2006,SE_GPI_PART,Netherlands (Kingdom of the),15-64,1.0
2006,SE_GPI_PART,Netherlands (Kingdom of the),25-54,1.0
2006,SE_GPI_PART,Netherlands (Kingdom of the),15-24,1.0
2007,SE_GPI_PART,Netherlands (Kingdom of the),55-64,1.2
2007,SE_GPI_PART,Netherlands (Kingdom of the),15-24,1.0
2017,SE_GPI_PART,Austria,15-24,1.1
2017,SE_GPI_PART,Austria,15-64,1.1
2017,SE_GPI_PART,Austria,25-54,1.2
2018,SE_GPI_PART,Austria,25-54,1.2
2018,SE_GPI_PART,Austria,15-64,1.1
2018,SE_GPI_PART,Austria,15-24,1.1
2018,SE_GPI_PART,Austria,55-64,1.3
2019,SE_GPI_PART,Austria,55-64,1.3
2019,SE_GPI_PART,Austria,15-24,1.1
2019,SE_GPI_PART,Austria,15-64,1.1
2019,SE_GPI_PART,Austria,25-54,1.2
2020,SE_GPI_PART,Austria,25-54,1.2
2020,SE_GPI_PART,Austria,15-64,1.1
2020,SE_GPI_PART,Austria,15-24,1.1
2020,SE_GPI_PART,Austria,55-64,1.2
2018,SE_GPI_PART,Armenia,25-54,0.9
2018,SE_GPI_PART,Armenia,15-64,1.1
2018,SE_GPI_PART,Armenia,15-24,1.1
2019,SE_GPI_PART,Armenia,15-24,1.1
2019,SE_GPI_PART,Armenia,15-64,0.9
2019,SE_GPI_PART,Armenia,25-54,0.7
2020,SE_GPI_PART,Armenia,25-54,1.0
2020,SE_GPI_PART,Armenia,15-64,0.9
2020,SE_GPI_PART,Armenia,15-24,1.1
2004,SE_GPI_PART,Belgium,25-54,1.0
2004,SE_GPI_PART,Belgium,55-64,0.8
2004,SE_GPI_PART,Belgium,15-64,1.0
2004,SE_GPI_PART,Belgium,15-24,1.1
2007,SE_GPI_PART,Albania,15-64,1.0
2007,SE_GPI_PART,Albania,25-54,1.0
2007,SE_GPI_PART,Albania,55-64,0.6
2007,SE_GPI_PART,Albania,15-24,1.1
2008,SE_GPI_PART,Albania,55-64,1.1
2008,SE_GPI_PART,Albania,25-54,1.2
2008,SE_GPI_PART,Albania,15-64,1.0
2015,SE_GPI_PART,Georgia,15-64,0.9
2015,SE_GPI_PART,Georgia,15-24,1.0
2015,SE_GPI_PART,Georgia,25-54,0.6
2016,SE_GPI_PART,Georgia,25-54,1.0
2016,SE_GPI_PART,Georgia,15-24,1.0
2016,SE_GPI_PART,Georgia,15-64,0.9
2017,SE_GPI_PART,Georgia,15-64,1.0
2008,SE_GPI_PART,Albania,15-24,1.0
2009,SE_GPI_PART,Albania,15-24,0.9
2009,SE_GPI_PART,Albania,15-64,0.9
2009,SE_GPI_PART,Albania,25-54,0.8
2009,SE_GPI_PART,Albania,55-64,0.7
2010,SE_GPI_PART,Albania,55-64,0.1
2010,SE_GPI_PART,Albania,25-54,1.0
2017,SE_GPI_PART,Georgia,15-24,1.0
2017,SE_GPI_PART,Georgia,25-54,1.4
2017,SE_GPI_PART,Georgia,55-64,1.5
2018,SE_GPI_PART,Georgia,55-64,1.7
2018,SE_GPI_PART,Georgia,25-54,1.3
2018,SE_GPI_PART,Georgia,15-24,1.1
2018,SE_GPI_PART,Georgia,15-64,1.0
2010,SE_GPI_PART,Albania,15-64,1.0
2010,SE_GPI_PART,Albania,15-24,1.0
2011,SE_GPI_PART,Albania,15-24,1.1
2011,SE_GPI_PART,Albania,15-64,1.0
2011,SE_GPI_PART,Albania,25-54,1.0
2012,SE_GPI_PART,Albania,25-54,0.5
2012,SE_GPI_PART,Albania,15-64,0.9
2012,SE_GPI_PART,Albania,15-24,1.1
2013,SE_GPI_PART,Albania,15-24,1.1
2013,SE_GPI_PART,Albania,15-64,1.1
2013,SE_GPI_PART,Albania,25-54,0.8
2014,SE_GPI_PART,Albania,25-54,1.0
2014,SE_GPI_PART,Albania,15-64,1.0
2014,SE_GPI_PART,Albania,15-24,1.1
2019,SE_GPI_PART,Georgia,15-64,1.0
2019,SE_GPI_PART,Georgia,15-24,1.1
2019,SE_GPI_PART,Georgia,25-54,1.0
2019,SE_GPI_PART,Georgia,55-64,0.9
2020,SE_GPI_PART,Georgia,25-54,1.2
2020,SE_GPI_PART,Georgia,15-24,1.1
2020,SE_GPI_PART,Georgia,15-64,1.0
2015,SE_GPI_PART,Albania,15-24,1.1
2015,SE_GPI_PART,Albania,15-64,1.0
2015,SE_GPI_PART,Albania,25-54,0.9
2016,SE_GPI_PART,Albania,25-54,0.5
2016,SE_GPI_PART,Albania,15-64,1.0
2016,SE_GPI_PART,Albania,15-24,1.1
2017,SE_GPI_PART,Albania,15-24,1.1
2017,SE_GPI_PART,Albania,15-64,0.9
2017,SE_GPI_PART,Albania,25-54,0.7
2018,SE_GPI_PART,Albania,25-54,0.7
2018,SE_GPI_PART,Albania,15-64,1.1
2018,SE_GPI_PART,Albania,15-24,1.2
2019,SE_GPI_PART,Albania,15-24,1.2
2019,SE_GPI_PART,Albania,15-64,1.1
2004,SE_GPI_PART,Germany,55-64,0.9
2004,SE_GPI_PART,Germany,25-54,0.9
2004,SE_GPI_PART,Germany,15-24,1.0
2004,SE_GPI_PART,Germany,15-64,1.0
2005,SE_GPI_PART,Germany,15-64,1.0
2005,SE_GPI_PART,Germany,15-24,1.0
2005,SE_GPI_PART,Germany,25-54,0.9
2005,SE_GPI_PART,Germany,55-64,0.9
2006,SE_GPI_PART,Germany,55-64,1.0
2006,SE_GPI_PART,Germany,25-54,1.0
2006,SE_GPI_PART,Germany,15-24,1.0
2006,SE_GPI_PART,Germany,15-64,1.0
2007,SE_GPI_PART,Germany,15-64,1.0
2007,SE_GPI_PART,Germany,15-24,1.0
2007,SE_GPI_PART,Germany,25-54,1.0
2007,SE_GPI_PART,Germany,55-64,1.0
2008,SE_GPI_PART,Germany,55-64,1.0
2008,SE_GPI_PART,Germany,25-54,0.9
2008,SE_GPI_PART,Germany,15-24,1.0
2008,SE_GPI_PART,Germany,15-64,1.0
2009,SE_GPI_PART,Germany,15-64,1.0
2019,SE_GPI_PART,Albania,25-54,0.7
2004,SE_GPI_PART,Austria,25-54,1.1
2004,SE_GPI_PART,Austria,15-64,1.1
2004,SE_GPI_PART,Austria,15-24,1.0
2004,SE_GPI_PART,Austria,55-64,1.4
2005,SE_GPI_PART,Austria,55-64,1.2
2005,SE_GPI_PART,Austria,15-24,1.0
2009,SE_GPI_PART,Germany,15-24,1.0
2009,SE_GPI_PART,Germany,25-54,1.0
2009,SE_GPI_PART,Germany,55-64,1.1
2010,SE_GPI_PART,Germany,55-64,1.2
2010,SE_GPI_PART,Germany,25-54,1.1
2010,SE_GPI_PART,Germany,15-24,1.0
2010,SE_GPI_PART,Germany,15-64,1.0
2011,SE_GPI_PART,Germany,15-64,1.0
2011,SE_GPI_PART,Germany,15-24,1.0
2011,SE_GPI_PART,Germany,25-54,1.0
2011,SE_GPI_PART,Germany,55-64,0.8
2012,SE_GPI_PART,Germany,55-64,1.0
2012,SE_GPI_PART,Germany,25-54,1.0
2012,SE_GPI_PART,Germany,15-24,1.0
2005,SE_GPI_PART,Belgium,15-64,1.0
2005,SE_GPI_PART,Belgium,55-64,1.0
2005,SE_GPI_PART,Belgium,25-54,1.1
2005,SE_GPI_PART,Belgium,15-24,1.1
2006,SE_GPI_PART,Belgium,15-24,1.1
2006,SE_GPI_PART,Belgium,25-54,1.0
2006,SE_GPI_PART,Belgium,55-64,1.0
2012,SE_GPI_PART,Germany,15-64,1.0
2013,SE_GPI_PART,Germany,15-64,1.0
2013,SE_GPI_PART,Germany,15-24,1.0
2013,SE_GPI_PART,Germany,25-54,1.0
2013,SE_GPI_PART,Germany,55-64,1.1
2014,SE_GPI_PART,Germany,55-64,1.0
2014,SE_GPI_PART,Germany,25-54,1.0
2014,SE_GPI_PART,Germany,15-24,1.0
2014,SE_GPI_PART,Germany,15-64,1.0
2015,SE_GPI_PART,Germany,15-64,1.0
2015,SE_GPI_PART,Germany,25-54,1.0
2015,SE_GPI_PART,Germany,15-24,1.0
2015,SE_GPI_PART,Germany,55-64,1.1
2016,SE_GPI_PART,Germany,55-64,1.0
2016,SE_GPI_PART,Germany,25-54,0.9
2016,SE_GPI_PART,Germany,15-24,1.0
2016,SE_GPI_PART,Germany,15-64,1.0
2017,SE_GPI_PART,Germany,25-54,0.9
2017,SE_GPI_PART,Germany,15-64,1.0
2017,SE_GPI_PART,Germany,15-24,1.0
2017,SE_GPI_PART,Germany,55-64,1.1
2005,SE_GPI_PART,Austria,15-64,1.1
2005,SE_GPI_PART,Austria,25-54,1.1
2006,SE_GPI_PART,Austria,25-54,1.1
2006,SE_GPI_PART,Austria,15-64,1.1
2006,SE_GPI_PART,Austria,15-24,1.0
2006,SE_GPI_PART,Austria,55-64,1.2
2007,SE_GPI_PART,Austria,55-64,1.3
2018,SE_GPI_PART,Germany,55-64,1.1
2018,SE_GPI_PART,Germany,15-24,1.0
2018,SE_GPI_PART,Germany,25-54,0.9
2018,SE_GPI_PART,Germany,15-64,1.0
2019,SE_GPI_PART,Germany,25-54,1.0
2019,SE_GPI_PART,Germany,15-64,1.0
2019,SE_GPI_PART,Germany,15-24,1.0
2019,SE_GPI_PART,Germany,55-64,1.2
2020,SE_GPI_PART,Germany,55-64,1.0
2020,SE_GPI_PART,Germany,15-64,1.0
2020,SE_GPI_PART,Germany,25-54,1.0
2020,SE_GPI_PART,Germany,15-24,1.0
2000,SE_GPI_PART,Greece,15-24,1.0
2000,SE_GPI_PART,Greece,15-64,1.0
2007,SE_GPI_PART,Austria,15-24,1.0
2007,SE_GPI_PART,Austria,15-64,1.1
2007,SE_GPI_PART,Austria,25-54,1.2
2008,SE_GPI_PART,Austria,25-54,1.1
2008,SE_GPI_PART,Austria,15-64,1.1
2000,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.3
2000,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,0.9
2000,SE_GPI_PART,Greece,25-54,1.1
2001,SE_GPI_PART,Greece,25-54,0.9
2001,SE_GPI_PART,Greece,15-64,1.0
2001,SE_GPI_PART,Greece,15-24,1.0
2002,SE_GPI_PART,Greece,25-54,1.0
2002,SE_GPI_PART,Greece,15-24,1.0
2002,SE_GPI_PART,Greece,15-64,1.0
2003,SE_GPI_PART,Greece,25-54,0.9
2000,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2000,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.1
2001,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.1
2001,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.4
2001,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.1
2001,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2002,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.3
2003,SE_GPI_PART,Greece,15-64,1.0
2003,SE_GPI_PART,Greece,15-24,1.1
2004,SE_GPI_PART,Greece,15-24,1.0
2004,SE_GPI_PART,Greece,15-64,1.0
2004,SE_GPI_PART,Greece,25-54,1.1
2004,SE_GPI_PART,Greece,55-64,1.0
2005,SE_GPI_PART,Greece,55-64,0.5
2005,SE_GPI_PART,Greece,25-54,0.9
2005,SE_GPI_PART,Greece,15-64,1.0
2005,SE_GPI_PART,Greece,15-24,1.1
2006,SE_GPI_PART,Greece,15-24,1.1
2006,SE_GPI_PART,Greece,15-64,1.0
2006,SE_GPI_PART,Greece,25-54,0.9
2006,SE_GPI_PART,Greece,55-64,1.6
2002,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2002,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2002,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.1
2003,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2003,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.4
2003,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.1
2003,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2007,SE_GPI_PART,Greece,55-64,1.2
2007,SE_GPI_PART,Greece,25-54,1.0
2007,SE_GPI_PART,Greece,15-64,1.0
2007,SE_GPI_PART,Greece,15-24,1.1
2008,SE_GPI_PART,Greece,15-24,1.1
2008,SE_GPI_PART,Greece,15-64,1.1
2008,SE_GPI_PART,Greece,25-54,1.1
2004,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.3
2004,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2004,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2004,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2005,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2005,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.3
2005,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2008,SE_GPI_PART,Greece,55-64,0.9
2009,SE_GPI_PART,Greece,55-64,0.8
2009,SE_GPI_PART,Greece,25-54,1.0
2009,SE_GPI_PART,Greece,15-64,1.0
2009,SE_GPI_PART,Greece,15-24,1.0
2010,SE_GPI_PART,Greece,15-24,1.1
2010,SE_GPI_PART,Greece,15-64,1.0
2005,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2006,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.3
2006,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2006,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2006,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2007,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.4
2007,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.3
2007,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2007,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2008,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.3
2008,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.4
2008,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2008,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2009,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.3
2010,SE_GPI_PART,Greece,25-54,1.0
2010,SE_GPI_PART,Greece,55-64,0.8
2011,SE_GPI_PART,Greece,55-64,0.9
2011,SE_GPI_PART,Greece,25-54,0.9
2011,SE_GPI_PART,Greece,15-64,1.0
2011,SE_GPI_PART,Greece,15-24,1.1
2012,SE_GPI_PART,Greece,15-24,1.1
2009,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2009,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2009,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2010,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2010,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.3
2010,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2010,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2012,SE_GPI_PART,Greece,15-64,1.0
2012,SE_GPI_PART,Greece,25-54,0.9
2012,SE_GPI_PART,Greece,55-64,0.8
2013,SE_GPI_PART,Greece,55-64,0.6
2013,SE_GPI_PART,Greece,25-54,1.0
2013,SE_GPI_PART,Greece,15-64,1.1
2013,SE_GPI_PART,Greece,15-24,1.1
2011,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2011,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2011,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2011,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.1
2012,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2012,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2012,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.1
2012,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2013,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2013,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2013,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2013,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.1
2014,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2014,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2014,SE_GPI_PART,Greece,15-24,1.1
2014,SE_GPI_PART,Greece,15-64,1.0
2014,SE_GPI_PART,Greece,25-54,1.0
2014,SE_GPI_PART,Greece,55-64,0.5
2015,SE_GPI_PART,Greece,55-64,0.6
2015,SE_GPI_PART,Greece,25-54,1.0
2015,SE_GPI_PART,Greece,15-64,1.0
2014,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.1
2014,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2015,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2015,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2015,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2015,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.1
2016,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.2
2015,SE_GPI_PART,Greece,15-24,1.1
2016,SE_GPI_PART,Greece,15-64,1.0
2016,SE_GPI_PART,Greece,25-54,1.0
2016,SE_GPI_PART,Greece,15-24,1.1
2016,SE_GPI_PART,Greece,55-64,1.1
2017,SE_GPI_PART,Greece,55-64,1.0
2017,SE_GPI_PART,Greece,15-24,1.1
2016,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2016,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.1
2016,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2017,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2017,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.1
2017,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2017,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.1
2017,SE_GPI_PART,Greece,15-64,1.0
2017,SE_GPI_PART,Greece,25-54,1.0
2018,SE_GPI_PART,Greece,25-54,1.0
2018,SE_GPI_PART,Greece,15-64,1.0
2018,SE_GPI_PART,Greece,15-24,1.1
2018,SE_GPI_PART,Greece,55-64,1.2
2019,SE_GPI_PART,Greece,55-64,1.3
2019,SE_GPI_PART,Greece,15-24,1.0
2019,SE_GPI_PART,Greece,15-64,1.1
2019,SE_GPI_PART,Greece,25-54,1.2
2020,SE_GPI_PART,Greece,25-54,0.9
2020,SE_GPI_PART,Greece,15-64,1.0
2020,SE_GPI_PART,Greece,15-24,1.0
2020,SE_GPI_PART,Greece,55-64,1.2
2018,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.3
2018,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2018,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.1
2018,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2019,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.2
2019,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.1
2019,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.0
2006,SE_GPI_PART,Belgium,15-64,1.0
2007,SE_GPI_PART,Belgium,15-64,1.0
2007,SE_GPI_PART,Belgium,55-64,1.1
2007,SE_GPI_PART,Belgium,25-54,1.0
2007,SE_GPI_PART,Belgium,15-24,1.1
2008,SE_GPI_PART,Belgium,15-24,1.0
2008,SE_GPI_PART,Belgium,25-54,1.1
2019,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.1
2020,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.3
2020,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.3
2020,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-64,1.2
2020,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,15-24,1.1
2021,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,25-54,1.3
2021,SE_GPI_PART,United Kingdom of Great Britain and Northern Ireland,55-64,1.3
2004,SE_GPI_PART,Hungary,25-54,1.3
2004,SE_GPI_PART,Hungary,15-24,1.0
2004,SE_GPI_PART,Hungary,15-64,1.1
2004,SE_GPI_PART,Hungary,55-64,1.0
2005,SE_GPI_PART,Hungary,15-64,1.1
2005,SE_GPI_PART,Hungary,15-24,1.0
2005,SE_GPI_PART,Hungary,25-54,1.3
2005,SE_GPI_PART,Hungary,55-64,1.0
2006,SE_GPI_PART,Hungary,25-54,1.3
2006,SE_GPI_PART,Hungary,15-24,1.1
2006,SE_GPI_PART,Hungary,15-64,1.1
2006,SE_GPI_PART,Hungary,55-64,1.4
2007,SE_GPI_PART,Hungary,55-64,1.2
2007,SE_GPI_PART,Hungary,15-64,1.1
2007,SE_GPI_PART,Hungary,15-24,1.1
2007,SE_GPI_PART,Hungary,25-54,1.3
2008,SE_GPI_PART,Hungary,25-54,1.3
2008,SE_GPI_PART,Hungary,15-24,1.1
2008,SE_GPI_PART,Hungary,15-64,1.0
2008,SE_GPI_PART,Hungary,55-64,0.8
2009,SE_GPI_PART,Hungary,55-64,0.8
2009,SE_GPI_PART,Hungary,15-64,1.0
2009,SE_GPI_PART,Hungary,15-24,1.0
2009,SE_GPI_PART,Hungary,25-54,1.2
2010,SE_GPI_PART,Hungary,25-54,1.1
2010,SE_GPI_PART,Hungary,15-24,1.0
2010,SE_GPI_PART,Hungary,15-64,1.0
2010,SE_GPI_PART,Hungary,55-64,0.7
2008,SE_GPI_PART,Belgium,55-64,1.0
2008,SE_GPI_PART,Belgium,15-64,1.1
2009,SE_GPI_PART,Belgium,15-64,1.1
2009,SE_GPI_PART,Belgium,55-64,1.1
2009,SE_GPI_PART,Belgium,25-54,1.1
2009,SE_GPI_PART,Belgium,15-24,1.0
2010,SE_GPI_PART,Belgium,15-24,1.1
2011,SE_GPI_PART,Hungary,55-64,0.9
2011,SE_GPI_PART,Hungary,15-64,1.0
2011,SE_GPI_PART,Hungary,15-24,1.0
2011,SE_GPI_PART,Hungary,25-54,1.2
2012,SE_GPI_PART,Hungary,25-54,1.2
2012,SE_GPI_PART,Hungary,15-24,1.0
2012,SE_GPI_PART,Hungary,15-64,1.0
2012,SE_GPI_PART,Hungary,55-64,1.0
2013,SE_GPI_PART,Hungary,55-64,1.2
2013,SE_GPI_PART,Hungary,15-64,1.0
2013,SE_GPI_PART,Hungary,15-24,1.0
2013,SE_GPI_PART,Hungary,25-54,1.1
2014,SE_GPI_PART,Hungary,25-54,1.2
2014,SE_GPI_PART,Hungary,15-64,1.0
2014,SE_GPI_PART,Hungary,15-24,1.0
2014,SE_GPI_PART,Hungary,55-64,1.2
2015,SE_GPI_PART,Hungary,55-64,1.0
2015,SE_GPI_PART,Hungary,15-24,1.0
2015,SE_GPI_PART,Hungary,15-64,1.0
2015,SE_GPI_PART,Hungary,25-54,1.1
2016,SE_GPI_PART,Hungary,25-54,1.2
2016,SE_GPI_PART,Hungary,15-24,1.1
2016,SE_GPI_PART,Hungary,15-64,1.1
2016,SE_GPI_PART,Hungary,55-64,1.2
2017,SE_GPI_PART,Hungary,55-64,1.1
2017,SE_GPI_PART,Hungary,15-64,1.0
2017,SE_GPI_PART,Hungary,25-54,1.1
2017,SE_GPI_PART,Hungary,15-24,1.0
2018,SE_GPI_PART,Hungary,15-24,1.1
2018,SE_GPI_PART,Hungary,25-54,1.1
2018,SE_GPI_PART,Hungary,15-64,1.0
2018,SE_GPI_PART,Hungary,55-64,1.2
2019,SE_GPI_PART,Hungary,55-64,0.9
