Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-5-1-VC_DSR_MTMP,complete,,,,custom.central_asia,,line
#1-5-1-VC_DSR_PDAN,complete,,,,custom.central_asia,,line
#1-5-1-VC_DSR_PDLN,complete,,,,custom.central_asia,,line
#1-5-1-VC_DSR_PDYN,complete,,,,custom.central_asia,,line
#1-5-2,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#1-5-2-VC_DSR_AGLH,complete,,,,custom.central_asia,,line
#1-5-2-VC_DSR_CHLN,complete,,,,custom.central_asia,,line
#1-5-2-VC_DSR_CILN,complete,,,,custom.central_asia,,line
#1-5-2-VC_DSR_DDPA,complete,,,,custom.central_asia,,line
#1-5-2-VC_DSR_GDPLS,complete,,,,custom.central_asia,,line
#1-5-2-VC_DSR_LSGP,complete,,,,custom.central_asia,,line
#1-5-3,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#1-5-3-SG_DSR_LGRGSR,complete,,,,custom.central_asia,,line
#1-5-4,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#1-5-4-SG_DSR_SILN,complete,,,,custom.central_asia,,line
#1-5-4-SG_DSR_SILS,complete,,,,custom.central_asia,,line
#1-a-1,notstarted,OECD,True,,,,line
#1-a-1-DC_ODA_POVDLG,complete,,,,custom.central_asia,,line
#1-a-1-DC_ODA_POVLG,complete,,,,custom.central_asia,,line
#1-a-2,notstarted,UNESCO Institute for Statistics (UNESCO-UIS),True,,,,line
#1-b-1,complete,"UNICEF, Save the Children",,,custom.central_asia,,line
#10-1-1,complete,World Bank (WB),,,custom.central_asia,,line
#10-2-1,complete,World Bank (WB),,,custom.central_asia,,line
#10-3-1,complete,Office of the United Nations High Commissioner for Human Rights (OHCHR),,,custom.central_asia,,line
#10-4-1,complete,International Labour Organization (ILO),,,custom.central_asia,,line
#10-4-2,complete,"Institutional information: The World Bank Group is the official custodian for this indicator. This metadata documentation was developed and agreed by the three institutional data providers, CEQ Institute, OECD and The World Bank.",,,custom.central_asia,,line
#10-5-1,complete,International Monetary Fund,,,custom.central_asia,,line
#10-5-1-FI_FSI_FSERA,complete,,,,custom.central_asia,,line
#10-5-1-FI_FSI_FSKA,complete,,,,custom.central_asia,,line
#10-5-1-FI_FSI_FSKNL,complete,,,,custom.central_asia,,line
#10-5-1-FI_FSI_FSKRTC,complete,,,,custom.central_asia,,line
#10-5-1-FI_FSI_FSLS,complete,,,,custom.central_asia,,line
#10-5-1-FI_FSI_FSSNO,complete,,,,custom.central_asia,,line
#10-6-1,notstarted,"Financing for Sustainable Development Office (FSDO), United Nations Department of Economic and Social Affairs (UN-DESA)
",True,,,,line
#10-6-1-SG_INT_MBRDEV,complete,,,,custom.central_asia,,line
#10-6-1-SG_INT_VRTDEV,complete,,,,custom.central_asia,,line
#10-7-1,notstarted,International Labour Organization (ILO) and World Bank (WB),True,,,,line
#10-7-2,notstarted,International Organization for Migration (IOM) and United Nations Department of Economic and Social Affairs (DESA) as custodian agencies,True,,,,line
#10-7-2-SG_CPA_MIGRS,complete,,,,custom.central_asia,,line
#10-7-3,complete,International Organization for Migration,,,custom.central_asia,,line
#10-7-4,complete,United Nations High Commissioner for Refugees (UNHCR),,,custom.central_asia,,line
#10-a-1,complete,"International Trade Centre (ITC)
United Nations Conference on Trade and Development (UNCTAD)
The World Trade Organization (WTO)",,,custom.central_asia,,line
#10-b-1,notstarted,Organisation for Economic Co-operation and Development (OECD),True,,,,line
#10-b-1-DC_TRF_TOTDL,complete,,,,custom.central_asia,,line
#10-b-1-DC_TRF_TOTL,complete,,,,custom.central_asia,,line
#10-c-1,notstarted,World Bank,True,,,,line
#10-c-1-SI_RMT_COST,complete,,,,custom.central_asia,,line
#10-c-1-SI_RMT_COST_BC,complete,,,,custom.central_asia,,line
#10-c-1-SI_RMT_COST_SC,complete,,,,custom.central_asia,,line
#10-c-1-SI_RMT_COST_SND,complete,,,,custom.central_asia,,line
#11-1-1,complete,United Nations Human Settlements Programme (UN-Habitat) ,,,custom.central_asia,,line
#11-2-1,complete,United Nations Human Settlements Programme (UN-Habitat),,,custom.central_asia,,line
#11-3-1,complete,United Nations Human Settlements Programme (UN-Habitat),,,custom.central_asia,,line
#11-3-2,notstarted,UN-Habitat,True,,,,line
#11-4-1,complete,UNESCO Institute for Statistics (UIS),,,custom.central_asia,,line
#11-5-1,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#11-5-1-VC_DSR_AFFCT,complete,,,,custom.central_asia,,line
#11-5-1-VC_DSR_DAFF,complete,,,,custom.central_asia,,line
#11-5-1-VC_DSR_IJILN,complete,,,,custom.central_asia,,line
#11-5-1-VC_DSR_MISS,complete,,,,custom.central_asia,,line
#11-5-1-VC_DSR_MMHN,complete,,,,custom.central_asia,,line
#11-5-1-VC_DSR_MORT,complete,,,,custom.central_asia,,line
#11-5-1-VC_DSR_MTMP,complete,,,,custom.central_asia,,line
#11-5-1-VC_DSR_PDAN,complete,,,,custom.central_asia,,line
#11-5-1-VC_DSR_PDLN,complete,,,,custom.central_asia,,line
#11-5-1-VC_DSR_PDYN,complete,,,,custom.central_asia,,line
#11-5-2,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#11-5-2-VC_DSR_AGLH,complete,,,,custom.central_asia,,line
#11-5-2-VC_DSR_CHLN,complete,,,,custom.central_asia,,line
#11-5-2-VC_DSR_CILN,complete,,,,custom.central_asia,,line
#11-5-2-VC_DSR_DDPA,complete,,,,custom.central_asia,,line
#11-5-2-VC_DSR_GDPLS,complete,,,,custom.central_asia,,line
#11-5-2-VC_DSR_LSGP,complete,,,,custom.central_asia,,line
#11-5-3,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#11-5-3-VC_DSR_BSDN,complete,,,,custom.central_asia,,line
#11-5-3-VC_DSR_CDAN,complete,,,,custom.central_asia,,line
#11-5-3-VC_DSR_CDYN,complete,,,,custom.central_asia,,line
#11-5-3-VC_DSR_EFDN,complete,,,,custom.central_asia,,line
#11-5-3-VC_DSR_ESDN,complete,,,,custom.central_asia,,line
#11-5-3-VC_DSR_HFDN,complete,,,,custom.central_asia,,line
#11-5-3-VC_DSR_HSDN,complete,,,,custom.central_asia,,line
#11-5-3-VC_DSR_OBDN,complete,,,,custom.central_asia,,line
#11-6-1,complete,"UN-Habitat, UNSD",,,custom.central_asia,,line
#11-6-2,complete,World Health Organization (WHO),,,custom.central_asia,,line
#11-7-1,complete,UN-HABITAT,,,custom.central_asia,,line
#11-7-2,complete,"United Nations Office on Drugs and Crime (UNODC)
",,,custom.central_asia,,line
#11-a-1,complete,"UN-Habitat
UNFPA",,,custom.central_asia,,line
#11-b-1,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#11-b-1-SG_DSR_LGRGSR,complete,,,,custom.central_asia,,line
#11-b-2,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#11-b-2-SG_DSR_SILN,complete,,,,custom.central_asia,,line
#11-b-2-SG_DSR_SILS,complete,,,,custom.central_asia,,line
#11-b-2-SG_GOV_LOGV,complete,,,,custom.central_asia,,line
#12-1-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-1-1-SG_SCP_CNTRY,complete,,,,custom.central_asia,,line
#12-1-1-SG_SCP_POLINS,complete,,,,custom.central_asia,,line
#12-1-1-SG_SCP_TOTLN,complete,,,,custom.central_asia,,line
#12-2-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-2-2,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-2-2-EN_MAT_DOMCMPC,complete,,,,custom.central_asia,,line
#12-2-2-EN_MAT_DOMCMPG,complete,,,,custom.central_asia,,line
#12-2-2-EN_MAT_DOMCMPT,complete,,,,custom.central_asia,,line
#12-3-1,notstarted,The Food and Agriculture Organization of the United Nations,True,,,,line
#12-3-1-AG_FOOD_WST,complete,,,,custom.central_asia,,line
#12-3-1-AG_FOOD_WST_PC,complete,,,,custom.central_asia,,line
#12-4-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-4-1-SG_HAZ_CMRBASEL,complete,,,,custom.central_asia,,line
#12-4-1-SG_HAZ_CMRMNMT,complete,,,,custom.central_asia,,line
#12-4-1-SG_HAZ_CMRMNTRL,complete,,,,custom.central_asia,,line
#12-4-1-SG_HAZ_CMRROTDAM,complete,,,,custom.central_asia,,line
#12-4-1-SG_HAZ_CMRSTHOLM,complete,,,,custom.central_asia,,line
#12-4-2,notstarted,"United Nations Environment Programme (UNEP), United Nations Statistics Division (UNSD), United Nations Institute for Training and Research (UNITAR)",True,,,,line
#12-4-2-EN_EWT_COLLPCAP,complete,,,,custom.central_asia,,line
#12-4-2-EN_EWT_COLLR,complete,,,,custom.central_asia,,line
#12-4-2-EN_EWT_COLLV,complete,,,,custom.central_asia,,line
#12-4-2-EN_EWT_GENPCAP,complete,,,,custom.central_asia,,line
#12-4-2-EN_EWT_GENV,complete,,,,custom.central_asia,,line
#12-4-2-EN_HAZ_EXP,complete,,,,custom.central_asia,,line
#12-4-2-EN_HAZ_GENGDP,complete,,,,custom.central_asia,,line
#12-4-2-EN_HAZ_GENV,complete,,,,custom.central_asia,,line
#12-4-2-EN_HAZ_IMP,complete,,,,custom.central_asia,,line
#12-4-2-EN_HAZ_PCAP,complete,,,,custom.central_asia,,line
#12-4-2-EN_HAZ_TREATV,complete,,,,custom.central_asia,,line
#12-4-2-EN_HAZ_TRTDISR,complete,,,,custom.central_asia,,line
#12-4-2-EN_HAZ_TRTDISV,complete,,,,custom.central_asia,,line
#12-4-2-EN_MWT_COLLV,complete,,,,custom.central_asia,,line
#12-4-2-EN_MWT_EXP,complete,,,,custom.central_asia,,line
#12-4-2-EN_MWT_GENV,complete,,,,custom.central_asia,,line
#12-4-2-EN_MWT_IMP,complete,,,,custom.central_asia,,line
#12-4-2-EN_MWT_TREATR,complete,,,,custom.central_asia,,line
#12-4-2-EN_MWT_TREATV,complete,,,,custom.central_asia,,line
#12-4-2-EN_TWT_GENV,complete,,,,custom.central_asia,,line
#12-5-1,notstarted,"United Nations Environment Programme (UNEP), United Nations Statistics Division (UNSD), United Nations Institute for Training and Research (UNITAR)",True,,,,line
#12-5-1-EN_EWT_RCYPCAP,complete,,,,custom.central_asia,,line
#12-5-1-EN_EWT_RCYR,complete,,,,custom.central_asia,,line
#12-5-1-EN_EWT_RCYV,complete,,,,custom.central_asia,,line
#12-5-1-EN_MWT_RCYR,complete,,,,custom.central_asia,,line
#12-5-1-EN_MWT_RCYV,complete,,,,custom.central_asia,,line
#12-6-1,notstarted,"United Nations Conference on Trade and Development (UNCTAD)
United Nations Environment Programme (UNEP)",True,,,,line
#12-6-1-EN_SCP_FRMN,complete,,,,custom.central_asia,,line
#12-7-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-7-1-SG_SCP_PROCN,complete,,,,custom.central_asia,,line
#12-7-1-SG_SCP_PROCN_HS,complete,,,,custom.central_asia,,line
#12-7-1-SG_SCP_PROCN_LS,complete,,,,custom.central_asia,,line
#12-8-1,complete,"UNESCO Education Sector, Division for Peace and Sustainable Development, Section of Education for Sustainable Development (UNESCO-ED/PSD/ESD)
UNESCO Institute for Statistics (UNESCO-UIS)",,,custom.central_asia,,line
#12-a-1,complete,International Renewable Energy Agency (IRENA),,,custom.central_asia,,line
#12-b-1,notstarted,World Tourism Organization (UNWTO),True,,,,line
#12-b-1-ST_EEV_ACCSEEA,complete,,,,custom.central_asia,,line
#12-b-1-ST_EEV_ACCTSA,complete,,,,custom.central_asia,,line
#12-b-1-ST_EEV_STDACCT,complete,,,,custom.central_asia,,line
#12-c-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#12-c-1-ER_FFS_CMPT_CD,complete,,,,custom.central_asia,,line
#12-c-1-ER_FFS_CMPT_GDP,complete,,,,custom.central_asia,,line
#12-c-1-ER_FFS_CMPT_PC_CD,complete,,,,custom.central_asia,,line
#13-1-1,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#13-1-1-VC_DSR_AFFCT,complete,,,,custom.central_asia,,line
#13-1-1-VC_DSR_DAFF,complete,,,,custom.central_asia,,line
#13-1-1-VC_DSR_IJILN,complete,,,,custom.central_asia,,line
#13-1-1-VC_DSR_MISS,complete,,,,custom.central_asia,,line
#13-1-1-VC_DSR_MMHN,complete,,,,custom.central_asia,,line
#13-1-1-VC_DSR_MORT,complete,,,,custom.central_asia,,line
#13-1-1-VC_DSR_MTMP,complete,,,,custom.central_asia,,line
#13-1-1-VC_DSR_PDAN,complete,,,,custom.central_asia,,line
#13-1-1-VC_DSR_PDLN,complete,,,,custom.central_asia,,line
#13-1-1-VC_DSR_PDYN,complete,,,,custom.central_asia,,line
#13-1-2,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#13-1-2-SG_DSR_LGRGSR,complete,,,,custom.central_asia,,line
#13-1-3,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#13-1-3-SG_DSR_SILN,complete,,,,custom.central_asia,,line
#13-1-3-SG_DSR_SILS,complete,,,,custom.central_asia,,line
#13-1-3-SG_GOV_LOGV,complete,,,,custom.central_asia,,line
#13-2-1,notstarted,UN Climate Change (UNFCCC Secretariat),True,,,,line
#13-2-2,notstarted,UN Climate Change (UNFCCC Secretariat),True,,,,line
#13-2-2-EN_ATM_GHGT_AIP,complete,,,,custom.central_asia,,line
#13-2-2-EN_ATM_GHGT_NAIP,complete,,,,custom.central_asia,,line
#13-3-1,complete,"UNESCO Education Sector, Division for Peace and Sustainable Development, Section of Education for Sustainable Development (UNESCO-ED/PSD/ESD)
UNESCO Institute for Statistics (UNESCO-UIS)",,,custom.central_asia,,line
#13-a-1,notstarted,UN Climate Change (UNFCCC Secretariat),True,,,,line
#13-b-1,notstarted,UN Climate Change (UNFCCC Secretariat),True,,,,line
#14-1-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#14-1-1-EN_MAR_BEALITSQ,complete,,,,custom.central_asia,,line
#14-1-1-EN_MAR_BEALIT_BP,complete,,,,custom.central_asia,,line
#14-1-1-EN_MAR_BEALIT_BV,complete,,,,custom.central_asia,,line
#14-1-1-EN_MAR_BEALIT_EXP,complete,,,,custom.central_asia,,line
#14-1-1-EN_MAR_BEALIT_OP,complete,,,,custom.central_asia,,line
#14-1-1-EN_MAR_BEALIT_OV,complete,,,,custom.central_asia,,line
#14-1-1-EN_MAR_CHLANM,complete,,,,custom.central_asia,,line
#14-1-1-EN_MAR_CHLDEV,complete,,,,custom.central_asia,,line
#14-2-1,complete,United Nations Environment Programme (UNEP),,,custom.central_asia,,line
#14-3-1,complete,Intergovernmental Oceanographic Commission (IOC) of UNESCO,,,custom.central_asia,,line
#14-4-1,complete,Food and Agriculture Organization of the United Nations (FAO),,,custom.central_asia,,line
#14-5-1,complete,"BirdLife International (BLI)
International Union for Conservation of Nature (IUCN)
UN Environment World Conservation Monitoring Centre (UNEP-WCMC)
UN Environment",,,custom.central_asia,,line
#14-6-1,complete,Food and Agriculture Organization of the United Nations (FAO),,,custom.central_asia,,line
#14-7-1,complete,Food and Agriculture Organization of the United Nations (FAO),,,custom.central_asia,,line
#14-a-1,complete,Intergovernmental Oceanographic Commission of UNESCO,,,custom.central_asia,,line
#14-b-1,complete,Food and Agriculture Organization of the United Nations (FAO),,,custom.central_asia,,line
#14-c-1,complete,"Division for Ocean Affairs and the Law of the Sea, Office of Legal Affairs, United Nations Secretariat",,,custom.central_asia,,line
#15-1-1,complete,Food and Agriculture Organization of the United Nations (FAO),,,custom.central_asia,,line
#15-1-2,notstarted,"BirdLife International (BLI)
International Union for Conservation of Nature (IUCN)
UN Environment World Conservation Monitoring Centre (UNEP-WCMC)
UN Environment",True,,,,line
#15-1-2-ER_PTD_FRHWTR,complete,,,,custom.central_asia,,line
#15-1-2-ER_PTD_TERR,complete,,,,custom.central_asia,,line
#15-2-1,notstarted,Food and Agriculture Organization of the United Nations (FAO) ,True,,,,line
#15-2-1-AG_LND_FRSTBIOPHA,complete,,,,custom.central_asia,,line
#15-2-1-AG_LND_FRSTCERT,complete,,,,custom.central_asia,,line
#15-2-1-AG_LND_FRSTCHG,complete,,,,custom.central_asia,,line
#15-2-1-AG_LND_FRSTMGT,complete,,,,custom.central_asia,,line
#15-2-1-AG_LND_FRSTPRCT,complete,,,,custom.central_asia,,line
#15-3-1,complete,"United Nations Convention to Combat Desertification (UNCCD) and partners, including: Conservation International (CI), European Space Agency (ESA), Food and Agriculture Organization of the United Nations (FAO), Group on Earth Observation Land Degradation Neutrality Initiative (GEO-LDN), International Soil Reference and Information Centre (ISRIC), International Union for Conservation of Nature (IUCN), Joint Research Centre of the European Commission (JRC), United Nations Statistics Division (UNSD), United Nations Development Programme (UNDP), United Nations Environment (UNEP), World Resources Institute (WRI), United Nations Framework Convention on Climate Change (UNFCCC) and Convention on Biological Diversity (CBD).",,,custom.central_asia,,line
#15-4-1,complete,"BirdLife International (BLI)
International Union for Conservation of Nature (IUCN)
UN Environment World Conservation Monitoring Centre (UNEP-WCMC)
UN Environment",,,custom.central_asia,,line
#15-4-2,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#15-4-2-ER_MTN_DGRDA,complete,,,,custom.central_asia,,line
#15-4-2-ER_MTN_DGRDP,complete,,,,custom.central_asia,,line
#15-4-2-ER_MTN_GRNCOV,complete,,,,custom.central_asia,,line
#15-4-2-ER_MTN_GRNCVI,complete,,,,custom.central_asia,,line
#15-4-2-ER_MTN_TOTL,complete,,,,custom.central_asia,,line
#15-5-1,complete,International Union for Conservation of Nature (IUCN),,,custom.central_asia,,line
#15-6-1,notstarted,Secretariat of the Convention on Biological Diversity (CBD),True,,,,line
#15-6-1-ER_CBD_ABSCLRHS,complete,,,,custom.central_asia,,line
#15-6-1-ER_CBD_NAGOYA,complete,,,,custom.central_asia,,line
#15-6-1-ER_CBD_ORSPGRFA,complete,,,,custom.central_asia,,line
#15-6-1-ER_CBD_PTYPGRFA,complete,,,,custom.central_asia,,line
#15-6-1-ER_CBD_SMTA,complete,,,,custom.central_asia,,line
#15-7-1,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#15-8-1,notstarted,International Union for Conservation of Nature (IUCN),True,,,,line
#15-8-1-ER_IAS_GLOFUN,complete,,,,custom.central_asia,,line
#15-8-1-ER_IAS_LEGIS,complete,,,,custom.central_asia,,line
#15-8-1-ER_IAS_NATBUD,complete,,,,custom.central_asia,,line
#15-8-1-ER_IAS_NBSAP,complete,,,,custom.central_asia,,line
#15-9-1,notstarted,"United Nations Environment Programme (UNEP), Convention on Biological Diversity (CBD), United Nations Statistics Division (UNSD) ",True,,,,line
#15-9-1-ER_BDY_ABT2NP,complete,,,,custom.central_asia,,line
#15-9-1-ER_BDY_SEEA,complete,,,,custom.central_asia,,line
#15-a-1,notstarted,Organisation for Economic Cooperation and Development (OECD),True,,,,line
#15-a-1-DC_ODA_BDVDL,complete,,,,custom.central_asia,,line
#15-a-1-DC_ODA_BDVL,complete,,,,custom.central_asia,,line
#15-b-1,notstarted,Organisation for Economic Cooperation and Development (OECD),True,,,,line
#15-b-1-DC_ODA_BDVDL,complete,,,,custom.central_asia,,line
#15-b-1-DC_ODA_BDVL,complete,,,,custom.central_asia,,line
#15-c-1,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-1-1,notstarted,"United Nations Office on Drugs and Crime (UNODC), World Health Organization (WHO)",True,,,,line
#16-1-1-VC_IHR_PSRC,complete,,,,custom.central_asia,,line
#16-1-1-VC_IHR_PSRCN,complete,,,,custom.central_asia,,line
#16-1-2,notstarted,Office of the United Nations High Commissioner for Human Rights (OHCHR),True,,,,line
#16-1-3,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-1-3-VC_VOV_PHYL,complete,,,,custom.central_asia,,line
#16-1-3-VC_VOV_ROBB,complete,,,,custom.central_asia,,line
#16-1-3-VC_VOV_SEXL,complete,,,,custom.central_asia,,line
#16-1-4,complete,United Nations Office on Drugs and Crime (UNODC),,,custom.central_asia,,line
#16-10-1,notstarted,"Office of the United Nations High Commissioner for Human Rights (OHCHR) United Nations Educational, Scientific and Cultural Organization (UNESCO) International Labour Organization (ILO)",True,,,,line
#16-10-2,complete,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",,,custom.central_asia,,line
#16-2-1,complete,United Nations Children&apos;s Fund (UNICEF),,,custom.central_asia,,line
#16-2-2,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-2-2-VC_HTF_DETV,complete,,,,custom.central_asia,,line
#16-2-2-VC_HTF_DETVFL,complete,,,,custom.central_asia,,line
#16-2-2-VC_HTF_DETVFLR,complete,,,,custom.central_asia,,line
#16-2-2-VC_HTF_DETVOG,complete,,,,custom.central_asia,,line
#16-2-2-VC_HTF_DETVOGR,complete,,,,custom.central_asia,,line
#16-2-2-VC_HTF_DETVOP,complete,,,,custom.central_asia,,line
#16-2-2-VC_HTF_DETVOPR,complete,,,,custom.central_asia,,line
#16-2-2-VC_HTF_DETVR,complete,,,,custom.central_asia,,line
#16-2-2-VC_HTF_DETVSX,complete,,,,custom.central_asia,,line
#16-2-2-VC_HTF_DETVSXR,complete,,,,custom.central_asia,,line
#16-2-3,complete,United Nations Children&apos;s Fund (UNICEF),,,custom.central_asia,,line
#16-3-1,notstarted,United Nations Office on Drugs and Crime (UNODC),True,,,,line
#16-3-1-VC_PRR_PHYV,complete,,,,custom.central_asia,,line
#16-3-1-VC_PRR_ROBB,complete,,,,custom.central_asia,,line
#16-3-1-VC_PRR_SEXV,complete,,,,custom.central_asia,,line
#16-3-2,complete,United Nations Office on Drugs and Crime (UNODC),,,custom.central_asia,,line
#16-3-3,complete,"United Nations Development Programme (UNDP), United Nations Office on Drugs and Crime (UNODC) and Organization for Economic Cooperation and Development (OECD)",,,custom.central_asia,,line
#16-4-1,notstarted,United Nations Office on Drugs and Crime (UNODC) and United Nations Conference on Trade and Development (UNCTAD),True,,,,line
#16-4-1-DI_ILL_IN,complete,,,,custom.central_asia,,line
#16-4-1-DI_ILL_OUT,complete,,,,custom.central_asia,,line
#16-4-2,complete,UNODC and UNODA,,,custom.central_asia,,line
#16-5-1,complete,United Nations Office on Drugs and Crime (UNODC),,,custom.central_asia,,line
#16-5-2,complete,World Bank (WB),,,custom.central_asia,,line
#16-6-1,complete,World Bank (WB),,,custom.central_asia,,line
#16-6-2,notstarted,United Nations Development Programme (UNDP) ,True,,,,line
#16-6-2-SP_PSR_OSATIS_GOV,complete,,,,custom.central_asia,,line
#16-6-2-SP_PSR_OSATIS_HLTH,complete,,,,custom.central_asia,,line
#16-6-2-SP_PSR_OSATIS_PRM,complete,,,,custom.central_asia,,line
#16-6-2-SP_PSR_OSATIS_SEC,complete,,,,custom.central_asia,,line
#16-6-2-SP_PSR_SATIS_GOV,complete,,,,custom.central_asia,,line
#16-6-2-SP_PSR_SATIS_HLTH,complete,,,,custom.central_asia,,line
#16-6-2-SP_PSR_SATIS_PRM,complete,,,,custom.central_asia,,line
#16-6-2-SP_PSR_SATIS_SEC,complete,,,,custom.central_asia,,line
#16-7-1,notstarted,UNDP Oslo Governance Centre,True,,,,line
#16-7-1-SG_DMK_JDC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_JDC_CNS,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_JDC_HGR,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_JDC_LWR,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLCC_JC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLCC_LC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLCC_UC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLMP_LC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLMP_UC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLSP_LC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLSP_UC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLYN_LC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLYN_UC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLYP_LC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLYP_UC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLYR_LC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PARLYR_UC,complete,,,,custom.central_asia,,line
#16-7-1-SG_DMK_PSRVC,complete,,,,custom.central_asia,,line
#16-7-2,notstarted,UNDP Oslo Governance Centre,True,,,,line
#16-7-2-IU_DMK_ICRS,complete,,,,custom.central_asia,,line
#16-7-2-IU_DMK_INCL,complete,,,,custom.central_asia,,line
