Year,SeriesCode,GeoAreaName,Type of occupation,Value
2004,SH_MED_DEN,Albania,PHYS,12.08
2004,SH_MED_DEN,Albania,NURSMID,36.36
2009,SH_MED_DEN,Belarus,DENT,5.31
2009,SH_MED_DEN,Belarus,PHAR,3.13
2009,SH_MED_DEN,Belarus,NURSMID,101.52
2010,SH_MED_DEN,Belarus,PHAR,2.81
2010,SH_MED_DEN,Belarus,DENT,5.23
2010,SH_MED_DEN,Belarus,NURSMID,102.76
2011,SH_MED_DEN,Belarus,DENT,5.28
2011,SH_MED_DEN,Belarus,PHAR,3.19
2011,SH_MED_DEN,Belarus,PHYS,46.18
2005,SH_MED_DEN,Albania,NURSMID,36.72
2006,SH_MED_DEN,Albania,NURSMID,42.44
2006,SH_MED_DEN,Albania,PHYS,12.07
2006,SH_MED_DEN,Albania,PHAR,3.91
2006,SH_MED_DEN,Albania,DENT,3.45
2007,SH_MED_DEN,Albania,PHYS,12.18
2007,SH_MED_DEN,Albania,NURSMID,42.83
2007,SH_MED_DEN,Albania,PHAR,4.16
2008,SH_MED_DEN,Albania,PHAR,3.59
2000,SH_MED_DEN,Hungary,DENT,3.24
2000,SH_MED_DEN,Hungary,PHAR,4.81
2000,SH_MED_DEN,Hungary,PHYS,26.85
2000,SH_MED_DEN,Hungary,NURSMID,54.88
2001,SH_MED_DEN,Hungary,NURSMID,57.25
2001,SH_MED_DEN,Hungary,PHYS,28.93
2001,SH_MED_DEN,Hungary,PHAR,4.94
2001,SH_MED_DEN,Hungary,DENT,3.58
2002,SH_MED_DEN,Hungary,NURSMID,58.92
2011,SH_MED_DEN,Republic of Moldova,PHYS,27.39
2011,SH_MED_DEN,Republic of Moldova,NURSMID,64.05
2011,SH_MED_DEN,Republic of Moldova,DENT,4.65
2011,SH_MED_DEN,Republic of Moldova,PHAR,5.21
2012,SH_MED_DEN,Republic of Moldova,PHYS,28.05
2012,SH_MED_DEN,Republic of Moldova,DENT,4.76
2012,SH_MED_DEN,Republic of Moldova,NURSMID,65.14
2013,SH_MED_DEN,Republic of Moldova,PHYS,29.85
2013,SH_MED_DEN,Republic of Moldova,NURSMID,65.44
2011,SH_MED_DEN,Belarus,NURSMID,102.85
2012,SH_MED_DEN,Belarus,NURSMID,106.04
2012,SH_MED_DEN,Belarus,PHYS,46.97
2012,SH_MED_DEN,Belarus,DENT,5.36
2012,SH_MED_DEN,Belarus,PHAR,3.33
2013,SH_MED_DEN,Belarus,PHYS,47.19
2013,SH_MED_DEN,Belarus,NURSMID,105.54
2013,SH_MED_DEN,Belarus,PHAR,3.37
2013,SH_MED_DEN,Belarus,DENT,5.36
2002,SH_MED_DEN,Hungary,DENT,4.77
2002,SH_MED_DEN,Hungary,PHAR,5.0
2002,SH_MED_DEN,Hungary,PHYS,31.98
2003,SH_MED_DEN,Hungary,NURSMID,59.78
2003,SH_MED_DEN,Hungary,PHYS,32.51
2003,SH_MED_DEN,Hungary,PHAR,5.07
2003,SH_MED_DEN,Hungary,DENT,5.29
2004,SH_MED_DEN,Hungary,DENT,5.1
2004,SH_MED_DEN,Hungary,PHAR,5.11
2014,SH_MED_DEN,Belarus,PHAR,3.34
2014,SH_MED_DEN,Belarus,NURSMID,106.86
2014,SH_MED_DEN,Belarus,PHYS,48.77
2014,SH_MED_DEN,Belarus,DENT,5.59
2015,SH_MED_DEN,Belarus,DENT,5.76
2015,SH_MED_DEN,Belarus,PHYS,50.51
2015,SH_MED_DEN,Belarus,NURSMID,107.07
2015,SH_MED_DEN,Belarus,PHAR,3.53
2016,SH_MED_DEN,Belarus,PHYS,42.77
2009,SH_MED_DEN,Albania,PHAR,4.12
2009,SH_MED_DEN,Albania,PHYS,12.48
2009,SH_MED_DEN,Albania,NURSMID,42.5
2010,SH_MED_DEN,Albania,NURSMID,40.66
2010,SH_MED_DEN,Albania,PHYS,12.49
2010,SH_MED_DEN,Albania,PHAR,4.55
2011,SH_MED_DEN,Albania,PHYS,12.34
2011,SH_MED_DEN,Albania,PHAR,4.79
2011,SH_MED_DEN,Albania,NURSMID,42.16
2004,SH_MED_DEN,Hungary,PHYS,33.41
2004,SH_MED_DEN,Hungary,NURSMID,59.8
2005,SH_MED_DEN,Hungary,PHAR,5.27
2005,SH_MED_DEN,Hungary,DENT,4.48
2005,SH_MED_DEN,Hungary,NURSMID,61.54
2005,SH_MED_DEN,Hungary,PHYS,27.85
2006,SH_MED_DEN,Hungary,PHAR,5.33
2006,SH_MED_DEN,Hungary,DENT,4.97
2006,SH_MED_DEN,Hungary,PHYS,30.4
2017,SH_MED_DEN,Belarus,PHYS,43.3
2018,SH_MED_DEN,Belarus,PHYS,43.86
2018,SH_MED_DEN,Belarus,DENT,6.07
2019,SH_MED_DEN,Belarus,PHYS,44.34
2000,SH_MED_DEN,Canada,DENT,5.63
2000,SH_MED_DEN,Canada,PHAR,7.7
2001,SH_MED_DEN,Canada,PHAR,7.62
2001,SH_MED_DEN,Canada,DENT,5.66
2002,SH_MED_DEN,Canada,PHAR,7.86
2006,SH_MED_DEN,Hungary,NURSMID,64.02
2007,SH_MED_DEN,Hungary,PHYS,28.07
2007,SH_MED_DEN,Hungary,DENT,4.0
2007,SH_MED_DEN,Hungary,NURSMID,61.18
2007,SH_MED_DEN,Hungary,PHAR,5.46
2008,SH_MED_DEN,Hungary,PHAR,5.76
2008,SH_MED_DEN,Hungary,NURSMID,63.29
2008,SH_MED_DEN,Hungary,PHYS,30.95
2008,SH_MED_DEN,Hungary,DENT,5.05
2002,SH_MED_DEN,Canada,DENT,5.73
2003,SH_MED_DEN,Canada,PHAR,7.92
2003,SH_MED_DEN,Canada,DENT,5.76
2004,SH_MED_DEN,Canada,DENT,5.78
2004,SH_MED_DEN,Canada,PHAR,7.92
2005,SH_MED_DEN,Canada,PHAR,7.89
2005,SH_MED_DEN,Canada,DENT,5.64
2006,SH_MED_DEN,Canada,DENT,5.66
2006,SH_MED_DEN,Canada,PHAR,8.06
2012,SH_MED_DEN,Albania,PHYS,12.78
2012,SH_MED_DEN,Albania,NURSMID,44.53
2013,SH_MED_DEN,Albania,NURSMID,43.14
2013,SH_MED_DEN,Albania,PHYS,12.85
2013,SH_MED_DEN,Albania,PHAR,8.46
2016,SH_MED_DEN,Albania,PHYS,12.19
2016,SH_MED_DEN,Albania,NURSMID,36.56
2018,SH_MED_DEN,Albania,DENT,10.33
2018,SH_MED_DEN,Albania,PHAR,10.86
2009,SH_MED_DEN,Hungary,PHYS,30.25
2009,SH_MED_DEN,Hungary,NURSMID,63.93
2009,SH_MED_DEN,Hungary,PHAR,5.73
2009,SH_MED_DEN,Hungary,DENT,4.92
2010,SH_MED_DEN,Hungary,PHAR,5.83
2010,SH_MED_DEN,Hungary,DENT,5.26
2010,SH_MED_DEN,Hungary,NURSMID,63.92
2010,SH_MED_DEN,Hungary,PHYS,28.72
2011,SH_MED_DEN,Hungary,PHYS,29.64
2007,SH_MED_DEN,Canada,PHAR,8.49
2007,SH_MED_DEN,Canada,DENT,5.68
2008,SH_MED_DEN,Canada,DENT,5.72
2008,SH_MED_DEN,Canada,PHAR,8.65
2009,SH_MED_DEN,Canada,PHAR,8.95
2009,SH_MED_DEN,Canada,DENT,5.76
2010,SH_MED_DEN,Canada,DENT,5.83
2010,SH_MED_DEN,Canada,PHAR,9.1
2011,SH_MED_DEN,Canada,PHAR,9.32
2011,SH_MED_DEN,Canada,DENT,6.0
2012,SH_MED_DEN,Canada,PHAR,9.12
2012,SH_MED_DEN,Canada,DENT,6.08
2013,SH_MED_DEN,Canada,DENT,6.14
2013,SH_MED_DEN,Canada,NURSMID,95.42
2013,SH_MED_DEN,Canada,PHAR,9.29
2014,SH_MED_DEN,Canada,NURSMID,98.19
2014,SH_MED_DEN,Canada,DENT,6.19
2014,SH_MED_DEN,Canada,PHAR,9.38
2011,SH_MED_DEN,Hungary,NURSMID,63.96
2011,SH_MED_DEN,Hungary,DENT,5.26
2011,SH_MED_DEN,Hungary,PHAR,5.77
2012,SH_MED_DEN,Hungary,DENT,5.65
2012,SH_MED_DEN,Hungary,NURSMID,64.96
2012,SH_MED_DEN,Hungary,PHYS,30.88
2012,SH_MED_DEN,Hungary,PHAR,5.73
2013,SH_MED_DEN,Hungary,DENT,6.03
2013,SH_MED_DEN,Hungary,PHAR,7.6
2018,SH_MED_DEN,Albania,PHYS,21.63
2019,SH_MED_DEN,Albania,PHYS,16.51
2019,SH_MED_DEN,Albania,NURSMID,51.0
2020,SH_MED_DEN,Albania,NURSMID,58.31
2020,SH_MED_DEN,Albania,PHYS,18.83
2000,SH_MED_DEN,Azerbaijan,DENT,2.73
2000,SH_MED_DEN,Azerbaijan,NURSMID,85.9
2000,SH_MED_DEN,Azerbaijan,PHAR,2.9
2000,SH_MED_DEN,Azerbaijan,PHYS,35.45
2015,SH_MED_DEN,Canada,PHAR,9.86
2015,SH_MED_DEN,Canada,DENT,6.28
2015,SH_MED_DEN,Canada,NURSMID,99.0
2016,SH_MED_DEN,Canada,NURSMID,99.93
2016,SH_MED_DEN,Canada,DENT,6.39
2016,SH_MED_DEN,Canada,PHAR,10.07
2017,SH_MED_DEN,Canada,DENT,6.39
2017,SH_MED_DEN,Canada,PHAR,10.26
2017,SH_MED_DEN,Canada,NURSMID,99.98
2013,SH_MED_DEN,Hungary,PHYS,32.09
2013,SH_MED_DEN,Hungary,NURSMID,65.96
2014,SH_MED_DEN,Hungary,DENT,6.29
2014,SH_MED_DEN,Hungary,NURSMID,65.83
2014,SH_MED_DEN,Hungary,PHYS,33.23
2014,SH_MED_DEN,Hungary,PHAR,7.7
2015,SH_MED_DEN,Hungary,DENT,6.03
2015,SH_MED_DEN,Hungary,PHYS,30.97
2015,SH_MED_DEN,Hungary,NURSMID,66.4
2018,SH_MED_DEN,Canada,NURSMID,99.98
2018,SH_MED_DEN,Canada,PHYS,24.28
2018,SH_MED_DEN,Canada,DENT,6.62
2018,SH_MED_DEN,Canada,PHAR,10.34
2019,SH_MED_DEN,Canada,PHAR,11.66
2019,SH_MED_DEN,Canada,DENT,6.61
2019,SH_MED_DEN,Canada,PHYS,24.35
2019,SH_MED_DEN,Canada,NURSMID,113.41
2020,SH_MED_DEN,Canada,NURSMID,110.75
2001,SH_MED_DEN,Azerbaijan,PHYS,35.12
2001,SH_MED_DEN,Azerbaijan,PHAR,2.59
2001,SH_MED_DEN,Azerbaijan,DENT,2.72
2001,SH_MED_DEN,Azerbaijan,NURSMID,84.63
2002,SH_MED_DEN,Azerbaijan,NURSMID,82.58
2002,SH_MED_DEN,Azerbaijan,DENT,2.78
2002,SH_MED_DEN,Azerbaijan,PHAR,2.72
2002,SH_MED_DEN,Azerbaijan,PHYS,35.21
2003,SH_MED_DEN,Azerbaijan,NURSMID,81.93
2015,SH_MED_DEN,Hungary,PHAR,7.15
2016,SH_MED_DEN,Hungary,PHYS,32.11
2016,SH_MED_DEN,Hungary,DENT,6.2
2016,SH_MED_DEN,Hungary,PHAR,7.49
2016,SH_MED_DEN,Hungary,NURSMID,66.01
2017,SH_MED_DEN,Hungary,DENT,6.73
2017,SH_MED_DEN,Hungary,PHYS,33.25
2017,SH_MED_DEN,Hungary,NURSMID,67.63
2017,SH_MED_DEN,Hungary,PHAR,7.72
2018,SH_MED_DEN,Hungary,PHAR,8.02
2018,SH_MED_DEN,Hungary,NURSMID,68.67
2018,SH_MED_DEN,Hungary,PHYS,33.84
2018,SH_MED_DEN,Hungary,DENT,7.03
2019,SH_MED_DEN,Hungary,PHYS,34.93
2019,SH_MED_DEN,Hungary,NURSMID,68.58
2019,SH_MED_DEN,Hungary,PHAR,8.31
2019,SH_MED_DEN,Hungary,DENT,7.31
2020,SH_MED_DEN,Hungary,PHAR,7.84
2020,SH_MED_DEN,Canada,PHYS,24.33
2020,SH_MED_DEN,Canada,DENT,6.57
2020,SH_MED_DEN,Canada,PHAR,11.05
2021,SH_MED_DEN,Canada,PHAR,10.55
2021,SH_MED_DEN,Canada,PHYS,24.64
2021,SH_MED_DEN,Canada,NURSMID,102.7
2002,SH_MED_DEN,Chile,DENT,0.01
2002,SH_MED_DEN,Chile,PHYS,8.92
2003,SH_MED_DEN,Chile,PHYS,9.46
2003,SH_MED_DEN,Chile,DENT,0.01
2004,SH_MED_DEN,Chile,DENT,0.01
2004,SH_MED_DEN,Chile,PHYS,9.84
2005,SH_MED_DEN,Chile,PHYS,9.81
2005,SH_MED_DEN,Chile,DENT,0.01
2006,SH_MED_DEN,Chile,PHYS,10.42
2006,SH_MED_DEN,Chile,DENT,0.01
2007,SH_MED_DEN,Chile,PHYS,10.39
2007,SH_MED_DEN,Chile,DENT,0.01
2008,SH_MED_DEN,Chile,DENT,0.01
2008,SH_MED_DEN,Chile,PHYS,10.42
2009,SH_MED_DEN,Chile,PHYS,10.33
2009,SH_MED_DEN,Chile,DENT,0.01
2010,SH_MED_DEN,Chile,DENT,5.63
2010,SH_MED_DEN,Chile,PHAR,2.65
2010,SH_MED_DEN,Chile,NURSMID,12.71
2010,SH_MED_DEN,Chile,PHYS,14.38
2011,SH_MED_DEN,Chile,NURSMID,15.43
2003,SH_MED_DEN,Azerbaijan,PHYS,35.08
2003,SH_MED_DEN,Azerbaijan,PHAR,2.18
2003,SH_MED_DEN,Azerbaijan,DENT,2.69
2004,SH_MED_DEN,Azerbaijan,NURSMID,80.89
2004,SH_MED_DEN,Azerbaijan,DENT,2.71
2004,SH_MED_DEN,Azerbaijan,PHAR,2.03
2004,SH_MED_DEN,Azerbaijan,PHYS,35.12
2005,SH_MED_DEN,Azerbaijan,PHYS,35.33
2005,SH_MED_DEN,Azerbaijan,PHAR,2.01
2020,SH_MED_DEN,Hungary,NURSMID,68.18
2020,SH_MED_DEN,Hungary,PHYS,31.39
2020,SH_MED_DEN,Hungary,DENT,6.75
2021,SH_MED_DEN,Hungary,PHYS,32.91
2021,SH_MED_DEN,Hungary,NURSMID,66.04
2000,SH_MED_DEN,Iceland,DENT,10.05
2000,SH_MED_DEN,Iceland,NURSMID,139.75
2000,SH_MED_DEN,Iceland,PHAR,9.59
2000,SH_MED_DEN,Iceland,PHYS,34.39
2011,SH_MED_DEN,Chile,PHAR,2.7
2011,SH_MED_DEN,Chile,PHYS,15.91
2011,SH_MED_DEN,Chile,DENT,5.96
2012,SH_MED_DEN,Chile,DENT,7.09
2012,SH_MED_DEN,Chile,PHAR,3.01
2012,SH_MED_DEN,Chile,PHYS,17.53
2012,SH_MED_DEN,Chile,NURSMID,18.55
2013,SH_MED_DEN,Chile,PHAR,3.46
2013,SH_MED_DEN,Chile,PHYS,18.87
2005,SH_MED_DEN,Azerbaijan,DENT,2.76
2005,SH_MED_DEN,Azerbaijan,NURSMID,81.3
2006,SH_MED_DEN,Azerbaijan,PHAR,1.91
2006,SH_MED_DEN,Azerbaijan,PHYS,35.11
2006,SH_MED_DEN,Azerbaijan,NURSMID,81.32
2006,SH_MED_DEN,Azerbaijan,DENT,2.77
2007,SH_MED_DEN,Azerbaijan,PHYS,36.48
2007,SH_MED_DEN,Azerbaijan,PHAR,1.81
2007,SH_MED_DEN,Azerbaijan,DENT,2.84
2001,SH_MED_DEN,Iceland,NURSMID,138.99
2001,SH_MED_DEN,Iceland,DENT,9.99
2001,SH_MED_DEN,Iceland,PHYS,34.71
2001,SH_MED_DEN,Iceland,PHAR,9.89
2002,SH_MED_DEN,Iceland,PHAR,10.84
2002,SH_MED_DEN,Iceland,PHYS,35.75
2002,SH_MED_DEN,Iceland,NURSMID,139.82
2002,SH_MED_DEN,Iceland,DENT,10.01
2003,SH_MED_DEN,Iceland,PHYS,36.13
2013,SH_MED_DEN,Chile,NURSMID,21.74
2013,SH_MED_DEN,Chile,DENT,8.22
2014,SH_MED_DEN,Chile,PHAR,4.14
2014,SH_MED_DEN,Chile,DENT,9.11
2014,SH_MED_DEN,Chile,NURSMID,92.68
2014,SH_MED_DEN,Chile,PHYS,20.36
2015,SH_MED_DEN,Chile,PHYS,21.59
2015,SH_MED_DEN,Chile,NURSMID,110.39
2015,SH_MED_DEN,Chile,DENT,10.1
2015,SH_MED_DEN,Chile,PHAR,4.46
2016,SH_MED_DEN,Chile,NURSMID,113.23
2016,SH_MED_DEN,Chile,PHYS,23.1
2016,SH_MED_DEN,Chile,PHAR,4.73
2016,SH_MED_DEN,Chile,DENT,10.57
2017,SH_MED_DEN,Chile,PHYS,24.55
2017,SH_MED_DEN,Chile,PHAR,4.97
2017,SH_MED_DEN,Chile,NURSMID,122.05
2017,SH_MED_DEN,Chile,DENT,11.92
2018,SH_MED_DEN,Chile,DENT,12.57
2018,SH_MED_DEN,Chile,NURSMID,133.45
2018,SH_MED_DEN,Chile,PHAR,5.27
2018,SH_MED_DEN,Chile,PHYS,25.95
2019,SH_MED_DEN,Chile,PHYS,26.49
2019,SH_MED_DEN,Chile,NURSMID,36.06
2019,SH_MED_DEN,Chile,PHAR,5.5
2019,SH_MED_DEN,Chile,DENT,12.95
2020,SH_MED_DEN,Chile,NURSMID,43.06
2007,SH_MED_DEN,Azerbaijan,NURSMID,80.91
2008,SH_MED_DEN,Azerbaijan,NURSMID,80.0
2008,SH_MED_DEN,Azerbaijan,PHAR,1.67
2008,SH_MED_DEN,Azerbaijan,DENT,2.76
2008,SH_MED_DEN,Azerbaijan,PHYS,36.12
2009,SH_MED_DEN,Azerbaijan,DENT,2.69
2009,SH_MED_DEN,Azerbaijan,PHAR,1.81
2009,SH_MED_DEN,Azerbaijan,NURSMID,79.34
2009,SH_MED_DEN,Azerbaijan,PHYS,35.96
2020,SH_MED_DEN,Chile,PHYS,28.08
2020,SH_MED_DEN,Chile,DENT,13.83
2020,SH_MED_DEN,Chile,PHAR,6.02
2021,SH_MED_DEN,Chile,PHAR,6.3
2021,SH_MED_DEN,Chile,DENT,14.81
2021,SH_MED_DEN,Chile,PHYS,29.73
2021,SH_MED_DEN,Chile,NURSMID,46.01
2000,SH_MED_DEN,China,PHAR,3.28
2000,SH_MED_DEN,China,PHYS,12.68
2003,SH_MED_DEN,Iceland,DENT,9.94
2003,SH_MED_DEN,Iceland,PHAR,10.94
2003,SH_MED_DEN,Iceland,NURSMID,143.69
2004,SH_MED_DEN,Iceland,PHAR,10.98
2004,SH_MED_DEN,Iceland,DENT,9.82
2004,SH_MED_DEN,Iceland,PHYS,36.12
2004,SH_MED_DEN,Iceland,NURSMID,144.43
2005,SH_MED_DEN,Iceland,NURSMID,147.41
2005,SH_MED_DEN,Iceland,PHYS,36.09
2000,SH_MED_DEN,China,NURSMID,10.02
2001,SH_MED_DEN,China,PHYS,12.87
2001,SH_MED_DEN,China,NURSMID,10.11
2002,SH_MED_DEN,China,NURSMID,9.73
2002,SH_MED_DEN,China,PHAR,2.79
2002,SH_MED_DEN,China,PHYS,11.43
2003,SH_MED_DEN,China,PHYS,11.9
2003,SH_MED_DEN,China,NURSMID,9.82
2004,SH_MED_DEN,China,PHAR,2.74
2005,SH_MED_DEN,Iceland,DENT,9.73
2005,SH_MED_DEN,Iceland,PHAR,11.18
2006,SH_MED_DEN,Iceland,PHAR,11.35
2006,SH_MED_DEN,Iceland,DENT,9.41
2006,SH_MED_DEN,Iceland,PHYS,36.01
2006,SH_MED_DEN,Iceland,NURSMID,144.92
2007,SH_MED_DEN,Iceland,NURSMID,147.68
2007,SH_MED_DEN,Iceland,PHYS,36.1
2007,SH_MED_DEN,Iceland,DENT,9.43
2010,SH_MED_DEN,Azerbaijan,NURSMID,71.88
2010,SH_MED_DEN,Azerbaijan,PHAR,1.98
2010,SH_MED_DEN,Azerbaijan,DENT,2.67
2010,SH_MED_DEN,Azerbaijan,PHYS,35.82
2011,SH_MED_DEN,Azerbaijan,PHYS,33.59
2011,SH_MED_DEN,Azerbaijan,DENT,2.57
2011,SH_MED_DEN,Azerbaijan,PHAR,1.77
2011,SH_MED_DEN,Azerbaijan,NURSMID,68.01
2012,SH_MED_DEN,Azerbaijan,NURSMID,66.42
2007,SH_MED_DEN,Iceland,PHAR,5.13
2008,SH_MED_DEN,Iceland,NURSMID,156.63
2008,SH_MED_DEN,Iceland,PHAR,5.16
2008,SH_MED_DEN,Iceland,DENT,9.47
2008,SH_MED_DEN,Iceland,PHYS,36.39
2009,SH_MED_DEN,Iceland,NURSMID,160.63
2009,SH_MED_DEN,Iceland,PHYS,36.45
2009,SH_MED_DEN,Iceland,DENT,9.22
2009,SH_MED_DEN,Iceland,PHAR,5.11
2004,SH_MED_DEN,China,PHYS,12.2
2004,SH_MED_DEN,China,NURSMID,10.09
2005,SH_MED_DEN,China,PHYS,12.44
2005,SH_MED_DEN,China,NURSMID,10.34
2005,SH_MED_DEN,China,DENT,0.39
2005,SH_MED_DEN,China,PHAR,2.68
2006,SH_MED_DEN,China,PHAR,2.69
2006,SH_MED_DEN,China,NURSMID,10.86
2006,SH_MED_DEN,China,PHYS,12.78
2012,SH_MED_DEN,Azerbaijan,PHAR,1.76
2012,SH_MED_DEN,Azerbaijan,DENT,2.59
2012,SH_MED_DEN,Azerbaijan,PHYS,34.09
2013,SH_MED_DEN,Azerbaijan,PHYS,33.73
2013,SH_MED_DEN,Azerbaijan,PHAR,2.03
2013,SH_MED_DEN,Azerbaijan,NURSMID,64.84
2013,SH_MED_DEN,Azerbaijan,DENT,2.55
2014,SH_MED_DEN,Azerbaijan,PHYS,33.62
2014,SH_MED_DEN,Azerbaijan,DENT,2.67
2010,SH_MED_DEN,Iceland,PHAR,4.87
2010,SH_MED_DEN,Iceland,DENT,9.39
2010,SH_MED_DEN,Iceland,PHYS,35.88
2010,SH_MED_DEN,Iceland,NURSMID,153.16
2011,SH_MED_DEN,Iceland,DENT,8.86
2011,SH_MED_DEN,Iceland,PHAR,4.92
2011,SH_MED_DEN,Iceland,NURSMID,156.78
2011,SH_MED_DEN,Iceland,PHYS,35.01
2012,SH_MED_DEN,Iceland,PHAR,4.64
2007,SH_MED_DEN,China,PHAR,2.46
2007,SH_MED_DEN,China,PHYS,12.98
2007,SH_MED_DEN,China,NURSMID,11.8
2008,SH_MED_DEN,China,PHAR,2.49
2008,SH_MED_DEN,China,NURSMID,12.62
2008,SH_MED_DEN,China,PHYS,13.47
2009,SH_MED_DEN,China,NURSMID,13.85
2009,SH_MED_DEN,China,PHYS,14.23
2009,SH_MED_DEN,China,PHAR,2.55
2012,SH_MED_DEN,Iceland,DENT,8.41
2012,SH_MED_DEN,Iceland,PHYS,35.58
2012,SH_MED_DEN,Iceland,NURSMID,159.47
2013,SH_MED_DEN,Iceland,PHYS,36.05
2013,SH_MED_DEN,Iceland,NURSMID,162.56
2013,SH_MED_DEN,Iceland,DENT,8.4
2013,SH_MED_DEN,Iceland,PHAR,4.72
2014,SH_MED_DEN,Iceland,DENT,8.36
2014,SH_MED_DEN,Iceland,NURSMID,161.45
2014,SH_MED_DEN,Iceland,PHYS,36.42
2014,SH_MED_DEN,Iceland,PHAR,4.67
2015,SH_MED_DEN,Iceland,PHYS,37.72
2015,SH_MED_DEN,Iceland,NURSMID,162.7
2015,SH_MED_DEN,Iceland,PHAR,4.83
2015,SH_MED_DEN,Iceland,DENT,8.4
2016,SH_MED_DEN,Iceland,PHAR,4.95
2016,SH_MED_DEN,Iceland,DENT,8.28
2016,SH_MED_DEN,Iceland,NURSMID,149.99
2010,SH_MED_DEN,China,PHAR,2.63
2010,SH_MED_DEN,China,PHYS,14.63
2010,SH_MED_DEN,China,NURSMID,15.19
2011,SH_MED_DEN,China,DENT,0.88
2011,SH_MED_DEN,China,PHYS,14.89
2011,SH_MED_DEN,China,PHAR,2.68
2011,SH_MED_DEN,China,NURSMID,16.54
2012,SH_MED_DEN,China,PHAR,2.76
2012,SH_MED_DEN,China,PHYS,15.65
2014,SH_MED_DEN,Azerbaijan,NURSMID,62.78
2014,SH_MED_DEN,Azerbaijan,PHAR,1.95
2015,SH_MED_DEN,Azerbaijan,PHYS,32.91
2016,SH_MED_DEN,Azerbaijan,PHYS,32.27
2017,SH_MED_DEN,Azerbaijan,PHYS,31.64
2018,SH_MED_DEN,Azerbaijan,PHYS,32.0
2019,SH_MED_DEN,Azerbaijan,PHYS,31.11
2000,SH_MED_DEN,Australia,PHAR,8.05
2000,SH_MED_DEN,Australia,DENT,4.57
2016,SH_MED_DEN,Iceland,PHYS,38.49
2017,SH_MED_DEN,Iceland,NURSMID,152.88
2017,SH_MED_DEN,Iceland,PHYS,38.71
2017,SH_MED_DEN,Iceland,PHAR,4.98
2017,SH_MED_DEN,Iceland,DENT,8.12
2018,SH_MED_DEN,Iceland,DENT,8.19
2018,SH_MED_DEN,Iceland,PHAR,5.16
2018,SH_MED_DEN,Iceland,PHYS,38.91
2018,SH_MED_DEN,Iceland,NURSMID,154.69
2012,SH_MED_DEN,China,NURSMID,18.27
2013,SH_MED_DEN,China,NURSMID,20.23
2013,SH_MED_DEN,China,PHYS,16.61
2013,SH_MED_DEN,China,PHAR,2.88
2014,SH_MED_DEN,China,NURSMID,21.69
2014,SH_MED_DEN,China,PHAR,2.96
2014,SH_MED_DEN,China,PHYS,17.15
2015,SH_MED_DEN,China,NURSMID,23.26
2015,SH_MED_DEN,China,PHYS,18.0
2019,SH_MED_DEN,Iceland,DENT,7.9
2019,SH_MED_DEN,Iceland,NURSMID,161.5
2019,SH_MED_DEN,Iceland,PHYS,38.91
2019,SH_MED_DEN,Iceland,PHAR,5.38
2020,SH_MED_DEN,Iceland,DENT,7.91
2020,SH_MED_DEN,Iceland,PHAR,5.67
