Year,SeriesCode,Country,Education level,Quantile,Sex,Value
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 2,Both sexes,0.98043
2000,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Both sexes,0.8619
2000,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Both sexes,0.9192
2000,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Both sexes,0.551
2002,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Both sexes,0.96635
2002,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Male,0.88483
2002,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Female,0.8805
2002,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Both sexes,0.88197
2002,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Male,0.55009
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 4,Male,0.0
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 4,Female,0.0
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 2,Male,0.95141
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 2,Female,1.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 5 (richest),Female,0.0
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 2,Both sexes,1.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 5 (richest),Both sexes,0.0
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 2,Male,1.0
2000,SE_ALP_CPLR,Albania,PRIMAR,Total or no breakdown,Both sexes,0.99633
2000,SE_ALP_CPLR,Albania,UPPSEC,Total or no breakdown,Both sexes,0.53636
2000,SE_ALP_CPLR,Albania,LOWSEC,Total or no breakdown,Both sexes,0.95408
2005,SE_ALP_CPLR,Albania,LOWSEC,Total or no breakdown,Both sexes,1.02481
2005,SE_ALP_CPLR,Albania,UPPSEC,Total or no breakdown,Both sexes,0.51224
2005,SE_ALP_CPLR,Albania,PRIMAR,Total or no breakdown,Both sexes,1.00917
2009,SE_ALP_CPLR,Albania,PRIMAR,Quantile 2,Female,0.0
2009,SE_ALP_CPLR,Albania,UPPSEC,Total or no breakdown,Female,0.31823
2009,SE_ALP_CPLR,Albania,PRIMAR,Quantile 2,Both sexes,1.10293
2006,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.92323
2006,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.9698
2006,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,1.02717
2007,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,0.99789
2007,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.95369
2007,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.92152
2008,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.93545
2008,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.98499
2008,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,0.9987
2009,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,0.9987
2002,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Both sexes,0.57872
2002,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Female,0.97238
2002,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Female,0.61236
2002,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Male,0.96156
2003,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Both sexes,0.9096
2003,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Both sexes,0.9669
2003,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Both sexes,0.6082
2006,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Both sexes,0.7646
2006,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Both sexes,0.9903
2006,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Both sexes,0.9681
2009,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Both sexes,0.9744
2009,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Both sexes,0.983
2009,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Both sexes,0.8569
2011,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Both sexes,0.8704
2011,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Both sexes,0.9992
2011,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Both sexes,0.9806
2013,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Both sexes,0.9775
2009,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.96214
2009,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.89972
2010,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.9612
2010,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,0.9937
2010,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.88588
2011,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,0.9952
2011,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.97247
2011,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.91651
2012,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.87758
2012,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.98806
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 5 (richest),Female,0.0
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 5 (richest),Both sexes,0.0
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 3,Both sexes,0.99061
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 2,Female,1.06994
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 3,Male,0.0
2011,SE_ALP_CPLR,Armenia,PRIMAR,Total or no breakdown,Male,0.99456
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 4,Both sexes,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 2,Both sexes,1.11855
2013,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Both sexes,0.9982
2013,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Both sexes,0.8762
2015,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Both sexes,0.9981
2015,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Both sexes,0.936
2015,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Both sexes,0.9919
2017,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Both sexes,0.9843
2017,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Both sexes,0.998
2017,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Both sexes,0.9104
2020,SE_ALP_CPLR,Chile,UPPSEC,Total or no breakdown,Both sexes,0.9777
2012,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,1.00431
2013,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,1.0024
2013,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,1.00386
2013,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.89909
2014,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.81856
2014,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.9815
2014,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,1.0
2015,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,1.0
2015,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.98424
2015,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.81844
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 4,Female,0.0
2011,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 3,Female,0.0
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 4,Male,0.0
2011,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 3,Both sexes,1.00196
2011,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 1 (poorest),Both sexes,0.0
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 3,Both sexes,0.65633
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 4,Male,0.0
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 3,Female,1.03289
2016,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.83023
2016,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.98743
2016,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,0.9964
2017,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,0.9977
2017,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.99587
2017,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.939
2018,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.92453
2018,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,1.00474
2018,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,0.99709
2019,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.93393
2020,SE_ALP_CPLR,Chile,PRIMAR,Total or no breakdown,Both sexes,0.9835
2020,SE_ALP_CPLR,Chile,LOWSEC,Total or no breakdown,Both sexes,0.9753
2010,SE_ALP_CPLR,China,PRIMAR,Total or no breakdown,Both sexes,0.95181
2010,SE_ALP_CPLR,China,LOWSEC,Total or no breakdown,Both sexes,0.8521
2010,SE_ALP_CPLR,China,UPPSEC,Total or no breakdown,Both sexes,0.46361
2012,SE_ALP_CPLR,China,UPPSEC,Total or no breakdown,Both sexes,0.68699
2012,SE_ALP_CPLR,China,LOWSEC,Total or no breakdown,Both sexes,0.83851
2012,SE_ALP_CPLR,China,PRIMAR,Total or no breakdown,Both sexes,0.94036
2014,SE_ALP_CPLR,China,PRIMAR,Total or no breakdown,Both sexes,0.9918
2014,SE_ALP_CPLR,China,LOWSEC,Total or no breakdown,Both sexes,0.87927
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 4,Female,0.0
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 4,Both sexes,0.0
2016,SE_ALP_CPLR,Armenia,PRIMAR,Total or no breakdown,Male,1.01035
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 3,Male,1.02276
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 2,Female,0.74662
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 3,Both sexes,0.99491
2016,SE_ALP_CPLR,Armenia,PRIMAR,Total or no breakdown,Female,0.99757
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 5 (richest),Female,0.0
2014,SE_ALP_CPLR,China,UPPSEC,Total or no breakdown,Both sexes,0.7045
2016,SE_ALP_CPLR,China,UPPSEC,Total or no breakdown,Both sexes,0.79705
2016,SE_ALP_CPLR,China,LOWSEC,Total or no breakdown,Both sexes,0.88324
2016,SE_ALP_CPLR,China,PRIMAR,Total or no breakdown,Both sexes,0.95228
2018,SE_ALP_CPLR,China,LOWSEC,Total or no breakdown,Female,0.95651
2018,SE_ALP_CPLR,China,UPPSEC,Total or no breakdown,Female,0.94535
2018,SE_ALP_CPLR,China,PRIMAR,Total or no breakdown,Male,0.99089
2018,SE_ALP_CPLR,China,PRIMAR,Total or no breakdown,Both sexes,0.98042
2018,SE_ALP_CPLR,China,LOWSEC,Total or no breakdown,Both sexes,0.8834
2019,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,1.0015
2019,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.99456
2020,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.91434
2020,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,1.00122
2020,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,1.0095
2021,SE_ALP_CPLR,Estonia,PRIMAR,Total or no breakdown,Both sexes,1.0109
2021,SE_ALP_CPLR,Estonia,LOWSEC,Total or no breakdown,Both sexes,0.99609
2021,SE_ALP_CPLR,Estonia,UPPSEC,Total or no breakdown,Both sexes,0.93209
2006,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.98219
2006,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.00361
2018,SE_ALP_CPLR,China,UPPSEC,Total or no breakdown,Male,0.8644
2018,SE_ALP_CPLR,China,UPPSEC,Total or no breakdown,Both sexes,0.90842
2018,SE_ALP_CPLR,China,PRIMAR,Total or no breakdown,Female,0.96786
2018,SE_ALP_CPLR,China,LOWSEC,Total or no breakdown,Male,0.82826
2000,SE_ALP_CPLR,Colombia,PRIMAR,Total or no breakdown,Both sexes,0.76315
2000,SE_ALP_CPLR,Colombia,LOWSEC,Total or no breakdown,Both sexes,0.39912
2000,SE_ALP_CPLR,Colombia,UPPSEC,Total or no breakdown,Both sexes,0.29747
2002,SE_ALP_CPLR,Colombia,UPPSEC,Total or no breakdown,Both sexes,0.4215
2002,SE_ALP_CPLR,Colombia,LOWSEC,Total or no breakdown,Both sexes,0.4824
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 2,Male,1.0
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 5 (richest),Both sexes,0.63301
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 2,Both sexes,0.99667
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 4,Both sexes,0.0
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 2,Female,0.0
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 2,Male,0.0
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 4,Female,0.0
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 1 (poorest),Both sexes,1.05013
2002,SE_ALP_CPLR,Colombia,PRIMAR,Total or no breakdown,Both sexes,0.7667
2003,SE_ALP_CPLR,Colombia,PRIMAR,Total or no breakdown,Both sexes,0.7723
2003,SE_ALP_CPLR,Colombia,LOWSEC,Total or no breakdown,Both sexes,0.4857
2003,SE_ALP_CPLR,Colombia,UPPSEC,Total or no breakdown,Both sexes,0.4393
2004,SE_ALP_CPLR,Colombia,UPPSEC,Total or no breakdown,Both sexes,0.4217
2004,SE_ALP_CPLR,Colombia,LOWSEC,Total or no breakdown,Both sexes,0.4986
2004,SE_ALP_CPLR,Colombia,PRIMAR,Total or no breakdown,Both sexes,0.8037
2005,SE_ALP_CPLR,Colombia,PRIMAR,Total or no breakdown,Both sexes,0.8136
2005,SE_ALP_CPLR,Colombia,UPPSEC,Quantile 4,Male,1.23572
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 1 (poorest),Female,0.0
2016,SE_ALP_CPLR,Armenia,UPPSEC,Total or no breakdown,Male,0.67928
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 4,Both sexes,0.0
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 5 (richest),Male,0.0
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 4,Male,0.0
2016,SE_ALP_CPLR,Armenia,LOWSEC,Total or no breakdown,Both sexes,0.9569
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 1 (poorest),Both sexes,0.94345
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 4,Male,0.0
2006,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2007,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2007,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.0001
2007,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.98494
2008,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.99338
2008,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.0028
2008,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2009,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2009,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.0013
2009,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,1.00734
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 2,Both sexes,0.99656
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 1 (poorest),Male,0.0
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 1 (poorest),Both sexes,0.91621
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 1 (poorest),Female,0.0
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 1 (poorest),Male,0.0
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 5 (richest),Female,0.0
2016,SE_ALP_CPLR,Armenia,LOWSEC,Total or no breakdown,Male,0.91599
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 5 (richest),Male,0.0
2005,SE_ALP_CPLR,Colombia,LOWSEC,Total or no breakdown,Both sexes,0.488
2005,SE_ALP_CPLR,Colombia,LOWSEC,Total or no breakdown,Male,0.42898
2005,SE_ALP_CPLR,Colombia,PRIMAR,Quantile 5 (richest),Both sexes,1.01813
2005,SE_ALP_CPLR,Colombia,UPPSEC,Quantile 5 (richest),Male,0.0
2005,SE_ALP_CPLR,Colombia,UPPSEC,Quantile 1 (poorest),Female,0.709
2005,SE_ALP_CPLR,Colombia,PRIMAR,Quantile 4,Female,1.00979
2005,SE_ALP_CPLR,Colombia,LOWSEC,Quantile 2,Both sexes,0.827
2005,SE_ALP_CPLR,Colombia,LOWSEC,Quantile 2,Male,0.73604
2010,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.94273
2010,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,0.99429
2010,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2011,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2011,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.00501
2011,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,1.02332
2012,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.9925
2012,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.0046
2012,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2013,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 5 (richest),Both sexes,0.0
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 4,Female,0.0
2016,SE_ALP_CPLR,Armenia,LOWSEC,Total or no breakdown,Female,0.98316
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 3,Both sexes,1.02695
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 3,Female,0.6943
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 1 (poorest),Male,0.0
2016,SE_ALP_CPLR,Armenia,PRIMAR,Quantile 1 (poorest),Female,0.0
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 3,Male,0.62483
2013,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.0039
2013,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.96494
2014,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.98826
2014,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,0.99649
2014,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2015,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2015,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.01545
2015,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.98307
2016,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.99191
2016,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,0.99478
2005,SE_ALP_CPLR,Colombia,LOWSEC,Quantile 2,Female,0.9115
2005,SE_ALP_CPLR,Colombia,PRIMAR,Quantile 4,Both sexes,0.99435
2005,SE_ALP_CPLR,Colombia,PRIMAR,Total or no breakdown,Female,0.82729
2005,SE_ALP_CPLR,Colombia,PRIMAR,Quantile 2,Female,1.04775
2005,SE_ALP_CPLR,Colombia,UPPSEC,Quantile 5 (richest),Female,0.0
2005,SE_ALP_CPLR,Colombia,PRIMAR,Quantile 2,Both sexes,1.01565
2005,SE_ALP_CPLR,Colombia,PRIMAR,Quantile 3,Male,1.02105
2005,SE_ALP_CPLR,Colombia,UPPSEC,Quantile 2,Female,0.79344
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 2,Both sexes,0.76949
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 2,Male,0.84368
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 3,Female,1.0
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 3,Male,0.97461
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 5 (richest),Both sexes,0.0
2016,SE_ALP_CPLR,Armenia,LOWSEC,Quantile 5 (richest),Male,0.0
2016,SE_ALP_CPLR,Armenia,UPPSEC,Quantile 5 (richest),Female,0.0
2016,SE_ALP_CPLR,Armenia,PRIMAR,Total or no breakdown,Both sexes,1.00475
2016,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2017,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.92244
2017,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2017,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.00362
2018,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.99411
2018,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.0071
2018,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2019,SE_ALP_CPLR,Finland,PRIMAR,Total or no breakdown,Both sexes,1.0
2019,SE_ALP_CPLR,Finland,LOWSEC,Total or no breakdown,Both sexes,1.00141
2019,SE_ALP_CPLR,Finland,UPPSEC,Total or no breakdown,Both sexes,0.9726
2005,SE_ALP_CPLR,Colombia,UPPSEC,Quantile 2,Both sexes,0.76465
2005,SE_ALP_CPLR,Colombia,PRIMAR,Total or no breakdown,Male,0.73401
2005,SE_ALP_CPLR,Colombia,UPPSEC,Quantile 3,Male,1.10509
2005,SE_ALP_CPLR,Colombia,LOWSEC,Quantile 4,Male,0.95138
2005,SE_ALP_CPLR,Colombia,LOWSEC,Quantile 4,Female,0.94469
2005,SE_ALP_CPLR,Colombia,LOWSEC,Quantile 1 (poorest),Both sexes,0.62167
2005,SE_ALP_CPLR,Colombia,LOWSEC,Quantile 1 (poorest),Male,0.5572
2005,SE_ALP_CPLR,Colombia,PRIMAR,Quantile 1 (poorest),Male,0.98206
