Year,SeriesCode,Country,Disability status,Sex,Value
2005,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,10.6
2006,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,8.43
2006,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,24.3
2006,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,7.11
2006,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,5.45
2006,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,6.93
2006,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,18.59
2006,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,8.71
2006,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,5.37
2006,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,10.96
2007,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,3.24
2007,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,5.18
2007,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,7.01
2007,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,17.85
2007,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,3.2
2007,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,5.09
2007,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,6.86
2007,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,11.87
2008,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,7.63
2008,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,7.42
2008,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,2.57
2008,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,2.62
2008,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,14.56
2008,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,5.18
2008,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,5.05
2008,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,23.87
2009,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,16.97
2009,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,7.46
2009,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,12.27
2009,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,18.39
2004,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Female,25.06
2004,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Male,6.9
2004,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Both sexes,6.11
2004,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Male,23.65
2004,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Female,6.12
2004,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Female,6.86
2004,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Both sexes,6.88
2004,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Male,6.1
2004,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Both sexes,24.21
2009,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,12.23
2009,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,7.48
2009,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,14.31
2009,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,16.94
2010,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,13.18
2010,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,21.15
2010,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,21.05
2010,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,26.45
2010,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,17.24
2010,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,13.35
2010,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,24.37
2010,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,17.1
2010,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,25.52
2011,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,12.18
2011,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,16.94
2011,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,20.84
2011,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,12.3
2011,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,14.83
2005,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Male,5.15
2005,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Female,5.94
2005,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Both sexes,5.8
2005,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Male,4.53
2005,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Female,6.66
2005,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Both sexes,5.14
2005,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Female,26.21
2005,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Both sexes,22.42
2005,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Male,19.88
2011,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,18.98
2011,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,14.79
2011,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,9.82
2011,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,9.61
2012,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,13.43
2012,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,11.31
2012,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,9.0
2012,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,10.16
2012,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,9.41
2006,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Both sexes,7.28
2006,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Both sexes,8.07
2006,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Male,30.28
2006,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Female,8.69
2006,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Male,6.61
2006,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Both sexes,28.25
2006,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Female,8.15
2006,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Male,7.6
2006,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Female,24.82
2007,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,4.44
2007,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,5.46
2007,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,5.91
2007,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,5.43
2007,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,4.47
2007,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,5.9
2008,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,4.01
2008,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,4.02
2008,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,5.72
2018,SL_TLF_UEMDIS_19ICLS,United Kingdom of Great Britain and Northern Ireland,Persons with disability,Both sexes,12.42
2018,SL_TLF_UEMDIS_19ICLS,United Kingdom of Great Britain and Northern Ireland,Total or no breakdown,Both sexes,3.7
2018,SL_TLF_UEMDIS_19ICLS,United Kingdom of Great Britain and Northern Ireland,Total or no breakdown,Male,4.02
2018,SL_TLF_UEMDIS_19ICLS,United Kingdom of Great Britain and Northern Ireland,Persons without disability,Female,2.98
2018,SL_TLF_UEMDIS_19ICLS,United Kingdom of Great Britain and Northern Ireland,Persons with disability,Male,14.29
2018,SL_TLF_UEMDIS_19ICLS,United Kingdom of Great Britain and Northern Ireland,Persons without disability,Both sexes,3.33
2018,SL_TLF_UEMDIS_19ICLS,United Kingdom of Great Britain and Northern Ireland,Persons with disability,Female,10.83
2018,SL_TLF_UEMDIS_19ICLS,United Kingdom of Great Britain and Northern Ireland,Total or no breakdown,Female,3.35
2012,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,8.99
2012,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,11.46
2012,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,10.23
2012,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,18.45
2013,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,8.29
2013,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,11.64
2013,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,9.96
2013,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,9.95
2013,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,8.28
2013,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,8.01
2013,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,13.2
2013,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,11.61
2013,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,10.24
2014,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,7.93
2014,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,9.31
2014,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,7.72
2014,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,5.84
2014,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,14.64
2008,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,5.92
2008,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Male,42.35
2008,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Both sexes,36.03
2008,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,5.17
2008,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,5.3
2009,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,6.93
2009,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,6.56
2009,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,6.72
2009,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,6.57
2014,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,11.63
2014,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,7.61
2014,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,5.89
2014,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,9.48
2015,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,6.83
2015,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,4.98
2015,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,4.87
2015,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,6.92
2015,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,10.15
2007,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Both sexes,6.85
2007,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Male,5.92
2007,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Male,33.71
2007,SL_TLF_UEMDIS_19ICLS,Austria,Persons without disability,Female,8.07
2007,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Female,8.74
2007,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Male,7.15
2007,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Female,25.41
2007,SL_TLF_UEMDIS_19ICLS,Austria,Persons with disability,Both sexes,30.39
2007,SL_TLF_UEMDIS_19ICLS,Austria,Total or no breakdown,Both sexes,7.84
2009,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Male,22.42
2009,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,6.81
2009,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,6.67
2009,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Both sexes,18.33
2010,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,4.4
2010,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Male,20.1
2010,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,6.78
2010,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Both sexes,16.79
2010,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,6.9
2010,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,5.96
2010,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,4.46
2010,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,6.05
2011,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,5.52
2011,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,4.32
2011,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,4.31
2011,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,5.54
2011,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,6.21
2011,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,6.18
2015,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,8.77
2015,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,8.74
2015,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,8.69
2015,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,11.54
2016,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,6.76
2016,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,9.11
2016,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,6.01
2016,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,7.53
2016,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,7.47
2012,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,6.44
2012,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,3.44
2012,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,6.46
2012,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,5.37
2012,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,3.52
2012,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,5.4
2013,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Male,17.83
2013,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,3.24
2013,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Both sexes,17.76
2016,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,6.07
2016,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,8.45
2016,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,6.82
2016,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,9.84
2017,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,9.8
2017,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,7.05
2017,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,5.65
2017,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,7.23
2017,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,4.18
2017,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,4.26
2017,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,5.78
2017,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,13.67
2017,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,6.54
2018,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,10.77
2018,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,5.43
2018,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,7.26
2018,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,6.29
2018,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,5.98
2013,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,5.34
2013,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,6.63
2013,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,6.74
2013,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,3.09
2013,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,5.46
2014,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Male,25.44
2014,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,6.51
2014,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,2.46
2014,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,5.0
2018,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,4.96
2018,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,4.85
2018,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,5.64
2018,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,15.05
2019,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,12.33
2019,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,4.36
2019,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,4.66
2019,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,5.02
2019,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,6.5
2014,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,4.89
2014,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Both sexes,20.95
2014,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,6.35
2014,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,2.46
2015,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,2.74
2015,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,5.79
2015,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,5.7
2015,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,4.62
2015,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,4.55
2019,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,4.48
2019,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,20.28
2019,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,5.55
2019,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,4.94
2020,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,5.62
2020,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,6.71
2020,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,6.18
2020,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,9.32
2020,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,6.9
2015,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,2.71
2016,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Both sexes,30.4
2016,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,2.17
2016,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Male,39.01
2016,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,3.59
2016,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,4.2
2016,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,3.41
2016,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,2.18
2016,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,4.5
2020,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,7.2
2020,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,11.47
2020,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,5.69
2020,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,6.31
2021,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Male,8.19
2021,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Male,7.66
2021,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Both sexes,18.25
2021,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Female,7.48
2021,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Both sexes,8.01
2017,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,3.62
2017,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,2.86
2017,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,1.89
2017,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,3.57
2017,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,2.94
2017,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,1.78
2018,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,1.3
2018,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,2.15
2018,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,2.15
2021,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Female,14.99
2021,SL_TLF_UEMDIS_19ICLS,Estonia,Persons without disability,Both sexes,7.57
2021,SL_TLF_UEMDIS_19ICLS,Estonia,Persons with disability,Male,21.81
2021,SL_TLF_UEMDIS_19ICLS,Estonia,Total or no breakdown,Female,7.81
2004,SL_TLF_UEMDIS_19ICLS,Finland,Total or no breakdown,Male,11.78
2004,SL_TLF_UEMDIS_19ICLS,Finland,Persons with disability,Male,25.14
2004,SL_TLF_UEMDIS_19ICLS,Finland,Total or no breakdown,Both sexes,11.09
2004,SL_TLF_UEMDIS_19ICLS,Finland,Persons without disability,Male,11.29
2004,SL_TLF_UEMDIS_19ICLS,Finland,Persons without disability,Both sexes,10.69
2018,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,1.81
2018,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,1.81
2018,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,1.29
2019,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,1.68
2019,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,1.36
2019,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,1.38
2019,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,1.56
2019,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,1.67
2019,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,1.54
2020,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Female,2.46
2020,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Female,2.27
2020,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Both sexes,2.74
2020,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Male,2.86
2020,SL_TLF_UEMDIS_19ICLS,Malta,Persons with disability,Both sexes,15.74
2020,SL_TLF_UEMDIS_19ICLS,Malta,Total or no breakdown,Male,2.93
2020,SL_TLF_UEMDIS_19ICLS,Malta,Persons without disability,Both sexes,2.63
2018,SL_TLF_UEMDIS_19ICLS,Moldova,Persons without disability,Female,3.17
2018,SL_TLF_UEMDIS_19ICLS,Moldova,Total or no breakdown,Both sexes,4.11
2004,SL_TLF_UEMDIS_19ICLS,Finland,Persons with disability,Female,18.15
2004,SL_TLF_UEMDIS_19ICLS,Finland,Persons with disability,Both sexes,21.64
2004,SL_TLF_UEMDIS_19ICLS,Finland,Persons without disability,Female,10.01
2004,SL_TLF_UEMDIS_19ICLS,Finland,Total or no breakdown,Female,10.33
2005,SL_TLF_UEMDIS_19ICLS,Finland,Persons without disability,Female,9.39
