Year,SeriesCode,Страна ,Deviation Level,Value
2019,EN_LKW_QLTRST,Hungary,EXTREME,0.00223
2019,EN_LKW_QLTRST,Hungary,MEDIUM,0.34666
2019,EN_LKW_QLTRST,Hungary,LOW,99.6097
2020,EN_LKW_QLTRST,Hungary,LOW,99.67085
2020,EN_LKW_QLTRST,Hungary,HIGH,0.08132
2020,EN_LKW_QLTRST,Hungary,EXTREME,0.00648
2020,EN_LKW_QLTRST,Hungary,MEDIUM,0.24136
2021,EN_LKW_QLTRST,Hungary,HIGH,0.07418
2021,EN_LKW_QLTRST,Hungary,MEDIUM,0.28597
2021,EN_LKW_QLTRST,Hungary,EXTREME,0.01329
2021,EN_LKW_QLTRST,Hungary,LOW,99.62656
2017,EN_LKW_QLTRST,Iceland,LOW,68.22261
2017,EN_LKW_QLTRST,Iceland,EXTREME,1.13865
2017,EN_LKW_QLTRST,Iceland,MEDIUM,12.3901
2017,EN_LKW_QLTRST,Iceland,HIGH,1.58198
2018,EN_LKW_QLTRST,Iceland,HIGH,2.96569
2018,EN_LKW_QLTRST,Iceland,EXTREME,0.02889
2018,EN_LKW_QLTRST,Iceland,LOW,64.96072
2018,EN_LKW_QLTRST,Iceland,MEDIUM,7.0447
2021,EN_LKW_QLTRST,Azerbaijan,MEDIUM,1.21402
2021,EN_LKW_QLTRST,Azerbaijan,LOW,98.40517
2021,EN_LKW_QLTRST,Azerbaijan,EXTREME,0.22388
2021,EN_LKW_QLTRST,Azerbaijan,HIGH,0.15693
2017,EN_LKW_QLTRST,Australia,MEDIUM,3.38159
2017,EN_LKW_QLTRST,Australia,LOW,94.12401
2017,EN_LKW_QLTRST,Australia,EXTREME,1.25897
2017,EN_LKW_QLTRST,Australia,HIGH,1.23543
2018,EN_LKW_QLTRST,Australia,HIGH,1.02152
2018,EN_LKW_QLTRST,Australia,EXTREME,0.88284
2018,EN_LKW_QLTRST,Australia,LOW,95.49577
2018,EN_LKW_QLTRST,Australia,MEDIUM,2.59986
2019,EN_LKW_QLTRST,Iceland,LOW,71.91504
2019,EN_LKW_QLTRST,Iceland,HIGH,0.19543
2019,EN_LKW_QLTRST,Iceland,EXTREME,0.00303
2019,EN_LKW_QLTRST,Iceland,MEDIUM,2.88649
2020,EN_LKW_QLTRST,Iceland,LOW,65.89318
2020,EN_LKW_QLTRST,Iceland,EXTREME,3.77292
2020,EN_LKW_QLTRST,Iceland,MEDIUM,7.63362
2020,EN_LKW_QLTRST,Iceland,HIGH,6.03362
2021,EN_LKW_QLTRST,Iceland,LOW,78.70311
2021,EN_LKW_QLTRST,Iceland,HIGH,0.14102
2021,EN_LKW_QLTRST,Iceland,EXTREME,2.40822
2021,EN_LKW_QLTRST,Iceland,MEDIUM,2.08099
2017,EN_LKW_QLTRST,India,EXTREME,1.11627
2017,EN_LKW_QLTRST,India,HIGH,2.82214
2017,EN_LKW_QLTRST,India,LOW,88.43281
2017,EN_LKW_QLTRST,India,MEDIUM,7.62878
2018,EN_LKW_QLTRST,India,MEDIUM,7.24975
2018,EN_LKW_QLTRST,India,HIGH,2.64062
2018,EN_LKW_QLTRST,India,EXTREME,1.18575
2018,EN_LKW_QLTRST,India,LOW,88.92388
2019,EN_LKW_QLTRST,India,LOW,91.33761
2019,EN_LKW_QLTRST,India,EXTREME,1.02472
2019,EN_LKW_QLTRST,India,MEDIUM,5.63321
2019,EN_LKW_QLTRST,India,HIGH,2.00446
2020,EN_LKW_QLTRST,India,EXTREME,1.7684
2020,EN_LKW_QLTRST,India,HIGH,3.47276
2020,EN_LKW_QLTRST,India,LOW,87.35875
2020,EN_LKW_QLTRST,India,MEDIUM,7.40008
2021,EN_LKW_QLTRST,India,MEDIUM,7.69336
2021,EN_LKW_QLTRST,India,HIGH,3.34932
2021,EN_LKW_QLTRST,India,EXTREME,1.73517
2021,EN_LKW_QLTRST,India,LOW,87.22215
2017,EN_LKW_QLTRST,Ireland,LOW,57.03226
2017,EN_LKW_QLTRST,Ireland,MEDIUM,20.21474
2017,EN_LKW_QLTRST,Ireland,HIGH,16.87261
2017,EN_LKW_QLTRST,Ireland,EXTREME,5.88039
2018,EN_LKW_QLTRST,Ireland,LOW,53.30525
2018,EN_LKW_QLTRST,Ireland,EXTREME,6.05643
2018,EN_LKW_QLTRST,Ireland,MEDIUM,22.5425
2018,EN_LKW_QLTRST,Ireland,HIGH,18.09582
2019,EN_LKW_QLTRST,Ireland,EXTREME,2.26581
2019,EN_LKW_QLTRST,Ireland,HIGH,8.42659
2019,EN_LKW_QLTRST,Ireland,LOW,74.65681
2019,EN_LKW_QLTRST,Ireland,MEDIUM,14.65079
2020,EN_LKW_QLTRST,Ireland,LOW,76.73066
2020,EN_LKW_QLTRST,Ireland,HIGH,7.39126
2020,EN_LKW_QLTRST,Ireland,EXTREME,1.70318
2020,EN_LKW_QLTRST,Ireland,MEDIUM,14.1749
2021,EN_LKW_QLTRST,Ireland,LOW,73.27373
2021,EN_LKW_QLTRST,Ireland,EXTREME,2.5876
2021,EN_LKW_QLTRST,Ireland,HIGH,9.25816
2021,EN_LKW_QLTRST,Ireland,MEDIUM,14.88052
2017,EN_LKW_QLTRST,Israel,EXTREME,0.05067
2017,EN_LKW_QLTRST,Israel,MEDIUM,6.45352
2017,EN_LKW_QLTRST,Israel,LOW,92.00317
2017,EN_LKW_QLTRST,Israel,HIGH,1.49265
2018,EN_LKW_QLTRST,Israel,HIGH,0.78836
2018,EN_LKW_QLTRST,Israel,MEDIUM,5.55757
2018,EN_LKW_QLTRST,Israel,EXTREME,0.02612
2018,EN_LKW_QLTRST,Israel,LOW,93.62796
2019,EN_LKW_QLTRST,Israel,LOW,94.62414
2019,EN_LKW_QLTRST,Israel,HIGH,0.84947
2019,EN_LKW_QLTRST,Israel,EXTREME,0.02448
2019,EN_LKW_QLTRST,Israel,MEDIUM,4.50191
2020,EN_LKW_QLTRST,Israel,HIGH,1.40337
2020,EN_LKW_QLTRST,Israel,LOW,94.74107
2020,EN_LKW_QLTRST,Israel,MEDIUM,3.76532
2020,EN_LKW_QLTRST,Israel,EXTREME,0.09024
2021,EN_LKW_QLTRST,Israel,MEDIUM,5.22127
2021,EN_LKW_QLTRST,Israel,LOW,93.53058
2021,EN_LKW_QLTRST,Israel,HIGH,1.21149
2021,EN_LKW_QLTRST,Israel,EXTREME,0.03666
2017,EN_LKW_QLTRST,Italy,EXTREME,0.92475
2017,EN_LKW_QLTRST,Italy,LOW,66.53001
2017,EN_LKW_QLTRST,Italy,HIGH,12.21
2017,EN_LKW_QLTRST,Italy,MEDIUM,20.33524
2018,EN_LKW_QLTRST,Italy,MEDIUM,21.16638
2018,EN_LKW_QLTRST,Italy,HIGH,6.97642
2018,EN_LKW_QLTRST,Italy,LOW,70.66971
2018,EN_LKW_QLTRST,Italy,EXTREME,1.1875
2019,EN_LKW_QLTRST,Italy,HIGH,2.87245
2019,EN_LKW_QLTRST,Italy,LOW,82.78536
2019,EN_LKW_QLTRST,Italy,MEDIUM,14.30642
2019,EN_LKW_QLTRST,Italy,EXTREME,0.03577
2020,EN_LKW_QLTRST,Italy,EXTREME,0.08939
2020,EN_LKW_QLTRST,Italy,MEDIUM,11.52464
2020,EN_LKW_QLTRST,Italy,LOW,86.50414
2020,EN_LKW_QLTRST,Italy,HIGH,1.88183
2021,EN_LKW_QLTRST,Italy,HIGH,1.78312
2021,EN_LKW_QLTRST,Italy,EXTREME,0.06915
2021,EN_LKW_QLTRST,Italy,MEDIUM,11.88933
2021,EN_LKW_QLTRST,Italy,LOW,86.2584
2017,EN_LKW_QLTRST,Japan,MEDIUM,21.01417
2017,EN_LKW_QLTRST,Japan,EXTREME,1.87088
2017,EN_LKW_QLTRST,Japan,LOW,65.82176
2017,EN_LKW_QLTRST,Japan,HIGH,11.29319
2018,EN_LKW_QLTRST,Japan,MEDIUM,27.16774
2018,EN_LKW_QLTRST,Japan,HIGH,12.23198
2018,EN_LKW_QLTRST,Japan,LOW,57.23775
2018,EN_LKW_QLTRST,Japan,EXTREME,3.36254
2019,EN_LKW_QLTRST,Japan,MEDIUM,13.07584
2019,EN_LKW_QLTRST,Japan,LOW,81.05602
2019,EN_LKW_QLTRST,Japan,EXTREME,0.7207
2019,EN_LKW_QLTRST,Japan,HIGH,5.14744
2020,EN_LKW_QLTRST,Japan,MEDIUM,11.39604
2020,EN_LKW_QLTRST,Japan,EXTREME,0.71081
2020,EN_LKW_QLTRST,Japan,LOW,80.49573
2020,EN_LKW_QLTRST,Japan,HIGH,7.39741
2021,EN_LKW_QLTRST,Japan,LOW,80.85405
2021,EN_LKW_QLTRST,Japan,MEDIUM,13.00963
2021,EN_LKW_QLTRST,Japan,HIGH,5.32861
2021,EN_LKW_QLTRST,Japan,EXTREME,0.80771
2017,EN_LKW_QLTRST,Казахстан,EXTREME,0.38864
2017,EN_LKW_QLTRST,Казахстан,HIGH,1.12812
2017,EN_LKW_QLTRST,Казахстан,LOW,92.91037
2017,EN_LKW_QLTRST,Казахстан,MEDIUM,5.57287
2018,EN_LKW_QLTRST,Казахстан,LOW,90.74621
2018,EN_LKW_QLTRST,Казахстан,MEDIUM,7.11142
2018,EN_LKW_QLTRST,Казахстан,HIGH,1.62318
2018,EN_LKW_QLTRST,Казахстан,EXTREME,0.51919
2019,EN_LKW_QLTRST,Казахстан,LOW,95.97472
2019,EN_LKW_QLTRST,Казахстан,EXTREME,0.30467
2019,EN_LKW_QLTRST,Казахстан,HIGH,0.63324
2019,EN_LKW_QLTRST,Казахстан,MEDIUM,3.08736
2020,EN_LKW_QLTRST,Казахстан,MEDIUM,3.45448
2020,EN_LKW_QLTRST,Казахстан,HIGH,1.00672
2020,EN_LKW_QLTRST,Казахстан,EXTREME,0.2446
2020,EN_LKW_QLTRST,Казахстан,LOW,95.2942
2021,EN_LKW_QLTRST,Казахстан,LOW,95.93442
2021,EN_LKW_QLTRST,Казахстан,EXTREME,0.28514
2021,EN_LKW_QLTRST,Казахстан,HIGH,0.84131
2021,EN_LKW_QLTRST,Казахстан,MEDIUM,2.93914
2019,EN_LKW_QLTRST,Australia,HIGH,0.91661
2019,EN_LKW_QLTRST,Australia,EXTREME,0.42247
2019,EN_LKW_QLTRST,Australia,LOW,96.46728
2019,EN_LKW_QLTRST,Australia,MEDIUM,2.19364
2020,EN_LKW_QLTRST,Australia,LOW,96.24865
2020,EN_LKW_QLTRST,Australia,HIGH,0.88139
2020,EN_LKW_QLTRST,Australia,EXTREME,0.63842
2020,EN_LKW_QLTRST,Australia,MEDIUM,2.23154
2021,EN_LKW_QLTRST,Australia,HIGH,1.00745
2021,EN_LKW_QLTRST,Australia,LOW,95.71897
2021,EN_LKW_QLTRST,Australia,MEDIUM,2.52925
2021,EN_LKW_QLTRST,Australia,EXTREME,0.74433
2017,EN_LKW_QLTRST,Austria,EXTREME,0.47904
2017,EN_LKW_QLTRST,Austria,MEDIUM,7.85526
2017,EN_LKW_QLTRST,Austria,LOW,88.33336
2017,EN_LKW_QLTRST,Austria,HIGH,3.33234
2018,EN_LKW_QLTRST,Austria,EXTREME,0.07157
2018,EN_LKW_QLTRST,Austria,MEDIUM,7.2695
2018,EN_LKW_QLTRST,Austria,HIGH,1.53787
2018,EN_LKW_QLTRST,Austria,LOW,91.12106
2019,EN_LKW_QLTRST,Austria,LOW,95.92004
2019,EN_LKW_QLTRST,Austria,MEDIUM,3.39702
2019,EN_LKW_QLTRST,Austria,EXTREME,0.09615
2019,EN_LKW_QLTRST,Austria,HIGH,0.58678
2017,EN_LKW_QLTRST,Кыргызстан,EXTREME,15.37102
2017,EN_LKW_QLTRST,Кыргызстан,LOW,53.07393
2017,EN_LKW_QLTRST,Кыргызстан,HIGH,16.04642
2017,EN_LKW_QLTRST,Кыргызстан,MEDIUM,15.50863
2018,EN_LKW_QLTRST,Кыргызстан,HIGH,9.95781
2018,EN_LKW_QLTRST,Кыргызстан,LOW,68.55946
2018,EN_LKW_QLTRST,Кыргызстан,MEDIUM,9.53507
2018,EN_LKW_QLTRST,Кыргызстан,EXTREME,11.94766
2019,EN_LKW_QLTRST,Кыргызстан,LOW,82.20746
2019,EN_LKW_QLTRST,Кыргызстан,HIGH,5.29975
2019,EN_LKW_QLTRST,Кыргызстан,MEDIUM,7.21011
2019,EN_LKW_QLTRST,Кыргызстан,EXTREME,5.28268
2020,EN_LKW_QLTRST,Austria,EXTREME,0.07546
2020,EN_LKW_QLTRST,Austria,MEDIUM,4.91024
2020,EN_LKW_QLTRST,Austria,LOW,93.64499
2020,EN_LKW_QLTRST,Austria,HIGH,1.36931
2021,EN_LKW_QLTRST,Austria,MEDIUM,3.80251
2021,EN_LKW_QLTRST,Austria,LOW,95.01134
2021,EN_LKW_QLTRST,Austria,HIGH,1.00934
2021,EN_LKW_QLTRST,Austria,EXTREME,0.17681
2017,EN_LKW_QLTRST,Armenia,EXTREME,0.00121
2017,EN_LKW_QLTRST,Armenia,LOW,91.93007
2017,EN_LKW_QLTRST,Armenia,MEDIUM,8.00569
2017,EN_LKW_QLTRST,Armenia,HIGH,0.06303
2020,EN_LKW_QLTRST,Кыргызстан,EXTREME,5.7305
2020,EN_LKW_QLTRST,Кыргызстан,HIGH,6.26614
2020,EN_LKW_QLTRST,Кыргызстан,LOW,80.05999
2020,EN_LKW_QLTRST,Кыргызстан,MEDIUM,7.94336
2021,EN_LKW_QLTRST,Кыргызстан,EXTREME,7.00353
2021,EN_LKW_QLTRST,Кыргызстан,MEDIUM,7.80919
2021,EN_LKW_QLTRST,Кыргызстан,HIGH,6.71013
2021,EN_LKW_QLTRST,Кыргызстан,LOW,78.47715
2017,EN_LKW_QLTRST,Latvia,MEDIUM,7.6049
2017,EN_LKW_QLTRST,Latvia,LOW,81.45223
2017,EN_LKW_QLTRST,Latvia,EXTREME,0.40792
2017,EN_LKW_QLTRST,Latvia,HIGH,2.20161
2018,EN_LKW_QLTRST,Latvia,HIGH,1.83006
2018,EN_LKW_QLTRST,Latvia,LOW,79.36663
2018,EN_LKW_QLTRST,Latvia,MEDIUM,10.08567
2018,EN_LKW_QLTRST,Latvia,EXTREME,0.38431
2019,EN_LKW_QLTRST,Latvia,HIGH,1.58455
2019,EN_LKW_QLTRST,Latvia,LOW,94.71574
2019,EN_LKW_QLTRST,Latvia,EXTREME,0.37742
2019,EN_LKW_QLTRST,Latvia,MEDIUM,3.32228
2020,EN_LKW_QLTRST,Latvia,HIGH,1.38973
2020,EN_LKW_QLTRST,Latvia,EXTREME,0.40111
2020,EN_LKW_QLTRST,Latvia,MEDIUM,5.07804
2020,EN_LKW_QLTRST,Latvia,LOW,93.13112
2021,EN_LKW_QLTRST,Latvia,LOW,77.16807
2021,EN_LKW_QLTRST,Latvia,HIGH,1.36915
2021,EN_LKW_QLTRST,Latvia,EXTREME,0.31003
2021,EN_LKW_QLTRST,Latvia,MEDIUM,4.48609
2017,EN_LKW_QLTRST,Lithuania,EXTREME,0.45194
2017,EN_LKW_QLTRST,Lithuania,MEDIUM,14.86799
2017,EN_LKW_QLTRST,Lithuania,HIGH,3.58322
2017,EN_LKW_QLTRST,Lithuania,LOW,81.09685
2018,EN_LKW_QLTRST,Lithuania,LOW,77.15358
2018,EN_LKW_QLTRST,Lithuania,EXTREME,1.59986
2018,EN_LKW_QLTRST,Lithuania,MEDIUM,17.17249
2018,EN_LKW_QLTRST,Lithuania,HIGH,4.07407
2019,EN_LKW_QLTRST,Lithuania,EXTREME,0.55927
2019,EN_LKW_QLTRST,Lithuania,MEDIUM,10.41362
2019,EN_LKW_QLTRST,Lithuania,LOW,86.76412
2019,EN_LKW_QLTRST,Lithuania,HIGH,2.26299
2020,EN_LKW_QLTRST,Lithuania,HIGH,2.75913
2020,EN_LKW_QLTRST,Lithuania,LOW,84.75428
2020,EN_LKW_QLTRST,Lithuania,MEDIUM,11.64598
2020,EN_LKW_QLTRST,Lithuania,EXTREME,0.84061
2021,EN_LKW_QLTRST,Lithuania,LOW,85.48618
2021,EN_LKW_QLTRST,Lithuania,MEDIUM,11.09863
2021,EN_LKW_QLTRST,Lithuania,HIGH,2.92575
2021,EN_LKW_QLTRST,Lithuania,EXTREME,0.48944
2018,EN_LKW_QLTRST,Armenia,EXTREME,0.001
2018,EN_LKW_QLTRST,Armenia,MEDIUM,5.20782
2018,EN_LKW_QLTRST,Armenia,HIGH,0.06705
