Year,SeriesCode,Страна ,Name of international institution,Value
2016,SG_INT_VRTDEV,Albania,WTO,0.6173
2016,SG_INT_VRTDEV,Albania,IBRD,0.07
2017,SG_INT_VRTDEV,Albania,IMF,0.0568
2017,SG_INT_VRTDEV,Albania,UNGA,0.5181
2017,SG_INT_VRTDEV,Albania,IFC,0.0781
2017,SG_INT_VRTDEV,Albania,IBRD,0.0691
2017,SG_INT_VRTDEV,Albania,WTO,0.6098
2018,SG_INT_VRTDEV,Albania,IBRD,0.0786
2015,SG_INT_VRTDEV,Finland,ADB,0.571
2015,SG_INT_VRTDEV,Finland,WTO,0.625
2015,SG_INT_VRTDEV,Finland,ECOSOC,1.85185
2015,SG_INT_VRTDEV,Finland,UNGA,0.5181
2015,SG_INT_VRTDEV,Finland,IBRD,0.5228
2015,SG_INT_VRTDEV,Finland,AFDB,0.5
2015,SG_INT_VRTDEV,Finland,IMF,0.5307
2015,SG_INT_VRTDEV,Finland,IFC,0.6079
2015,SG_INT_VRTDEV,Finland,IADB,0.161
2016,SG_INT_VRTDEV,Finland,WTO,0.6173
2016,SG_INT_VRTDEV,Finland,ECOSOC,1.85185
2017,SG_INT_VRTDEV,Казахстан,UNSC,6.6667
2017,SG_INT_VRTDEV,Казахстан,IFC,0.20084
2017,SG_INT_VRTDEV,Казахстан,WTO,0.6098
2017,SG_INT_VRTDEV,Казахстан,UNGA,0.5181
2017,SG_INT_VRTDEV,Казахстан,ADB,0.944
2017,SG_INT_VRTDEV,Казахстан,IBRD,0.2231
2018,SG_INT_VRTDEV,Казахстан,IMF,0.2593
2018,SG_INT_VRTDEV,Казахстан,ADB,0.9422
2018,SG_INT_VRTDEV,Казахстан,UNGA,0.5181
2018,SG_INT_VRTDEV,Казахстан,WTO,0.6098
2018,SG_INT_VRTDEV,Казахстан,UNSC,6.6667
2018,SG_INT_VRTDEV,Albania,UNGA,0.5181
2018,SG_INT_VRTDEV,Albania,WTO,0.6098
2018,SG_INT_VRTDEV,Albania,IMF,0.0568
2018,SG_INT_VRTDEV,Albania,IFC,0.0781
2019,SG_INT_VRTDEV,Albania,IMF,0.0568
2019,SG_INT_VRTDEV,Albania,UNGA,0.5181
2019,SG_INT_VRTDEV,Albania,WTO,0.6098
2019,SG_INT_VRTDEV,Albania,IBRD,0.0777
2019,SG_INT_VRTDEV,Albania,IFC,0.7721
2020,SG_INT_VRTDEV,Albania,IMF,0.05679
2020,SG_INT_VRTDEV,Albania,IFC,0.07791
2016,SG_INT_VRTDEV,Finland,ADB,0.571
2016,SG_INT_VRTDEV,Finland,IADB,0.161
2016,SG_INT_VRTDEV,Finland,IFC,0.6079
2016,SG_INT_VRTDEV,Finland,UNGA,0.5181
2016,SG_INT_VRTDEV,Finland,IMF,0.512
2016,SG_INT_VRTDEV,Finland,IBRD,0.52
2016,SG_INT_VRTDEV,Finland,AFDB,0.4959
2017,SG_INT_VRTDEV,Finland,ADB,0.571
2017,SG_INT_VRTDEV,Finland,UNGA,0.5181
2017,SG_INT_VRTDEV,Finland,AFDB,0.4959
2017,SG_INT_VRTDEV,Finland,WTO,0.6098
2018,SG_INT_VRTDEV,Казахстан,IBRD,0.219
2018,SG_INT_VRTDEV,Казахстан,IFC,0.2008
2019,SG_INT_VRTDEV,Казахстан,IMF,0.25934
2019,SG_INT_VRTDEV,Казахстан,IFC,0.1993
2019,SG_INT_VRTDEV,Казахстан,IBRD,0.2155
2019,SG_INT_VRTDEV,Казахстан,WTO,0.6098
2019,SG_INT_VRTDEV,Казахстан,UNGA,0.5181
2019,SG_INT_VRTDEV,Казахстан,ADB,0.93784
2020,SG_INT_VRTDEV,Казахстан,UNGA,0.5181
2020,SG_INT_VRTDEV,Казахстан,WTO,0.60976
2020,SG_INT_VRTDEV,Казахстан,ADB,0.938
2020,SG_INT_VRTDEV,Albania,IBRD,0.07632
2020,SG_INT_VRTDEV,Albania,UNGA,0.5181
2020,SG_INT_VRTDEV,Albania,WTO,0.60976
2021,SG_INT_VRTDEV,Albania,UNGA,0.51813
2021,SG_INT_VRTDEV,Albania,WTO,0.60976
2021,SG_INT_VRTDEV,Albania,IFC,0.07485
2021,SG_INT_VRTDEV,Albania,IBRD,0.07461
2021,SG_INT_VRTDEV,Albania,IMF,0.05659
2022,SG_INT_VRTDEV,Albania,IMF,0.05703
2022,SG_INT_VRTDEV,Albania,IBRD,0.07341
2020,SG_INT_VRTDEV,Казахстан,IFC,0.20064
2020,SG_INT_VRTDEV,Казахстан,IMF,0.25922
2020,SG_INT_VRTDEV,Казахстан,IBRD,0.21028
2021,SG_INT_VRTDEV,Казахстан,IBRD,0.2037
2021,SG_INT_VRTDEV,Казахстан,ADB,0.938
2021,SG_INT_VRTDEV,Казахстан,IFC,0.18974
2021,SG_INT_VRTDEV,Казахстан,UNGA,0.51813
2021,SG_INT_VRTDEV,Казахстан,IMF,0.25879
2021,SG_INT_VRTDEV,Казахстан,WTO,0.60976
2022,SG_INT_VRTDEV,Казахстан,WTO,0.60976
2022,SG_INT_VRTDEV,Казахстан,IMF,0.2608
2017,SG_INT_VRTDEV,Finland,IMF,0.5083
2017,SG_INT_VRTDEV,Finland,IFC,0.6079
2017,SG_INT_VRTDEV,Finland,IBRD,0.514
2017,SG_INT_VRTDEV,Finland,IADB,0.161
2018,SG_INT_VRTDEV,Finland,IADB,0.161
2018,SG_INT_VRTDEV,Finland,IMF,0.5082
2018,SG_INT_VRTDEV,Finland,IFC,0.6079
2018,SG_INT_VRTDEV,Finland,WTO,0.6098
2018,SG_INT_VRTDEV,Finland,UNGA,0.5181
2018,SG_INT_VRTDEV,Finland,IBRD,0.5038
2018,SG_INT_VRTDEV,Finland,AFDB,0.5003
2018,SG_INT_VRTDEV,Finland,ADB,0.5701
2019,SG_INT_VRTDEV,Finland,ADB,0.56572
2019,SG_INT_VRTDEV,Finland,UNGA,0.5181
2019,SG_INT_VRTDEV,Finland,AFDB,0.49952
2019,SG_INT_VRTDEV,Finland,IBRD,0.4949
2019,SG_INT_VRTDEV,Finland,WTO,0.6098
2019,SG_INT_VRTDEV,Finland,IMF,0.50821
2019,SG_INT_VRTDEV,Finland,IFC,0.6037
2019,SG_INT_VRTDEV,Finland,IADB,0.161
2020,SG_INT_VRTDEV,Finland,IBRD,0.48191
2020,SG_INT_VRTDEV,Finland,IMF,0.50795
2020,SG_INT_VRTDEV,Finland,ADB,0.566
2020,SG_INT_VRTDEV,Finland,WTO,0.60976
2020,SG_INT_VRTDEV,Finland,ECOSOC,1.85185
2020,SG_INT_VRTDEV,Finland,UNGA,0.5181
2020,SG_INT_VRTDEV,Finland,IADB,0.161
2020,SG_INT_VRTDEV,Finland,IFC,0.60766
2020,SG_INT_VRTDEV,Finland,AFDB,0.33071
2021,SG_INT_VRTDEV,Finland,UNGA,0.51813
2021,SG_INT_VRTDEV,Finland,IADB,0.161
2021,SG_INT_VRTDEV,Finland,AFDB,0.48235
2021,SG_INT_VRTDEV,Finland,ECOSOC,1.85185
2022,SG_INT_VRTDEV,Albania,IFC,0.07295
2022,SG_INT_VRTDEV,Albania,UNGA,0.51813
2022,SG_INT_VRTDEV,Albania,WTO,0.60976
2000,SG_INT_VRTDEV,Azerbaijan,ADB,0.701
2000,SG_INT_VRTDEV,Azerbaijan,UNGA,0.5291
2000,SG_INT_VRTDEV,Azerbaijan,IMF,0.0868
2000,SG_INT_VRTDEV,Azerbaijan,IFC,0.109
2000,SG_INT_VRTDEV,Azerbaijan,IBRD,0.1178
2005,SG_INT_VRTDEV,Azerbaijan,ADB,0.671
2005,SG_INT_VRTDEV,Azerbaijan,IMF,0.0855
2005,SG_INT_VRTDEV,Azerbaijan,UNGA,0.5236
2021,SG_INT_VRTDEV,Finland,IMF,0.50725
2021,SG_INT_VRTDEV,Finland,ADB,0.566
2021,SG_INT_VRTDEV,Finland,IBRD,0.48723
2021,SG_INT_VRTDEV,Finland,WTO,0.60976
2021,SG_INT_VRTDEV,Finland,IFC,0.60141
2022,SG_INT_VRTDEV,Finland,UNGA,0.51813
2022,SG_INT_VRTDEV,Finland,IFC,0.60856
2022,SG_INT_VRTDEV,Finland,IBRD,0.49613
2022,SG_INT_VRTDEV,Finland,WTO,0.60976
2022,SG_INT_VRTDEV,Finland,IMF,0.51117
2022,SG_INT_VRTDEV,Finland,ECOSOC,1.85185
2005,SG_INT_VRTDEV,Azerbaijan,IBRD,0.1171
2005,SG_INT_VRTDEV,Azerbaijan,IFC,0.1087
2005,SG_INT_VRTDEV,Azerbaijan,ECOSOC,1.85185
2010,SG_INT_VRTDEV,Azerbaijan,IBRD,0.1169
2010,SG_INT_VRTDEV,Azerbaijan,IMF,0.0839
2010,SG_INT_VRTDEV,Azerbaijan,UNGA,0.5208
2010,SG_INT_VRTDEV,Azerbaijan,ADB,0.703
2010,SG_INT_VRTDEV,Azerbaijan,IFC,0.1084
2015,SG_INT_VRTDEV,Azerbaijan,UNGA,0.5181
2015,SG_INT_VRTDEV,Azerbaijan,IFC,0.1173
2000,SG_INT_VRTDEV,France,ECOSOC,1.85185
2000,SG_INT_VRTDEV,France,IFC,5.0505
2000,SG_INT_VRTDEV,France,IMF,5.0279
2000,SG_INT_VRTDEV,France,UNSC,6.6667
2000,SG_INT_VRTDEV,France,IADB,1.896
2000,SG_INT_VRTDEV,France,IBRD,4.3271
2000,SG_INT_VRTDEV,France,ADB,2.235
2000,SG_INT_VRTDEV,France,UNGA,0.5291
2000,SG_INT_VRTDEV,France,AFDB,3.884
2000,SG_INT_VRTDEV,France,WTO,0.7143
2005,SG_INT_VRTDEV,France,UNSC,6.6667
2022,SG_INT_VRTDEV,Казахстан,UNGA,0.51813
2022,SG_INT_VRTDEV,Казахстан,ECOSOC,1.85185
2022,SG_INT_VRTDEV,Казахстан,IFC,0.18337
2022,SG_INT_VRTDEV,Казахстан,IBRD,0.19902
2000,SG_INT_VRTDEV,Republic of Korea,ADB,4.443
2000,SG_INT_VRTDEV,Republic of Korea,UNGA,0.5291
2000,SG_INT_VRTDEV,Republic of Korea,WTO,0.7143
2000,SG_INT_VRTDEV,Republic of Korea,AFDB,0.487
2000,SG_INT_VRTDEV,Republic of Korea,IMF,0.7748
2000,SG_INT_VRTDEV,Republic of Korea,IFC,0.6745
2000,SG_INT_VRTDEV,Republic of Korea,IBRD,0.9982
2015,SG_INT_VRTDEV,Azerbaijan,IMF,0.0931
2015,SG_INT_VRTDEV,Azerbaijan,IBRD,0.1037
2015,SG_INT_VRTDEV,Azerbaijan,ADB,0.655
2016,SG_INT_VRTDEV,Azerbaijan,IBRD,0.11
2016,SG_INT_VRTDEV,Azerbaijan,UNGA,0.5181
2016,SG_INT_VRTDEV,Azerbaijan,IFC,0.1173
2016,SG_INT_VRTDEV,Azerbaijan,IMF,0.108
2016,SG_INT_VRTDEV,Azerbaijan,ADB,0.654
2017,SG_INT_VRTDEV,Azerbaijan,IMF,0.107
2017,SG_INT_VRTDEV,Azerbaijan,IFC,0.1173
2017,SG_INT_VRTDEV,Azerbaijan,UNGA,0.5181
2005,SG_INT_VRTDEV,France,IFC,5.0351
2005,SG_INT_VRTDEV,France,IMF,4.948
2005,SG_INT_VRTDEV,France,AFDB,3.721
2005,SG_INT_VRTDEV,France,WTO,0.6711
2005,SG_INT_VRTDEV,France,UNGA,0.5236
2005,SG_INT_VRTDEV,France,ADB,2.19
2005,SG_INT_VRTDEV,France,ECOSOC,1.85185
2005,SG_INT_VRTDEV,France,IBRD,4.3028
2005,SG_INT_VRTDEV,France,IADB,1.896
2010,SG_INT_VRTDEV,France,IADB,1.896
2010,SG_INT_VRTDEV,France,IMF,4.8602
2017,SG_INT_VRTDEV,Azerbaijan,ADB,0.654
2017,SG_INT_VRTDEV,Azerbaijan,ECOSOC,1.85185
2017,SG_INT_VRTDEV,Azerbaijan,IBRD,0.1298
2018,SG_INT_VRTDEV,Azerbaijan,UNGA,0.5181
2018,SG_INT_VRTDEV,Azerbaijan,IBRD,0.1277
2018,SG_INT_VRTDEV,Azerbaijan,ADB,0.6535
2018,SG_INT_VRTDEV,Azerbaijan,ECOSOC,1.85185
2018,SG_INT_VRTDEV,Azerbaijan,IFC,0.1173
2018,SG_INT_VRTDEV,Azerbaijan,IMF,0.107
2019,SG_INT_VRTDEV,Azerbaijan,IMF,0.10696
2019,SG_INT_VRTDEV,Azerbaijan,IFC,0.1163
2019,SG_INT_VRTDEV,Azerbaijan,ECOSOC,1.85185
2019,SG_INT_VRTDEV,Azerbaijan,UNGA,0.5181
2019,SG_INT_VRTDEV,Azerbaijan,ADB,0.64909
2019,SG_INT_VRTDEV,Azerbaijan,IBRD,0.1259
2020,SG_INT_VRTDEV,Azerbaijan,ADB,0.649
2020,SG_INT_VRTDEV,Azerbaijan,IFC,0.1171
2020,SG_INT_VRTDEV,Azerbaijan,IBRD,0.12316
2020,SG_INT_VRTDEV,Azerbaijan,UNGA,0.5181
2020,SG_INT_VRTDEV,Azerbaijan,IMF,0.10693
2010,SG_INT_VRTDEV,France,IFC,5.0215
2010,SG_INT_VRTDEV,France,UNSC,6.6667
2010,SG_INT_VRTDEV,France,FSB,5.7692
2010,SG_INT_VRTDEV,France,IBRD,4.2958
2010,SG_INT_VRTDEV,France,WTO,0.6536
2010,SG_INT_VRTDEV,France,ECOSOC,1.85185
2010,SG_INT_VRTDEV,France,ADB,2.413
2010,SG_INT_VRTDEV,France,AFDB,3.648
2010,SG_INT_VRTDEV,France,UNGA,0.5208
2014,SG_INT_VRTDEV,France,AFDB,3.76
2015,SG_INT_VRTDEV,France,WTO,0.625
2015,SG_INT_VRTDEV,France,ADB,2.163
2015,SG_INT_VRTDEV,France,ECOSOC,1.85185
2015,SG_INT_VRTDEV,France,AFDB,3.74
2015,SG_INT_VRTDEV,France,IMF,4.2896
2015,SG_INT_VRTDEV,France,UNGA,0.5181
2015,SG_INT_VRTDEV,France,IBRD,3.932
2015,SG_INT_VRTDEV,France,FSB,5.2632
2015,SG_INT_VRTDEV,France,IADB,1.896
2015,SG_INT_VRTDEV,France,UNSC,6.6667
2015,SG_INT_VRTDEV,France,IFC,4.48404
2016,SG_INT_VRTDEV,France,UNSC,6.6667
2005,SG_INT_VRTDEV,Republic of Korea,WTO,0.6711
2005,SG_INT_VRTDEV,Republic of Korea,ADB,4.375
2005,SG_INT_VRTDEV,Republic of Korea,ECOSOC,1.85185
2005,SG_INT_VRTDEV,Republic of Korea,IMF,0.7625
2005,SG_INT_VRTDEV,Republic of Korea,IBRD,0.9926
2005,SG_INT_VRTDEV,Republic of Korea,IADB,0.004
2005,SG_INT_VRTDEV,Republic of Korea,IFC,0.6725
2005,SG_INT_VRTDEV,Republic of Korea,UNGA,0.5236
2005,SG_INT_VRTDEV,Republic of Korea,AFDB,0.466
2010,SG_INT_VRTDEV,Republic of Korea,ECOSOC,1.85185
2010,SG_INT_VRTDEV,Republic of Korea,WTO,0.6536
2010,SG_INT_VRTDEV,Republic of Korea,AFDB,0.458
2010,SG_INT_VRTDEV,Republic of Korea,ADB,4.875
2010,SG_INT_VRTDEV,Republic of Korea,IBRD,0.991
2010,SG_INT_VRTDEV,Republic of Korea,UNGA,0.5208
2010,SG_INT_VRTDEV,Republic of Korea,IMF,1.3331
2010,SG_INT_VRTDEV,Republic of Korea,IFC,0.6707
2010,SG_INT_VRTDEV,Republic of Korea,IADB,0.004
2010,SG_INT_VRTDEV,Republic of Korea,FSB,3.8462
2014,SG_INT_VRTDEV,Republic of Korea,AFDB,0.455
2015,SG_INT_VRTDEV,Republic of Korea,AFDB,0.47
2021,SG_INT_VRTDEV,Azerbaijan,IMF,0.10667
2021,SG_INT_VRTDEV,Azerbaijan,IFC,0.11154
2021,SG_INT_VRTDEV,Azerbaijan,IBRD,0.12455
2021,SG_INT_VRTDEV,Azerbaijan,ADB,0.649
2021,SG_INT_VRTDEV,Azerbaijan,UNGA,0.51813
2022,SG_INT_VRTDEV,Azerbaijan,IMF,0.10749
2022,SG_INT_VRTDEV,Azerbaijan,UNGA,0.51813
2022,SG_INT_VRTDEV,Azerbaijan,IBRD,0.12668
2022,SG_INT_VRTDEV,Azerbaijan,IFC,0.11323
2000,SG_INT_VRTDEV,Australia,IBRD,1.5355
2016,SG_INT_VRTDEV,France,ECOSOC,1.85185
2016,SG_INT_VRTDEV,France,ADB,2.161
2016,SG_INT_VRTDEV,France,WTO,0.6173
2016,SG_INT_VRTDEV,France,IFC,4.48404
2016,SG_INT_VRTDEV,France,IMF,4.069
2016,SG_INT_VRTDEV,France,IADB,1.896
2016,SG_INT_VRTDEV,France,FSB,5.2632
2016,SG_INT_VRTDEV,France,IBRD,3.94
2016,SG_INT_VRTDEV,France,AFDB,3.7463
2016,SG_INT_VRTDEV,France,UNGA,0.5181
2017,SG_INT_VRTDEV,France,ADB,2.161
2017,SG_INT_VRTDEV,France,ECOSOC,1.85185
2017,SG_INT_VRTDEV,France,WTO,0.6098
2017,SG_INT_VRTDEV,France,UNSC,6.6667
2017,SG_INT_VRTDEV,France,AFDB,3.7463
2017,SG_INT_VRTDEV,France,UNGA,0.5181
2017,SG_INT_VRTDEV,France,FSB,5.2632
2017,SG_INT_VRTDEV,France,IBRD,3.8595
2017,SG_INT_VRTDEV,France,IADB,1.896
2017,SG_INT_VRTDEV,France,IMF,4.0357
2017,SG_INT_VRTDEV,France,IFC,4.48404
2018,SG_INT_VRTDEV,France,IFC,4.484
2015,SG_INT_VRTDEV,Republic of Korea,IBRD,1.6493
2015,SG_INT_VRTDEV,Republic of Korea,ADB,4.333
2015,SG_INT_VRTDEV,Republic of Korea,WTO,0.625
2015,SG_INT_VRTDEV,Republic of Korea,IMF,1.3649
2015,SG_INT_VRTDEV,Republic of Korea,UNGA,0.5181
2015,SG_INT_VRTDEV,Republic of Korea,IFC,1.06614
2015,SG_INT_VRTDEV,Republic of Korea,FSB,3.5088
2015,SG_INT_VRTDEV,Republic of Korea,IADB,0.004
2016,SG_INT_VRTDEV,Republic of Korea,IMF,1.75
2016,SG_INT_VRTDEV,Republic of Korea,ADB,4.329
2016,SG_INT_VRTDEV,Republic of Korea,WTO,0.6173
2018,SG_INT_VRTDEV,France,IMF,4.0348
2018,SG_INT_VRTDEV,France,IADB,1.896
2018,SG_INT_VRTDEV,France,FSB,5.2632
2018,SG_INT_VRTDEV,France,IBRD,3.7787
2018,SG_INT_VRTDEV,France,ECOSOC,1.85185
2018,SG_INT_VRTDEV,France,AFDB,3.7793
2018,SG_INT_VRTDEV,France,WTO,0.6098
2018,SG_INT_VRTDEV,France,UNSC,6.6667
2018,SG_INT_VRTDEV,France,UNGA,0.5181
2018,SG_INT_VRTDEV,France,ADB,2.1564
2019,SG_INT_VRTDEV,France,UNSC,6.6667
2016,SG_INT_VRTDEV,Bulgaria,WTO,0.6173
2016,SG_INT_VRTDEV,Bulgaria,IBRD,0.32
2016,SG_INT_VRTDEV,Bulgaria,UNGA,0.5181
2016,SG_INT_VRTDEV,Bulgaria,IMF,0.209
2017,SG_INT_VRTDEV,Bulgaria,WTO,0.6098
2017,SG_INT_VRTDEV,Bulgaria,UNGA,0.5181
2017,SG_INT_VRTDEV,Bulgaria,IFC,0.21177
2017,SG_INT_VRTDEV,Bulgaria,IMF,0.2073
2017,SG_INT_VRTDEV,Bulgaria,IBRD,0.3093
2018,SG_INT_VRTDEV,Bulgaria,UNGA,0.5181
2018,SG_INT_VRTDEV,Bulgaria,IBRD,0.3034
2016,SG_INT_VRTDEV,Republic of Korea,ECOSOC,1.85185
2016,SG_INT_VRTDEV,Republic of Korea,AFDB,0.4882
2016,SG_INT_VRTDEV,Republic of Korea,IBRD,1.65
