Year,SeriesCode,Страна ,Activity,Value
2020,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,11.81
2021,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,12.56
2022,NV_IND_MANF,Bosnia and Herzegovina,ISIC4_C,12.72
2000,NV_IND_MANF,Bulgaria,ISIC4_C,11.87
2001,NV_IND_MANF,Bulgaria,ISIC4_C,12.23
2002,NV_IND_MANF,Bulgaria,ISIC4_C,12.28
2003,NV_IND_MANF,Bulgaria,ISIC4_C,13.1
2004,NV_IND_MANF,Bulgaria,ISIC4_C,12.59
2005,NV_IND_MANF,Bulgaria,ISIC4_C,12.5
2006,NV_IND_MANF,Bulgaria,ISIC4_C,12.9
2007,NV_IND_MANF,Bulgaria,ISIC4_C,13.91
2008,NV_IND_MANF,Bulgaria,ISIC4_C,13.37
2009,NV_IND_MANF,Bulgaria,ISIC4_C,12.68
2010,NV_IND_MANF,Bulgaria,ISIC4_C,12.04
2011,NV_IND_MANF,Bulgaria,ISIC4_C,12.57
2012,NV_IND_MANF,Bulgaria,ISIC4_C,13.72
2013,NV_IND_MANF,Bulgaria,ISIC4_C,13.01
2014,NV_IND_MANF,Bulgaria,ISIC4_C,13.15
2015,NV_IND_MANF,Bulgaria,ISIC4_C,13.63
2016,NV_IND_MANF,Bulgaria,ISIC4_C,13.83
2017,NV_IND_MANF,Bulgaria,ISIC4_C,13.68
2018,NV_IND_MANF,Bulgaria,ISIC4_C,13.76
2019,NV_IND_MANF,Bulgaria,ISIC4_C,13.41
2020,NV_IND_MANF,Bulgaria,ISIC4_C,12.22
2021,NV_IND_MANF,Bulgaria,ISIC4_C,11.64
2022,NV_IND_MANF,Bulgaria,ISIC4_C,11.65
2000,NV_IND_MANF,Belarus,ISIC4_C,16.29
2001,NV_IND_MANF,Belarus,ISIC4_C,16.68
2002,NV_IND_MANF,Belarus,ISIC4_C,16.97
2003,NV_IND_MANF,Belarus,ISIC4_C,17.42
2004,NV_IND_MANF,Belarus,ISIC4_C,18.79
2005,NV_IND_MANF,Belarus,ISIC4_C,19.64
2006,NV_IND_MANF,Belarus,ISIC4_C,20.28
2007,NV_IND_MANF,Belarus,ISIC4_C,20.24
2008,NV_IND_MANF,Belarus,ISIC4_C,21.05
2009,NV_IND_MANF,Belarus,ISIC4_C,20.56
2010,NV_IND_MANF,Belarus,ISIC4_C,21.13
2011,NV_IND_MANF,Belarus,ISIC4_C,21.97
2012,NV_IND_MANF,Belarus,ISIC4_C,22.88
2013,NV_IND_MANF,Belarus,ISIC4_C,21.56
2014,NV_IND_MANF,Belarus,ISIC4_C,21.22
2015,NV_IND_MANF,Belarus,ISIC4_C,20.64
2016,NV_IND_MANF,Belarus,ISIC4_C,21.12
2017,NV_IND_MANF,Belarus,ISIC4_C,22.01
2018,NV_IND_MANF,Belarus,ISIC4_C,22.43
2019,NV_IND_MANF,Belarus,ISIC4_C,22.39
2020,NV_IND_MANF,Belarus,ISIC4_C,22.6
2021,NV_IND_MANF,Belarus,ISIC4_C,23.39
2022,NV_IND_MANF,Belarus,ISIC4_C,23.3
2000,NV_IND_MANF,Canada,ISIC4_C,14.9
2001,NV_IND_MANF,Canada,ISIC4_C,14.11
2002,NV_IND_MANF,Canada,ISIC4_C,13.95
2003,NV_IND_MANF,Canada,ISIC4_C,13.52
2004,NV_IND_MANF,Canada,ISIC4_C,13.44
2005,NV_IND_MANF,Canada,ISIC4_C,13.28
2006,NV_IND_MANF,Canada,ISIC4_C,12.73
2007,NV_IND_MANF,Canada,ISIC4_C,12.1
2010,NV_IND_MANF,Albania,ISIC4_C,5.27
2011,NV_IND_MANF,Albania,ISIC4_C,5.68
2012,NV_IND_MANF,Albania,ISIC4_C,4.73
2013,NV_IND_MANF,Albania,ISIC4_C,5.14
2014,NV_IND_MANF,Albania,ISIC4_C,5.52
2015,NV_IND_MANF,Albania,ISIC4_C,5.67
2016,NV_IND_MANF,Albania,ISIC4_C,5.74
2017,NV_IND_MANF,Albania,ISIC4_C,6.22
2018,NV_IND_MANF,Albania,ISIC4_C,6.35
2019,NV_IND_MANF,Albania,ISIC4_C,6.56
2008,NV_IND_MANF,Canada,ISIC4_C,11.34
2009,NV_IND_MANF,Canada,ISIC4_C,10.07
2010,NV_IND_MANF,Canada,ISIC4_C,10.24
2011,NV_IND_MANF,Canada,ISIC4_C,10.27
2012,NV_IND_MANF,Canada,ISIC4_C,10.24
2013,NV_IND_MANF,Canada,ISIC4_C,9.97
2014,NV_IND_MANF,Canada,ISIC4_C,9.98
2015,NV_IND_MANF,Canada,ISIC4_C,9.98
2016,NV_IND_MANF,Canada,ISIC4_C,9.88
2017,NV_IND_MANF,Canada,ISIC4_C,9.77
2020,NV_IND_MANF,Albania,ISIC4_C,6.38
2021,NV_IND_MANF,Albania,ISIC4_C,6.85
2022,NV_IND_MANF,Albania,ISIC4_C,6.93
2000,NV_IND_MANF,Azerbaijan,ISIC4_C,9.35
2001,NV_IND_MANF,Azerbaijan,ISIC4_C,8.86
2002,NV_IND_MANF,Azerbaijan,ISIC4_C,8.67
2003,NV_IND_MANF,Azerbaijan,ISIC4_C,8.89
2004,NV_IND_MANF,Azerbaijan,ISIC4_C,8.92
2005,NV_IND_MANF,Azerbaijan,ISIC4_C,8.2
2006,NV_IND_MANF,Azerbaijan,ISIC4_C,6.65
2007,NV_IND_MANF,Azerbaijan,ISIC4_C,5.86
2008,NV_IND_MANF,Azerbaijan,ISIC4_C,5.67
2009,NV_IND_MANF,Azerbaijan,ISIC4_C,4.53
2010,NV_IND_MANF,Azerbaijan,ISIC4_C,4.61
2011,NV_IND_MANF,Azerbaijan,ISIC4_C,4.92
2012,NV_IND_MANF,Azerbaijan,ISIC4_C,5.04
2013,NV_IND_MANF,Azerbaijan,ISIC4_C,4.86
2014,NV_IND_MANF,Azerbaijan,ISIC4_C,4.91
2015,NV_IND_MANF,Azerbaijan,ISIC4_C,4.99
2016,NV_IND_MANF,Azerbaijan,ISIC4_C,5.09
2017,NV_IND_MANF,Azerbaijan,ISIC4_C,5.03
2018,NV_IND_MANF,Azerbaijan,ISIC4_C,5.27
2019,NV_IND_MANF,Azerbaijan,ISIC4_C,5.68
2020,NV_IND_MANF,Azerbaijan,ISIC4_C,6.5
2021,NV_IND_MANF,Azerbaijan,ISIC4_C,7.34
2022,NV_IND_MANF,Azerbaijan,ISIC4_C,7.19
2000,NV_IND_MANF,Australia,ISIC4_C,9.43
2001,NV_IND_MANF,Australia,ISIC4_C,9.32
2002,NV_IND_MANF,Australia,ISIC4_C,9.41
2003,NV_IND_MANF,Australia,ISIC4_C,9.16
2004,NV_IND_MANF,Australia,ISIC4_C,8.8
2005,NV_IND_MANF,Australia,ISIC4_C,8.52
2006,NV_IND_MANF,Australia,ISIC4_C,8.37
2007,NV_IND_MANF,Australia,ISIC4_C,8.4
2008,NV_IND_MANF,Australia,ISIC4_C,7.82
2009,NV_IND_MANF,Australia,ISIC4_C,7.68
2010,NV_IND_MANF,Australia,ISIC4_C,7.48
2011,NV_IND_MANF,Australia,ISIC4_C,7.28
2012,NV_IND_MANF,Australia,ISIC4_C,6.86
2013,NV_IND_MANF,Australia,ISIC4_C,6.63
2014,NV_IND_MANF,Australia,ISIC4_C,6.39
2015,NV_IND_MANF,Australia,ISIC4_C,6.09
2016,NV_IND_MANF,Australia,ISIC4_C,5.92
2017,NV_IND_MANF,Australia,ISIC4_C,5.88
2018,NV_IND_MANF,Australia,ISIC4_C,5.7
2019,NV_IND_MANF,Australia,ISIC4_C,5.6
2020,NV_IND_MANF,Australia,ISIC4_C,5.6
2021,NV_IND_MANF,Australia,ISIC4_C,5.54
2022,NV_IND_MANF,Australia,ISIC4_C,5.43
2000,NV_IND_MANF,Austria,ISIC4_C,15.21
2001,NV_IND_MANF,Austria,ISIC4_C,15.43
2002,NV_IND_MANF,Austria,ISIC4_C,14.98
2003,NV_IND_MANF,Austria,ISIC4_C,14.94
2004,NV_IND_MANF,Austria,ISIC4_C,14.98
2005,NV_IND_MANF,Austria,ISIC4_C,15.31
2006,NV_IND_MANF,Austria,ISIC4_C,15.97
2007,NV_IND_MANF,Austria,ISIC4_C,16.59
2008,NV_IND_MANF,Austria,ISIC4_C,16.53
2009,NV_IND_MANF,Austria,ISIC4_C,14.65
2010,NV_IND_MANF,Austria,ISIC4_C,15.55
2018,NV_IND_MANF,Canada,ISIC4_C,9.83
2019,NV_IND_MANF,Canada,ISIC4_C,9.65
2020,NV_IND_MANF,Canada,ISIC4_C,9.17
2021,NV_IND_MANF,Canada,ISIC4_C,9.18
2022,NV_IND_MANF,Canada,ISIC4_C,9.22
2000,NV_IND_MANF,Chile,ISIC4_C,14.96
2001,NV_IND_MANF,Chile,ISIC4_C,14.56
2002,NV_IND_MANF,Chile,ISIC4_C,14.52
2003,NV_IND_MANF,Chile,ISIC4_C,14.45
2004,NV_IND_MANF,Chile,ISIC4_C,14.33
2017,NV_IND_MANF,Mexico,ISIC4_C,17.08
2018,NV_IND_MANF,Mexico,ISIC4_C,17.02
2019,NV_IND_MANF,Mexico,ISIC4_C,17.09
2020,NV_IND_MANF,Mexico,ISIC4_C,16.87
2021,NV_IND_MANF,Mexico,ISIC4_C,17.48
2022,NV_IND_MANF,Mexico,ISIC4_C,17.49
2000,NV_IND_MANF,Republic of Moldova,ISIC4_C,14.28
2001,NV_IND_MANF,Republic of Moldova,ISIC4_C,14.2
2002,NV_IND_MANF,Republic of Moldova,ISIC4_C,13.55
2003,NV_IND_MANF,Republic of Moldova,ISIC4_C,14.97
2004,NV_IND_MANF,Republic of Moldova,ISIC4_C,15.04
2005,NV_IND_MANF,Republic of Moldova,ISIC4_C,14.35
2006,NV_IND_MANF,Republic of Moldova,ISIC4_C,13.09
2007,NV_IND_MANF,Republic of Moldova,ISIC4_C,12.55
2008,NV_IND_MANF,Republic of Moldova,ISIC4_C,11.77
2009,NV_IND_MANF,Republic of Moldova,ISIC4_C,9.79
2010,NV_IND_MANF,Republic of Moldova,ISIC4_C,10.15
2011,NV_IND_MANF,Republic of Moldova,ISIC4_C,10.81
2012,NV_IND_MANF,Republic of Moldova,ISIC4_C,11.05
2013,NV_IND_MANF,Republic of Moldova,ISIC4_C,11.06
2011,NV_IND_MANF,Austria,ISIC4_C,16.2
2012,NV_IND_MANF,Austria,ISIC4_C,16.42
2013,NV_IND_MANF,Austria,ISIC4_C,16.46
2014,NV_IND_MANF,Austria,ISIC4_C,16.72
2015,NV_IND_MANF,Austria,ISIC4_C,16.69
2016,NV_IND_MANF,Austria,ISIC4_C,17.08
2017,NV_IND_MANF,Austria,ISIC4_C,17.24
2018,NV_IND_MANF,Austria,ISIC4_C,17.58
2019,NV_IND_MANF,Austria,ISIC4_C,17.49
2020,NV_IND_MANF,Austria,ISIC4_C,17.61
2014,NV_IND_MANF,Republic of Moldova,ISIC4_C,11.42
2015,NV_IND_MANF,Republic of Moldova,ISIC4_C,11.96
2016,NV_IND_MANF,Republic of Moldova,ISIC4_C,11.85
2017,NV_IND_MANF,Republic of Moldova,ISIC4_C,11.77
2018,NV_IND_MANF,Republic of Moldova,ISIC4_C,11.69
2019,NV_IND_MANF,Republic of Moldova,ISIC4_C,11.61
2020,NV_IND_MANF,Republic of Moldova,ISIC4_C,11.67
2021,NV_IND_MANF,Republic of Moldova,ISIC4_C,10.22
2022,NV_IND_MANF,Republic of Moldova,ISIC4_C,9.84
2000,NV_IND_MANF,Montenegro,ISIC4_C,11.47
2021,NV_IND_MANF,Austria,ISIC4_C,18.44
2022,NV_IND_MANF,Austria,ISIC4_C,18.97
2000,NV_IND_MANF,Armenia,ISIC4_C,9.76
2001,NV_IND_MANF,Armenia,ISIC4_C,9.15
2002,NV_IND_MANF,Armenia,ISIC4_C,9.31
2003,NV_IND_MANF,Armenia,ISIC4_C,9.48
2004,NV_IND_MANF,Armenia,ISIC4_C,10.71
2005,NV_IND_MANF,Armenia,ISIC4_C,10.23
2006,NV_IND_MANF,Armenia,ISIC4_C,9.0
2007,NV_IND_MANF,Armenia,ISIC4_C,8.04
2008,NV_IND_MANF,Armenia,ISIC4_C,7.58
2009,NV_IND_MANF,Armenia,ISIC4_C,8.2
2010,NV_IND_MANF,Armenia,ISIC4_C,9.03
2011,NV_IND_MANF,Armenia,ISIC4_C,9.7
2012,NV_IND_MANF,Armenia,ISIC4_C,9.42
2013,NV_IND_MANF,Armenia,ISIC4_C,9.83
2014,NV_IND_MANF,Armenia,ISIC4_C,10.06
2015,NV_IND_MANF,Armenia,ISIC4_C,9.21
2016,NV_IND_MANF,Armenia,ISIC4_C,10.21
2017,NV_IND_MANF,Armenia,ISIC4_C,10.62
2005,NV_IND_MANF,Chile,ISIC4_C,14.16
2006,NV_IND_MANF,Chile,ISIC4_C,14.0
2007,NV_IND_MANF,Chile,ISIC4_C,13.69
2008,NV_IND_MANF,Chile,ISIC4_C,13.39
2009,NV_IND_MANF,Chile,ISIC4_C,12.79
2010,NV_IND_MANF,Chile,ISIC4_C,12.47
2011,NV_IND_MANF,Chile,ISIC4_C,12.68
2012,NV_IND_MANF,Chile,ISIC4_C,12.44
2013,NV_IND_MANF,Chile,ISIC4_C,12.2
2014,NV_IND_MANF,Chile,ISIC4_C,11.91
2015,NV_IND_MANF,Chile,ISIC4_C,11.66
2016,NV_IND_MANF,Chile,ISIC4_C,11.34
2017,NV_IND_MANF,Chile,ISIC4_C,11.33
2018,NV_IND_MANF,Chile,ISIC4_C,11.34
2019,NV_IND_MANF,Chile,ISIC4_C,11.09
2020,NV_IND_MANF,Chile,ISIC4_C,11.41
2021,NV_IND_MANF,Chile,ISIC4_C,11.07
2022,NV_IND_MANF,Chile,ISIC4_C,10.93
2000,NV_IND_MANF,China,ISIC4_C,16.48
2001,NV_IND_MANF,China,ISIC4_C,17.19
2002,NV_IND_MANF,China,ISIC4_C,18.77
2003,NV_IND_MANF,China,ISIC4_C,22.9
2004,NV_IND_MANF,China,ISIC4_C,26.44
2005,NV_IND_MANF,China,ISIC4_C,25.99
2006,NV_IND_MANF,China,ISIC4_C,26.09
2007,NV_IND_MANF,China,ISIC4_C,26.64
2008,NV_IND_MANF,China,ISIC4_C,26.58
2009,NV_IND_MANF,China,ISIC4_C,27.41
2010,NV_IND_MANF,China,ISIC4_C,27.49
2011,NV_IND_MANF,China,ISIC4_C,27.82
2001,NV_IND_MANF,Montenegro,ISIC4_C,11.48
2002,NV_IND_MANF,Montenegro,ISIC4_C,10.77
2003,NV_IND_MANF,Montenegro,ISIC4_C,9.84
2004,NV_IND_MANF,Montenegro,ISIC4_C,9.95
2005,NV_IND_MANF,Montenegro,ISIC4_C,10.07
2006,NV_IND_MANF,Montenegro,ISIC4_C,9.69
2007,NV_IND_MANF,Montenegro,ISIC4_C,6.89
2008,NV_IND_MANF,Montenegro,ISIC4_C,6.08
2009,NV_IND_MANF,Montenegro,ISIC4_C,4.58
2010,NV_IND_MANF,Montenegro,ISIC4_C,4.19
2012,NV_IND_MANF,China,ISIC4_C,28.27
2013,NV_IND_MANF,China,ISIC4_C,28.44
2014,NV_IND_MANF,China,ISIC4_C,28.9
2015,NV_IND_MANF,China,ISIC4_C,28.95
2016,NV_IND_MANF,China,ISIC4_C,28.8
2017,NV_IND_MANF,China,ISIC4_C,28.49
2018,NV_IND_MANF,China,ISIC4_C,28.31
2019,NV_IND_MANF,China,ISIC4_C,27.9
2020,NV_IND_MANF,China,ISIC4_C,28.0
2021,NV_IND_MANF,China,ISIC4_C,28.38
2022,NV_IND_MANF,China,ISIC4_C,28.28
2000,NV_IND_MANF,Colombia,ISIC4_C,14.68
2001,NV_IND_MANF,Colombia,ISIC4_C,14.66
2002,NV_IND_MANF,Colombia,ISIC4_C,14.44
2003,NV_IND_MANF,Colombia,ISIC4_C,14.9
2004,NV_IND_MANF,Colombia,ISIC4_C,14.9
2005,NV_IND_MANF,Colombia,ISIC4_C,15.0
2006,NV_IND_MANF,Colombia,ISIC4_C,15.09
2007,NV_IND_MANF,Colombia,ISIC4_C,15.23
2008,NV_IND_MANF,Colombia,ISIC4_C,14.8
2009,NV_IND_MANF,Colombia,ISIC4_C,14.1
2010,NV_IND_MANF,Colombia,ISIC4_C,13.74
2011,NV_IND_MANF,Colombia,ISIC4_C,13.57
2012,NV_IND_MANF,Colombia,ISIC4_C,13.17
2013,NV_IND_MANF,Colombia,ISIC4_C,12.71
2014,NV_IND_MANF,Colombia,ISIC4_C,12.52
2015,NV_IND_MANF,Colombia,ISIC4_C,12.4
2016,NV_IND_MANF,Colombia,ISIC4_C,12.54
2017,NV_IND_MANF,Colombia,ISIC4_C,12.15
2018,NV_IND_MANF,Colombia,ISIC4_C,12.02
2019,NV_IND_MANF,Colombia,ISIC4_C,11.79
2020,NV_IND_MANF,Colombia,ISIC4_C,11.44
2021,NV_IND_MANF,Colombia,ISIC4_C,12.02
2022,NV_IND_MANF,Colombia,ISIC4_C,12.02
2000,NV_IND_MANF,Costa Rica,ISIC4_C,17.96
2001,NV_IND_MANF,Costa Rica,ISIC4_C,17.26
2002,NV_IND_MANF,Costa Rica,ISIC4_C,17.27
2003,NV_IND_MANF,Costa Rica,ISIC4_C,16.78
2004,NV_IND_MANF,Costa Rica,ISIC4_C,16.72
2005,NV_IND_MANF,Costa Rica,ISIC4_C,16.65
2006,NV_IND_MANF,Costa Rica,ISIC4_C,16.14
2007,NV_IND_MANF,Costa Rica,ISIC4_C,15.34
2008,NV_IND_MANF,Costa Rica,ISIC4_C,14.31
2009,NV_IND_MANF,Costa Rica,ISIC4_C,13.29
2010,NV_IND_MANF,Costa Rica,ISIC4_C,13.47
2011,NV_IND_MANF,Costa Rica,ISIC4_C,13.39
2012,NV_IND_MANF,Costa Rica,ISIC4_C,13.29
2013,NV_IND_MANF,Costa Rica,ISIC4_C,12.96
2014,NV_IND_MANF,Costa Rica,ISIC4_C,12.54
2015,NV_IND_MANF,Costa Rica,ISIC4_C,11.61
2016,NV_IND_MANF,Costa Rica,ISIC4_C,11.61
2017,NV_IND_MANF,Costa Rica,ISIC4_C,11.59
2018,NV_IND_MANF,Costa Rica,ISIC4_C,11.77
2019,NV_IND_MANF,Costa Rica,ISIC4_C,11.84
2020,NV_IND_MANF,Costa Rica,ISIC4_C,12.72
2021,NV_IND_MANF,Costa Rica,ISIC4_C,13.35
2022,NV_IND_MANF,Costa Rica,ISIC4_C,13.19
2000,NV_IND_MANF,Croatia,ISIC4_C,15.49
2001,NV_IND_MANF,Croatia,ISIC4_C,15.23
2002,NV_IND_MANF,Croatia,ISIC4_C,14.69
2003,NV_IND_MANF,Croatia,ISIC4_C,14.5
2004,NV_IND_MANF,Croatia,ISIC4_C,14.39
2005,NV_IND_MANF,Croatia,ISIC4_C,14.13
2006,NV_IND_MANF,Croatia,ISIC4_C,13.97
2007,NV_IND_MANF,Croatia,ISIC4_C,14.22
2008,NV_IND_MANF,Croatia,ISIC4_C,13.97
2009,NV_IND_MANF,Croatia,ISIC4_C,13.16
2010,NV_IND_MANF,Croatia,ISIC4_C,12.62
2011,NV_IND_MANF,Croatia,ISIC4_C,12.69
2012,NV_IND_MANF,Croatia,ISIC4_C,12.33
2013,NV_IND_MANF,Croatia,ISIC4_C,12.07
2014,NV_IND_MANF,Croatia,ISIC4_C,12.55
2015,NV_IND_MANF,Croatia,ISIC4_C,12.75
2016,NV_IND_MANF,Croatia,ISIC4_C,13.11
2017,NV_IND_MANF,Croatia,ISIC4_C,13.08
2018,NV_IND_MANF,Croatia,ISIC4_C,12.72
2019,NV_IND_MANF,Croatia,ISIC4_C,12.52
2020,NV_IND_MANF,Croatia,ISIC4_C,12.91
2021,NV_IND_MANF,Croatia,ISIC4_C,12.39
2022,NV_IND_MANF,Croatia,ISIC4_C,12.3
2000,NV_IND_MANF,Cyprus,ISIC4_C,7.65
2001,NV_IND_MANF,Cyprus,ISIC4_C,7.19
2002,NV_IND_MANF,Cyprus,ISIC4_C,7.08
2003,NV_IND_MANF,Cyprus,ISIC4_C,7.08
2004,NV_IND_MANF,Cyprus,ISIC4_C,6.76
2005,NV_IND_MANF,Cyprus,ISIC4_C,6.39
2006,NV_IND_MANF,Cyprus,ISIC4_C,5.94
2007,NV_IND_MANF,Cyprus,ISIC4_C,5.73
2008,NV_IND_MANF,Cyprus,ISIC4_C,5.72
2009,NV_IND_MANF,Cyprus,ISIC4_C,5.44
2010,NV_IND_MANF,Cyprus,ISIC4_C,5.19
2011,NV_IND_MANF,Cyprus,ISIC4_C,4.7
2012,NV_IND_MANF,Cyprus,ISIC4_C,4.45
2013,NV_IND_MANF,Cyprus,ISIC4_C,3.97
2014,NV_IND_MANF,Cyprus,ISIC4_C,4.08
2015,NV_IND_MANF,Cyprus,ISIC4_C,4.26
2016,NV_IND_MANF,Cyprus,ISIC4_C,4.58
2017,NV_IND_MANF,Cyprus,ISIC4_C,4.95
2018,NV_IND_MANF,Cyprus,ISIC4_C,5.46
2019,NV_IND_MANF,Cyprus,ISIC4_C,5.58
2011,NV_IND_MANF,Montenegro,ISIC4_C,4.5
2012,NV_IND_MANF,Montenegro,ISIC4_C,4.03
2013,NV_IND_MANF,Montenegro,ISIC4_C,4.15
2014,NV_IND_MANF,Montenegro,ISIC4_C,3.99
2015,NV_IND_MANF,Montenegro,ISIC4_C,4.09
2016,NV_IND_MANF,Montenegro,ISIC4_C,3.81
2017,NV_IND_MANF,Montenegro,ISIC4_C,3.98
2018,NV_IND_MANF,Montenegro,ISIC4_C,4.13
2019,NV_IND_MANF,Montenegro,ISIC4_C,3.93
2020,NV_IND_MANF,Montenegro,ISIC4_C,4.34
2020,NV_IND_MANF,Cyprus,ISIC4_C,5.7
2021,NV_IND_MANF,Cyprus,ISIC4_C,5.71
2022,NV_IND_MANF,Cyprus,ISIC4_C,5.57
2000,NV_IND_MANF,Czechia,ISIC4_C,16.58
2001,NV_IND_MANF,Czechia,ISIC4_C,16.76
2002,NV_IND_MANF,Czechia,ISIC4_C,17.15
