Year,Показатели,Страна,Quantile,Sex,Value
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Greece,,BOTHSEX,53.9
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Greece,,BOTHSEX,57.7
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Greece,,BOTHSEX,30.8
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Greece,,BOTHSEX,28.6
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Greece,,BOTHSEX,21.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Greece,,BOTHSEX,26.4
2014,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,BOTHSEX,100.0
2014,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,FEMALE,96.3
2014,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,MALE,100.0
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,MALE,100.0
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,FEMALE,99.3
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,BOTHSEX,100.0
2017,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,BOTHSEX,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,FEMALE,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,MALE,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Poland,,BOTHSEX,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Israel,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Italy,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Italy,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Казахстан,,FEMALE,44.6
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Казахстан,,FEMALE,44.2
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Кыргызстан,,FEMALE,23.8
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Кыргызстан,,FEMALE,23.8
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Latvia,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Latvia,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Liechtenstein,,FEMALE,100.0
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Portugal,,FEMALE,58.2
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Portugal,,BOTHSEX,61.4
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Portugal,,MALE,65.0
2014,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Portugal,,MALE,63.1
2014,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Portugal,,FEMALE,55.4
2014,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Portugal,,BOTHSEX,59.0
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Portugal,,BOTHSEX,89.2
2019,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Portugal,,BOTHSEX,89.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Portugal,,BOTHSEX,89.0
2003,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,BOTHSEX,45.1
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,BOTHSEX,42.6
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,BOTHSEX,42.6
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,BOTHSEX,48.0
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,BOTHSEX,39.5
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,BOTHSEX,35.7
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,BOTHSEX,10.9
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,MALE,11.2
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,FEMALE,10.5
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,MALE,12.5
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,BOTHSEX,12.4
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,FEMALE,12.2
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,FEMALE,25.9
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,BOTHSEX,26.3
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Hungary,,MALE,26.7
2000,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,BOTHSEX,50.4
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,BOTHSEX,72.6
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,BOTHSEX,39.1
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,BOTHSEX,17.7
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,BOTHSEX,21.6
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Liechtenstein,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Lithuania,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Lithuania,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Luxembourg,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Luxembourg,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Malta,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Malta,,FEMALE,100.0
2017,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Mexico,,FEMALE,9.6
2019,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Mexico,,FEMALE,10.5
2021,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Mexico,,FEMALE,11.5
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Romania,,BOTHSEX,100.0
2017,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Romania,,BOTHSEX,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Romania,,MALE,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Romania,,BOTHSEX,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Romania,,FEMALE,100.0
2021,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Serbia,,BOTHSEX,84.7
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,MALE,100.0
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,FEMALE,100.0
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,BOTHSEX,100.0
2014,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,MALE,100.0
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,BOTHSEX,28.6
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,FEMALE,43.0
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,MALE,18.3
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,BOTHSEX,100.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,FEMALE,100.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Iceland,,MALE,100.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",India,,FEMALE,0.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",India,,BOTHSEX,0.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",India,,MALE,0.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Republic of Moldova,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Montenegro,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Netherlands (Kingdom of the),,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Netherlands (Kingdom of the),,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),New Zealand,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),New Zealand,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Norway,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Norway,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Poland,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Poland,,FEMALE,100.0
2000,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,BOTHSEX,74.7
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,BOTHSEX,81.5
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,BOTHSEX,85.9
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,BOTHSEX,91.3
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,BOTHSEX,87.2
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,BOTHSEX,85.4
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,MALE,100.0
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,FEMALE,94.1
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,BOTHSEX,100.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,MALE,100.0
2014,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,FEMALE,100.0
2014,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,BOTHSEX,100.0
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,BOTHSEX,100.0
2017,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,BOTHSEX,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,BOTHSEX,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,FEMALE,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovakia,,MALE,100.0
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Viet Nam,,BOTHSEX,9.7
2017,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Viet Nam,,BOTHSEX,9.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Viet Nam,,BOTHSEX,83.5
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,BOTHSEX,100.0
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Ireland,,FEMALE,100.0
2000,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Israel,,BOTHSEX,43.3
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Israel,,BOTHSEX,29.1
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Israel,,BOTHSEX,29.7
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Israel,,BOTHSEX,38.2
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Israel,,BOTHSEX,36.3
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Israel,,BOTHSEX,40.0
2013,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Israel,,BOTHSEX,33.9
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Israel,,BOTHSEX,37.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Portugal,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Portugal,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Romania,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Romania,,FEMALE,100.0
2021,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Serbia,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Slovakia,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Slovakia,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Viet Nam,,FEMALE,44.5
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Viet Nam,,FEMALE,44.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Slovenia,,FEMALE,96.0
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovenia,,BOTHSEX,100.0
2014,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovenia,,BOTHSEX,100.0
2016,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovenia,,BOTHSEX,100.0
2017,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovenia,,BOTHSEX,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovenia,,FEMALE,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovenia,,MALE,100.0
2020,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Slovenia,,BOTHSEX,100.0
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Spain,,BOTHSEX,81.2
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Spain,,MALE,100.0
2013,"[ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%)",Spain,,FEMALE,60.7
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Israel,,BOTHSEX,42.0
2000,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Italy,,BOTHSEX,22.6
2005,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Italy,,BOTHSEX,35.4
2007,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Italy,,BOTHSEX,42.5
2009,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Italy,,BOTHSEX,61.3
2010,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Italy,,BOTHSEX,56.2
2011,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Italy,,BOTHSEX,55.8
2014,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Italy,,BOTHSEX,37.8
2020,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Italy,,BOTHSEX,48.2
2001,"[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)",Japan,,BOTHSEX,32.5
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Slovenia,,FEMALE,96.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Spain,,FEMALE,100.0
2020,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Spain,,FEMALE,100.0
2016,[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%),Sweden,,FEMALE,100.0
