Year,SeriesCode,Страна ,Sex,Type of occupation,Value
2016,SH_MED_HWRKDIS,Estonia,MALE,NURS,1.7
2018,SH_MED_HWRKDIS,Estonia,FEMALE,NURS,97.2
2018,SH_MED_HWRKDIS,Estonia,MALE,NURS,2.8
2020,SH_MED_HWRKDIS,Estonia,MALE,PHYS,27.5
2020,SH_MED_HWRKDIS,Estonia,MALE,NURS,3.8
2020,SH_MED_HWRKDIS,Estonia,FEMALE,NURS,96.2
2020,SH_MED_HWRKDIS,Estonia,FEMALE,PHYS,72.5
2013,SH_MED_HWRKDIS,Finland,FEMALE,NURS,93.1
2006,SH_MED_HWRKDIS,Armenia,MALE,PHYS,29.5
2006,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,70.5
2007,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,70.7
2007,SH_MED_HWRKDIS,Armenia,MALE,PHYS,29.3
2008,SH_MED_HWRKDIS,Armenia,MALE,PHYS,29.6
2008,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,70.4
2009,SH_MED_HWRKDIS,Armenia,MALE,PHYS,30.0
2009,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,70.0
2010,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,69.5
2010,SH_MED_HWRKDIS,Armenia,MALE,PHYS,30.5
2011,SH_MED_HWRKDIS,Armenia,MALE,PHYS,30.5
2011,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,69.5
2011,SH_MED_HWRKDIS,Armenia,MALE,NURS,2.4
2011,SH_MED_HWRKDIS,Armenia,FEMALE,NURS,97.6
2012,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,69.2
2012,SH_MED_HWRKDIS,Armenia,MALE,PHYS,30.8
2013,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,69.2
2013,SH_MED_HWRKDIS,Armenia,MALE,PHYS,30.8
2014,SH_MED_HWRKDIS,Armenia,MALE,PHYS,30.4
2014,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,69.6
2015,SH_MED_HWRKDIS,Armenia,MALE,PHYS,30.5
2015,SH_MED_HWRKDIS,Armenia,FEMALE,PHYS,69.5
2016,SH_MED_HWRKDIS,Belgium,MALE,NURS,13.7
2016,SH_MED_HWRKDIS,Belgium,FEMALE,NURS,86.3
2003,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,90.5
2003,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,9.5
2004,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,8.5
2004,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,91.5
2005,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,91.5
2005,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,8.5
2006,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,9.6
2006,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,90.4
2007,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,10.8
2007,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,89.2
2008,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,89.5
2008,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,10.5
2009,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,11.7
2009,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,88.3
2010,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,88.8
2010,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,11.2
2011,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,11.8
2011,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,88.2
2012,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,12.1
2012,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,87.9
2013,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,12.3
2013,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,87.7
2013,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,NURS,20.5
2013,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,NURS,79.5
2014,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,NURS,78.2
2014,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,NURS,21.8
2015,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,NURS,21.4
2015,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,NURS,78.6
2015,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,PHYS,12.3
2015,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,PHYS,87.7
2016,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,NURS,78.2
2016,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,NURS,21.8
2017,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,NURS,22.3
2017,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,NURS,77.7
2018,SH_MED_HWRKDIS,Bosnia and Herzegovina,MALE,NURS,22.5
2018,SH_MED_HWRKDIS,Bosnia and Herzegovina,FEMALE,NURS,77.5
2014,SH_MED_HWRKDIS,Bulgaria,MALE,PHYS,44.4
2014,SH_MED_HWRKDIS,Bulgaria,FEMALE,PHYS,55.6
2015,SH_MED_HWRKDIS,Bulgaria,FEMALE,PHYS,55.1
2015,SH_MED_HWRKDIS,Bulgaria,MALE,PHYS,44.9
2015,SH_MED_HWRKDIS,Bulgaria,MALE,NURS,0.4
2015,SH_MED_HWRKDIS,Bulgaria,FEMALE,NURS,99.6
2016,SH_MED_HWRKDIS,Bulgaria,FEMALE,NURS,99.6
2016,SH_MED_HWRKDIS,Bulgaria,MALE,NURS,0.4
2017,SH_MED_HWRKDIS,Bulgaria,MALE,NURS,0.6
2017,SH_MED_HWRKDIS,Bulgaria,FEMALE,NURS,99.4
2018,SH_MED_HWRKDIS,Bulgaria,FEMALE,NURS,99.4
2018,SH_MED_HWRKDIS,Bulgaria,MALE,NURS,0.6
2009,SH_MED_HWRKDIS,Belarus,MALE,NURS,0.6
2009,SH_MED_HWRKDIS,Belarus,FEMALE,NURS,99.4
2011,SH_MED_HWRKDIS,Belarus,FEMALE,PHYS,70.2
2011,SH_MED_HWRKDIS,Belarus,MALE,PHYS,29.8
2012,SH_MED_HWRKDIS,Belarus,MALE,PHYS,29.3
2012,SH_MED_HWRKDIS,Belarus,FEMALE,PHYS,70.7
2013,SH_MED_HWRKDIS,Belarus,MALE,PHYS,28.9
2013,SH_MED_HWRKDIS,Belarus,FEMALE,PHYS,71.1
2014,SH_MED_HWRKDIS,Belarus,FEMALE,PHYS,71.6
2014,SH_MED_HWRKDIS,Belarus,MALE,PHYS,28.4
2015,SH_MED_HWRKDIS,Belarus,MALE,PHYS,27.5
2015,SH_MED_HWRKDIS,Belarus,FEMALE,PHYS,72.5
2013,SH_MED_HWRKDIS,Canada,FEMALE,NURS,92.4
2013,SH_MED_HWRKDIS,Canada,MALE,NURS,7.6
2014,SH_MED_HWRKDIS,Canada,FEMALE,NURS,92.1
2014,SH_MED_HWRKDIS,Canada,MALE,NURS,7.9
2015,SH_MED_HWRKDIS,Canada,FEMALE,NURS,91.9
2015,SH_MED_HWRKDIS,Canada,MALE,NURS,8.1
2016,SH_MED_HWRKDIS,Canada,MALE,NURS,8.3
2016,SH_MED_HWRKDIS,Canada,FEMALE,NURS,91.7
2017,SH_MED_HWRKDIS,Canada,MALE,NURS,8.5
2017,SH_MED_HWRKDIS,Canada,FEMALE,NURS,91.5
2018,SH_MED_HWRKDIS,Canada,FEMALE,NURS,91.3
2018,SH_MED_HWRKDIS,Canada,MALE,NURS,8.7
2019,SH_MED_HWRKDIS,Canada,FEMALE,PHYS,42.8
2019,SH_MED_HWRKDIS,Canada,MALE,PHYS,57.2
2020,SH_MED_HWRKDIS,Canada,FEMALE,PHYS,43.7
2020,SH_MED_HWRKDIS,Canada,FEMALE,NURS,90.8
2020,SH_MED_HWRKDIS,Canada,MALE,NURS,9.2
2020,SH_MED_HWRKDIS,Canada,MALE,PHYS,56.3
2021,SH_MED_HWRKDIS,Canada,FEMALE,NURS,90.6
2021,SH_MED_HWRKDIS,Canada,MALE,NURS,9.4
2013,SH_MED_HWRKDIS,Finland,MALE,NURS,6.9
2014,SH_MED_HWRKDIS,Finland,MALE,NURS,7.2
2014,SH_MED_HWRKDIS,Finland,FEMALE,NURS,92.8
2014,SH_MED_HWRKDIS,Finland,FEMALE,PHYS,64.7
2014,SH_MED_HWRKDIS,Finland,MALE,PHYS,35.3
2015,SH_MED_HWRKDIS,Finland,MALE,NURS,7.4
2015,SH_MED_HWRKDIS,Finland,FEMALE,NURS,92.6
2016,SH_MED_HWRKDIS,Finland,FEMALE,NURS,92.4
2016,SH_MED_HWRKDIS,Finland,MALE,NURS,7.6
2016,SH_MED_HWRKDIS,Finland,MALE,PHYS,43.4
2016,SH_MED_HWRKDIS,Finland,FEMALE,PHYS,56.6
2017,SH_MED_HWRKDIS,Finland,MALE,NURS,7.7
2017,SH_MED_HWRKDIS,Finland,FEMALE,NURS,92.3
2006,SH_MED_HWRKDIS,France,FEMALE,PHYS,48.3
2006,SH_MED_HWRKDIS,France,FEMALE,NURS,86.1
2006,SH_MED_HWRKDIS,France,MALE,PHYS,51.7
2006,SH_MED_HWRKDIS,France,MALE,NURS,13.9
2011,SH_MED_HWRKDIS,France,MALE,NURS,12.9
2011,SH_MED_HWRKDIS,France,FEMALE,PHYS,40.7
2011,SH_MED_HWRKDIS,France,MALE,PHYS,59.3
2011,SH_MED_HWRKDIS,France,FEMALE,NURS,87.1
2014,SH_MED_HWRKDIS,France,MALE,PHYS,53.0
2014,SH_MED_HWRKDIS,France,FEMALE,NURS,86.6
2014,SH_MED_HWRKDIS,France,MALE,NURS,13.4
2014,SH_MED_HWRKDIS,France,FEMALE,PHYS,47.0
2016,SH_MED_HWRKDIS,France,MALE,NURS,12.4
2016,SH_MED_HWRKDIS,France,FEMALE,NURS,87.6
2021,SH_MED_HWRKDIS,Georgia,FEMALE,PHYS,73.9
2021,SH_MED_HWRKDIS,Georgia,MALE,PHYS,26.1
2021,SH_MED_HWRKDIS,Georgia,MALE,NURS,0.0
2021,SH_MED_HWRKDIS,Georgia,FEMALE,NURS,100.0
2014,SH_MED_HWRKDIS,Germany,MALE,NURS,14.2
2014,SH_MED_HWRKDIS,Germany,FEMALE,NURS,85.8
2015,SH_MED_HWRKDIS,Germany,FEMALE,NURS,85.5
2015,SH_MED_HWRKDIS,Germany,MALE,NURS,14.5
2016,SH_MED_HWRKDIS,Germany,FEMALE,NURS,85.5
2016,SH_MED_HWRKDIS,Germany,MALE,NURS,14.5
2017,SH_MED_HWRKDIS,Germany,FEMALE,NURS,85.0
2017,SH_MED_HWRKDIS,Germany,MALE,NURS,15.0
2018,SH_MED_HWRKDIS,Germany,FEMALE,NURS,84.5
2018,SH_MED_HWRKDIS,Germany,MALE,NURS,15.5
2019,SH_MED_HWRKDIS,Germany,FEMALE,NURS,84.1
2019,SH_MED_HWRKDIS,Germany,MALE,NURS,15.9
2020,SH_MED_HWRKDIS,Germany,FEMALE,NURS,34.2
2020,SH_MED_HWRKDIS,Germany,MALE,NURS,65.8
2020,SH_MED_HWRKDIS,Germany,FEMALE,PHYS,48.1
2020,SH_MED_HWRKDIS,Germany,MALE,PHYS,51.9
2011,SH_MED_HWRKDIS,Greece,FEMALE,PHYS,38.8
2011,SH_MED_HWRKDIS,Greece,MALE,PHYS,61.2
2011,SH_MED_HWRKDIS,Greece,MALE,NURS,13.5
2011,SH_MED_HWRKDIS,Greece,FEMALE,NURS,86.5
2016,SH_MED_HWRKDIS,Greece,MALE,NURS,17.7
2016,SH_MED_HWRKDIS,Greece,FEMALE,NURS,82.3
2016,SH_MED_HWRKDIS,Hungary,FEMALE,NURS,97.6
2016,SH_MED_HWRKDIS,Hungary,MALE,NURS,2.4
2019,SH_MED_HWRKDIS,Hungary,FEMALE,NURS,91.0
2019,SH_MED_HWRKDIS,Hungary,MALE,NURS,9.0
2016,SH_MED_HWRKDIS,Iceland,MALE,NURS,1.8
2016,SH_MED_HWRKDIS,Iceland,FEMALE,NURS,98.2
2018,SH_MED_HWRKDIS,Iceland,FEMALE,NURS,97.5
2018,SH_MED_HWRKDIS,Iceland,MALE,NURS,2.5
2019,SH_MED_HWRKDIS,Iceland,MALE,NURS,2.9
2019,SH_MED_HWRKDIS,Iceland,FEMALE,NURS,97.1
2004,SH_MED_HWRKDIS,India,FEMALE,PHYS,14.2
2004,SH_MED_HWRKDIS,India,MALE,PHYS,85.8
2004,SH_MED_HWRKDIS,India,MALE,NURS,5.6
2004,SH_MED_HWRKDIS,India,FEMALE,NURS,94.4
2009,SH_MED_HWRKDIS,India,MALE,NURS,20.1
2009,SH_MED_HWRKDIS,India,FEMALE,NURS,79.9
2018,SH_MED_HWRKDIS,India,FEMALE,NURS,88.1
2018,SH_MED_HWRKDIS,India,MALE,NURS,11.9
2006,SH_MED_HWRKDIS,Ireland,MALE,NURS,11.5
2006,SH_MED_HWRKDIS,Ireland,FEMALE,NURS,88.5
2011,SH_MED_HWRKDIS,Ireland,MALE,NURS,7.6
2011,SH_MED_HWRKDIS,Ireland,FEMALE,NURS,92.4
2016,SH_MED_HWRKDIS,Ireland,MALE,NURS,9.0
2016,SH_MED_HWRKDIS,Ireland,FEMALE,NURS,91.0
2018,SH_MED_HWRKDIS,Ireland,FEMALE,NURS,90.6
2018,SH_MED_HWRKDIS,Ireland,MALE,NURS,9.4
2016,SH_MED_HWRKDIS,Israel,MALE,PHYS,58.4
2016,SH_MED_HWRKDIS,Israel,FEMALE,PHYS,41.6
2021,SH_MED_HWRKDIS,Canada,MALE,PHYS,55.6
2021,SH_MED_HWRKDIS,Canada,FEMALE,PHYS,44.4
2013,SH_MED_HWRKDIS,Chile,MALE,NURS,15.0
2013,SH_MED_HWRKDIS,Chile,FEMALE,NURS,85.0
2014,SH_MED_HWRKDIS,Chile,FEMALE,NURS,84.6
2014,SH_MED_HWRKDIS,Chile,MALE,NURS,15.4
2015,SH_MED_HWRKDIS,Chile,FEMALE,NURS,84.7
2015,SH_MED_HWRKDIS,Chile,MALE,NURS,15.3
2016,SH_MED_HWRKDIS,Chile,MALE,NURS,15.1
2016,SH_MED_HWRKDIS,Chile,FEMALE,NURS,84.9
2017,SH_MED_HWRKDIS,Chile,MALE,NURS,15.0
2017,SH_MED_HWRKDIS,Chile,FEMALE,NURS,85.0
2018,SH_MED_HWRKDIS,Chile,MALE,NURS,14.9
2018,SH_MED_HWRKDIS,Chile,FEMALE,NURS,85.1
2013,SH_MED_HWRKDIS,China,FEMALE,NURS,98.0
2013,SH_MED_HWRKDIS,China,MALE,NURS,2.0
2014,SH_MED_HWRKDIS,China,MALE,NURS,2.0
2014,SH_MED_HWRKDIS,China,FEMALE,NURS,98.0
2015,SH_MED_HWRKDIS,China,MALE,NURS,2.0
2015,SH_MED_HWRKDIS,China,FEMALE,NURS,98.0
2016,SH_MED_HWRKDIS,China,FEMALE,NURS,98.0
2016,SH_MED_HWRKDIS,China,MALE,NURS,2.0
2017,SH_MED_HWRKDIS,China,FEMALE,NURS,98.0
2017,SH_MED_HWRKDIS,China,MALE,NURS,2.0
2018,SH_MED_HWRKDIS,Colombia,MALE,NURS,11.2
2018,SH_MED_HWRKDIS,Colombia,FEMALE,NURS,88.8
2019,SH_MED_HWRKDIS,Colombia,FEMALE,NURS,88.3
2019,SH_MED_HWRKDIS,Colombia,MALE,NURS,11.7
2021,SH_MED_HWRKDIS,Colombia,FEMALE,NURS,87.8
2021,SH_MED_HWRKDIS,Colombia,MALE,NURS,12.2
2021,SH_MED_HWRKDIS,Colombia,MALE,PHYS,37.1
2021,SH_MED_HWRKDIS,Colombia,FEMALE,PHYS,62.9
2015,SH_MED_HWRKDIS,Costa Rica,MALE,PHYS,52.5
2015,SH_MED_HWRKDIS,Costa Rica,MALE,NURS,17.6
2015,SH_MED_HWRKDIS,Costa Rica,FEMALE,NURS,82.4
2015,SH_MED_HWRKDIS,Costa Rica,FEMALE,PHYS,47.5
2016,SH_MED_HWRKDIS,Costa Rica,FEMALE,NURS,82.5
2016,SH_MED_HWRKDIS,Costa Rica,MALE,NURS,17.5
2016,SH_MED_HWRKDIS,Costa Rica,MALE,PHYS,51.9
2016,SH_MED_HWRKDIS,Costa Rica,FEMALE,PHYS,48.1
2017,SH_MED_HWRKDIS,Costa Rica,FEMALE,NURS,82.5
2017,SH_MED_HWRKDIS,Costa Rica,MALE,NURS,17.5
2018,SH_MED_HWRKDIS,Costa Rica,FEMALE,NURS,82.5
2018,SH_MED_HWRKDIS,Costa Rica,MALE,NURS,17.5
2019,SH_MED_HWRKDIS,Costa Rica,FEMALE,PHYS,55.3
2019,SH_MED_HWRKDIS,Costa Rica,MALE,PHYS,44.7
2020,SH_MED_HWRKDIS,Costa Rica,MALE,PHYS,52.4
2020,SH_MED_HWRKDIS,Costa Rica,MALE,NURS,16.4
2020,SH_MED_HWRKDIS,Costa Rica,FEMALE,PHYS,47.6
2020,SH_MED_HWRKDIS,Costa Rica,FEMALE,NURS,83.6
2021,SH_MED_HWRKDIS,Costa Rica,FEMALE,NURS,83.8
2021,SH_MED_HWRKDIS,Costa Rica,MALE,NURS,16.2
2021,SH_MED_HWRKDIS,Costa Rica,FEMALE,PHYS,48.2
2021,SH_MED_HWRKDIS,Costa Rica,MALE,PHYS,51.8
2000,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,55.5
2000,SH_MED_HWRKDIS,Croatia,MALE,PHYS,44.5
2001,SH_MED_HWRKDIS,Croatia,MALE,PHYS,44.0
2001,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,56.0
2002,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,56.4
2002,SH_MED_HWRKDIS,Croatia,MALE,PHYS,43.6
2003,SH_MED_HWRKDIS,Croatia,MALE,PHYS,43.1
2003,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,56.9
2004,SH_MED_HWRKDIS,Croatia,MALE,PHYS,42.5
2004,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,57.5
2005,SH_MED_HWRKDIS,Croatia,MALE,PHYS,42.4
2005,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,57.6
2006,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,58.2
2006,SH_MED_HWRKDIS,Croatia,MALE,PHYS,41.8
2007,SH_MED_HWRKDIS,Croatia,MALE,PHYS,41.3
2007,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,58.7
2008,SH_MED_HWRKDIS,Croatia,MALE,PHYS,40.9
2008,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,59.1
2009,SH_MED_HWRKDIS,Croatia,MALE,PHYS,40.4
2009,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,59.6
2010,SH_MED_HWRKDIS,Croatia,MALE,PHYS,39.8
2010,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,60.2
2011,SH_MED_HWRKDIS,Croatia,MALE,PHYS,39.2
2011,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,60.8
2012,SH_MED_HWRKDIS,Croatia,MALE,PHYS,38.9
2012,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,61.1
2013,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,61.6
2013,SH_MED_HWRKDIS,Croatia,MALE,PHYS,38.4
2014,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,62.0
2014,SH_MED_HWRKDIS,Croatia,MALE,PHYS,38.0
2015,SH_MED_HWRKDIS,Croatia,MALE,PHYS,37.6
2015,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,62.4
2016,SH_MED_HWRKDIS,Croatia,MALE,PHYS,32.5
2016,SH_MED_HWRKDIS,Croatia,FEMALE,PHYS,67.5
2016,SH_MED_HWRKDIS,Croatia,FEMALE,NURS,92.8
2016,SH_MED_HWRKDIS,Croatia,MALE,NURS,7.2
2016,SH_MED_HWRKDIS,Israel,MALE,NURS,12.1
2016,SH_MED_HWRKDIS,Israel,FEMALE,NURS,87.9
2017,SH_MED_HWRKDIS,Israel,FEMALE,PHYS,42.1
2017,SH_MED_HWRKDIS,Israel,MALE,PHYS,57.9
2017,SH_MED_HWRKDIS,Israel,FEMALE,NURS,86.8
2017,SH_MED_HWRKDIS,Israel,MALE,NURS,13.2
2018,SH_MED_HWRKDIS,Israel,MALE,PHYS,57.9
2018,SH_MED_HWRKDIS,Israel,FEMALE,PHYS,42.1
2018,SH_MED_HWRKDIS,Israel,MALE,NURS,13.6
2000,SH_MED_HWRKDIS,Cyprus,MALE,PHYS,67.2
2000,SH_MED_HWRKDIS,Cyprus,FEMALE,PHYS,32.8
2014,SH_MED_HWRKDIS,Cyprus,MALE,PHYS,62.8
2014,SH_MED_HWRKDIS,Cyprus,FEMALE,PHYS,37.2
2015,SH_MED_HWRKDIS,Cyprus,MALE,PHYS,62.4
2015,SH_MED_HWRKDIS,Cyprus,FEMALE,PHYS,37.6
2016,SH_MED_HWRKDIS,Cyprus,FEMALE,PHYS,44.7
2016,SH_MED_HWRKDIS,Cyprus,MALE,NURS,19.7
2016,SH_MED_HWRKDIS,Cyprus,FEMALE,NURS,80.3
2018,SH_MED_HWRKDIS,Israel,FEMALE,NURS,86.4
2019,SH_MED_HWRKDIS,Israel,MALE,NURS,14.1
2019,SH_MED_HWRKDIS,Israel,FEMALE,NURS,85.9
2019,SH_MED_HWRKDIS,Israel,MALE,PHYS,57.9
2019,SH_MED_HWRKDIS,Israel,FEMALE,PHYS,42.1
2020,SH_MED_HWRKDIS,Israel,MALE,NURS,14.7
2020,SH_MED_HWRKDIS,Israel,FEMALE,NURS,85.3
2020,SH_MED_HWRKDIS,Israel,FEMALE,PHYS,42.0
2020,SH_MED_HWRKDIS,Israel,MALE,PHYS,58.0
2016,SH_MED_HWRKDIS,Cyprus,MALE,PHYS,55.3
2016,SH_MED_HWRKDIS,Czechia,MALE,NURS,1.5
2016,SH_MED_HWRKDIS,Czechia,MALE,PHYS,46.4
2016,SH_MED_HWRKDIS,Czechia,FEMALE,PHYS,53.6
2016,SH_MED_HWRKDIS,Czechia,FEMALE,NURS,98.5
2017,SH_MED_HWRKDIS,Czechia,FEMALE,NURS,98.0
2017,SH_MED_HWRKDIS,Czechia,MALE,NURS,2.0
2019,SH_MED_HWRKDIS,Czechia,FEMALE,PHYS,56.3
2019,SH_MED_HWRKDIS,Czechia,FEMALE,NURS,97.9
2019,SH_MED_HWRKDIS,Czechia,MALE,PHYS,43.7
2019,SH_MED_HWRKDIS,Czechia,MALE,NURS,2.1
2020,SH_MED_HWRKDIS,Czechia,MALE,PHYS,43.0
2020,SH_MED_HWRKDIS,Czechia,FEMALE,PHYS,57.0
2020,SH_MED_HWRKDIS,Czechia,FEMALE,NURS,98.0
2020,SH_MED_HWRKDIS,Czechia,MALE,NURS,2.0
2016,SH_MED_HWRKDIS,Denmark,MALE,NURS,5.3
2016,SH_MED_HWRKDIS,Denmark,FEMALE,NURS,94.7
2017,SH_MED_HWRKDIS,Denmark,FEMALE,NURS,95.7
2021,SH_MED_HWRKDIS,Israel,MALE,PHYS,58.0
2021,SH_MED_HWRKDIS,Israel,MALE,NURS,15.0
2021,SH_MED_HWRKDIS,Israel,FEMALE,PHYS,42.0
2021,SH_MED_HWRKDIS,Israel,FEMALE,NURS,85.0
2014,SH_MED_HWRKDIS,Japan,MALE,NURS,5.3
