Year,SeriesCode,Страна ,Quantile,Value
2015,SI_COV_SOCAST,Poland,Q1,50.70274
2008,SI_COV_SOCAST,Albania,Q1,45.55193
2008,SI_COV_SOCAST,Albania,_T,32.67408
2012,SI_COV_SOCAST,Albania,_T,19.08167
2012,SI_COV_SOCAST,Albania,Q1,27.67075
2015,SI_COV_SOCAST,Azerbaijan,_T,26.91493
2015,SI_COV_SOCAST,Azerbaijan,Q1,33.36717
2008,SI_COV_SOCAST,Armenia,Q1,34.10233
2008,SI_COV_SOCAST,Armenia,_T,22.44042
2008,SI_COV_SOCAST,Romania,_T,55.41553
2008,SI_COV_SOCAST,Romania,Q1,79.49001
2011,SI_COV_SOCAST,Romania,_T,62.20367
2011,SI_COV_SOCAST,Romania,Q1,82.75261
2012,SI_COV_SOCAST,Romania,_T,61.83329
2012,SI_COV_SOCAST,Romania,Q1,82.85327
2016,SI_COV_SOCAST,Romania,_T,58.58158
2016,SI_COV_SOCAST,Romania,Q1,81.92651
2007,SI_COV_SOCAST,Serbia,_T,11.85203
2007,SI_COV_SOCAST,Serbia,Q1,21.84727
2010,SI_COV_SOCAST,Serbia,_T,11.27447
2010,SI_COV_SOCAST,Serbia,Q1,26.00123
2013,SI_COV_SOCAST,Serbia,_T,11.72431
2013,SI_COV_SOCAST,Serbia,Q1,26.51171
2015,SI_COV_SOCAST,Serbia,Q1,29.53887
2015,SI_COV_SOCAST,Serbia,_T,13.40416
2009,SI_COV_SOCAST,Slovakia,_T,83.19675
2009,SI_COV_SOCAST,Slovakia,Q1,95.61363
2006,SI_COV_SOCAST,Viet Nam,_T,22.53121
2006,SI_COV_SOCAST,Viet Nam,Q1,47.20541
2010,SI_COV_SOCAST,Viet Nam,_T,38.54105
2010,SI_COV_SOCAST,Viet Nam,Q1,58.26172
2012,SI_COV_SOCAST,Viet Nam,_T,23.38437
2012,SI_COV_SOCAST,Viet Nam,Q1,58.93117
2009,SI_COV_SOCAST,Armenia,Q1,28.14877
2009,SI_COV_SOCAST,Armenia,_T,19.59614
2010,SI_COV_SOCAST,Armenia,Q1,32.78167
2010,SI_COV_SOCAST,Armenia,_T,23.21633
2011,SI_COV_SOCAST,Armenia,Q1,27.45092
2011,SI_COV_SOCAST,Armenia,_T,20.22949
2012,SI_COV_SOCAST,Armenia,Q1,36.91831
2012,SI_COV_SOCAST,Armenia,_T,25.04328
2014,SI_COV_SOCAST,Viet Nam,Q1,48.38658
2014,SI_COV_SOCAST,Viet Nam,_T,17.50683
2011,SI_COV_SOCAST,Таджикистан,_T,9.74993
2011,SI_COV_SOCAST,Таджикистан,Q1,13.04268
2004,SI_COV_SOCAST,Türkiye,_T,27.21969
2004,SI_COV_SOCAST,Türkiye,Q1,33.0107
2005,SI_COV_SOCAST,Türkiye,_T,27.60373
2005,SI_COV_SOCAST,Türkiye,Q1,33.29232
2006,SI_COV_SOCAST,Türkiye,_T,30.50476
2006,SI_COV_SOCAST,Türkiye,Q1,36.79194
2007,SI_COV_SOCAST,Türkiye,_T,33.16355
2007,SI_COV_SOCAST,Türkiye,Q1,46.45131
2008,SI_COV_SOCAST,Türkiye,Q1,56.0718
2008,SI_COV_SOCAST,Türkiye,_T,37.05219
2009,SI_COV_SOCAST,Türkiye,_T,17.96611
2009,SI_COV_SOCAST,Türkiye,Q1,41.70753
2010,SI_COV_SOCAST,Türkiye,_T,18.44495
2010,SI_COV_SOCAST,Türkiye,Q1,47.49978
2011,SI_COV_SOCAST,Türkiye,_T,18.39216
2011,SI_COV_SOCAST,Türkiye,Q1,48.06989
2012,SI_COV_SOCAST,Türkiye,_T,15.86075
2012,SI_COV_SOCAST,Türkiye,Q1,42.4554
2013,SI_COV_SOCAST,Türkiye,_T,16.69057
2013,SI_COV_SOCAST,Türkiye,Q1,44.48992
2013,SI_COV_SOCAST,Armenia,Q1,34.41062
2013,SI_COV_SOCAST,Armenia,_T,24.6327
2014,SI_COV_SOCAST,Armenia,Q1,40.12106
2014,SI_COV_SOCAST,Armenia,_T,28.39567
2015,SI_COV_SOCAST,Armenia,_T,29.52676
2015,SI_COV_SOCAST,Armenia,Q1,43.67296
2016,SI_COV_SOCAST,Armenia,Q1,47.29493
2016,SI_COV_SOCAST,Armenia,_T,33.3801
2014,SI_COV_SOCAST,Türkiye,_T,17.67576
2014,SI_COV_SOCAST,Türkiye,Q1,46.25669
2015,SI_COV_SOCAST,Türkiye,_T,17.10041
2015,SI_COV_SOCAST,Türkiye,Q1,47.76452
2016,SI_COV_SOCAST,Türkiye,_T,17.96038
2016,SI_COV_SOCAST,Türkiye,Q1,51.28705
2018,SI_COV_SOCAST,Türkiye,_T,15.52557
2018,SI_COV_SOCAST,Türkiye,Q1,40.27853
2017,SI_COV_SOCAST,Armenia,Q1,47.6955
2017,SI_COV_SOCAST,Armenia,_T,35.07955
2018,SI_COV_SOCAST,Armenia,Q1,42.4913
2018,SI_COV_SOCAST,Armenia,_T,29.45044
2007,SI_COV_SOCAST,Bosnia and Herzegovina,_T,20.50947
2007,SI_COV_SOCAST,Bosnia and Herzegovina,Q1,21.83457
2015,SI_COV_SOCAST,Bosnia and Herzegovina,Q1,23.19303
2015,SI_COV_SOCAST,Bosnia and Herzegovina,_T,17.4175
2019,SI_COV_SOCAST,Türkiye,_T,14.45786
2019,SI_COV_SOCAST,Türkiye,Q1,39.61016
2006,SI_COV_SOCAST,Ukraine,_T,47.44563
2006,SI_COV_SOCAST,Ukraine,Q1,53.49715
2011,SI_COV_SOCAST,Ukraine,_T,48.98668
2011,SI_COV_SOCAST,Ukraine,Q1,58.00682
2012,SI_COV_SOCAST,Ukraine,_T,49.51679
2012,SI_COV_SOCAST,Ukraine,Q1,58.58967
2013,SI_COV_SOCAST,Ukraine,_T,48.07396
2013,SI_COV_SOCAST,Ukraine,Q1,58.09023
2015,SI_COV_SOCAST,Ukraine,_T,36.62819
2015,SI_COV_SOCAST,Ukraine,Q1,46.96692
2016,SI_COV_SOCAST,Ukraine,_T,34.74451
2016,SI_COV_SOCAST,Ukraine,Q1,39.73668
2018,SI_COV_SOCAST,Ukraine,_T,30.1669
2018,SI_COV_SOCAST,Ukraine,Q1,41.55535
2007,SI_COV_SOCAST,Bulgaria,_T,39.53489
2007,SI_COV_SOCAST,Bulgaria,Q1,57.58197
2008,SI_COV_SOCAST,Belarus,_T,59.94743
2008,SI_COV_SOCAST,Belarus,Q1,69.87466
2009,SI_COV_SOCAST,Belarus,Q1,71.10539
2009,SI_COV_SOCAST,Belarus,_T,58.55187
2010,SI_COV_SOCAST,Belarus,Q1,68.86802
2010,SI_COV_SOCAST,Belarus,_T,58.2791
2012,SI_COV_SOCAST,Belarus,Q1,66.19946
2012,SI_COV_SOCAST,Belarus,_T,57.30478
2013,SI_COV_SOCAST,Belarus,Q1,62.91737
2013,SI_COV_SOCAST,Belarus,_T,54.09911
2014,SI_COV_SOCAST,Belarus,Q1,66.39224
2014,SI_COV_SOCAST,Belarus,_T,55.23861
2015,SI_COV_SOCAST,Belarus,_T,52.7002
2015,SI_COV_SOCAST,Belarus,Q1,60.86168
2016,SI_COV_SOCAST,Belarus,_T,54.08126
2016,SI_COV_SOCAST,Belarus,Q1,64.8575
2017,SI_COV_SOCAST,Belarus,_T,53.52727
2017,SI_COV_SOCAST,Belarus,Q1,61.79156
2018,SI_COV_SOCAST,Belarus,_T,49.06598
2018,SI_COV_SOCAST,Belarus,Q1,55.08405
2019,SI_COV_SOCAST,Belarus,_T,47.07458
2019,SI_COV_SOCAST,Belarus,Q1,61.23793
2006,SI_COV_SOCAST,Chile,Q1,94.3654
2006,SI_COV_SOCAST,Chile,_T,76.94376
2009,SI_COV_SOCAST,Chile,Q1,93.3232
2009,SI_COV_SOCAST,Chile,_T,77.89655
2011,SI_COV_SOCAST,Chile,Q1,94.08615
2011,SI_COV_SOCAST,Chile,_T,77.42603
2013,SI_COV_SOCAST,Chile,_T,74.69486
2013,SI_COV_SOCAST,Chile,Q1,92.95161
2015,SI_COV_SOCAST,Chile,Q1,89.33721
2015,SI_COV_SOCAST,Chile,_T,71.56242
2017,SI_COV_SOCAST,Chile,Q1,95.87274
2017,SI_COV_SOCAST,Chile,_T,82.60617
2013,SI_COV_SOCAST,China,_T,43.81318
2013,SI_COV_SOCAST,China,Q1,65.03974
2010,SI_COV_SOCAST,Colombia,Q1,65.83488
2010,SI_COV_SOCAST,Colombia,_T,44.79681
2011,SI_COV_SOCAST,Colombia,Q1,63.33681
2011,SI_COV_SOCAST,Colombia,_T,43.98663
2012,SI_COV_SOCAST,Colombia,_T,41.7057
2012,SI_COV_SOCAST,Colombia,Q1,61.08944
2014,SI_COV_SOCAST,Colombia,Q1,81.35497
2014,SI_COV_SOCAST,Colombia,_T,59.25074
2015,SI_COV_SOCAST,Colombia,Q1,52.58138
2015,SI_COV_SOCAST,Colombia,_T,26.35351
2016,SI_COV_SOCAST,Colombia,Q1,49.47548
2016,SI_COV_SOCAST,Colombia,_T,24.37731
2017,SI_COV_SOCAST,Colombia,_T,23.58645
2017,SI_COV_SOCAST,Colombia,Q1,48.09179
2018,SI_COV_SOCAST,Colombia,Q1,45.72828
2018,SI_COV_SOCAST,Colombia,_T,22.16488
2019,SI_COV_SOCAST,Colombia,_T,21.23723
2019,SI_COV_SOCAST,Colombia,Q1,43.01952
2008,SI_COV_SOCAST,Costa Rica,Q1,79.0496
2008,SI_COV_SOCAST,Costa Rica,_T,54.25786
2009,SI_COV_SOCAST,Costa Rica,Q1,74.90464
2009,SI_COV_SOCAST,Costa Rica,_T,52.60413
2010,SI_COV_SOCAST,Costa Rica,_T,48.80938
2010,SI_COV_SOCAST,Costa Rica,Q1,77.10853
2011,SI_COV_SOCAST,Costa Rica,_T,48.77952
2011,SI_COV_SOCAST,Costa Rica,Q1,78.07735
2012,SI_COV_SOCAST,Costa Rica,_T,47.46083
2012,SI_COV_SOCAST,Costa Rica,Q1,75.03419
2014,SI_COV_SOCAST,Costa Rica,Q1,77.71158
2014,SI_COV_SOCAST,Costa Rica,_T,45.85029
2015,SI_COV_SOCAST,Costa Rica,Q1,81.25194
2015,SI_COV_SOCAST,Costa Rica,_T,52.70248
2016,SI_COV_SOCAST,Costa Rica,_T,54.18097
2016,SI_COV_SOCAST,Costa Rica,Q1,82.3031
2017,SI_COV_SOCAST,Costa Rica,Q1,83.59783
2017,SI_COV_SOCAST,Costa Rica,_T,54.69645
2018,SI_COV_SOCAST,Costa Rica,Q1,85.76971
2018,SI_COV_SOCAST,Costa Rica,_T,54.85427
2019,SI_COV_SOCAST,Costa Rica,Q1,84.82443
2019,SI_COV_SOCAST,Costa Rica,_T,54.17979
2008,SI_COV_SOCAST,Croatia,Q1,46.32311
2008,SI_COV_SOCAST,Croatia,_T,23.31134
2010,SI_COV_SOCAST,Croatia,Q1,47.88995
2010,SI_COV_SOCAST,Croatia,_T,24.56946
2011,SI_COV_SOCAST,Croatia,Q1,44.72124
2011,SI_COV_SOCAST,Croatia,_T,20.54094
2014,SI_COV_SOCAST,Croatia,Q1,58.88799
2014,SI_COV_SOCAST,Croatia,_T,27.49872
2011,SI_COV_SOCAST,Georgia,_T,64.63778
2011,SI_COV_SOCAST,Georgia,Q1,77.7593
2016,SI_COV_SOCAST,Georgia,_T,64.26904
2016,SI_COV_SOCAST,Georgia,Q1,70.59166
2018,SI_COV_SOCAST,Georgia,Q1,75.75434
2018,SI_COV_SOCAST,Georgia,_T,63.5544
2007,SI_COV_SOCAST,Hungary,Q1,81.3064
2007,SI_COV_SOCAST,Hungary,_T,59.53975
2004,SI_COV_SOCAST,India,_T,24.0323
2004,SI_COV_SOCAST,India,Q1,29.06916
2009,SI_COV_SOCAST,India,Q1,20.7544
2009,SI_COV_SOCAST,India,_T,17.24392
2011,SI_COV_SOCAST,India,_T,93.24983
2011,SI_COV_SOCAST,India,Q1,95.63239
2007,SI_COV_SOCAST,Казахстан,_T,29.09089
2007,SI_COV_SOCAST,Казахстан,Q1,42.15873
2010,SI_COV_SOCAST,Казахстан,_T,33.5863
2010,SI_COV_SOCAST,Казахстан,Q1,45.00007
2014,SI_COV_SOCAST,Казахстан,_T,66.09539
2014,SI_COV_SOCAST,Казахстан,Q1,74.33816
2015,SI_COV_SOCAST,Казахстан,_T,30.62083
2015,SI_COV_SOCAST,Казахстан,Q1,44.57739
2017,SI_COV_SOCAST,Казахстан,_T,24.71827
2017,SI_COV_SOCAST,Казахстан,Q1,36.18724
2006,SI_COV_SOCAST,Кыргызстан,_T,8.11491
2006,SI_COV_SOCAST,Кыргызстан,Q1,15.73379
2011,SI_COV_SOCAST,Кыргызстан,_T,8.47452
2011,SI_COV_SOCAST,Кыргызстан,Q1,15.64788
2012,SI_COV_SOCAST,Кыргызстан,_T,7.29997
2012,SI_COV_SOCAST,Кыргызстан,Q1,11.41397
2013,SI_COV_SOCAST,Кыргызстан,_T,7.17786
2013,SI_COV_SOCAST,Кыргызстан,Q1,13.29337
2008,SI_COV_SOCAST,Latvia,Q1,39.73672
2008,SI_COV_SOCAST,Latvia,_T,38.96896
2009,SI_COV_SOCAST,Latvia,_T,50.81146
2009,SI_COV_SOCAST,Latvia,Q1,67.16637
2018,SI_COV_SOCAST,Узбекистан,Q1,10.34976
2018,SI_COV_SOCAST,Узбекистан,_T,6.69206
2018,SI_COV_SOCAST,Узбекистан,_T,6.69206
