Year,SeriesCode,Страна ,Level/Status,Value
2022,ER_BDY_SEEA,Mexico,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Republic of Moldova,_T,1
2022,ER_BDY_SEEA,Republic of Moldova,LS_DISSEM,1
2022,ER_BDY_SEEA,Netherlands (Kingdom of the),_T,1
2022,ER_BDY_SEEA,Netherlands (Kingdom of the),LS_COMPDISSE,1
2022,ER_BDY_SEEA,New Zealand,_T,1
2022,ER_BDY_SEEA,New Zealand,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Norway,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Norway,_T,1
2022,ER_BDY_SEEA,Poland,_T,1
2022,ER_BDY_SEEA,Poland,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Portugal,_T,1
2022,ER_BDY_SEEA,Portugal,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Romania,_T,1
2022,ER_BDY_SEEA,Romania,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Serbia,_T,1
2022,ER_BDY_SEEA,Serbia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Slovakia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Slovakia,_T,1
2022,ER_BDY_SEEA,Slovenia,_T,1
2022,ER_BDY_SEEA,Slovenia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Spain,_T,1
2022,ER_BDY_SEEA,Spain,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Sweden,_T,1
2022,ER_BDY_SEEA,Sweden,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Switzerland,_T,1
2022,ER_BDY_SEEA,Switzerland,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Türkiye,_T,1
2022,ER_BDY_SEEA,Türkiye,LS_COMPDISSE,1
2022,ER_BDY_SEEA,Ukraine,_T,1
2022,ER_BDY_SEEA,Ukraine,LS_COMPDISSE,1
2022,ER_BDY_SEEA,North Macedonia,LS_COMPDISSE,1
2022,ER_BDY_SEEA,North Macedonia,_T,1
2022,ER_BDY_SEEA,United Kingdom of Great Britain and Northern Ireland,_T,1
2022,ER_BDY_SEEA,United Kingdom of Great Britain and Northern Ireland,LS_COMPDISSE,1
2022,ER_BDY_SEEA,United Kingdom of Great Britain and Northern Ireland,LS_COMPDISSE,1
